@Ligurian@|@English@
@Algerîa@|@Algeria@
@algerìn@|@Algerian@
@aliêvo@|@pupil@
@aligatô@|@alligator, crocodile@
@alimentâ@|@to feed@
@aliménto@|@food, nourishment@
@alivelâ@|@to level out, to balance out@
@alôa@|@then@
@alòcco@|@tawny owl@
@alögiâ@|@to accomodate@
@alögio@|@accommodation, lodging@
@aloòu@|@dumbed@
@alpìn@|@Alpine@
@alsâ@|@to raise@
@alsâ a vôxe@|@to raise one's voice@
@alteraçión@|@alteration@
@alteréssa@|@haughtiness@
@àltero@|@haughty@
@alugâ@|@to lock@
@alupòu@|@starving@
@amâ@|@to love@
@amàbile@|@lovable, pleasant@
@amaciòu@|@stained@
@amagonâ@|@to distress, to aggrieve@
@amagonòu@|@distressed@
@amainâ@|@to die down, to abate@
@amainâ a véia@|@to shorten (sails)@
@amalocâ@|@to make a ball@
@amàndoa@|@almond@
@amandoìn (m)@|@mandoline@
@amànte@|@lover@
@amâo@|@bitter@
@amarêna@|@sour cherry@
@amarotîse@|@to get sick@
@amasâ@|@to kill@
@amê (nm)@|@honey@
@amén@|@amen@
@âmen@|@amen@
@América@|@America@
@americàn@|@American@
@americhén (mpl)@|@Americans@
@amétte@|@to admit@
@amiâ@|@to look at, to admire@
@amiâ co-a côa de l'éuggio@|@to glance at@
@amîa 'n pö!@|@Go figure!@
@amiâse a-o spêgio@|@to look at oneself in the mirror@
@amicìçia@|@friendship@
@amîgo@|@friend@
@aministrâ@|@to administer, to manage@
@amirâ@|@to admira@
@amiràggio@|@admiral@
@amirévole@|@admirable@
@amô@|@love@
@àmoa@|@earthenware pitcher@
@amocâ o lùmme@|@to snuff (out) (candle)@
@amoelòu@|@purple@
@amoezâ@|@to flirt@
@amoezaménto@|@flirtation@
@amôzo@|@loving, affectionate@
@amugiâ@|@accumulate@
@anâ@|@to go@
@anâ vîa@|@to go away@
@anâ zu@|@to go down@
@anaixâ@|@to smell@
@anàlixi (nf)@|@analysis@
@analizâ@|@to analyze@
@anâsene vîa@|@to go away@
@anàsto@|@smell@
@anatomîa@|@anatomy@
@anbiénte@|@environment@
@ànbra@|@amber@
@ànche@|@too, also@
@ànche coscì@|@even so@
@ànche se@|@even though@
@ancheu@|@today@
@anchîze@|@anvil@
@àncio@|@wide@
@anciôa@|@anchovy@
@ancoasæ che@|@luckily, fortunately@
@ancoasæ!@|@thank goodness!@
@ancón@|@still, yet@
@ancón d'asæ che@|@luckily, fortunately@
@ancón d'asæ!@|@thank goodness!@
@ancón ina vòtta@|@once again@
@ancón unna vòtta@|@once again@
@andâ@|@to go@
@andâ a cà@|@to go home@
@andâ a dònne@|@to womanize@
@andâ a l'atàsto@|@to fumble, to grope for@
@andâ a pê@|@to go by foot@
@andâ a-a ventûa@|@to trust to luck@
@andâ de mòdda@|@to be fashionable, to be in fashion@
@andâ in lóngo@|@to drag on@
@andâ vîa@|@to go away@
@andalûzo@|@Andalusian@
@Ande (fpl)@|@Andes@
@andémmo!@|@let's go!@
@Andêua@|@Andora (SV)@
@àndio@|@habit@
@Andrîa@|@Andrew@
@anelìnn-a@|@aniline@
@anémmo!@|@let's go!@
@anésso@|@annexed, adjoining@
@angæzo@|@knickknack, knick-knack, piece of junk@
@anghìlla@|@eel@
@angiòu@|@vine arbor@
@àngiou custöde@|@guardian angel, ministering angel@
@àngjo@|@angel@
@anglosàsone@|@Anglo-Saxon@
@angonîa@|@agony, death throes@
@angosciâ@|@to distress@
@angóscia@|@grief, distress@
@angosciòu@|@distressed@
@ània@|@duck@
@animâ@|@to animate, to cheer up@
@ànima@|@soul@
@ànima danâ@|@lost soul@
@animaçión@|@animation@
@animâle@|@animal@
@ànitra@|@duck@
@ànixe (nf)@|@anise, aniseed, anisette@
@Ànna@|@Anne@
@ànno@|@year@
@anoiâse@|@to get bored@
@anonçiâ@|@to announce@
@anónçio@|@announcement@
@anonimâto@|@anonimity@
@anònimo@|@anonymous@
@anormâle@|@abnormal@
@anscetôzo@|@anxious, uneasy@
@ansiàn@|@elder man, old man@
@ansianitæ@|@seniority, old age@
@ansiôzo@|@anxious@
@ansùlla@|@sting@
@antepónn-e (a)@|@to put before (something), to give preference to@
@anteprìmma@|@preview@
@anteriôre@|@previous@
@antìçipo@|@advance@
@antighitæ@|@antiquity@
@antîgo@|@antique, ancient@
@antiquâio@|@antiquary@
@antrepö@|@warehouse, depot@
@anulâ@|@to cancel, to annul@
@anulòu@|@cancelled, anulled@
@anvelóppe@|@envelope@
@a-o@|@to the (m)@
@aò@|@plough@
@a-o contrâio@|@on the contrary, contrariwise, backwards@
@a-o dì d'ancheu@|@nowadays, currently@
@a-o fâ do giórno@|@at dawn, at daybreak@
@a-o galòppo@|@galloping up@
@a-o làrgo@|@far out at sea, on the high seas, seaward, offshore@
@a-o levâ do sô@|@at dawn, at daybreak@
@a-o mæximo ténpo@|@simultaneously, at the same time@
@a-o mêno@|@at least@
@a-o menûo@|@retail@
@a-o pêzo@|@at worst@
@a-o pêzo andâ@|@at worst@
@a-o scûo@|@in the dark, in darkness@
@aotô@|@author@
@àotobos@|@autobus@
@apægio@|@apparatus@
@apanâ@|@to steam up, to mist up@
@apanòu@|@steamed up@
@apartâse@|@to move away@
@apartegnî@|@to belong@
@apartoî@|@to give birth@
@apascionâse@|@to get passionate@
@apascionòu@|@passionate@
@apéizo@|@hanging@
@apénde@|@to hang@
@apendicàsse@|@collarbone@
@Apenìn@|@Apennines@
@apénn-a@|@hardly, as soon as@
@apetìtto@|@appetite@
@apeu@|@later, then, after that@
@apixonâ@|@to rent@
@aplicâ@|@to apply@
@aploudî@|@to applaud, to clap@
@apontâ@|@to point out@
@apontaménto@|@appointment, date@
@apónto@|@note@
@apòsta@|@deliberately, purposely, on purpose@
@aprêuvo@|@back, afterwards@
@aprêuvo a@|@behind, after@
@apricòtta@|@apricot@
@aprofitâ@|@to take advantage of@
@aproscimatîvo@|@approximate@
@àquila@|@eagle@
@àquila reâ@|@golden eagle@
@Aràbia@|@Arabia@
@àrabo@|@Arab, Arabian@
@aragiâse@|@to get angry@
@aragiòu@|@upset, angry@
@arangiâse@|@to manage to, to sort it out@
@Aràsce@|@Alassio (SV)@
@Aràsci@|@Alassio (SV)@
@arâtro@|@plough@
@Arbâ@|@San Francesco d'Albaro (GE)@
@arbanèlla@|@canned food, glass canning jar, mason jar@
@Arbénga@|@Albenga (SV)@
@arbezâ@|@to dawn@
@Arbisêua@|@Albisola (SV)@
@àrca@|@ark@
@archebuxê (nm)@|@arquebusier, harquebusier@
@archebûxo@|@arquebus, harquebus@
@archinçê (nm)@|@rainbow@
@archìvio@|@file@
@arçidùcca (nm)@|@archduke@
@àrco@|@bow, arch@
@arcobalén (nm)(it.)@|@rainbow@
@ardiciòcca@|@artichoke@
@ardô@|@ardour, heartburn@
@arechéugge@|@to gather, to pick up@
@arecugéita@|@collection@
@aregordâ@|@to remember@
@aregordâse@|@to remember@
@aregòrdo@|@memory@
@areixâ@|@to take root@
@areizegâ@|@to risk@
@arêlâ@|@to wind into a ball@
@arenbâ@|@to lean@
@arénbo@|@lean@
@Arensén@|@Arenzano (GE)@
@arensenîo@|@curled up@
@arénte@|@nearby, aside@
@arénte a@|@beside, near, next to@
@arestâ@|@to remain, to be left, to stay@
@arêze@|@to bear, to hold, to hold up, to support, to withstand@
@arêzise@|@to stand, to rest on, to hold@
@arfabêto@|@alphabet@
@argentìn@|@Argentinean, Argentinian, Argentine@
@Argentìnn-a@|@Argentina@
@argénto@|@silver@
@arguménto@|@argument@
@ariâ (pop.)@|@to arrive@
@ariescî@|@to obtain, to achieve@
@arischiâ@|@to risk@
@arivâ@|@to arrive@
@arîvo@|@arrival@
@armâ@|@to assemble, to arm@
@armâ (nf)@|@army@
@armâio@|@closet, wardrobe@
@armaménto@|@weaponry, armament, armaments@
@armatô@|@shipowner@
@armatûa@|@armour@
@armélla@|@stone (of fruit), pit@
@armêno@|@at least@
@armoasétta@|@radish@
@armognìn@|@apricot@
@armonîa@|@harmony@
@armonizâ@|@to harmonize@
@aröbâ@|@to steal, to rob@
@aroinâ@|@to ruin up@
@arovinâ@|@to ruin up@
@arpagón@|@greedy man, tightfisted man@
@arsâ@|@to raise@
@Artâ@|@Altare (SV)@
@artâ (nm)@|@altar@
@àrte (nf)@|@art@
@artexàn@|@artisan@
@artexanâle@|@handmade@
@artìcolo@|@article@
@artìsta@|@artist@
@aruxentâ@|@to rinse@
@aruxentâ (nf)@|@rinsing@
@arvî@|@to open, April@
@Arzàçia@|@Alsace@
@arzaçiàn@|@Alsatian@
@asæ@|@quite much@
@asascìn@|@murderer, assassin@
@asascinaménto@|@assassination, murder@
@asascìnio@|@assassination, murder@
@asazâ@|@to taste@
@asbriâ@|@to throw@
@asbrîo@|@impulse, thrust, energy, haste@
@asbriòu@|@clever@
@ascâdâ@|@to heat@
@ascemelòu@|@stupid@
@ascì@|@too, also@
@ascidiôzo@|@annoying@
@ascìste@|@to attend, to attend to, to participate, to take care of, to help, to audit@
@ascisténte@|@assistant@
@ascónde@|@to hide@
@ascóndise@|@to hide oneself@
@ascordâ@|@to forget@
@ascordâse@|@to forget@
@ascordòu@|@forgotten@
@ascôzo@|@hidden@
@asetâse@|@to sit, to sit down@
@asétite chi!@|@sit down here!@
@asetòu@|@sitting@
@asfixîa@|@asphyxia, asphyxiation, suffocation@
@asgreiâ@|@to waste, to squander@
@asmortâ@|@to switch off, to turn off@
@asmòrto@|@out (switch)@
@asmugiâ@|@to soak@
@asociaçión@|@association@
@asödâ@|@to consolidate@
@asoefæto@|@accustomed@
@asoigiòu@|@sunny@
@asolutaménte@|@absolutely@
@asolûto@|@absolute@
@asomegiâ@|@to be alike@
@asòrto@|@absorbed, captivated@
@aspertîxe (nf)@|@skill, expertise@
@aspèrto@|@expert, clever@
@aspêtâ@|@to wait for, to await@
@aspêta!@|@wait!@
@aspirâ@|@to inhale, to suck in@
@aspirapûa (nm)@|@vacuum cleaner@
@aspresciâ@|@to hurry up@
@àsso@|@ace@
@astémio@|@teetotaller@
@astimâ@|@to esteem@
@astragón@|@tarragon@
@astrénze@|@to squeeze, to tighten, to shrink@
@astriòu@|@malicious@
@asùmme@|@to assume@
@asunâse@|@to dream about, to dream@
@asùrdo@|@absurd@
@âta marêa@|@high tide@
@atacâ@|@to attack, to stick@
@atacapànne (nm)@|@clothes line@
@atastâ@|@to touch, to palpate@
@atençión@|@attention@
@aténto@|@attentive@
@àteo@|@atheist@
@aterî@|@to terrify@
@àtimo@|@moment@
@atirâ@|@to attract@
@ativâ@|@to activate@
@ativitæ@|@activity@
@atîvo@|@active@
@atô@|@actor@
@atoâle@|@current@
@atoalitæ@|@present time, current affairs@
@atoalménte@|@currently@
@àtomo@|@atom@
@atôre@|@actor@
@atortignâ@|@to twirl, to coil, to twine, to twist@
@atraénte@|@attractive@
@atribûto@|@attribute@
@atrîxe (nf)@|@actress@
@âtro@|@other@
@atrovâ@|@to find@
@atrovâse@|@to find oneself@
@atrovâse poîa@|@to be afraid@
@àtto@|@act@
@avâ@|@to launch (a ship)@
@âva@|@bee@
@avansâ@|@to advance, to make progress@
@avànti@|@forth, forward@
@avâo@|@avaricious, miserly, greedy, miser@
@avardâ@|@to save, to preserve, to refrain@
@avarìçia@|@avarice@
@avâro@|@avaricious, miserly, greedy, miser@
@avarón@|@greedy man, tightfisted man@
@Avêgno@|@Avegno (GE)@
@avéi@|@to have (auxiliary), to have@
@avéi bezéugno de...@|@to need...@
@avéi ciù mósse che mandìlli@|@to tell fabrications@
@avéi coæ de...@|@to feel like ...ing@
@avéi da@|@must, to have to@
@avéi fàmme@|@to be hungry@
@avéi i fumàsci@|@to be hot because of alcohol@
@avéi o baticheu@|@to have palpitations@
@avéi o crescentìn@|@to have hiccups@
@avéi raxón@|@to be right@
@avéi sæ@|@to be thirsty@
@avéi spréscia@|@to be in a hurry@
@avéi unna fàmme da lô@|@to be starving@
@avéighe da@|@must, to have to@
@avelenâ@|@to poison@
@avenéuia@|@crack, rift, chink, fissure@
@avénn-a@|@oats@
@averténsa@|@warning@
@avertî@|@to warn@
@avèrto@|@open@
@avertûa@|@aperture, opening@
@aviâ@|@to be accustomed to@
@àvia@|@bee@
@aviaçión@|@aviation@
@aviâse@|@to get accustomed@
@aviatô@|@aviator@
@aviditæ@|@avidity, eagerness@
@avilîo@|@depressed, dispirited, disheartened, discouraged@
@avión@|@airplane@
@avistaménto@|@watching@
@avîzo@|@warning@
@avocâto@|@lawyer, attorney@
@avòrio@|@ivory@
@axilâ@|@to have fun, to cheer up@
@axìllo@|@fun, joy@
@àxima@|@asthma@
@axinélla@|@seed, pip@
@axòu@|@vinegar@
@azardâse@|@to dare@
@azàrdo@|@chance@
@âze@|@donkey@
@âzenàia@|@asininity, foolishness, nonsense, silliness@
@aziàtico@|@Asian@
@azónta@|@addition@
@azónze@|@to add@
@azöto@|@nitrogen@
@babilàn@|@dumb@
@bacâ (nf)@|@blow of stick@
@bacaión@|@chatterbox@
@bacalà (nm)@|@cod, dried salt-cured cod@
@bacàn@|@boss, landlord, employer@
@bàcco@|@stick, walking stick@
@bachetìnn-a@|@stick@
@bachétta@|@stick, rod@
@baçî@|@washbasin@
@bàciara@|@foolishness, silliness@
@Bacìccia@|@John Baptist@
@bacìllo@|@broad bean (dried up)@
@bæ (nm)@|@lamb@
@bæga@|@row (argument), argument, quarrel@
@bæxinâ@|@to drizzle@
@bagàggi (mpl)@|@luggage@
@bagàggio@|@luggage@
@bagàrdo@|@naughty, cunning, mischievous@
@bagarìllo@|@child, kid, young guy@
@bagascê (nm)@|@whoremonger@
@bagàscia@|@whore, prostitute@
@bagasciónn-a@|@whore (augmentative), prostitute (augmentative)@
@bageu@|@tadpole@
@bâgiâ@|@to yawn@
@bâgio@|@yawning@
@bagnâ@|@to wet, to dip, to dunk@
@Bagnæa@|@Bagnara (GE)@
@Bagnæra@|@Bagnaria (Lombardy)@
@bagnànte@|@bather@
@bagnétta@|@sauce@
@bàgno@|@bathroom, toilet, WC@
@bagnòu@|@wet@
@bagón@|@cockroach@
@baiâ@|@to bark@
@bâia@|@bay@
@bàilo@|@trunk, footlocker@
@bàio (cavàllo)@|@bay (reddish brown), bay mare@
@baixìnn-a@|@drizzle@
@balâ@|@to dance@
@balénn-a@|@whale@
@Balestrìn@|@Balestrino (SV)@
@balétti (nmpl)@|@boiled chestnuts with shell, chestnuts (boiled unpeeled)@
@bàlla@|@ball@
@bàlle (fpl)(volg.)@|@nuts (vulg.), testicles@
@bàllo@|@dance@
@bàllo lìscio@|@ballroom dances (North Italy)@
@balón@|@ball (football)@
@balórdo@|@foolish, fool, stupid@
@banànna@|@banana@
@banbìn@|@baby@
@banbòccia@|@doll@
@bancâ@|@carpenter@
@bancæ@|@carpenters@
@bancarótta@|@bankruptcy@
@banchê@|@banker, bankers@
@banchìnn-a@|@pier, quay@
@bànco@|@bank@
@bancòuto@|@money exchange office, bureau de change@
@bandêa@|@flag@
@banderòlla@|@weathervane, weathercock@
@bànsa@|@scale@
@bansîgo@|@swing (n)@
@bàr (nm)@|@bar@
@bâra@|@coffin@
@baràbba (nm)@|@bandit, swine, rotter@
@bàrba (nf)@|@beard@
@bàrba (nm)@|@uncle@
@barbagiànni (nm)@|@barn owl@
@barbarìsmo@|@barbarity, barbarism@
@barbaritæ@|@barbarity, barbarism@
@bàrbaro@|@barbarian, barbaric, barbarous@
@Bàrboa@|@Barbara@
@barbón@|@vagrant, tramp@
@barbotâ@|@to stutter, to stammer, to babble@
@barbòtto@|@stammerer@
@barbûo@|@bearded@
@bàrca@|@boat@
@bàrca a véia@|@sail boat@
@barcaieu@|@boatman, raftsman@
@barcàssa@|@boat (small)@
@barçelonéize@|@from Barcelona (Catalonia)@
@Barçelónn-a@|@Barcelona@
@barchìnn-a@|@dock@
@bàrco@|@ship@
@barcón@|@window@
@barconétto@|@window (small)@
@bardasciàmme@|@young guy@
@bargagìn@|@from Bargaggi (GE)@
@barî (nm)@|@barrel@
@barlugón@|@vertigo@
@barlùmme@|@brightness, gleam, glow@
@baròcco@|@Baroque@
@barseletâ@|@to joke@
@barselétta@|@joke@
@barùffa@|@quarrel, argument, struggle@
@bascelæa@|@dish rack@
@bàsco@|@Basque@
@basîgo@|@swing (n)@
@bàssa marêa (f)@|@low tide@
@bàsso@|@low, bass@
@bastâ@|@to be enough@
