@English@|@Taino@
@cacao@|@cacuya@
@cainine@|@efa@
@calm@|@itio@
@calm or peaceful@|@itio@
@campefire@|@guatu@
@cane basket@|@haba@
@canoe@|@kano, kanoa@
@Carib Indian@|@Caniba@
@Caribbean Rabbit@|@Qu'emi@
@Caribbean Rabbit.@|@Hutia@
@carry@|@kuuchik@
@casabe for important people@|@shaushau@
@Cat@|@Yamuy, Yamuy@
@Cat intestine or guts for Ja'bao strings@|@Yamuey@
@cave@|@Guaca@
@Cave or The Region of the Birthplace@|@Gua'cara@
@cavern@|@baina, beina, kasiba@
@Cay Island@|@Cayo@
@celebration@|@cha´an@
@celestial@|@coai@
@Celestial@|@Tureygua@
@cemi with 3 points@|@toali@
@center@|@chumuk@
@Center@|@Naca'n@
@Center of the Wind. Hura - Wind & Ca'n - Center@|@Huraca'n@
@Center. See the word Huraca'n@|@Ca'n@
@Chair@|@Dujo, Dujo@
@Chair with short legs made of wood@|@Ture@
@chat@|@t´thi´ikbal@
@cheap@|@ma´ko´oi@
@Chicken (Maya)@|@Shkaash@
@Chief@|@Cacike@
@Chiefs Medallion of 18 Gold 6 Silver 8 Copper@|@Guani'n@
@child@|@e´eme, pitaeni (ekoe´)@
@Children@|@Rahu@
@Cigarette. a modern term used by the Taino people@|@Cojibi@
@clay@|@guaguarey@
@clay pot@|@kanari@
@clay vessel@|@kanari@
@Clear Or Plain (Maya)@|@Saas@
@cloth for head for balance@|@babonuko@
@clothes@|@buuk, nook´@
@cloud@|@aru, enuepuru@
@Clown@|@Sanaco@
@Club@|@Macana@
@coat@|@nook´il ke´el@
@cog@|@nourish, sustain@
@cold@|@e´sano, te´shsanor@
@come@|@taal, woepe´@
@Come or come here@|@Guarico@
@come to rest or stop or lie@|@nio´@
@command@|@waka@
@common class of tai´neyes@|@naboria@
@Comprehend@|@Chob@
@conch@|@lambi, leren@
@conch snail@|@Guey@
@cooing dove@|@bijirita@
@cook@|@meent anal, meent hanal@
@cool adj@|@siis@
@copper@|@ob, obin@
@cord or rope@|@Jico@
@Corn Bread@|@Guanime@
@Corn Cake@|@Arepa@
@corn field or milpa@|@kool@
@corn with red tones@|@cao, cariako@
@correct@|@ipoero, itaero@
@Cotton@|@Sarobey@
@Cotton thorax covering worn by Chiefs@|@Mao@
@courage@|@ts´i´ikil@
@crab from mangrove swamps@|@juey@
@crain bird@|@ipire@
@Creato@|@Y'ocahu'@
@creator@|@morete@
@cricket frog@|@koki@
@Cross shaped metal plate made of gold and copper@|@Tao@
@crow@|@kaka@
@cry@|@wa(h)(a)@
@cup@|@Dita@
@Custom Or Way (Maya)@|@Suuk@
@cut@|@e´shkoeto@
@cut down@|@kool, koolik@
@damp@|@ch´u´ul@
@Dance@|@Ara'guaca@
@dances and songs@|@ariito@
@dark@|@ewaerume´, jukaro, towaerume, ukar, ukaro, una@
@Daughter@|@Rahe@
@dawn@|@mautia@
@Dawn@|@Bajacu'@
@day@|@aluka, k´iin, kurieta@
@dead@|@operito@
@dead or phantasm@|@operito@
@death@|@rombe'@
@Deep Baseket@|@Macuto@
@Deep Or Profound Or Low (Maya)@|@Taam@
@deer@|@jonoso@
@denote definite object@|@u@
@destroy@|@kasi@
@die@|@rombe´@
@different@|@jalanik@
@Different Or Else (Maya)@|@U Heel@
@difficult@|@talam@
@dig@|@atoeka@
@dinner@|@o´och@
@dirty@|@ach k´as, e´shkoene, eek´, hach k´as, te´shkoene@
@disappoint@|@pyi'to@
@Disturb@|@Catey@
@do@|@beetik@
@dog@|@ao´n, efa@
@dog deity polytheism@|@opiyel-guaobiran@
@Dog or Little Dog@|@Ao'n@
@Dolphin@|@Tonina@
@domesticated@|@mato@
@Don't know@|@Ita'@
@door@|@honah@
@Dope or Stupid@|@Sanaco@
@double or equal or similar@|@guareto@
@down@|@poshpo, poshponaeka@
@Dragon Fly (Maya)@|@Turish@
@Dream (Maya)@|@Wayak@
@dressed men@|@naguakoikio, naguakokio@
@dressed person@|@naguakokio, naguatato@
@drink@|@ene´eri, uk´ik, uk´ul@
@Drink made from the peel of the Mabi' tree fruit@|@Mabi'@
@drink of peel of mabi´ tree@|@mabi´@
@dry@|@taruere@
@Duck@|@Yaguasa@
@each@|@sansaama@
@ear@|@paena@
@Ear Ring made of gold or sea shells@|@Tatagua@
@earring@|@tawawa@
@earth@|@ke, lu´um@
@Earth or Land@|@Ke'@
@Earth Spirit@|@ki'@
@east@|@lak´in, laken, lik´in@
@eat@|@hanal, hantik, oeno@
@Eating Bowl@|@Dita@
@egg@|@e´emo@
@eight@|@pikinaju@
@Elbow (Maya)@|@Kuuk@
@Embarcation@|@Canoa@
@Enbarcation@|@Piragua'@
@ended@|@tsoka´an@
@enemy@|@anaki@
@Enemy@|@Akani@
@enough@|@ya´ab@
@enter@|@okol@
@enter interjection@|@ooken@
@everything@|@man@
@Evil Person@|@Anki@
@Evil Spirit@|@Boya@
@examine or look@|@se(h)(a)@
@exchanging of names@|@Guatiao@
@existence@|@beira@
@expect@|@pa´atik@
@explain@|@t´thol, t´tholtik@
@Explode (Maya)@|@Waakal@
@Expression of emotion or Pain@|@Guay@
@extractor device for yucca@|@thibuka´n@
@Extractor to remove poisonous juice from Yuca@|@Cibuca'n@
@eye@|@isi, nuku@
@Eye@|@Acu'@
@eyelid@|@akoke@
@face@|@guaitha, isiba, nibi@
@falcon@|@caricari@
@fall@|@woema@
@fall down@|@luubul@
@far@|@naach, te´shes@
@far away place@|@nara@
@far away place or hidden@|@guanara@
@Farm Lands@|@Conu'co@
@farmland@|@konu´ko@
@fast not eat@|@joma@
@fast or quick@|@se´eb@
@fast without food@|@joma@
@fat@|@polok@
@fat n.@|@kaete´@
@Father@|@Baba@
@fear@|@wete´shka@
@feather@|@ushsete´@
@Female Shark@|@Cajaya@
@femenine use of house@|@erakra@
@femenine use of men@|@eieri´@
@femeninitive addition to n@|@-(j)ki@
@fermented drink alcoholic@|@uicu´@
@fertile soil@|@co@
@festival@|@guake´te@
@fierce@|@r(a)@
@fine place or good place@|@Yarari@
@Finger (Maya)@|@U Yaal A Kab@
@fingernail@|@amo@
@finish v@|@ts´o´okol@
@Fire@|@Guatu'@
@firefly@|@kokuyo@
@firm or hard or strong@|@r(a)@
@first@|@aba, ata, taanil, ya´ash@
@first person singular pronoun@|@Ni@
@fish@|@kay, kuyu, pira, woeto@
@fish hook@|@kowai@
@Fishing line made from fibers of the Majagua plan@|@Cabuya@
@Fist (Maya)@|@Wool A Kab@
@five@|@ayatoene@
@Fix (Maya)@|@Utskintik@
@Flat Boat of one peice of wood@|@Cayuco@
@Flat Red color@|@Cayajabo@
@Flat Round Clay Plate@|@Bure'n@
@flat round plate@|@bure´n@
@float verb and noun@|@bal@
@Florida's original nam@|@Bimini@
@flow@|@apeina@
@Flower@|@Ana, Ana@
@flute@|@shul@
@fly v.@|@arierume´@
@Fog Or Mist (Maya)@|@Yeeb@
@Fold (Maya)@|@Wuutsik@
@food@|@haanal@
@foot@|@puepu-@
@foot or my foot@|@in wok, ok@
@for dying cotton fabric and body paint@|@Jagua, Jagua@
@forearm@|@adina@
@forehead or beginning or front@|@cimu@
@foreign@|@Arijua@
@foreigner@|@arijuna, makuri@
@Foreigner@|@Arijua, Arijua@
@forest@|@arkabuko@
@Forest@|@Jiba, Jiba@
@Forget (Maya)@|@Tu'ub@
@fountain@|@Mini@
@fountain of the high mountain@|@kalichi@
@fountain or spring@|@uta@
@Fountain or Spring of Water@|@Mini, Mini@
@four@|@bibiti, yamokobre@
@free@|@sipam, wawa@
@fresh water fish@|@guajakon@
@friend@|@guaitio@
@Friend or Friends@|@Guaitiao@
@friendly@|@uts@
@frog@|@koki, tona@
@from@|@ash, esh, ey, Gua, ish, ua@
@front@|@mu@
@fruit@|@epeere´@
@fruit in shape of eye@|@ikako@
@Fruit that grows on a plant@|@Liren@
@Fruit that sustains the dead in the after life@|@Guabasa@
@Fruit Tree@|@Jagua@
@Fuck@|@Topik@
@full@|@taenoese@
@fullness@|@aenoepe´@
@furniture@|@tereke@
@game@|@Batu@
@Garden@|@Guada@
@Gathering of the people of the Earth@|@Guake'te@
@generosity@|@matu´m@
@Generosity. Noble cultural pattern of the Taino@|@Matu'm@
@generous@|@matum@
@Generous@|@Matu'n@
@gentlemen@|@nitaino@
@get a wife or get married@|@pyta@
@gethering of people of earth@|@guake´te@
@Ghost@|@Mabuya, Mabuya@
@ghost of evil spirit@|@Mabuya@
@Ghost Spirit of the Night@|@Hupia, Hupia@
@girl@|@shchu´upal@
@Girl@|@Nana'@
@give@|@dtha, e´ere´, yry@
@glass@|@pi´ichi@
@glass bead or bead works@|@kakona@
@go@|@bin, guaiba, shi´ik@
@Go or leave@|@Guaiba'@
@god@|@apita, pita@
@god of the rainforest@|@yukiyu, yunke@
@goddess freshwater fertility@|@Atabey@
@gold@|@guanin, kaona, nuthay, tuob@
@gold or copper@|@guanini@
@Golden Flower@|@Anacaona@
@good@|@iruepa, kar@
@Good Day or Good Sun@|@Taiguey@
@good friend@|@taiguaitiao@
@Good Friend@|@Taiuaitiao@
@Good Night or Good Moon@|@Taicaraya@
@good or goodness@|@kar@
@good purgative@|@tau-tu´a@
@good spiritual symbol for Taino@|@Mucaro@
@Gord Scraper. Musical Instrument -aka- Guiro@|@Guajey@
@gourd@|@jikara@
@gourd rattle of higüera goard@|@maraka@
@Grandfather@|@Arocoel@
@GrandMother@|@Aracoel@
@Grater@|@Guayo@
@Great@|@Bo, Bo@
@great high place scared waters@|@ja´tibonicu´@
@Great Land of the Valiant & Noble Lord@|@Borike'n@
@great lord@|@guami´ke´na@
@Great Lord@|@BO'@
@great lord of forest and earth@|@bo´jike@
@great spirit or creator@|@yaya@
@Great Stone also Cibabo@|@Bociba@
@Greatness or Big@|@Bo, Bo@
@Greatness or Grand Place@|@Bana, Bana@
@greatness or great@|@Bo@
@green@|@akeenei@
@green or blue@|@liku@
@Green Parrot@|@Iguaca@
@green sea turtle@|@karey@
@greetings@|@takaji@
@guard or wait@|@ser(a)@
@Guinea Pig@|@Cori@
@guts@|@uwembo yoepotoeri@
@hair@|@e´epote´, nibi, puchi@
@hammock@|@hamaia@
@hand@|@aina@
@Hanging Bed@|@jamaka@
@happiness@|@ki´imak ool, o´olal@
@hard or tough@|@dthuuy@
@harpoon@|@si(h)pi@
@hat@|@p´ok@
@Hatchet of Stone@|@Manaya, Manaya@
@hatchet or of stone@|@Manaya@
@have@|@yaan ti@
@have not@|@mina´an ti@
@Have Sex@|@Tsiis@
@having value@|@yauna@
@he@|@i@
@head@|@chito, ci, isi, thi@
@Head@|@Mu'@
@Head Man of a Tribe@|@Guama@
@hear@|@aconabo, eeta@
@heart@|@ool, turuepo@
@heat@|@aesini´@
@heaven@|@Ture@
@heavenly@|@coaiba@
@heavy@|@awoesimbe@
@Heel (Maya)@|@Tuunkuy@
@Height@|@Ti'@
@height or mountain@|@nima@
@Hello or Hi@|@Tau@
@help@|@a´antik@
@here@|@eero po, iája@
@high@|@ibo, iti@
@high mountain@|@uibo@
@high place@|@aiti@
@high ranking class@|@nitai´no@
@hill@|@baino, muul@
@Him@|@Li@
@hit@|@wo@
@hold@|@opoei@
@hole@|@ka, ka, yario@
@home or dwelling or bulding@|@r(i)@
@horn@|@remeete´@
@horse@|@t´thiimin@
@hot@|@chokoh, oerébe- (warm), thére-@
@Hot Pepper@|@Aji@
@house@|@boa, boi´o, r(i)@
@House@|@Eracra@
@house of prayer@|@mahoma, maoma@
@house or dwelling@|@bai@
@how@|@e´ine@
@how about@|@kush tu´un@
@how many animate obj@|@hai p´eel@
@how many inanimate obj@|@hai tuul@
@how much@|@bahu´ush@
@humble hut@|@bajareke@
@humming bird@|@zum zum@
@Hummingbird@|@Colibri@
@hunger@|@wii´@
@husband@|@e´iyo, iicham@
@hut@|@paja@
@I Am@|@Daca@
@I am a Father@|@Daca-ababa@
@i am a important person@|@daka guamikina@
@i dont care@|@machabuka@
@i love you a lot@|@dakachi kibeto@
@I or My@|@Da@
@if@|@ata, wa´ah@
@ill@|@koha´an@
@imperative verb@|@-ka@
@important@|@nohoch@
@important person@|@guamikina@
@in@|@ta@
@in Festival@|@Guake'te@
@in front of@|@u tan@
@in the Arawakan base language@|@Warishe@
@in the form of a little round ball@|@Guanime@
@in the middle@|@nakan@
@Infinite@|@Apito@
@inhale tabacco@|@cooba@
@inhospitable terrain@|@seboruko@
@insect similar to fle@|@Nigua@
@Insect similar to the Flea@|@Nigua, Nigua@
@insect that stings or bites@|@abuje@
@inside@|@´ichi@
@instrument to inhale cooba@|@tabako@
@insult meaning shifty eyes@|@butikako@
@intestine or gut@|@Yamuy@
@Invader@|@Ari'@
@Irritated@|@Zinato@
@is@|@yan@
@island@|@kay, kaya@
@Island@|@Cay@
@island north of boca chica@|@samba@
@Island of Blood@|@Oubao-moin@
@Island of the Valiant@|@Cari'@
@isn´t that right ?@|@maasima´?@
@Itch (Maya)@|@Sak@
@its an Espresion of Esteem@|@Datijao@
@its another way of saying the word Cemi@|@Chemi'n@
@its is also a Totem@|@Cemi@
@its like that or let it be@|@jam jam katu@
@jewel@|@chali, coai@
@join@|@tepe@
@join or connect@|@-tepe@
@joke v and n@|@p´a´as@
@jonoso@|@deer@
@jug@|@chuuh@
@juice@|@k´aab@
@Juice made from the Yuca@|@Uicu'@
@juice of the yucca@|@Anaiboa@
@jungle@|@k´a´ash@
@just now@|@ta´an te@
@just or only@|@chen@
@key with soil@|@kayo@
@Kill or Death@|@Bara, Bara@
@kiss v and n@|@ts´u´uts´@
@knee@|@piish@
@knife or machete@|@maaskab@
@know someone@|@k´ahool@
@know something@|@ohel@
@know something (maya)@|@(often it is) wohel@
@kynoro@|@scarlet macaw@
@lake@|@shara@
@lake okichobi@|@makako@
@land of orient@|@makao@
@land of stone mountain@|@thike´o@
@Land of the Stone Mountain@|@Cike'o@
@Land Turtle@|@Jicotea@
@language@|@-lo, -lu, t´aan@
@language sfx@|@lo, lu@
@Large Green Lizard@|@Iguana@
@Large Lighting Bug@|@Cucubano@
@large lightning bug@|@kukubano@
@Large Shade Tree@|@Guama'@
@later or until later@|@ka´ka´te, ta´ak tu la´akin@
@learn@|@kanik@
@Learn@|@Etamaj@
@leave@|@ho´okol@
@Leaves of the Yarey Palm tree@|@Bijaos@
@left direction@|@dthiik@
@Left Or To The Left (Maya)@|@Tsiika'an@
@leg@|@ka´an, okil@
@leg or foot@|@ichiki@
@less@|@Na@
@let´s (all)@|@kone´esh@
@let´s or let´s go@|@ko´osh@
@lice@|@jiriguao@
@lie of liar@|@Guata@
@lie of liar n@|@tus@
@lie of liar v@|@tusik@
@Lie or Liar@|@Guata, Guata@
@Life@|@Bi@
@Life of the Spring Waters@|@Bimini@
@life or to live@|@ketaurie@
@light@|@tureigua@
@Light@|@Cuyo@
@light v@|@awei@
@like@|@jalanik, je jas@
@like necklaces of Gold etc@|@Yari@
@like the Hutia but much larger@|@Qu'emi@
@listen@|@´u´uyik@
@Listen@|@Ocama@
@listen!@|@´u´uyeh@
@little bit@|@chinchin@
@Little Fly@|@Mime@
@little importance@|@bao@
@Liver (Maya)@|@Taaman@
@lizard@|@caguayo, guana@
@Loincloth of white cotton worn by married women@|@Inagua@
@long basket@|@jabuko@
@Longboat or War Boat@|@Piragua'@
@look for@|@kashan@
@look or find or see or watch@|@we@
@lord@|@guami´, wama@
@Lord of Land & Water@|@Guami'ke'ni@
@Lord or Sir@|@Guami'@
@lord supreme ruler of all@|@wamikina@
@Lose (Maya)@|@Saatik@
@love@|@ro@
@love n@|@yaah@
@love v@|@joba, juba, yaakun, yaakuntik@
@made from bijaos@|@Jaba@
@made from the large Sea Shell@|@Guamo@
@made from the leaves of the Yarey Palm@|@Bijao@
@made from the Yuca@|@Casabi@
@made of Cotton and hung with ropes@|@jamaka@
@made of the Higuera gourd@|@Dita@
@made of vines@|@Macuto@
@make (something)@|@meentik@
@male or men@|@ito@
@mammal@|@manati@
@man@|@ari, eri, eyeri, i´ro, iro, it@
@Man of the Forest@|@Jibaro@
@Man or Spirit of Man@|@I'ro@
@Manatee@|@Manati', Manati'@
@manioc flour@|@aru@
@many@|@teketa@
@Marine Sea Shell@|@Cobo@
@Married Woman@|@Siani@
@mask@|@waisa@
@May the Great Spirit be with you!@|@Taino-ti'@
@Maybe (Maya)@|@Wal@
@meadow@|@magua@
@meat broth@|@kaab bak´@
@Meat roasting@|@Barbicu'@
@meat roasting process@|@barbicu´@
@meet (someone)@|@kaholtik@
@Men@|@Eieri'@
@messenger@|@tekina@
@metal@|@nin@
@middle@|@chumu´uk@
@mind n@|@o´ol@
@mine (not yours)@|@in tial@
@Mistake (Maya)@|@Si'pil@
@mollusk@|@lambi@
@Money@|@Agucat@
@monkey@|@tuucha´@
@Moon@|@Karaya@
@moon and month@|@kairi@
@more@|@shokwen@
@more than@|@maas ti´@
@morning light@|@bujuku@
@mosquito@|@chan koshol, shoshen@
@Mosquito@|@Jeje'n@
@mosquito lives in high grass@|@maye@
@mother@|@beira, bey, toa@
@Mother@|@Bibi, Bibi@
@Mother Earth@|@Atabey, Atabey@
@mother of earth spirits@|@thuimako@
@mother of god@|@Atabey, yemao, yermao@
@mother of god polytheism@|@atabeira, guacarapita, guimazoa, iella, yucaju@
@mounds@|@konuko@
@mountain@|@jororo sin@
@Mountain@|@O, O@
@Mountain Farmland@|@Oconuco@
@Mountain in Luquillo PR always in a cloudy haze@|@Yuke'@
@mountain or farmland@|@okonuko@
@mountaineous@|@wiho@
@mountainous or slippery land@|@ayiti@
@mouth@|@chi´, nipita@
@Move (Maya)@|@Peeksik@
@Movement (Maya)@|@Peek, Peeksik@
@much@|@teketa@
@much or too much@|@ya´ab@
@mucus from smoking tobacco@|@guanguayo@
@musical Instrument made of Higuera gourd@|@Maraca@
@must  (I must)@|@yaan, yaan in@
@my friend@|@in laak@
@My Friend or I am a Friend@|@Datiao@
@My Heart or My Love@|@Nanichi@
@My Lord@|@Datijao@
@my wife@|@Liani@
@Naked (Maya)@|@Shma' Nook@
@name@|@-íri, k´a´aba@
@nation@|@amak@
@near@|@naats´@
@need (I need)@|@k´abeet, k´abeet ten@
@need or feeling@|@kachi@
@Neither Or Nobody (Maya)@|@Mishmaak@
@neither or nor@|@mish@
@net@|@nasa@
@new@|@tumben@
@night@|@kásakodá, orika@
@Night Eagle@|@Mucaro@
@nine@|@pekecheketa@
@no@|@Ma@
@No@|@Ua'@
@No!@|@Wu'a@
@nobility@|@manikato@
@Noble Lord@|@N@
@noble man@|@nitaino@
@Noble Man@|@Guani'@
@noble or good@|@tai´ney@
@None Or No One (Maya)@|@Mishmaak@
@noon@|@chumuk k´iin@
@north@|@shaman@
@nose@|@chini, ni´@
@Nose Ring. Many times these were made of gold@|@Caracuri@
@not@|@ma-@
@nothin@|@mayani@
@nothing@|@mayani@
@Nourishment@|@Kai, Kai@
@Nowhere (Maya)@|@Mishtu'ush@
@numerous or abundant@|@ken, kin@
@Oak tree@|@sa(j)ka@
@oar@|@kanali@
@Oar@|@Naje, Naje@
@ob@|@copper@
@obin@|@copper@
@ocean@|@Bara, barana@
@of a living person. Soul@|@Goeiz@
@of a local fish@|@sabako@
@Of Water@|@Tuna@
@okay@|@ma´alob, osla@
@okay then@|@ma´alob tu´un@
@old@|@hebe-, jebe-, jebe-, oa(h)adi-, oa(j)adi-, uchben@
@old man@|@boja@
@old person man@|@nushib@
@old person woman@|@(sh)nuuk@
@on the other side@|@guanara, guanara, mayai@
@one@|@Heketi@
@One@|@Hekiti@
@one of the enemy groups@|@kalina@
@Or@|@Wa@
@or Bush country@|@Jiba, Jiba@
@or Gardens for Planting@|@Conu'co@
@or Our@|@Gua'kia@
@orange@|@pak´aal@
@over or on top of@|@yok´ol@
@over there@|@teelo´@
@over there or long@|@-mi@
@Owl@|@Mucaro@
@Owner (Maya)@|@Yuumil@
@paddle@|@Naje@
@pain@|@yah@
@pain (stronger)@|@kinaam@
@paint v@|@boon@
@papaya@|@puut@
@parrot@|@Guaca, higuaka@
@part or region or nearness@|@guaka@
@path@|@oabóroko@
@peace@|@amikekia@
@peaceful or calm@|@itio@
@penis@|@akoni, akosh@
@people@|@arao@
@People@|@Ara'@
@person in charge to sing rites@|@tekina@
@pertaining to from@|@rey@
@pertains to@|@rey@
@picture@|@´awooche uyoochel@
@pig@|@keek´en@
@pine apple@|@Anana@
@Pineapple@|@Yayama@
@place@|@i´o, Ra@
@Place@|@Yara, Yara@
@Place or Birthplace@|@Ra, Ra@
@place or location or hole@|@Yara@
@place with holes@|@yario@
@place with yucca plants@|@yukay@
@plaintain@|@ha´as@
@plant v@|@pak´@
@plural of he@|@ili@
@point@|@Coa@
@Poisonous Juice@|@Ynoa@
@Poisonous juice of the Yuca Brava@|@Naiboa@
@pond of clear  freshwaters@|@itabo@
@pond of muddy waters@|@babiney@
@pool@|@ch´en@
@poor@|@o´ot´thil@
@Potato@|@Batata@
@prairie@|@ta(j)te@
@prefix or suffix for small@|@Na@
@prepare@|@beet meen@
@president@|@nohoch halach winik@
@pretty@|@je´lik, mu´s@
@previously@|@ka´chi@
@price@|@tohol@
@prince@|@mabo@
@Principal And Superior@|@Guama@
@problem@|@toop@
@puddle@|@jaguey@
