@English@|@Shimaore@
@cake tin@|@legeni@
@calculator@|@shombo ya hisabu@
@calipers@|@kompa@
@Call to the prayer@|@Adhan, Azan@
@calm@|@mutrulivu, watrulivu@
@camel@|@ngamia@
@Can@|@Garandro@
@Can-drum@|@Garandro@
@cane to sugar@|@miya, muwa@
@cannon@|@mizinga, muzinga@
@Cape@|@Rasi@
@car@|@gari, magari@
@card@|@karata@
@card to play@|@karata@
@card to play used like mark@|@gandra, magandra@
@cardamom@|@hiliki@
@cardamone@|@hiliki@
@cardiologist@|@duktera wa roho@
@carraway@|@hawadji@
@carrot@|@karoti@
@cashew nut@|@bibo@
@cassava@|@mihogo, muhogo@
@cassava boiled@|@batabata@
@cassava leaves@|@feliki muhogo@
@cassis rufa@|@gulahu@
@casting@|@uvutsa tsi-vutsu@
@cat@|@funga, mpaha, paha@
@catch fish@|@usika fi@
@caterpillar@|@bibimangidi@
@catfish@|@mhudraji@
@cattle farmer@|@mutsunga nyombe@
@cave@|@panga@
@ceiling@|@mavombo, pombo@
@celacanthe@|@gubera@
@cement@|@sima@
@Censer@|@Buhuri@
@centipede@|@marambwi, trambwi@
@century@|@karne@
@Ceremony of the dhikr@|@daira@
@certainty@|@hakika@
@Chain@|@Silisili@
@chair@|@shiri, ziri@
@chalk@|@lakire@
@chameleon@|@dzianyindri, tarundru@
@change@|@-gaudza@
@change the curtains@|@ugaudza rido@
@cheek@|@msavu, savu@
@cheek!@|@teza!@
@chemistry@|@shimi@
@chest@|@shifuba, zifuba@
@chew@|@utsana@
@chicken@|@kuhu, nkuhu@
@chicken curry@|@mtsuzi wa kuhu@
@chicken drums@|@mavaja@
@chicken pen@|@dao la kuhu@
@chicken pilaw@|@pilau ya kuhu@
@chicken wings@|@mabawa@
@chicken with tomato and lemon@|@kuhu ya tomati na drimu@
@chief@|@mazefu, shefu@
@child@|@mwana, mwanamtsa, wamwana, wana, wanatsa@
@child hanging on to his mother@|@mwanamtsa muhali@
@childbirth@|@udzazi@
@chin@|@shilevu, zilevu@
@cholera@|@kolera@
@choose the chorus@|@utsahua mvelesheleyo@
@cinnamon@|@m'darasini, midarasini@
@cinnamon tree@|@mdaryasini, midaryasini@
@cinnamon-tree@|@midaryasini, mudaryasini@
@circumstance@|@Hali@
@cistern@|@shisima, zisima@
@citizen@|@mkazi, wakazi@
@clap@|@ubiha masama, urema masama@
@Clarity@|@Nuru@
@clay censer@|@sheredzo@
@clean@|@murahafu, trahafu, uhosa@
@clean the windows@|@uvangusa fenetra@
@clitoris@|@shilepe, zilepe@
@close@|@-bala@
@close to@|@karibu ya@
@cloth@|@mavatri, patri@
@cloth duster@|@shifo@
@Cloth for the fishing@|@Shashi@
@cloth with shoulder@|@nguo ya kapwa@
@cloth with shoulder straps@|@nguo ya kapwa@
@clothes@|@nguo@
@cloud@|@mawingu, wingu@
@Clove@|@karafu@
@clove tree@|@mimukarafu, mukarafu@
@clover@|@pao@
@cloves@|@karafu@
@cock@|@kukuyi, makukuyi@
@cockroach@|@kalalawi, mahalalawi@
@coco tree@|@mimunadzi, munadzi@
@coconut@|@nadzi@
@coconut grater@|@mbuzi ya nadzi@
@coconut milk@|@maji ya nadzi@
@coconut milk sauce@|@mtsuzi wa nadzi@
@coconut oil@|@matra ya nadzi@
@coconut rice@|@ntsohole ya nadzi@
@coconut tree@|@minadzi, munadzi@
@coconut water@|@maji ya nadzi@
@coconut with water@|@shijavu, zijavu@
@coffee@|@kafe@
@Coffee@|@Bun@
@coffee tree@|@mikafe, mkafe@
@cold@|@buhuo@
@Cold@|@Baridi@
@collected@|@djama@
@colors@|@range@
@colour@|@range@
@comb@|@-penye, penye@
@Comb@|@Tsana@
@combava@|@kumvava, ndrimu nyongo@
@come in@|@-ngiya@
@come in!@|@namungiye!@
@come!@|@ko!, namuje!@
@committee@|@shikao, zikao@
@community@|@umati@
@comorian language@|@shingazidja@
@Comoros@|@Komori@
@company@|@mamlaka@
@competition@|@mashindrano@
@Complete reading of the Koran@|@Hitima@
@completely@|@kabisa@
@compose@|@utrunga@
@comprehensive school@|@koleji@
@Condition@|@Sharuti@
@Conducted@|@Tabiya@
@Confraternity@|@Twarika@
@conscience@|@roho@
@conscientious@|@nadjitihadi@
@container@|@kopo@
@continent@|@bmacaw, mabara@
@cook@|@-piha, uhiva, upiha@
@cook for the deliverd woman@|@upishia mudzade@
@cooking pot@|@nyungu@
@coral@|@swayi@
@coral gate@|@mwamba@
@coral table to the beauty mask@|@bwe la msindzano@
@coranic school@|@madarasa@
@corn@|@mirama, murama@
@Corner@|@Kwe@
@corrugated iron@|@toli@
@country@|@malavuni@
@Country@|@Bara@
@counts@|@meza@
@courageous@|@mushudjaha, washudjaha@
@court@|@lakuru@
@courtyard@|@lakuru@
@crab@|@dradraka, kalafuba@
@craftsman@|@fundi, mafundi@
@crawfish@|@kamba diva@
@Crepe@|@Khaki@
@crockery@|@shia, zia@
@crocodile@|@vwai@
@crunch@|@uvuhura@
@cucumber@|@kokôbre@
@cucumber tree fruit@|@uhaju wa shizungu@
@cultivate@|@-lima@
@Culture@|@Madhabi@
@cuming@|@hawadji@
@cunning@|@hila@
@cup@|@shikombe, zikombe@
@cur@|@tsehele@
@curdled milk@|@dziya lafa@
@cures@|@isivona@
@Currency@|@Riali@
@curry@|@mitsuzi, mtsuzi@
@curtain@|@rido@
@Curtain@|@Musutru@
@cushion@|@mitsao wa kanape, mutsao wa kanape@
@custard apple@|@konokono, makonokono@
@Custom@|@Diwani, Mila@
@cut@|@-katra, ukutrua@
@cut firewood@|@-pasua kuni@
@cut the cards@|@uKatra@
@cut the meat@|@ukatra nyama@
@cut-cut@|@shombo, zombo@
@cuts@|@kopa@
@Cyclone@|@daruba, Tufani@
@dad@|@aba (wa -)@
@damage@|@umenya@
@dance@|@uzina@
@dance at the time of the marry@|@namandzia@
@dance in cortege@|@mlelezi@
@dance in rhythm by struck wood@|@mbiwi@
@Dance sung@|@Djomule@
@dance the shigoma@|@uzina shigoma@
@dance the wasaha@|@uzina wadaha@
@dance with a shawl@|@shigoma@
@dance with a stick@|@biaya@
@dance with simple movements@|@ubadza@
@dance with the cane@|@twarabu@
@dance with the mortar@|@wadaha@
@dance with the sword@|@mulidi@
@danger@|@Hatwari@
@dark blue@|@bile yahiva@
@dark green@|@malavu yahiva, mani yahiva, mrututu yahiva@
@darling@|@nadzi@
@date@|@trendre@
@date palm@|@mimurandra, mitrendre, mtrendre, murandra@
@daughter@|@mwanamtsa mtru-mama@
@daurade@|@pandje@
@day@|@suku@
@Dead@|@Mauti@
@dead person@|@mfu, wamfu@
@deaf@|@mufumakio, wamufumakio@
@death@|@ufa@
@debt@|@Deini@
@december@|@desambru@
@Decree to the world@|@Amuru@
@deep@|@nundra, undra@
@deep freezer@|@konjelatera@
@defend!@|@munia!@
@Demand of forgiveness@|@Starafiri@
@dentist@|@duktera wa manyo@
@desire@|@ashiki, ushauku@
@Despising@|@Madarau@
@diabetes@|@uwade wa sukari@
@Diamond@|@Almasi@
@diapers@|@kushu@
@difference@|@Tafauti@
@difficult@|@dziro, ndziro@
@Difficult@|@Shida@
@Difficulty@|@Taãmbu@
@diffusion@|@matangazo, tangazo@
@dig@|@-tsimba@
@dining room@|@fuko la ulia@
@dirt@|@trotro@
@Disagreement@|@Tafauti@
@disdained@|@uonewa@
@disease@|@maradhi, mawade, uwade@
@dish@|@shia, siniya, zia@
@dish of cassava leaves@|@mataba@
@dish of green bananas@|@mitsolola, mutsolola@
@dish of rice@|@matsidza@
@Dishonor@|@Ãibu@
@disinfectant@|@dalao lihosao@
@dispensary@|@dispenseri@
@disputes@|@umani@
@division@|@seksio@
@divorce@|@twalaka@
@do@|@-fanya@
@do the bed@|@-hodza@
@doctor@|@duktera, matwabibu, mduktera@
@Doctor@|@twabibu@
@doctor on duty@|@twabibu alio dhwamana@
@doesn't have atteind the minim@|@kali wa murisi@
@doesn't have some@|@kavu@
@dog@|@mbwa@
@dolphin@|@fumba-ndruju, fumba-ndruju@
@Domestic animals@|@Zinyama za dagoni@
@domestic oil@|@gashi@
@Don of God@|@Karama@
@donkey@|@pundra@
@don't come!@|@musije!, usije!@
@don't go!@|@musiendre!, usiendre !@
@don't make!@|@musifanye !, usifanye !@
@door@|@mihogo, milango, mulango, mulongo@
@Double pin@|@Kulabu@
@doughnut@|@gulagula@
@dove@|@shikuru, zikuru@
@downward tide@|@maji yashuko@
@Dowry@|@Mahri@
@Drawing@|@Sanamwe@
@drawn@|@unwa maji@
@dream@|@jimbi, majimbi@
@dream boiled@|@batabata la majimbi@
@dress@|@robo@
@dress someone@|@upindrisa@
@dressed up to the nines@|@upindra ha udziro, uvaya@
@drink@|@unwa@
@driver@|@mazofera, shofera@
@drizzles It descended@|@Mambeja yashuka@
@drug@|@dalao lidarisao@
@drums@|@batri@
@drunkenness@|@ulevi@
@dry@|@-humisa, -vangusa@
@dry the plates@|@uvangua sahani@
@duck@|@banta, dukutsi, dzukutsi, mabata, mabata, madukutsi, madzukutsi, madzukutsim@
@dugout@|@laka@
@dumb@|@bubu@
@dust@|@-toa djifu@
@dust the furniture@|@uvangusa mebli@
@eagle@|@kwezi, mahwezi@
@ear@|@kio, mkio@
@early@|@mapema@
@ear-nose-throat specialist@|@duktera wa makio@
@earrings@|@kavi@
@Earth@|@Arzu@
@earth plate@|@tsari@
@easy@|@angu, ndzangu@
@eat@|@-la, udya, ula@
@education@|@elimu@
@effort@|@djitihadi@
@egg@|@jwayi, majwayi@
@eggplant@|@b'engani, mabengani@
@eight@|@nane@
@eighth@|@nane, thumuni@
@Eighty@|@Thamanini@
@elbow@|@tsundzuni@
@elder brother@|@mzuki, zuki@
@eldest brother of the father@|@ababole (wa -)@
@eldest sister of the mother@|@mamabole, wamamabole@
@electricity@|@mwenge@
@elephant@|@ndovu@
@ember@|@kaa, mahaa@
@emptiness@|@trupu@
@enemy@|@maadui@
@engagement@|@marumidzo@
@english@|@wangereza@
@English@|@mungereza, shingereza@
@English (language)@|@shingereza@
@english language@|@shingereza@
@Engraving@|@Nakash@
@enough@|@kiasi@
@enough!@|@b'asi !@
@Epidemic@|@Twaani@
@equality@|@usawa@
@eraser@|@gomu (ma-)@
@Especially@|@Haswa@
@europe@|@ulaya@
@even though@|@alakini, laukana@
@Even though@|@Alakin@
@evening@|@ujoni@
@Ever@|@Abadan@
@Every@|@Kulla@
@Exact@|@Swafi@
@exam@|@mitihani, mtihani@
@examination@|@viziti@
@example@|@mifano, mufano@
@except@|@badi@
@excrements@|@madzi@
@exercise book@|@kaye@
@Expense@|@Harama@
@Expensive@|@Hali@
@explain@|@-eledza@
@explanation@|@maeledzo@
@eye@|@dzitso, matso@
@eyebrow@|@ntsi, tsi@
@eyelash@|@kove@
@eyelid@|@kombe ya dzitso@
@face@|@mauso, sura, uso@
@faith@|@imani@
@family@|@udjemaza@
@fan@|@vantilatera@
@far@|@mbali@
@Far in sea@|@Baina@
@Farewell the dry season@|@Likusi lilagao@
@farmer@|@mlimaji, mulimizi, walimizi, wamlimaji@
@Fasting@|@Tsumu@
@fat@|@tronga@
@father@|@baba, waba@
@Father@|@Amazed@
@father-in-law@|@bamuhe@
@Fear@|@Fazaa@
@Feast@|@Idi@
@feast to the mosque@|@maulida shenge@
@feather@|@mavuzi, puzi@
@february@|@fevriye@
@fellow@|@bako@
@felt pen@|@fetra (ma-)@
@female@|@ndzishe@
@fence@|@muraba@
@fetch water@|@ureha maji@
@fever@|@buhuo, mbuhuo@
@Fever@|@homa@
@fez@|@kofia kazi, kofia sitambule@
@field@|@mazamba, shamba@
@fifth@|@tsano@
@Fifty@|@Hamsini@
@fill in@|@-fitsiya@
@find@|@upara@
@fine dough cake@|@karara, makarara@
@fine!@|@njema!@
@fine; thanks heaven !@|@fetre; alhamdulillahi@
@finger@|@sha, za, zisha, zya@
@fingers@|@ma@
@fire@|@mero, moro@
@first@|@handra, rabuzi@
@First@|@Kadimu@
@first finger@|@sha ya shahada@
@fish@|@fi, shireo, ulowa, zireo@
@fish moon@|@nungu@
@fish parrot@|@pono@
@fish with coconut milk@|@fi ya nadzi@
@fish with tomato@|@fi ya tomati@
@fisher@|@mlozi, mulozi, walozi, wamlozi@
@fisherman@|@mlozi, walozi@
@fishes@|@malozi, ulozi@
@fishhook@|@ulo@
@fishing behind@|@urara@
@fishing to low tide@|@uvura@
@fishing to poison@|@utria uvura@
@fishing to the line@|@misi@
@fishing to the net@|@unyavu@
@fishing to the peg@|@utratrishia@
@Fishing to the veil@|@Djarifa@
@fist@|@tsoma@
@fit@|@kifafa@
@five@|@tsano@
@fix@|@-rengeledza@
@flat roof@|@banara@
@flee@|@kunguni@
@flesh@|@nyama@
@flip-flop@|@kabwa@
@float@|@bati@
@floor@|@sakafu@
@floorcloth@|@shifo@
@flour@|@ngano@
@flower@|@fulera, mafulera@
@Flute@|@Ndzumari@
@fly@|@ndzi@
@flying-fox@|@ndrema, ndremawili@
@fold@|@uvera@
@fold the clothes@|@uvera nguo@
@fold the sheets@|@uvera dara@
@folded leaf@|@uhanza@
@food@|@shahula, Zahula@
@food is abundant@|@Mariziki yapara@
@Food Stuff@|@Zahula@
@foot@|@mindru, mundru@
@For example@|@Masalani@
@for it@|@ha zizo@
@forces@|@nguvu@
@forehead@|@komo, makomo, muso, uso@
@foreign@|@djeni, mudjeni, wadjeni@
@forget@|@-dala@
@fork@|@fursheti, mafursheti@
@Fortune@|@Mali@
@Forty@|@Arubaini@
@foundation@|@misingi, musingi@
@four@|@nne@
@four hundred@|@arba mia num@
@fourth@|@nne@
@fraction@|@fuvu, mafuvu@
@france@|@Farantsa@
@free@|@bure@
@french@|@mufarantsa, wafarantsa@
@French@|@Farantsa, shifarantsa@
@french language@|@shifarantsa@
@Freshness@|@Burudu, Rutuba@
@friday@|@djimwa@
@Friday@|@Djumwa@
@fridge@|@frigo@
@friend@|@munyawe, mwandzani, wandzani, wanyawe@
@friendship@|@uwandzani@
@frog@|@shiwatrotro, ziwatrotro@
@from time to time@|@vavo na vavo@
@Fruit commestible@|@Hubuhubu@
@Fruits@|@marundra@
@fry@|@uvisa@
@game@|@mraha@
@game of "bao"@|@mraha wa tso@
@game of cards@|@bwati ya karata@
@garbage@|@matsaha@
@garden@|@zarde@
@garden hose@|@mimupira, mupira@
@garlic@|@shirungu vuje, shurungu vuje@
@garment@|@nguo@
@gas@|@lasansi@
@Gate@|@muraba@
@gaz cooker@|@bako la gazi@
@gecko@|@kamatrindri, kasangwe@
@gentleman@|@mamwenye, mwenye@
@geography@|@jeografi@
@german@|@wadjeremani@
@German@|@mudjeremani@
@German (language)@|@shidjeremani@
@german language@|@shidjeremani@
@get dressed@|@upindra@
@gift@|@Zawadi@
@ginger@|@singiziu@
@girl@|@binti, mwana mtru-mama, mwana mtru-mshe@
@girl (1)@|@mwanamtsa mutru-mama, wanatsa watru-mama@
@girlfriend@|@buledi, mabuledi@
@girls' room@|@fuko la mtru-mama@
@give birth@|@udzaa@
@glass@|@vera@
@Glasses@|@Miwani@
@glow worm@|@pepetumani@
@glue@|@lakoli@
@gluten@|@shingo mjiva@
@Gluttonous@|@Mulamo@
@go out@|@-lawa@
@Go there!@|@halo!@
@go to school@|@-endra likoli@
@go to the blackboard@|@heya tablo@
@go to the blackboard!@|@heya tablo!@
@go to the fair@|@uendra ngomani@
@go!@|@endra !, namuendre!@
@goat@|@beberu, mabeberu, mbuzi@
@goat dish@|@mtsuzi wa mbuzi@
@goat farmer@|@mutsunga mbuzi@
@goat massala@|@mbuzi ya masala@
@god@|@mungu@
@God@|@Allah@
@God thank you@|@Alhamdulillahi!@
@gold@|@dhahabu, tamtamu@
@gold bracelet@|@kuku ya dhahabu@
@gold chain@|@sheni ya dhahabu@
@gold comb@|@penye ya dhahabu@
@gold earrings@|@kavi za dhahabu@
@gold ring@|@pere ya dhahabu@
@goldfish@|@itrili@
@good@|@- zuri, fetre, mzuri@
@good night!@|@Uku mwema!@
@goodbye!@|@kwaheri !@
@goose@|@gisi, magisi@
@government@|@sirikali@
@gown@|@gawuni@
@granary@|@kanya@
@grandchild@|@mjuhu, wamjuhu@
@granddaughter@|@mujuhu, wajuhu@
@grandfather@|@bakoko, mbakoko@
@grandmother@|@koko, mahoko@
@Grape@|@zabibu@
@grapes@|@zabibu@
@grass@|@davu, malavu@
@grasshopper@|@furudji, mafurudji@
@grate a coconut@|@uhua nadzi@
@great grandchild@|@shilembwe, zilembwe@
@green@|@davu, itsi, mrututu, veri@
@green banana@|@trovi@
@green coconut@|@shijavu, zijavu@
@green leaves@|@feliki, mafeliki@
@green pepper@|@putu la shizungu@
@grey@|@maingu, mosi@
@grill@|@-oha, urema vule, vule@
@grind@|@ududua, urwa, utahani@
@grind the meat@|@utahani nyama@
@ground@|@-dudua@
@groundnut@|@penatsi@
@Group@|@Kaumu@
@grouper@|@muzusi, tsehele mzusi@
@guava@|@mavwera, pwera@
@guava tree@|@mimupwera, mupwera@
@guinea fowl@|@kanga@
@guitar@|@gitari@
@gum@|@duli, maluli@
@Gun@|@Risasi@
@guzzle@|@udedza@
@guzzling@|@madedzo@
@had not gone@|@tsaka naendra@
@hair@|@nyele, nyole@
@hair of beard@|@malevu, ulevu@
@Half@|@Nusu@
@half brother@|@mwananya wa baba mmoja, mwananya wa mama mmoja@
@halwa@|@halua@
@hammer@|@nyindro@
@hand@|@mihomo, muhono@
@handbag@|@saki ya muhono@
@handicapped@|@shiriwe, ziriwe@
@hang cloth@|@urenga nguo@
@Happiness@|@Faradji, Rehema@
@hard@|@angavu, ndzangavu@
@hare@|@sungura@
@harvest@|@-vuna@
@has last@|@mwiso@
@hashish@|@bangel@
@hat@|@kofia, makofia@
@have me@|@tsami@
@have them@|@tsawo@
@have us@|@tsasi, tsawe@
@have you@|@tsanyu@
@having@|@-endza, mwendza@
@he goat@|@bewe, mabewe@
@he makes@|@kasufanya@
@head@|@shitswa, zitswa@
@headache@|@shitswa yaurwa@
@headmaster@|@mwongozi, wamwongozi@
@headstrong@|@nabidia@
@health@|@ãfia, unono@
@Health and illness@|@Unono na uwade@
@Health!@|@Ãfia@
@healthy@|@mnono, nono@
@heart@|@kopa, mo, roho@
@heartbeat@|@pupu la roho@
@Heat@|@hari@
@Heaven@|@Samawati@
@hedgehog@|@landra@
@heedful@|@hashiri@
@hello@|@jeje@
@Hello@|@kwezi, Salama@
@hello!@|@halo!@
@help@|@misada, musada@
@Henna@|@Hina@
@her@|@ahe, lahe, waye@
@here@|@vanu@
@here it is@|@tsaye@
@high tide@|@maji ya uju, maji yajaya@
@higher secondary school@|@lise@
@hinly@|@uvalisa@
@hip@|@trenga@
@hips@|@marenga, trenga@
@his@|@yahe@
@history@|@hadisi, hale, mahadisi@
@hole dug in the apron@|@ngama@
@home@|@makao@
@honest@|@mwaminifu, waminifu@
@honey@|@ngizi@
@honor@|@utukufu@
@Honor@|@Hishima@
