@English@|@Brazilian Portuguese@
@accredited@|@autorizado, creditado@
@accrual@|@acúmulo de juros, agregação, provisão de reserva@
@accrual basis@|@regime de competência@
@accrual date@|@data da provisão@
@accrued@|@acumulado, provisionado@
@accumulated value@|@valor acumulado@
@accumulation@|@acumulação, acúmulo@
@accumulation account@|@conta de acumulação@
@accumulation factor@|@fator de acumulação@
@accumulation period@|@período de acumulação@
@accumulation value@|@valor acumulado@
@accuracy@|@exatidão, precisão@
@accurate@|@acurado, cuidadoso, preciso@
@accursed@|@amaldiçoado, maldito@
@accusation@|@acusação@
@accused@|@acusado@
@accuser@|@acusador, reclamante@
@accustomed@|@acostumado, costumeiro, habitual@
@accustomed to@|@acostumado a, habituado a@
@ace@|@ás, craque, especialista, muito bom (AUS)@
@acedia (deadly sin)@|@preguiça (pecado mortal)@
@acerola@|@acerola@
@acetylene@|@acetileno@
@ache@|@dor@
@achievement@|@atendimento, realização@
@acknowledgement@|@notificação de recebimento, reconhecimento@
@acorn@|@bolota@
@acoustic@|@acústico@
@acoustic bass@|@contrabaixo@
@acoustic guitar@|@violão@
@acquaintance@|@conhecido, conhecimento, contato, pessoa conhecida@
@acquaintanceship@|@conhecimento, relacionamento, trato@
@acquiescence@|@aquiescência, consentimento@
@acquired taste@|@gosto refinado@
@acquittal@|@absolvição@
@acquittance@|@quitação, recibo de pagamento@
@acre@|@acre (4046.84 m2)@
@acrid@|@acre, mordaz@
@acrobatic@|@acrobático@
@acrobatics@|@acrobacia@
@acrolect@|@acrolecto@
@across@|@através@
@across the board@|@incluindo tudo@
@acrylic@|@acrílico@
@act@|@ato, feito@
@act of God@|@ato da natureza, ato de Deus, motivo de força maior@
@act or effect of being or becoming equal@|@empate@
@act utilitarianism@|@utilitarismo dos atos@
@acting@|@interino, representação@
@acting manager@|@gerente interino@
@action@|@ação, batalha, fato@
@action plan@|@plano de ação@
@active@|@ativo@
@active ingredient@|@princípio ativo@
@activity@|@ação, atividade@
@actor@|@ator@
@actress@|@atriz@
@actual@|@atual, literal, real@
@actual weight (A/W)@|@peso real@
@actuarial department@|@departamento atuário@
@actuary@|@atuário@
@actuary table@|@tabela atuária@
@ad@|@anúncio@
@AD (Anno Domini)@|@DC (Depois de Cristo), EC (Era Comum)@
@ad valorem (A/V)@|@proporcional ao valor@
@adamant@|@adamantino, determinado, inatacável, íntegro@
@Adam's apple@|@pomo de Adão@
@adaptation@|@adaptação@
@adapter bushing@|@bucha de fixação@
@Adat recorder@|@gravador multipistas digital@
@addict@|@adicto, viciado@
@addicted@|@viciado@
@addiction@|@vício@
@addition@|@acréscimo, adição, soma@
@additional insurance rider@|@anexo de segundo segurado@
@additional premium (a.p.)@|@prêmio adicional (seguro)@
@address@|@endereço@
@adenoids@|@adenoides@
@adenopathy@|@adenopatia@
@adept@|@adepto, conhecedor, especialista, experto, perito@
@adequate@|@adequado, apropriado, suficiente@
@adherence@|@aderência, adesão@
@adherent@|@discípulo, partidário, sectário@
@adhesion@|@adesão@
@adhesive@|@adesivo, cola, pegajoso@
@adhesive tape@|@durex@
@adjacent@|@adjacente, contíguo@
@adjective@|@adjetivo@
@adjoining@|@contíguo@
@adjournment@|@adiamento, protelação, término@
@adjudicator@|@adjudicador@
@adjustable life insurance@|@seguro de vida ajustável@
@adjustment@|@acomodação, adaptação, ajustamento, alteração@
@ad-lib@|@improvisado, sem preparação prévia@
@administration@|@administração@
@administrative fee@|@custo administrativo@
@administrative rule@|@portaria@
@admiral@|@almirante@
@admiral ship@|@nau capitânia@
@admiration@|@admiração, apreciação@
@admission@|@entrada@
@admission date@|@data da internação@
@ado@|@afã, alvoroço, confusão, trabalho@
@adobe@|@adobe@
@adolescence@|@adolescência@
@adolescent@|@adolescente@
@adoptive@|@adotado, adotivo@
@adornment@|@adorno, atavio, enfeite@
@Adrenalin@|@adrenalina (nome comercial)@
@adrenaline@|@adrenalina@
@adroit@|@capaz, engenhoso@
@adroitness@|@facilidade, presteza@
@adulator@|@adulador@
@adult@|@adulto@
@adult diapers@|@fraldas geriátricas@
@adulterer@|@adúltero@
@adulteress@|@adúltera@
@adultery@|@adultério@
@advance@|@adiantamento (de salário), avanço, progresso@
@advance copy@|@prova de impressão@
@advance freight@|@frete pago antecipadamente@
@advanced@|@avançado(a)@
@advances@|@adiantamentos@
@advantage@|@prol@
@advent@|@advento@
@adventure@|@aventura@
@adventurer@|@aventureiro@
@adventurous@|@aventureiro@
@adverb@|@advérbio@
@adverse@|@avesso@
@advert@|@anúncio, fazer alusão@
@advertisement@|@anúncio, publicação@
@advertising@|@propaganda, publicidade@
@advice@|@aviso, conselho, recomendação@
@adviser@|@consultor@
@advisor@|@conselheiro@
@advocate@|@advogado, defensor@
@Aeolian@|@Eólio@
@aerial@|@antena@
@aerie@|@L??L?1, ninho-de-águia, ninho de ave de rapina@
@aerodynamical@|@aerodinâmico@
@aerodynamics@|@aerodinâmica@
@aerogram@|@aerograma@
@aeroplane@|@avião@
@aesthetic@|@estética, estudo do belo (Arte)@
@aestheticism@|@estetismo@
@aesthetics@|@estética@
@aeviternity@|@eviternidade@
@affability@|@afabilidade@
@affable@|@afável, expansivo@
@affair@|@coisa@
@affectation@|@afetação, pose@
@affected@|@afetado@
@affection@|@afeição@
@affidavit@|@atestado, comprometeu-se, declaração juramentada@
@affiliated@|@afiliado@
@affinity@|@afinidade@
@affinity diagram@|@diagrama de afinidades@
@affliction@|@desgraça@
@affront@|@afronta, desrespeito, insulto@
@Afghan@|@afegão@
@Afghanistan@|@Afeganistão@
@aficionado@|@aficcionado, fã@
@afraid@|@com medo@
@afresh@|@de modo diferente, de outra maneira@
@Africa@|@África@
@African@|@africano@
@after@|@depois, depois que, em seguida@
@after a fashion@|@até certo ponto, de certo modo@
@after all@|@afinal, apesar de tudo@
@after date@|@após a data, data de vencimento de título@
@after-image@|@imagem residual@
@afterlife@|@vida futura, vida pós-morte@
@aftermath@|@conseqüência, resultado@
@afternoon@|@tarde@
@aftertaste@|@ressaibo, travo@
@after-tax@|@imposto líquido@
@afterthought@|@reconsideração, reflexão (posterior)@
@afterwards@|@após, depois, em seguida@
@again@|@novamente@
@against@|@contra@
@against all odds@|@apesar das dificuldades, contra todas as chances@
@agape@|@ágape, boquiaberto@
@agate@|@ágata@
@age@|@idade@
@age group@|@faixa etária@
@age of consent@|@maioridade@
@agency@|@ação, agência, atividade, meio@
@agency contract@|@contrato de agenciamento, contrato de agente@
@agenda@|@pauta do dia@
@agent@|@agente, instrumento@
@agent-causation@|@causalidade do agente@
@agent-neutral@|@neutro em relação ao agente@
@agent-relative@|@relativo ao agente@
@agglutinant@|@aglutinante@
@aggression@|@agressão@
@aggressive@|@agressivo, beligerante@
@aggressor@|@agressor@
@aghast@|@apavorado, chocado, perplexo@
@agile@|@ágil, esperto, vivo@
@agility@|@agilidade@
@agitation@|@perturbação@
@aglitter@|@brilhante, brilhantemente@
@agnostic@|@agnóstico@
@ago@|@anteriormente, há tempos, passado@
@agog@|@ansioso, entusiasmado@
@agony@|@agonia, sofrimento, tormento@
@AGP(Accelerated Graphics Port)@|@AGP@
@agrarian@|@agrário@
@agreeable@|@agradável@
@agreed@|@acordado, concordado, harmonizado@
@agreement@|@acordo, contrato, convenção, entendimento@
@agribusiness@|@agroindústria, agronegócio@
@agricultural@|@agrário, agrícola@
@agricultural engineer@|@engenheiro agrônomo@
@agriculture@|@agricultura@
@agrochemical@|@agroquímico, defensivo agrícola@
@agronomist@|@agrônomo@
@agronomy@|@agronomia@
@agrotoxin@|@agrotóxico, pesticida@
@ague@|@febre intermitente, maleita@
@ahead@|@à frente, avante, em frente@
@ahead of time@|@antes da hora@
@AI (Artificial Intelligence)@|@IA (Inteligência Artificial)@
@aid@|@ajuda, ajudante, auxílio@
@ailment@|@aflição, doença@
@aim@|@alvo, escopo, mira, objetivo@
@ain't (am not)@|@não estou, não sou@
@air@|@ar@
@air base@|@base aérea@
@air hostess@|@aeromoça, comissária de bordo@
@air raid@|@ataque aéreo@
@air terminal@|@terminal de aeroporto@
@air waybill (AWB)@|@conhecimento aéreo@
@air-conditioning@|@ar-condicionado@
@aircraft@|@avião@
@aireless@|@abafado@
@airfoil@|@aerofólio@
@airless@|@abafado@
@airmail@|@correio aéreo@
@airman@|@aeronauta, aviador@
@airplane@|@avião@
@airport@|@aeroporto@
@airs@|@nove-horas@
@airship@|@aeronave, dirigível@
@airsick@|@enjoado (pelo movimento)@
@airtight@|@estanque, hermético@
@airway bill@|@conhecimento de embarque aéreo@
@airway bill of lading (AWBL)@|@conhecimento de embarque aéreo@
@airway obstruction@|@obstrução das vias aéreas@
@airways@|@passagem de ar, vias aéreas, vias respiratórias@
@airy@|@arejado, etéreo, tênue, visionário@
@aisle@|@corredor entre assentos, coxia, passagem estreita@
@aisle seat@|@assento no corredor@
@ajar@|@quase aberto@
@akoluthic@|@acolutia@
@alarm@|@alerta, pânico@
@alas@|@infelizmente, lamentavelmente@
@albatross@|@albatroz@
@albeit@|@embora@
@album@|@álbum, CD, disco@
@albumen@|@albumina, clara de ovo@
@albumin@|@albumina@
@alcohol@|@álcool@
@alcoholic@|@alcoólatra, alcoólico@
@alcoholic beverage@|@bebida alcoólica@
@alcove@|@alcova@
@ale@|@cerveja@
@alert@|@ágil, alarme, alerta, vivo@
@Alexandrine@|@alexandrino@
@alfalfa@|@alfafa@
@Al-Farabi@|@Alfarrabi@
@alga@|@alga@
@algebra@|@álgebra@
@Al-Ghazali@|@Algazel@
@Algonquian@|@algonquino@
@alias@|@aliás, apelido, nome falso, pseudônimo@
@alibi@|@álibi@
@alien@|@alienígena@
@alienans@|@adjetivo pseudoqualificativo@
@alienist@|@alienista, psiquiatra@
@alight@|@aceso, em chamas@
@alike@|@igual, igualmente, semelhante@
@alimony@|@manutenção, pensão alimentícia, sustento@
@aliorelative relation@|@relação hetero-relativa, relação irreflexiva@
@alive@|@vivo@
@alkali@|@álcali@
@alkaline@|@alcalino@
@alkene@|@alceno@
@all@|@tudo@
@all about@|@por toda a parte@
@all along@|@desde o começo, por todo o tempo@
@all but@|@quase@
@all Greek (AUS)@|@incompreensível, ininteligível@
@all in conformity@|@tudo de conformidade@
@all of a sudden@|@de chofre, de súbito, subitamente@
@all over@|@por toda a parte@
@all right@|@muito bem, sem dúvida@
@all sorts of@|@todos os tipos de@
@All Souls' Day@|@Finados (2 de Novembro)@
@all the more@|@tanto mais@
@all the same@|@a mesma coisa, o mesmo que, tudo igual@
@all the way@|@até o fim, completa (refeição)@
@all the way (slang)@|@relação sexual completa (GB)@
@all things being equal@|@em igualdade de circunstâncias@
@allegation@|@alegação, queixa@
@alleged@|@pretenso, suposto@
@allegedly@|@alegadamente, supostamente@
@allegiance@|@dedicação, lealdade@
@allegoric@|@alegórico@
@allegory@|@alegoria, fábula, parábola@
@all-encompassing@|@abrangente, amplo@
@allergic@|@alérgico@
@allergic reaction@|@reação alérgica@
@allergies@|@alergia@
@allergy@|@alergia@
@alley@|@aléia, beco, viela@
@All-Hallows@|@dia de Todos os Santos (1/11)@
@alliance@|@aliança, união@
@allocation@|@alocação, rateio@
@allopath@|@alopata@
@allopathy@|@alopatia@
@allowance@|@concessão, desconto, pensão, tolerância@
@allowed@|@permitido@
@alloy@|@liga (metais)@
@allure@|@fascínio, sedução@
@allurement@|@fascinação, sedução@
@allurer@|@aliciador@
@allusion@|@alusão, insinuação@
@almanac@|@almanaque, anuário@
@almighty@|@todo-poderoso@
@almond@|@amêndoa@
@almost@|@quase@
@alms@|@esmola, óbolo@
@alone@|@só, sozinho, único@
@along@|@adiante, ao longo, junto com@
@along with@|@junto com@
@alongside@|@à margem de, ao lado (carga), ao longo de@
@aloof@|@distante (modos)@
@aloud@|@alto, em bom som@
@alp@|@montanha muito alta@
@alpha@|@alfa@
@alphabet@|@abecedário, alfabeto@
@alpinist@|@alpinista@
@Alps@|@Alpes@
@already@|@já@
@alright@|@certamente, legal (gíria), sem dúvida@
@also@|@além disso, também@
@altering@|@castração (de animal)@
@alternative@|@alternativa(o), escolha@
@alternative hypothesis@|@hipótese alternativa@
@alternatively@|@alternativamente@
@although@|@ainda que, apesar de, conquanto, embora@
@altitude@|@altitude, elevação@
@alto@|@contralto@
@alto sax@|@sax-alto@
@alto-clef@|@clave de contralto@
@altogether@|@completamente, informal, inteiramente, totalmente@
@altruism@|@altruísmo@
@alumina@|@alumina@
@aluminium@|@alumínio@
@aluminum matt@|@mate alumínio (esmalte)@
@alveolus@|@alvéolo@
@always@|@sempre@
@Alzheimer's disease@|@mal de Alzheimer@
@amah@|@ama-de-leite, criada@
@amalgam@|@amálgama, mistura@
@amaranth@|@amarante@
@amass@|@acúmulo@
@amateur@|@amador, curioso (pessoa)@
@amazement@|@assombro, espanto@
@amazing@|@espantoso, incrível, surpreendente@
@amazon@|@amazona, papagaio (verde), virago@
@Amazon River@|@rio Amazonas@
@ambassador@|@embaixador@
@ambassadress@|@embaixatriz@
@amber@|@âmbar, cerveja (AUS)@
@ambergris@|@âmbar cinza@
@ambidextrous@|@ambidestro, enganoso@
@ambient@|@ambiente@
@ambiguity@|@ambigüidade@
@ambiguous@|@ambíguo@
@ambit@|@âmbito@
@ambition@|@ambição@
@ambitious@|@ambicioso@
@ambulance@|@ambulância@
@ambulatory@|@ambulante@
@ambush@|@emboscada@
@amenable@|@ameno@
@amendment@|@correção, emenda (legal)@
@amends@|@reparo@
@America@|@América@
@American@|@americano@
@American Civil War@|@Guerra de Secessão (1861-1865)@
@amethyst@|@ametista@
@amiable@|@afável, amável, cordial@
@amicable@|@amigável, amistoso@
@amid@|@em meio a, entre, no meio de@
@amidst@|@entre, no meio de@
@amiss@|@errado, impropriamente, inoportuno, mal@
@amity@|@amizade@
@ammeter@|@amperímetro@
@ammunition@|@munição@
@amnesia@|@amnésia@
@amniocentesis@|@amniocentese@
@amnion@|@âmnion@
@amniotic@|@amniótico@
@amok@|@enlouquecido, possuído@
@among@|@entre (mais de dois itens)@
@amorous@|@amoroso@
@amorphous@|@amorfo@
@amount@|@montante, quantia, quantidade, total@
@amour propre (French)@|@amor próprio, vaidade@
@amp@|@ampere, amplificador@
@amphitheatre@|@anfiteatro@
@amphora@|@ânfora@
@amphoteric@|@anfotérico@
@ampleness@|@folga@
@ampoule@|@ampola, frasco@
@amulet@|@amuleto, figa@
@amusement@|@diversão@
@amusing@|@divertido@
@an@|@um (uma)@
@an ignorant@|@burro@
@an informed decision@|@uma decisão consciente@
@an old large ship@|@nau@
@anal@|@anal@
@analgesic@|@analgésico@
@analog@|@analógico@
@analogical@|@analógico, figurativo@
@analogous@|@análogo, similar@
@analogue@|@análogo@
@analphabetic@|@analfabeto, iletrado@
@analysis@|@análise@
@analysis certificate@|@certificado de análise@
@anamnesis@|@anamnese@
@anarchist@|@anarquista@
@anarchy@|@anarquia@
@anatomy@|@anatomia@
@ancestor@|@ancestral, antepassado@
@ancestral@|@ancestral@
@ancestress@|@ancestral (feminino), antepassada@
@anchor@|@âncora@
@anchorman@|@âncora (TV)@
@anchovy@|@enchova@
@ancient@|@antigo, velho@
@and@|@e@
@and so on@|@e assim por diante@
@and yet@|@e com isso, e mesmo assim@
@anemia@|@anemia@
@anesthesia@|@anestesia@
@anesthesiology@|@anestesiologia@
@anesthetic@|@anestésico@
@anew@|@de novo, novamente@
@angel@|@anjo@
@angel cake@|@pão-de-ló (sem gema de ovo)@
@angelic@|@angelical@
@angelical@|@angelical, beatífico@
@anger@|@ira@
@angina@|@angina@
@angioplasty@|@angioplastia@
@angler@|@peixe carnívoro, pescador (com anzol), trapaceiro@
@Anglo-Saxon@|@anglo-saxão@
@angry@|@irado, zangado@
@angst@|@angústia@
@angstrom (A)@|@angstrom (A)@
@aniline@|@anilina@
@animal@|@animal@
@animal science@|@zootecnia@
@animosity@|@animosidade@
@anise@|@erva-doce@
@ankle@|@tornozelo@
@annals@|@anais, crônicas@
@annex@|@anexo, dependência(s)@
@annexe@|@ala (de edifício), anexo, dependência(s)@
@annihilation@|@aniquilamento@
@anniversary@|@aniversário, natalício@
@announcement@|@anúncio, proclamação@
@annoyance@|@encheção (gíria)@
@annoying@|@chato@
@annoying person@|@chato (pessoa)@
@annual@|@anual@
@annuity@|@anuidade@
@annular@|@anular, circular (2)@
@anomalous@|@anômalo@
@anomaly@|@anomalia@
@anon@|@em breve, logo@
@anonymity@|@anonimato@
@anonymous@|@anônimo@
@anorexia@|@anorexia@
@another@|@outro, um outro@
@another person(s)@|@outrem@
@answer@|@resposta@
@answer mode@|@modo de resposta@
@answering machine@|@secretária eletrônica@
@ant@|@formiga@
@antacid@|@antiácido@
@antagonism@|@antagonismo@
@antagonist@|@adversário, antagonista@
@antagonistic@|@antagônico, contrário, incompatível@
@antarctic@|@antártico@
@Antarctica@|@Antártida@
@ante@|@aposta, custo@
@ant-eater@|@tamanduá@
@antecedent@|@ancestral, antecedente, ascendente, precedente@
@antenatal@|@embrionário, pré-natal@
@anteroom@|@ante-sala@
@anthem@|@hino nacional@
@ant-hill@|@formigueiro@
@anthropophagus@|@antropófago@
@antibacterial@|@antibacteriano@
@antibiotic@|@antibiótico@
@antibody@|@anticorpo@
@antic@|@farsa, travessura@
@anticipation@|@antecipação, expectativa, predição, previsão@
@anticlockwise@|@anti-horário@
@anti-icing@|@anti-gelo@
@antipathetic@|@antipático@
@antipathy@|@ojeriza@
@Antwerp@|@Antuérpia@
@anus@|@ânus, cu (vulgar)@
@anvil@|@bigorna@
@anxiety@|@angústia, ansiedade@
@any@|@algum(a)@
@any longer@|@não mais, nem mais um minuto@
@anybody@|@alguém, qualquer um@
@anymore@|@agora, de agora em diante@
@anyone@|@alguém, qualquer um@
@anything@|@qualquer coisa@
@anyway@|@de qualquer maneira@
@anywhere@|@em qualquer lugar@
@a-okay@|@em perfeito estado, excelente (gíria)@
@A-one (informal)@|@de alta qualidade, de primeira linha@
@aorta@|@aorta@
@apart@|@à parte, em separado, independentemente@
@apart from@|@afora@
@apartment@|@apartamento@
@apathetic@|@apático, indiferente@
@apathy@|@apatia, indiferença@
@a-peak@|@próximo ao navio (gíria naval)@
@aphid@|@pulgão@
@aphorism@|@aforismo@
@aphrodisiac@|@afrodisíaco@
@aphrodisiacal@|@afrodisíaco@
@aphtha@|@afta@
@apiary@|@apiário@
@apiece@|@cada um, per capita, por cabeça@
@apnea@|@apnéia@
@Apocalypse@|@apocalipse@
@apodeitic@|@apodíctico@
@apodosis@|@apódose@
@apogee@|@ápice, apogeu (astronomia)@
@apology@|@defesa, desculpa@
@apostle@|@apóstolo@
@apotheosis@|@apoteose@
@apparel@|@indumentária, vestimenta@
@apparent@|@aparente, evidente, manifesto@
@apparition@|@visão@
@appeal@|@apelo, atração, encanto, recurso@
@appearance@|@aparência@
@appendage@|@anexo, apêndice, extremidade@
@appendectomy@|@apendicectomia@
@appendicitis@|@apendicite@
@appendix@|@apêndice@
@appetite@|@apetência, apetite@
