@English@|@French (Botanics)@
@hautboy strawberry plant@|@capronier@
@hawk-weed@|@épervière@
@heath@|@bruyère@
@heather@|@bruyère@
@heawort@|@cinéraire@
@helianthus@|@hélianthe@
@hemecorallis@|@hémécoralle@
@hemp@|@chanvre, chénevis@
@hepatgynous@|@heptagyne (adj)@
@heptagynian@|@heptagyne (adj)@
@heptandrian@|@heptandre (adj)@
@heptandrous@|@heptandre (adj)@
@herb bennet@|@benoîte@
@hollyshock@|@alcée@
@honeysuckle@|@chèvrefeuille@
@horse-thistle@|@cirse@
@husk@|@bale, balle@
@hyacinth@|@jacinthe@
@indian shot@|@canna@
@iridaceae@|@iridées@
@iris@|@iris@
@ixia@|@ixia@
@japanese persimmon@|@kaki@
@kaki@|@kaki (fruit)@
@karatas@|@karatas@
@ketmia@|@ketmier@
@kola@|@kola@
@laciferous@|@laccifère (adj)@
@lantana@|@lantanier@
@larch-tree@|@larix@
@larkspur@|@éperonnière@
@lemon-tree@|@citronnier@
@lily@|@amaryllis@
@lime-tree@|@citronnier@
@mahogany@|@acajou@
@malabar nightshade@|@baselle@
@mangel-wurzel@|@betterave fourragère@
@mangold-wurzel@|@betterave fourragère@
@marsh-mallow@|@athaea@
@marvel of Peru@|@belle de nuit@
@meadow-cress@|@cardamine@
@molucca bean@|@bonduc@
@monkey-bread tree@|@baobab@
@morel@|@cerisette@
@mushroom@|@agaric@
@neapolitan medlar@|@azerole@
@nectarine@|@brugnon@
@nicker-tree@|@bonduc@
@nopal@|@cochenellier@
@pasque-flower@|@campagne@
@pea-nut@|@arachide@
@pertaining to bushes@|@arbustif-e (adj), arbustive (adj)@
@peruvian custard-apple@|@chérimolier@
@pheasant's eyes@|@adonide@
@pickled nasturium seed@|@câpre, capucine@
@pine-apple@|@ananas@
@platomaceae@|@diatomées@
@quince@|@coing@
@ragwort@|@jacobée@
@rainbow@|@iris@
@rose-gall@|@bédegar@
@rye-grassy@|@ivraie@
@safflower@|@carthame@
@saltwort@|@kali@
@sapwood@|@aubier@
@sea-weed@|@algue@
@sheating@|@engainant-e [adj]@
@shoot@|@bion@
@shrub@|@arbuste@
@silver-weed@|@argoutine@
@skirret@|@berle, chervis@
@snail-flower@|@caracolle@
@snake-weed@|@bistorte@
@sorb-aplle@|@alise@
@southernwood@|@citronnelle@
@spike-lavander@|@aspic@
@sporangium@|@archégone@
@spruce@|@épicéa@
@St John's bread@|@carouge@
@St.John's bread@|@carouge@
@star-thiste@|@chausse-trape@
@starwort@|@aster@
@sundew@|@drosère@
@sunflower@|@hélianthe@
@sweet-basil@|@basilic@
@tare@|@ivraie@
@teasel@|@cardère@
@tendril@|@cirre, cirrhe@
@thistle@|@cirse@
@tip@|@anthère@
@tree@|@arbre@
@tree of heaven@|@ailante@
@tree-moss@|@brion, bryon@
@upas-tree@|@antiar@
@venus's fly-trap@|@dionée@
@vetch@|@jarosse@
@water-hemlock@|@cicutaire [adj]@
@water-plantain@|@alisme@
@wax-myrthe@|@cirier-ière@
@welsh onion@|@ciboule@
@whitebeam@|@alisier@
@whortle-berry@|@airelle@
@wild chicory@|@barbe-de-capucin@
@wild fig-tree@|@caprifiguier@
@wild quince@|@cognasse@
@wild sage@|@lantanier@
@wild spinach@|@ansérine@
@wild-rose@|@égalntine@
@William@|@bon-chrétien@
@winter-sherry@|@alkékenge@
@woodruff@|@aspérule@
@wood-sorrel@|@acétoselle, alléluia@
@wormwood@|@armoise@
@yam@|@igname@
@yellow water-lily@|@jauneau d'eau@

