@English@|@Cheyenne@
@aged ones: the ~@|@tsééna'hese (vai)@
@aggravated at SB: be ~@|@háestáhá'tov (vta)@
@aggravated: become ~@|@háestáháotse (vai)@
@agitated@|@óo'e'ot- (i)@
@agitated: he became highly ~@|@éháatanóotse (vai)@
@agony (ni nom)@|@óetsetanónavo'omenêhestôtse@
@agree@|@amahtá (vai)@
@agree (to ST)@|@hoto'etanóotse (vai)@
@agree with SB@|@amâhtov (vta)@
@agreeable: be ~@|@éšenohe (vta pass)@
@ahead@|@maeto (p), vovó- (i)@
@ahead of SB in contest: be ~@|@novoh(n) ? (vta)@
@ahead: far ~@|@péáhéške (p)@
@aid SB@|@nêsót (vta)@
@ail@|@totónêstahe (vai)@
@aim at SB@|@onémóom (vta)@
@aim at ST@|@onó'óohtá (vti)@
@aim it@|@hestó'ená (vti)@
@aim ST@|@ho'a'en (vti)@
@aimless@|@tóhtom- (i)@
@aimless: be ~@|@tóhtomonahe (vai)@
@aimlessly@|@tóhtome- (pv), tóhtomone- (pv)@
@air@|@ómotome (ni), ómotómestôtse (ni)@
@air (variant)@|@ómotómestôtse@
@air conditioner@|@tova'háséó'o (ni)@
@air out ST@|@ómotóman (vti)@
@air pump@|@éstová'haseo'o (ni)@
@airplane@|@ame'hahtôtse (ni)@
@airplanes@|@ame'háhtotôtse (ni)@
@alarm@|@sé'hahtóohestôtse (ni)@
@alarm: sound the ~@|@nóto'xevá (vai)@
@alcohol@|@manestôtse (ni)@
@alcoholic@|@tséháemanêstse (vai cj ppl)@
@alcoholic: be an ~@|@vé'ho'émâhpévomóhtahe (vai)@
@alfalfa@|@ota'távó'êstse (ni pl)@
@alien@|@nót- (i), nótame (na poss)@
@alienate from SB@|@ováhae'ov (vta), vovónôsáhtse'tov (vta)@
@alight@|@óehá (vii), óeoeše(ná) (vai), óeše (vai)@
@alight on@|@táxeóešé'tov (vta), táxeóeše(ná) (vai)@
@alight on SB@|@óešé'tov (fta)@
@alive for so long: be ~@|@he'éšetanéné (vai)@
@alive: he is ~@|@éametanéné (vai)@
@all@|@hetaa'- (pv), mae- (pv), mâh- (i), mâhe- (pv), mâhe(t)- (i), mâheto (p), néstoxe (vai), óove- (pv)@
@all around@|@mâhahtóohe (vai)@
@all fight SB@|@mâhét (vta)@
@all in one place@|@naest- (i), naestseto (p)@
@all of a sudden@|@taehó'ó'tóva (p)@
@all of it@|@nâhóhpo (p)@
@all of them@|@néstôxévôse (vai cj)@
@all of them (an)@|@néstôxévôse (pro)@
@all of us@|@néstôxétse (p), néstôxétse (pro)@
@all of us (or them etc)@|@hóovo'eto (p)@
@all of: be ~@|@hestôhnóvahe (vai)@
@all on one side@|@naestseto (p)@
@all on same side@|@mâhahtóohe (vai)@
@all over@|@áoveto (p), netao'o éveto (p)@
@all over the earth: be ~@|@hetaa'óma'o'e (vii)@
@all right@|@mâhoxe'a'ó (vai), nóonêhe'še (p), oóxêstanéhôtse (p)@
@all sleep@|@mâhénome (vai)@
@all the same@|@hoháeto (p)@
@all the time@|@nómôse (p)@
@all together@|@né'tóvéto (p)@
@all work on SB@|@mâhé'tov (vta)@
@all your fathers (usage is archaic)@|@mâhe'éhao'o (na poss)@
@alligator@|@ma'xêheó'ôhtáto (vai)@
@allot land to SB@|@hesto'aov (vta)@
@allow room for SB@|@po'anomev (vta)@
@allow SB@|@amâhtov (vta)@
@ally@|@htaxe (na), néstaxe (na)@
@ally: my ~@|@néstaxe (na poss)@
@almost@|@éšêto'se- (pv), ohto'se- (pv), tó'ease- (pv), to'êstó'- (pv)@
@alone@|@no'k- (i), no'k (p), no'ke (p), oséhe'k- (i), oséhe'ke- (pv)@
@alone: be ~@|@oséhe'kahe (vai)@
@alone: he is ~@|@éno'kahe (vai)@
@alone: he's ~@|@éno'kee'e (vai)@
@alone: I ~@|@néhno'kâhéto (vai cj ppl)@
@along@|@am (p)@
@along edge@|@tóxe- (pv)@
@along the edge@|@tóxeha (p)@
@alphabet@|@éestsévôhónestôtse (ni)@
@already@|@áahtse- (pv), éš/éx (p), éše- (pv)@
@already did it: he ~@|@éáahtse'nêhešéve (vti)@
@alright: it's ~@|@énêšêpéva'e (p)@
@also@|@áháse (p), hóse- (pv), máto (p), vése- (pv)@
@altar@|@oestóonévêstoo'o (na)@
@alternate in feeling@|@noname'to'evahe (vai)@
@alternately@|@totó'hoveto (p)@
@alternative thing@|@otohpêse (p)@
@although@|@kánomá'oné (one?) (vai), kánome- (pv)@
@aluminum (light metal)@|@véhpanaema'kaeta naé? (ni)@
@aluminum pail (light container)@|@véhpanaévetohko (ni)@
@always@|@mé'êstse@
@amazed at or by ST/SB: be ~@|@hoháátsestá (vti)@
@amazed at SB: be ~@|@otoéstátam (vta)@
@amazed at ST: be ~@|@otoésetsestá (vti)@
@amazed at/by SB: be ~@|@hoháátsêstov (?) (vta)@
@amazed: be ~@|@hoháatanó (vai), otoésetanó (vai)@
@amazed: become ~@|@otoésetanóotse (vai)@
@ambition: have ~@|@he-nâhahkâhéstove (vai)@
@amble along@|@ameohtsé (vai)@
@ambulance@|@naa'éamâho'hestôtse (ni)@
@American@|@vé'ho'é- (pv) (i)@
@amidst@|@tó'hove- (pv)@
@ammo belt@|@hóxetseehestôtse (ni)@
@among@|@tó'hove- (pv)@
@among mankind@|@héstánóva (obl)@
@among people@|@héstánóva (obl)@
@amount that ~@|@hestôhe- (pv)@
@amount: such an ~@|@he'xóv- (i)@
@amount: that ~@|@hestôh- (pv)@
@amputated arm@|@é'ena'éva (vai)@
@amulet@|@vonâhé'xa'ame (na poss), vonâhé'xa'ame (ni), vonâhé'xá'e (ni), vonâhé'xame (na poss), vonâhé'xame (ni)@
@anal cavity@|@vóse'êsestôtse (ni)@
@anaphoric@|@(anaph)@
@ancient@|@nésta'omeé- (mée?) (pv)@
@ancient people@|@nésta'omeétaneo'o (na pl)@
@and@|@naa (p)@
@and also@|@nánôhtsé'e (p)@
@Andakaro (OK) (lit Kiowa town) (geo)@|@Vétapâhaeto'e-mâhoéve'ho'éno@
@anemic: be ~@|@mâhtsemá'eme émá'seohtsetse@
@anemic: he is ~ (vii)@|@mâhtsemá'eme émá'seohtsetse@
@anew@|@vóvôheše- (pv)@
@angel (lit heavenly worker)@|@he'amo'omeehotse'o (na)@
@anger@|@ta'ovetanohtôtse@
@anger easily@|@osenove (vai)@
@anger SB@|@tsé'eoestoh(n) (vta)@
@anger SB through talking@|@vénem (vta)@
@angered easily: be ~@|@totó'kovahe (vai)@
@angered: be a pers who gets easily ~@|@totó'kovâhé'heóneve (vai)@
@Angora cat@|@péhpe'épóéso (na)@
@angry@|@momáta' (p), ta'ov- (i)@
@angry at people: be ~@|@nêsétsêstahe (vai)@
@angry easily over every little thing: he gets ~@|@étotá'kovahe (vai)@
@angry easily: get ~@|@totá'kovahe (vai)@
@angry in spurts@|@ová'kêstáhá (vai)@
@angry: be ~@|@hestoé'tov (vta)@
@angry: get ~@|@némôhkêha'éotse (vai)@
@angry: he is terribly ~@|@étaomêhótseéxo'âséotse (vai)@
@angry: he is very ~@|@éáhanêstáhá (vai)@
@angry: he's ~@|@émomáta'ehe (vai)@
@angry: leave ~@|@asêta'oveohe (vai)@
@animal@|@höva (na)@
@animal (esp a bird)@|@néestoo'o (na poss)@
@animal feces@|@hemahkâse (ni)@
@animal warden@|@hováheve'ho'e (na)@
@animal: be an ~@|@hováheve (vai)@
@animal: forest ~@|@ma'taa'éhova (na)@
@animal: little ~@|@hováhéso (na dim)@
@animal: wild ~@|@nâhahé-hóva (na)@
@animallike: be ~@|@hováhéva'ó (vai)@
@animals@|@hováhne (na pl)@
@animals (alt pl)@|@hováhneo'o (na pl)@
@animals: little ~@|@hováhesono (na dim pl)@
@animate@|@(an)@
@animate noun possessive form@|@(na poss)@
@ankle@|@honono (ni), htonono (ni poss), noná (mbp)@
@ankle bone(s)@|@vé'ho'á'one (ni poss)@
@ankles@|@honononôtse (ni pl)@
@annex@|@ho'xêstan (vti)@
@annihilate SB@|@vonenot (vta)@
@annihilate SB by fire@|@voneoestâho'h(n) (vta)@
@annihilate SB by water@|@vonóovot (vta)@
@annihilate ST@|@vonenohtsé (vti)@
@annihilated in water: be ~@|@vonóomeoešeše(ná) (vai)@
@announce@|@onóosetanevá (vai)@
@announce (esp as a crier)@|@hóo'xêva (vai)@
@announce about SB@|@hóo'xevót (vta)@
@announce about ST@|@hóo'xevóhtá (vti)@
@announce for SB@|@hóo'xevomotah (vta)@
@announce the enemy@|@nóto'xevá (vai)@
@announce while walking@|@hóo'xeváhné (vai)@
@another@|@nétahe (vai)@
@another time@|@áneno (p)@
@another: be ~@|@néta'e (vii)@
@answer@|@no'está (vai), no'êstósané (vai)@
@answer SB@|@no'êstov (vta)@
@answer ST@|@no'êstá'tá (vti)@
@answering machine@|@no'êstósanestôtse (ni nom)@
@ant (variant)@|@hátšeške (na)@
@ant: be an ~@|@hátšêškéheve (vai)@
@ant: he is an ~@|@éhátšêškéheve (vai)@
@ant: red ~@|@ma'êhátseške (na)@
@ant: winged ~@|@hestseméenéhatseške (na)@
@ant: yellow ~@|@heóvêhátseške (na)@
@antagonism@|@óhnetsêstâhestôtse (ni nom), óhnetsêstâhestôtse (p), óhnetsêstósenestôtse (ni nom), óhnetsêstósenestôtse (p)@
@antecede@|@nésta- (pv)@
@antelope@|@vó'aa'e (na)@
@antelope (variant)@|@vó'kaa'e (na)@
@antelope buck@|@hotóavó'aa'e (na)@
@antelope buckskin@|@vó'aehevôtse (ni pl), vó'kaehevôtse (ni)@
@antelope bull@|@hotóavó'aa'e (na)@
@antelope hair@|@vó'kaeheévaho (na pl)@
@antelope hide@|@vó'aehevôtse (ni pl), vó'kaehevôtse (ni)@
@antelope song@|@vó'aehenémeo'ôtse (ni nom), vó'kaehénooné (vai), vó'kaenoonestôtse (ni nom)@
@antelope: be an ~@|@vó'kaeheve (vai)@
@antelope: white ~@|@vóhpevó'aa'e (na)@
@antelopes@|@vó'aeho (na pl), vó'kaeho (na pl)@
@antelopes (variant)@|@mâhóone (na pl)@
@anterior to@|@nésta- (pv)@
@anticipate@|@hotséovó'setanó (vai)@
@anticipate ST@|@nôhtovomá'ta (vti)@
@antisocial@|@ová'e'šetanó (vai)@
@antler@|@évesé (mbp), htsevevêstse (na poss), vevêstse (na)@
@antlers@|@véveto (na pl)@
@Antlers@|@Mé'ševêséhe (pn)@
@antlers: have good ~@|@pêhévevésé (vai)@
@antlers: have pointed ~@|@óeškôsévésé (vai)@
@antlers: have stump ~@|@totámévésé (vai)@
@antonym@|@(ant)@
@ants@|@hátšêškeho (na pl)@
@ants: red ~@|@ma'êhátseške (na pl)@
@ants: winged ~@|@hestseméenéhatšêškeho (na pl)@
@anus: have an ~ (concave arse)@|@véhpe'esé (vai)@
@anxious about SB@|@óetsetanóotsé'tov (vta)@
@anxious: be ~@|@oóétsetanó (vai)@
@anxious: he's ~@|@éóétsétáno (vai)@
@anxiously@|@óetsetanónave- (pv)@
@any@|@naese (p), náháse (p), nóháse (p), nóhásôháma (p)@
@any way@|@náhósôháma (p)@
@anything@|@nóháso (p), nóhásôháma   (p)@
@anything: about ~@|@hová'êhéstónêhéva (obl)@
@anything: in ~@|@hová'êhéstónêhéva (obl)@
@anyway@|@hóhoóvaeto (p), hoohtova- (pv), nêškemôse (p), váhtome- (pv)@
@anywhere@|@nóhásôháma  (p)@
@Apache@|@Môhtséheonetane (na)@
@Apache (lit occupied camp pers)@|@Motsêhéonetane (na)@
@Apaches@|@Môhtséheonetane (na pl)@
@apart@|@onésova- (i)@
@apart in age from somone: so ~@|@hoto'e'ov (vta)@
@apart: be a long ways ~@|@hohátaa'êše (p)@
@apart: come ~@|@vó'hovónaotse (vii)@
@apart: every so far ~@|@tónetó'e'še (p)@
@apex@|@vá'ôsê-he'ama (p)@
@apostle@|@he'néveneenahe (na)@
@Appaloosa@|@tséhe'hemêšéónâtse (vai cj)@
@Appaloosa (lit spottedrump horse)@|@he'hemêšéonávo'ha (na)@
@appear@|@átamaahe (fai), ho'enóohe (vai), mé'- (i)@
@appear (variant)@|@átamáno'e (fti)@
@appear as@|@nóno'e (fii)@
@appear different@|@nétâhévenóohe (vai)@
@appear good@|@pêhévenóohe (vai)@
@appear so@|@hešenóohe (vai)@
@appear thus@|@nêhešenóohe (vai)@
@appear to SB@|@ho'enóoheohtsé'tov (vta)@
@appearance: affect ~@|@nóestsé (fti)@
@Appearing@|@Mé'eöhtse (pn)@
@Appearing Good@|@Pâhávemé'éhne (pn)@
@Appearing Woman@|@Mé'eohtsévá'e (pn)@
@Appears in the Morning@|@Méomé'éhne (pn)@
@Appears On the Water Woman@|@Mâhpévamé'êhné'e (pn)@
@Appears With the Wind@|@Nómemé'éhne (pn)@
@Appears Woman@|@He'emé'êhné'e (pn), Mé'êhné'e (pn), Mé'êhnévá'e (pn)@
@appease@|@vovéahé'tov (vta), vovéahe (vai)@
@appendicitis: have an ~@|@no'hévóne'ó (vai)@
@apple (lit bigberry)@|@má'xeme (na)@
@apple crate@|@ma'xemenékâhámáxe (ni)@
@apple juice (lit apple water)@|@ma'xemenémahpe (ni)@
@apple tree@|@ma'xemenó'e (na)@
@apple trees@|@ma'xemenó'êstse (na pl)@
@apple: be an ~ (vai in MT vii in OK)@|@ma'xemeneve (vai)@
@apples (in (OK))@|@ma'xemenôtse (ni pl)@
@apples (usage MT dialect)@|@ma'xemeno (na pl)@
@apply@|@hó'xesó (vii)@
@apply for a job@|@hotse'óhétanó (vai)@
@appoint SB@|@nêhetsem (vta)@
@approach@|@háhan (vai), háhanehné (vai), káhaneohe (vai), káhaneöhtse (vai), nó'ôhtsé'tov (vta), nóht (vai), nóse- (i), tšêhešeméohe (vai), tsêhetsehné (vai)@
@approach by crawling@|@ho'evonêhót (vta)@
@approach SB@|@nó'ôhtsé'tov (vta), nóhtsêhót (vta), tsêhetsêhnév (vta)@
@approach ST@|@nóhtsêhóhtá (vti)@
@approach unseen@|@néhameohe (vai)@
@approachable: be ~@|@éháhanénêstove (vai)@
@appropriate ST for SB@|@hestsêhóvaov (vta)@
@apricot@|@ová'kemene (ni)@
@apricots@|@ová'kemeno (na pl)@
@April (Leaf Moon)@|@Vehpotseeše'he@
@apron@|@ta'omoesó'hestôtse (na), ta'omoesó'hestôtse (ni)@
@apron (or other similar covering) (lit obstruct)@|@ta'omooso'hestôtse (na)@
@aprons@|@ta'omoesó'hestoto (na pl)@
@Arab (lit long dressed pers)@|@Tó'êstoestátane (na)@
@Arab (na)@|@heévâhevetanévôhkêha'etane@
@Arabs (lit long dressed pers)@|@Tó'êstoestátaneo'o (na pl)@
@Arapaho people@|@Hestóetaneo'o (na pl)@
@Arapaho people: Northern ~@|@Váno'étaneo'o (na pl)@
@Arapaho person@|@Hestóetane (na), Hetanevö'e (na)@
@Arapaho person: Northern ~ (sage person)@|@Váno'étane (na)@
@Arapaho place@|@Hetanévo'ëno (napn)@
@Arapaho woman@|@Hetanévo'é'e (na pn)@
@arbor@|@hovéo'ôheo'o (ni)@
@arbors@|@hovéo'ôheonôtse (ni pl)@
@arch (of foot)@|@vósêhahtahtôtse (ni nom)@
@are you the one?@|@nénéehóvehe?@
@area@|@šë'e (p)@
@argue@|@oó'évá (-óo'évá??) (vai)@
@argue with SB@|@oó'evót (vta)@
@argue with SB suddenly@|@oó'evôxénaen (vta)@
@Arikara@|@Ónone (na)@
@arise@|@néhov (vai), ohaa'e (vai), ohaéta'ó (vai), tovâháá'e (vai)@
@arise from bed with (reference to) SB@|@to'é'tov (vta)@
@arise quickly from bed (from sleep)@|@to'éotse (vai)@
@arm@|@ma'ähtse (ni poss), na'évá (mbp)@
@arm band: war dance ~@|@ma'xêsévo (sevo?) (ni)@
@arm in arm: be ~@|@néxan (vta)@
@arm lower (to lower the arm)@|@anoena'évaohtsé (vai)@
@arm SB@|@no'átam (vta)@
@arm: broken off ~@|@é'ena'éva (vai)@
@arm: cut off ~@|@é'ena'éva (vai)@
@arm: have a big ~@|@tâhpe'ena'evá (vai)@
@arm: my ~@|@na'ahtse (ni poss)@
@armature@|@hestsé'oono (na pl)@
@armpit@|@matseno, tseno (mbp)@
@arms@|@ma'âhtsenôtse (ni poss pl)@
@Army blanket moccasins@|@pó'oomâhévo'kêhanôtse@
@around@|@éveto (p), néma'e- (i), néma'o'e- (pv), netao'o éveto (p), tóx- (i), tóxe- (pv)@
@around (tie)@|@hóht (i)@
@around SB: walk ~@|@néma'ó'êhót (vta)@
@around ST/SB: go ~@|@néma'ó'an (vti)@
@around: be all ~@|@mâhahtóohe (vai)@
@around: crawl ~@|@néma'evonehné (vai)@
@around: go ~@|@tóxehné (vai), tóxeohtsé (vai)@
@around: hang ~@|@néma'ó'eá'kovoeto (vai)@
@around: run ~@|@néma'eméohe (vai), néma'eohe (vai)@
@around: turn ~@|@néma'éotse (eotse??) (vai)@
@arrest SB@|@heseváen (vti)@
@arrive@|@ho'- (i), ho'eohe (vai), ho'eöhtse (vai), ho'ohtsé (vai)@
@arrive (walking)@|@ho'ehné (vai)@
@arrive across@|@ho'óxove (pv)@
@arrive across (ex across an ocean)@|@ho'óxoveohtsé (vai)@
@arrive and dance@|@ho'ôhomo'he (vai)@
@arrive at a point in story-telling@|@ho'óhta'hané (vai)@
@arrive at it in pronunciation@|@ho'ó'ané (vai)@
@arrive at SB crawling@|@ho'evonêhót (vta)@
@arrive at speaking@|@ho'enestse (vai)@
@arrive at ST in speaking@|@ho'enêstsé'tá (vti)@
@arrive at such value@|@ho'oeme (vii)@
@arrive by burrowing@|@ho'ótáne (vai)@
@arrive by car@|@ho'âho'he (vai)@
@arrive by rolling@|@ho'ó'eohtsétó (vii)@
@arrive by swimming@|@ho'etó'honaoohe (vai), ho'ôhoo'e (vai)@
@arrive by wagon (rolling transport)@|@ho'ó'eohtsé (vai)@
@arrive count@|@ho'oestóné (vai)@
@arrive fast@|@ho'eoesta'xe (vai)@
@arrive flying@|@ho'e'há (vai), ho'e'háoohe (vai)@
@arrive flying (variant)@|@ho'e'háohtsé (vai)@
@arrive from warpath@|@ho'enóoné (vai)@
@arrive last@|@hestóxêho'eohtsé (vai)@
@arrive last by wagon@|@hestóxo'eohtsé (vai)@
@arrive late@|@nóveohe (vai)@
@arrive moving hurriedly@|@ho'eehéoohe (vai)@
@arrive on a trotting team of horses@|@vové'ho'eohtsé (vai)@
@arrive plowing@|@ho'óma'ôxová (vai)@
@arrive quickly@|@ho'evo'eše (vai), ho'oesta'xe (vai)@
@arrive running@|@ho'eméohe (vai)@
@arrive with SB on back@|@ho'o'xé'tov (vta)@
@arrive with water@|@ho'óemanohe (vai)@
@arrive: all ~@|@ho'a'éotse (vai)@
@arrived by car: he ~@|@ého'o'âhéotse (vai)@
@arrived by wagon: he ~@|@ého'ó'éhne (vai)@
@arrived floating: he ~@|@ého'oése (vai)@
@arrived hanging: it ~@|@ého'oésta (vii)@
@arrived running: he ~@|@ého'o'âhéotse (vai)@
@arrived with game on his back: he ~@|@ého'o'xe (vta)@
@arrived: he ~@|@ého'éše (vai)@
@arrogant@|@he'amemóhtahe (vai)@
@arrow@|@maahe (ni)@
@arrow feathers: have ~@|@maahévotoneve (vii)@
@arrow lodge (teepee holding the Sacred Arrows)@|@maahéome (ni)@
@arrow man (pers): be an ~@|@maahétaneve (vai)@
@Arrow Walking (vai cj ppl)@|@Maahe'ôhtamëhnêstse (pn)@
@arrow: feather ~@|@hó'hovohe (vai)@
@arrow: tailfeathers of an ~@|@maahévotönêstse (ni pl)@
@arrowhead@|@mo'xôhtse (ni)@
@arrows@|@maahötse (ni pl)@
@arrows ceremony: he did the ~@|@éhóotöne (vti)@
@arrows: make ~@|@maahévané (vai)@
@Arrows: sacred ~@|@Maahótse (ni pl)@
@arse@|@pôhoo'o ('e?) (ni)@
@arthritis: have ~@|@popé'êšéoná (vai), popé'êšéonáohtsé (vai)@
@articulate@|@ó'ané (fai)@
@artificial sugar@|@nétâhévevé'keemaôpe (ni)@
@artwork: do ~@|@hohtâhéhahénôhoné (vai)@
@as@|@ta'se (p)@
@as for him@|@tséhnéehovêse (vai cj)@
@as long as@|@he'éše- (pv)@
@as time goes along@|@ame'xóvéva (p)@
@as time goes no@|@ameto (p)@
@ash (tree)@|@mótó'e (na)@
@Ash Man@|@Páeta (pn)@
@Ash Tree Woman@|@Mótováhé'e (pn)@
@ash trees@|@móto'eo'o (na pl)@
@ashamed@|@tanehe (vai)@
@ashamed for SB: be ~@|@tanéhetsêstovomotah (vta), tanéhev (vta)@
@ashamed of ST: be ~@|@tanéhétsestá (vti)@
@ashamed: be ~@|@tanéhevo'ee'e (vai)@
@ashamed: become ~@|@tanéheotse (vai)@
@ashes@|@páa'e (ni), páe- (pv), pahke (ni)@
@Ashes@|@Páhkééhe (pn)@
@ashes on forehead@|@páeve'óhtáne (vai)@
@ashes: be full of ~@|@páevo'ená (vai)@
