@English@|@Laotian@
@a destructive wind@|@ຈັນທະວາຕາ@
@a difficult word@|@ສັບແສງ@
@a dirty object@|@ຂອງເປື້ອນ@
@a disease charaterized by hematuria@|@ມຸດຕະຄາດ@
@a disgusting object@|@ຂອງຂີ້ດຽດ@
@a dish of raw chopped beef@|@ລາຍເສືອ@
@a distance of@|@ໂຍດ@
@a division of military elephants@|@ໂຈມທັບ@
@a drum which signals the hour@|@ກອງຍາມ@
@a drum which sounds before dawn@|@ກອງເດິກ@
@a dust heap@|@ບັງສຸກຸນ@
@a fabulous mountain@|@ຜາຫອມ@
@a feigned illness@|@ໄຂ້ມານຍາ@
@a fervent Buddhist@|@ກະໂຍມ@
@a fervent person@|@ສັດທາທິກະ@
@a few@|@ສອງສາມ@
@a few (thing)@|@ສອງສາມອັນ@
@a few days@|@ບໍ່ທໍ່ໃດມື້@
@a few people@|@ນ້ອຍຄົນ@
@a fih or meat chowder flavored with lemon leaves and Kaffir lime@|@ຕົ້ມຍຳ@
@a fine@|@ສິນໄຫມ, ສິນໄໝ@
@A finger-length scaleless fish of the catfihs type@|@ປາກະແຍງ@
@a fire which is burning and spreading@|@ໄຟຄອກ@
@a fish@|@ບູ່@
@a fish or meat chowder made with coconut cream and flovored with lemon leaves@|@ຕົ້ມຍຳກະທິ@
@a fish similar to be larger than pa: xeum@|@ປານາງ@
@a fish similar to but larger than@|@ປາຄາວ@
@a fish with a red mouth@|@ປາແດ່ງ@
@a fish with a red-tipped tail@|@ປາງຄີງ@
@a fish with long sharp teeth and soft flesh@|@ປາຂົບ@
@a fishing bird as large as an eagle@|@ກະອອກ@
@a fistula in the anus@|@ພະຄັນທະລາ@
@a flat@|@ເຂັງປາ@
@a flat straw pannier in which paddy rice is tossed to remove chaff@|@ກະດົ້ງ@
@a flat white fish with a red belly@|@ປາຫມາກໂມງ@
@a flattened@|@ເຂືອຄາງກົບ@
@a flower@|@ບານເຢັນ@
@a flowering plant growing in-clearings@|@ກະທົ່ມ@
@a food flavoring@|@ນ້ຳນົມແມວ@
@a footed dish@|@ຈານເຊີງ@
@a forest devil or spirit@|@ກອງກ່ອຍ@
@a forgotten favor@|@ມັກຂະ@
@a foul-smelling tree@|@ບຸນນາກ@
@a fragrant ornamental shrub@|@ມະລິ, ມະລິ້ສອນ@
@a fresh-water scavenger fish@|@ສັງກະວາດ@
@a frog@|@ຂຽດ@
@a fruit producing a type of bird-lime used medicinally@|@ຕູມຕັງ@
@a frum which calls the people@|@ກອງງັນ@
@a gambling game played with cowries@|@ໂປກຳ@
@a game in which success goes to the one who can throw the Lao harmonica@|@ແງວ@
@a game of tossing chopsticks@|@ແກ່ງຂີ້ຊ້າງ@
@a gamr played with shells(counting by fours)@|@ກຳຖົ່ວ@
@a generation@|@ຊົ່ວຄົນ@
@a gift@|@ກຳນັນ@
@a ginger whose flower resembles the crest of a peacock@|@ຂີງນົກຍູງ@
@a girl beautiful as the moon@|@ຈັນທະກະລາ@
@a girl or woman with beautiful hair@|@ເກສິນີ@
@a girl who chooses her own husband@|@ສະຍຳວະຣາ@
@a god@|@ປັດທະມະປານີ@
@a god of paradise@|@ຂຸນແຜນ@
@a gold frame@|@ຂອບຄຳ@
@a good deed@|@ກຸສົນ@
@a good example@|@ປະທັດສະຖານ@
@a good figure@|@ໂສມຕູ@
@a good man@|@ບາໄທ, ປະຣິສັນຍູ@
@a good omen@|@ສຸພະນິມິດ@
@a good person@|@ສາທຸຊົນ@
@a good women@|@ກັນລະຍານີ@
@a grade of civil servant@|@ເພັຍ@
@a gray bird of the quail faimly@|@ຂຸ້ມອືດ@
@a gray bird of the quail family@|@ຂຸ້ມຄວາຍ@
@a grayish@|@ເຂົ້າສວນເຮືອງ@
@a great number@|@ອັກໂຂພິນີ, ອັກໂຂງພນີ@
@a great tiger@|@ໂຄ່ງ@
@a great venerable bonze@|@ມະຫາເຖນ@
@a green insect which lives on leaves@|@ຂີ້ໄຮ້@
@a group of a hundred@|@ສະດົກ@
@a group of spirits without souls@|@ອະສັນຍີສັດ@
@a group of stars@|@ດາຣາຄະນະ@
@a group of teachers@|@ເກຈິອາຈານ@
@a guerrilla unit@|@ກອງໂຈນ@
@a hair@|@ເສັ້ນຜົມ@
@a hairy fern@|@ກູດຂົນ@
@a handful of rice@|@ເຂົ້າກຳນຶ່ງ@
@a handled@|@ກ່ອງ@
@a happy sound@|@ຮິ່ວ@
@a hard lump below the ear@|@ລູກຫນູ@
@a hard mass in the abdomen@|@ດານເລືອດ@
@a hard wood tree@|@ກະຍອມ@
@a hard wood used for columns@|@ລີ@
@a hardwood tree similar to teak@|@ຕະຄຽນ@
@a hardwood tree the scented wood of which is used as medicine@|@ກະລຳພັກ@
@a hardwood tree with large leaves which are used to make torches@|@ທຶງ@
@a heap of flowers@|@ກຸສຸມາກອນ@
@a high rank in the religious hierarchy@|@ເຈົ້າລາຊາຄະນະ@
@a hillside bush with fragrant flowers@|@ກາວຕົ້ນ@
@a Hindu race@|@ກຸຣຸ@
@a hissing@|@ຟື່@
@a hissing sound@|@ຟໍ່ໆ@
@a hollow in a tree@|@ໂກນ@
@a horse race@|@ແຂ່ງມ້າ@
@a hundred@|@ສະດົກ@
@a hundred things@|@ຮ້ອຍແປກ@
@a juristic person@|@ບຸກຄົນນິຕິສົມມຸດ@
@a kind o fetish in the form of the male genital organ@|@ຂຸນເພັດ@
@a kind of bamboo@|@ໄມ້ພາງ, ໄມ້ໄລ່, ໄມ້ເຮັຽ, ໄມ້ຮວກ@
@a kind of bamboo the black pulp of which is used to make a medicine@|@ກຳແພ້ງ@
@a kind of basket for measuring rice@|@ເປຊາະ@
@a kind of biscult@|@ສະຕູ@
@a kind of bookcase for palm-leaf books@|@ຂາກະເຍັຍ@
@a kind of bush@|@ກຽງປືນ@
@a kind of Chinese pillory@|@ຂື່ຄາ@
@a kind of chipmunk@|@ກະຈິ້ນ@
@a kind of climbing eggplant@|@ຄໍ້ຫຳເນືອ@
@a kind of cloth of the best weave@|@ຈິດຕະຣະພັດ@
@a kind of edible flower@|@ດອກແຄ@
@a kind of flower@|@ດອກກາບ, ດອກຊົມຊື່ນ@
@a kind of lute@|@ກະຈັບປີ່@
@a kind of mosquito@|@ກົ້ນໂລ່ງ@
@a kind of palm tree@|@ຕົ້ນຄໍ້@
@a kind of plant@|@ຍໍ@
@a kind of raven@|@ກະເວົາ@
@a kind of ruminant animal@|@ຍອງ@
@a kind of small banana@|@ມືນາງ@
@a kind of soup made with coconut juice@|@ຕົ້ມກະທິ@
@a kind of tree@|@ຍົມ@
@a kind of yam@|@ມືເສືອ@
@a king’s concubine who has borne a child@|@ຈອມມານດາ@
@a knot@|@ຂອດນຶ່ງ@
@a kond of tree@|@ຂັກມອກ@
@a Lao song@|@ເຊີດສິ່ງ@
@a Lao tribe@|@ກະເລີງ@
@a Lao tribe in Burma@|@ຕອງສູ້@
@a large@|@ກະຕ່າກວຍ, ກະທຽວ, ສິງທອງ, ຕີນແຮດ@
@a large bamboo basket for paddy rice@|@ຮີນ@
@a large bamboo buffalo bell@|@ໂປງ@
@a large bird@|@ເກັດຫອຍ@
@a large black bird@|@ຊຸມບ້ງ@
@a large catfish@|@ປາຊ້ອຍ@
@a large cooking pot@|@ກະທະ@
@a large cylindrical woven bamboo pannier@|@ກະລອມ@
@a large dove-colore fish@|@ປານົກງຂົາ@
@a large drum of the pagoda@|@ກອງເພນ@
@a large fighting chicken with a small crest@|@ໄກ່ອູ@
@a large fish net@|@ກະດຸ້ງ@
@a large fish-eating bird@|@ກະເຕັນ@
@a large fisheating bird with black plumage and a white throat@|@ຄໍກ່ານ@
@a large group of beautiful@|@ສະໄວ@
@a large hook@|@ໂຍທະກາ@
@a large lizard@|@ຍາບແຍ້@
@a large long scaleless fish@|@ປາຄູນ@
@a large metal gong or bell@|@ກັງສະຖານ@
@a large mussel@|@ກາບກ້ວງ@
@a large pannier fitting into a cart@|@ກະໂຊ້ກຽນ@
@a large pannier slung over the shoulder and attached to the waist@|@ກະປັງ@
@a large pannier with coarse interstices@|@ກະຕ່າຫ່າງ@
@a large piece@|@ໂງ່ນ@
@a large river fish@|@ກະແຍງໂຄ@
@a large sampan with side-passage decks@|@ກະແຊງ@
@a large sea fish@|@ປາສະມ່ອຍ@
@A large solitary wasp@|@ແມ່ນອນເວັນ@
@a large tree with few leaves@|@ກະຫນວນ@
@a large type of deer@|@ກວາງສ້ອຍ@
@a large type of flying lemur@|@ບ່າງລົ້ວ@
@a large type of mango@|@ກະເສນ@
@a large venomous snake@|@ສາງຮ່າ@
@a large Vietnamese roll similar to Chinese egg rolls@|@ກະຢໍ່່່@
@a large white fish@|@ປາພອນ@
@a large white scaled fish@|@ປາຫວ່າ, ປາງອີນ@
@a large wicker fish trapaverage person@|@ກະຈາ@
@a large yellow-bodied circular web-weaving spider@|@ແມງຢ້າງ@
@a largecicada@|@ກະເລມ@
@a largemounthed freshwater scaleless fish@|@ເຄີງ@
@a larger owl@|@ເຄົ້າລານ, ເຄົ້າຫູກ@
@a late or delayed plane@|@ເຄື່ອງບິນຊ້າ@
@a latex vine@|@ຂາໄກ່@
@a laying hen@|@ໄກ່ໄຂ່@
@a legendary bird@|@ສຸບັນ@
@a leguminous@|@ຂີ້ໄກ່ໂປ່@
@a leguminous aquatic plant@|@ກະເສດ@
@a leguminous tree of the dense forest@|@ນ້ຳກ້ຽງດົງ@
@a letter@|@ແຕ່ງຫນັງສື@
@a line@|@ກາລະສູດ@
@a little@|@ສະງາວ, ສະນ່ອຍ, ສ່ວນນ້ອຍ, ດີ້, ນ້ອຍຫນຶ່ງ, ນ້ອຍຫນຶ່ງ@
@a little at a time@|@ເທື່ອລະເລັກເທື່ອນ້ອຍ@
@a little bird told(me@|@ຜີບອກ@
@a little bit@|@ຈັກນ້ອຍ, ເລັກນ້ອຍ@
@a little later@|@ຕໍ່ມາຄາວຫນຶ່ງ, ຕໍ່ນ້ອຍນຶ່ງ@
@a little painful@|@ເປັນສີເຈັບໆ@
@a little time@|@ບໍ່ນານ@
@a little unhappy@|@ເປັນສີຮ້າຍໆ@
@a living husband@|@ຊີວະບໍດີ@
@a long@|@ຂ້ອງລອຍ, ເຈື້ອຍ@
@a long drum@|@ກອງຕົບ@
@a long foot@|@ທີຄະປາທີ@
@a long frum@|@ກອງຫາງ@
@a long grass used for roofing@|@ແຝກ@
@a long or troublesome way@|@ທຸຣາທາວາ@
@a long song in epic form accompanied by music@|@ເສພາ@
@a long time@|@ຍາວນານ@
@a long time ago@|@ດົນນານ, ນານເຕີເແລ້ວ@
@a long time since@|@ດົນແລ້ວ@
@a long vegetable of the gourd family@|@ໂງເງວ@
@a long-rooted wild yam@|@ມັນນົກ@
@a look at@|@ແສງຕາ@
@a lot@|@ມາກມາຍ@
@a lot object@|@ຂອງເຮັ່ຍ@
@a lot of people@|@ຄົນຫຼາຍ, ຄົນຫລາຍ@
@a lovely body which is tall and well-proportioned@|@ງາມອາດຫລາດ@
@a low group consonant@|@ນ@
@a low wall (well-made and ornamented)@|@ກຳແພງແກ້ວ@
@a lower grade functionary@|@ຂຸນຫມື່ນ@
@a magic word@|@ກຳແພງເຈັດຊັ້ນ@
@a male (rare usage)@|@ກະໄທ@
@a male elephant with short tuske@|@ສີດໍ@
@a man who has been widowed several time@|@ແພ້ເມຍ@
@a man who is capable of love@|@ກາມິນ@
@a mango@|@ມ່ວງຊີ@
@a masonry wall@|@ຝາປະທາຍ@
@a measure of area@|@ພູມິປະຣິມານ@
@a measure of capacity equal to 20 liters@|@ສັດ@
@a measure of length@|@ຟຸດ@
@a measure of length equal to@|@ໂຍສະນະ@
@a medical shrub@|@ຊໍ້@
@a medicialplant@|@ຄີໄຟນົກຂຸ້ມ@
@a medicinal@|@ກົ້ນຄົກ@
@a medicinal leaf@|@ຕອງຊາດ@
@a medicinal plant@|@ກູດນ້ຳ, ເກັດຕະສັດນ້ອຍ, ເກັດຕະສັດຫລວງ, ກ່ຳນ້ອຍ, ກ່ຳຫລວງ, ຂົນກຽນ, ຜີເສື້ອຫລວງ, ພິມະເສນ@
@a medicinal plant of the Artemisia family whose leaves have an odor of camphor@|@ຈຸລາລັມພາ@
@a medicinal root@|@ກາວເທດ, ກ່ອມກ້ອຍລອດຂອນ, ຂະດົງ, ສາມຄວາຍ, ຕັບເຕົ່ານ້ອຍ, ຕອງທຶງ, ພົງພີ, ພຸພໍຄ້າ, ມອນເຮື້ອ@
@a medicinal vine@|@ເຂົ້າມວກຂາວ@
@a medicine for animal dysentery@|@ມະຫາຫິງ@
@a medium-sized drum@|@ກອງຕິ່ງ@
@a member of the Araceae@|@ພຸກດຳ@
@a member of the monkey family@|@ລີງຂ້າງ@
@a middle-sized tiger@|@ເສືອເຫລືອງ, ເສືອເຫຼືອງ@
@a military unit@|@ກອງທະຫານ@
@a ministry of the government@|@ກະຊວງ@
@a moment@|@ຄາວດຽວ, ຄາວຫນື່ງ, ຄາວໜື່ງ, ບໍ່ນານ@
@a moment ago@|@ມື້ກີ້ນີ້@
@a monetary unit equal to four bath of silver@|@ຕຳລຶງ@
@a monetary unit equal to one on-hundredth of a kip or ticul@|@ອັດ, ອັດ@
@a monk@|@ພະຕົນຫນຶ່ງ@
@a monocotyledonous plant with club@|@ທຽມທາວ@
@a moral person@|@ນັກທຳ@
@a mount of rainfall@|@ທາຣາທິຄຸນ@
@a mountain nomad tribe@|@ຕອງເຫລືອງ@
@a mountain tree@|@ຜາໃດ@
@a multitude of stars@|@ດາຣາຄະນະ@
@a musical instrucment@|@ກູ່ແຄນ@
@a musical instrument played on joyous occasions@|@ນັນທະນັນທິດູຣິຍາງ@
@a mythical bird@|@ເວນໄຕ@
@a name of the Buddha@|@ມຸນິຄຸນ້ອນ@
@a neon lamp@|@ໄຟຟ້າຫລອດ@
@a new thing@|@ຂອງໃຫມ່@
@a newly admitted Buddhist novice@|@ສັດທິວິຫາຣິກ@
@a nice knife is undid from it's holder@|@ມີດຫລ່ອນ@
@a night-blooming flower@|@ບານຄ່ຳ@
@a night-blooming flower whose shrub is used ornamentally@|@ບານເດິກ@
@a nocturnal bird of the owl family@|@ກະບາ@
@a non-inflammatory lump or mass in the abdomen@|@ດານໃນທ້ອງ@
@a northern tribe@|@ໂຍນົກ@
@a nude ascetic@|@ອະເຈລະກະ@
@a null@|@ອ@
@a number of@|@ຈຳນວນຫນື່ງ, ຈຳນວນໜື່ງ@
@a pair@|@ຄູ່ໜື່ງ, ຄູ່ຫນື່ງ@
@a pale indigo precious stone@|@ນິໂລບົນ@
@a part@|@ໂກດຖາດ, ສ່ວນນິ່@
@a part of@|@ໂກດຖາດ@
@a part of the intestine of bovines@|@ຍໍ່, ຍໍ່ຊີ້ນ@
@a part of the whole@|@ຍ່ອຍ@
@a perennial plant found on sandy shores@|@ໄກ່ເຕັ້ຍ@
@a perfume compounded@|@ຈວງຈັນ@
@a person with black eyes@|@ກາລະເນດ@
@a person with religious faith@|@ສັດທາຈິດ@
@a person worthy of marriage@|@ຄູ່ສ້າງ, ຄູ່ສ້າງສົມ@
@a piece of cloth@|@ໂຈລະ@
@a piece of mony@|@ກະຫາປະນະ@
@a piece of wood@|@ໄມ້ຄ້ອນ@
@a pile of rice seed@|@ສຸມກ້າ@
@a pile of wood@|@ກອງຟືນ@
@a pinch(as of salt@|@ຢິບດຽວ@
@a place of wood@|@ທ່ອນໄມ້@
@a place which is always wet due to water seepage@|@ຊຳ@
@a plant of the cactus family@|@ຕະບອງ@
@a plant of the garlic family@|@ກະທຽມ@
@a plant whose seeds are edible@|@ມັນງາ@
@a plant with maroon flowers@|@ມັນປູ@
@a poisonous tree@|@ປາວ@
@a poor@|@ຄົນທຸກ@
@a portion of merit@|@ສ່ວນບຸນ@
@a posture in the Lao classical dance@|@ຜາລາພຽງໄຫລ່@
@a power king of the city of Patalibut@|@ຈັນທະຣະຄຸບ@
@a powered red stone used as a pigment@|@ມະໂນສິລາ@
@a president@|@ເປັນປະທານ@
@a pretty color@|@ສີສະລາວ, ສີສະລາວ@
@a pretty girl@|@ເກັງຍາ, ກັນຍາ@
@a prince of which founded Buddhism@|@ສາກິຍະ@
@a prison drum@|@ກອງຕະຣາງ@
@a process of divination for finding lost articles (using one of three methods determined by lot)@|@ກາຈັບຫລັກ@
@a prosperous person@|@ໂຊຕະກະ@
@a province of southereastern China@|@ກວາງຕຸ້ງ@
@a province of southern China@|@ກວາງສີ@
@a punster@|@ຊຽງຫມ້ຽງ, ຊຽງໝ້ຽງ@
@a pure language such as Pali or Sanskrit@|@ຕັນຕິພາສາ@
@a quatic animal@|@ວາຣີຈອນ@
@a raise of 5%@|@ຂຶ້ນອີກຫ້າຕໍ່ຮ້ອຍ@
@a rank in the Buddhist hierarchy@|@ເຈົ້າຫົວ@
@a ray from the halo around the head of the Buddha@|@ເກຕຸມາລາ@
@a red jewel@|@ແກ້ວເພທາຍ@
@a red tusk which inspires fear@|@ຂືຟື@
@a reddish animal of the squirrel family@|@ກະໄນ່@
@a red-skinned with banana@|@ກ້ວຍຄັ່ງ@
@a reexamination@|@ສອບແກ້ຕົວ@
@a religious person@|@ນັກເວດ@
@a resounding drum@|@ກອງດັງ@
@a rest@|@ເຊົາເມື່ອຍ, ເຊົາແຮງ@
@a ricefield plant@|@ໄຂ່ຂຽດ@
@a rich and sensual man@|@ສະຣິ່ຄາຣິນ@
@a river in Vientiane province@|@ງຶ່ມ@
@a river of central Laos@|@ນ້ຳກະດິງ@
@a river which forms the boundary between Khammouane and Savannakhet provinces@|@ເຊນ້ອຍ@
@a rocking horse@|@ມ້າໂຍກ@
@a rodent of the squirrel type@|@ກະແຕ@
@a rolling stone gathers no moss@|@ຍ້າຍບ່ອນເສັຍທີ່@
@a rolling stone gathers on moss@|@ຍ້າຍທີ່ເສັຍເສົາ@
@a round@|@ເຂືອຫຳມ້າ@
@a round yellow spiny eggplant@|@ຕົວະແຂກ@
@a round-grained@|@ເຂົ້າຫມາກຂາມ@
@a rrive@|@ຮັ້ນ@
@a ruse@|@ກຸສະໂລບາຍ@
@a sacred place@|@ເຈດີຍະສະຖານ@
@a salt-water fish@|@ກຸເລົາ@
@a samll flat white fish@|@ມາງ@
@a sand insect@|@ແມ່ບື້ງ@
@a scaled@|@ກ້ວນ@
@a score@|@ຊາວຫນື່ງ, ຊາວໜື່ງ@
@a seat of laths placed in the bottom of a boat@|@ຊະແນນ@
@a secret which must be strictly guarded@|@ຄຸຍຫະລະຫັດ@
@a sect of Brahmins@|@ອະເຈລະກະ@
@a section of a degree@|@ພິລິບດາ@
@a seedless banana@|@ກ້ວຍຫິບ@
@a selfish man@|@ມັດສະຣີ@
@a senior monk@|@ເຈົ້າຫົວ@
@a serious situation@|@ພາວະທີ່ຄັເຂັນ@
@a seven-line poem consisting of 28 words@|@ສຸຣາງຄະນາງ@
@a shift@|@ຈັດເວນເປັນຜຽນ@
@a short@|@ກະບານ້ຳ@
@a short black silurid@|@ປາດຸກອີ່ອຸຍ@
@a short man@|@ວາມົນ@
@a short or shortened arm@|@ແຂນກິດ@
@a short sound@|@ຈັ້ດ@
@a short variety with yellow flesh@|@ກ້ວຍໄຂ່@
@a short while ago@|@ອະຈິຣະ@
@a show of force@|@ກຳລັງແຮງທຽນ@
@a shroud enveloping the personal soul@|@ຊີວະໂກດ@
@a shrub with large leaves and white flowers@|@ຍີ່ຫຸບ@
@a silk material@|@ໂກໄສ@
@a silver scaled fish with a long dorsal fin and a flat belly@|@ປາສະກາງ@
@a silver-footed tray@|@ພານເງິນ@
@a single step@|@ບາດຍ່າງດຽວ@
@a skin disease characterized by white spots@|@ເກື້ອນ@
@a slender woody vine@|@ຄໍ້ຫາງຫມູ@
@a small@|@ກອງຂ້າ, ໄກ່ກຸ້ມ, ແຈ້ນ@
@a small bat@|@ກ່າງຕອງ@
@a small bird living near pools and characterized by a swooping flight@|@ກະດີບເດົ້າ@
@a small buffalo bell@|@ຂະລິງ@
@a small carp@|@ປາຊິວອ້າວ@
@a small catfish measuring up to eight inches@|@ປາຍອນ@
@a small contianer for cooked rice@|@ກ່ອງເຂົ້າ@
@a small crayfish@|@ກຸ້ງຝອຍ@
