@English@|@Hmong@
@ache@|@mob, mob nkeeg@
@achievement@|@qhov ua tau lawm, yam ua tau@
@achievement domain@|@sau ntawv, thiab ua zauv@
@acknowledge@|@lees@
@acne@|@pob txuv@
@acomplishment@|@ua tiav@
@aconomist@|@tus paub kev nyiaj txiag@
@acquaint@|@fim@
@acquire@|@tau@
@across@|@sab tim@
@across the valley@|@tim@
@act@|@tsab, ua@
@acting out@|@npau taws ntho, ua heev hlo@
@action@|@kev nqis tes ua, kev ua, ua kiag@
@active@|@nquag@
@activity@|@tejyam kev uasi@
@actor@|@tus neeg ua yeeb yam@
@actual@|@tiag, tseeb@
@acute@|@heev heev, lub ces kaum me dua 90 degrees@
@Adam's apple@|@pob qa, pob yeeb@
@adapt@|@hloov, hloov kom haum rau, kho kom raws, yoog@
@adapt (1)@|@txhim kho kom haum rau@
@adaptation@|@kev hloov kom haum rau, kev txhim kho kom haum rau@
@adaptative behavior (1)@|@txawj pab tau tus kheej@
@add@|@ntxiv, ntxiv, ntxiv rau@
@add gas@|@sam roj@
@add water to cooking@|@txhaub@
@addict@|@kev quav, kev tiv, muaj yees@
@addiction@|@quav lawm, tiv lawm@
@addition@|@muab sib ntxiv, txuas@
@adequate@|@haum, txaus@
@adjective@|@chaw, losyog khoom, qhia txog tibneeg@
@adjourn@|@tso tseg@
@adjust@|@kho kom haum@
@adjustment@|@kho kom haum@
@administrator@|@thawj tswj tuav dej num@
@admire@|@xav txog@
@admit@|@lees, zeem@
@adolescent@|@tub ntxhais hluas@
@adopt@|@txais yuav, yuav@
@adore@|@nco txog@
@adress@|@chaw nyob@
@adult@|@neeg laus@
@adulteress@|@nkauj fa@
@adultery@|@deev@
@advantage@|@hom tau tsam, muaj feem ua tau zoo dua@
@adventure@|@tejyam tshiab uas txaus siab@
@adverb@|@lo lus qhia txog kev ua@
@advertise@|@thab muag khoom@
@advertize@|@tshaj xo@
@advice@|@lus ntuas, pab txwv yim@
@advise@|@ntuas, qhuab qhia@
@advocate@|@sab laj, thoob tswv yim, tus thoob tswv yim@
@adze@|@piab@
@aet hungrily@|@qhe@
@affect@|@hloov tau, puas ua li cas, ua rau, xav tau@
@affective disorder@|@kev txob siab@
@affluent@|@nplua nuj@
@afford@|@ntxeem@
@afraid@|@ntshai, xob@
@after@|@tom qab, ua qab@
@aftermath of event@|@ntaug@
@afternoon@|@caij tav su, yav tavsu@
@again@|@dua, ntxiv, ua dua@
@against@|@thaiv tiag, tiv tiag@
@age@|@hnoob nyoog, hnub nyoog, noob nyoog, nyoog@
@age equivalent@|@muaj hnub nyoog sib npaug@
@agency@|@chaw pab dej num, chaw ua haujlwm@
@agenda@|@txheej txheem@
@aggressive@|@pheev kom tau@
@agree@|@pluam lus, pom zoo, yeem@
@agreeable@|@kam@
@agreement@|@lus cog tseg, pom zoo (kev)@
@agriculture@|@kev ua liaj ua teb@
@ahead@|@tom hau ntej, tom ntej@
@ahead of@|@ntej, tom ntej@
@aid@|@pab@
@aide@|@tus pab, tus pab qhia ntawv@
@ailment@|@kev mob nkees@
@aim@|@kev tsom, taw, taw rau, tsom@
@air@|@cua, pa@
@air conditioner@|@cua txias@
@air force@|@pawg tub rog nruab ntug@
@air letter@|@tsab ntawv xa nruab ntug@
@air-conditioning@|@cua txias@
@airline@|@hom dav hlau@
@airplane@|@dav hlau@
@airport@|@tshav dav hlau@
@aisle@|@kem@
@alarm@|@suab tsa@
@alcohol@|@cawv, cawv ntsim, dej cawv@
@alert@|@ceebfaj, faj@
@alibi@|@liam ua tub sab@
@alien@|@neeg txawv teb chaws@
@align@|@kho kom zoo ib yam, ua kom ncaj kab@
@alike@|@thooj, zoo tib yam@
@alive@|@ciaj, ciaj sia@
@all@|@huv si, tag nrho, thoob, txhia, txhua nrho@
@all around@|@vij@
@all kinds of@|@txhia@
@All of us have been there.@|@Peb puavleej tau mus lawm.@
@all of you@|@nej sawvdaws@
@all over@|@qhov txhia chaw@
@all people@|@tsoom zeej@
@all right@|@tau, ua li@
@all the time@|@txhua lub sijhawm@
@allegiance@|@kev fwm, ua zoo@
@allergic@|@fab, phiv, tsis haum yus@
@allergy@|@khaub thuas@
@alligator@|@nab qa dej@
@allow@|@kheev, pub, pub feed pub ua, tso lus@
@ally@|@phooj ywg sib pab tiv thaiv@
@almost@|@kwvlam, yuav laug tag, yuav luag@
@alone@|@ib leeg, tibleeg, tsis muaj tus nrog nyob, twm@
@along@|@coj nrog tuaj@
@alphabet@|@niam ntawv, tsiaj ntawv@
@already@|@twb@
@Alright!@|@Ua li ntawv auv@
@also@|@ib yam, thiab, tibyam, tsis tas li@
@altar@|@thaj neeb, xwm kab@
@alteration@|@kev hloov@
@altercation@|@sib cav ncauj@
@although@|@txawm tias, txawm yog@
@altogether@|@huv si@
@aluminum@|@pej chum, txhuas@
@always@|@ib txwm, txhua lub caij, txhua zaug@
@Alzheimer's Disease@|@tsis nco qab@
@ambiguous@|@tsis meej xwm@
@ambitious@|@xav tau txhua yam@
@ambulance@|@tsheb thauj neeg mob@
@ambush@|@tos kev tua@
@amend@|@pauv txoj cai@
@amendment@|@cov cai, tshooj cai ntxiv@
@American@|@Neeg asmeslivkas, Tibneeg Asmelikas@
@ammunition@|@muas txwv@
@amount@|@ib co, npaum@
@amplification@|@kev ua kom nrov loj@
@amplify@|@ua kom nrov loj@
@amputate@|@txiav ib qho tawm@
@amusement@|@kev lom zem@
@amusing@|@dab ros@
@An example of hyperbole...@|@Kuv plab ua dev plab@
@ancestor@|@pog koob ywawg koob@
@and@|@thiab@
@and so..@|@thiaj, thiaj li@
@anesthetic@|@loog@
@angels@|@tub txib saum ntuj@
@angry@|@chim, npau taws@
@animals@|@tsiaj txhu@
@animals digging in the dirt@|@tshom@
@animals giving birth@|@xya@
@ankle@|@po taws, uas taw@
@annoyed@|@khib@
@another@|@ib --- ntxiv@
@answer@|@teb lus@
@ant@|@ntsaum@
@antecedent@|@qhov ua kom muaj teeb meem@
@antenna@|@kav hlau txais xov@
@anvil@|@thaiv@
@anxiety disorder@|@kev ntshai rwg, kev txhawj@
@anxious@|@txhawj@
@anybody@|@tus twg los tau@
@anywhere@|@qhov twg los tau@
@aociable@|@raug neeg zoo@
@apartment@|@tsev kem@
@apologize@|@thov txim, thov zam txim@
@apostle@|@tub txib@
@appeal@|@hais dua@
@appear@|@pom tawm, tshwm sim@
@appearence@|@moj yam@
@appendicitis@|@mob hnyuv tws@
@appetite@|@qab lo, tshaib plab@
@appintment@|@sijhawm teem tseg@
@applaud@|@npuaj teg@
@apple@|@txiv apple, Txiv ev paum@
@apply@|@pleev, siv@
@apply (1)@|@thov ua, tuaj yeem@
@apply great force@|@nyom@
@appoint@|@taw tes tuav npe@
@appointment@|@kev teem caij sib ntsib@
@appreciate@|@nco txiaj ntsig, ua tsaug@
@appropriate@|@haum, tsim nyog@
@approve@|@pom zoo@
@approximate@|@kwv lam@
@approximately@|@kwvlam@
@april@|@plaub hli ntuj@
@apron@|@ntaub npua ua hauj lwm, sev@
@apron back@|@sev npua@
@apron front@|@sev sia@
@aquarium@|@thoob dej yug ntses@
@archeology@|@kev kawm txog lub neej thaum@
@architect@|@kws kes duab vajtse@
@architecture@|@kev kos duab ua tsev@
@are@|@yog@
@Are they the same?@|@Cov no puas zoo tib yam?@
@Are you feeling better yet?@|@Nimno koj puas zoo mentsis?@
@Are you sick?@|@Puas yog koj mob?@
@area@|@cheeb tsam, nras, puam, puam, thaj tsam@
@area of strength@|@qhov txawj txaus, qhov ua tau@
@area of weakness@|@qhov txawj tsis txaus, qhov ua tsis tau@
@argue@|@nyom, nyom, sib cav@
@argue hotly@|@cam, cav@
@argument@|@sib cav@
@arm@|@caj npab, npab, txhais tes@
@armchair@|@rooj zaum tiag tes@
@armpit@|@qhov tsos, tsos@
@army@|@pawg tub rog, tub rog@
@around@|@ib ncig, kwv lam, kwv lam, nyob tsis deb, nyob ze, vij, vij, ze@
@around (1)@|@ncig@
@arouse@|@raug siab@
@arrange@|@looj, looj, ntsaub, tso kom muaj quag@
@arrangement@|@kev muab tso kom muaj quag@
@arrest@|@kaw, ntes@
@arrival@|@kev los txog@
@arrive@|@los txog, txog@
@arrogant@|@khav@
@arrow@|@xub@
@arteries@|@txoj hlab ntsha plawv@
@artery@|@leeg@
@arthritis@|@kev mob raws pob txha@
@article@|@daim, ntawv qhia, tus@
@articulation@|@kev hais lus tsis meej, ncauj txhais@
@artifact@|@yam cuav, yam neeg ua@
@artificial@|@khoom cua, khoom cuav, yam uas tsis yog tiag@
@artisan@|@tus kws txawj txua@
@as@|@raws li, xws li@
@as you like@|@xij koj nyiam...@
@as you please@|@xijpeem, ywjtxiam@
@ascend@|@nce@
@ashamed@|@txaj muag, txaj muag, txajmuag@
@ashen@|@txheeb@
@ashes@|@hluav, tshauv@
@Asian@|@Tibneeg Esia@
@ask@|@noog, nug@
@ask again@|@noog dua@
@asleep@|@tsaug zog@
@aspargus@|@zaub qhwv qws@
@aspirin@|@tshuaj noj zoo mob tau hau, tshuaj noj zoo npaws@
@aspirin (1)@|@tshuaj dis taub hau@
@assassin@|@neeg tua neeg@
@assault@|@cem, ntaus, ua phem@
@assemble@|@txua@
@assembly@|@los ua ke, sau ua ib pab ib pawg, sib dhos@
@assess@|@ntsuam xyuas@
@assessment@|@kev soj ntsuam, kev txheeb xyuas@
@assignment@|@muaj ntawv ua@
@assist@|@pab, pabcuam@
@assistant@|@pab, tus pab@
@assumption@|@kev lam hais ua ntej@
@assumptions@|@kwv yees, ntaus nqi, ntseeg li ntawd@
@assure@|@muaj tseeb@
@asthma@|@hawb pob, mob ua pa tsis nto, ua tsis taus pa@
@astigmatism@|@plooj plooj, pom kev tsis zoo@
@at@|@nyob ntawd, thaum, tom@
@at fault@|@txhaum@
@at night@|@hmo ntuj@
@at the same time@|@txhij...@
@atatement@|@lus hais@
@athlete@|@neeg ncaws, neeg ncaws kab taub, pob@
@athletic field@|@tiaj xyaum tes taw@
@atmosphere@|@hav cua@
@atrip off@|@laws, lwg@
@attack@|@kev sib tua, mus ntau, mus tom kiag, mus tua@
@attack (1)@|@sib tua@
@attempt@|@sim@
@attend@|@mus koom, mus nkag nrog@
@attendance@|@kev mus koom@
@attention@|@kev xyuas xim@
@attention deficit disorder@|@kev nyob tsis tswm@
@attic@|@nthab, saum nthab@
@attorney@|@neeg hais plaub ntug, tus txheem plaub ntug@
@attract@|@sib nqus los uake@
@attractive@|@txaus nyiam@
@audience@|@cov neeg tuaj saib@
@audio@|@suab@
@auditory processing@|@hnov tseeb, nco taucov suab lus meej, to taub meej@
@August@|@yim hli ntuj@
@aunt@|@niam ntxawm, phauj@
@aunt and niece@|@niam tais thiab ntxhais@
@authentic@|@tiag, tsis dag@
@author@|@tus tswv sau phau ntawv@
@authority@|@hwjchim@
@authorized district employees@|@cov sawv cev tsev kawm ntawv@
@automatic@|@cia li ua yam tsis tau xav li, tsis siv neeg@
@automobile@|@tsheb@
@autopsy@|@soj ntsuam xyuas@
@autumn@|@caij nplooj ntoos zeeg, caij nplooj zeeg@
@available@|@muaj caij nyoog, muaj sij hawm, tseem, tseem seem@
@available (1)@|@tshuav, xyeej@
@avenge@|@caub, pauj@
@average@|@kwv yees, qhov hauv ntsuab ntsab, thaj tsam li@
@average (1)@|@ib nrab, ib nrab, nruab nrab, siv tau nyog@
@avoid@|@maim@
@awake@|@muajlaj lim plab plaw, tsa sawv@
@award@|@puav pheej@
@aware@|@paub txog@
@away@|@deb, nyob deb ntawm no lawm, tsis nyob lawm@
@away (1)@|@tshem tso rau ib qho@
@awesome@|@txaus@
@awful@|@phem phem@
@awkward@|@ua tau txawv txawv@
@ax@|@taus@
@axe@|@taus@
@baboon@|@liab pam tsab@
@baby@|@me nyuam ab liab, me nyuam mos liab@
@baby carrier@|@nyias ev me nyuam@
@baby stroller@|@laub me nyuam@
@babysitter@|@neeg zov me nyuam@
@bachelor@|@tiav txiv@
@back@|@duav, nruab qaum, qau, qaum, qaum tes, tom qab@
@back (1)@|@rov qab los@
@back and forth@|@mus mus thiab los los@
@back head@|@qaum tes@
@back house@|@qaum tsev@
@back of horse@|@qaum tsev@
@back of the hand@|@qaum tes@
@back of the neck@|@caj qwb, qwb@
@back of the throat@|@qa@
@back yard@|@qaum tsev@
@backbasket@|@kawm@
@backbone@|@nqaj qaum@
@background@|@rov tom qab, tom qab@
@background noise@|@cov suab nrov tom tej tuaj@
@backpack@|@hnab ev khoom, khaub hnab@
@backward@|@thaub qab@
@backyard@|@tiaj nraum qaum tsev@
@bacon@|@nqaij npuas kib@
@bacteria@|@kab mob me me@
@bad@|@phem@
@badminton@|@tis qaib@
@bag@|@hnab@
@baggage@|@hnab nqa taug kev@
@bait@|@kab nuv ntses@
@baker@|@neeg ua mov ci@
@balance@|@teev@
@balcony@|@do hau@
@ball@|@npas, npoj pob, pob@
@ball and socket@|@cos qej pob txha@
@ballad@|@kwv txhia, txhiab, txhiab, txhiaj@
@balloon@|@zaig roj hmab@
@bamboo@|@khwb teeb, xyoob@
@bamboo sheath@|@yuaj@
@bamboo shoot@|@ntsuag xyoob@
@bamboo shoots@|@ntsuag xyoob@
@bamboo sprouts@|@ntsuag xyoob@
@bamboo to carry water@|@raj@
@bamboo tray@|@vab@
@ban@|@kev txwv, txwv@
@banana@|@txiv tsawb@
@banana tree@|@tsawb@
@band@|@siv, tej pab, tej pawg@
@band aid@|@ntaub lo qhov txhab, ntaub qhwv mob@
@bandage@|@ntaub qhwv tes, qhwv@
@Bang!@|@Suab nrov!@
@bank@|@tsev cia nyiaj, txhab nyiaj@
@banker@|@tus tswv cia nyiaj@
@bankrupt@|@tsis muaj nyiaj@
@banks@|@ntug dej@
@baptism@|@kevcai raus dej@
@bar@|@chaw haws dej cawv, tsis pub tawm@
@barber@|@kws txiav plaub hau@
@bare@|@lia qab@
@bargain@|@hais nqi, khom nqi@
@bark@|@tawv ntoo, tsem@
@barking deer@|@kauv@
@barn@|@txhab@
@barricade@|@thaiv@
@barrow@|@quab npua, taw npua@
@bartender@|@neeg txhab dej caw@
@barter@|@sib pauv zog@
@base@|@theem pib@
@base pole spirit@|@ncej dab@
@baseball bat@|@qws baseball@
@baseball glove@|@loojtes baseball@
@baseline@|@lub hauv paus, qhov pib@
@basement@|@hauv qab lawj, theem hauv qab@
@basic@|@yooj yim@
@basic standards@|@qauv pib nyeem, sau, thiab ua leb@
@basin@|@phiab, phiab, tais, tais phiab@
@basket@|@ciblaug, lub vab, miaj loog, pob tawb@
@basket sweeper@|@khaub rhaub@
@basket-type rice strainer@|@sabcib@
@bat@|@puav@
@bath@|@da dej@
@bath soap@|@xum npum da dej, xum npum ntxuav cev@
@bathe@|@da@
@bathrobe@|@tsho hnav npog cev, tsho khuam da dej@
@bathroom@|@chav da dej, chav dej, hoob nab, tsev viv@
@bathtub@|@dab da dej@
@battery@|@maub fais, yoj teeb@
@battle@|@sib ntaus sib tua@
@bawl@|@suab quaj@
@be@|@yog@
@be defeat@|@swb@
@be happy@|@xyivfab@
@be in a hurry@|@raum@
@be married@|@ua txij ua nkawm@
@be quiet@|@tsis txhob tham ua twjywm, txhob hais lus@
@be quiet (1)@|@nyob twjywm@
@Be quiet!@|@Nyob twjywm., Tswm seeb!@
@Be ready!@|@Tswm seeb!@
@be rich@|@nplua nuj@
@be willing@|@nyoo@
@beacause@|@vim@
@beach@|@tiaj xuab zeb nram ntug dej@
@beads@|@hlaws@
@beam@|@nqaj@
@beam of flight@|@txoj kab teeb ci@
@bean@|@kaus taum lima@
@bean curd@|@taum hwv@
@bean sprout@|@taum pauv@
@bean sprouts@|@kaus taum@
@beans@|@taum@
@bear@|@dais@
@bear fruit@|@txiv@
@bear fruit with abundance@|@ncw, txi ncw@
@beard@|@hwjtxwv@
@beast@|@tsiaj nyaum@
@beat@|@ntaus, peg, peg, tsoo, tuav, tuav, yeej@
@beat up@|@sib ntaus@
@beautician@|@tus kws txiav plaub hau@
@beautiful@|@zoo nkauj@
@beauty@|@kev zoo nkauj@
@beaver@|@nas kos dej@
@because@|@rau qhov, vim, vimchij, yeebvim, yibvim@
@because of@|@tim@
@Because someone set it on fire@|@Rau qhov muaj neeg hlawv.@
@become@|@hloov los ua, hloov ua@
@bed@|@txaj@
@bedrock@|@tsua@
@bedroom@|@chav pw@
@bedspread@|@ntaub pua chaw, ntaub pua txaj@
@bee@|@mes, muv, ntab@
@bee hive@|@xub ntab@
@bee species@|@daiv@
@bee sting@|@muv plev, ntab plev@
@bee which is commonly eaten@|@muv doom@
@beef@|@nqaij nyuj@
@beehive@|@nas muv@
@beer@|@cawv@
@beet@|@zaub ntug hauv paus liab@
@beetle@|@kab@
@before@|@ntej, tom hauv ntej, tom ntej, ua ntej, xub@
@before (1)@|@thaum ub@
@beg@|@thov, thov khawv@
@beggar@|@neeg thov khawv@
@beggining@|@pib@
@begin@|@chiv, pib, pib ua@
@behave@|@ua zoo@
@behavior@|@cwjpwm, tus yeeb yam, txoj kab ke ib tug neeg ua@
@behavior domain@|@txawj tswj tus@
@behavior intervention (1)@|@kev qhia kom coj zoo@
@behavior modification@|@kev hloov kho tus cwj pwm coj@
@behavior plan@|@kev npaj qhia kom coj zoo@
@behind@|@poob qab, qab, tom qab, tom qab@
@belbow@|@lub tshib, yas npa@
@belch@|@qais@
@belief@|@kev ntseeg@
@believe@|@ntseeg@
@bell@|@tswb@
@bellows@|@lwj@
@belly@|@pla, plab@
@belly button@|@ntaws, ntaws ntiv@
@belong@|@muaj tsw, tug, yog ib tus twg li@
@belong to@|@yo --- tug@
@below@|@nraim qab, theem hauv@
@below average@|@hauv qab nruab nrab, kev kawm tsis tau npaum@
@below the norm@|@kawm poob qab@
@below the road@|@qab ke@
@belt@|@siv, siv tawv@
@beltway@|@kev ncig zos@
@bench@|@lub rooj ntev zaum, raug tshem tawm, tog zaum@
@bench (1)@|@rooj, rooj zaum@
@bend@|@caws, chom, nkhaus@
@bend backward@|@chom@
@bend in@|@zuav@
@bend over@|@khoov@
@bendable@|@saj zawg zog@
@beneath@|@hauv qab@
@benefit@|@txiaj ntsim zoo@
@beneit@|@cov tsam@
@Bengal@|@Tsov nplooj suab@
@bengal tiger@|@Tsov nplooj suab@
@beret@|@kaus mom pluav@
@bermuda shorts@|@ris ceg luv@
@bernix@|@xwv xyem@
@berry@|@txiv hmab txiv ntoo@
@beside@|@ntawm ib sab@
@best@|@zoo tag nrho, zoo tshaj plaws@
@best man at wedding@|@pijlaj@
@bet@|@twv@
@better@|@keem, zoo dua, zoo dua qub, zoo zog qhov qub@
@between@|@hauv nruab nrab, ntsuab nrab@
@beverage@|@dej caw@
@beware of dog@|@Ua zoo dev tom@
@beyond@|@hav, thau ntawd mus tom@
@bi..@|@ob qho zoo ib yam@
@bias@|@kev tsis ncaj ncees, thuam@
@bib@|@tiag caj dab@
@bib toe@|@ntiv taw xoo@
@bible@|@vajtswv phau ntawv@
@bicycle@|@nees zab, tsheb kauj vab, tsheb tuam@
@bicycling@|@caij luv thij@
@bid@|@twv@
@big@|@loj@
@big toe@|@ntiv taw xoo@
@bigamy@|@ob tug@
@bigger@|@loj me ntsis, loj zog@
@bigger than@|@loj dua, loj tshaj ntau tshaj@
@bilingual@|@ob hom lus, paub hais ob hom lus, txawj ob hom lus@
@bilingual education@|@qhia ob hom lus@
@billfold@|@hnab tawv me@
@billion@|@phav lab, txhiab lab@
@bills@|@ntawv thov tso cai@
@bind@|@khi, pav, qhwv@
@bird@|@noog, yij@
@birdhouse@|@tsev noog@
@birds@|@lau@
@birth@|@kev yug, kev yug menyuam, xya@
@birth control@|@txwv tsis pub cev xeeb tub@
@birthday@|@hnub yug@
@birthmark@|@tias@
@bison@|@nyuj qus@
@bit@|@kaug, kav hlau tshau qhov drill, ntsis, ntsis@
@bite@|@tom, xo@
@bite hard@|@cua@
@bite of food@|@noj ib kaug@
@bitter@|@iab@
@bitter melon@|@dib iab, dib txaig@
@bitterly@|@dhawv dhev@
@black@|@dub, dub nciab, dub txig@
@black bear@|@dais nees@
@black heart@|@siab dub txig@
@black pepper@|@fwj txob@
@black resin used as cement@|@cob@
@blackout@|@tsaus muag@
@blacksmith@|@kws ntaus hlau@
@bladder@|@zais, zais zis@
@blame@|@kiam@
@blank@|@dawb paug@
@blanket@|@pam, pam vov@
@blast@|@tawg@
@blast verbally@|@lus phem@
@bleed@|@los ntshav, ntshav los, ntshav tawm, txia ntshav@
@blend@|@tov@
@blender@|@taub sib xyaw@
@bless@|@foom koob hmoov@
@blind@|@dig muag, fam, tsis pom kev@
@blindfold@|@khwb qhov muag@
@blink@|@ntsais muag@
@blister@|@hlwv, sawv hlwv@
@blizzard@|@los daus loj@
@bloated@|@tsam@
@block@|@kaw, thaiv, ua kom us tsis taus@
@blond@|@txivneej plaub hau daj@
@blonde@|@pojniam plaub hau daj@
@blood@|@ntshav@
@blood poisoning@|@mob npuag@
@blood pressure@|@ntshav dhia, ntshav muaj zog@
@bloom@|@paj tawg nthuav@
@blossom@|@kev tawg paj, lub paj@
@blouse@|@tsho hnav tuaj sab nraud, tsho poj niam@
@blow@|@cua nplawm, nplawm cua tshuab, tshuab, tshuab ntsw@
@blow (1)@|@tshuab pa@
@blow up@|@tawg, tawg rhe, tawg tuaj, tshuab, tshuab@
@blubber@|@pav ywj@
@blue@|@ntsuab, xiav@
@Blue Hmong@|@Hmoob Leeg, Hmoob Ntsuab@
@bluff@|@npoo, pob tsuas, tso dag@
@blur@|@plooj@
@blush@|@ntsej mua nce ntshav@
@boar@|@npua teb, taw npua@
@board@|@txiag@
@boast@|@hais txog, khav, khav qhuas, khav txiv, piav txog@
@boat@|@nkoj@
@bobbin@|@ntxaiv@
@body@|@lub cev, soob@
@body lice@|@tuv@
@bog@|@liaj@
@boil@|@hau, npau, rwj, rwj@
@boil down@|@nyoj@
@boil over@|@phwj@
@boil water@|@rhaub dej@
@boiled water@|@dej sia@
@bold@|@muaj zog@
@bolt@|@ntsia liaj qhov rooj@
@bomb@|@foob pob, mos txwv phom loj, phoob pob@
@bonded@|@sib raug zoo@
@bone@|@pobtxha, tsha@
@bonfire@|@txhiab qhov cub@
@book@|@ntawv, ntawv, phau ntawv@
@bookbag@|@hnab rau ntawv@
@bookbinder@|@kws xaws ntawv@
@bookcase@|@txee rau ntawv@
@bookkeeper@|@neeg khaws ntawv@
@bookshelf@|@txee rau ntawv@
@bookstore@|@tsev muag ntawv nyeem@
@boot@|@khau raj@
@boots@|@khau looj plab hlaub, nkawm khau looj plab hlaub@
@border@|@npoo, ntug@
@borderline@|@kawm tau tuaj tom qab, nyob rau qhov hauv qab@
@bore@|@tho qhov@
@bore a hole@|@lij, nrws@
@bored with@|@laj@
@born@|@yug@
@born again@|@yug dua tshiab@
@borrow@|@qev, qiv, txais@
@borrow with inrerest@|@luab@
@bosom@|@xubntiag@
@boss@|@thawj, tus saib xyuas haujlwm@
@botanist@|@kev kawm txog ntsoj tsuag@
@both@|@ob leeg, ob yam@
@bother@|@looj koov, thab, zes@
@bottle@|@hwj, lam fwj, lam hwj, raj mis@
@bottle opener@|@hlau qhib lam fwj, raj mis, tus hlau qhib lam fwj@
@bottom@|@hauv qab, qab, qhov hauv qab, qhov hauv qab@
@boulevard@|@txoj kev loj@
@bounce back@|@thim@
@bounce off@|@npleem@
@boundary@|@ciaj ciam@
@boundary line@|@ciam@
@boundary of a field@|@ciam teb@
@bouquet@|@pob paj@
@bow@|@hneev nti, nyo@
@bow in worship@|@pe@
@bowl@|@lub tais, ntim, phiab@
@box@|@phij, phijxab, phijxab, pob, thawv@
@box spring@|@daim pam pua hauv qab, pam pua hauv qab@
@boy@|@menyuam tub, tub ntxawg@
@boy friend@|@hluas nraug, tug tub phoojywg@
@boycott@|@kev sib tuav hauv tsis siv, sib tuav hauv tsis siv@
@boycott (1)@|@txwv tsi pub ua@
@bra@|@khiab mis@
@brace@|@cov khoom pab kom khov@
@bracelet@|@hlua tes, saws tes@
@bracket@|@tus cim kem cov zauv@
@brag@|@hais txog, khav, piav txog@
@braid@|@ntxias, qhaib@
@brain@|@hlwb, paj hlwb@
@brainless@|@xiam hlub@
@bran@|@xua@
@branch@|@ceg@
@branch off from@|@ncau@
@brand@|@hom@
@brass@|@nrig txog tooj dag@
@brave@|@fwv, muaj cuabkav tsis ntshai, siab tawv, ua taus@
@bread@|@cij, ncuav ci@
@breadth@|@qhov dav@
@break@|@lov, puas, so, tawg, tawg, tawg rhe, tsoo@
@break a piec off@|@khis@
@break apart@|@tu@
@break in two@|@dam, lov@
@breakfast@|@pluag tshais, tshais, tshais@
@breast@|@lub mis, mi, mis, nrob@
@breath@|@pa, ua pa@
@breathe@|@pa@
@breathe in@|@nqus pa@
@breathe out@|@tso pa tawm@
@breathless@|@txog txog siav@
@breed@|@ib yam tsiaj, yug menyuam@
@bribe@|@choj, ntxhais yuav txiv, tuam choj, xiab@
@brick@|@pob zeb ci, thwv cib@
@bricklayer@|@kws lo thawv cib@
@bridge@|@caj ntswg, choj@
@bridge of nose@|@caj ntswm@
@brief@|@luv luv, pob taub@
@briefcase@|@phav, pij xab@
@bright@|@ci ci, kaj, tshav ntuj ci nra iab@
@bright red@|@liab ploog@
