@English@|@Nepali@
@a very large cooking vessel@|@khadkundu@
@A water-deity@|@jal-debi, jal-mäi@
@A water-snake@|@jal-näg@
@abduction@|@apaharan@
@ability@|@haisiyat, haisiyat, kshamata@
@aborigine@|@adivasi@
@about@|@bare, cancun, jati, lagabhaga@
@above@|@mathi@
@abroad@|@pardesh@
@abrogation@|@nirakaran@
@absent@|@anupasthit@
@absorbent@|@shosak@
@abstract@|@bhavavacak nam@
@abstract noun@|@dharmavacak nam@
@abundant@|@prashasta@
@academy@|@ekedami@
@acceptance@|@angikar, grahan, svikar, svikar, svikriti@
@accepted@|@svikrit@
@according to@|@anusar, bamojim, bamojit@
@according top principle@|@saiddhantik@
@accusation@|@abhiyog@
@accused@|@abhiyukta@
@achievement@|@saphalta, upalabdhi@
@acquaintance@|@paricaya@
@act in a drama@|@game@
@act of waiting for something@|@dharna@
@activity@|@gatividhi, vyavasay@
@addition@|@jod, yog@
@address@|@patta, sambodhan@
@adhering@|@lapakka@
@adjective@|@vishesan@
@adjourned@|@sthagit@
@administer@|@shasit@
@administration@|@prashasan@
@administrator@|@shasak, shasankarta@
@adolescence@|@gadhapaccisi@
@adopted@|@angikrit@
@adopted citizenship@|@angikrit nagarikta@
@adopted Nepali citizenship@|@angikrit nepali nagarikta@
@Adoration hymn@|@stava, stuti@
@adores@|@puja garnu@
@advance@|@unnayan@
@advantage@|@phaida@
@adverb@|@kriyayogi@
@advertisement@|@sucanapatra@
@advice@|@arti@
@advisor@|@sallahakar@
@aerograph@|@havai-dank@
@aeroplane@|@havajahaj@
@afforestation@|@jangal jamaune kam, jangal tayar parne, janjal@
@after@|@dekhi@
@after two years@|@paraghaun@
@again@|@pheri@
@against@|@viruddha@
@age@|@yug@
@aged@|@pako@
@agent@|@kamdar@
@agitation@|@andolan@
@agreeable@|@subistako@
@agreed@|@sammat@
@agreement@|@rajinama, sahamat, sahamat, sahamati@
@agricultural income@|@khetikamai@
@agricultural production@|@krisi utpadan@
@agriculture@|@kheti, kheti-pati, krisi@
@air@|@batas@
@air route@|@havai marg@
@airfield@|@vimansthal@
@airplane@|@havai jahaj, viman@
@airy@|@havai@
@alcoholic drink@|@raksi@
@all@|@sampurna@
@all in all@|@bolbala@
@alliance@|@nata@
@alliteration@|@anupras@
@almanac@|@pancangga@
@almond@|@hade badam@
@almost@|@karib, prayah@
@almost a half@|@adhi@
@almost all@|@sabaijaso@
@alone@|@akelo@
@along with@|@sanga, sita@
@alphabet@|@accher@
@alpine@|@ucca parvatiya@
@already@|@aghi, aghi, aghi nai, agi, agi@
@also@|@yasaigari, yasogari@
@although@|@tapani, yadyapi@
@aluminium@|@silbar@
@always@|@sadhain@
@ambassador@|@dut, rajdut@
@ambition@|@mahatvakanksha@
@ambitious@|@mahatvakankshi@
@among@|@Ma@
@among each other@|@apasma@
@among kings@|@rajaharuma@
@amongin the middle@|@madhye@
@amputation@|@angacched@
@amusement@|@manoranjan@
@an armful@|@ãgaalaa bhariko, ãgaalo bhariko@
@an armful of firewood@|@ek ãgaalo daauraa@
@an early ruling dynasty@|@licchavi@
@an irrigation canal@|@muhan@
@an open field@|@maidan@
@an outside subject@|@visayantar@
@anarchy@|@arajakta@
@ancestor@|@purkha@
@ancient@|@pracin, purano@
@and@|@au, tatha@
@and then@|@ani@
@animal@|@jivjantu@
@animal husbandry@|@pashupalan@
@ankle bone@|@goli gantho@
@annoys@|@pirolnu@
@another@|@arko, aru@
@answer@|@javab, javaph@
@ant@|@kamilo@
@anthropology@|@manavshastra@
@antiquity@|@pracinta@
@anxiety@|@cinta, pir@
@anybody@|@kohi@
@appeal@|@apil@
@appearance@|@cehara@
@appendix@|@parishist@
@apple@|@syau@
@appointed@|@niyukta@
@appointment@|@niyukti@
@apprehension@|@japti@
@approach@|@eproc@
@appropriately@|@andaji@
@aquatic@|@jal-car@
@archaeology@|@puratatva@
@architecture@|@bhavan nirman kala@
@areca nut@|@supari@
@arithmetic@|@angka-ganit, anka-ganit, anka-gaNita, anka-gaRit@
@arm@|@pakhura@
@armed@|@sashastra@
@arm-pit@|@kakhi@
@arms@|@shastra@
@arrangement@|@pajani@
@arrest@|@thunuva@
@arrogance@|@ahangkar@
@art@|@vidhi@
@article@|@nibandha@
@artisan@|@kaligad, karigar@
@as a result of@|@phalsvarup@
@as also@|@evan@
@as before@|@yathavat@
@as far as@|@samma@
@as fast as possible@|@sakesamma cando@
@as for example@|@jastai, jasto@
@as long as@|@talak@
@as much as possible@|@sakbhar@
@Asadh or Asar@|@asadh@
@ash-coloured@|@dhusro, kharani@
@Asian@|@eshiyali, esiyayi@
@aside@|@para@
@asphalt@|@alkatra@
@aspiration@|@akangksha@
@ass@|@gadha@
@Assam@|@asam@
@assault@|@aghat@
@assembled@|@shamel, shamil@
@assembly@|@parisad, sabha, sangh@
@assembly of high officials@|@bharadari sabha@
@assistance@|@sahaya, sahayak@
@assistant editor@|@sampadakiya sahayak@
@astray@|@gumaraha@
@astronomer@|@jyotisi@
@astronomy@|@jyotirvidya, jyotis@
@at night@|@rati@
@at some places@|@kahin kahin@
@at that time@|@tyas tak@
@at the day time@|@diunso@
@at the same time@|@ekkai coti@
@at this place@|@yata@
@at which time?@|@kati baje?@
@atrocity@|@atyacar@
@attack@|@akraman, hamala@
@attracted@|@akrista@
@attraction@|@akarsan@
@auction@|@lilam@
@audience@|@darshan@
@Australia@|@astreliya@
@autentic@|@pramanik@
@author of a narrative tale@|@gathakar@
@authorised@|@adhikrit@
@authority@|@hak@
@autonom@|@svayattashasi@
@autonomous@|@svayatta@
@autonomy@|@svayatta shasan@
@Autonomy@|@svayattata@
@autor@|@racak, racayita@
@awakening@|@jagaran@
@axe@|@bancaro@
@baby@|@nani@
@back@|@dandalnu, pithiun@
@back and forth@|@yatauta@
@backbiter@|@chuskar@
@badminton@|@byadmintan@
@Bal Krishna Sama@|@balkrishna sama@
@balcony@|@attalika@
@bamboo@|@bans@
@bamboo curtain@|@bansko purda@
@banana@|@kera@
@bandage@|@patti@
@bank@|@baink@
@banner@|@jhanda@
@baptism@|@namkaran@
@barbarian@|@barbar@
@barbarity@|@barbart@
@barbecued meat@|@poleko masu@
@barley@|@jau@
@barn@|@dhukuti@
@based on@|@mulak@
@based upon@|@adharit, adharit cha@
@basement@|@chindi@
@basic@|@adharbhut@
@basically@|@mulatah@
@basis@|@pret, pristhabhumi@
@basket@|@dalo@
@bath@|@snan@
@bathroom@|@nuhaune kotha, snankotha@
@bean@|@simi, sinbi@
@bear@|@bhalu@
@beard@|@dahri, dari@
@beaten@|@ahat@
@beautiful@|@sundar@
@Beautiful@|@ramro@
@beauty@|@saundarya, shobha@
@because@|@kinabhane@
@bed@|@ochyan, palang@
@bed room@|@sutne kotha@
@bed stead@|@khat@
@bedbug@|@udus@
@bed-sheet@|@tanda@
@been suitable@|@susangat@
@beer@|@jand@
@beestings@|@bigauti@
@before@|@age, aghi, pesh, samaksha@
@beggar@|@magne@
@begging@|@bhiksha@
@begin@|@thalni@
@beginning@|@adi, prarambha, shuru, sutrapat@
@behavior@|@vyavahar@
@behaviour@|@acar@
@behind@|@pacadi, pachadi, pachi@
@belief@|@iman, vishvas@
@bench@|@benci@
@benefit@|@hit@
@benevolent society@|@guthi@
@best@|@uttam@
@better@|@sarvesarva@
@Bhaktapur@|@bhadgaun, bhaktapur@
@Bhanubhakta Acharya@|@bhanubhakta acarya@
@Bhote@|@bhote@
@Bhutan@|@bhutang@
@big@|@thulo, ucca@
@big basket carried on the back@|@doko@
@bill@|@vidheyak@
@bird@|@caro@
@birth control@|@santan-nigraha, santan-nirodh@
@birth rate@|@janmadar@
@birthplace@|@janmabhumi@
@birth-place@|@janmathalo@
@biting@|@tikho@
@bitter vegetable@|@karelo@
@black@|@kalo@
@black lentils@|@kalo dal, kalo mas@
@black pepper@|@maric@
@bland@|@nisto@
@blanket@|@kammal, odhne@
@blessing@|@ashirvacan, ashirvad, ashis@
@blid@|@kano@
@blind@|@andha@
@blind follower@|@andhabhakta@
@blindness@|@andhopan@
@blood@|@ragat@
@bloody@|@raktapatpurna@
@blow of a fist@|@mudki@
@bludgeon@|@gada@
@blue@|@nilo@
@body@|@ang, sharir@
@body guard@|@anga-rakshak@
@boild rice@|@bhuja@
@boiled flour paste@|@dhindo@
@boiled rice@|@bhat@
@Boiled Water@|@umaaleko pani@
@boldness@|@ant@
@bolt@|@aglo@
@bone@|@had@
@boon@|@vardan@
@boot@|@jutta@
@border@|@pranta@
@born@|@janmeko@
@bothered@|@pidit@
@bound@|@abaddha@
@boundary@|@sima, simana@
@boundless@|@asima, asimit@
@bowl@|@batuko@
@Bowstring@|@jyaa@
@box@|@bakas@
@boy@|@bal, keto@
@Boy@|@chora@
@Brahmin@|@bahun@
@brain@|@magaj@
@branch@|@hango@
@brass@|@pittal@
@brass pot for drinking from@|@amkhora@
@brass pot with a spout@|@karuva@
@brave@|@bahadur, shura@
@bread@|@pauroti, roti@
@bread cooked in butter@|@puri@
@break up@|@vighatan@
@breast@|@stan@
@breeze@|@hava@
@brick@|@int@
@bridge@|@sanghu@
@bright@|@camkilo, jhalmal@
@British customs and traditions@|@angreji caalcalan@
@broker@|@dalal@
@bronze@|@kanso@
@broom@|@kuco@
@brown@|@khairo@
@bruise@|@cot@
@bucket@|@balti@
@buckwheat@|@phapar@
@budget@|@bajet@
@buffer state@|@antaral rajya, antastha desh@
@building@|@mahala@
@bull@|@sandhe@
@bullet@|@goli@
@Büro@|@karyalaya@
@Burundi@|@burundi@
@business@|@kamkaj, rojgar, vyapar@
@but@|@parantu, tara, tara@
@but he hasn't come today@|@tara aaja aaena@
@butter@|@nauni@
@butterfly@|@putali@
@buttermilk@|@mohi@
@buyer@|@gahak@
@by@|@bata, dvara@
@by-lane@|@galli@
@cabbage@|@bandakopi a@
@cable railway@|@akashe tara-marg@
@calendar@|@panjika@
@calf of the leg@|@pindulo@
@calm@|@shanta@
@caluminated@|@badanam@
@camel@|@unta@
@camp@|@dera@
@Can you write the exam?@|@Timile exam diyo sakchhau?@
@canal@|@nahara@
@candidate@|@umedvar, ummedvar@
@candle@|@main batti@
@capital@|@rajdhani@
@capture@|@pakrau@
@car@|@kar, motar@
@cardamom@|@alainci@
@cardinal number@|@sankhyamatrabodhak@
@carpet@|@galainca@
@carrot@|@gajar@
@Carry me; slowly@|@Malai bistaarai bhoknuhos@
@cartoon@|@vyangya-citra@
@case@|@mudda@
@cashew nut@|@kaju@
@casket@|@peti@
@caste system@|@jatpat@
@castor-oil plant@|@anderi@
@castrated he-goat@|@khasi@
@cat@|@biralo@
@cattle@|@gaibastu@
@cauliflower@|@kauli, phulkopi@
@cause@|@karan@
@cautious@|@hoshiyar@
@cautiousness@|@hoshiyari@
@ceiling@|@siling@
@census@|@janaganana@
@center@|@majha@
@central valley@|@sadar upatyaka@
@centre@|@bic@
@century@|@shatabda, shatabdi@
@ceremonial@|@aupacarik@
@Ceremony@|@jalsä@
@certain@|@pakka@
@certainly@|@avashya@
@certificate@|@pramanpatra@
@chair@|@kursi@
@chairman@|@sabhapati@
@challenge@|@cunauti@
@change@|@herpher, parivartan, pherabadal, satani, satani, satta@
@change clothes@|@luga phernu@
@Changunarayan@|@cangunarayan@
@Chantyal a Nepali nationality@|@chantyal@
@chaos@|@dhandhali@
@chapter@|@adhyay, kand@
@chapters@|@prakriya@
@character@|@carit, caritra@
@charity@|@uddhar@
@charm@|@mohani@
@cheap@|@sasto@
@cheat@|@thagaha@
@cheeks@|@gala@
@cheese@|@dugdhasar@
@chemist's shop@|@ausadhipasal@
@Chepang a Nepalese nationality@|@cepang@
@chess@|@buddhical@
@chest@|@chati@
@Chetri@|@chetri@
@chicken@|@kukhuro@
@Chicken@|@cukura@
@Chicken meat@|@cukura masu@
@chief@|@adhyaksha, neta@
@Chief District Officer@|@jilla pramukh adhikari@
@Chief Justice@|@pradhannyayadhish@
@chief justice of the court@|@aDDaako mukkhe nyaayaadhis@
@childhood@|@balyakal@
@childless@|@nihsantan@
@Children@|@chora chori@
@chill@|@rugha@
@chilli@|@khorsani@
@chin@|@ciundo@
@China@|@cin@
@Chinese@|@ciniyan@
@cigarette@|@curot@
@cinder@|@angar@
@cinnamon@|@dalcini@
@city@|@nagar, sahara@
@civic studies@|@nagarik shastra@
@civil@|@nagarik@
@civilization@|@sabhyata@
@claim@|@hak, mag@
@class@|@darja@
@classless company@|@vargahin samaj@
@clay vessel to carry fire@|@angethi@
@clean@|@saph, sapha, svaccha@
@clear@|@vyakta@
@clever@|@akkali, batho, calak, calakh@
@climate@|@havapani@
@climatical influence@|@jalvayuko prabhav@
@clocktower@|@ghantaghar@
@cloth@|@kapada@
@clothing@|@luga@
@cloud@|@badal@
@clove@|@lvang@
@coal@|@koila@
@coarse wollen rug@|@radhi@
@coast@|@tat@
@coat@|@kot@
@cobalt@|@sobhita@
@cobra@|@goman sarp@
@coconut@|@narival@
@coffee@|@kaphi@
@cold@|@ciso, thanda@
@cold beer@|@ciso biyar@
@cold water@|@ciso pani@
@colleague@|@sahayogi@
@collection@|@samuccaya, samudaya, samuha, sangkalan@
@Collection of water@|@jalä@
@collective@|@samudayik, samuhik@
@collective noun@|@samudayavacak nam@
@collectively@|@samastigat@
@collectiveness@|@samasti@
@college@|@pathshalaya@
@colour@|@rang@
@coloured@|@rangin@
@column@|@stambha@
@comb@|@kainyo@
@combination@|@samanvaya@
@comfort@|@rahat, subista@
@coming@|@agami@
@coming and going@|@avat-javat@
@command@|@agya, shasan@
@commemorative tribute@|@sraddaanjali, sraddhaanjali@
@comment@|@vaktavya@
@commentary@|@pravacan@
@commentator@|@tippanikar@
@commerce@|@bepar@
@commission@|@ayog@
@commitment@|@pratibaddhata@
@committee@|@samiti@
@common@|@caltika, sadharan@
@communism@|@samyatantra, samyavad@
@communist@|@samyavadi@
@companion@|@sathi@
@company@|@samparka@
@compared to@|@bhanda@
@comparison@|@tulana, upama@
@competence@|@samarthata@
@complete@|@purna, purnatah@
@completely@|@pura, samasta@
@compliance@|@anusaran@
@component@|@ghatak@
@composition@|@racana@
@conceit@|@adambar@
@concerns@|@upalakshya@
@conclusion@|@anta@
@condition@|@avastha, paristhiti, vatavaran@
@conduct@|@acaran@
@confidential@|@gopya@
@confiscation@|@hadpa, hadpa@
@confused@|@akamakka@
@confusion@|@ganjagol@
@conjunction@|@sangyojik@
@conqueror@|@vijeta@
@consequence@|@natija@
@consideration@|@vicar@
@conspiracy@|@sadyantra@
@constituion@|@shasantantra@
@constitution@|@sanvidhan@
@constitutional@|@sanvaidhanik, vaidhanik@
@construction@|@nirman@
@consultation@|@mato, mato, sallaha@
@consumer@|@upabhokta@
@consumption@|@khapat@
@contemplation@|@tak@
@contents@|@anukramnika, visaya-kram@
@contest@|@hodabaji@
@continuity@|@nirantarta@
@continuous@|@avicchinna, nirantar@
@contribution@|@angshadan@
@control@|@niyantran@
@conversation@|@bolcal, bolivacan, kurakani, lila@
@cook it some more@|@aja pakaau@
@cooking pot@|@bhando, karai, kasaundi@
@coolness@|@jado@
@cooperation@|@sahayog, yogadan@
@cooperative@|@sajha@
@cooperative society@|@sahayog samiti@
@co-ordination@|@talmel@
@copper@|@tama, tanba@
@coriander@|@dhaniyan@
@coriander green@|@dhaniyanko@
@corn on the cob@|@hariya makai@
@corpse@|@shav@
@correct@|@shuddha, thik@
@correction@|@sanshodhan@
@corrupt person@|@bhrastacari@
@corruption@|@bhrastacar@
@cottage industry@|@gharelu udyog@
@cotton rug@|@dari@
@counted as member of the group@|@bhitriya@
@countenance@|@anuhar, anuvar@
@counting of votes@|@matganana@
@counting word for persons@|@jana@
@countless@|@anginti@
@country@|@muluk@
@coup@|@shasan parivartan@
@couple@|@dvandva, jodi@
@course@|@path@
@court@|@adaalat@
@court of justice@|@nyayalaya@
@court of law@|@adda@
@courtyard@|@cok@
@cow@|@gai@
@cowdung@|@gobar@
@co-wife@|@sauta@
@cowshed@|@goth@
@crab@|@gangato@
@crane@|@bakkulo@
@cream@|@tar@
@creation@|@sirjana@
@crest@|@cuda@
@cricket@|@phatyangro@
@criminal@|@aparadhi@
@critical@|@alocanatmak@
@criticism@|@alocana@
@crocodile@|@gohi@
@crooked@|@bango@
@crowd@|@dal@
@cuckoo@|@koili@
@cucumber@|@kankro@
@cultural@|@sanskritik@
@culture@|@sanskriti@
@cumin@|@jira@
@cup@|@kacauro, katauro@
@cupboard@|@daraj@
@currently a district of Nepal@|@palpa@
@curtain@|@parda@
@custard-apple@|@saripha@
@custom@|@calan, calan, thiti, thiti, thiti-riti@
@customer@|@gahaki@
@customs@|@bhansar@
@cutting board for meat@|@acaano, acano, acanu@
@cutting knife@|@cakku@
@daily@|@dinahun@
@damage@|@marka@
@dance@|@nac@
@Darjeeling@|@darjiling@
@dark@|@ãdyaaro, sepilo@
@dark fortnight@|@krishna paksha@
@dark skinned human being@|@kal@
@dark-brown@|@dhvanse@
@darkness@|@andhakar, udaasa@
@dark-red@|@kaleji@
@date@|@gate, khajur, tarikh, tithi@
@daughter@|@chori@
@daughter's husband@|@jvain@
@day@|@divas@
@Day@|@din@
@daybreak@|@prabhat, usa@
@de facto@|@vastutah@
@dead body@|@lash@
@deaf@|@bahiro@
@dear@|@priya@
@death@|@mrityu, svargavas@
@death penalty@|@mrityuko danda@
@death penalty by shooting@|@golidvara mrityudanda@
@debt@|@rina@
@decentralization@|@vikendrikaran@
@decided@|@parit@
@decision@|@nirnaya@
@Decision@|@phaisala@
@declaration@|@ghosana@
@declared@|@ghosit@
@decline@|@agati, avanati@
@deep@|@gahiro, gambhir@
@deer@|@mirg, mrig@
@defeat@|@parajaya@
@defeated@|@parajit@
@defective@|@dosi, dusti@
@defence@|@raksha@
@definition@|@paribhasa@
@definitive numeral@|@nishcit sankhyabodhak@
@deformation@|@vikriti@
@delicious@|@mitho@
@delight@|@alhad, khushi, ullas@
@demand@|@dabi, dava, mangga@
@democracy@|@janatantravad, loktantra, prajatantra@
@democratic@|@prajatantrik@
@democratical@|@janatantrik@
@demonstrative pronoun@|@dashak sarvanam@
@dense@|@ghana@
@departmental@|@vibhagiya@
@departure@|@jawäi@
@dependence@|@ashraya@
@dependent@|@vivash@
@depending on@|@ashrit@
@description@|@bayan, varnan, vivaran@
@desertion@|@tyag@
@design@|@butta, dhanca@
@desire@|@agraha, iccha, uddesh@
@desired@|@icchit, ista@
@despatch@|@calan@
@destruction@|@nidhan, vinash@
@detective@|@gupti@
@determination@|@dharana@
@devastate@|@ujad@
@developed@|@vikasit@
@development@|@abhivriddhi, vikas@
@devotee@|@bhakta@
@devotion@|@bhakti@
@dexterous@|@daksha, nipun@
@Dharmadeva; a Licchavi king@|@dharmadeva@
@Dhimal; a Nepali nationality@|@dhimal@
@diamond@|@hira@
@diarrhoea@|@pakhala@
@dictionary@|@shabdakos@
@Did you have your food?@|@Timile khana khayo?@
@diet@|@ahar@
@difference@|@antar, bhinnata, pharak, pharak, pharar@
@difference of opinion@|@matabhed@
@different@|@alag, vividh@
@different kinds of lentils@|@dal@
@difficult@|@gahro, kathin@
@difficulty@|@kathinai@
@diffused@|@vyapta@
@dim@|@dhamilo@
@direction@|@disha, taraph@
@director@|@nirdeshak@
@dirty@|@mailo, phohor@
@disagreement@|@asahamati@
@discipline@|@anushasan@
@disconcerted@|@akamakka@
@discussion@|@bahas, chalphal, tark, vivad@
@disorder@|@avyavastha@
@dispensary@|@cikitsalaya@
@disposal@|@niptara@
@dissatisfaction@|@asantusti@
@dissatisfied@|@asantusta@
@dissension@|@virodh@
@distinct@|@spast@
@distress@|@kast, sangkat@
@distressed@|@vipanna@
@district@|@jilla@
@District Development Committee@|@jilla vikas samiti@
@district officer@|@bada hakim@
@distrust@|@avishvas@
@ditto@|@ejan@
@diversity@|@vividhta@
@divided@|@vikhandit@
@division@|@angsha@
@divorce@|@parapacuke@
@do nothing@|@akarmi@
@Do you love me?@|@Ke timi malai maya garchau?@
@Do you speak English? (1)@|@Tapai English bolnuhunchhe?@
@doctrine@|@siddhanta@
@document@|@dastavej@
@dog@|@kukur@
@Dog@|@cukoor@
@domestic@|@antardeshiya@
@donation@|@canda@
@done@|@nirmit@
@donor agency@|@datri sanstha@
@don't do this work now@|@agi-pachi garepani huncha, yo kaam a'ile nagara@
@don't sit in the dark@|@ãdyaaromaa nabasa@
@Don't touch me there!@|@malai thyaha nachou@
@door@|@dailo@
@door mat for rubbing off mud@|@gaddar-posh@
@double@|@dobar, doklo@
@double gender@|@samanya ling, ubhayaling@
@doubt@|@shangka@
@dove@|@dhukur@
@down@|@tala@
@downwards@|@muntira@
@dozen@|@darjan@
@draft@|@masauda@
@dreadful@|@darlagdo, vikat@
@dregs@|@jam@
@dried meat@|@sukuti@
@drops@|@thopo@
@Dropsy@|@jalodar@
@drucktype@|@mudrakshar@
@duck@|@hans@
@dumb@|@lato@
@Dura; a Nepali nationality@|@dura@
@during@|@hundi, kheri@
@dweller@|@vasi@
@dwelling@|@avas@
@each other@|@ekaarkalai@
@eagle@|@cil@
@ear@|@kan@
@ear lobes@|@kanka loti@
@early@|@saber, saberai@
@early autumn@|@sharad, sharat@
@earphone@|@iyarphon@
@earth@|@prithvi@
@earthen@|@matako@
@earthquake@|@bhuincalo@
@earthworm@|@gandyaulo@
@easily pleased@|@ashutos@
@easiness@|@suvista@
@east@|@purviya@
@Eastern@|@purvi@
@easy@|@sajilo@
@eating place surrounding store@|@cauka@
@economic@|@arthik@
@economic importance@|@arthik matava@
@economics@|@arthashastra@
@edition@|@sanskaran@
@editor@|@sampadak@
@editorial@|@sampadakiya@
@editorial department@|@sampadakiya vibhag@
@educated@|@padhelekheka@
@education@|@shiksha@
@effect@|@asar@
@effigy@|@salig@
@effort@|@prayas, prayatna@
@egg@|@anda, phul@
@eight@|@at, ath@
@eighteen@|@athara@
@Eighteen@|@athaara@
@eighth@|@athaun@
@eighty@|@asi@
@eighty-eight@|@athasi@
@eighty-five@|@pacasi@
@eighty-four@|@caurasi@
@eighty-nine@|@unannabbe@
@eighty-one@|@ekasi@
@eighty-seven@|@satasi@
@eighty-six@|@chayasi@
@eighty-three@|@triyasi@
@eighty-two@|@bayasi@
@either...or@|@athawaa@
@elbow@|@kuhino, kuhuno@
@elder brother@|@dai, daju, dajyu@
@elder brother' wife@|@jethan@
@elder brother's wife@|@bhauju@
@elder sister@|@didi@
@elder sister's husband@|@bhinaju@
@eldest@|@sarvapracin@
@eldest of brothers@|@jetho@
@election@|@nirvacan@
@electoral@|@cunavi@
@electricity@|@bijuli, vidyut@
@elephant@|@hatti@
@eleven@|@eghara@
@Eleven@|@egarah@
@eleventh@|@egharaun@
@elixir@|@amrit@
@elsewhere@|@antai, anyatra@
@embassy@|@rajdutavas@
@embellishment@|@alangkar@
@embrace@|@ãgaalo haalnu, angkamal@
@embryo@|@garbha@
@emissary@|@guptacar@
@emperor@|@samrat@
@employee@|@karmacari@
@employment@|@jagir@
@empty@|@shunya@
@encouragement@|@dhadas@
@end@|@upansanhar@
@endeavour@|@koshish@
@endless@|@ananta@
@endurance@|@sahan, sthirata, sthirata, sthiratva@
@enemy@|@shatru@
@English@|@angreji@
@Englishman@|@angrej@
@enjoyment@|@upabhog@
@enlightenment@|@alok@
@enmity@|@shatruta@
@Enough@|@pugyo@
@entertainment@|@lahad, utsav@
@enthroned@|@gadinarasing@
@enthusiasm@|@utsaha, utsukta@
@entire@|@sarva@
@entire property@|@sarvasva@
@entirely@|@bilkul@
@entrails@|@andra@
@entry@|@pravesh@
@envy@|@irsya@
@equality@|@samanta@
@equalization@|@santulan@
@equalness@|@samata@
@era@|@kalpa@
@escort@|@sancalit@
@essence@|@sat@
@establishment@|@sansthapan, sthapan, sthapana@
@estimate@|@ankai@
@etcetera@|@ityadi@
@ethnic group@|@janajati@
@Europe@|@yurop@
@European@|@yuropeli@
@even@|@Pani, samatal, svayang@
@even now@|@ajhai@
@even outside@|@bahira samet@
@even then@|@ajai, ajhai@
@evening@|@beluka@
@eventually@|@akhir@
@ever@|@harbakhat, hardam@
@Everest is high@|@Everest algo cha@
@every@|@pratyek@
@every part of the body@|@anga-anga@
@everyone@|@hara, sarvajan@
@everything@|@saba@
@evidence@|@dasi@
@evil@|@asat@
@Exactly@|@janapravad@
@exaltation@|@mahima@
@examination@|@pariksha, parikshan@
@exceedingly@|@caupattai@
@excellent@|@param@
@except@|@bahek@
@exceptionally good@|@attenta raamro@
@excessive@|@jyaadaa@
@exchange@|@satahi@
@exchange of dagger-blows@|@churavaji@
@excited@|@uttejit@
@exclamation@|@udgar@
@excuse@|@nihun, niun@
@Excuse me@|@Hajur@
@execution@|@karyanvayan@
@execution by hanging@|@phansi@
@executive@|@karyakarini, karyapalika@
@existence@|@astitva@
@exists@|@thegnu@
@expanded@|@vistarit@
@expectation@|@pratiksha@
@expedition@|@abhiyan@
@expenditure@|@kharca@
@expensive@|@mahango, pyaro@
@experience@|@anubhav, mahasus@
@experienced@|@anubhavi@
@expert@|@vishesagya@
@explanation@|@vyakhya@
@exploited@|@shosit@
@exploration@|@anveshan@
@explosive@|@visphotak@
@exponent@|@unnayak@
@expulsion@|@bahiskar@
@extra@|@atirikta@
@extraordinary@|@vishes@
