@Venetian@|@English@
@condottiere@|@mercenaries@
@confóndar@|@be in a confusion@
@cónpo@|@lame@
@conzalavezze@|@repairers of copper and terracotta pans@
@còpa@|@loaf@
@corazzieri@|@armourers@
@cordaroli@|@rope-makers@
@corlo@|@mad, scatter-brained (like a pinning top)@
@corregge@|@belts@
@còtoa@|@skirt@
@crédar@|@believe@
@cristi@|@crucifix@
@crosera@|@crossing of several calles@
@cupaskóndare@|@hide and seek@
@cupegàre@|@chew with the mouth open@
@curame@|@leather warehouse@
@déo@|@finger@
@depentor@|@painter@
@desavìo@|@insipid@
@dexgrafàre@|@to untie@
@dexmentegàrse@|@to forget@
@dhà£o@|@yellow@
@dhandhìvi@|@gums@
@dhenòco@|@knee@
@dhermàn@|@german@
@dhó@|@down@
@Dhòrdhi@|@George@
@diamanteri@|@diamond worker@
@die@|@morir@
@diéxe@|@ten@
@dixdòto@|@eighteen@
@Don't touch me there!@|@No stà tocarme lì!@
@dormir@|@sleep@
@Dove xela la me camara?@|@Where is my room?@
@Dove xela la spiajia?@|@Where is the beach?@
@Dove xelo el bar?@|@Where is the bar?@
@drénto@|@inside@
@drìo@|@behind@
@drugo@|@stupid person@
@el@|@the@
@el can 'l jèra sporc(o)@|@the dog was dirty@
@el can jèrelo sporc(o)?@|@was the dog dirty?@
@El gaton gras@|@the fat big male cat@
@El pianze@|@he cries@
@El xe@|@he is@
@èlira@|@ivy@
@endegàro@|@index@
@entrecosei@|@tangles (thin gold chains that got tangled up)@
@exénpio@|@example@
@fabbre@|@smith@
@favri@|@blacksmith@
@feraleri@|@lantern makers@
@fero@|@iron@
@fete@|@slices@
@fhabiòko@|@stupid@
@fhalìva@|@snow flake@
@fhémena@|@wife@
@fhià@|@a little@
@fhìnfarli@|@type of mushroom@
@fhòdha@|@trend@
@fhóra@|@out@
@fhorèsto@|@stranger@
@fhormàyo@|@cheese@
@fhòya@|@leaf@
@fhursi@|@maybe@
@filacanevi@|@hemp-spinners@
@filatoio@|@spinners workshop@
@finfotàre@|@to whimper@
@finir@|@finish@
@fondaco@|@warehouse@
@fontega@|@warehouse@
@foro@|@small hole@
@fossa@|@ditch@
@fraglie@|@brotherhoods, confraternities@
@frakàre@|@to press@
@franfrìgo£a@|@type of berry@
@frataglie@|@brotherhoods, confraternities@
@fratellanze@|@brotherhoods@
@frecce@|@arrow makers@
@frédha@|@cold@
@frégo£a@|@crum@
@frezze@|@arrow makers@
@frìto£a@|@whimp@
@frìxa@|@arrow@
@frustai@|@whipped@
@frutariol@|@fruit seller@
@furari@|@to steal@
@furatole@|@shop selling fried fish etc. to the poor@
@fuseri@|@spindle makers (spinning machines)@
@gaffer@|@Arab chief, caliph@
@galón@|@hip@
@gardéna@|@type of bird@
@garzo@|@card (type of wire brush)@
@garzoti@|@carders@
@gatarìso£e@|@the tickles@
@gatàro@|@gate@
@gate@|@cat@
@gatè£e@|@the tickles@
@gatolo@|@type of drain@
@gavàso@|@bush@
@gayòfha@|@pocket@
@getto@|@place of foundries@
@ghetto@|@place of foundries@
@giazzo@|@ice@
@gioiellieri@|@jeweller@
@gobbo@|@hunchback@
@gòmito@|@vomit@
@górna@|@gutter@
@gorne@|@drain@
@gòto@|@glass@
@gréspe@|@wrinkles@
@gufo@|@hunchbacked@
@guglie@|@spires, obelisks@
@gunbio@|@elbow@
@I gatoni grassi@|@the fat big male cats@
@impiraresse@|@glass bead stringers@
@inbolxemàre@|@to get covered with mud@
@inbotonar@|@turn@
@incasonare@|@to imprison@
@ìndese@|@fake egg to put on hen's nest@
@indomè@|@barely@
@indorador@|@gilder@
@indormài@|@by now@
@infhià@|@swollen@
@infholponàrse@|@to muffle oneself@
@ingrisàrse@|@to be ashamed@
@ingrumàre@|@to accumulate@
@inmagàrse@|@enchanted@
@inoriàrse@|@to be disoriente@
@inpasà@|@to be filled@
@inpisàre@|@to turn on@
@inprèstiti@|@borrowings@
@insìda@|@the exit@
@instéso@|@anyway@
@insulae@|@urban blocks (former islands)@
@intorko£à@|@twisted around@
@intrà@|@besides@
@inxamò@|@already@
@ìspio@|@moss@
@istà@|@summer@
@jaso@|@ice@
@jénte@|@people@
@jéo£o@|@elder tree@
@jornà£e@|@newspaper@
@jósa@|@drop@
@kanpigo£àre@|@to wag@
@kèba@|@cage@
@kefàro@|@cockroach@
@kéka@|@magpie@
@kèserle@|@type of cheese@
@kièto@|@quiet@
@kipàre@|@to bend@
@kisa@|@snugly@
@kistìnkene@|@dried chestnut@
@kitàra@|@tool used to whip milk@
@kive@|@here@
@kó@|@when@
@La gatona grassa@|@the fat big female cat@
@lalaj@|@box (in a theatre)@
@làrexe@|@type of tree@
@lavanderi@|@washers@
@lavezer@|@repairers of copper and terracotta pans@
@Le gatone grasse@|@the fat big female cats@
@lèdhare@|@to read@
@lista@|@strip (of land)@
@lóngo@|@long@
@lòsa@|@sand@
@lòxa@|@loggia@
@lu@|@him@
@luàme@|@dung@
@ludro@|@filthy@
@ludrón@|@asphalt@
@luganegheri@|@pork butchers@
@luna@|@moon@
@lustraferre@|@craftsmen who polished ir@
@luya@|@female pig@
@luyo@|@July@
@madhégo@|@type of hay@
@magànha@|@pain@
@magazen (da vin)@|@wine seller@
@malcanton@|@bad corner@
@malpasso@|@wrong step@
@malvasie@|@shop selling imported wine@
@mandoleri@|@vendors of almonds and dried fruit@
@manganer@|@wool lustrer@
@manini@|@see entrecosei@
@màntexa@|@bellows@
@mara@|@nightmare@
@marangón@|@carpenter@
@mare@|@mother@
@marè£a@|@umbrella's ray@
@marè£o@|@pile@
@margaritera@|@glass bead make@
@mariegola@|@registration@
@mariegole@|@book of regulations@
@marinè£e@|@type of cherries@
@markà@|@market@
@marón@|@also a scam@
@marònhe@|@rock slide@
@marte£àro@|@police man@
@maruè£e@|@hemorrhoids@
@marxemìn@|@wise@
@masiéra@|@wall made of stones@
@masìn@|@butcher@
@maya@|@sweater@
@mazena@|@wheat@
@me pàre 'l jèra drìo a parlàr@|@my father he's behind to speak@
@mèdho@|@between, in between@
@melórde@|@tails of long tuxedo@
@métare@|@put@
@mèxo@|@between@
@mezzo@|@middle@
@moleca@|@ugly, horrible face@
@molo@|@quay@
@moltón@|@sheepskin@
@montagnola@|@hill, small mountain@
@moréja@|@mouse@
@morione@|@a type of helmet@
@móvar@|@move@
@moyére@|@wife@
@muneghe@|@corn@
@muso@|@donkey@
@musolìn@|@small fly@
@muxìna@|@piggy bank@
@na bea gatea@|@a nice small female cat@
@nanarè£a@|@gerbil@
@nasòpia@|@big nose@
@netar@|@clean@
@nevódo@|@nephew@
@nhaér@|@to become@
@nhànhara@|@light fever@
@nhanho@|@silly@
@nhanka@|@not even@
@nharo@|@nest@
@nhèl@|@lamb@
@nhòko@|@type of food@
@ninàre@|@singing a lullaby@
@ninte@|@nothing@
@No sarìa mìa stà drio parlarte@|@I wouldn't have been speaking@
@nodàro@|@notary@
@nomboli@|@hind quarter of beef@
@nonzolo@|@beadle, church servant@
@nóxa@|@nut@
@òbito@|@funeral@
@òco@|@watch out@
@òfhio@|@flabby@
@ogio@|@oil@
@òko@|@dumb@
@ónbrìa@|@shadow@
@onfegàre@|@stain with grease@
@óngaro@|@Hungarian@
@ónja@|@finger nail@
@ónsa@|@ounce@
@ónxar@|@anoint@
@ónxare@|@to grease@
@òrbo@|@blind@
@orefici@|@goldsmiths@
@orso@|@bear@
@osti@|@innkeeper@
@ostreghe@|@oysters@
@òyo@|@oil@
@pagia@|@straw@
@palii@|@weavers of silk drapes@
@panataria@|@bread shop@
@pàndare@|@to reveal@
@pandò£o@|@biscuit@
@panhùgo£o@|@wad@
@panpa£ùgo@|@type of bird@
@pantasón@|@fat person@
@pào@|@turkey@
@papìna@|@slap@
@papòta@|@cheek@
@pare@|@father@
@parecàre@|@to prepare@
@parmédo@|@precocious@
@parsìmo£o@|@parsley@
@parucheta@|@wig@
@passamanere@|@braider@
@passar@|@pass@
@pasto@|@a lot@
@pate£ón@|@zipper@
@patòfhia@|@weak@
@patùgo@|@bottom of bottle@
@pe£andrón@|@lazy@
@pèdho@|@worse@
@pegoloti@|@pitch worker@
@pèka@|@footprint@
@pele@|@leather@
@pellizzeri@|@leather workers@
@pena@|@pen@
@penhàta@|@pan@
@penini@|@seller of boiled lamb's feet@
@peocóxo@|@stingy@
@pèrdar@|@loose@
@peretàre@|@to scrutinize@
@pèrla@|@wild berry@
@permétar@|@permit@
@pèrsego@|@peach@
@persemolo@|@parsley@
@persicata@|@sellers of persica (thick conserve of peaches)@
@pesta@|@spices (ground)@
@pestrin@|@milk vendor@
@petàre@|@to glue@
@petenè£a@|@annoying person@
@petotàre@|@to walk quickly@
@petufhàrse@|@to fight@
@pévare@|@pepper@
@piànperi@|@matches@
@piata@|@large cargo barge@
@piato£àre@|@to waste time@
@pien@|@full@
@pignater@|@pan maker@
@pignoli@|@pine-nut merchant@
@pipión@|@pigeon@
@pirie@|@funnels@
@pirón@|@fork@
@pisakàn@|@dandelion@
@piscina@|@marsh@
@pistor@|@baker@
@pizzicagnoli@|@shop selling fries fish etc. to the poor@
@po£ìto@|@OK@
@pólde@|@flea@
@polvere@|@talcum powder@
@pontar@|@point@
@popà@|@dad@
@portar@|@take@
@prèsia@|@hurry@
@protiro@|@a bit that juts out from a building such as a porc@
@protomedico@|@state chief physician@
@provveditore@|@patron@
@puìna@|@ricotta cheese@
@puliéro@|@colt@
@purgo@|@land with tunnels used for rinsing cloth@
@putè£o@|@child@
@raganhò£o@|@nuisance@
@raìxa@|@root@
@ramenón@|@a bad fall@
@ranpegàre@|@to climb@
@ranpìn@|@hook@
@rasaóro@|@razor@
@rascia@|@cloth covering gondola cabins@
@rassa@|@cloth covering gondola cabins@
@remeri@|@oar makers@
@rénte@|@close@
@ridotto@|@public place where gambling was permitted@
@rielo@|@narrow canal@
@rigolàre@|@to tumble@
@rimpeto@|@opposite@
@riota@|@wheel@
@ronkexàre@|@to snore@
@róso@|@red@
@ròso@|@bunch@
@rusàre@|@to rash@
@ruxàre@|@to prowl@
@sa@|@short for what@
@sabbioneri@|@sand merchants@
@sabbioso@|@sandy ground@
@sacca@|@like a small harbour@
@sakanhón@|@clumsy@
@salbanè£o@|@goblin@
@sanbè£o@|@hyperactive kid@
@sanjùto@|@hiccup@
@sanpòto£e@|@slippers@
@sànto£o@|@father in law@
@saoneri@|@soap makers@
@sarà@|@closed@
@saràda@|@the Fall@
@saràre@|@to close@
@sarasina@|@Saracen@
@sarti@|@tailors@
@sartoria@|@tailors@
@sata@|@paw@
@scaleter@|@kind of doughnut with ladder type markings@
@scànta@|@a little@
@scào@|@slave@
@scàpo@|@a group@
@scàsaro@|@very dirty@
@scavìna@|@harrow -farm utensile@
@scékenàre@|@to strike@
@scéto@|@autentic@
@scéve@|@hedge@
@scherma@|@fencing@
@schiavine@|@small woollen blankets@
@scoazera@|@rubbish tip@
@scoazzere@|@street cleaners@
@scokàre@|@to clap@
@scoltar@|@to hear@
@scona@|@ring@
@scòpo@|@gun@
@scudeleri@|@makers of squele@
@scudi@|@type of coin@
@scuela@|@bowl@
@senpioldo@|@dumb@
@sentar@|@seat@
@sentir@|@feel@
@servir@|@serve@
@sfharexón@|@nosy@
@sgorlàr@|@to shake@
@sguazzetto@|@kind of stew@
@shénta@|@seat@
@simadore@|@shearer@
@simia@|@monkey@
@sixì£a@|@swallow-type of bird@
@sìxo£a@|@type of gardening scythe@
@skanho@|@stool@
@skavesàre@|@to break@
@skèi@|@money@
@skó£a@|@school@
@skóa@|@broom@
@skope£òto@|@slap@
@skoraiàre@|@to knock down@
@skorlàre@|@to shake@
@skuliéro@|@spoon@
@slòsa@|@transportation vehicle@
@soneri@|@soap makers@
@sora£ake@|@the laptop@
@sórxe@|@rat@
@spadaria@|@sword makers@
@spade@|@sword@
@sparagànhe@|@pigs ribs@
@spesegàre@|@to get to work@
@spezier@|@pharmacist or spice merchant@
@spezieri da grosso@|@spice merchants@
@spezieria@|@apothecary@
@spithigàre@|@to pinch@
@squartai@|@quartered (i.e. executed)@
@squeieri@|@makers of squele@
@squero@|@gondola yard@
@stagneri@|@tin workers@
@stè£a@|@splinter@
@stèla@|@splinter@
@stèrke£e@|@ski@
@stilo@|@point of a dagger also style@
@stivaleto@|@boot@
@stofegàre@|@to smother@
@stramazer@|@mattress maker@
@strazzeri@|@rag merchants@
@strologo@|@astrologer@
@strope@|@willow reeds@
@stua@|@stove usually where stueri operated@
@stueri@|@low surgeons who dealt with corns etc.@
@sturion@|@sturgeon@
@sugàre@|@to dry up@
@tagiapietra@|@stone-cutter@
@takonàre@|@to mend@
@tanbràre@|@to thunder@
@técia@|@pan@
@telariol@|@canvas vendor@
@temer@|@to be afraid@
@téndare@|@to look after@
@terazzera@|@Venetian floor layer@
@teriaca@|@medicine with many ingredients@
@testor@|@weaver@
@thanka@|@left@
@ti te jèra sporc@|@you were dirty@
@ti te jèri sporco@|@you were dirty@
@ti te te à/ga/ghè domandà@|@you have asked yourself@
@ti te xeri sporco@|@you were dirty (1)@
@tibiàre@|@to cool down@
@tintori@|@dyers@
@tó£e@|@she takes@
@tò£e@|@tables@
@tóko@|@the touch@
@tòko@|@piece@
@tole@|@tables or boards (timber sellers)@
@tondo@|@circular piece of art@
@tosàt@|@lad@
@traghetto@|@ferry@
@trapè£o@|@useless object@
@traste@|@makers of the beam across boats and gondolas@
@trasti@|@beams laid across boats or gondolas@
@triperi@|@tripe cooks@
@ùa@|@grapes@
@un bel gatel@|@a nice small male cat@
@urtàre@|@to push@
@ùso@|@doorstep@
@ùxo@|@used to@
@varnìxa@|@varnish@
@védar@|@see@
@végro@|@not cultivated@
@vele@|@sail maker@
@vènare@|@Friday@
@véndar@|@sale@
@vergola@|@silk braider@
@vergoler@|@silk braider@
@vèrta@|@the Spring@
@visdomino@|@vicar@
@volto@|@arch or vault@
@xa@|@already@
@xara@|@pitcher@
@xbarlukàre@|@to flash@
@xbéso£a@|@chin@
@xbétega@|@gossiper@
@xbiansàre@|@to water@
@xbitaràre@|@to spray@
@xbramoxà@|@tired@
@xbrindo£ón@|@wanderer@
@xbrisiàre@|@to slip@
@xenòco@|@knee@
@xénte@|@people@
@xgàparo@|@spit@
@xgrànfho@|@cramp@
@xgrìxo£e@|@shivers@
@xhal@|@rooster@
@xìxo£a@|@hard strike@
@xjantìso@|@lightning@
@xjónfo@|@full@
@xlamegón@|@grungy@
@xlandrón@|@procrastinator@
@xlangorìo@|@empty stomach@
@xlaparón@|@voracious@
@xlépa@|@slap@
@xlòso@|@broken@
@xmarìo@|@faded@
@xmorsàre@|@turn off@
@xnharòko@|@snot@
@xòbia@|@Thursday@
@xornà£e@|@newspaper@
@xugàre@|@to play@
@xvanpo£àrse@|@to move around stretching@
@yakéta@|@jacket@
@yera@|@was@
@yeri@|@yestarday@
@yóvene@|@young fellow@
@yudàre@|@to help@
@yudìsio@|@judgement@
@zappa@|@hoe@
@zattieri@|@raftsmen@
@zavater@|@cobblers shop@
@zecca@|@mint (coins)@
@zecchine@|@Venetian coin@
@zenòco@|@knee@
@zirada@|@turn, round twist@
@zudio@|@Jew@

