@English@|@Pali@
@an ewe@|@Uran@
@an old remnant of a dual@|@Ubho@
@an owl@|@Uhunkara, Uluka@
@and@|@ca@
@anger@|@kodha@
@angry@|@kujjhati@
@annihilation@|@vibhava@
@Annihilation belief@|@uccheda-ditthi@
@annouces@|@ároceti@
@announces@|@îroceti@
@another@|@añña@
@another name of the Buddha@|@Sakyamuni@
@answers@|@paêivadati, pativadati@
@appearance@|@vanna@
@approach to@|@Otara@
@approaches@|@upasankamati, upasaºkamati@
@aquatic@|@jalaja@
@arahant@|@arahanta@
@are ascribed all@|@oghatinno@
@arises@|@uggacchati@
@arises (is born)@|@jáyati, uppajjati@
@army@|@sena, seña@
@around@|@pari, pari@
@arrives@|@pápunati, papuöati@
@article@|@bhanda, bhaö@
@as far as the rock@|@îpabbata@
@as long as@|@táva@
@as one wishes@|@yavadatthaµ@
@ascends@|@áruhati, uttarati@
@ascetic@|@samana@
@asceticism@|@tapa@
@asks@|@pucchati@
@assembles@|@samágacchati@
@associates@|@bhajati@
@at present@|@Etarahi@
@atithi@|@guest@
@attachment@|@pema, rati@
@attainment of cessation@|@nirodha sammapatti@
@attains@|@adhigacchati@
@aunt@|@matulan, mátuláni@
@austerity@|@dhutanga@
@avaricious person@|@kadariya@
@aversion@|@dosa@
@averted@|@vimukha@
@away from@|@Apa@
@back@|@puna@
@backwards@|@paêilomaµ, patiloman@
@bad@|@di@
@bad man@|@asádhu@
@basic@|@mula@
@basic mind@|@citta@
@be abandoned by the inhabitant@|@Ubbasiyati@
@becomes@|@bhavati@
@becoming@|@bhava@
@bed@|@ma-ca, mañca@
@beggar@|@yácaka@
@beginning@|@udaya@
@behind@|@pacchá@
@being@|@bhèta@
@being alone@|@Ekibhava@
@being jumped on@|@Ullanghita@
@being outside the Vinaya@|@Ubbinaya@
@belonging to exertion@|@Ussolhik@
@belonging to one shoulder@|@Ekangsa1@
@belonging to rice@|@Odaniya@
@belonging to the realm@|@rupavacara@
@bench@|@pêha, pítha@
@bending down@|@Onamana@
@beneficial to the world@|@lokahita@
@benefit to the present life@|@diµµhadhamma attha@
@bent down@|@Onata@
@besprinkled@|@Okkhita@
@better reading@|@Ubbisati@
@beyond@|@páram@
@beyond defilements@|@lokuttara@
@bhanda@|@goods@
@bhúmi@|@ground@
@big@|@mahanta@
@big snake-like creatures@|@Nagas@
@bird@|@sakuna@
@birth@|@jti, Ubbhava@
@bison@|@Ottha@
@black@|@kanha, kaöha@
@blamable@|@garayha, vajja@
@blame@|@apaváda, Apavhbda@
@blameworthiness@|@Upavajjat@
@blameworthy@|@Upavajja@
@blaming@|@Upavadaka@
@blessed@|@bhagavanta@
@Blessed one@|@bhagavant@
@blessing@|@mangala@
@blessings-bestower@|@sivankara@
@blue@|@níla@
@blueness@|@nálattam, nílatá@
@boat@|@nává@
@boddhisattva of compassion@|@Avalokiteshwara@
@bodily@|@káyika@
@bodily action@|@kyakamma@
@body (doctrine ) of teachings@|@pariyatti@
@boiled@|@odana@
@bone@|@aêêhi, atthi@
@book@|@potthaka@
@born@|@jáyati@
@born of kamma@|@kammaja@
@both@|@Ubhaya@
@brings@|@áharati, îharati@
@broken@|@bhinna@
@brother@|@bhátu, îvuso@
@brother-in-law@|@Devadatta@
@Buddha@|@Buddha@
@buddha gave his first sermon@|@deer park@
@Buddhagaya@|@Bodh-Gaya@
@buddha-mind@|@dharmakaya@
@buddha's "evil" cousin@|@Devadatta@
@Buddha's Chief Disciples@|@Mah Moggallna, Maukgalan, Maukgalan, Moggallna@
@buddha's family name@|@gautama@
@Buddha's friend@|@Ananda@
@buddha's horse@|@kanthaka@
@buddha's squire@|@chandaka@
@Buddhist deity@|@Mahayana@
@bull@|@go@
@bundled up@|@Ubbhandita@
@buries@|@nikhanti@
@bursting forth@|@Ubbhida@
@but@|@pana@
@buys@|@kináti@
@by oneself@|@Ekanika, pacceka@
@calling out@|@Ullapana@
@calm@|@agga, akkhi@
@calming@|@samatha@
@capital city of the Sakyans@|@Kapilavatthu@
@care@|@ádara@
@carried away@|@Oddha@
@carries@|@harati@
@carrying@|@Ubbahana@
@carrying away@|@Upavahana@
@cart@|@ratha@
@cause@|@samudaya@
@ceases@|@nivattati@
@celebrated@|@Upavuttha@
@celestial realm@|@yama@
@celibacy@|@brahmacariya@
@celibate@|@brahmacar@
@central cosmic mountain@|@Myint-mo@
@ceremony of full ordination@|@upasampad-@
@certain@|@A-atara, Ekacca, Ekangsika@
@certainly@|@have@
@cessation@|@nirodha@
@chair@|@pítha@
@change@|@Annitya@
@chapter@|@pariccheda@
@chapter of monks@|@gana@
@chapter of the Scriptures@|@suttanta@
@characteristics@|@lakkhana@
@charge@|@Oni@
@chariot@|@ratha@
@charioteer@|@rathakara@
@chews@|@khádati@
@chief@|@adhipati, Anunhbyaka, seêêha, settha@
@chieftain@|@adhipati@
@child@|@dáraka@
@childhood@|@bálatá@
@chinese for pure land@|@ching-t'u@
@chinese for zen buddhism@|@ch'an@
@city@|@nagara@
@class of higher gods@|@Byamma@
@clear@|@vippasanna@
@climbs@|@áruhati@
@clinging@|@upadana, updna@
@clinging to mere rules@|@s²labbataparmsa@
@cloth@|@vattha@
@clothed in rags@|@Otallaka@
@coach-builder@|@rathakáraka@
@cold@|@síta@
@collection@|@samúha@
@collection of villages@|@gamata@
@collects@|@saµharati, sanharati@
@color@|@vanna@
@combing@|@Ullikhana@
@come@|@Ehi, ento@
@come bhikkhu@|@ehi bhikkhu@
@comes@|@ágacchati, îgacchati@
@coming into existence@|@Uppada@
@coming into existence again@|@Okkantika@
@coming on@|@Okkanta@
@community of disciples@|@svakasangha@
@compassion@|@Karuna@
@Compassion@|@Karuna@
@compiles@|@sanganhati@
@complete@|@pari, sampunna@
@complete purity@|@parisuddha@
@comprehension@|@sampajanna@
@concentration@|@aggat@
@concentration in meditation@|@smadhi@
@concentration meditation@|@samatha bhavana@
@condenses@|@sankhipati, saºkhipati@
@condition@|@bháva, gati, paccaya@
@conditionality@|@idappaccayat@
@conduct@|@ácára, patipadá@
@confidence@|@saddha@
@conqueror@|@Abhibhè, abhibhú, jetu@
@conquers@|@jináti@
@consciousness@|@Alaya-vijñana@
@consent@|@anumati@
@constituent of path leading@|@magganga@
@contemplation of feelings@|@vedannupassan-@
@contemplation of mind-objects@|@dhammnupassan@
@contemplation of state of mind@|@cittnupassan@
@contemplation of the body@|@kynupassan@
@contrariness@|@vipariyesa@
@control@|@dama, tapa@
@controlloing faculties@|@indriyas@
@convention@|@sammuti@
@conventional reality@|@sammuti sacc@
@conversation@|@Bhassa@
@cook@|@pacati, sèda@
@cooked rice@|@odana@
@cooks@|@pacati, pacitukáma@
@cool@|@síta, sta@
@corageous@|@dhitimantu@
@cosmic law@|@niyama@
@counterfeit@|@patirúpam@
@country@|@rattha@
@courageous one@|@dhitimantu@
@course@|@magga, patipadá@
@cover@|@apidhána, pidhána@
@covered@|@Ogunthita, Upavita@
@covetousness@|@abhijjhá@
@cow@|@dhenu@
@craving@|@tanh, tanhá, taºh, taöha@
@craving and clinging@|@taºh-upadana@
@craving for existence@|@bhavataºh@
@craving for non-existence@|@vibhavataºh@
@craving for sense pleasures@|@kmataºh@
@creeping vine@|@Elambaraka@
@crosses@|@tarati@
@cuts off@|@ucchindati, vicchindati@
@darkness@|@andhakára, tama@
@daughter@|@dhítu, duhitu@
@day@|@Aha, divasa@
@death@|@maccu, marana, maraöa@
@death from reaching@|@yukkhaya marana@
@decay@|@jar@
@decision@|@vinicchaya@
@declares@|@vadati@
@deep@|@Okkhayika@
@deer-park@|@miga-daya@
@defeat@|@parájaya@
@deficient@|@unaka@
@defiled@|@Ussuta@
@defilement@|@kilesa, Upalepa@
@defiles@|@sankilissati@
@deliverance@|@mutti@
@delusion@|@Avidya, moha@
@demigods@|@Asuras@
@demon@|@yakkhas@
@departs@|@nikkhamati@
@departure@|@Uyyoga@
@depending on@|@paticca@
@depletion@|@unatta@
@descends@|@avakkamati (, okhamati@
@desirable sense-object@|@itthayon@
@desire@|@chanda, Esan, Esikaa, Etthi, raga@
@desireless one@|@nittaöho arahant@
@desires@|@icchati@
@despised@|@Oñata@
@despises@|@avajánáti@
@destroys@|@dhunáti@
@destruction@|@khaya@
@determination@|@adhimokkha@
@determined@|@Ussahita@
@develops@|@bhaveti@
@devoid of lust@|@virga@
@devotee@|@upasaka, upásaka@
@devotee (female)@|@upásiká@
@devotion@|@saddhá@
@dharma@|@dhamma@
@Diamond Vehicle@|@vajrayana@
@different@|@náná, para@
@difficult@|@du, dukhara@
@difficult of comprehension@|@duranubodha@
@difficult to obtain@|@dullabh@
@difficult to tame@|@duddama@
@digs@|@khanati, khaöati@
@diligence@|@appamada@
@dinner@|@sáyamása@
@direction@|@disá@
@disappears@|@antaradháyati@
@disciple@|@sávaka@
@disciplinary rule@|@bhutagama sikkha@
@discourse@|@desan@
@discourse of Dhamma@|@dhamma-desan@
@discourses of the Pali canon@|@Abhidhamma@
@disease@|@roga@
@dispensary@|@osadhasálá@
@dispensation of the Buddha@|@ssana@
@displeasure@|@domanassa@
@distraction@|@Ummada@
@distrustful@|@Ussankin@
@disturbed@|@uuhata@
@diving into@|@Amatogadha, Ogaha@
@do@|@kattukáma@
@doctor@|@vejja@
@doctrine@|@dhamma@
@doctrine of self@|@attavada@
@Doctrine of the Buddha@|@dhamma@
@Doctrine of the Elders@|@Theravda@
@Doctrine taught by the Buddha@|@Buddha-Dhamma@
@doer@|@káraka, kattu@
@dog@|@sunakha@
@doing@|@karaöa, karonta@
@door of action@|@dvra@
@doubt@|@vicikicchã@
@doubtful@|@Urulhava, Us@
@doubtful in its meaning@|@Ulloka@
@down@|@hettha@
@drags down@|@upakaddhati@
@drawing together@|@Upasangharana@
@drawn out@|@Ubbhata@
@drinkable@|@peyya@
@drinks@|@pibati, pivati@
@driving away@|@Eraka1@
@drying@|@Otapaka, Ussiñcana@
@due course@|@Anupubbaµ@
@due to a bhikkhu's negligence@|@pcittiya@
@dumb@|@elamuga@
@dust@|@raja@
@duties of bhikkhus@|@acariya vatta@
@dwelling place@|@avaso@
@dwells@|@viharati@
@dwells in@|@Adhivasati@
@ear@|@sota@
@early@|@pubba@
@early in the morning@|@pato@
@earnestness@|@appamáda@
@earth@|@bhmi, pathavi@
@east@|@puratthimá@
@eastern@|@pubba@
@easy@|@sukara@
@easy to do@|@sukara@
@eat@|@bhñjitukáma@
@eatable@|@khajja@
@eater@|@bhojaka@
@eats@|@bhuñjati@
@edible@|@khádaníya@
@effect@|@vipka@
@effort@|@vayama@
@eight@|@aêêha, attha, attha@
@eight compulsory requisites@|@parikkhra@
@eight inopportune circumstance@|@atthakkhana@
@eighteen@|@aêêhñdasa@
@eighth@|@aêêhama@
@eighty@|@asáta, Asti@
@either@|@vá@
@elder@|@jeyya@
@eldest@|@jeêêha@
@element@|@dhatu@
@elephant@|@hatthi, ku-jara@
@eleven@|@Ekadasa@
@emerging@|@Ummujjamanaka, Ummujjana@
@emissary@|@duta@
@emptiness@|@sunyata@
@end@|@agga, anta@
@endeavouring@|@Ussuka@
@energy@|@Ussukka@
@enjoys@|@dibbati@
@enlightened@|@bodhisattva@
@enlightened one@|@Buddha, sambuddha@
@enlightenment@|@bodhi, sambodhi@
@Enlightenment@|@bodhi@
@entering into@|@Okkamana@
@entering upon the Holy Stream@|@sotpatti@
@enters@|@pavisati@
@entry@|@Okkanti@
@envious@|@Usuyyaka@
@envy@|@iss@
@equanimity@|@upekkha, Upeksha@
@erected@|@Ussita@
@especial@|@visesa@
@essence@|@oja, sára@
@essence and consequence@|@atthapatisambhidha@
@Establishment of the attention@|@satipaµµhna@
@esteem@|@ádara, îdara@
@eternalistic view@|@sassatavda@
@euphonic junction@|@Sandhi@
@even@|@api, Eva@
@evening@|@sáyanha@
@evening meal@|@sáyamása@
@every way@|@sabbaso, sabbatha@
@everyday@|@sabbadá@
@evil@|@papa, papa, papaka, pápakárí@
@evil doer@|@papakar@
@evil state@|@duggati@
@Exalted One@|@bhagav@
@excellent@|@settha, sutthu@
@excess@|@su@
@excitement@|@Ubbega@
@exegetical abstr. formations@|@Usuyyan, Usuyyitatta@
@exertion@|@Ussolhi, Uyyama@
@exhortation@|@ováda@
@existence@|@bhava@
@expounds@|@vyákaroti@
@extent@|@pariccheda@
@extinguishing of the aggregate@|@khandhaparinibbna@
@exultation@|@Odagya@
@eye@|@cakkhu@
@eye of Dhamma@|@dhammacakkhu@
@eye-conscious@|@cakkhu-vinnana@
@face@|@mukha@
@face to face with@|@sammukha@
@facing towards@|@Abhimukha@
@factor of absorption@|@jhnaªga@
@faith@|@saddhá@
@falls@|@patati@
@family name of Prince Siddhata@|@Gotama@
@farmer@|@kassaka@
@fasting@|@Upavasa@
@father@|@janaka, pitu@
@father of the Buddha@|@Suddhodana@
@faulty@|@Ullopana@
@favourable conditions@|@utu@
@fear@|@bhaya@
@fear from thief@|@corabhayaµ@
@fear of doing evil@|@ottapa@
@fear of exile@|@Ottappa@
@feast@|@Ussava@
@fertile soil@|@Ubbar@
@feverish@|@gilna@
@few@|@appa@
@field@|@khetta@
@fifteen@|@pa-cadasa, pa-cadasa, pañcadasa, pannarasa, paööarasa@
@fifth@|@pa-cama, pañcama@
@fifty@|@paööasa@
@final ablution@|@odak antikat@
@final bliss@|@nibbna@
@finding an opportunity@|@âdhigama@
@finger@|@anguli@
@fire@|@aggi@
@fire wood@|@daru@
@firebrand@|@Ummuka@
@firewood@|@dáru@
@firmly established powers@|@iddhipda@
@first@|@paêhama, pathama@
@fish@|@maccha@
@fittness of the work@|@cittakammannata@
@five@|@pa-ca, pañca, panka@
@five aggregates@|@pankakkhandha@
@fivefold@|@pa-cadha@
@fixing one's mind@|@Okappan@
@flax@|@Umm@
@flooding@|@Oghana@
@flower@|@puppha@
@flurried@|@Ubbigga@
@flying up@|@Uppada1@
@folds@|@samharati@
@followers of the Buddha@|@buddhist@
@follows@|@anugacchati@
@food@|@áhára, bhojana@
@foot@|@pada@
@for a long time@|@ciraµ indec, ciram@
@for one@|@âhika@
@foremoon@|@pubbanha@
@foremost@|@pubba@
@forenoon@|@pubbaöha@
@forest@|@aêavi, atavi, vana@
@form@|@kya, rupa@
@formation@|@Ekato@
@forty@|@cattaâsati@
@forty-nine@|@ek'úna pannása@
@Founder of Buddhism@|@Buddha@
@four@|@catu@
@Four Noble Truths@|@sacca@
@four sublime states@|@brahma vihara@
@fourteen@|@catuddasa, cuddasa@
@fourth@|@catuttha@
@Fourth Stage of santification@|@magga-phala@
@free from existence@|@vibhava@
@free from greed@|@Ussukita@
@freed@|@mutta@
@freedom@|@mutti@
@freedom of the chest@|@Urund@
@friend@|@ávuso, mitta, saháya@
@from here@|@Ettato, ito@
@from the hall@|@Apashblhbya@
@fruit@|@phala@
@full@|@Ussadaka@
@full of anguish@|@Ubbegin@
@full of pleasure gardens@|@Uyyanavant@
@fully alike@|@sadisa@
@fully enlightened one@|@samma sammbuddha@
@fully ordained monk@|@bhikkhu@
@function@|@Ekamanta@
@funeral@|@Edha@
@further@|@pana, puna@
@gait@|@gati@
@ganges@|@gangá@
@garden@|@áráma@
@garland maker@|@malakara@
@garland-maker@|@málákára@
@garment@|@ambara, vattha@
@gathering@|@parisa@
@generic English term for Zeidi@|@pagoda@
@generosity@|@cga@
@germ@|@bíja, bja@
@gets@|@labhati@
@gets angry@|@kujjhati@
@gift@|@dána@
@girl@|@dáraká@
@giver@|@annada, datu, dáyaka, dyaka@
@giver of food@|@annada@
@gives@|@deti@
@gives in return@|@patideti@
@giving@|@dána@
@glory@|@yasa@
@goal@|@attha@
@goat@|@aja, eâaka@
@god@|@deva@
@goddess@|@deví@
@gods@|@devas@
@goer@|@gamaka@
@goes@|@gacchati, gachati@
@goes about@|@vicarati@
@goes away@|@apagacchati, nigacchati, pakkamati@
@goes forward@|@abhigacchati, Abhikkamati, payati@
@goes near@|@upagacchati@
@goes near to@|@abhigacchati@
@going@|@gamana@
@going down@|@Ogamana, Otarana@
@going for refuge@|@saraºagamana@
@going near@|@Upasankamana@
@going out of its direction@|@Ubbatuma@
@gold@|@suvanna@
@golden@|@sovannamaya, sovaööamaya@
@gone down@|@Oggata, Otinna@
@gone into@|@Ocinna@
@gone to the village@|@gamato@
@good@|@attha, attha, kusala, pasattha, pasattha, pasattha, pu--a, pu--a, sadhu, sundara@
@good doer@|@pu--akar@
@good friend@|@kalynamitta@
@good man@|@sadhu, sujana@
@Gotama's attendant@|@Channa@
@gradual instruction@|@anupubbi-katha@
@grass@|@tiöa@
@grateful person@|@kata--è@
@great@|@Ulara@
@great compassion@|@maha-karuna@
@great festival@|@Abhimaºgala@
@greatest@|@uttama@
@greatness@|@Ularatta@
@greed@|@lobha@
@greedy@|@Ussukin@
@grief@|@soka@
@grinding the teeth@|@Ullahaka@
@ground@|@bhèmi, usa@
@groups@|@khandhas@
@guest@|@atithi@
@habitual kamma@|@aciººakamma@
@hair@|@kesa@
@hall@|@sala@
@hand@|@hattha@
@hand gestures on statures@|@mudra@
@happiness@|@sukha@
@happy@|@Ubbilavita@
@happy plane of existence@|@sugati, suggati@
@happy state@|@sugati@
@harsh@|@pharusa@
@hatelessness@|@adosa@
@hatred@|@bypda, dosa, dvesha, vyapada@
@hattha@|@hand@
@having a single sole@|@patalika@
@having an origin@|@Uppadin@
@having bowed down@|@Onamita@
@having entered@|@Uvitta@
@having left aside@|@nidhaya@
@having one meal@|@bhattika@
@having one protector@|@arakkha@
@having only one@|@bijin@
@having taken@|@îdhbya@
@he@|@so@
@he fell on sleep@|@niddang okkami@
@he who has relations@|@bandhumantu@
@he who has sons@|@puttika@
@head@|@sira@
@health@|@îrogya@
@healthy@|@nroga, sukhita@
@hearer@|@sotu@
@hears@|@suöati@
@heart@|@hadaya@
@heat@|@Usm, Usum@
@heavenly being@|@deva@
@heavy kamma@|@garukakamma@
@height@|@Ubbedha@
@her@|@tassa@
@here@|@Ettha, idha@
@high@|@ucca@
@Higher Doctrine@|@Abhidhamma@
@higher knowledge@|@Abhi@
@higher morality@|@Adhisla@
@higher psychic power@|@abhiññas@
@higher teachings@|@Abhidharma pitaka@
@highest knowledge@|@vijja@
@hinder@|@Ubbaheti@
@hindrances@|@n²varaºa@
@his@|@tassa@
@hoarfrost@|@Ussava1@
@holding such a view@|@ditthin@
@honey@|@madhu@
@honour@|@namo@
@horse@|@assa@
@hostile king@|@patiraja@
@hot@|@uöha@
@house@|@geha, ghara@
@householder@|@gahapati@
@human being@|@manussa@
@hundred@|@sataµ@
@hundred lakhs@|@koêi@
@husband@|@bhattu@
@I@|@Ahaµ@
@ideal@|@ariya@
@idealism@|@citta-matra@
@ignoble practice@|@abrahmacariya@
@ignorance@|@avijj, avijja, bálatta, maya, Maya@
@Ignorance@|@maya, moha@
@illumination@|@obhasa@
@immersed@|@Ogadha, Ogadha1@
@impression@|@phassa@
@in accordance with@|@Anulomato@
@in both places@|@Ubhayattha@
@in many ways@|@bahudhá@
@in reality@|@yathbh³ta@
@in special application@|@Usabha@
@in the presence of@|@purato@
@in the same place@|@Ekajjha@
@inciting@|@Uyyojana@
@incomprehensibility@|@acinteyya@
@indeed@|@hi@
@Indian bird with beauty song@|@Karavika@
@Indra's elephant@|@Eravana@
@inferior@|@hina@
@initial application@|@vitakka@
@insight and vision@|@ñnadassana@
@instigated@|@Uyyojita@
@insulting@|@Upav?da@
@Interjection of satisfaction@|@sdhu@
@into the ear@|@upakaööa@
@intoxicant@|@majja@
@Intuitive powers@|@abhiñña@
@iron@|@aya@
@irritable@|@kodhana@
@is born@|@jayati@
@is defiled@|@saºkilissati@
@is doubtful@|@Okkandika@
@is purified@|@visujjhati@
@is to be read@|@E?agga, passayika@
@it follows Sotapatti Magga@|@sotpattiphala@
@jar@|@ghaêa@
@jealousy@|@Usuyya@
@jewel@|@maöi@
@joy@|@pti@
@jumping out of water@|@Ummujj@
@jumping up@|@Ullanghan, Uplavati, Uppilavati@
@just@|@dhammika@
@kammically accumulative@|@kammabhava@
@karma@|@kamma@
@kataññú@|@greatful-person@
@kind of cucumber@|@Elaluka@
@king@|@narapati, raja@
@King of Devas@|@Sakka@
@king of Magadha@|@Beimbathaya, Bimbisara@
@king of Niraya@|@yamaraja@
@kitchen salt@|@Ubbhida1@
@knower@|@natu@
@knowing and seeing things@|@yathbh³tañºadassana@
@knowing one@|@pitaka@
@Knowing the Ti-pitaka@|@ti-pitaka-dhara@
@knowledge@|@ñna@
@knows or understand fully@|@sampajanati@
@Kusinagare in Uttar Pradesh@|@Kusinra@
@lack of conscience@|@anottappa@
@lacquered Scriptures@|@kammawa@
@lake@|@sara@
@lakh@|@lakkhaµ@
@lamentation@|@parideva@
@lamp@|@dpa@
@language@|@bhasa, paâibhasa@
@large@|@ubbulhav@
@Large Vehicle@|@Mahayana@
@last@|@Antima@
@laughing@|@uhasana@
@lay woman@|@upasika@
@lays aside@|@nidahati@
@leader@|@netu@
@leading to one goal@|@ayana@
@leading to vision@|@cakkhukaraºi@
@letter@|@lekhana@
@letter in reply@|@paêilekhana@
@level of deep calm@|@jhna@
@liaison with niggah'ta@|@niggah'ta-sandhi@
@liar@|@Alikavhbd@
@liberation from existence@|@vimokkha@
@lid@|@Apidhhbna@
@lie@|@musa-vada@
@life@|@Jivita, uh, yu@
@lifted@|@Uss?pita@
@lifted out@|@Ussarita@
@lifting up@|@Ummasan, Ussapana@
@lightness of the mind@|@cittalahuta@
@like@|@iva, viya@
@like a rhinoceros@|@khaggavis?öakappa@
@lives@|@jvati@
@living in the house@|@cara@
@loathsomeness@|@asubha@
@lobha@|@greed@
@lodging@|@kuµ²@
@long@|@dgha, digha@
@looked at@|@Ullokita@
@looking on@|@Ullokaka@
@looks down upon@|@avama--ati@
@lord@|@pati, sam@
@love@|@pema@
@Loving-kindness@|@mett@
@low@|@nca@
@lust@|@chanda rga@
@maddening@|@Ummadan@
@made of iron@|@ayomaya@
@made of silver@|@rajatamaya@
@mahanta@|@great@
@majesty@|@teja@
@major form of Meditation@|@vipassan@
@making@|@Uppadana@
@making-up@|@c²vara-kamma@
@man@|@nara@
@mango@|@Amba@
@manhood@|@manusatta@
@mare@|@assñ@
@market@|@îpana, nigama@
@master@|@adhipati@
@mastered@|@Adhibhèta@
@matter aggregate@|@rupakkhandha@
@medicine@|@osadha@
@meditation@|@bh'van, dhyana@
@Meditation@|@kamathan@
@meditation object@|@kammaµµhna@
@meets together@|@sameti@
@member of the Sangha Order@|@bhikkhu, monk, oo-pazin, oo-zin@
@member of warrior@|@Khattiya@
@mental@|@manomaya@
@mental cultivation@|@bhavana@
@mental factors@|@nma-dhamma@
@mental image appearing@|@nimitta@
@mental pleasure@|@somanassa@
@mentor@|@acariya, achaan, ajaan, ajahn@
@middle@|@majjhima@
@milk@|@khra, paya@
@millions of years@|@kalpa@
@mind@|@ceta, citt'uppda, citta, mana, mna, nma, viññna@
@mind of enlightenment@|@bodhicitta@
@mind-consciousness@|@mano-vinnana@
@mindfulness of breathing@|@anapanasati@
@mine@|@mama, mayhaµ@
@minister@|@Amacca@
@minor branch@|@upasakha@
@minor deities@|@balu@
@miscellaneous kamma@|@kaµattakama@
@miser@|@kadariya@
@miserliness@|@macchariya@
@misery@|@adnava@
@mixed with salt@|@loöika@
@modesty@|@hir²@
@momentary@|@khaºika@
@momentary concentration@|@khaºikasamdhi@
@monastery@|@îgatasamaöo@
@money@|@dhana@
@monk who brought buddhism@|@bodhidharma@
@monk who brought soto zen@|@dogen@
@monkey@|@kapi@
@month@|@masa@
@month corresponding  May-June@|@visakha, Wesak@
@moon@|@canda@
@moral and immoral actions@|@abhisankhara mara, abhisankhara upadhi@
@moral virtue@|@s²la@
@morality of the vows@|@patimokkhasamvara sila@
@morning meal@|@patarasa@
@mother@|@janan, matar@
@mother of Buddha@|@Maya@
@motion@|@Ej@
@motives@|@agatigamana@
@mount@|@Meru@
@mouth@|@mukha@
@moved@|@Erita@
@multitude@|@janata@
@mythical half-human half-lion@|@manuthiha@
@mythological hybrid creatures@|@Kinnara and Kinnari@
@name@|@nama@
@name and form@|@nma-rupa@
@natural law of cause@|@cittaniyama@
@nature@|@dhammata@
@navigator@|@navika@
@near a river@|@upagaºgaµ@
@near to@|@api@
@need@|@payojana@
@neighbourhood of the water@|@antika@
@nephew@|@nattu@
@next@|@upa@
@night@|@ratti@
@nine@|@nava@
@nine Transcendentals@|@lokuttara Dhamma@
@ninety@|@navuti@
@ninth@|@navama@
@noble@|@paöta@
@noble person@|@ariya-puggala@
@noble truth@|@ariya-sacca@
@noble truth of the cessation@|@dukkhanirodha ariyasacca@
@noble wealth@|@ariyadhana@
@noisy@|@ghosana@
@nominative case@|@paccatta-vacana@
@non-aversion@|@abyapada@
@non-injury@|@avihi@
@non-returner@|@anagami@
@northern@|@uttara@
@nose@|@ghana@
@not deficient@|@anuna@
@not subject to the exercise@|@avasavattit@
@not-self@|@Anatman@
@Novice@|@smaºera@
@now@|@idani@
@nun@|@bhikkhun@
@nutrient@|@oja@
@object of concentration@|@kasiºa@
@obstructs@|@rundhati@
@of bad complexion@|@das(s)ika okotimaka@
@of one kind@|@Ekavidha@
@offence@|@prjika@
@offers@|@pèjeti@
