@English@|@Yupik@
@angel@|@caquleg@
@Aniak-Alaska@|@Anyarer@
@animal dens@|@igigta@
@animal pelvis@|@kuss'ig@
@animal pelvis area@|@anarnig@
@ankle@|@cingiller@
@ankle-high Eskimo skin-boot@|@kameksag@
@answer@|@kiun@
@any fading color@|@wiissagngalzria@
@any light color@|@arriavyug@
@any metal@|@cawikuc'ug@
@any thin cloth@|@ciitessar@
@anyplace@|@piciatun@
@ape recorder@|@erinaariss'un@
@apple@|@kavlagpag@
@April@|@Tengaurtet Tanqiat@
@Aproka River on the Alaskan mainland@|@Apruka'ar@
@arctic char@|@irunar@
@arctic entry@|@elaturer@
@arctic hare@|@maqaruar@
@arctic loon@|@qaq'er, tunutelleg@
@Arctic or gray cod@|@atgiiyar@
@area across@|@aki@
@area across a bay@|@agna@
@area across a pond@|@agna (1)@
@area across river@|@agna@
@area beside@|@cania@
@area between two houses@|@akulzwiqsar@
@area from the rest of the living space@|@akin (1)@
@area near@|@cania@
@area next to@|@cania@
@area outside around the house@|@qagna@
@ariver meaning river of Acakcug@|@Acakcum Kuiga@
@arm@|@tallir@
@armpit@|@uner@
@around it@|@awatiini@
@arrector pilli@|@maa@
@arrow@|@qerrur@
@arts and crafts@|@caanguat@
@ash from bark@|@pelur@
@Asian@|@cugngalznguarar@
@Asiatic@|@Tayarumiu@
@at that time@|@imumi@
@Atmauthlauk-Alaska@|@Atmaulluar@
@attic@|@naweskar@
@attitude@|@ayuqucir@
@August@|@Qilangaaruswig@
@auklet skin and feather parka@|@ciulegkat@
@automobile@|@nunakuarrsun@
@autumn@|@uksuar@
@away from bay@|@pamani@
@awl@|@werqun@
@awl for slicing sinew@|@talun@
@axe@|@piqrutar@
@babysitter@|@cumikista@
@back area@|@tunu@
@back of the head@|@talirner@
@back scratchier@|@kumgun@
@back there@|@piani@
@backbone@|@culug@
@backpacking cradle@|@atmaggsun@
@backward@|@utetun@
@bait@|@naryarer@
@baking powder@|@qulzrir@
@bald eagle@|@tengmirrlug@
@bald person@|@qerrirayag@
@bald spot on crown of head@|@patkaller@
@barbel@|@kaacicar@
@bare area with no trees@|@cat'alqur@
@barge@|@paacar@
@barnacle@|@culzgussug@
@barometer@|@call'um cuqyut'i@
@barrel@|@napartar@
@base of a spit on the east coast of Nunivak@|@Qengallegar@
@base of chimney on stove@|@kenrem tugellra@
@basketball@|@yugguar@
@bat@|@anautar, kaugun@
@bay meaning little estuary@|@Tacikcuar@
@bay of Eskimo dancing@|@Kassiyum Kangiqucua@
@bay of Mekoryuk@|@Mikuryarmiut Taciat@
@bay of Nunarrlugarmiut@|@Taciat@
@bay of Paamiut@|@Paamiut Taciat@
@bay of Penacuarmiut@|@Penacuarmiut Taciat@
@bay of Talungmiut@|@Talungmiut Taciat@
@be stretched@|@nengte-@
@beach@|@cenar@
@beach bug that is similar to a tiny lobster@|@nastarnar@
@beach fleabane@|@qugyugguar@
@beach grass@|@taperrnar@
@beach greens@|@tukulleggar@
@beach meaning place with lots of beach grass@|@Taperrnarrlugtuli@
@beach near Uglir@|@Uglir Amaqlir@
@beach with cliffs meaning major gravel area@|@Tuwapagglag@
@bead@|@tegglir@
@beaded headgear@|@ken'gutet@
@bean@|@nelernar@
@bear@|@paugnar@
@bearberry@|@kavlag@
@bearded seal@|@maklag@
@bearded seal on ice floe@|@uginar@
@bearded seal pup@|@amirkar@
@bearded seal that can arch over@|@ipuuyuli@
@bearded seal that is very large@|@temikuyugglugar@
@bearded seal with dark fur@|@ullacug@
@bearded seal with red head@|@ayugeswig@
@bearded seal with very dark shoulders@|@apsiarer@
@bearded seal with very long beard@|@ungagcirer@
@beaver@|@paluqtar@
@bed@|@qawarwig@
@beetle@|@elqir, melzngur@
@belly@|@aqsaq@
@belly button@|@qallacir@
@belt buckle@|@nagteq'er@
@belt for coat@|@naqugun@
@belt for pants@|@nungirta@
@beluga@|@cetuar@
@bending tool@|@perciss'un@
@bent frame@|@kangiraleg@
@bent wooden conical men's hunting@|@caguyag@
@Bethel-Alaska@|@Mamterillermiut@
@bicep straps used in dancing@|@kayurun@
@biceps@|@kayangurruar@
@big city@|@nunarpag@
@Big Dipper constellation@|@Tunturyag@
@big sister@|@al'a, al'qaq@
@big soft wet snowflake@|@mecaliqer@
@big swells of waves along the coastline@|@emqerte-(1)@
@big toe@|@angenquyug@
@bight on the northeast coast of Nunivak@|@Tunulir@
@bile@|@cungar@
@birchbark@|@qasru@
@bird beak@|@cugg'eg@
@bird breast@|@qateg@
@bird dart with prongs around shaft@|@nuiret@
@bird egg@|@kayangu@
@bird feather@|@melquqsug@
@bird net for capturing birds@|@egqaqun@
@bird similar to an eskavviar@|@qilzri@
@bird's wing@|@caqur@
@black (thing)@|@tungurpag, tunguryag@
@black bear@|@tungulzria@
@black brant@|@leqlernar@
@black paint made from blood mixed with charcoal@|@awisgar@
@black person@|@Puqlanrem Aciarmiunga@
@black scoter@|@kukumyar(ar)@
@blackfish@|@can'gir, taqikar@
@blackfish trap@|@can'girrsun@
@black-legged kittiwake@|@qarliar(ar), tengaurta@
@bladder@|@nakacug@
@blade of harpoon or spear@|@umig@
@blanket@|@ulig@
@blizzard@|@pirtug@
@block post between runners@|@kemagnar@
@block put under seam when sewing cover of a kayak@|@qamiqumtagat@
@blood@|@aug, auk@
@blue and white colored bird of the ocean@|@teng'guar(ar)@
@blue colored clay used to make pottery@|@qiku@
@blue fox@|@eqyerer@
@blue green@|@qerrsuryag@
@blue mussel@|@qapilar@
@blueberry@|@curer@
@blue-black@|@qiuglir@
@blue-gray thing@|@qesuur@
@bluff meaning the front of one like an arm@|@Talliqum Ciuqerra@
@boat@|@angyar@
@boat owner@|@angyaleg@
@boat rail@|@qular@
@boat rib supports@|@agyarat@
@body@|@tema@
@boil@|@aninguar@
@bone@|@nener@
@bone area under eyebrows@|@qavlunaarag@
@bone breaker@|@kauggsikarag@
@bone snow-knife used with qay'ar@|@cikutaarin@
@bone tool for pushing cords through holes@|@ikuukar(ar)@
@bonnet@|@nacar@
@book@|@naaqerkar, naaqin@
@bottom groove line in an oval bowl@|@allungiller@
@bottom of hill@|@ingyurner@
@bottom part of a wooden bowl@|@allungar@
@boundary@|@kengla, mengla@
@bow@|@pitgar, urlu@
@bow of boat or kayak@|@ciu@
@bow of bow-drill used to make fire by friction@|@kayutag@
@bow with ivory backing for strength@|@cugaleg@
@bow-drill@|@kayivqur@
@bowpiece on keel of kayak@|@tangir@
@bra@|@muggsuuteg@
@bracelet@|@tallirer@
@braid of half-dried fish@|@piirrer@
@braided grass mat on bench@|@alliqat@
@braided mat on top of curulug for bedding@|@curruarat@
@branch@|@qiwayar@
@bread@|@kelipar, muk'ar@
@bread pan@|@kelipiss'un@
@break of day advance@|@ernengaar(ar)-@
@breakfast foods@|@makiutar-@
@breast@|@mug@
@breath@|@anerner@
@bridge of nose between eyes@|@akulirer@
@broad topped hill@|@qemir@
@broken fingernail that grows out of shape@|@cetugglug@
@bronchial tube@|@cuplu@
@broom@|@canirrsun@
@broth@|@qayur@
@brown@|@qapautngalzngur@
@bruise@|@ceneg@
@brush off@|@ellug-@
@bucket@|@mertarrsun, qaltaur(ar), tan'iss'un@
@bucket made from old kayak skin@|@qaltayag@
@bug found on dried fish@|@paru@
@bull bearded seal which is "singing" under water@|@qalzrir@
@bullhead@|@kayur@
@bumblebee@|@megtar@
@bunchberry@|@mengqullegtar@
@burlap bag@|@miss'ug@
@but when@|@maaten@
@butchering gaff@|@qelumirrsun@
@butter knife@|@mingugiss'un@
@butterfly@|@caq'lengtar@
@buttock@|@nullug@
@button@|@nunuyun@
@cache@|@aqumtar@
@calender@|@tanqilissun@
@calm weather@|@quuner@
@camp in the coast near Ingrig@|@Ingrimiut@
@camp in the proximity of Anarnissagar stream@|@Anarnissagarmiut@
@camp stove@|@kaassalinar@
@campfire rock guard@|@iiralitat@
@campsite meaning a protruding sharp point of land@|@Cingigarmiut@
@campsite meaning a site of fermented food@|@Arinarmiut@
@campsite meaning place of many beached walrus@|@Asweryagmiut@
@campsite meaning place of no grass@|@Can'gilzngurmiut@
@campsite on an estuary meaning strong current@|@Carwarmiut@
@campsite on the northwest side of Nunivak@|@Atengmiut@
@can opener@|@ikirciss'un@
@Canada goose@|@tuutangayag@
@canal@|@sevner@
@canned food (especially fruit)@|@pankar@
@cannot clearly see@|@mecikenrite-@
@Cape Corwin at the southeast side Nunivak@|@Cing'ig@
@capelin (fish)@|@cik'ar@
@carburetor@|@uqurkellicarrsun@
@cardboard box@|@yaassig@
@caribou@|@tuntupig@
@carpenter's plane@|@estuluussar@
@carved arts and crafts item@|@caacunguar@
@cassette tape recorder@|@aturcet'ar@
@cataract in eye@|@quwerta@
@caterpillar@|@ugluussir@
@caulking cotton@|@kalap'aatarkaun@
@cemetery meaning place where children stay@|@Tan'gurayariwig@
@center@|@qukar@
@chain link@|@kalevner@
@chainsaw@|@uqurtutuli kegglar@
@champion@|@iggayul'i@
@channel@|@kuiner@
@charcoal@|@cupun@
@cheeks@|@ullugig@
@chest (anatomical)@|@qat'gar@
@chewing gum@|@anger@
@child walking behind parent@|@kutyagar@
@child's bowl@|@alluuyarar@
@child's mitten of any sort@|@aritvacuar(ar)@
@chin@|@tamlu@
@Chinese@|@cugngalznguarar, Tayarumiu@
@chip or chipped part of something@|@petgerner@
@chisel for horn or ivory@|@egtugun@
@Christmas@|@Agayunerpag@
@Chuathbaluk-Alaska@|@Curarpaleg@
@chum salmon@|@mac'utar@
@church@|@agayuwig@
@circle design@|@kayiwallr(ar)@
@clam@|@aliruar@
@claw of animal@|@cetumqur@
@cliff@|@penar@
@cliff area meaning place for shelter in storms@|@Itraqerceta'ar@
@cliff hole meaning the devil's mouth@|@Tunram Qanra@
@cliff lettuce@|@inguqir@
@cliff meaning dusty area@|@Apsuallar@
@cliff meaning place to hunt birds with a sinew net@|@Tek'rayug@
@cliff meaning place to spread out@|@Cagtuli@
@cliff meaning sculpin's cliff@|@Kayum Pen'a@
@cliffs meaning cliffs down below or in the south@|@Unkumiut Pen'at@
@cliffs meaning fake necklace@|@Uyamigguat@
@cliffs meaning toolbox@|@Ullukarag@
@cliffs on the northwest coast of Nunivak@|@Penarrlit@
@cliffs on the west coast of Nunivak@|@Penarpag@
@clock@|@cass'ar@
@cloth@|@capkur@
@cloth of any type@|@lumarrer@
@clothes dryer@|@kinercirissun@
@clothing@|@aklu@
@cloud@|@qilagglug@
@cloudberry@|@atsar@
@clouds on the horizon all around but with blue sky@|@qerruutar@
@clown@|@englarcarista@
@coastal campsite near Aqitur@|@Aqitumiut@
@coastal hill meaning result of a powerful ocean@|@Carevner@
@coastal land meaning to eat one's fill of food@|@Aqitur@
@coastal point of land meaning laughing point@|@Englam Cingia@
@coastal site meaning lower part of the foot@|@Itegmiut@
@coastal site meaning place of pigeon@|@Ciguralegmiut@
@coastal site of Nash Harbor@|@Ellikarmiut@
@coastal spring seal-hunting camp@|@Englullrarmiut@
@coastal stream meaning cut through place@|@Sevner@
@cockle@|@aatevtar@
@coffee@|@kuuvviar@
@coffee pot@|@kuuvviissun@
@cold water@|@kumlaner@
@cold weather@|@nengla@
@color@|@qaskir@
@colorful rock@|@uqumyag@
@coltsfoot@|@kalzngagguar@
@combination knife and scraper@|@caniissar@
@come@|@taayam@
@common eider@|@nanwista@
@common loon@|@tunupirtar, tuulleg@
@common snipe@|@cugtuwig@
@communication device@|@qanerrsun@
@community activity center@|@qasgirrlag@
@community hall@|@katurrvig@
@compass@|@kangpaassar@
@compass for making circles@|@kayiwaun@
@compassionate@|@naklegtar@
@confections@|@kantir@
@construction wood@|@equgpigar@
@container@|@akirtar@
@container for tobacco@|@curmag@
@container for washing women's clothes@|@alzwig@
@container or lining for storage pit@|@kusqun@
@cook@|@egasta@
@cooked fish to be eaten in the morning@|@makiuciurrlut@
@cooked food@|@egg'ar@
@cooked mixture of fungus@|@elqunat@
@cooked walrus flipper preserved in seal oil@|@uullar@
@cooking pot@|@utgucig, utxucix@
@cooking pot that has rounded sides@|@aqsamirtar@
@copper@|@cawikar@
@cord to pull seam in a kayak@|@tegqucirer@
@cordury material used to make clothing@|@aqsallin@
@corner@|@kangirer@
@corner of mouth@|@iqer@
@cornmeal@|@mass'ar@
@cottonwood buds@|@qimukcuar(ar)@
@cottonwood log@|@ciqur@
@country that is treeless@|@cat'alqur@
@cousin@|@ilurer@
@cove meaning shelter@|@Uqruta'ar@
@cove meaning the end of the trail@|@Tumarrat Iquat@
@cove north of Nunivak Island@|@Aumassurwig@
@crab@|@iwalzriiyar@
@crack in shore ice@|@qiugguir@
@cranberry@|@tumaglir@
@cranberry leaf@|@tumaglirkar@
@crater hill meaning one with fish@|@Iqalluleg@
@crater lake meaning acquired lake@|@Nanwarciar@
@crater lake meaning lesser acquired lake@|@Nanwarciayagar@
@crater lake meaning one with cliffs@|@Penaleg@
@crater meaning a place to prop things up@|@Akiwignar@
@crater meaning one with bearded seal@|@Maklaleg@
@crater mountain meaning one with a lot of rain@|@Ivyugtuli@
@crater mountain meaning place of loneliness@|@Allianarli@
@craves of body or land@|@eqmanqucug@
@creek@|@kuilurar(ar)@
@crested auklet@|@cip'lagar, cukilpag@
@crimp for stitches on sealskin boot@|@tegguar@
@cross fox@|@illaassug@
@cross-hatching design@|@kuvyanguar@
@crosspiece from the ends of which a pair of fish@|@iqsim canirut'i@
@crosspiece handle@|@qaquar@
@crosspiece in floor of sled@|@canipengayar@
@crosspiece of a sled@|@maryaraun@
@crowberry@|@paunr(ar)@
@crowberry leaf@|@paun'erqutar@
@crumb@|@kanner@
@culugyi-@|@culugyi-@
@cup for drinking a hot beverage@|@yurqaun@
@curlew@|@kukukuar@
@curtain@|@capkur, kecirer, ket'arat@
@curved knife@|@qeterquralzria@
@curved piece across keel@|@eqlug@
@cutting board@|@alassar@
@cyst@|@merayer@
@dampness@|@arilla@
@dance fan@|@tegumiar@
@dandruff@|@uuturrlug@
@dark green thing@|@cungagyag@
@dark red thing@|@aumagngalzngur@
@dart@|@apsiar@
@daughter@|@panig@
@daughter-in-law@|@ukuar@
@dawn@|@erenret, erqaar@
@day@|@erner@
@day break@|@erenret@
@daylight gets longer during summer approach@|@ernerturinarte-@
@dead mare's-tail that floats on ponds@|@pugtass'ar@
@December@|@Tanqiluryag Ciuqlir@
@decorated snuff pouch@|@walzgun@
@deep crevice in sand dunes@|@ill'unar@
@deep serving spoon@|@iluleg@
@deep snow that is difficult to walk in@|@tumllug@
@dental assistant@|@kegguciurtem ukisqa@
@dentist@|@kegguciurta@
@design@|@alzngar, tangnircaun@
@design on caguyag@|@pugugyug@
@design on edge of kayak@|@apamarun@
@deuce in cards@|@ipuussuta'ar@
@device for saving lives@|@anirtuutarkar@
@device used for preparing tobacco@|@kat'agun@
@diagonal horizontal beam at corner of enpiar@|@talliqiun@
@diamond@|@ipgukar(ar)@
@diamond shaped rock almost blue in color but light@|@kegglemyar@
@diaphragm of cod@|@qatmag@
@dice@|@nalkestar@
@did not get@|@aqvanrite-@
@did not see@|@tangellrunrite-@
@different kind@|@allakucir@
@different kind (of thing)@|@allakar@
@Dillingham@|@Iilzgayar@
@dime@|@ipgukar(ar)@
@dinghy@|@tagukararer@
@dipper@|@qalussun, qaluurin@
@direction towards@|@tunga@
@dish of cooked sourdock and salmon@|@uqnirer@
@dishtowel@|@avvaarutar@
@dishwashing basin@|@eruriss'un@
@disobedient@|@niicuilzngur@
@ditch@|@lagyar, terlag@
@do not bother@|@taritev-@
@do not plead with@|@engiluaraute-@
@does not fly@|@tengyuite-@
@does not get hurt@|@angqircuite-@
@does not make a sound@|@nepelkircuite-@
@does not scold with frustration@|@qak'urcuite-@
@does not steal@|@teglessuite-@
@does not want to lay down@|@inarcunrite-@
@does not want to smoke@|@melugyunrite-@
@dog@|@qimugta@
@doll@|@cuucunguar@
@dollar@|@tamalku@
@Dolly Varden@|@iqalluyagar@
@Don't touch me there!@|@Agtunrita wani!@
@door@|@amiik@
@doormat@|@taniuqallirrsun@
@double amount@|@tapenqun@
@double-bladed paddle@|@pangruteg@
@down there@|@unani@
@down there toward the water or below@|@kanani@
@down towards a river or bay@|@camna@
@draft hole in a building@|@cupuraun@
@drain hole of boat@|@ellngaryarer@
@drape for the door to prevent drafts@|@elciqat@
@drawings on mask@|@qamurat@
@drawstring for clothing@|@tarperar@
@dress@|@taqmag@
@dried apricot@|@ciutequmlag@
@dried bladder used for ceremonial purposes@|@nakacugtaller@
@dried chum salmon@|@mac'utalug@
@dried fish@|@neqaalug, teggmall'ug@
@dried fish vertebra@|@nenerrlug@
@dried food item@|@kinertar@
@dried grass roots from sand dunes@|@negavyat@
@dried heart sac used for storing caribou bone@|@ircaqinrat@
@dried meat@|@nevku@
@dried salmon eggs@|@kineryat@
@dried seal gut used to make raincoats@|@irnerrlug@
@dried soil@|@perr'u@
@drill@|@patar@
@drill hole@|@patartuller@
@drill-like implement for making fires@|@ken'gutar@
@drinking glass@|@emrun@
@drizzle@|@minirrlug@
@drop of liquid@|@kuta@
@drum-stick@|@mumer@
@dunes meaning the south's dunes@|@Ungalam Pengui@
@dyed skin@|@alzngaleg qecig@
@ear@|@ciun@
@earring@|@aqlin, ciucin@
@earth shelf at rear@|@kian@
@earthly possession@|@calqutagar-@
@east@|@arnin'er@
@Easter@|@Ussukcauteller@
@eddy@|@angilurner@
@edge of hood where ruff is attached@|@negili@
@edge of kayak@|@apamarruar@
@edge that is browlike@|@qauqer@
@edible plant that grows on sand dunes@|@arriqar@
@Eek@|@Iigmiut@
@egg yolk@|@ess'ar@
@eider of any type@|@metr(ar)@
@eight@|@pingayunleg@
@eight in playing cards@|@qulcungar@
@eight sled posts@|@napaqutarat@
@eighteen@|@akimiar pingayun@
@eighty@|@cetaman-ipiar@
@elbow@|@ikuyeg@
@elderly lady@|@arnalqupicugar@
@electrical wire@|@qip'ayagar@
@electrician@|@kumaciurta@
@elevated storage platform@|@ek'rat@
@eleven@|@qula-ataucir@
@elongated snowflake falling with a storm@|@canissallerngayagar@
@ember@|@aumar@
@ember from a burned wood@|@aumak@
@emperor goose@|@nacaulleg@
@empty bullet cartridge@|@kapcilar@
@end of ulna at the wrist where the bone sticks out@|@cugamkuyug@
@enormous male walrus@|@nukarrlugar@
@entranceway@|@amig@
@eraser@|@erevcissun@
@eroded high sand dunes@|@uss'ariyag@
@Eskimo boot for men with fur inside@|@ilutmurtar@
@Eskimo dance drum@|@cauyar@
@Eskimo from northern Alaska@|@malimiu@
@eskimo ice cream@|@akutar@
@Eskimo sealskin boot@|@at'ar@
@Eskimo sealskin waterproof hipboot for women@|@at'ayagglugar@
@esophagus@|@iglag@
@estuarial bay@|@tacir@
@estuarial meaning dirty village@|@Iqangmiut@
@estuarial site in southeast Nunivak Island@|@Cuqucuryarmiut@
@estuary meaning landmark made of rocks@|@Yuutag@
@estuary meaning major estuary@|@Tacirrlag@
@etching brush@|@qamuraun@
@evaporation rising from the land@|@aurner@
@every@|@tamarmeng@
@evil spirit@|@qelangnagar@
@exclamation of discomfort at something bad@|@ikii@
@exclamation used when one sights@|@qayawaalii@
@exclamation used when one sights a sled@|@wiissii@
@expression meaning Oh My!@|@alaa@
@extended one up back from ocean or river@|@paugna@
@exterior@|@ellate-@
@exterior grove of an oval bowl@|@uullerruar@
@eye@|@ig@
@eyebrow@|@qavlu@
@eyeglasses@|@igguag@
@eyelash@|@qemeryar@
@face@|@caumaller@
@facial part where tears roll down@|@aluwiyaar@
@fake window for earring design@|@egalerruar@
@fancy dish in bird or animal form@|@alluuyar@
@far away@|@yaqvani@
@fat of cormorant@|@uqsuqer@
@father@|@aata, ata@
@father's brother (uncle)@|@ataata@
@Father's Day@|@Atat Erenrat@
@father's sister (aunt)@|@acacungaq@
@feather@|@melqur@
@February@|@Kuiget Aanit@
@feces@|@anar@
@felt for making drawstring tube on skin-boot@|@tarperwigkaun@
@female@|@arnaq@
@female common eider@|@metrapig@
@female lapland longspur@|@mecaqtar@
@fermented capelin that have been buried on ground@|@ciss'ur@
@fermented food items@|@arinacirat neqkat@
@fibrous leftover piece obtained heating diced seal@|@ciwanr(ar)@
@fiddlehead (fern)@|@ceturqaar(ar)@
@fifteen@|@akimiar@
@fifteen dollars@|@akimiartun@
@file (tool)@|@aler@
@fine gravel@|@tuwapag@
@finger@|@ipig@
@fingernail or toenail@|@cetug@
@fingerprint@|@arnauruar@
@fire extinguisher@|@qamciss'un@
@firefighter@|@kenliurta@
@fireweed@|@cilqaar(ar)@
@fish@|@iqallug@
@fish bone under gills toward the belly@|@keggater@
@fish club@|@kaugutar@
@fish cover@|@umran@
@fish eggs@|@cin'ar@
@fish milt sac@|@err'it@
@fish rack@|@initar@
@fish skin parka@|@amirag@
@fish spear@|@narulkar@
@fish-camp@|@neqliwig@
@fish-camp site in a bay on the south@|@Kangirtulirmiut@
@fisherman@|@neqsurta@
@fishhook@|@iqsagar@
@fishtrap@|@taluyar@
@fist or knuckle of hand@|@cug'ar@
@five dollars@|@talliman@
@five in playing cards@|@tallimarer@
@flag@|@anuqess'un@
@flashlight@|@kenurtarrsun@
@flint@|@kalkar@
@float@|@pugtaqutar@
@floor@|@nater@
@floor at side of fireplace in a kiiyar@|@manulqat@
@floor in front of fireplace in enpiar@|@qukalqer@
@floor rag@|@naterrsun@
@floor under sleeping bench@|@acilqer@
@flounder@|@naternar@
@flower@|@nauciar(ar)@
@foam in cooking pot or the like@|@pugyanerrlug@
@folded skirt of a parka or kuspuk@|@ciqtagner@
@food@|@neqa@
@food ingredients@|@awukaun@
@footprint@|@tuma@
@for a hollow object such as a boat@|@imange-@
@for a storm to suddenly approach before night fall@|@cingqutui-(1)@
@for blame to fall on one@|@tuc'ete-@
@for dawn to come@|@erte-@
@for day brake to be dim@|@ertevlagte-@
@for driftwood to wash up on shore@|@eqiite-@
@for extremities to no longer circulate blood@|@uruyuirute-@
@for fall to come@|@Uksuar-@
@for fog or mist to close in and clearup repeatedly@|@quurruyag-@
@for fog to close in and go out@|@maatekir(ar)-@
@for it to be cold indoors@|@iternir-@
@for it to be time to eat@|@nernari-@
@for it to be time to go to bed@|@inarrnari-@
@for loose pack ice to sorround and trap@|@mallgute-@
@for night to fall@|@unug-@
@for prints on the snow to become hard@|@nalugarui-@
@for snow to melt faster around an object@|@ayugturute-@
@for something to suddenly happen@|@tavviirte-@
@for the weather to be warm@|@macari-@
@for there to be a blizzard@|@pircir-@
@for there to be a downdraft off a hill@|@kucurni-@
@for there to be a good and favorable wind@|@anuqekegci-@
@for there to be a sudden gust of wind@|@tagura-@
@for there to be a sudden gust of wind from a slope@|@kenegnir-@
@for there to be a wake as from a fish@|@qavlunar-@
@for there to be an ocean current flowing@|@unatmuarnir-@
@for there to be frost@|@kaner@
@for there to be gusts of wind@|@qugnira-@
@for there to be open water with icebergs beyond@|@qupngur-@
@for there to be snow drifting near the ground@|@natquwig-@
@for there to be weather@|@ellarrlir-@
@for there to be wet drizzly fog@|@minirrliklangayag-@
@for weather to be bad@|@ellaniite-@
@for weather to clear up@|@awirpag -@
@for weather to warm up after a cold@|@canikliute-@
@for winter to befall upon@|@uksuqaute-@
@for winter to come@|@uksur-@
@forehead@|@cung'u, qaur@
@forever@|@ak'arpag@
@fork@|@kap'utar@
@forty@|@malzrug-ipiar@
@four@|@cetaman, staamat@
@four in playing cards@|@kangirarer@
@fourteen@|@akimiarunrita'ar@
@fourth top strut piece (ayagar)@|@pakigwig@
@fowl@|@tengmiar@
@fox trap that looks like a house@|@igcet'ar@
@frame house@|@lavkar@
@freckle@|@augyar@
@freezer@|@qumuciwig@
@freight sled for kayak or boat@|@qamuqatar@
@fresh fish@|@ungllik'ar@
@Friday@|@Tallimirin@
@fried bread@|@uqurpag@
@friend@|@ilirer, naruya@
@frog@|@peleqpel'er@
@from elbow@|@yegyameg@
@frozen akutar@|@qangquar@
@frozen fish or meat@|@kumlacir@
@frying pan@|@maniarrsun@
@fuel oil@|@uqungnag@
@fur hat@|@palagg'aayar@
@fur knee pad@|@cisqurrilitar@
@fur-bearing animal@|@melquleg@
@game animal@|@pitarkar@
@game in which a stick is tossed up@|@ulpecuqnar@
@game warden@|@melqulliurta@
@game where two individuals pull against each other@|@cingillertutellrig@
@garment@|@cangssagar@
@gasoline@|@kaassar@
@gastrocnemius@|@nakacugnar@
@general area a little further beyond@|@tamaana@
@general location here@|@maani@
@general nearby area@|@man'a@
@geographically point@|@cing'ig@
@ghost@|@alangru@
@ghostly humming sound@|@avneq@
@giant bird@|@tengempag@
@giant bird similar to bald eagle@|@yaakucugglugar@
@giant ocean sculpin@|@kayurpag@
@giant sculpin found in rivers@|@kayurrlugar@
@giant sea anemone@|@aruyeg@
@gift@|@cikiun@
@gill@|@paci@
@give it to me@|@tasgu@
@gland@|@qenercener@
@glass bottle@|@uquucunguar@
@glaucous sea gull@|@aaluugir@
@glove@|@agyaaq, asgar@
@gnat@|@ill'artayuli@
@go away!@|@ayii@
@go over@|@agi@
@God@|@Agayun@
@gold@|@kawirlir@
@golden eagle@|@qillri@
@good person@|@cukegtaar@
@good thing@|@anirta@
@Goodnews Bay@|@Mamterer@
@goose grass@|@tayaru@
@government (from English)@|@kavmar@
@grandchild@|@elturer@
