@English@|@Balochi@
@a pankha@|@jhallí@
@a partridge@|@khawinjar@
@a pass over@|@khandagh@
@a pass through a defile@|@tankh@
@a path hemmed@|@char@
@a peep@|@jhátí@
@a perennial stream@|@syáh jo@
@a piece@|@gaphall@
@a pipe made of clay@|@phor@
@a plant@|@kuchtoe, phroh, phroh, thaghárshoz, tráth, tráth, tumho@
@a plant (1)@|@kunchitha@
@a platform created in funerals@|@ás-rokh@
@a pond@|@dor@
@a poor man@|@jarída@
@a push@|@tálan@
@a puzzle@|@auhsán-khatá@
@a raiding party@|@ghal@
@a ring@|@chalo@
@a rope@|@rez@
@a saw@|@harragh, kaltrí@
@a scaffold@|@phehí@
@a season@|@bar@
@a severe illness@|@hauf@
@a share@|@bahar@
@a sheep@|@phas@
@a short grass@|@píthar@
@a shrub@|@gíshtar@
@a slave@|@ghulám, thíh@
@a small bird@|@thusí@
@a small earthen pot@|@kulo@
@a small hill torrent@|@chur@
@a small plant@|@mesk, mizhguzh@
@a small species of Dianthus@|@shurdo@
@a small tree@|@bodh, shágh@
@a small water skin@|@khalí@
@a small watercourse@|@taghár@
@a snake@|@be-phádh@
@a snipe@|@dazhak@
@a snore@|@goghrá@
@a spark@|@chiring@
@a spring@|@chamb, chushma, chushma, tobá@
@a spy@|@chughal@
@a stable@|@kur@
@a step-son@|@pazádagh@
@a stick@|@lawar@
@a stranger@|@zahír@
@a stream@|@jo@
@a street@|@galí@
@a term of abuse@|@dahús@
@a thorny plant@|@karkávagh@
@a torrent@|@lang@
@a toy-kite@|@gudí@
@a trader@|@bakkal@
@a tree@|@phárphugh@
@a tribe@|@bolak@
@a tripod for cooking@|@khúdagh@
@a turban@|@shaddo@
@a usurer@|@júfákhor@
@a valley@|@thal@
@a visit@|@gálí@
@a wart@|@kil@
@a wasp@|@gwamz@
@a waterfall@|@hízhokh@
@a week@|@haptagh@
@a winnowing-sieve@|@dándálí@
@a woman@|@záifa@
@a woman's chadar@|@sarí@
@a woman's garment@|@phashk@
@a wooden mortar@|@jogin@
@a wound@|@zákhm@
@a yard@|@gaz@
@a young camel@|@tarhán@
@a young female camel@|@phuráf@
@ability@|@sag@
@able@|@kábil@
@above@|@kharghá, sará@
@account@|@savav@
@acquaintance@|@sohav@
@Adam's apple@|@gand@
@advantage@|@síth@
@advice@|@tubí@
@afterwards@|@phadhá, rantira@
@again@|@aghdi, aghdí, gudá, thí-bare@
@age@|@thíl, umar@
@agent@|@vakíl@
@agreeable@|@awarzá@
@agreement@|@kabúl@
@alas!@|@áh@
@alcoholic drink@|@sharab@
@alight@|@er-khafagh@
@all@|@druh, theghí@
@all's well@|@ma-hairá@
@alone@|@ewakhá@
@although@|@agharchi@
@altogether@|@kullá-phajyá, mundo@
@alum@|@phitkí@
@always@|@har-ro, har-velá@
@ambush@|@tham@
@ammunition pouch@|@hambácha@
@among themselves@|@Pha-wathán@
@an adze@|@thash@
@an alligator@|@gwando@
@an ammunition pouch@|@anmácha@
@an angel@|@phirishtagh@
@an army@|@Urd@
@an aromatic plant@|@kolmír@
@an assembly@|@kachehrí@
@an aunt@|@trí@
@an awl@|@sihárí@
@an axe@|@thafar@
@an ear of corn@|@hoshagh@
@an earring@|@karrí@
@an earring worn in the lobe@|@durr@
@an earthen pot@|@dedh, khulo@
@an earthenpot@|@dillo@
@an eight-anna piece@|@habásí@
@an embankment@|@band@
@an escort@|@badragá@
@an infirm person@|@harragh@
@an omen@|@fál@
@an ornament@|@has@
@an ox@|@kháríghar@
@an udder@|@máhigh@
@angel@|@firishtagh, maláikh@
@anger@|@gasúr, zahr, zahr@
@animal@|@zanáwar@
@ankle@|@phádh-muchh@
@another@|@phithí, thí@
@another day@|@Thí-roshe@
@answer@|@jawáb, phaso@
@answer to the salutation@|@biyá durr'shákhtaghei@
@ant@|@mor@
@anus@|@khín@
@anvil@|@sindán@
@any@|@hachí, hech@
@any bright colour@|@sabz@
@any one@|@kas@
@anything@|@hechí@
@anything eaten as a relish@|@návarish@
@anything reduced to powder@|@phakkí@
@anywhere@|@hech-handá, hizhgar@
@apart@|@hur@
@applause@|@shabash@
@apple@|@srop, srup, súf@
@approximately@|@takriban@
@arbitrator@|@nyámjí@
@argument@|@shiddat@
@armour@|@jebho, zirih@
@arms@|@silhe, sylah@
@arms and accoutrements@|@silhe-gal@
@arms and armour@|@jángoh@
@army@|@lashkar@
@arrow@|@thír@
@arsenic@|@hartál@
@as long as@|@tanki@
@as much as that@|@hawánkar@
@ash@|@pur@
@ashes@|@kiy, phur@
@ass@|@khar@
@assembled@|@much@
@assembly@|@mero, muchí@
@assistance@|@saren-bandí@
@at once@|@ya-bará@
@at the bottom@|@buná@
@attend@|@gosh-deagh@
@autumn@|@subí, suhel@
@avarice@|@hirs@
@avaricious@|@shúm@
@awake@|@hághá, ojágho@
@back@|@dím, pusht@
@backbone@|@shánagh@
@backwards@|@pushtokani@
@bad@|@bad, gandagh@
@bad language@|@zá@
@bag@|@pilak@
@bag for drugs@|@lathná@
@baggage@|@bunagh@
@ball@|@khenú@
@Baloch banjo@|@dambíro@
@Baloch bread@|@kák@
@Baloch dance@|@drís@
@Baloch hut@|@kirrí@
@Baloch sandals@|@sawás@
@Baloch shoes@|@kaush@
@band of women@|@jan-gal@
@bank of river@|@rahnagh@
@bard@|@davtar@
@bare@|@phásh@
@barefoot@|@phásh-phádh@
@bareheaded@|@sar-dar@
@bargain@|@saudá@
@bark of a tree@|@gwáz@
@barley@|@jau@
@barren@|@sand@
@barren land@|@sikh@
@barren plain@|@dasht@
@bashful@|@lahm@
@basket@|@kárí@
@basket of matting@|@sund@
@bastard@|@harmzáda@
@bat@|@chalgudhagh, chamra, shapchar@
@battle@|@tawán@
@bazaar@|@bázár@
@be applied@|@mán-ágh@
@be crushed beneath@|@sher-tharagh@
@be of use@|@kárá-ágh@
@be patient@|@mahlá-dár@
@be separated@|@khard-bíagh@
@be silent!@|@dafá-dár!@
@bead@|@madrik@
@beak@|@sunti@
@beak of a bird@|@nok@
@beam@|@warú@
@beard@|@rísh@
@beard between lip and chin@|@tamiz@
@beasts of burden@|@olak@
@beautiful@|@himár, sakal, sakal, shar rang, sharr, sohná@
@bed@|@that@
@bedclothes@|@nakhinbokh@
@bedding@|@nishtejaní@
@bee@|@Benagh-mahisk@
@beestings@|@búlí@
@before@|@pesh, phesh, saria@
@beggar@|@pindokh@
@beginning@|@shru, shurú@
@behind@|@dímá, phadímá, pushta, pushta, randa@
@behold!@|@marvehí@
@belch@|@gíkár@
@bell of a tambourine@|@ták@
@bellyache@|@láf-dor@
@bellyful@|@láf-ser@
@below@|@er, jahlá@
@belt@|@láf-band@
@bent@|@chot@
@berry@|@pashí@
@bet@|@shart@
@betrothal@|@sáng@
@Bhán tree@|@pukht@
@biceps@|@dídar@
@bile@|@zardoí@
@bird@|@murgh@
@bird's crop@|@singot@
@birth@|@pedaisht, wadhí@
@bitch@|@hind@
@bitter@|@tahl, zahr, zahr@
@black@|@syáh@
@black breast@|@syáh-gwar@
@black tea@|@siah cha@
@blackguard@|@karmsákh@
@bladder@|@shír-dán@
@blanket@|@galím, shál, shál@
@bleat as a goat@|@bokagh@
@blessing@|@nekh-du'á@
@blight@|@rezam@
@blind@|@khor@
@blood@|@hon, lanj@
@bloodthirsty@|@hon-lawásh@
@blow-fly@|@ásk-mahisk@
@blue@|@nílagh@
@blunt@|@kunt, kut@
@boat@|@beyí, bozhí@
@boatman@|@medh@
@body@|@ján@
@body armour@|@ján-jebho@
@boil@|@gar@
@boiled rice@|@dalagh@
@bone@|@had@
@bones@|@dod@
@boring@|@sumb@
@born idiot@|@asulá-gannokh@
@both@|@har-do@
@Both--and@|@dí, dí--dí@
@bottle@|@dong, shisha@
@bottom@|@bun@
@boundary@|@sím@
@bow@|@kawán@
@bowl@|@tas@
@bowstring@|@jígh@
@box@|@pethi, peti@
@box for holding collyrium@|@áfkin@
@boy@|@choro@
@bracelet@|@búthagh@
@brackish@|@sor, tauzh@
@brackish water@|@soren-áf@
@brain@|@mazhg@
@branch@|@lamb, shákh, shákh, shamb@
@branch of a valley@|@lop@
@branch of tree@|@shah@
@branch water-course@|@gand@
@brass@|@pital@
@brave@|@säriyal@
@bread@|@naghan@
@bread steeped in milk@|@trít@
@break off@|@sindag, sist@
@breakfast@|@sahur, sawárak@
@breakfast-time@|@goil@
@breast@|@senagh@
@breath@|@gín@
@breathing space@|@sáhí@
@breechloader@|@khíná-phur-biokh@
@bribe@|@rishwat, roshfat@
@brick@|@sil@
@brick-maker@|@silband@
@bride@|@vanní@
@bridegroom@|@got, sálokh@
@bridge@|@pol@
@bridge of the nose@|@ponze lit@
@bridle@|@daz-wág, guthí, saram sad@
@bright@|@shiwar@
@bring forth dead offspring@|@gezhagh, gikhta@
@bringer@|@Árokh@
@broken edge@|@tahlishk@
@brothel@|@randikhana@
@brother@|@Addá, barádhar, biráth, biráth@
@brotherhood@|@barádharí@
@brother-in-law@|@wasarzákht@
@brother's wife@|@nishár@
@bud@|@búr@
@buffalo@|@gwámesh, mehí@
@buffalo-calf@|@gwach@
@buh@|@gugh@
@bullet-pouch@|@thír-dán@
@burden@|@bár@
@bush@|@khontar, lílhá@
@business@|@kár, sawdagiri, tartib@
@butter@|@moshin, nemagh@
@butterfly@|@lakaurí@
@buttermilk@|@ákhar@
@by means of@|@márifatá@
@by mistake@|@radia@
@cacare@|@ríagh@
@cairn erected to commemorate@|@chedhagh@
@calf of leg@|@phiní@
@camel@|@hushtur@
@camel driver@|@gwánech@
@camel pack-saddle@|@palán@
@camel-driver@|@jat, ráchí@
@camel's pack-saddle@|@hait@
@camel's riding-saddle@|@pákrá@
@camel-saddle@|@jait@
@canal@|@nahar@
@cannibal@|@mar-lawásh@
@cannon@|@tof@
@canopy@|@tarbal@
@cap@|@kulla@
@car@|@gosh@
@caravan@|@galla@
@care@|@nigáh@
@carefulness@|@nigáhbání@
@carpenter@|@drakán@
@carpet@|@falásí, jhul, taghar@
@caste@|@zát@
@cat@|@billí, pishi@
@catarrh@|@pashank@
@cattle@|@mál@
@cattle-owner@|@máldár@
@cauliflower@|@pul gobi@
@cause to learn@|@sykhkhaÿG@
@celebrated@|@akila, mashar@
@cellar@|@bohra@
@certain@|@yakín@
@chaff@|@phogh@
@chain@|@zanjír@
@champion@|@dáwágar@
@charcoal@|@hangar@
@charge@|@párat, phárat@
@charm containing Koran verse@|@tahit@
@cheap@|@Arzán@
@cheek@|@gal, githá@
@cheek-bone@|@rák, rák@
@cheese@|@phaner@
@chest of body@|@senag@
@chestnut@|@bor@
@chewing the cud@|@ogál, romast@
@chicken@|@chúrí@
@chief@|@amír, hán, jám, khán, särdar@
@chieftain@|@sardar@
@child@|@chukh@
@children@|@chukhchorí@
@chin@|@khádí@
@cholera@|@haiza, wabáh@
@cigarette@|@sigrit@
@circumcision@|@sunnat@
@circumstances@|@hál@
@clapping of hands@|@tárí@
@clarified butter@|@roghan@
@clashing@|@karáku@
@claw@|@chambo@
@clean@|@Achá, achho, pák@
@climate@|@gwáth-má@
@cloth@|@gudh, shíkhan@
@clothes@|@puch@
@clothing@|@ves@
@clouds@|@jhur@
@coarse@|@baz, istúr@
@coarse flood grass@|@kajal@
@coarse grass@|@barákh@
@coarse long grass@|@gasht@
@coarse molasses@|@gúy@
@coarse sugar@|@mustí@
@cobra@|@syahmár@
@cockroach@|@suhr barot@
@coin@|@sykka@
@coire@|@gágh, gátha@
@cold@|@guhar, gwahar, gwahar, sardi, sárth@
@cold in the head@|@sar-rekh@
@cold weather@|@chhilav, särdi@
@collection@|@jumla@
@collection of clouds@|@raghám@
@collection of corn@|@hambár@
@collide@|@takar janag, takar warag@
@collyrium for the eyes@|@sírmugh@
@colour of European skin@|@suhr@
@coloured@|@rang@
@coloured cloth@|@zát@
@comb@|@shak@
@come out@|@dar-ágh@
@come to hand@|@dast-ágh@
@comfort@|@swkhkh@
@coming after@|@phadhí@
@command@|@pharmán@
@common@|@gunáh@
@companions@|@sangad, sangatí@
@company@|@thála@
@compassion@|@rahm@
@complaint@|@dáhn@
@complete@|@phílá, sajj@
@conceal@|@likainagh@
@congratulations@|@mavárkí@
@constellation Orion@|@tírband@
@content@|@tasalli@
@conversation@|@gálwar, hálwar@
@cooked@|@dolo@
@cool@|@sard@
@copper@|@trámá@
@copper coin@|@digh@
@cormorant@|@kánwní@
@corn@|@dán, jowar, zurth@
@corpse@|@mahar@
@correct@|@táhath@
@cotton@|@karpás@
@counsel@|@trán@
@courageous@|@särzor@
@cousin@|@nákhozákht@
@cover@|@dhakan@
@covering@|@sarposh@
@cow@|@gokh@
@coward@|@thursokh@
@crab@|@tagas@
@crane@|@dhíng@
@crooked@|@chap-chot@
@crookedness@|@lár@
@crops@|@khishár@
@crow@|@gurágh@
@crowbar@|@chinjú@
@crowded@|@rash@
@cucumber@|@tarok, taruk@
@cultivator@|@ráhak, ráhak@
@cup@|@pyala, tás@
@curds@|@mastagh@
@cure@|@iláj@
@curse@|@bad-duá, kahar, margáví, palútá@
@curtain@|@pachul@
@cushion@|@gádí@
@custom@|@dastúr, rasm, rít, sístán@
@cycle@|@saykal@
@dagger@|@kátar@
@dál@|@másh@
@damage@|@berání, thánwán@
@danger@|@hatar@
@dark@|@tahar, thár@
@dark night@|@tarma, tarmag@
@darkness@|@tahari@
@date palm@|@pish@
@dates@|@háragh@
@daughter@|@mind@
@dawn@|@asur@
@day after tomorrow@|@Thí-bángá@
@deaf@|@khar@
@dealings@|@dáthgipt@
@dearth@|@girání@
@death@|@kuttí, math, ráhdí, ráhdí@
@debt@|@wám@
@debtor@|@wámdár@
@deceit@|@droghvand@
@decision@|@paysala@
@deckhand@|@siring@
@decompose@|@säRäG@
@deep@|@dúngá, juhul@
@den@|@hod@
@dependence@|@tawakkul@
@depression on summit of hill@|@talag@
@deputation@|@marká@
@deputation to ask pardon@|@sath@
@descendant of same ancestor@|@dádepotre@
@desert@|@dán@
@desire@|@niyat@
@destitute@|@nestkár@
@destroyed@|@gár@
@dew@|@trer@
@difference@|@fark@
@dignity@|@nang@
@direction@|@nighor, pahnád, phalo@
@dirt@|@balgo, hes, kházg@
@dirty@|@kházgo@
@discussion@|@habar@
@dish@|@whán@
@distinction@|@nashk@
@ditch@|@káhí@
@dive@|@tobí@
@divided by@|@taksim@
@divorce@|@son@
@dog@|@Bíng, bíng, kshik@
@dog's pups@|@gullar@
@dokhtha@|@doshagh@
@domestic animals@|@jánwar, sáhdár@
@donkey's pack-saddle@|@binni@
@Don't touch me there!@|@Mana daz majan!@
@door@|@galo@
@double@|@dorá@
@double tooth@|@hásh@
@doubt@|@shakk@
@doubtless@|@be-shak@
@dove@|@gírá, sháthlo, sháthlo@
@draughts@|@shatranj@
@drawing@|@hakal@
@dress@|@jar@
@dried curds@|@shilanch@
@dripping well@|@trimu-áf@
@drum@|@dhul@
@dry@|@hushk@
@dumb@|@gúng@
@dung of cattle@|@saghan@
@dung-beetle@|@gokhránd@
@dust@|@danz, dáto, dhúr@
@eagle@|@duggav@
@early in the morning@|@máhlo, phagen@
@earring@|@chulumb@
@earth@|@gil, hákh@
@east@|@jáhil, obhar, rochdratk, rodaratk@
@eastern@|@páiná@
@easy@|@ásán@
@eclipse of the moon@|@máh-ghumá@
@edge of knife@|@rah@
@effort@|@aghmá@
@egg@|@ánú@
@eight@|@hasht, hesht@
@eight o'clock in the evening@|@ashá@
@eighteen@|@hazhdah@
@eighth@|@hashtumí@
@eighty@|@chyár-gíst@
@either@|@either@
@elbow@|@sarosh@
@elephant@|@pil@
@eleven@|@yázhdah@
@eleventh@|@yázhdumí@
@elsewhere@|@thí-handá@
@embankment round a field@|@banú@
@embassy@|@safarat@
@embrace@|@ambází@
@embracing@|@gwar-ambází@
@encamp@|@Adagh@
@enclosure@|@bhándá@
@endeavour@|@aghma@
@endure@|@sehnagh@
@enemy@|@badh, duzhman@
@English rupee@|@chaprúí@
@enmity@|@badí, bairí, duzhmaní@
@enough@|@gwas@
@enquire@|@phol-khanagh@
@entertainer@|@bohtár@
@entertainment@|@mihmání@
@entire horse@|@gundí@
@entrails@|@rot@
@entreaties@|@minnat@
@envy@|@akas@
@equal@|@baráwar, mat@
@equal in age@|@amsaro@
@erect@|@zhing@
@erroneously@|@radi@
@error@|@rad@
@eunuch@|@khojá@
@even@|@jukht@
@evening@|@begáh@
@everlastingly@|@jamárá@
@every@|@har@
@every one@|@har-kas@
@every thing that@|@har-ki@
@every year@|@har-sál@
@everywhere@|@har-handá@
@evidence@|@sháhidí@
@evil@|@duzh, duzhda@
@examination@|@Ázmútá@
@excellent@|@durr@
@excellently@|@warbaríyá@
@except@|@baghair@
@excess@|@saki@
@expel@|@dar-khanagh@
@expenses@|@kharch@
@exposed rock-stratum@|@tahláng@
@extensive@|@giyáf@
@extremely@|@Ákhirá@
@eyeball@|@dídokh, thelagh, thílagh@
@eyelash@|@phimblí@
@eyelashes@|@mishásh@
@eyelid@|@chham phusht@
@face@|@dem, nuth@
@fair@|@shakhal@
@faithless@|@be-ímán@
@fall in drops@|@pitag, pitit@
@false@|@drogh, droh, drohá@
@false statement@|@ghalat@
@falsehood@|@droh@
@family@|@khándán@
@famine@|@dukál@
@faqír's begging dish@|@kashkol@
@far-seeing@|@dír-zánagh@
@fasting during Ramadan@|@rochag@
@fat@|@charp, lándav, pig@
@father@|@abba, Abbá, phith@
@Father@|@pis, Pit@
@father and grandfather@|@pit o piruk@
@father-in-law@|@wasarik@
@feather@|@phar@
@felspar@|@goskarí@
@felt@|@nawad@
@female@|@gad, kohí, mádhagh@
@female ravine deer@|@thíthal@
@female slave@|@molid@
@ferns@|@zaikhá@
@fever@|@khosá, tap@
@few@|@kam@
@fifteen@|@phánzdah@
@fifty@|@phanjáh@
@file@|@sauhán@
@filly@|@bihán@
@fine@|@báragh, thanakh@
@finger@|@murdán@
@finished@|@pura@
@fire@|@ás@
@firefly@|@shabchirágh, tindiní@
@fire-place@|@ás-hand@
@first@|@pheshí@
@fish@|@máhí@
@fish eagle@|@shahin@
@fishing net with small skein@|@rog@
@fist@|@musht@
@five@|@penj, phanch@
@flag@|@jhandá@
@flail@|@lath@
@flame@|@aro@
@flank@|@pahnál@
@flat ground@|@pat@
@flat open plain@|@prahag@
@flea@|@kálrá@
@flight@|@bál@
@flint@|@ás-khoh@
@flint and steel@|@Azhgizh@
@flock of kids@|@zah-gal@
@flock of lambs@|@gwarpahar@
@flock of sheep@|@megar, mehar@
@flood@|@por@
@flower@|@gul, pul@
@fly@|@mahisk@
@flying bedstead@|@udar-katorni@
@folded@|@tala@
@following@|@rand@
@food@|@ward, whard@
@foor-footed@|@chyár phádh@
@foot@|@phádh@
@for ever@|@dáima, yamárá, zhamárá@
@forbidden@|@manná@
@forcep@|@ambur@
@forceps@|@ambur@
@forefathers@|@phith-phírú@
@forefinger@|@sháh-murdán@
@forehead@|@aníshagh, anúsha, peshani@
@foremost@|@muharí@
@foremost part@|@drosham@
@forgetting@|@gisar@
@forgiveness@|@sabab@
@form@|@báládh@
@former@|@olí, sari@
@formerly@|@olá, pesara, pheshá@
@fortunate@|@bakhtwálá@
@fortune@|@bakht@
@forty@|@chhil, chil, do-gíst@
@forwards@|@agdari@
@foul@|@whár@
@foundation@|@bunyád@
@fountain@|@chamagh@
@four@|@car, chyár@
@four-conered@|@chyár gíst@
@fourfold@|@yake-chyár@
@fourteen@|@chyárdah@
@fourth@|@chyáramí@
@fox@|@roba@
@free@|@aja, Azád, hulás@
@fresh@|@taz@
@fresh feeling in the air@|@nambí@
@fresh milk@|@zagharen shír@
@Friday@|@jumá@
@friend@|@dost@
@friendly@|@mihrván@
@friendship@|@duzwáhí@
@fringe over horse's eyes@|@makherná@
@frog@|@fugal, pugal, tushna@
@from@|@ash, Azh@
@from above@|@sará-era@
@from below@|@báládhiyá@
@from that@|@'shán@
@from that direction@|@'shán-phalawá@
@from the first@|@asulá@
@from the underside@|@sher-phalavá@
@from under@|@sher@
@frontier@|@sar had@
@frost@|@pálo@
@fruit@|@bar, bar, meva@
@fruit of the dwarf palm@|@konar@
@fruit of the khaler@|@delhú@
@fulfil@|@pura kanag@
@full@|@phur@
@gall@|@resh@
@gallopping@|@tháshí@
@gambling@|@shart@
@game@|@rastar@
@game resembling gobang@|@nautiren@
@garlic@|@sirk, thom@
@generally@|@aksará@
@getting@|@labh@
@ghee@|@rogin@
@girth of a horse@|@tang@
@give a lift to@|@sar kanag@
@give and take@|@vánij-vápará@
@give the news!@|@hálá dai!@
@go in front@|@sará-bai@
@go off with@|@udanagh@
@goat@|@buz@
@goatherd@|@shafánkh@
@goat's hair@|@mídh@
@God@|@rabb, rabb@
@going down@|@er-shaf@
@gold@|@arshafi, thango@
@goldsmith@|@sonáro@
@good@|@gehá, jawáin, nekh, share@
@good manners@|@Adab, shahúr@
@goodbye@|@Khudaa haafiz@
@goodman@|@logh-wázhá@
@goodness@|@shari@
@goods and chattels@|@madí@
@government@|@särkar@
@graft@|@pewand@
@grandfather@|@phíruk@
@grandmother@|@dádí@
@grandson@|@nawásagh@
@grass@|@rem@
@grease@|@charpí, phígh@
@great uncle@|@piruk@
@greater@|@mastar@
@green@|@savz, shunz@
@green corn@|@híth, khasíl@
@green tea@|@sabz cha@
@greeting@|@sälam@
@greetings@|@salam alekum@
@grey@|@phroh@
@griddle@|@tapag@
@grief@|@amsodh@
@ground at the foot of a hill@|@gwásh@
@grudge@|@kínag@
@guard@|@pahrá@
@guest@|@mihmán, syál@
@guitar@|@chang, shághá@
@gums@|@Aríkh, maráí@
@gun@|@túfak@
@hail@|@throngal@
@hair@|@out, phut@
@half@|@nem@
@halfway@|@nem-ráh@
@hammer which holds the match@|@máshagh@
@hand@|@dast@
@handle@|@dastagh@
@hanging@|@pháho@
@happiness@|@khushí@
@happy@|@khush@
@happy with@|@razi@
@hard@|@sak@
@hare@|@khargoshk@
@harness@|@sanj, sanj-khanagh@
@harsh@|@shaghar@
@harvest@|@fasl@
@hat@|@topú@
@have a fever@|@tap girag@
@he will be fine@|@báyth@
@head@|@saghar, sar@
@head of a band of robbers@|@ráhzan, ráhzan@
@head of a gang@|@säroGan@
@headache@|@sar dard@
@health@|@duráh, duráhí, sihat@
@heart@|@dil, hádhir, zirde@
@heat@|@fever, tháf@
@heaven@|@bihisht@
@heavy@|@girán, pazzor@
@heel@|@phídh, punz@
@heir@|@wáris@
@hello@|@Salaam alekum@
@helpless@|@be-was, ná-kámá@
@hemp@|@saní@
@hence@|@shedh, shedhá@
@henceforward@|@shedh-phadhá@
@herd@|@ramag@
@herd of camels@|@bag@
@herd of cattle@|@goram@
@herd of donkeys@|@báhir@
@heron@|@siahen barag@
@hesitation@|@guwán@
@hiccough@|@hidkí@
@highway@|@säRäk@
@hill@|@pikat@
@hill-torrent@|@lahar@
@hilly area@|@shushalag@
@hip@|@kuhne@
@hissing@|@sínd@
@history@|@tarik@
@hog-deer@|@párá@
@hole@|@tong@
@hole dug for roasting@|@pátár@
@home@|@logh@
@honest@|@sád@
@honey@|@benagh@
@honour@|@Áb, ímán@
@honourable@|@shán@
@hoof@|@khurí, surum@
@hope@|@híl@
@hopeful@|@hílwand@
@horn@|@náz, sháh@
@horse@|@asp, naryán@
@horse shoe@|@nál@
@horse that has won a race@|@go-bar@
@horse-dung@|@lid@
@horse-fly@|@Bíng-mahisk, choto@
@horse-racing@|@Galagh-thashí@
@horse's bit@|@laghám@
@horse's forehead@|@ríband@
@horse's hough@|@huch@
@horse's mane@|@bukchí, bushk@
@horse's nose-bag@|@thíragh@
@hostage@|@bándí@
@hot to taste@|@sochak@
@hot weather@|@unhálá@
@hot wind@|@loh, lúr@
@houbara@|@charaz@
@hour@|@ghayí@
@house with an upper storey@|@márí@
@house-fly@|@gíáh-mahisk, gídh-mahisk@
@how?@|@chachho, thán-rangá@
@however@|@mayáí@
@human being@|@mardum@
@hundred@|@sad, sadh@
@hundred thousand@|@lak@
@hungry@|@shudhí, shudig@
@hunter@|@shikárí@
@hunting@|@shikar@
@husband's younger brother@|@der@
@husked rice@|@birinj@
@I@|@mah, man@
@I can do@|@khutha khanán@
@idiot@|@gannokh@
@idle@|@álsí, arsi, Ársí@
@if@|@aghar@
@ill@|@ná-duráh@
@ill-natured@|@bad-khú@
@imitation@|@nakl@
@immediately@|@gwághá, mákhta@
@impossible@|@Bíokh-nen@
@in a direction@|@phalwá@
@in a whisper@|@gurburá@
@in exchange@|@kíwá@
@in front@|@boharí, demá, masará, wasaríyá@
@in front of@|@aga, pesar@
@in that direction@|@ángo@
@in that way@|@ukaiyá@
@in the direction of@|@neghá, nemghá@
@in the early morning@|@bángohiná@
@in the evening@|@Begahá@
@in the heat of the sun@|@patáfá@
@in the middle@|@nyámá, nyámagh, nyánwán@
@in the whole world@|@dehá jiháná@
@in this direction@|@ingo@
@in this very place@|@hamedhá@
@in trouble@|@dorokh@
@in welfare@|@mahairá@
@incident@|@särgost, särgoz@
@income@|@ámdan@
@increase@|@wad@
@Indian rue@|@gandákho@
@infant@|@balrú@
@inhabited@|@wasam@
@injury@|@dhak, zawál, zawál, ziyání@
@ink@|@mas, syáhí@
@innocent@|@be-gunáh@
@innumerable@|@angane, be-shumár@
