@English@|@Gbari@
@beer (made from guinea-corn)@|@zana    (n.)@
@beer-like drink but not alcoholic@|@koolo  (n.)@
@beer-pot@|@nyiwun  (n.)@
@beg for@|@baya (v.), ºa  (v.)@
@begin@|@ya  (n.)@
@behind@|@zungbebwa (n.)@
@bell (any struck metal that makes noise)@|@eshya  (n.)@
@belly@|@nubo  (n.)@
@bent@|@knaknayi   (a.)@
@bent: be ~@|@kna  (v.)@
@best lady@|@mula pedai  (n.)@
@bicycle@|@kèkè  (n.)@
@bicycle wheel spoke@|@kèkè bala  (n.)@
@big: be ~@|@mwa  (v.)@
@bigger than: be ~@|@lugwe  (v.)@
@bile@|@ega  (n.)@
@bird@|@kpabnena  (n.)@
@bird (general)@|@elu  (n.)@
@bird (type of kite)@|@keke  (n.)@
@Bird sp. It has a long beak@|@tswangbelu  (n.)@
@bird species@|@basha (n.), gana kpekpe  (n.)@
@bird with a long neck@|@bere kafi  (n.)@
@bird's nest@|@bmisna  (n.)@
@bite@|@ku nyiga  (v.)@
@bite (only used for dogs)@|@sa  (v.)@
@bitter@|@ekun enapiri n.@
@bitter: be ~@|@lulu  (v.)@
@bitterleaf (Vernonia amygdalina)@|@tsutsu  (n.)@
@black@|@jiji  (a.)@
@black kite@|@ezin  (n.)@
@black: be ~@|@tsni  (n.)@
@black-eyed bean (Vigna unguiculata)@|@ezo  (n.)@
@blackfly@|@epwi  (n.)@
@blacksmith@|@etswa  (n.)@
@blacksmith's tongs@|@kpmari   (n.)@
@bland@|@ladae  (a.), ladaeladae  (a.)@
@block a passage@|@kaka  (v.), kakeku  (v.)@
@block up@|@te  (v.)@
@blood@|@edya  (n.), egya  (n.)@
@blood vessel@|@edi  (n.)@
@blouse@|@ede kpwekpwe  (n.)@
@blow@|@bese (v.), epmi  (n.)@
@blow (musical instrument)@|@be (v.)@
@blow a fire@|@bya.. ena (v.)@
@boastful person@|@kpaci  (n.)@
@boat@|@eya  (n.)@
@body@|@byine(yi)  (n.)@
@boil@|@dzun  (v.)@
@boil on body@|@egun  (n.)@
@bone@|@tsunwu  (n.)@
@bone in phrases@|@kpokposun@
@book@|@epa  (n.)@
@Borassus-palm@|@gbago  (n.)@
@borrow@|@ºa  (v.)@
@bottle-gourd@|@gula  (n.)@
@bottle-gourd (Lagenaria siceraria)@|@gbambo  (n.)@
@bottom of object@|@laka  (n.)@
@boundary between two farms@|@fagna  (n.)@
@bow@|@tari  (n.)@
@bow and arrow@|@tsangba  (n.)@
@boy@|@myesa  (n.)@
@braid twine@|@pmi  (v.)@
@brain@|@cyampo  (n.)@
@branch of tree@|@bwalasa  (n.)@
@breadfruit tree@|@eti  (n.)@
@break@|@ëu ya  (v.), gmaya  (v.)@
@break across@|@bmatu  (v.)@
@break even (in trading)@|@gbmi   (v.)@
@break in two@|@bmá..ya  (v.)@
@break open@|@là  (v.)@
@breast of a woman@|@ºeºe  (n.)@
@breath@|@esnu  (n.)@
@breeze@|@ese  (n.)@
@brew (beer)@|@bmi   (v.)@
@bridegroom@|@mulanyigo  (n.), mulaºa  (n.)@
@brightness@|@fnuna  (n.)@
@bring (persons)@|@zhige  (v.)@
@bring out@|@gbmi  (v.), kna  (v.)@
@broken@|@bmabmae  (a.)@
@broom@|@fegun  (n.), fewun  (n.)@
@broom made from reeds or oil-palm fronds@|@cakpa  (n.)@
@brother@|@mari  (n.), zadugo  (n.)@
@brother's daughter@|@bingoi (n.)@
@brother's son@|@nuwu  (n.)@
@bucket@|@bokiti  (n.)@
@buffalo@|@eya  (n.)@
@build@|@mi  (v.), myi  (v.)@
@build barrier@|@ki  (v.)@
@build dam@|@ki  (v.)@
@burgeon@|@bya  (v.)@
@burn and hunt in a reserved area@|@gbe  (v.)@
@burnt firewood@|@napwi  (n.)@
@burp@|@be (v.)@
@burrow@|@ebwo (n.)@
@bury (person@|@bi  (v.)@
@bush-cow (Syncerus caffer)@|@eya  (n.)@
@bush-lamp@|@ena  (n.), pitula   (n.)@
@bush-pig@|@luma  (n.)@
@bush-shrike (bird)@|@gbelu  (n.)@
@business@|@ewo  (n.)@
@bustle@|@gidigba  (n.)@
@butterfly@|@dambei  (n.)@
@buttocks@|@enyi  (n.)@
@buy@|@si  (n.)@
@cake made from cowpeas@|@kala  (n.)@
@cakes made from fermented locust seeds@|@tsula  (n.)@
@calabash@|@ebo  (n.)@
@calabash spoon@|@kpakpa  (n.), kpato  (n.)@
@calabash used for carrying yams@|@bwanta   (n.)@
@calf of leg@|@buri aca   (n.), gburaca  (n.)@
@call@|@eyi  (n.)@
@call (someone)@|@yi  (v.)@
@calm down@|@be (v.)@
@calm down!@|@gyaazun  (excl.)@
@'can'@|@cin..bo  (v.)@
@cancel@|@riwyi  (v.)@
@canoe@|@eya  (n.)@
@cap@|@fula  (n.)@
@car@|@mato kungbwi  (n.)@
@carefree attitude@|@donkiya   (a.)@
@carve (wood)@|@she  (v.)@
@cashew nut@|@kashu  (n.)@
@cassava@|@longo  (n.)@
@cassava meal@|@gari  (n.)@
@cassette-recorder@|@ridiwo  (n.)@
@cast-net for fishing@|@birigi   (n.)@
@cat@|@ºare  (n.)@
@catapult@|@ete  (n.)@
@catch@|@nwa  (v.), wa  (v.)@
@catching (of a disease)@|@nwa  (v.)@
@catfish@|@gyade  (n.)@
@catfish. (Synodontis spp.)@|@tukpa  (n.)@
@cat-like animal@|@egba  (n.)@
@cattarrh@|@ecni  (n.)@
@cattle-egret@|@nagolu  (n.)@
@cattle-trail@|@nagotso (n.)@
@cause confusion@|@fiºedo  (v.)@
@cause fear (ghosts do this)@|@fna  (v.)@
@cause trouble@|@ka..ebo  (v.p.)@
@cease@|@fa  (v.)@
@celebration@|@ebwa  (n.)@
@cemetery@|@dzungota  (n.)@
@centipede -bites@|@kakasuwa  (n.)@
@cereal porridge@|@jewun  (n.)@
@certain position: be in a ~@|@ci  (v.)@
@chaff from cereal@|@funu  (n.)@
@chain@|@egbna (n.)@
@chair@|@sashinya  (n.)@
@chameleon@|@knyinu  (n.), knyinyi  (n.)@
@character@|@eri  (n.)@
@charm believed to increase the quality of food@|@esni  (n.)@
@chase (s.t.)@|@nya  (v.)@
@cheaply@|@gbangya  (adv.)@
@cheek@|@gbmari  (n.), gnari  (n.)@
@cheetah?@|@tsuwala  (n.)@
@chew@|@tá  (v.)@
@chewing@|@tagbe  (n.)@
@chicken@|@pyise  (n.)@
@chicken-pox@|@nasara gbeki  (n.)@
@chief@|@etsu  (n.)@
@child@|@byakayi  (n.), eºi  (n.)@
@child born prematurely@|@lakwo  (n.)@
@children of one's sister@|@jaari  (n.)@
@chili-pepper@|@jagba  (n.)@
@chin@|@nyikpwekpwe  (n.)@
@cholera@|@kpnamkpna  (n.)@
@choose@|@gokni  (v.), kni  (v.)@
@chop (with cleaver@|@kya  (v.)@
@christian@|@misheza  (n.)@
@christianity@|@mishe  (n.)@
@church@|@coci  (n.), duwa kate  (n.)@
@circular@|@kululu  (a.)@
@circumcised penis@|@kpaga  (n.)@
@city@|@ezhi  (n.)@
@clap hands@|@kubwa  (v.)@
@clay@|@ezun  (n.)@
@clay pot used for cooking porridge@|@jeshyawun  (n.)@
@clay pot used to store water@|@dzunwu  (n.)@
@clean: be ~@|@caca  (v.)@
@clear@|@bmare (a.), bmarebmare (a.)@
@clear away@|@ku..ya (v.)@
@cleared of wrongdoing@|@bedami (n.)@
@cleverness@|@keke  (n.)@
@climb@|@gnu  (v.)@
@climb on to@|@gokni  (v.)@
@clod of soil@|@ema   (n.)@
@cloth@|@ede  (n.)@
@cloth hung across the body (such as a blanket)@|@ede kase  (n.)@
@clothes to protect wearer against cold@|@ede sepwi  (n.)@
@clothes-washing@|@dejnya  (n.)@
@cloud@|@shanji  (n.), shego gbakori  (n.)@
@cobra: spitting ~@|@etsu  (n.)@
@cock@|@pesangba  (n.)@
@cockroach@|@bmetsu  (n.)@
@coconut@|@kwalanta   (n.)@
@cocoyam@|@koko  (n.)@
@coin@|@ewo bere  (n.)@
@cola-nut@|@golo  (n.)@
@cold@|@ese  (n.), fufu  (n.), wyowyo  (n.)@
@cold (in head)@|@ese  (n.)@
@collapse (persons)@|@miya  (v.)@
@collect@|@gwo  (v.), kpna  (v.)@
@collect (for pl. inan. obj.)@|@ku  (v.)@
@collection of yams@|@knuri (n.)@
@collision@|@kudo  (n.)@
@colobus monkey (colobus polykomos)@|@etsun  (n.)@
@come@|@zhi  (v.)@
@come after@|@datu  (v.)@
@come back@|@de ze kpe  (v.p.)@
@come down from a tree or high place@|@shnì  (v.)@
@commit a crime@|@pmá  (v.)@
@commit robbery@|@de  (v.)@
@common: be ~@|@gbwi  (v.)@
@commoner without relations@|@zance  (n.)@
@complete (for countable things): be ~@|@gunbwa  (v.)@
@completed past marker@|@á@
@completely@|@caa  (adv.)@
@compound@|@kpeda  (n.), ºwari  (n.)@
@compound wall or a wall between two buildings@|@ebe (n.)@
@compressed@|@fnifnii  (a.)@
@concealed exit to a bush-rat burrow (cf. eda)@|@ekpe  (n.)@
@concern@|@dna  (v.)@
@confuse@|@cewye  (v.)@
@confusion@|@kpásù  (n.)@
@connect@|@kedo  (v.)@
@container of metal@|@ebwa  (n.)@
@container used by old woman to store tobacco@|@bata (n.)@
@contemplate@|@dna'wye  (v.p.)@
@contract between farm-owner and labourers@|@fago  (n.)@
@contribute@|@tá  (v.)@
@convenient@|@fafa  (v.)@
@convulsion@|@elu  (n.)@
@cook@|@sun nyadyi  (v.p.)@
@cook-pot of cast iron with three legs@|@kpnakpna  (n.)@
@cool down@|@base (v.)@
@coral-coloured spider)@|@ganadigidi  (n.)@
@corpse@|@zatsu  (n.)@
@correct way@|@etso  (n.)@
@cotton ready for spinning@|@wuncece  (n.)@
@cotton wool@|@wunfu  (n.)@
@cough@|@eci  (n.), kpa..eci   (v.)@
@coughing@|@kpaci   (n.)@
@count@|@ba  (v.)@
@cover of dish or pot@|@kpere  (n.)@
@covering@|@ºure  (n.)@
@cow@|@nago  (n.)@
@coward@|@dnari  (n.)@
@cowardice@|@dnawe  (n.)@
@co-wife@|@pidori n.  (n.)@
@cowpea@|@ezo  (n.)@
@cowpea (small variety)@|@kapa  (n.)@
@cowry@|@ewo sunsun  (n.)@
@crab  (reddish type that is not eaten)@|@gbengudu  (n.)@
@crab (greenish@|@kàpwí  (n.)@
@crack@|@kela  (v.)@
@crack in a pot@|@ela  (n.)@
@cracked vessel that can still be useful@|@cagnari  (n.)@
@crawl (children only)@|@ko  (v.)@
@crayfish@|@cace=caca  (n.)@
@creeper vine@|@kubi aso  (n.)@
@cricket@|@tnatna  (n.)@
@cricket: giant ~@|@eshni  (n.)@
@cricket: mole ~@|@bibishnare (n.)@
@crime@|@ºepma  (n.)@
@crippled@|@knaknayi   (a.)@
@crocodile@|@nagagba  (n.), nakakpa  (n.)@
@crooked@|@knaknayi   (a.)@
@crow: pied ~@|@kwàsákwàsá   (n.)@
@cry@|@ti..ebwi  (v.), tibwi  (v.)@
@cry out (women)@|@bure  (v.)@
@cultivated plant@|@bwabwa  (n.)@
@culvert@|@pacenkpe  (n.)@
@curse@|@ekni  (n.)@
@cut@|@sa  (v.), znu  (v.)@
@cut (especially firewood)@|@gbé  (v.)@
@cut down@|@mi  (v.)@
@cut in two@|@gbwe  (v.)@
@cut into pieces@|@te  (v.)@
@cut off@|@tiya  (v.)@
@cut stalks as in guinea-corn harvest@|@do  (v.)@
@cut the throat@|@znucya  (v.)@
@cut with knife@|@baya (v.)@
@cutlass@|@eda (n.), gada  (n.)@
@dab on (esp. medicinal ointment)@|@dami  (v.)@
@dance@|@nya  (v.)@
@dance ( type of dance performed by women)@|@ëyi eshni  (n.)@
@dance (type of dance done by both sexes)@|@dzun ebwi (v.p.)@
@dance (without named dance)@|@nya 'nya  (v.p.)@
@dance for the Gbmunu@|@cido  (n.)@
@dancing@|@nyanya  (n.)@
@danglingly@|@ladalada (adv.)@
@darling@|@lala  (n.)@
@dash@|@ece  (n.)@
@dash against@|@laba  (v.)@
@date@|@efe  (n.)@
@daughter@|@bingoi (n.)@
@dawn@|@femgwosa  (n.), ferisa   (n.)@
@day@|@efe  (n.), wyango  (n.)@
@day after tomorrow@|@wyiyacane  (n.)@
@day before yesterday@|@wyiyacane  (n.)@
@deaf@|@tnubwagbagbayi  (n.)@
@death@|@etsu  (n.)@
@debt@|@eta  (n.)@
@debtor@|@tari  (n.)@
@decayed@|@bodoe (a.)@
@deceit@|@ere  (n.), etna  (n.)@
@deceiver@|@etnasunyi  (n.)@
@decoration@|@kpahedyedo  (n.)@
@decrease (frequency)@|@kebma   (v.)@
@deep-set@|@gege  (a.)@
@deep-set eye@|@ewye gege  (n.p.)@
@dehusk cereals by pounding@|@se  (v.)@
@deliberate@|@jin  (v.)@
@deliver@|@ma  (v.)@
@demarcation between two places@|@egna  (n.)@
@denial@|@naºo  (n.)@
@deny@|@na  (v.), ºona  (v.)@
@dew@|@emyi  (n.)@
@diameter@|@ere  (n.)@
@diarrhoea@|@kpnamkpna  (n.)@
@Dibo peoples Dibo languages@|@Bawa (p.n.)@
@did you hear?@|@hawo?  (excl.)@
@die@|@tsu  (v.)@
@dig@|@nyi  (v.)@
@dig out (a planted seed)@|@bí  (v.)@
@direct@|@ko  (a.)@
@directly@|@ko  (a.)@
@dirt@|@ºwulu  (n.), tere (n.)@
@dirty gourd@|@botere (n.)@
@dirty place@|@doncigbya  (n.)@
@dirty plate@|@botere (n.)@
@dirty: be ~@|@tsni  (n.)@
@discrimination in family groups@|@gnabe  (v.)@
@discuss@|@jin  (v.)@
@discussion@|@eza  (n.)@
@disease@|@kupaso  (n.)@
@disease that affects the ribs@|@cegnu  (n.)@
@dish of metal@|@ebwa  (n.)@
@dish[any metal plate]@|@simboyi  (n.)@
@dismiss@|@gnagbe  (v.)@
@disorderly objects@|@gnyagnya  (n.)@
@disruptive@|@cewyena  (a.)@
@distance@|@ekpa  (n.)@
@distribute@|@gna  (v.)@
@disturbed@|@gnagnagna  (a.)@
@divide@|@gna  (v.)@
@do@|@dyin  (v.), sun  (v.)@
@do to excess@|@gnasnu  (n.)@
@doctor-traditional seer@|@ºeri  (n.)@
@dog@|@emu  (n.)@
@domestic animal@|@nyakpe   (n.)@
@donkey@|@zunyaki   (n.)@
@door (type of door made from raffia midribs)@|@eba  (n.)@
@door: carved wooden ~@|@kpako  (n.)@
@door-covering@|@kpawun  (n.)@
@dove@|@luko  (n.)@
@downwards@|@bota  (adv.)@
@drag@|@zha  (v.)@
@dragon-fly@|@dabmisa (n.)@
@drain@|@pacenkpe  (n.)@
@draw water@|@gnyi  (v.)@
@drawing@|@foto  (n.)@
@draw-soup@|@nitata  (n.)@
@dream@|@ena  (n.), na  (v.)@
@dress etc.)@|@temkpe  (a.)@
@dressed well: be ~@|@to (v.)@
@dried scrapings of porridge left on side of pot@|@ekna  (n.)@
@dried-up@|@cakpacakpa (adv.)@
@drink@|@sni  (v.)@
@drink made from guinea-corn and spice@|@kundo  (n.)@
@drizzle@|@shego gbasha  (n.)@
@drop a load of firewood@|@ce cimwa  (v.p.)@
@drug against leprosy@|@gbadugu  (n.)@
@drum (large@|@gadagba  (n.)@
@drum (rectangular frame-drum)@|@samba  (n.)@
@drum (very large barrel-drum similar to gadagba)@|@sala  (n.)@
@drum made from a pot with a single skin@|@nyakun  (n.)@
@drum praise-names@|@la taki   (v.p.)@
@drum used for kuci masquerade@|@kuci'nya  (n.)@
@drummer@|@nyingbaja  (n.)@
@drumming@|@egu  (n.)@
@drunkard@|@demizo  (n.)@
@dry@|@cisociso  (adv.)@
@dry season@|@mukeesa  (n.)@
@duck@|@luko  (n.)@
@duiker@|@koknuna  (n.)@
@duiker (grey)@|@kokumyi  (n.)@
@dull person@|@nantolo  (n.)@
@dumb@|@knungba  (n.)@
@dust@|@ºwulu  (n.)@
@dust (esp. after strong wind)@|@ºwure  (n.)@
@dwarf@|@kutunku   (n.), zagbagba   (n.)@
@dysentery@|@emi-labmi (n.)@
@eagle@|@egni  (n.)@
@eagle (cf. S. egni)@|@gnigo  (n.)@
@ear@|@kpnubwa  (n.), tnubwa  (n.)@
@early in the morning@|@labmelabme  (adv.)@
@ear-ring@|@tnubwadnaya  (n.)@
@earth@|@ekni  (n.), knini  (n.)@
@earthworm@|@bwombwolo  (n.)@
@easy to carry out@|@fafa  (v.)@
@eat@|@ëyi  (v.)@
@Ebira language@|@Kpoto  (p.n.)@
@Ebira people@|@Kpeto  (n.p.)@
@Ebira person@|@Kpoto  (p.n.)@
@edge@|@kapa  (n.)@
@edible@|@kpabnena  (n.)@
@edible fruit@|@mimi  (n.)@
@edible melon.@|@kumba  (n.)@
@edible type)@|@kàpwí  (n.)@
@egg@|@ezhi  (n.)@
@Egusi melon (citrullus lanatus)@|@eci  (n.)@
@eight@|@kpnaca  (num.), tnaca  (num.)@
@eighty@|@wogmaaba  (num.)@
@eigth@|@tnacari  (num.)@
@elbow@|@bodnadnu (n.)@
@electric-fish (Malapterus electricus)@|@edo  (n.)@
@electricity@|@ena  (n.)@
@elephant@|@dagba  (n.)@
@elephant grass (Andropogon spp.)@|@egi  (n.)@
@eleusine Finger-millet (Eleusine indica)@|@cence  (n.)@
@eleven@|@wogagbma  (num.), wogagbma  (num.)@
@emphatic form of nuwu@|@nuwuri  (n.)@
@empty@|@gbegberi   (a.)@
@encircle@|@ce kulu  (v.p.)@
@enclosure for goats and sheep@|@gokni  (n.)@
@end of sentence to mark your location@|@bo part.@
@enemy@|@shebei  (n.)@
@enemy rival in pursuit of a woman@|@shiri  (n.)@
@enemy Rival in pursuit of a woman@|@shiºe  (n.)@
@engage (gears@|@ladna  (v.)@
@engage in s.t. in earnest@|@gnudna (v.)@
@engine)@|@ladna  (v.)@
@enjoyment@|@danda  (n.), seke  (n.)@
@enough: be ~@|@knu  (v.), mwa  (v.)@
@entangle@|@fnado   (v.)@
@enter@|@du   (v.), ëo  (v.)@
@entrance-house to compound@|@dugo  (n.)@
@epilepsy@|@tupa  (n.)@
@epiphyte (any type)@|@tulu  (n.)@
@epithet@|@taki  (n.)@
@especially acidic@|@shigu  (n.)@
@especially in farm@|@nateyen. (n.)@
@especially near a bathroom@|@dodo  (n.)@
@etc.)@|@kucu  (v.), tnu  (v.)@
@European@|@Nasara  (n.)@
@evening@|@gyezunsa  (n.)@
@every day@|@fefefeo  (adv.)@
@everyone@|@zaza(za)  (n.)@
@everything@|@nyanyanya (pron.)@
@excessive: be ~@|@gnagna  (v.)@
@exchange@|@shyado  (v.)@
@exclamation expressing feeling of relief@|@fa!  (excl.)@
@exclude@|@ke..ya  (v.)@
@exculpated@|@bedami (n.)@
@exhaust@|@ëo  (v.)@
@expert drummer@|@nyibajya  (n.)@
@expertise@|@egba  (n.)@
@explode@|@kepo  (v.)@
@explore with hands@|@fibaba  (v.)@
@expression of annoyance or despair@|@wya!, wyi!, wyua! (excl.)@
@extra@|@cebitu@
@extra: be ~@|@ketu  (v.)@
@extract from liquid (water@|@wo  (v.)@
@eye@|@ewye  (n.)@
@eye-bone@|@ewye kpokposun  (n.p.)@
@eyelash@|@ewye bnutsni  (n.p.)@
@fall (inanimate objects)@|@gmaya  (v.)@
@fall (rain)@|@gbere  (n.)@
@fall across (a surface)@|@bmatu  (v.)@
@fall into@|@bma (v.)@
@fall over@|@ze ekni   (v.p.)@
@false locust tree@|@kari  (n.)@
@far@|@ºa  (adv. )@
@far away place@|@ºa enya   (n.)@
@far in the bush@|@jenu  (adv.)@
@farm@|@efa (n.), nu  (v.)@
@farmer@|@fanui  (n.)@
@farming@|@fawun  (n.), nufa  (n.)@
@farmland by the river@|@fakpna  (n.)@
@farm-tour@|@face  (n.)@
@farm-weeding@|@fafa  (n.)@
@fashionable appearance@|@eto (n.)@
@fashion-conscious person@|@tori  (n.)@
@fat@|@emi  (n.)@
@fat: become ~@|@mware  (v.)@
@father@|@dada  (n.)@
@father father's brother sons of father's sister@|@eda  (n.)@
@father's brother@|@dada  (n.)@
@father's sister@|@nawun  (n.), nuwun  (n.)@
@fatness@|@ere  (n.)@
@fear@|@edna  (n.)@
@fearful person@|@dnari  (n.)@
