@Mam Todos Santos@|@English@
@-ajtz@|@directional enclitic adding the meaning returning from there@
@-al@|@suffix indicating an ordinal number, suffix occurring with nouns adjectives and numbers that are possessed and indicates that the possessed noun belongs in a special way to that which possesses it (tchk'el his own blood comes from chik'y blood prefixed with the third person possessive t- and suffixed by -el showing special possession or ttz'umal comes from tz'u'm skin or leather prefixed with the third person possessive t- and suffixed by -al showing special possession), directional enclitic meaning going out or going outward, potential mode suffix for future time adverbs@
@-an@|@suffix that turns nouns and transitive verbs into adjectives@
@-aq@|@added to the end of a word makes it or the noun following it plural (nimaq tze big trees), an agumentive that occurs with adjectives (nimaq 'large' comes from nim 'a lot' or 'big' and the suffix -aq)@
@-atz@|@directional enclitic meaning out toward here@
@-ax@|@suffix that indicates a process (sak white sakax to become white), suffix that turns a transitive verb into an intransitive verb, directional enclitic adding the meaning out away@
@-b'a@|@suffix added to positional verbs meaning 'to cause to' (txhale' - to lean to one side - txhalb'a -  to cause to lean to one side or put it sideways), derives transitive verbs from positionals meaning 'place or leave something in the position or state or form indicated by the root', intransitivizer that derives intransitive stems from some adjectives and roots, derives transitive stems using vowel length and gives the meaning 'do something so that the position or quality indicated by the root is the result' (qin with a short 'i' means 'stretched' with a long 'i' it means 'to stretch')@
@-b'aj@|@directional enclitic meaning ending, finishing, verb suffix indicating the passive voice in verbs where a directional is present and that includes the meaning of going and doing something the action happens to the direct object because the agent goes to do it (ma txi txokb'aj 'he has been sent for' txi 'to go' txakol 'to call' ma - past tense marker), suffix used after non-possessed nouns@
@-b'ajal@|@suffix that derives adjective stems from positional roots and transitive verbs and adds the meaning of something that can be done easily (b'inch- means 'do' while b'inchb'ajal means 'easy to do')@
@-b'al@|@suffix that derives noun stems from transitive stems@
@-b'an@|@remainder, suffix that refers to whatever remains after the action has been completed (tcheb'an chop means 'tracks that a crab leaves in the sand' - wab'an means 'left-overs')@
@-b'aqil@|@bone of, tb'aqil his bone@
@-b'atz@|@suffix that derives noun stems from transitive stems@
@-b'e@|@causative suffix@
@-b'el@|@suffix indicating the instrument used for an action@
@-b'en@|@suffix indicating an action that has alreadly taken place (ttz'eyb'en 'a burn', suffix that derives nouns referring to the place where the action happened, tb'inchb'en 'what she has made'), suffix that indicates the place where an action occured (jatx'b'en - the portion of land that was harvested by someone)@
@-b'etz@|@suffix that occurs with a few verbs turning them into relational nouns (t-ximb'etz his thoughts comes from ximal to think plus the suffix -b'etz)@
@-b'i@|@suffix that can sometimes indicate the process of getting something@
@-b'il@|@suffix indicating some type of kinship (mamb'il 'stepfather'), suffix meaning the instrument or means that was used to accomplish an action (tz'isb'il 'broom') or the place where the action was realized (wab'il 'dining room')@
@-b'ji'b'il@|@derives nouns from adjective stems@
@-b'l@|@this suffix is a shortened form of -b'il that is used in many places and cases, suffix indicating some type of kinship (manb'l stepfather), suffix meaning the instrument or means that was used to accomplish an action or the place where the action was realized (qsch'ib'le 'our book' comes from sch'ib'il 'book' an instrument for reading)@
@-b'utx'@|@at the corner@
@-ch@|@derivational suffix that can only derive stems from positional roots and means placed in the position or the form or the state that the root describes (xalch 'naked' - jilch 'stretched out')@
@-ch'in@|@suffix meaning 'somewhat'@
@-cha@|@causative suffix@
@-chaq@|@a distributive suffix that occurs on interrogatives (Alkyeqechaq che' ul  'Who all will come' - alkyeqechaq qaq'unab'il 'which tools' - aqechaqtzan 'some of them' - nimxchaq 'many things'), a distributive suffix that occurs on numbers and can occur on some quantity words for instance wuq means 'seven' while wuqchaq means 'in groups or parcels of seven' or it can mean 'seven for each one') chaq is only obligatory on numbers above five, suffix indicating that someone is selecting some individuals out of a group@
@-chi@|@causative suffix@
@-chu@|@causative suffix@
@-e@|@a suffix that derives intransitive verbs from positional roots giving the sense of putting or getting in the position indicated by the root (Ma kub joqe tx'yan - Past tense go down went face down dog - The dog laid face down), an enclitic added to a word to show possession of that word, directional enclitic meaning outward, relational noun that functions as a dative- can be used for emphasis - can be used as a receiver and marker for the possessive- and it changes with the third person marker, relational noun that is suffixed to a word to mark the recipient of an action that was accidental or by surprise or not completed (the word following this marker is the one receiving the action of the verb ie- Alkye tzyun kye xinaq - in this sentence kye is the combination of the third person plural ergative marker meaning 'they or them' and the relational noun patient marker -e so the word following kye or 'xinaq' meaning 'men' is the recipient of the action), this suffix appears optionally on numbers two to five perhaps meaning plural@
@-e'@|@an enclitic added to a noun to show possession of that noun, intransitive verb suffix meaning to be placed in the position or form or state described by the root (paq means 'lying down' while paqe' means 'lie down')@
@-eb'@|@derives intransitive verbs from positional roots  (the only time it appears as -eb' is before other suffixes - when it ends a word it is shortened to -e' even if it is followed by an enclitic)@
@-ej@|@suffix which forms measure words (any short vowel plus the suffix -j forms measure words because the measure suffix -ij changes it's vowel to agree with the root word with very few exceptions)@
@-eje@|@suffix that turns a number into a time adverb that indicates days or years in the future and is used with the numbers 2-4 number 6 and all numers 8 and above (oxe' means 'three' while oxeje means 'three days ago')@
@-el@|@suffix occurring with nouns adjectives and numbers that are possessed and indicates that the possessed noun belongs in a special way to that which possesses it (tchk'el his own blood comes from chiky or chik blood possessed by the third person singular -t meaning he she or it and suffixed by -el), suffix indicating a potential action, directional meaning going out, outward@
@-enj@|@suffix that derives a noun referring to the recipient of an action from transitive verbs (chem means 'weave' while chemenj means 'weaving')@
@-et@|@verb suffix that marks the passive which stresses the object of a sentence (ma k'met - it was received - k'met comes from k'amo to receive and the suffix et which caused the o and a to be dropped)@
@-etz@|@directional enclitic adding the meaning out toward@
@-etzb'aj@|@directional enclitic adding the meaning out here complete@
@-ex@|@directional enclitic adding the meaning out away@
@-i'j@|@blame, functions as a malefactor or the recipient of the action or it can be thematic, relational noun that in an antipassive sentence introduces the recipient of a purposeful action (Ma tzyun Mal ti'j txin- Ma is the past tense marker - the absence of a person marker on the verb marks the third person singular absolutive and in this case it is marking 'she' - the tzyu means 'grab' - the -n is the antipassive marker - Mal translates to Maria - the 't' marks the third person singular ergative in this case meaning 'her' - the -i'j introduces the recipient of the action txin and txin means 'little girl' - Maria grabbed the little girl)@
@-i'jile@|@near, close to, around, about@
@-i'jla@|@around@
@-i'jxi@|@behind, back@
@-i'l@|@directional enclitic meaning arriving here@
@-i'n@|@suffix that occurs with numbers (twajxaqi'n eigth comes from wajxaq eight)@
@-i'pan@|@directional enclitic adding the meaning passing there@
@-ib'@|@has the role of relexive and reciprical and is used with Juego A (tib' - himself or herself or itself)@
@-ib'aj@|@can mean 'about' as in 'we are thinking about life', functions as the theme, on top of, over, a reflexive relational noun@
@-ij@|@suffix which forms measure words (any short vowel plus the suffix -j forms measure words because the measure suffix -ij changes it's vowel to agree with the root word with very few exceptions)@
@-iky'tz@|@directional enclitic adding the meaning passing to this side@
@-iky'x@|@directional enclitic adding the meaning passing to the other side@
@-il@|@directional enclitic meaning outward, suffix that forms adjectives into abstract nouns that have the quality of the adjective when the adjective is possessed (saq means 'white' tsaqil means 'its whiteness'), suffix occurring with nouns adjectives and numbers that are possessed and indicates that the possessed noun belongs in a special way to that which possesses it (tb'aqil his bone comes from b'aq bone prefixed with the third person possessive t- and suffixed by -il showing special possession t-xu'jil his woman comes from xu'j woman), suffix used to indicate the deliberate doer of an action it makes reference to the noun that does the action indicated by the verb (oq' means 'cry' while oq'il means 'the crier' or 'one who cries a lot')@
@-in@|@suffix that occurs with numbers and requires a possessive prefix (toxin the third one comes from oxe three) this suffix indicates the order or sequence of things like second or third etc with the only exception being first (tnejil), suffix that describes the physical charateristic of the noun (jitx'in - thin)@
@-inin@|@suffix that is added to an adjective to mean that an object has the quality indicated by the adjective but in moderation (saq means 'white' while saqinin means 'moderately white' or 'whitish')@
@-intoq@|@marker describing continued past actions@
@-it@|@suffix that appears with two syllable stems with the stress on the second syllable and indicates the passive voice, suffix that is employed to form a passive intransitive verb (Ma kyixit - was caught)@
@-ix@|@can form an adjective into an intransitive verb denoting a change in being and indicating that the subject takes on the quality indicated by the root (kox 'lame' koxix 'to become lame' sb'iky 'elderly' sb'ikyix 'to get old' chew 'cold' chewix 'to get cold')@
@-ixe@|@suffix that turns a number into a time adverb that indicates days or years in the future and is used with the numbers 5 and 7 (oxe' jwe' means 'five' while o'b'ixe means 'five days ago' and wuq means 'seven' while wuqub'ixe or qub'ixe means 'seven days ago')@
@-j@|@directional enclitic meaning upward, verb suffix marks the passive and implies that the subject had no control over the action - it emphasizes what happens to something rather than what is done to it and that it happens suddenly or rapidly (ma yupj q'aq' 'the fire has gone out' yupil 'to put out', q'aq' 'fire' ma 'past tense' -j 'what happened'), suffix added to a numeral root to indicate days in the future (b'eljuj means 'nine' while b'eljujj means 'in nine days'), at times this suffix indicates the process of getting something, suffix that is used with roots in the absolute form (and usually refers to clothing or basic foods) but the 'j' is dropped when the root is possessed (ya'yj means 'grandmother' while nyaye' means 'my grandmother' and loj means 'fruit' while nlo'ya means 'my fruit'), when it appears after tu'n (tu'nj) it restricts the meaning of tu'n to 'because' @
@-ja@|@directional enclitic meaning upward@
@-jal@|@non-human (classifier)@
@-japan@|@directional enclitic adding the meaning up there@
@-jaq'@|@under, underneath@
@-jatz@|@directional enclitic adding the meaning up toward@
@-jax@|@directional enclitic adding the meaning up away@
@-je@|@suffix added to a numeral root to indicate days in the past (oxeje 'three days ago')@
@-je'@|@suffix that occurs with intransitive verbs and indicates repetative actions  (in b'etje' he or she is walking around in is the incomplete time marker b'et means to walk -je' is the repetitive suffix and no person marker is present so the phrase is speaking of the third person singular)@
@-jo@|@demonstrative enclitic usually added to nouns (tuj xochjo means 'in that well' so the 'jo' as a demonstrative is pointing out "that well" or 'this well'), this, that@
@-jo'@|@yes that's it@
@-jtz@|@directional enclitic adding the meaning up toward@
@-ju@|@adds emphasis to a noun or adjective@
@-jx@|@directional enclitic adding the meaning up away@
@-k@|@directional enclitic meaning inward or go in@
@-k'aj@|@traditional corn soup of guatamala@
@-k'u@|@causative@
@-ka@|@enclitic meaning but, but, enclitic directional (kub) meaning down or to go down, emphatic enclitic for second person, enclitic that adds the meaning 'a little of the quality' to adjectives and noun phrases (b'a'n means 'good' while b'a'nka means 'a little good')@
@-kaj@|@distributive suffix used with the numbers 2 kab' and 3 ox, directional enclitic adding the meaning stay or keep on (doing something)@
@-katz@|@directional enclitic meaning downward this way@
@-kax@|@directional enclitic meaning going down toward there@
@-kj@|@directional enclitic meaning being left, staying@
@-ktz@|@directional enclitic meaning inward this way or in toward here@
@-ku'@|@directional enclitic meaning to go down, downward@
@-ku'tz@|@directional enclitic adding the meaning down toward@
@-ku'x@|@directional enclitic adding the meaning down away@
@-ku'xb'aj@|@directional enclitic adding the meaning down there complete@
@-kux@|@dirrectional suffix meaning 'going down'@
@-kuxa@|@directional suffix -kux with the second person singular affix -a meaning 'you'@
@-kx@|@directional enclitic meaning inward that way or in toward there@
@-ky'itz@|@along with, next to, beside@
@-kya@|@emphatic person marker for the second and third person plural that apppears attached to the end of the verb (ma chi b'etkya - you all walked - or- ma chi b'etkya xjal - 'the people walked' or as we would say 'they walked')@
@-kyaj@|@distributive suffix used with the number 4 kyaj@
@-l@|@intransitive verb suffix that marks the potential aspect of a verb (b'antel 'to be able to do' - k'oq'ala 'you are going to cry') the -l disappears when a directional is added to a verb (kelal - 'he will go out' becomes kelax - he will go out away when the directional -x 'away' is added), verb suffix that indicates the passive voice and occurs only in verbs with two syllable stems where the first vowel is soft (ma chetxokl 'they have been called' comes from txakol or txko- 'to call' with ma indicating past tense and che meaning 'they'), future suffix attached to the passive intransitive directional verb rather than the main verb and only occurs preceded by ok and ended with any vowel but e or e', suffix that forms the infinitive of a directional verb or a verb meaning to begin (xi' yolil 'he went to speak' xi' to go yolil to talk or speak - okten b'etel 'he began to walk' ok future marker ten 'to begin' and b'et 'to walk' with -el instead of -l because b'et ends with a consonent), verb suffix meaning the person or thing that is a deliberate doer or an action or who performs an action (b'ixal a dancer comes from b'ixa 'to dance' and wta- means 'sleep' while wtal can mean 'sleeper' or 'he who sleeps'), suffix occurring with nouns adjectives and numbers that are possessed and indicates that the possessed noun belongs in a special way to that which possesses it (ta'l its liquid ta'l comes from a' meaning water and the third person possessive t- prefix meaning his her or its and the suffix -l), derivational suffix that can only derive stems from positional roots and means 'placed in the position' or 'the form' or 'the state' that the root describes, suffix that derives nouns from intransitive verbs of motion (jaw- 'go up' jawl 'ascent'), suffix that derives positional adjectives from positional roots (tutz' means 'sitting' white tutz'l means 'seated')@
@-la@|@maybe, perhaps, enclitic indicating doubt or something that is not sure, derives transitive stems from noun roots and stems and has the meaning 'use the stem noun' (uw means 'necklace' add -la and it means 'use a necklace' uwla)@
@-laj@|@suffix that marks the repetition of an action (Njoylaj eky' ti'j tal - The hen looked several times for her chicks)@
@-le@|@a causitive marker (making something happen or exist)@
@-le'n@|@suffix that derives an abstract noun that indicates the state described by the root or stem@
@-len@|@suffix that usually refers to something that has already taken place and requires a possessive prefix (toklen meaning his having entered or his authority comes from the third person singular possessive 't' meaning his in this case 'ok' a directional meaning to enter and the suffix 'len' indicating he has already entered), suffix that derives abstract nouns from transitive and intransitive roots and stems (b'itz means 'sing' while b'itzlen means 'his singing'@
@-li@|@causative suffix@
@-lib'@|@reflexive relational noun@
@-lu@|@causative suffix@
@-m@|@suffix used to indicate an imperative (do this or do that etc) on transitive verbs that either don't include a directional or when the directional begins with a vowel (kyb'inchame you all do it or you all build it) or (laq'omitza qwa 'Buy our food' where the m is followed by the directional -itz )@
@-maj@|@suffix that adds emphasis to the base word without changing its meaning@
@-n@|@verb suffix marks the antipassive which stresses the subject of a sentence and pretty well turns the meaning of the sentence around (A k'wal nb'inchan jul -a literal translation would be 'This boy making hole' but it means- 'It was this boy who made the hole'), imperative suffix used with transitive verbs with suffixed directionals that begin with a consonant or at the end of verbs where the directional is not attached (tzyul means 'to grab' tzyunxa means 'grab' with the directional xa  - Tzyunxa eky' - meaning 'Grab the chicken'), verb suffix indicating the action is in progress (ing), in verbs whose roots or bases include a glottal stop or a prolonged vowel this suffix marks transitive verbs as having a directional@
@-na@|@an affirmative enclitic (ilxna is composed of il- necessary -x meaning always and -na affirmative so all together it means 'Yes it is always necessary') the Mam word -at- means 'there is' coupled with the enclitic -na (atna) means 'Yes there is', suffix that derives the past participle from some verbs and the resulting word becomes descriptive of a noun, suffix that when added to a verb converts it to an adjective (ma kim means 'died' while jun kimna ek' means 'a dead chicken'), suffix that derives transitive stems that result in a verb that causes something else to happen (tz'iyna 'line up')@
@-naj@|@suffix that derives participles from verb stems (a participle is derived from a verb and makes a word that is partially a verb and partially an adjective)@
@-naje'@|@suffix meaning repetitive@
@-naq@|@suffix that indicates that the action referred to is already completed (tz'eynaq - burned)@
@-nax@|@suffix that derives directions from intransitive verbs of motion (kub' means 'go down' while kub'nax means 'down')@
@-ne@|@suffix that derives transitive stems that cause something to happen (q'ax 'fire' - q'axne 'warm oneself by a fire')@
@-ni@|@suffix that when added to a verb converts it to an adjective (ma kim means 'died' while jun kimni ek' means 'a dead chicken'), suffix that indicates the action referred to has already been completed (kyimni - dead)@
@-njts@|@suffix that occurs in phrases withous directional verbs and indicates the passive voice (tu'n tk'onjts that it be given comes from tu'n that t- which indicates the third person singular and k'o- to give)@
@-njtz@|@suffix indicating a passive action and indicates loss of control or a lack of control of the action by the agent (b'iyol means 'to kill' while b'iyonjtz means 'be killed' for instance 'They were afraid that they might be killed') @
@-o@|@transitive stem formative vowel@
@-oj@|@relational noun meaning inside of (functions with third persons only), suffix that is added to an adjective (along with the first consonant of the adjective) to mean that an object has the quality indicated by the adjective but in moderation (saq means 'white' while saqsoj means 'moderately white' or 'whitish') it is used mostly with colors flavors and scents, suffix which forms measure words (any short vowel plus the suffix -j forms measure words because the measure suffix -ij changes it's vowel to agree with the root word with very few exceptions)@
@-oktz@|@directional enclitic adding the meaning in toward@
@-okx@|@directional enclitic adding the meaning in away@
@-ol@|@suffix used with radical transitive verbs (jaqol unplug or to remove the cover)@
@-otoq@|@marker describing continued past actions@
@-pa@|@interrogative suffix that indicates yes or no questions when suffixed to the first word in a sentence (Atpa weyaj? are you hungry? B'a'npala will it be good?), suffix meaning even (He didn't even see me)@
@-pe@|@clitic indicating a question@
@-pi@|@suffix that derives transitive stems from positional roots (as well as affect and transitive roots) where the verb produced implies that an action was done forcefully or suddenly to something that was in the position described by the root@
@-pin@|@directional enclitic meaning arriving (over) there@
@-pj@|@suffix used after non-possessed nouns@
@-pu@|@suffix that derives transitive stems from positional roots (as well as affect and transitive roots) where the verb produced implies that an action was done forcefully or suddenly to something that was in the position described by the root (jilin means 'slippery' jilpul means 'to slip or slide on a surface') @
@-pun@|@directional enclitic meaning arriving (over) there@
@-qa@|@emphatic person marker for the first person plural (we) that apppears attached to the end of the verb (ma qo b'etqa - we walked)@
@-qe'@|@plural third person suffix turning a noun or adjective into a stative verb@
@-qeye'@|@plural second person suffix turning a noun or adjective into a stative verb, you (all)are@
@-qine'@|@singular first person suffix turning a noun or adjective into a stative verb@
@-qo'@|@inclusive plural first person suffix turning a noun or adjective into a stative verb, we are (inclusive)@
@-qoye'@|@exclusive plural first person suffix turning a noun or adjective into a stative verb, we are (exclusive)@
@-sa@|@suffix that can turn adjectives into intransitive verbs denoting the provocation of an action or causation of a change in the state of being see chewsal (xhob' means 'to fear' but xhob'sa means 'to cause to fear' or 'to threaten' the Mam word sak means 'white' but saksa means 'to cause to be white' or 'to make white' and b'et means 'to walk' while xi' tb'etsa'n means 'sent or directed him' or literally 'made him or her or it walk' the 'n is a directional marker that is present because xi' is a directional meaning 'to go'), suffix -sa changes to -s when the passive marker -et is present thus becoming -set (oq'sa'n means 'lamented' oq'set means 'was lamented') @
@-sa'n@|@suffix for causitives or sentences that contain two verbs as in 'Bill made John cry' (oq'sa'n 'to make cry'), this suffix forms a transitive verb from an adjective and indicates making something with the quality of the adjective (che'w means 'cold' while kub' tchewsa'n means 'chill it')@
@-san@|@suffix that indicates the cause of the action@
@-set@|@this is the combination of -sa a causitive suffix and -et a passive suffix they form transitive verbs from other kinds of words - a causitive tells what provoked the action and the passive is used to give more prominence to the object and less to the subject of a phrase (K'okoj te kulxh nkux tz'q'ajset tmoj chib'aj It is very tasty- 'k'okoj -the leaf of the wild cabbage cooked-tz'q'ajset -with meat)@
@-t@|@suffix indicating a process (yab' sick yab't to get sick), suffix that appears with one syllable stems and indicates passive voice, suffix added to a verb to add emphasis or force (cheb'a b'inchankub'ta - make it slowly! - cheb'a means 'slowly' - b'incha means 'make' - the n makes the verb a command, kub' is a directional meaning 'down' - t is the suffix making this an emphatic verb - a is the second person singular enclitic indicating that the verb is directed to you)@
@-t-@|@verb stem meaning to be somewhere (atine tuja I am in the house ata tuja you are in the house)@
@-ta@|@emphatic person marker for the second and third person singular that is attached to the end of the verb (ma b'etta means 'you walked' while ma b'etta xjal means 'the person walked' he or she)@
@-taq@|@perfective in a sentence (a completed action is noted by the perfective), in a dependent clause it is recent perfective (recently completed)@
@-ten@|@in an independent clause this can mean that an action has begun it is usually prefixed by a directional (sokten 'he has begun' or 'he has started')@
@-til@|@verbal enclitic that relates to an action that occurs after another prior action, and then, and now (Ja ma txa'ya'tila? And now where are you going?)@
@-tl@|@other, suffix that can be added to nearly any word and means 'another' or 'again', suffix that derives a noun stem from a root (aq'un is the root for work while aq'untl means 'occupation' or 'job' or even 'work' as a noun)@
@-toq@|@marker used to describe ongoing or habitual or repeated actions showing that the action or event is in progress at the time of speaking or at the time that another event occurs whether in the past or present or future @
@-tu'nj@|@functions as a reason clause in other words it introduces the reason why something is as it is an example He is here because he wants work because being the reason clause@
@-tu'ntzan@|@introduces a purpose clause, to, in order to@
@-txa'n@|@at the edge of (used only with the third persons), at the extremity of (used only with the third persons)@
@-txi@|@suffix added to adverbs to make them past tense@
@-txlaj@|@along side, at the side of, beside@
@-tz@|@toward, directional enclitic meaning from (over) there to (over) here (ma tz'oktz wi'na - I brought it inside), an augmentative used with adjecives (nintz tnam 'a very big city' comes from nim 'a lot' and the suffix -tz), suffix that turns a verbal statement into a command (lipa is a verb root that means 'fly' - lipatz means 'go fly!')@
@-tzan@|@enclitic meaning then or well, then, well@
@-tzen@|@then, well@
@-tzi@|@at the edge of (used only with the third persons), at the entrance of (used only with the third persons), at the extremity of (used only with the third persons)@
@-tzi'@|@at the entrance of@
@-tzun@|@an enclitic that is added to the verb in the last part of a sentence it is used to indicate an action that happens immediately after another action, then, and after that@
@-tzuntz@|@an enclitic that is added to the verb in the last part of a sentence it is used to indicate an action that happens immediately after another action, then, and after that (Nel toj taq'in nanjtzuntz He went after leaving his work)@
@-tzyu-@|@grab (transitive verb root)@
@-u@|@transitive stem formative vowel where the root vowel is u@
@-u'l@|@directional enclitic meaning arriving here@
@-u'n@|@is a relational noun that functions as an agent a causitive a clause of purpose or an instrument@
@-uj@|@in, suffix which forms measure words (any short vowel plus the suffix -j forms measure words because the measure suffix -ij changes it's vowel to agree with the root word with very few exceptions)@
@-uk'al@|@a relational noun that functions as an instrument (denotes the instrument or means by which action is accomplished) or a comitative (denotes accompaniment), with@
@-uk'il@|@can function as a commitive a comparitive or an instrumental, carries the meaning of with@
@-wa@|@derives transitive stems from noun roots and involves application of the subject or idea (si' means 'firewood' while si'wa means 'gather firewood'), emphatic person marker for the first person singular that apppears attached to the end of the verb (ma chin b'etwa - I walked)@
@-wi@|@suffix that can sometimes indicate the process of getting something@
@-wi'@|@on top of (used only with the third persons), above (used only with the third persons), on, at the tip of@
@-witz@|@in front of, on the surface of, on top of, on, introduces a comparative clause and can only be used with the third person singular or plural in Juego A (an example B'a'nxch'intl ja lu twitz juntl - This house is better than that one)@
@-wnaq@|@added to a number relates to days@
@-x@|@away, go, enclitic meaning always, still, only, the same (kyu'nxla xjal means 'by the same person'), directional enclitic meaning from here to (over) there, suffix that when added to the number roots 5 and 7 converts the numbers into a future adverbs (jwe' means 'five' ob'x means 'in five days' while wuq means 'seven' and wuqub'x or qub'x means 'in seven days')@
@-xe@|@means at the bottom of but it only works with the third persons@
@-xel@|@instead of@
@-xi'@|@suffix added to adverbs to put them in the future tense@
@-xi'x@|@very, xi'x is the superlative of an adjective it indicates greater intensity (saq means 'white' while saqxi'x means 'very white'), suffix added to adverbs to describe an action taking place today@
@-xix@|@very, the enclitic -xix is the superlative of an adjective it indicates greater intensity ('nim' means 'a lot' 'nimxix' means 'a whole lot'), very ('pin' means thick 'pinxix' means very thick)@
@-xol@|@among (this works only with the third persons)@
@-xsa@|@suffix that strengthens adjectives chekaxsa 'very beautiful'@
@-ya@|@an enclitic added to a word that ends in a vowel showing possession by the second person singular@
@-yal@|@suffix occurring with nouns adjectives and numbers that are possessed and indicates that the possessed noun belongs in a special way to that which possesses it (tmyal his daughter comes from me'jb'aj or me'al daughter of a man with the possessive prefix t- and suffix -yal and dropping the e'jb'aj or e'al from the root)@
@-ye@|@an enclitic added to a root ending with a vowel to indicate possession @
@-ye'@|@an enclitic that is added to certain nouns to show possession of that noun@
@-yil@|@suffix occurring with nouns adjectives and numbers that are possessed and indicates that the possessed noun belongs in a special way to that which possesses it (tab'q'iyil his or her birthday or age comes from ab'q'i age with the possessive prefix t- and suffix -yil the word tab'q'i by itself also means birthday)@
@a@|@is (exists), are (A qo'ya - we are or we exist), the (A tnejel xinaq 'the first man'), this (with a stative base - A xu'j nyolin - This woman is speaking), that (with a stative base), the one that, that one, to be, personal pronoun third person singular, he, she, it is, he is, she is, demonstrative particle used to indicate that person animal or object from the point of reference of the speaker, at the beginning of a sentence preceding a nominal syntax the a performs the function of an emphatic particle, kind of like saying to be the one that performed a certain action, exclamation meaning don't bother me@
@a'@|@water, water in its natural state, river, egg that does not germinate, dished in place on a grinding stone@
@a' tuj k'uj@|@diarrhea@
@A' twitz@|@thin, liquid used to thin something thick@
@a'jal@|@return from a specific point@
@a'jal-@|@return from a specific point@
@a'jan@|@housefly@
@a'jin@|@green fly@
@a'l@|@who?, this interrogative particle [meaning who?] takes the initial position in a sentence@
@a'la'j@|@tender, young@
@a'la'j rit@|@young calf@
@a'la-@|@use water@
@a'la ete@|@wonder whose this is, wonder who this belongs to@
@a'laj@|@immature fruit, green fruit, tender, young, used to describe something that is fragile or delicate and easy to break@
@a'laj chenaq'@|@bean@
@a'lajchenaq'@|@green beans (ejote)@
@a'lajix@|@to become green, tender@
@a'lajtze'@|@soft wood, the state of growth of a tree at the time of cuting and sawing for use in construction@
@a'lajx@|@still green, still tender, unripe@
@a'lajxjaw@|@new moon@
@a'lajyaya@|@new moon@
@a'lakye@|@wonder who@
@a'lakyete@|@who will it be?@
@a'lal@|@to raise@
@a'lan@|@raising@
@a'lb'aj@|@my child@
@a'lchaqxtz@|@whatever@
@a'lchi@|@Who said?@
@a'lil@|@to water, to water something such as a plant, to spill water, to irrigate@
@a'lin@|@watering, sprinkling@
@a'lix@|@everything, a word that indicates the totality of a group of things or set of things@
@a'lixjo@|@all, expression of admiration as in I carried all this, expression of awe meaning all this!, particle meaning all@
@a'lixju@|@all of it@
@a'lkye@|@who?@
@a'lkyechaq@|@who all?, which ones?@
@a'lpakye@|@Who?@
@a'lpaqu'n@|@Who was it?@
@a'lquk'al@|@With whom?@
@a'lumaj@|@animals that are commonly domesticated such as the cat dog chicken horse cow etc never a domesticated wild animal@
@a'lx@|@too much!@
@a'lxjo@|@too much (to many words)@
@a'mb'il@|@a container into which something is poured so as to move it to another container especially the grains that are kept in another receptacle@
@a'n@|@exclamation meaning don't bother me, housefly@
@a'nwa@|@exclamation meaning oh or oh no!@
@a'ny@|@exclamation meaning what a shame@
@a'o'@|@we (exclusive), independent pronoun first person plural exclusive@
@a'panaj@|@impossible@
@a'twitz@|@thin [liquid]@
@a'tz'a@|@salt@
@a'watz@|@tamalito wrap (like corn husks or plantain leaves)@
