@English@|@Irish Gaelic@
@anaemic@|@neamhfholach@
@anaesthetic@|@ainéistéiseach@
@analogous@|@analógach@
@analogue@|@analóg@
@analyse@|@déan anailís@
@anarchy@|@ainriail@
@anatomy@|@anatamaíocht@
@ancestor@|@sinsear@
@anchor@|@ancaire@
@ancient@|@ársa@
@ancillary@|@coimhdeach@
@and@|@agus@
@anecdote@|@scéilín@
@anemone@|@anamóine@
@anew@|@athuair@
@angel@|@aingeal@
@anger@|@fearg@
@angina@|@aingíne@
@angle@|@uillinn@
@angler@|@duánaí@
@Anglican@|@Anglacánach@
@Anglo-Irish@|@Angla-Éireannach@
@anguish@|@crá@
@angular@|@corrach@
@animal@|@ainmhí@
@animate@|@beo@
@aniseed@|@síol@
@ankle@|@murnán@
@annexe@|@fortheach@
@anniversary@|@cothrom@
@announce@|@fógair@
@annoy@|@buair@
@annual@|@bliantúil@
@annul@|@cealaigh@
@anonymous@|@gan ainm@
@anorak@|@anarac@
@anorexia@|@anaireicse@
@another@|@eile@
@answer@|@freagair, freagra, freagra@
@ant@|@seangán@
@antagonism@|@eascairdeas@
@antarctic@|@an tAigéan@
@antelope@|@antalóp@
@antenatal@|@réamhbheirthe@
@anthem@|@aintiún@
@anthropology@|@antraipeolaíocht@
@anti@|@frith@
@anti aircraft@|@frithaerárthach@
@anti semitism@|@frith-Ghiúdachas@
@antibiotic@|@frithbheathach@
@anticipate@|@bheith ag súil le rud@
@anticlimax@|@frithbhuaic@
@anticlockwise@|@tuathal@
@antics@|@geáitsí@
@anticyclone@|@frithchioclón@
@antidote@|@nimhíoc@
@antifreeze@|@frithreo@
@antihistamine@|@frith-hiostaimín@
@antinuclear@|@frithnúicléach@
@antiquarian@|@seanda@
@antique@|@seanaimseartha@
@antiquity@|@seandacht@
@antiseptic@|@frithsheipteán@
@antisocial@|@seachantach@
@antithesis@|@fritéis@
@antlers@|@beanna@
@antrim@|@Aontroim@
@anvil@|@inneoin@
@anxiety@|@imní@
@any@|@aon@
@any news@|@aon sceal@
@anybody@|@aon duine@
@anyhow@|@ar scor ar bith@
@anything@|@aon rud@
@anytime@|@am ar bith@
@anyway@|@ar aon chaoi@
@anywhere@|@áit ar bith@
@apart@|@i leataobh@
@apartheid@|@cinedheighilt@
@apathetic@|@fuarchúiseach@
@ape@|@ápa@
@apéritif@|@greadóg@
@apex@|@buaic@
@apiece@|@an duine@
@apology@|@leithscéal@
@apostle@|@aspal@
@apostrophe@|@uaschamóg@
@appal@|@scanraigh@
@apparatus@|@gléas@
@apparel@|@feisteas@
@apparent@|@follasach@
@appeal@|@achomharc@
@appear@|@nocht@
@appease@|@ceansaigh@
@appendage@|@scibirlín@
@appendix@|@aipindic@
@appetite@|@goile@
@applaud@|@tabhair bualadh bos@
@apple@|@úll@
@appliance@|@fearas@
@apply@|@cuir le@
@appoint@|@ceap@
@appointment@|@ceapachán@
@apportion@|@roinn@
@appraisal@|@measúnacht@
@appreciate@|@is maith leis sin@
@apprehensive@|@faithíosach@
@apprentice@|@printíseach@
@approach@|@druid le@
@appropriate@|@tráthúil@
@approve@|@aontaigh le@
@approximate@|@cóngarach@
@apricot@|@aibreog@
@april@|@Aibreán@
@April@|@Aibreán@
@apron@|@naprún@
@apt@|@feiliúnach@
@aptitude@|@éirim@
@aquarius@|@An tUisceadóir@
@aquatic@|@mara@
@arab@|@Arabach@
@arable@|@curaíochta@
@aran islands@|@Oileáin@
@arbitrary@|@ar togradh@
@arc@|@stua@
@arcade@|@stuara@
@arch@|@áirse@
@archaeology@|@seandálaíocht@
@archbishop@|@ardeaspag@
@archery@|@boghdóireacht@
@archipelago@|@oileánrach@
@architecture@|@ailtireacht@
@archives@|@cartlann@
@ardent@|@gorthach@
@area@|@leithead@
@arena@|@airéine@
@argentina@|@An Airgintín@
@argue@|@áitigh@
@arid@|@tirim@
@aries@|@An Reithe@
@arise@|@éirigh@
@aristocrat@|@uasal@
@arithmetic@|@uimhríocht@
@ark (Noah’s Ark)@|@Áirc@
@arm@|@géag@
@armagh@|@Ard Mhacha@
@armaments@|@airm@
@armchair@|@cathaoir@
@armistice@|@sos@
@armour@|@cathéide@
@armpit@|@ascaill@
@army@|@arm, arm@
@aroma@|@dea-bholadh@
@around@|@timpeall, timpeall@
@arouse@|@múscail@
@arrange@|@socraigh@
@arrangement@|@eagar, socrú@
@array@|@mustar@
@arrears@|@riaráiste@
@arrest@|@gabh@
@arrival@|@teacht@
@arrogant@|@díomasach@
@arrow@|@saighead@
@arse@|@tóin@
@arsenal@|@armlann@
@arsenic@|@arsanaic@
@arson@|@coirloscadh@
@art@|@ealaín@
@art gallery@|@dánlann@
@artery@|@cuisle@
@arthritis@|@airtríteas@
@artic@|@Artach@
@artichoke@|@bliosán@
@article@|@airteagal@
@articulate@|@glinn@
@articulated lorry@|@leoraí@
@artificial@|@saorga@
@artist@|@ealaíontóir@
@as far as we know@|@go bhfios dúinn@
@asbestos@|@aispeist@
@ascend@|@ardaigh@
@ascertain@|@fionn@
@ascribe@|@rud a chuir síos do dhuine@
@ash@|@luaith@
@ash wednesday@|@Céadaoin@
@ashamed@|@náirithe@
@ashen@|@bhí dath an bháis air@
@ashore@|@i dtír@
@ashtray@|@luaithreadán@
@asia@|@An Áise@
@aside@|@leataobh@
@ask@|@iarr ar@
@asleep@|@tá sé ina chodladh@
@asparagus@|@lus@
@aspect@|@aghaidh@
@aspersions@|@bheith ag caitheamh spíde ar@
@asphalt@|@asfalt@
@aspire@|@rud a bheith mar aidhm agat, tnúth le rud@
@aspirin@|@aspairín@
@ass@|@asal@
@assailant@|@ionsaitheoir@
@assassinate@|@feallmharaigh@
@assault@|@ionsaí@
@assemble@|@bailigh@
@assent@|@aontú@
@assert@|@dearbhaigh@
@assess@|@measúnaigh@
@asset@|@sócmhainn@
@assign@|@ainmnigh@
@assimilate@|@comhshamhlaigh@
@assist@|@cuidigh le@
@associate@|@compháirteach@
@assortment@|@éagsúilacht@
@assume@|@glac le@
@assure@|@cinntigh@
@asthma@|@asma@
@astonish@|@alltacht@
@astray@|@amú@
@astrology@|@astralaíocht@
@astute@|@géarchúiseach@
@asylum@|@teach na ngealt@
@at@|@ag@
@at her@|@aici@
@at him@|@aige@
@at me@|@agam@
@at present@|@faoi láthair@
@at them@|@acu@
@at us@|@againn@
@at you@|@agaibh, agat@
@atheist@|@aindiachaí@
@athens@|@An Aithin@
@athlete@|@lúthchleasaí@
@atlantic@|@Atlantach@
@atlas@|@atlas@
@atmosphere@|@atmaisféar@
@atom@|@adamh@
@atone@|@leorghníomh@
@atrocity@|@ainghníomh@
@attach@|@rud a cheangal@
@attack@|@ionsaigh@
@attain@|@sroich@
@attempt@|@iarr, iarracht, iarraidh@
@attend@|@freastail@
@attention@|@aire, aire, intinn@
@attest@|@fianaise a dhéanamh le@
@attested@|@dearfa@
@attic@|@áiléar@
@attitude@|@gotha@
@attorney@|@aturnae@
@attorney general@|@Ard-Aighne@
@attract@|@tarraing@
@attribute@|@airí@
@aubergine@|@ubhthoradh@
@auction@|@ceant@
@audacious@|@dána@
@audible@|@inchloiste@
@audience@|@lucht@
@audit@|@iniúchadh@
@audition@|@triail@
@auditor@|@iniúchóir@
@auditorium@|@halla@
@augur@|@is maith an tuar é@
@august@|@Lúnasa@
@August@|@Mí Lúnasa@
@aunt@|@aint, aintín@
@auspicious@|@fabhrach@
@australia@|@An Astráil@
@austria@|@An Ostair@
@authentic@|@barántúil@
@author@|@údar@
@authority@|@ceannas, cumhacht, údarás@
@auto@|@féin@
@autobiography@|@féinbheathaisnéis@
@autograph@|@síniú@
@automate@|@uathoibrigh@
@automobile@|@gluaisteán@
@autonomy@|@féinriail@
@autopsy@|@scrúdú@
@autumn@|@fómhar, Fómhar@
@auxiliary@|@cúnta@
@avail@|@úsáid a bhaint as rud@
@available@|@ar fáil@
@avenge@|@díoltas@
@avenue@|@aibhinne@
@average@|@meán@
@aversion@|@drogall@
@avert@|@iompaigh ó@
@aviary@|@éanlann@
@avocado@|@abhcóide@
@avoid@|@seachain@
@await@|@fan le@
@awake@|@múscailte@
@award@|@duais@
@aware@|@is eol dom iad@
@away@|@imithe@
@awe@|@uamhan@
@awful@|@uafásach@
@awhile@|@nóiméad@
@awkward@|@anásta@
@awry@|@cearr@
@axe@|@tua@
@axis@|@ais@
@axle@|@fearsaid@
@ay(e)@|@sea@
@babble@|@bheith ag cabaireacht@
@baboon@|@banún@
@baby@|@leanbh@
@baby carriage@|@pram@
@bachelor@|@fear singil@
@back@|@cúl, droim, droim@
@back number@|@seanuimhir@
@back pay@|@riaráiste@
@backbencher@|@cúlbhinseoir@
@backbiting@|@cúlchaint@
@backbone@|@cnámh@
@backdate@|@réamhdhátaigh@
@backdrop@|@cúlbhrat@
@backfire@|@cúltort@
@background@|@cúlra, duchas@
@backhand@|@cúlbhuille@
@backing@|@tacaíocht@
@backlash@|@frithbhualadh@
@backlog@|@riaráiste@
@backpack@|@mála droma@
@backside@|@tóin@
@backspace@|@cúlspás@
@backstage@|@ar chúl stáiste@
@backstroke@|@snamh droma@
@backup@|@tacaíocht@
@backward@|@siar@
@backwater@|@iargúil@
@backyard@|@clós@
@bacon@|@bagun, bagún@
@bacteria@|@baictéir@
@bad@|@olc, olc@
@badge@|@suaitheantas@
@badger@|@broc@
@badminton@|@badmantan@
@baffle@|@mearaigh@
@bag@|@mála, mála@
@bagpipes@|@píb@
@bail@|@bannaí@
@bailiff@|@báille@
@bait@|@baoite@
@bake@|@bácáil@
@baked beans@|@pónairí@
@balance@|@cóimheá@
@balckberry@|@sméar@
@balcony@|@balcóin@
@bald@|@maol@
@bale@|@corna@
@ball@|@liathróid@
@ball bearings@|@gráinní@
@ballad@|@bailéad@
@ballet@|@bailé@
@balloon@|@balún@
@ballot@|@ballóid@
@ballpoint@|@badrhó@
@ballroom@|@bálseomra@
@balm@|@íocshláinte@
@baltic sea@|@Muir Bhailt@
@bamboo@|@bambú@
@ban@|@cosc@
@banana@|@banana@
@band@|@banda@
@bandage@|@bindealán@
@bandit@|@meirleach@
@bandy@|@malartaigh@
@bang@|@pléasc@
@banish@|@díbir@
@banister@|@balastar@
@banjo@|@bainseo@
@bank@|@banc@
@bank account@|@cuntas bainc@
@bank card@|@cárta baincéara@
@bank holiday@|@saoire bainc@
@bankrupt@|@féimheach@
@banner@|@bratach@
@banns@|@fógairt@
@banquet@|@feeasta@
@banshee@|@bean@
@baptise@|@baist@
@bar@|@barra@
@bar code@|@barrachód@
@barbaric@|@barbartha@
@barbecue@|@barbaiciú@
@barbed wire@|@sreang@
@barber@|@bearbóir@
@barbiturate@|@barbatúráit@
@bare@|@nocht@
@bareback@|@droimnocht@
@barefaced@|@gan náire@
@barefoot@|@cosnochta@
@barely@|@ar éigean@
@bargain@|@margadh@
@barge@|@báirse@
@bark@|@coirt@
@barley@|@eorna@
@barley sugar@|@eornóg@
@barmaid@|@cailín beáir@
@barman@|@feor beáir@
@barn@|@scioból@
@barometer@|@baraiméadar@
@baron@|@barún@
@baroness@|@banbharún@
@baroque@|@barócach@
@barracks@|@beairic@
@barrage@|@baráiste@
@barrel@|@bairille@
@barren@|@aimrid@
@barricade@|@baracáid@
@barrier@|@bac@
@barrister@|@abhcóide@
@barrow@|@barra@
@bartender@|@freastalaí@
@barter@|@babhtáil@
@base@|@bun@
@baseball@|@baseball@
@basement@|@íoslach@
@bash@|@cnag@
@basic@|@bunúsach@
@basil@|@basal@
@basin@|@mias@
@basis@|@bun@
@bask@|@bolg le gréin a dhéanamh@
@basket@|@bascaed@
@basketball@|@cispheil@
@bass@|@dord@
@bassoon@|@basún@
@bastard@|@tuilí@
@bat@|@buailteoir@
@batch@|@dol@
@bath@|@folcadh@
@bath towel@|@tuáille folctha@
@bathe@|@folc@
@bathing costume@|@culaith@
@bathrobe@|@fallaing@
@bathroom@|@seomra folctha@
@baths@|@poll snámha@
@baton@|@baitín@
@batter@|@gread@
@battle@|@cath@
@battlefield@|@páirc an áir@
@battleship@|@cathlong@
@baud@|@bád@
@bawl@|@béic@
@bay@|@bá, cuan@
@bay leaf@|@duilleog@
@bay window@|@fuinneog@
@bazaar@|@basár@
@be@|@cad é atá tú a dhéanamh@
@beach@|@trá, trá@
@beacon@|@solas@
@bead@|@coirnín@
@beak@|@gob@
@beaker@|@eascra@
@beam@|@maide@
@bean@|@pónaire@
@beansprouts@|@pónairí@
@bear@|@béar@
@bear (to)@|@fulaing@
@beard@|@féosóg@
@beast@|@ainmhí, péist@
@beat@|@bualadh@
@beauty@|@áilleacht@
@beaver@|@béabhar@
@becalm@|@ciúnaigh@
@because@|@cionn is go, óir, óir@
@beck@|@bheith ar teaghrán ag duine@
@beckon@|@sméid@
@become@|@éirigh@
@become gree@|@glasaigh@
@become pregnant@|@iompar cloinne@
@bed@|@leaba@
@bed and breakfast@|@leaba agus bricfeasta@
@bedclothes@|@éadaí@
@bedraggled@|@míshlachtmhar@
@bedridden@|@cróilí@
@bedroom@|@seomra leapa@
@bedside@|@ag colbhna na leapa ag duine@
@bedsitter@|@seomra suí is leapa@
@bedspread@|@scaraoid@
@bedtime@|@am luí@
@bee@|@beach@
@beech@|@fáilbhile@
@beef@|@mairteoil@
@beefburger@|@martbhorgaire@
@beehive@|@coirceog@
@beeline@|@tarraingt caol díreach ar@
@beer@|@beoir@
@beet@|@biatas@
@beetle@|@ciaróg, cíaróg@
@beetrood@|@meacan@
@before@|@roimh@
@before long@|@roimh i bhfad@
@beg@|@bheith ag iarraidh na déirce@
@begin@|@tosaigh@
@beginning@|@tosú@
@behalf@|@thar ceann duine@
@behave@|@iompair@
@behead@|@dícheann@
@behind@|@taobh thiar de@
@behold@|@féach@
@beige@|@béas@
@beijing@|@Beijing@
@being@|@neach@
@beirut@|@Béarút@
@belated@|@deireanach@
@belch@|@brúcht@
@belfast@|@Béal Feirste@
@belfry@|@cloigtheach@
@belgium@|@An Bheilg@
@belie@|@bréagnaigh@
@belief@|@barúil@
@belittle@|@déan a bheag de@
@bell@|@clog@
@belligerent@|@trodach@
@bellow@|@búir@
@belly@|@bolg, bolg@
@belong@|@is liomsa sin@
@beloved@|@ionúin@
@below@|@faoi bhun, thíos@
@belt@|@crios@
@belwo@|@thíos@
@bemused@|@trí chéile@
@bench@|@binse@
@bend@|@lúb@
@beneath@|@thíos@
@benefactor@|@pátrún@
@benefit@|@sochar@
@benelux@|@Benelux@
@benevolent@|@dea-mhéineach@
@benign@|@caoin@
@bent@|@cam, cam@
@bequeath@|@tiomnaigh@
@bequest@|@tiomnacht@
@bereave@|@bain de@
@beret@|@bairéad@
@berlin@|@Beirlín@
@berry@|@caor@
@berserk@|@dul ar steallaí mire@
@berth@|@leaba@
@beseech@|@agair ar@
@beset@|@sáinnigh@
@beside@|@in aice@
@besiege@|@cuir faoi léigear@
@best@|@is fearr@
@best man@|@finné fir@
@bestow@|@rud a bhronnadh ar dhuine@
@bestseller@|@leabhar mór-éilimh@
@bet@|@geall@
@betray@|@braith@
@better@|@fearr, níos fearr@
@between@|@idir@
@betwen@|@idir@
@beverage@|@deoch@
@beware@|@aire duit, seachain@
@bewildered@|@ar mearbhall@
@beyond@|@ar an taobh thall@
@bias@|@claonadh@
@bib@|@bráidín@
@bible@|@Bíobla@
@bicarbonate of soda@|@décharbónáit@
@biceps@|@bícéips@
@bicker@|@bheith ag cnádánacht faoi rud@
@bicycle@|@rothar, rothar@
@bid@|@tairiscint@
@bide@|@fanacht le cóir@
@bifocals@|@défhócasaigh@
@big@|@mór@
@big top@|@ollphunball@
@bigamy@|@biogamacht@
@bigger@|@mó@
@bigheaded@|@sotalach@
@bigot@|@biogóid@
@bike@|@rothar@
@bikini@|@bicíní@
@bilateral@|@déthaobhach@
@bilingual@|@dátheangach@
@bill@|@bille@
@billboard@|@clár@
@billet@|@billéad@
@billfold@|@sparán@
@billiards@|@billéardaí@
@bin@|@bruscair@
@binary@|@dénártha@
@bind@|@ceangail@
@binge@|@ragús@
@bingo@|@biongó@
@binoculars@|@déshúiligh@
@biochemistry@|@bithcheimic@
@biogradeable@|@bith-indíghrádaithe@
@biography@|@beathaisnéis@
@biology@|@bitheolaíocht@
@biorhythm@|@bithrithim@
@biotechnology@|@bith-theicneolaíocht@
@birch@|@beith@
@bird@|@éan, éan@
@bird watcher@|@éanfhairtheoir@
@birds eye view@|@radharc anaus@
@biro@|@badhró@
@birth@|@breith@
@birth certificate@|@teastas@
@birth control@|@frithghiniúint@
@birth rate@|@ráta beireatais@
@birthday@|@breithlá@
@birthplace@|@an áit ar rugadh mé@
@biscuit@|@briosca@
@bishop@|@easpag@
@bit@|@giota@
@bitch@|@bitseach@
@bitch (dog)@|@soith@
@bite@|@bain greim@
@biter@|@searbh@
@bitter@|@goirt@
@bizarre@|@aisteach@
@blab@|@bheith ag clabaireacht@
@black@|@dubh@
@black coffee@|@caife dubh@
@black ice@|@oighear dubh@
@black market@|@an margadh dubh@
@black sea@|@An Mhuir Dubh@
@black sheep@|@coilíneach@
@blackberry@|@sméar@
@blackbird@|@ion dubh, lon dubh@
@blackboard@|@clár dubh@
@blackcurrant@|@cuirín dubh@
@blacken@|@dubhaigh@
@blackleg@|@cúl le stailc@
@blacklist@|@liosta dubh@
@blackmail@|@dúmhál@
@blackout@|@lánmhúchadh@
@blacksmith@|@gabha@
@blackspot@|@ionad timpiste@
@bladder@|@lamhnán@
@blade@|@lann@
@blame@|@locht@
@blancmange@|@bánghlothach@
@bland@|@tur@
@blank@|@bán@
@blank cheque@|@seic bán@
@blanket@|@blaincéad@
@blare@|@búir@
@blaspheme@|@maslaigh@
@blast@|@rois@
@blastoff@|@scaoileadh@
@blatant@|@lom dearg@
@blaze@|@lasair@
@bleach@|@bléiste@
@bleak@|@sceirdiúil@
@bleat@|@bheith ag méileach@
@bleed@|@bain@
@bleeper@|@blípire@
@blemish@|@ainimh@
@blend@|@cumasc@
@bless@|@beannaigh@
@blight@|@smol@
@blimey@|@a thiarcais@
@blind@|@caoch@
@blind corner@|@coirnéal caoch@
@blind spot@|@caochspota@
@blindfold@|@púicín@
@blink@|@preab@
@bliss@|@aoibhneas, fáilte@
@blister@|@spuaic@
@blizzard@|@síobadh@
@bloated@|@ata séidte@
@blob@|@daba@
@block@|@bloc@
@block capitals@|@bloclitreacha@
@block of flats@|@áraslann@
@bloke@|@diúlach@
@blond@|@fionn@
@blood@|@fuil@
@blood doner@|@deontóir fola@
@blood group@|@fuilghrúpa@
@blood poisoning@|@nimhiú fola@
@blood pressure@|@brú fola@
@blood test@|@triail fola@
@blood vessel@|@fuileadán@
@bloodhound@|@cú fola@
@bloodless@|@gan fuil@
@bloodshed@|@ár doirteadh fola@
@bloodshot@|@sreangach@
@bloodstream@|@sruth fola@
@bloodthirsty@|@fuilteach@
@bloody minded@|@cadránta ceanndána@
@bloom@|@bláth, bláth@
@blot@|@smál@
@blouse@|@blús@
@blow@|@buille, buille@
@blowlamp@|@séidlampa@
@blowout@|@polladh@
@blue@|@gorm@
@bluebell@|@cloigín gorm@
@bluebottle@|@cuil@
@blueprint@|@bunphlean@
@bluff@|@bhí sé ag cur i gcéill@
@blunder@|@botún@
@blunt@|@giorraisc@
@blur@|@dusma@
@blurb@|@blurba@
@blush@|@dearg@
@blustery@|@stamhlaí@
@boar@|@collach@
@board@|@clár@
@board room@|@seomra comhairle@
@boarder@|@scoláire@
@boarding house@|@teach lóistín@
@boarding pass@|@cárta pas@
@boarding school@|@scoil chónaithe@
@boast@|@maíomh@
@boat@|@bád, bád@
@bob@|@damhsaigh@
@bobsleigh@|@car sleamhnáin@
@body@|@corp@
@body building@|@corpdhéanamh@
@body stocking@|@stoca cabhlach@
@bodyguard@|@garda cosanta@
@bodywork@|@cabhalra@
@bog@|@portach@
@bogus@|@bréagach@
@boil@|@beirigh@
@boiled egg@|@ubh bhruite@
@boiled potatoes@|@prátaí@
@boiler@|@coire@
@boiling point@|@pointe fiuchta@
@boisterous@|@gleoiréiseach@
@bold@|@dána@
@bollard@|@mullard@
@bolster@|@neartaigh le@
@bolt@|@bolta@
@bomb@|@buama@
@bomb disposal unit@|@aonad diúscartha buamaí@
@bona fide@|@bona fide@
