@English@|@Armenian@
@decision@|@áñáßáõÙ, í×Çé, í×éáõÙ@
@decisive@|@áñáßáÕ, í×é³Ï³Ý@
@deck@|@ï³Ëï³Ï³Ù³Í@
@declaration@|@Ñ³Ûï³ñ³ñáõÃÛáõÝ@
@decorate@|@½³ñ¹³ñ»É@
@decorative@|@·»Õ³½³ñ¹³ÛÇÝ, ½³ñ¹³ñÇÏ@
@decrease@|@Çç»óáõÙ, ó³Íñ³óáõÙ@
@decree@|@Ññ³Ù³Ý³·Çñ@
@decrepit@|@½³é³ÙÛ³É, Ë³ñËáõÉ@
@deduce@|@¹áõñë Ñ³Ý»É@
@deduct@|@å³Ñ»É@
@deep@|@Ëáñ, ËáñáõÝÏ, Ùáõ· §·áõÛÝ¦, ó³Íñ §Ó³ÛÝ¦@
@deep into@|@¹»ÑÇ@
@deer@|@»ÕÝÇÏ, »Õç»ñáõ@
@defeat@|@å³ñïáõÃÛáõÝ@
@defect@|@Ã»ñáõÃÛáõÝ@
@defence@|@å³ßïå³Ý, å³ßïå³ÝáõÃÛáõÝ@
@defenceless@|@³Ýå³ßïå³Ý, ³Ýû·Ý³Ï³Ý@
@defendant@|@³Ùµ³ëï³ÝÛ³É, Ù»Õ³¹ñÛ³É@
@defensive@|@å³ßïå³Ý³Ï³Ý@
@defer@|@»ñÏ³ñ³Ó·»É@
@define@|@Ýß³Ý³Ï»É, áñáß»É, ë³ÑÙ³Ý»É@
@definition@|@áñáßáõÙ, ë³ÑÙ³ÝáõÙ@
@deform@|@Ë»Õ³ÃÛáõñ»É@
@deformation@|@Ó»õ³Ë³ËïáõÙ@
@deformed@|@ÃÛáõñÇÙ³óáõÃÛáõÝ@
@degree@|@³ëïÇ×³Ý@
@deify@|@³ëïí³Í³óÝ»É@
@delay@|@Ñ»ï³Ó·áõÙ, ï³ñÏ»ïáõÙ, áõß³óáõÙ, áõß³óÝ»É@
@delegate@|@å³ï·³Ù³íáñ@
@delegation@|@å³ï·³Ù³íáñáõÃÛáõÝ@
@delete@|@çÝç»É@
@deliberate@|@¹Çï³íáñÛ³É@
@delicacies@|@Ñ³Ù»Õ áõï»ÉÇù, ù³Õóñ³í»ÝÇù@
@delight@|@µ»ñÏñ³Ýù, ÑÇ³óáõÙ@
@delirium@|@½³é³Ýó³Ýù@
@deliver@|@µ»ñ»É@
@deliverance@|@³½³ïáõÃÛáõÝ@
@deliverer@|@³½³ï³ñ³ñ@
@delivery@|@Ù³ï³Ï³ñ³ñáõÙ@
@demand@|@å³Ñ³Ýç, å³Ñ³Ýç³ñÏ@
@democracy@|@¹»ÙáÏñ³ïÇ³, ÅáÕáíÁñ¹³íáñáõÃÛáõÝ@
@democratic@|@¹»ÙáÏñ³ï³Ï³Ý@
@demolish@|@½³íÃ»É, ËÉ»É, ï³Ý»É, ù³Ý¹»É@
@demonstrate@|@óáõÛó@
@demonstration@|@óáõó³¹ñáõÃÛáõÝ, óáõó³¹ñáõÙ@
@demoralize@|@µ³ñáÛ³Éù»É@
@den@|@áñç@
@denote@|@Ýß³Ý³Ï»É@
@dens@|@ËÇï@
@dense@|@Ã³ÝÓñ@
@dentist@|@³ï³ÙÝ³µáõÅ@
@deny@|@µ³ó³é»É, ÅËï»É@
@depart@|@·Ý³É, »ï Ï³Ý·Ý»É, Ñ»é³Ý³É, Ññ³Å³ñí»É, ×³Ý³å³ñÑí»É, Ù»ÏÝ»É, Ù»éÝ»É, í³Ë×³Ýí»É@
@department@|@µ³ÅÇÝ@
@departure@|@×³Ý³å³ñÑáõÙ, Ù»ÏÝáõÙ, áõÕ³ñÏ»ÉÁ@
@deport@|@íï³ñ»É@
@deportation@|@³ùëáñ@
@deposit@|@¹Çñï, Ï³ÝË³í×³ñ, Ùñáõñ, Ýëïí³Íù, ï³Ï³Ýù@
@deposits@|@ÏáõÛï»ñ, Ïáõï³ÏÝ»ñ@
@depot@|@å³Ñ»ëï@
@depression@|@³ÝÏáõÙ, É×³óáõÙ@
@deprivation@|@½ñÏáõÙ@
@deprived@|@áõÝ»½áõñÏ@
@depth@|@ËáñáõÃÛáõÝ@
@deputy@|@å³ï·³Ù³íáñ@
@derelict@|@³Ý³å³ëï³Ý@
@descend@|@·Ý³É@
@descendant@|@Ñ»ïÝáñ¹@
@describe@|@óáõó³Ï³·ñ»É@
@description@|@ÝÏ³ñ³·ñáõÃÛáõÝ, ÝÏ³ñ³·ñáõÙ@
@desert@|@³Ý³å³ï, ·ó»É, Ý»ï»É@
@deserted@|@³Ý³å³ï³ÛÇÝ, ³ÝÙ³ñ¹³ñÝ³Ï@
@design@|@Ý³Ë³·ÇÍ@
@designate@|@Ýß³Ý³Ï»É@
@designation@|@ÝÇß, Ýß³Ý@
@desire@|@µ³ÕÓ³ÉÇ@
@desired@|@µ³ÕÓ³ÉÇ@
@desk@|@·ñ³ë»Õ³Ý@
@desktop@|@ë»Õ³ÝÇ@
@desperate@|@³Ý»É³Ý»ÉÇ@
@despite@|@Ñ³Ï³é³Ï@
@despondency@|@Ñáõë³Ñ³ïáõÃÛáõÝ, íÑ³ïáõÃÛáõÝ@
@despot@|@µéÝ³Ï³É@
@dessert@|@³Õ³Ý¹»ñ, ³Ýáõß»Õ»Ý@
@destination@|@Ýß³Ý³ÏáõÙ, Ýå³ï³Ï@
@destiny@|@³å³·³, µ³Ëï, ×³Ï³ï³·Çñ, íÇ×³Ï@
@destroy@|@³í»ñ»É, ù³Ý¹»É@
@destroyed@|@³í»ñ@
@destruction@|@³í»ñÙáõÝù, Ëáñï³ÏáõÙ, ÏáñÍ³Ý»É, Ù³Ñ, ù³Ý¹áõÙ@
@detail@|@Ù³Ýñ³Ù³ëÝ@
@detailed@|@Ù³Ýñ³ÏñÏÇï, Ù³Ýñ³Ù³ëÝ@
@detain@|@Ï³Ý·Ý»óÝ»É, å³Ñ»É, áõß³óÝ»É@
@detect@|@¹ñë»õáñ»É@
@deterioration@|@Ù³ßí³ÍáõÃÛáõÝ@
@determination@|@ë³ÑÙ³ÝáõÙ@
@determine@|@áñáß»É@
@determined@|@Ñ³ëï³ïáõÙ, ë³ÑÙ³Ýí³Í@
@detour@|@ßñç³ÝóáõÙ@
@devastate@|@³í»ñ»É@
@devastated@|@³í»ñ@
@develop@|@Í³í³É»É, Ùß³Ï»É@
@development@|@½³ñ·³óáõÙ, Ûáõñ³óáõÙ@
@deviation@|@Ý³Ñ³Ýç, ß»ÕáõÙ@
@device@|@¹Çï³íáñáõÃÛáõÝ, Ñ³ñÙ³ñ³Ýù, Ù»Ë³ÝÇ½Ù, Ý³Ë³·ÇÍ, Ýß³Ý³µ³Ý, å³ñ³·³Ý»ñ, ë³ñù, ëå³ëù@
@devil@|@ë³ï³Ý³@
@devoted@|@³ÝÓÝí»ñ, Ýí»ñí³Í@
@dew@|@ß³Õ, óáÕ@
@dexterous@|@×³ñåÇÏ@
@diabetes@|@ß³ù³ñ³Ëï@
@diagnosis@|@³ËïáñáßáõÙ@
@diagonal@|@³ÝÏÛáõÝ³·ÇÍ@
@diagram@|@·Í³·Çñ, ·Í³å³ïÏ»ñ, ·Í³ÝÏ³ñ, ·ñ³ýÇÏ@
@dial@|@Ãí³óáõÛó@
@dialect@|@µ³ñµ³é@
@dialogue@|@»ñÏËáëáõÃÛáõÝ, ß÷áõÙ@
@diameter@|@ïñ³Ù³·ÇÍ@
@diamond@|@³¹³Ù³Ý¹, ³ÉÙ³ëï@
@diaper@|@Ë³ÝÓ³ñáõñ@
@diaphragm@|@¹Ç³ýñ³·Ù³, ëïáÍ³ÝÇ@
@diarrhoea@|@ÉáõÍ, ÷áñÉáõÍáõÃÛáõÝ@
@diary@|@ûñ³·Çñ@
@dice@|@½³é@
@dictation@|@Ã»É³¹ñáõÃÛáõÝ@
@dictionary@|@µ³é³ñ³Ý@
@die@|@Ù»éÝ»É@
@diet@|@ëÝÝ¹³Ï³ñ·@
@differ@|@½³Ý³½³Ýí»É, ï³ñµ»ñí»É@
@difference@|@½³Ý³½³ÝáõÃÛáõÝ, ï³ñµ»ñáõÃÛáõÝ@
@different@|@½³Ý³½³Ý, ï³ñµ»ñ@
@differently@|@½³Ý³½³Ý, ï³ñµ»ñ, áõñÇß Ï»ñå, áõñÇß Ó»õáí@
@difficult@|@¹Åí³ñ@
@difficulty@|@¹Åí³ñáõÃÛáõÝ, Ý»ÕáõÃÛáõÝ@
@dig@|@µñ»É, ù³Ý¹»É@
@digest@|@ã³÷Çó ß³ï »÷»É@
@digestion@|@Ù³ñëáÕáõÃÛáõÝ@
@digger@|@ÑáÕ³÷áñ@
@diligence@|@³ßË³ï³ëÇñáõÃÛáõÝ, Åñ³ç³ÝáõÃÛáõÝ, Ñ³Ýñ³Ï³éù, ç³Ý³ëÇñáõÃÛáõÝ@
@diligent@|@Åñ³ç³Ý, ç³Ý³¹Çñ, ç³Ý³ë»ñ@
@dim@|@³Õáï, ³Ý÷³ÛÉ, ÷³ÛÉ³ï@
@dimension@|@ã³÷ë@
@dimwit@|@¹³Ý¹³ÙÇï@
@dinner@|@×³ß@
@dinner plate@|@³÷ë»-×³ßÇ, ³÷ë»-×³ßÇ@
@dip@|@ÁÝÏÕÙ»É@
@diploma@|@¹ÇåÉáÙ, íÏ³Û³Ï³Ý@
@diplomat@|@¹Çí³Ý³·»ï@
@direct@|@³ÝÙÇç³Ï³Ý, ¹³ñÓÝ»É, áõÕÇÕ, áõÕÕ³ÏÇ, áõÕÕ»É@
@direction@|@áõÕÕáõÃÛáõÝ@
@directly@|@³ÝÙÇç³å»ë, áõÕÕ³ÏÇ@
@director@|@¹»ñáõëáõÛó, é»ÅÇëáñ@
@directory@|@ï»Õ»Ï³·Çñ, ï»Õ»Ï³ïáõ, áõÕ»óáõÛó@
@dirge@|@Ñá·»Ñ³Ý·Çëï@
@dirt@|@Ï»Õï, ïÇÕÙ, ó»Ë@
@dirty@|@ó»Ëáï@
@disabled@|@³Ý³ßË³ïáõÝ³Ï@
@disadvantage@|@³ÝÝå³ëï, ³Ýß³Ñ³í»ï@
@disagreement@|@³ÝÑ³Ù³Ó³ÛÝáõÃÛáõÝ, ï³ñ³Ï³ÍáõÃÛáõÝ, ï³ñ³Ó³ÛÝáõÃÛáõÝ@
@disappear@|@Ïáñã»É, ãù³Ý³É@
@disappointment@|@ÑÇ³ëÃ³÷áõÃÛáõÝ, Ñáõë³Ë³µáõÃÛáõÝ, ëñïÝ»ÕáõÃÛáõÝ, ïÑ³×áõÃÛáõÝ@
@disarmament@|@½ÇÝ³Ã³÷áõÙ@
@disassemble@|@Ñ³ëÏ³Ý³É, Ù³ëÝ³ï»É, ù³Ý¹»É, ùÝÝ»É@
@disaster@|@³Õ»ï@
@discharge@|@ÃáõÉ³óÝ»É, ÉÇóù³Ã³÷áõÙ@
@discipline@|@Ï³ñ·³å³ÑáõÃÛáõÝ, å³ïÅáõÙ@
@discomfiture@|@³ÙáÃ³Ñ³ñáõÃÛáõÝ, ³ÝÑ³ñÙ³ñ íÇ×³Ï, ß÷áÃáõÃÛáõÝ@
@discomfort@|@³ÝÑ³ñÙ³ñ@
@disconnect@|@³Ýç³ï»É@
@discontent@|@³Ýµ³í³Ï³ÝáõÃÛáõÝ, ¹Å·áÑáõÃÛáõÝ@
@discord@|@ï³ñ³Ó³ÛÝáõÃÛáõÝ@
@discount@|@½»Õã, ½»ÕãáõÙ@
@discovery@|@µ³óáõÙ, ·Ûáõï, Ñ³ÛïÝ³·áñÍáõÃÛáõÝ@
@discredit@|@³ñ³ï³íáñ»É, Ñ»ÕÇÝ³Ï³½ñÏ»É, í»ñ³µ»ñí»É@
@discussion@|@íÇ×³µ³ÝáõÃÛáõÝ, ùÝÝ³ñÏáõÙ@
@disease@|@ÑÇí³Ý¹áõÃÛáõÝ@
@disgrace@|@Ë³Ûï³é³ÏáõÃÛáõÝ@
@disgraceful@|@Ë³Ûï³é³Ï@
@disgust@|@·³ñß³Ýù, ½½í³Ýù, ÝáÕÏ³Ýù@
@dish@|@³Ù³Ý, Ï»ñ³Ïáõñ, åÝ³Ï, ëÏáõï»Õ@
@dishonest@|@³Ý³íÝÇí@
@disinterested@|@³Ýß³Ñ³ËÝ¹Çñ, ³Ýß³Ñ³ë»ñ@
@disk@|@ëÏ³í³é³Ï@
@dislocation@|@Ñá¹³Ë³ËïáõÙ@
@dismiss@|@³ñÓ³Ï»É, µ³ó ÃáÕÝ»É@
@dismissed@|@³ñÓ³Ï»É@
@disobedient@|@³ÝÑÝ³½³Ý¹, ã»ÝÃ³ñÏíáÕ, ãÉëáÕ@
@disorder@|@³ÝÏ³ñ·áõÃÛáõÝ@
@disorganize@|@Ï³½Ù³ÉáõÍ»É, Ï³½Ù³ÉáõÍ»É@
@dispatch@|@³é³ù»É, áõÕ³ñÏ»É@
@disperse@|@µ³Å³Ýí»É, ï³ñµ»ñí»É, óñí»É@
@display@|@óáõÛó ï³É@
@displeasure@|@ïÑ³×áõÃÛáõÝ@
@dispose@|@ïÝáñÇÝ»É@
@disputable@|@íÇ×»ÉÇ@
@dispute@|@í»×, íÇ×³µ³ÝáõÃÛáõÝ, íÇ×»É@
@disregard@|@³Ýï»ë»É@
@disseminate@|@óñ»É@
@dissolve@|@ÉáõÍ»É@
@distance@|@Ñ»é³íáñáõÃÛáõÝ, Ñ»é³íáñáõÃÛáõÝ, ï³ñ³ÍáõÃÛáõÝ@
@distant@|@Ñ»é³íáñ, Ñ»éáõ@
@distinct@|@ÁÝÃ»éÝ»ÉÇ, å³ñ½áñáß@
@distinction@|@ï³ñµ»ñáõÃÛáõÝ@
@distinguish@|@Ñ»Õ»Õ@
@distort@|@Ë»Õ³ÃÛáõñ»É@
@distract@|@ß»Õ»É@
@distress@|@íÇßï@
@distribute@|@µ³Å³Ý»É, µ³ßË»É@
@distribution@|@µ³ßËáõÙ@
@distribution by lots@|@íÇ×³Ï³Ñ³ÝáõÃÛáõÝ@
@district@|@í³Ûñ, ï³ñ³ÍáõÃÛáõÝ, ï»Õ@
@disturb@|@Ë³Ý·³ñ»É@
@disturbing@|@ï³·Ý³å³ÉÇ@
@ditch@|@³éáõ@
@dive@|@ëáõ½í»É@
@diversion@|@ËáïáñáõÙ@
@diversionary@|@óáõó³¹ñ³µ³ñ@
@divide@|@µ³Å³Ý»É@
@division@|@µ³Å³ÝáõÙ@
@divorce@|@³ÙáõëÝ³ÉáõÍáõÃÛáõÝ, ³å³Ñ³ñ½³Ý@
@dizziness@|@·ÉË³åïáõÛï@
@doctor@|@µÅÇßÏ, ¹áÏïáñ@
@doctrine@|@ëáíáñ»ÉÁ, áõëÙáõÝù, áõëáõÙ@
@document@|@í³í»ñ³·Çñ, ÷³ëï³ÃáõÕÃ@
@dog@|@ßáõÝ@
@dog-collar@|@í½³Ï³å@
@doll@|@ïÇÏÝÇÏ@
@dome@|@·Ùµ»Ã@
@domestic@|@Ñ³Ûñ»Ý³Ï³Ý, Ñ³Ûñ»ÝÇ@
@dominion@|@ï»ñáõÃÛáõÝ@
@donation@|@Ýí»ñ@
@donkey@|@³í³Ý³Ï, ¿ß@
@donor@|@³ñÛáõÝ ïíáÕ@
@door@|@¹áõé@
@doorkeeper@|@¹áÝ³å³Ý@
@door-keeper@|@¹éÝ³å³Ý, Ñ³Ý¹»ñÓ³å³Ñ@
@dope fiend@|@ÃÝ¹³É@
@dot@|@µ³½Ù³Ï»ï@
@double@|@»ñÏ³ÏÇ, »ñÏí»óÛ³Ï, ÏñÏÝ³ÏÇ, ÏñÏÝáñ¹, ÝÙ³Ý³Ï@
@doubly@|@»ñÏáõ ³Ý·³Ù, ÏñÏÝ³å³ïÇÏ@
@doubt@|@Ï³ëÏ³Í, Ï³ëÏ³Í»É@
@doubtful@|@Ï³ëÏ³Í»ÉÇ@
@doubtless@|@³Ýï³ñ³Ïáõë»ÉÇ@
@dough@|@ËÙáñ@
@doughnut@|@÷ù³µÉÇù@
@dove@|@³Õ³íÝÇ, í³ñáõÅ³Ý@
@down@|@³Õí³÷»ïáõñ, ³Õí³Ù³½, Ý»ñù»õ@
@down to@|@ÁÝ¹Ñáõå@
@downpour@|@ï»Õ³ï³ñ³÷ ³ÝÓñ»õ@
@down-pour@|@Ñáñ¹@
@downward@|@ó³Í@
@dowry@|@ûÅÇï@
@dozen@|@¹ÛáõÅÇÝ, »ñÏí»óÛ³Ï@
@draft@|@·Í³·Çñ, ÁÝïñáõÙ, Ñ³ï³Ï³·ÇÍ, Ý³Ë³·ÇÍ, åÉ³Ý, ë»õ³·Çñ, ë»õ³·ñáõÃÛáõÝ, áõñí³·ÇÍ, ù³ÙÇÝ ÷ãáõÙ ¿, û¹Ç Ñáë³Ýù@
@draftee@|@½ÇÝ³ÏáãÇÏ, ½áñ³ÏáãÇÏ@
@drag@|@Ïñ»É, ï³Ý»É, ù³ß»É@
@drag out@|@»ñÏ³ñ³óÝ»É@
@dragon@|@íÇß³å@
@drake@|@÷³ÛÍ³Õ@
@drama@|@¹ñ³Ù³ïÇÏ³Ï³Ý@
@draper@|@Ù³Ñáõ¹³·áñÍ@
@drastic@|@Ëëï³ßáõÝã@
@draw@|@·Í»É, ·Í³·ñ»É, Ë³Õ³ñÏáõÃÛáõÝ, Ë³Õ³ñÏáõÙ, ÝÏ³ñ»É@
@drawing@|@ÝÏ³ñãáõÃÛáõÝ@
@drawing room@|@ÑÛáõñ³ë»ÝÛ³Ï@
@drawing up@|@Ï³½ÙáõÙ@
@dream@|@³Ýáõñç, »ñ³½, »ñ³½³Ýù, »ñ³½»É, »ñ³½ÇÝ ·³É, »ñ³½áõÙ ï»ëÝ»É, ùáõÝ@
@dress@|@½·»ëï, Ñ³·áõëï@
@dressmaker@|@¹»ñÓ³ÏáõÑÇ@
@dried@|@ãáñ³óí³Í@
@dried fig@|@Ãáõ÷@
@drill bit@|@·³ÛÉÇÏáÝ@
@drink@|@ÁÙå»ÉÇù, ËÙ»É, ËÙÇãù, ÏáõÙ@
@drinking@|@ËÙ»Éáõ@
@drive@|@½³ñÝ»É, Ë÷»É, ó³Ûï»É@
@drive in@|@óó»É@
@driver@|@í³ñáñ¹@
@drone@|@µ½½³É, ¹Õñ¹áó@
@drop@|@·ó»É, Ï³ÃÇÉ@
@drop in@|@Ùáï ·³É, íñ³ Ñ³ëÝ»É@
@drought@|@»ñ³ßï@
@drown@|@ÁÝÏÁÕÙí»É, ëáõ½í»É@
@drug@|@ÃÙñ³¹»Õ³ÙáÉ@
@drum@|@ÃÙµáõÏ@
@drummer@|@ÃÙµÏ³Ñ³ñ@
@drumstick@|@ïáïÇÏ@
@drunk@|@Ñ³ñµ³Í@
@drunkard@|@Ñ³ñµ»óáÕ@
@dry@|@Ïáßï, ãáñ, ãáñ³óÝ»É, ãáñ³Ý³É, ãáñ ¿@
@dry out@|@ãáñ³Ý³É@
@dry up@|@ãáñ³óÝ»É, ãáñ³Ý³É@
@dryness@|@ãáñáõÃÛáõÝ@
@duck@|@µ³¹, µ³¹Ç@
@due@|@Ñ³ñÏ »Õ³Í, å³ïß³×@
@duffer@|@³É³ñÏáï, ³Ýµ³Ý@
@dugout@|@Ù³ùáù@
@duly@|@Å³Ù³Ý³ÏÇÝ, ï»ÕÇÝ@
@dummy@|@ÍÍ³Ï@
@dump@|@³Õµ³í³Ûñ, Éó³ÏáõÛï@
@dump truck@|@ÇÝùÝ³Ã³÷@
@dung@|@·áÙ³Õµ, ÃñÇù@
@duplicate@|@ÁÝ¹ûñÇÝ³ÏáÕ, ÏñÏÝ³ÏÇ, ÏñÏÝûñÇÝ³Ï, å³Ñ»ëï³ÛÇÝ@
@durable@|@åÇÝ¹, ëÙáõñ@
@duration@|@»ñÏ³ñ³ï»õáõÃÛáõÝ, ï»õáÕáõÃÛáõÝ@
@dust@|@³×ÛáõÝ, ÷áßÇ@
@dustpan@|@³Õµ³Ï³É, ÃÇ³Ï@
@dusty@|@÷áßáï@
@Dutch clover@|@³éíÛáõï@
@duty@|@Ù³ùë, å³ñïù, ïáõñù@
@dwarf@|@·³×³×, Ã÷Ã÷áó@
@dying@|@Ù³Ñ³Ù»ñÓ@
@e.g.@|@ûñÇÝ³Ï@
@each@|@³Ù»Ý ÙÇ, Ûáõñ³ù³ÝãÛáõñ@
@each other@|@Çñ³ñ@
@eagle@|@³ñÍÇí@
@ear@|@³Ï³Ýç, Ñ³ëÏ@
@ear ring@|@³Ï³ÝçûÕ, ûÕ@
@earlier@|@³é³ç, ³í»ÉÇ í³Õ, Ý³Ë, Ý³ËÏÇÝáõÙ@
@early@|@ßáõï, í³Õ, í³Õ³Å³Ù, í³Õ ³é³íáïÛ³Ý@
@early autumn frost@|@Ã»Ã»õ óñï»É, óñï³Ñ³ñáõÃÛáõÝ@
@earn@|@í³ëï³Ï»É@
@earnings@|@³ßË³ï³í³ñÓ, éá×ÇÏ@
@earphone@|@³Ï³Ýç³Ï³É, Éë³÷áÕ@
@earth@|@³ßË³ñÑ, »ñÏÇñ, ÑáÕ³ÝóáõÙ, ó³Ù³ù@
@earthquake@|@»ñÏñ³ß³ñÅ@
@easel@|@ÝÏ³ñ³Ï³É@
@easily@|@Ã»Ã»õ@
@east@|@³ñ»õ»Éù@
@Easter@|@½³ïÇÏ@
@easy@|@³ÝµéÝ³½µáë, ³ÝÏ³ßÏ³Ý¹, Ã»Ã»õ@
@ebb@|@ï»Õ³ïíáõÃÛáõÝ@
@echelon@|@ß³ñÅ³Ï³½Ù, ÷áË³¹ñ³·Ý³óù@
@echo@|@³ñÓ³·³Ýù@
@eclipse@|@Ë³í³ñáõÙ@
@ecological@|@¿ÏáÉá·Ç³Ï³Ý@
@economic@|@ïÝï»ë³Ï³Ý@
@economical@|@ËÝ³ÛáÕ, ïÝï»ëáÕ@
@economist@|@ïÝï»ë³·»ï@
@economy@|@ïÝï»ëáõÃÛáõÝ, ïÝï»ëáõÙ@
@edge@|@»½ñ, Í³Ûñ, ÏáÕÙ, ßáõñÃ, í³Ûñ@
@edible@|@áõï»ÉÇ@
@edict@|@Ññ³Ù³Ý³·Çñ@
@edition@|@Ññ³ï³ñ³ÏáõÃÛáõÝ@
@editor@|@ËÙµ³·Çñ@
@editorial@|@³é³çÝáñ¹áÕ §Ñá¹í³Í¦, ËÙµ³·ñ³Ï³Ý@
@educate@|@¹³ëïÇ³ñ³Ï»É@
@education@|@Éáõë³ÝÏ³ñ»É, ÏñÃáõÃÛáõÝ, áõëáõÙ@
@educational@|@í³ñã³Ï³Ý, áõëáõÙÝ³Ï³Ý@
@effect@|@³ñ¹ÛáõÝù, ïå³íáñáõÃÛáõÝ@
@effective@|@³½¹áõ, ³ñ¹ÛáõÝ³í»ï, ïå³íáñÇã@
@effort@|@ç³Ýù@
@efforts@|@·ÉË³ó³í³Ýù, Ñá·ë»ñ@
@egg@|@ÓíÇ, Óáõ@
@egoism@|@»ë³ÙáÉáõÃÛáõÝ, »ë³ëÇñáõÃÛáõÝ@
@egotist@|@»ë³ÙáÉ@
@Egypt@|@»·Çåïáë@
@eight@|@áõÃ@
@eight hundred@|@áõÃ Ñ³ñÛáõñ@
@eighteen@|@ï³ëÝáõÃ@
@eighth@|@áõÃ»ñáñ¹@
@eighties@|@áõÃëáõÝ³Ï³Ý@
@eightieth@|@áõÃëáõÝ»ñáñ¹@
@eighty@|@áõÃëáõÝ@
@elapse@|@³ÝóÝ»É@
@elastic@|@³é³Ó·³Ï³Ý@
@elbow@|@³ñÙáõÝÏ@
@elderly@|@Ñ³ë³Ï³íáñ, ï³ñ»ó@
@elect@|@ÁÝïñ»É@
@election@|@ÁÝïñáõÃÛáõÝ@
@electric locomotive@|@¿É»Ïïñ³ù³ñß@
@electric system@|@¿É»Ïïñ³ó³Ýó@
@electrical@|@¿É»Ïïñ³Ï³Ý@
@electricity@|@¿É»Ïïñ³Ï³ÝáõÃÛáõÝ@
@electro device@|@¿É»Ïïñ³ë³ñù@
@electro train@|@¿É»Ïïñ³·Ý³óù@
@electro wire@|@¿É»Ïïñ³Ñ³Õáñ¹³É³ñ@
@electromotor@|@¿É»Ïïñ³Ï³Ý ß³ñÅÇã@
@elegant@|@Ýñµ³·»Õ, å×Ý³·»Õ@
@element@|@Ù³ñïÏáó, ï³ññ@
@elementary@|@ï³ññ³Ï³Ý@
@elements@|@ï³ñ»ñù@
@elephant@|@÷ÇÕ@
@elevating@|@³Ùµ³ñÓÇã, í»ñ³Ùµ³ñÓ@
@elevator@|@ßï»Ù³ñ³Ý@
@eleven@|@ï³ëÝÙ»Ï@
@eliminate@|@í»ñ³óÝ»É@
@ell@|@ûÓ³ÓáõÏ@
@eloquence@|@×³ñï³ë³ÝáõÃÛáõÝ, å»ñ×³ËáëáõÃÛáõÝ@
@eloquent@|@å»ñ×³Ëáë@
@else@|@¿ÉÇ, Ù»Ï ¿É, Ý³»õ@
@emancipation@|@³½³ï³·ñáõÙ@
@embankment@|@·»ï³÷@
@embark@|@µ³ñÓ»É, µ»éÝ»É@
@embarrass@|@ß÷áÃí»É@
@embassy@|@¹»ëå³ÝáõÃÛáõÝ@
@embitter@|@ã³ñ³Ý³É, ã³ñ³Ý³É@
@emblem@|@·»ñµ, ½ÇÝ³Ýß³Ý, ËáñÑñ¹³ÝÇß, ËáñÑñ¹³Ýß³Ý@
@embrace@|@·ÇñÏ, ·ñÏ³Ë³éÝáõÃÛáõÝ, ·ñÏ»É@
@embryo@|@ë³ÕÙ@
@emerald@|@½ÙñáõËï@
@emergency@|@ßï³å@
@emigrant@|@íï³ñ³Ý¹Ç, ï³ñ³·Çñ@
@emigration@|@ï³ñ³·ñáõÃÛáõÝ@
@emotion@|@ÑáõÛ½@
@empire@|@Ï³ÛëñáõÃÛáõÝ@
@employ@|@í³ñÓ»É@
@employee@|@Í³é³ÛáÕ@
@employment@|@í³ñÓáõÙ@
@empower@|@ÉÇ³½áñ»É@
@empty@|@¹³ï³ñÏ, ¹³ï³ñÏ»É, å³ñ³å@
@en passant@|@³ÝóáÕ³ÏÇ, Ç ÙÇçÇ ³ÛÉáó@
@enamel@|@³ñÍÝ@
@enamelled@|@³ñÍÝ³å³ï, ³ñÍÝ³Í@
@enclose@|@¹Ý»É, ÙáõÍ»É@
@encounter@|@¹»Ù ³éÝ»É@
@encourage@|@Ëñ³Ëáõë»É@
@encouragement@|@Ëñ³ËáõëáõÙ@
@encryption@|@Í³ÍÏ³·ñáõÙ@
@encyclopaedia@|@Ñ³Ýñ³·Çï³ñ³Ý@
@end@|@³í³ñï, í»ñç, í»ñç³óÝ»É@
@end game@|@í»ñçÝ³Ë³Õ@
@end in itself@|@ÇÝùÝ³Ýå³ï³Ï@
@endeavour@|@ç³Ý³É@
@ending@|@³í³ñï, í»ñç, í»ñç³óÝ»ÉÁ@
@endurance@|@¹ÇÙ³óÏáõÝáõÃÛáõÝ@
@enemy@|@Ã½áõÏ, Ñ³Ï³é³Ïáñ¹, áëáË@
@engage@|@½µ³Õí»É@
@engaged@|@½µ³Õí³Í@
@engine@|@ß³ñÅÇã@
@English@|@³Ý·ÉÇ³Ï³Ý, ³Ý·ÉÇ³óÇ@
@enhance@|@µ³ñÓñ³óÝ»É@
@enlarge@|@ÁÝ¹³ñÓ³Ï»É, Ù»Í³óáõÙ@
@enlarger@|@Ëáßáñ³óáõóÇã@
@enlist@|@·ñ³Ýó»É@
@enmity@|@ÃßÝ³ÙÇ@
@enormous@|@Ñ³Ï³Û³Ï³Ý, íÇÃË³ñÇ@
@enough@|@µ³í³ñ³ñ ¿, Ñ»ñÇù ¿@
@enrage@|@Ï³ï³Õ»É@
@enrich@|@ËÇï@
@ensemble@|@µ³½ÙáõÃÛáõÝ, Ù»Í ù³Ý³ÏáõÃÛáõÝ@
@ensure@|@³å³Ñáí»É@
@entangle@|@Ë××»É@
