@English@|@Mizo@
@a large range of hills@|@tlângpui dung@
@a large sp. of leopard@|@kool-sa@
@a louse@|@hrik@
@a Lushai fireplace@|@tap@
@a malignant spirit@|@rau, tau@
@a man who practices sodomy@|@tuai-phêng@
@a marine@|@tui sipai@
@a mark@|@hnu@
@a matter@|@tualchhûng thu@
@a measure@|@kot@
@a measurement@|@tin hâng chen, tin hâng tiat@
@a medium-sized red crab@|@ai-fiar@
@a messenger@|@tirh-koh@
@a meteor@|@khaw-chan@
@a model@|@lem@
@a mountain range without level@|@tlâng hriam@
@a mountaineer@|@thingtlâng mi, thingtlânga mi, tlânga mi@
@a murderer@|@tual-thattu@
@a musk rat@|@tîr-pui@
@a pair@|@tuak@
@a part of the breast@|@ir@
@a pass@|@khan, khán@
@a paternal aunt@|@Ni@
@a peak@|@tlâng chhîp@
@a person@|@mi@
@a piece@|@hrang@
@a piece of bamboo@|@tlah@
@a piece of cloth@|@puan@
@a piece of wood@|@tlah-pawina@
@a plant@|@kuung@
@a plant simila as a begonia@|@kham-thûr@
@a plaything made for children@|@khauhriang bawm@
@a pod@|@koom@
@a pool at the bottom@|@tui bak thla@
@a pool in a stream@|@dúm@
@a precipice@|@kham-rang, kham-tên@
@a prevalent sickness@|@tlâng hri lêng@
@a public road@|@tlâng kawng@
@a puddle@|@tuihawk tling@
@a rail@|@tlang-bân@
@a range of hills@|@tlâng-dung@
@a rat@|@b-ju, sa-zu@
@a ravine@|@tla rum@
@a rectangular plaited plate@|@tot@
@a ridge-pole@|@tlûng@
@a river@|@tui dung@
@a river bed@|@tui ti chip chep@
@a road@|@kong@
@a row@|@tlar@
@a saddle of a hill@|@koon@
@a salt-lick of brackish slate@|@tlak al@
@a scavenger@|@tualphiattu@
@a seed@|@chi@
@a serious or grave matter@|@a chhuan-chhe zawngin@
@a sheep@|@beraam@
@a shelf for pots@|@kham-tluan@
@a shroud@|@tuamna puan@
@a skewer@|@tuul@
@a slice@|@leep@
@a small fungus@|@Tualvungi êm@
@a small valley@|@kor@
@a song@|@hla@
@a sp. of climbing plant@|@hruai@
@a sp. of early rice@|@tai@
@a sp. of epiphytic fig tree@|@kuam@
@a sp. of oak@|@hlai, thal, thal@
@a sp. of shrub@|@lum@
@a sp. of snake@|@hlai-ba@
@a sp. of wild goat@|@sa-thaar@
@a special kind of trap@|@tol@
@a species of edible arum@|@tla-zawt@
@a species of horse-fly@|@tlip-phar@
@a species of willow@|@tuipui su-hlah@
@a spirit@|@khla, Thla@
@a spring@|@li, tui-tai@
@a squirrel@|@hlei, thehlei@
@a standard of reckoning equal@|@tlai@
@a stream@|@lui, tui dung@
@a submarine@|@tuifinriat hnuaia thirhrui zam@
@a substitute@|@aiawhtu@
@a sudden drop in the bed@|@tla-bung@
@a support made to keep a corps@|@hlaang@
@a suspension bridge@|@lei@
@a sword@|@khan-daih@
@a temporary house@|@buuk@
@a temporary hut@|@tuk-buk@
@a tree with red blossom@|@khau-pui@
@a tusk@|@nghô@
@a village other than one's own@|@khual@
@a wall@|@bang@
@a wart@|@ti pêng@
@a water carrier@|@tuichawitu@
@a water leech@|@hliit@
@a water plant@|@tui-hnah@
@a water tap@|@tui herhna@
@a waterhole@|@tui-khur@
@a water-spider@|@tui-hna siamtu@
@a weed@|@hlô@
@a well@|@tui-chhun-chhuah, tuichhunchhuah khur@
@a window@|@tuk-verh@
@a winged white-ant@|@phiing-phi-hlip@
@a word@|@tuan@
@a wrapper@|@tuamna@
@a youth@|@tlei-rawl@
@about@|@tlawng@
@above@|@tlangval luh-khung@
@abuse@|@hau@
@accurate@|@thlep@
@across@|@tlák@
@act in an unnatural manner@|@chhiat@
@addition@|@bel'@
@after@|@a-chin@
@after a fashion@|@khat chuan@
@afterbirth@|@chhúl@
@against@|@a chhe lamin, a chhe zawngin@
@all@|@kip@
@all four entries@|@tluan-tlam, tluang-tlam@
@all sorts of@|@tin-rêng@
@all that time@|@kha leh chen kha@
@all together@|@a hlangin, hlang, tlân, tlâng@
@all together in a company@|@a hu-hovin@
@allow to become dilapidated@|@ti-tla-ran, tih-tlák-ran@
@ample@|@pák-@
@an accident@|@tlûk sual bah palh@
@an animal@|@sa@
@an anna@|@a-hna@
@an aqueduct@|@tui lakna@
@an area of jhoomland@|@Tîn hmun, tlâm êm hmun, tlâm hmun@
@an area of jhoom-land@|@hrai hmun, hrai kaw hmun, hrai nga hmun, hrai sarih hmun, hrai thum hmun@
@an axe-head@|@fang@
@an earthen pot for boiling@|@Ting bêl@
@an edible wild yam@|@hra hliam@
@an egg@|@tui@
@an elder@|@tlâng chhuak@
@an errand boy@|@tirh-kah mi, tirh-kah tirh-kah mi@
@an evil spirit@|@chom, huai@
@an exorcist@|@tlah-pawi@
@an inflammatory swelling@|@bo'@
@an off-spring@|@fa@
@an old Lushai word for rice@|@fa@
@an ordinary muzzle-loading@|@tu-ku-li, tukuli silai@
@ancient@|@tuan leh manga@
@ancient name for the ocean@|@tui-lian-pui@
@ancient name for the sea@|@tui-zau-pui@
@ancient times@|@tuan leh mang@
@animal@|@sa@
@another@|@a dang, a dang-lam@
@any chronic disease@|@ngor@
@any place adjacent to@|@kham bul@
@anyhow@|@engpawh ni rawh se@
@anyone@|@a eng a khaw pawh, a eng a khaw poh@
@anything acquired by sheer@|@hrah lak@
@anything frequented by birds@|@tlan@
@anything over and above@|@a chuang a liam@
@anything to divert the water@|@tui-hna paihna@
@apart from other consideration@|@a hrim rêng rêngin@
@apparition@|@hmui-thla@
@applies here also@|@chu . . . chu@
@arm@|@Ban, lak@
@armpit@|@yak, zak@
@as a penalty@|@chiat@
@as good as@|@a chha, thuum@
@ashes@|@Hmar mei waam, mei vaap@
@associate with@|@kom, koom@
@at a distance@|@a falin@
@at all times@|@tûk zan@
@at first in the early days@|@a hlim chhawngin@
@at the place itself@|@a hmunah@
@at the proper time@|@a hun hunin@
@at the time of@|@nia'@
@atmosphere@|@khaw, khua@
@axe@|@ta-@
@back@|@ruang@
@bad@|@sual@
@badger@|@swar, swár@
@ball@|@hlum, hluum, lum@
@bamboo rat@|@bui@
@bamboo tube@|@tui ûm@
@bamboo tube with perforations@|@khau bawm@
@bamboo water-tube@|@tui ûm khuang@
@bamboos going crosswise@|@tluang-rel@
@bamboos notched@|@tuk-rawp@
@band by which anything's carry@|@ahna@
@bank of a river@|@Kam@
@barking deer@|@m'-t-khi, sa-khi@
@basket specially for wood@|@tuichawi êm, tuichawi ka?wng@
@be able to understand@|@a chhan a lak'thiam@
@be acid@|@thuur@
@be afraid of@|@ti'@
@be aglow@|@lin, ling@
@be as though standing on water@|@tui-lai rap anga"awm@
@be at enmity with@|@dô@
@be beginnig to form in the bud@|@moi@
@be blebby@|@tok@
@be blotched@|@raan, raang@
@be born@|@piang@
@be broken@|@pe'@
@be busy@|@hman-hlel@
@be caked@|@khák@
@be canted@|@nger@
@be close to@|@de', dep@
@be close together@|@zin, zing@
@be comfortable@|@nuam@
@be congruous@|@zia@
@be conscious of one's budding@|@tlangval hre, tlangval hria, tlangval hriat@
@be convenient@|@rem@
@be crooked@|@koi, koi'@
@be current@|@tual-lêng@
@be dark@|@thim@
@be deaf@|@ngon, ngong@
@be denuded of covering@|@buan-diim@
@be dry@|@da'-ro, tang@
@be dull@|@thiim@
@be elastic@|@faan@
@be empty@|@hén, héng, rua', ruak@
@be enough@|@took@
@be equal@|@chel'@
@be erect@|@fuk@
@be erect as ears@|@tun, tung@
@be fair-skinned@|@kéu@
@be fat@|@thau@
@be foolish@|@aa@
@be foolishly light-hearted@|@khau phar thawven@
@be freshly laid@|@tui-hlim@
@be frozen@|@khár@
@be full@|@kha', khat@
@be gathered together@|@tlêp@
@be glowing with heat@|@duk@
@be good@|@tlan, tlang@
@be greasy@|@than, thang@
@be green@|@hring@
@be heavy@|@riit@
@be high@|@hram, saan, saang, saang'@
@be hot@|@sa, sat@
@be ill@|@fa@
@be ill-smelling@|@teen, teeng@
@be ill-spoken of by the people@|@tlâng-rêl@
@be in a red-hot glowing@|@vam@
@be in abundance@|@ngá@
@be in large numbers@|@tlim@
@be jealous of@|@thiik@
@be lame@|@bai@
@be level@|@tam, tam, zal@
@be light in weight@|@yáng', zán, záng@
@be limp@|@zoi@
@be maggoty@|@lun, lung@
@be muddy@|@nu, nut@
@be new@|@thaar, thar@
@be of one mind@|@ai khata' lên, ai khata' lêng@
@be of sufficient size@|@ham@
@be old@|@tar@
@be on as the rainy season@|@tui fûr'tla, tui fûr'tlak@
@be on one side@|@lei@
@be over-worked@|@ngol@
@be parched with thirst@|@tuihal dang char@
@be partially broken@|@tliah auh, tliak auh@
@be pleased@|@lóm@
@be plump and firm fleshed@|@tuut@
@be polished@|@tlian, tliang@
@be prominent@|@toh@
@be pungent@|@thak@
@be quick@|@nál, nal'@
@be quiet@|@tlei@
@be rancid@|@tler@
@be received with approbation@|@tla tum, tlak tum@
@be reduced to small parts@|@chi', chip@
@be ripe@|@tuah@
@be rough@|@thap, ther, thur@
@be sheltered from the sun ray@|@dam, dám@
@be skilled in charming@|@ai kaih' thiam@
@be slow@|@ngén, ngéng@
@be slow at work@|@fuum@
@be slow-witted@|@tlawk-tlaw@
@be small@|@tee, teet, thlek@
@be so interested in a story@|@titi ko-tlângah'tla-hlum@
@be sore@|@taam@
@be sour@|@hin, hing@
@be spotted with black@|@a hangin' kah, a hangin' kap@
@be springy@|@tîng@
@be stiff and sore@|@rol@
@be strong@|@tuur@
@be suddenly overtaken@|@khaupui chah@
@be swollen@|@pón, póng@
@be thick@|@hnáng, nhán@
@be thoroughly cooked@|@chiar@
@be tight fitting@|@toot@
@be timid@|@ti, tit@
@be tired@|@kham@
@be tired out@|@chau, chau'@
@be torn@|@te', tet@
@be true@|@bden@
@be unable to stop@|@ti-reh thei lo, tih-reh theih loh@
@be unafraid of@|@zuam@
@be uneven@|@Ti-Toh@
@be warm@|@lum@
@be warped@|@er@
@be weak@|@roi'@
@be well up in the heavens@|@tlâng-sân@
@be white@|@vaar@
@be wise@|@fin, fing@
@be young@|@seen@
@bear@|@vom@
@beat rapidly@|@tlir@
@beautiful@|@moi@
@become gray@|@tuah, tuak@
@become known@|@tlâng'than, tlâng'thang, tlâng-thang@
@bee@|@khoi, khuai, pja@
@beer@|@zu@
@beer made of husked rice@|@Tîn zu@
@beer used in sacrifice@|@khal zu@
@before@|@a hma a pangin, a hmain, khalh-in@
@being liked@|@tla-tlum, tlák-tlum@
@belly@|@puk, pum@
@belonging to past ages@|@Tuan leh mang a mi@
@belonging to the east@|@khawchhak lama@
@bend@|@koi', kuai@
@besides@|@a-hnu hmanah, a-hnuah, a chhapah@
@big@|@lian, ro-pui@
@big enough to go out of doors@|@tualchai rual@
@bile@|@ai-kal@
@bird@|@phayo, sa-va, wa@
@bite@|@se', tsik@
@bitter@|@Kha@
@bivalve mollusk@|@tui-kep@
@black@|@ik, vom@
@black as sky@|@dum@
@black pheasant@|@va-hrit@
@black-spotted@|@a hang kah@
@blood@|@thi@
@blow@|@hmut, wut@
@blunt@|@bil@
@boat@|@m-liy@
@bob of hair@|@tuk@
@boil@|@chhOng, so@
@bone@|@ru'@
@border@|@tlâng@
@born@|@piang@
@borrow@|@khi@
@bother@|@tur@
@Bother it!@|@ah!@
@boundary@|@ri@
@bowels@|@po@
@bowl of a woman's pipe@|@tui-bul lu, tuibûr lu@
@bow-string@|@hrui@
@brave@|@hraat, hrat@
@bread-winner@|@khai-pa@
@break@|@chat@
@break down@|@ti-sawp, tih-sawp@
@break partly through@|@tliah sawp, tliak sawp@
@break up@|@Tîn-tîr@
@breast@|@hnu-té, nghong@
@breasts@|@su@
@breeze@|@khli, thli@
@bride@|@mo@
@brimstone@|@kát@
@broth to cook vegetables@|@tui hang@
@brush@|@khui'@
@brush past@|@núl@
@brutal@|@ron, roong@
@bud@|@pu@
@build@|@ti-tuai@
@bundle of pieces of khang@|@khang pawl@
@burn@|@haal@
@burst as a spring storm@|@to tê 'haw, to tê hawn@
@bury@|@lup@
@butterfly@|@phengphehlep@
@by itself@|@a hauvin@
@by river@|@tui dungah@
@by-word@|@a chhe lam tehkhinna, a chhe lama tehkhinna@
@cage-trap with door@|@khar-khe-rep, khar-khep@
@caked together@|@khâk@
@call out in fear during sleep@|@ai chhuah, ai chhuak@
@can@|@thei, thei'@
@careless@|@ti-zeng-zung@
@carry in the arms@|@r-pom@
@carry on a conversation@|@titi'sawi@
@carry on the back@|@khir'@
@carve@|@tu, tuk@
@catch hold of two persons@|@chal"buruk@
@catch one's breath@|@haak@
@cause the glands enlarged@|@ti-Thoh, tih-Thoh@
@cause to be miserable@|@ti-ngui, tih-ngui@
@cause to bear the blame@|@nék@
@census@|@khaw-chhiar, khaw-chhiar pui@
@census enumerator@|@khaw-chhiartu@
@centipede@|@tît@
@centre@|@lai@
@charcoal@|@hol@
@cheek@|@biang@
@child@|@pok@
@cholera@|@tui-hri@
@chopper used for wood-cutting@|@chem@
@cistern@|@tui-chhun@
@clamp@|@che', chep@
@clan@|@phung@
@class of Lushai sacrifices@|@arpui hang khal, hmar khal, khâl, lasi khal, sa khal, vanchung khal, vawkte khal@
@clean@|@fai@
@clear@|@thian, thiang@
@cloth@|@pon, puan@
@clothes@|@kan@
@cloud@|@Mei@
@cloudy@|@khaw duai, khaw dur@
@cob after the removed grain@|@a fu@
@cocoanut@|@tui-kun-luk@
@cold@|@krang, sik@
@cold water@|@tui sik@
@cold weather@|@tang-thóm@
@come@|@hmar bung, la, la, lo-kal, ra@
@come out in search of food@|@tla chhuak, tlat chhuah@
@commit depredations in animals@|@tlák@
@communal singing@|@tlang zai@
@compared with the other@|@hlei, hlei'@
@complete@|@pei'@
@complete in length@|@tluan@
@completely@|@se, seen, seeng@
@conceal@|@zép@
@configuration of stars@|@Hrangkhupa sedar parh, Hrangkhupa sedar tlawrh@
@congealed@|@khal, khang@
@conquer@|@dol@
@consider a subject in bearings@|@tin-kim'dâwn@
@contradiction@|@khakna@
@contrivance made of bamboo@|@hrang-hrual@
@cook without salt@|@tlak@
@cotton@|@la@
@country-made@|@tual-chher, tual-siam@
@cover@|@daap@
@crab@|@ai, aifiar, aikam, aisen, aitê, aitesen, chakai, chakai@
@crab (1)@|@ai ruah, aiawt, aium@
@creeper@|@-rïl@
@crest@|@dung@
@cross-beams@|@khan-chhuk@
@cross-wise@|@kham-zawngin@
@crown of the head@|@chhíp@
@cry out@|@au, kuuk@
@current of a river@|@tui-zang@
@cut@|@ah, re', re', rek@
@cut as with knife@|@a', át@
@cut down@|@ki, kit@
@cut down the undergrowth trees@|@a hnuai' thawlh@
@cut off at one stroke@|@chhok@
@dark@|@nak@
@dark clay soil@|@tlak lei@
@daughter's husband@|@mák-pa@
@day@|@k'-ni, lai, Ni@
@day and night@|@a chhûn a zanin, tûk leh zan@
@deep pool@|@li@
@deeply@|@thoi'@
@deficiency@|@tlin bak, tlin bak chham@
@descend@|@chuk@
@descendant@|@thla'@
@desire@|@chaak@
@despising@|@tlawh-beh@
@die out@|@mi', mit@
@different@|@hran-pa, hrang hran, hrang hrang@
@different kind of aquatic bird@|@tuipui sava@
@different stringed instruments@|@TingTang chi hrang hrang@
@dig@|@lai, tai, tai@
@dig a hole@|@chô, cho'@
@dip up water by plunging@|@tui 'birh@
@dirt@|@kri, vut@
@discharge@|@tlaak@
@disregard the feelings@|@chalawh@
@do on the spur of the moment@|@ti rawk, tih-rawk@
@dog@|@ui@
@doing@|@kal@
@domestic pig@|@vok@
@domesticated gayal@|@tlai sial@
@Don't touch me there!@|@Khatah min khawih suh!@
@dove@|@thu-ro@
@downwards@|@zu, zuk@
@drainage water@|@tuallai thli@
@draw a line@|@riin@
@draw into the nose@|@suut@
@drink@|@dón, dút@
@dry as fish@|@thu@
@duck@|@va-rak@
@dull@|@múk@
@dull weather@|@khaw dul@
@e precipitous and bare@|@teen@
@eagerly@|@chak-takin@
@ear@|@k-Na@
@earth@|@lei@
@earth-worm@|@tIl@
@eastern@|@khaw-chhak, khawchhak lam@
@eastwards@|@khawchhak lamah@
@easy@|@hnip@
@eat the outside of a thing@|@khel@
@eat with a spoon@|@hóp@
@edge@|@feem@
@edible fruit@|@thei@
@egg@|@dui, hru, tui@
@eight@|@pa-riat@
@either@|@a eng lam lam, a eng pawh@
@eject forcibly from the throat@|@khâk chhuah, khâk chhuak@
@elder brother@|@tsei@
@elephant@|@m-gui, sai, sai@
@elope with a man@|@tlangval tlanpui@
@emphatic affirmative@|@tuk e a@
@emphatic affirmative particle@|@tuk e@
@enclosure@|@huang@
@enclosure in front of a house@|@tual hung, tual hung-chhûng@
@endless band@|@tluang hrui@
@enemy@|@raal@
@enslave@|@zóm@
@enter@|@luh, lút@
@entire@|@kim@
@equal to@|@tluk ta laiin, tlukah, tlukin@
@even@|@phar'@
@every@|@tin . . . tang, tin . . . za@
@everything@|@yo@
@evil spirit wich causes sick@|@hri@
@exactly@|@ti-takin@
@excessively@|@lo, Lu@
@exorcize using of incantation@|@t'-rai, thai@
@expose to the rays of the sun@|@ti-ni-kang, tih-kan@
@expressing sorrow@|@ai-aw!@
@expressing sudden pain@|@Aih-ah!, Aih!@
@eyeball@|@mit-mu@
@face@|@hmél, yu@
@face west and get sun@|@tlák'dêng@
@fall off as hair@|@tiil, til'@
@fall prostrate on the face@|@tlu thlawp, tlûk thlawp@
@falling into the water@|@tuia "tlak-hlum@
@fang@|@m-fi, m-si, m-tshi@
@far@|@da@
@far apart@|@khát, khât@
@fasten@|@kal'@
@fat@|@thau@
@father@|@pa@
@father-in-law@|@ú@
@father's sister's husband@|@-rang@
@feather@|@ár@
@fellow villager@|@tual khat-pui, tualchhûng-pui@
@fellow young man@|@tlangval pui@
@fellow-worker@|@tuan-pui@
@female affix@|@pui@
@fence@|@kul'@
@fetch the pieces of wood@|@khaukhurh'pu, khaukhurh'put@
@fill in@|@phu-@
@filthy@|@ber'@
@fine weather after rain@|@khaw chang-kang@
@fire@|@Mei@
@fire a gun without the barrel@|@tin kawha'kah, tin kawha'kâp@
@firmly@|@tlat@
@first@|@khatna@
@fish@|@ngha@
@fist@|@tum@
@fitness@|@tlákna@
@fitting@|@óm@
@five@|@nga, panga@
@five-toed tiger@|@Tuaidinga thlah@
@flat and thin@|@pér, per'@
@flat and wide@|@rai@
@flavouring@|@tuituahna@
@flea@|@hli@
@flesh@|@ti-sa@
@fleshly@|@tisa lam@
@floury@|@phut@
@flow as tide@|@tuifawn'sang@
@flow as tide at seaside@|@tui'fâwn sâng, tuifâwn' sâng@
@fluid from a decomposing flesh@|@thu@
@fly@|@thlok@
@fold up@|@thle', thlep@
@foolish@|@pang@
@foot@|@Ke, keng@
@forget@|@hmai'@
@fork of legs@|@kap@
@form a crust@|@khâr@
@fornication@|@tlangval ngaih@
@four@|@b-n-d'-li, li@
@fragments@|@noi@
@free to all@|@tlângphalin@
@freshly@|@hlim, tîr, tirh@
@from one's youth@|@tleirawl têt ata@
@from past ages@|@Tuan leh mang ata@
@from there@|@khata ta, khata tangin@
@from you@|@a che u@
@full@|@hmar sip, pling@
@full grown@|@chal-chang@
@garden@|@huan@
@gather together@|@fuan@
@generic name for baskets@|@ém@
@generic name for locusts@|@khau, khau ar chempai, khau arpui, khau artê@
@generic term for edible arum@|@baal@
@genuine@|@tak@
@get black@|@thu@
@get damp@|@zop@
@get dirty@|@chhul@
@get in front of@|@tlan khalh@
@get slightly chipped@|@teu'@
@gird around the waist@|@ven, veng@
@glance@|@en@
@gnashing of teeth@|@kha'khawn@
@gnaw with the front@|@di', dít@
@go@|@kal, wang@
@go along close by@|@hruul@
@go and return the same day@|@laan, laang@
@go for a walk@|@tuallai'lên, tuallai 'lêng@
@go in@|@tlum@
@go out@|@chhua', chhuak@
@go round@|@ver@
@go straight@|@diing@
@go to the jhoom@|@t'uan@
@gold@|@ka-tsak, raang-va tin, rang-ka-chak, xam@
@good@|@phra, tha@
@good and bad qualities@|@a chhiat a that@
@gossip@|@titi khaw thang, titi lêng-lak, titi phung-lêng@
@gradually@|@tlêm-tlêmin@
@grain@|@kok@
@granary@|@chhiar@
@grandchild@|@su, tu, tu, tu-fa@
@grandfather@|@pu@
@grease@|@sa-hriak@
@greasy@|@tlawr, tlawrh@
@great@|@ropui@
@groove@|@tui-hawr@
@ground@|@a bul a bal@
@grow tall@|@tlân@
@gulp@|@lem@
@gutte@|@tuihawk luanna@
@gutter@|@tui luanna@
@hack with axe@|@che', cheek@
@hair@|@hmul, Sam@
@hair of the head@|@Sam@
@hammer@|@tu@
@Hand@|@Kut@
@handle of pot@|@liang@
@hang low@|@fual@
@hangnail@|@ai-hni@
@hard@|@ru'@
@hard (not soft)@|@sak@
@hardly@|@a-hlei@
@have a real shot@|@ai tak@
@have a smell@|@thaan, thaang@
@have a trial shot or throw@|@ai-chhin@
@have an intense longing for@|@vir@
@have dinner@|@faak@
@have had sufficient food@|@puar@
@have hole in@|@hor'@
@have leisure@|@hman@
@have much@|@nga'@
@have power to@|@tlin@
@have the edge turned@|@tlep@
@have the power of fascinating@|@ai'tha, ai'that@
@he bamboo neck@|@tuibûr phun-thli@
@He has sold his horse; Who?@|@A sakawr a hral ta; Tu?@
@He vented his anger on me@|@Ka chungah a tuan@
@head@|@kô, Lu@
@heart@|@lung, ning@
@heavy@|@li@
@heddle@|@hnat@
@help@|@ku@
@Here!@|@khati@
@hide@|@khu'@
@highlander@|@zo@
@hill indigo dye@|@Ting tui@
@hill people@|@thingtlâng mi, thingtlânga mi, tlâng mi@
@hillman@|@tlâng mi@
@hind leg of an animal@|@bop@
@hippopotamus@|@tui sakawr@
@His cloth is lost; Whose?@|@A puan a bo ta; Tu puan?@
@hit with the open hand@|@ben@
@hoe@|@tu'@
@hold in readiness to fire@|@tin kawh@
@hold in the hand@|@lek@
@hold nicotine water@|@tuibûr "hmuam@
@hole@|@óng, waang@
@hoof@|@tin, tin kâwm@
@horizontal@|@phei@
@horn@|@ki@
@house-fly@|@thô@
@household@|@chhúng@
@how that@|@khatia . . . kha@
@hundred@|@za@
@hungry@|@taam@
@hunt for@|@khor@
@hurricanes@|@to tê@
@if@|@a-hnu hmanin, a-hnuin@
@imitate@|@thiik@
@immature@|@chuam@
@immediately@|@a chawp, a chilhin@
@immerse in water@|@tuiah "hnim-phûm@
@immerse oneself in water@|@tuiah in-hnim-phûm@
@imperative@|@ro'@
@in a clump@|@a hungin@
@in a party@|@a hlawpin@
@in an undiluted@|@a fîrin@
@in families@|@a chhûng kua kuain@
@in good time@|@chhom@
@in great quantities@|@tuar@
@in its length and breadth@|@a dung a vangin@
@in large numbers@|@tuai@
@in neither direction@|@a eng lam mah mahah@
@in one's own village@|@tualchhûngah@
@in order@|@a intah-tawlin@
@in place of@|@aiin@
@in regular order@|@a hma tiamin@
@in the afternoon@|@tlaiah, tlailamah@
@in the morning@|@tûkah@
@in the same manner@|@khatiang bawkin@
@indoors and out@|@a chhûng a pawna, a chhûng a pawnah@
@inflexible@|@khauh@
@inform@|@hril, hril'@
@inside@|@an, chhúng, khung@
@instead of@|@a-hnêkin@
@intensive forms@|@tlim hmar, tlim hmer, tlim hmur@
@interrogative pronoun@|@tu@
@iron@|@M-Gre, thiir@
@irresistible@|@a dala dal rual loh, a dana dan rual loh@
@isolated@|@faal@
@itching sensation@|@tang@
@itinerating@|@khaw fan, khaw fang@
@its edible fruit@|@tlîng@
@joint@|@sik@
@juice@|@hnai@
@jungle@|@nam, ram@
@Jupiter@|@Hrang-chhuana@
@keep in mouth@|@hmom, hmuam@
@kerosine@|@tui-alh@
@kidney@|@kal, m-kal@
@kind of water wheel@|@tui her-awt@
@kiss@|@fo', foop, tUm@
@knee@|@pus@
@knock@|@kik@
@know@|@ja@
@Kolodyne river@|@khawchhak Tuipui@
@land-surveyors@|@tlângsâm ho@
@lapping water@|@tui"liah, tui"liak@
@large@|@hlai@
@large bamboo on a noose@|@tleng@
@large enough for sacrifice@|@chak tlak@
@large female butterfly@|@Tual-vungi@
@large hoe@|@tuh-dal@
@large numbers@|@tlim pui, tuam@
@lark@|@fiam@
@leak@|@far@
@left@|@vei@
@leg@|@Ke, khong@
@lemon@|@sa@
@length@|@dung@
@length and breadth@|@a dung a vang@
@lengthways@|@a dung zawngin@
@lick@|@hliau@
@lie@|@mu, mut@
@light not darkness@|@khaw ên, khaw êng@
@lighthouse@|@tuifinriat meichher@
@like that@|@khatiangin@
@live to see one's grandchild@|@tu khûp khat"hmu@
@load@|@m-khur@
@lose its hardness@|@tuai ' hnual@
@lose saltness@|@da, daak@
@loudly but of brief duration@|@tuar@
@lower jaw@|@khá, m-kha@
@lower part of the spine@|@ngúm@
@lowering@|@khaw duk@
@lump of anything@|@tlang@
@Lushai name for the Karnaphuli@|@Tla-bung@
@Lushais living in the Cachar@|@Khaw-chung@
@make@|@din@
@make a noise@|@chiar@
@make an offering@|@chhia'@
@make free to all@|@tlang-zarh@
@make fun of@|@dem@
@make into a red-hot glowing@|@ti-vâm, tih-vâm@
@make mental note@|@hual@
@make one feel confident@|@ti-zuam, tih-zuam@
@make one suddenly grow alert@|@ti-phâwk, tih-phâwk@
@make preparation for a feast@|@er@
@making of a booming sound@|@tui-khuang"ben@
