@English@|@Icelandic@
@alter ego@|@hitt sjálfs mann@
@altered@|@breyttur@
@although@|@þó að, þótt@
@altogether@|@að öllu leyti, alls, alveg@
@always@|@alltaf, ávallt, jafnan@
@amateur@|@áhugamaður@
@amazement@|@undrun@
@ambitious@|@drottnunargjarn, metnaðarfullur@
@ambush@|@fyrirsát@
@amen@|@amen@
@amend@|@leiðrétta@
@amendment@|@leiðrétting@
@America@|@Ameríka@
@American@|@Ameríkani, amerískur@
@amnesia@|@minnistap@
@among@|@á milli, meðal@
@among them@|@á meðal þeirra@
@amplification@|@mögnun@
@amplifier@|@nagnari@
@amplify@|@magna@
@amusement@|@gaman@
@an eighth@|@áttungur@
@anchor@|@akkeri@
@ancient@|@forn@
@ancient history@|@fornaldarsaga@
@ancient text society@|@fornfræðafélag@
@ancient times@|@fornöld@
@ancient writings@|@fornrit@
@and@|@enda, og@
@and others@|@enn aðrir@
@anecdote@|@smásaga@
@angel@|@engill@
@anger@|@reiði, vonska@
@angle@|@horn@
@angleworm@|@ánamaðkur@
@animal@|@dýr@
@annals@|@árbækur@
@annihilate@|@gera að engu@
@anniversary@|@afmæli@
@announce@|@auglýsa@
@announcement@|@birting@
@annoy@|@abbast, ónáða@
@annoyance@|@gremja@
@annul@|@gera að engu@
@another@|@annar@
@another house@|@annað hús@
@answer@|@gegna, svar@
@answer for@|@ábyrgjast@
@anticipation@|@hugboð, tilhlökkun@
@anticlinal axis@|@andhverfuás@
@anticline@|@andhverfa@
@anxious@|@áhyggjufullur, hugsjúkur@
@any@|@nokkur@
@anybody@|@nokkur@
@anything@|@nokkuð@
@anything but@|@allt annað en@
@anywhere@|@nokkurstaðar@
@apart@|@sundur@
@ape@|@api, herma eftir@
@apologise@|@afsaka sig@
@apology@|@afsökun@
@appalling@|@skelfilegur@
@apparently@|@sýnilega@
@apparition@|@afturganga@
@appartment@|@íbúð@
@appear@|@bóla á, koma í ljós, virðast@
@appearance@|@álit, svipur, útlit@
@appease@|@sefa@
@appendicitis@|@botnlangabólga@
@appendix@|@botnlangi@
@appetite@|@lyst, matarlyst@
@apple@|@epli@
@apple pudding@|@eplagrautur@
@application@|@umsókn@
@approach@|@aðflug, nálgast@
@appurtenant@|@tilheyrandi@
@apricot@|@apríkósa@
@April@|@apríl@
@arch@|@bogi@
@archaeologist@|@fornfræðingur@
@archaeology@|@fornfræði@
@arched@|@boginn@
@archery@|@bogfimi@
@architect@|@byggingameistari@
@architecture@|@húsagerð@
@ardour@|@kapp@
@area@|@sloðir, svæði@
@Aries@|@hrútur@
@arm@|@armur, handleggur, vopna@
@armamnet@|@herbúnaður@
@armful@|@fang@
@armour piercing shell@|@brynsprengja@
@armoured@|@brynvarinn@
@arms@|@hergögn, vopn@
@army@|@her@
@army camp@|@herbúðir@
@around@|@í kring, um@
@around the corner@|@fyrir hornið@
@arrange@|@haga, hátta@
@arrangement@|@fyrirkomulag@
@arrest@|@hald, handtaka@
@arrival@|@aðkoma@
@arrive@|@koma til@
@arrogance@|@dramb, hroki@
@arrogant@|@framur, hrokafullur@
@arse@|@rass@
@arsenal@|@vopnaverksmiðja@
@art@|@list@
@artificial@|@gervi-@
@artificial intelligence@|@tölvuvit@
@artillery emplacement@|@fallbyssustæði@
@artisan@|@iðnaðarmaður@
@artist@|@listamaður@
@as@|@eins og@
@as far as the eye can see@|@svo langt sem augað eygir@
@as it is@|@að svo stöddu@
@as it turned out@|@eins og raun ber vitni@
@as regards@|@hvað varðar@
@as soon as@|@strax og@
@as soon as possible@|@sem fyrst@
@as things stand@|@svo búið@
@as you like@|@eins og yður lystir@
@as you please@|@eins og yður lystir@
@ascent@|@uppganga, uppgangur@
@ash@|@aska, eski@
@ash tree@|@askur@
@ashtray@|@öskubakki@
@ask@|@beiða, biðja, bjóða, spyrja@
@ask a question@|@spyrja spurningar@
@ask for@|@beiðast@
@asleep@|@sofandi@
@aspirant@|@áhugamaður@
@aspiring@|@drottnunargjarn@
@assert@|@fullyrða@
@assertion@|@yfirlýsing@
@assistance@|@hjálp@
@assistant@|@aðstoðarmaður@
@assumption@|@hugmynd@
@assurance@|@fullvissa@
@astonished@|@forviða, hissa@
@astonishment@|@furða@
@asylum@|@hæli@
@at@|@hjá, við@
@at a low price@|@lágu verð@
@at all@|@á annað borð@
@at Christmas@|@á jólunum@
@at Easter@|@á páskunum@
@at hand@|@fyrirliggjandi@
@at his command@|@eftir hans fyrirlagi@
@at home@|@heima@
@at last@|@að lokum@
@at least@|@að minnsta kost, að minnsta kosti@
@at most@|@í mesta lagi@
@at once@|@á stundinni, í sama bil, strax, undir ein, undireins@
@at rest@|@í ró@
@at sea@|@úti á sjó@
@at that moment@|@í sama bil@
@at the appointed time@|@að ákveðnum tíma@
@at the farm@|@á bænum@
@at the same moment@|@í sama bili@
@at the same time@|@í senn, jafnframt, jafnóðum@
@at this time@|@að þessu sinni@
@at work@|@við vinnu@
@atheism@|@guðleysi@
@athlete@|@íþróttamaður@
@Atlantic Ocean@|@Atlantshaf@
@atom bomb@|@atómsprengja@
@atomic energy@|@atómorka@
@atrocity@|@hryðjuverk@
@att@|@tilburðir@
@attack@|@áheyrn, áhlaup, árás, árás, sókn, ásækja, ráðast á@
@attempt@|@freista, reyna, tilraun, viðleitni@
@attend to@|@gá að@
@attend to serve@|@afgreiða@
@attendance@|@aðsókn@
@attention@|@aðgæzla, athygli, eftirtekt, gaumur@
@attentive@|@aðgætinn@
@attic@|@efstaloft@
@attitude@|@afstaða@
@audience@|@hlustendur@
@August@|@ágúst@
@aunt@|@föðursystir, móðursystir@
@authentic@|@ekta@
@author@|@höfundur@
@authorities@|@yfirvöld@
@authority@|@heimild@
@autumn@|@haust@
@avail@|@duga@
@available@|@fyrirliggjandi, til taks@
@avarice@|@ágirnd@
@avenge@|@hefna@
@average@|@meðaltal@
@aversion@|@óbeit@
@aviation@|@flugmál@
@aviator@|@flugmaður@
@avoid@|@forðast@
@ávöxtur@|@fruit@
@award@|@veita@
@aware of@|@var@
@away@|@af stað, burt@
@awkward@|@klaufalegur@
@awkwardly@|@klaufalega@
@axiom@|@forsenda@
@baa@|@jarma@
@baby@|@ungbarn@
@back@|@aftur, bak, hryggur@
@back door@|@bakdyr@
@back of the hand@|@handarbak@
@backbone@|@hryggur@
@backstroke@|@baksund@
@bacon@|@flesk@
@bacteria@|@gerlar@
@bad@|@illur, slæmur, vondur@
@bad habit@|@óvani@
@bad tempered@|@geðillur@
@bad weather@|@illviðri@
@badger@|@greifingi@
@badly@|@illa, illt@
@bag@|@poki@
@baggage@|@farangur@
@bake@|@baka@
@baker@|@bakari@
@baker´s@|@bakarabúð@
@bakery@|@bakarí@
@bald@|@sköllótur@
@bale@|@ausa@
@ball@|@bolti, hnöttur@
@ballroom@|@danssalur@
@balls@|@kjarkur@
@ban@|@bann@
@banana@|@banani@
@bandits@|@stigamenn@
@bank@|@bakki, banki, bankki@
@bank manager@|@bankastjóri@
@banking system@|@bankakerfi@
@banknote@|@bankaseðill@
@bannister@|@handrið@
@bannisters@|@stigarið@
@bar@|@að undanteknum, bar@
@barb@|@broddur@
@barbed wire@|@gaddavír@
@barber@|@hárskeri@
@bare@|@ber@
@bare footed@|@berfættur@
@bargain@|@kaup@
@bark@|@gelta@
@barking@|@hundagey@
@barley@|@bankabygg, bygg@
@barley grain@|@bygggrjón@
@barley porridge@|@bankabyggsgrautur@
@barman@|@veitingamaður@
@barn@|@hlaða@
@barrel@|@tunna@
@basalt@|@blágrýti@
@basalt layer@|@blágrýtislag@
@basalt mountain@|@blágrýtisfjall@
@basaltic lava flows@|@basalthraun@
@base@|@illyrmislegur@
@based on@|@byggjast á@
@basement@|@kjallari@
@basis@|@grundvöllur@
@basket@|@karfa@
@bath@|@bað, laug@
@bathe@|@baða@
@batholith@|@berghleifur@
@bathroom@|@bað, baðherbergi@
@bathtub@|@baðker@
@battle@|@bardagi@
@battle array@|@fylking@
@bay@|@flói@
@bayonet@|@byssustingur@
@be@|@liggja, vera@
@be a help in@|@vera gagn að@
@be able to@|@fá, geta@
@be advantageous@|@vera til gagns@
@be allowed@|@fá, mega@
@be at that stage of development@|@vera á því reki@
@be bewitched@|@vera í álögum@
@be born@|@fæðast@
@be busy@|@eiga annríkt@
@be called@|@heita@
@be capable of@|@megna@
@be carried@|@berast@
@be comforted@|@huggast@
@be convenient@|@henta@
@be damaged@|@bila, brotna@
@be depopulated@|@eyðast@
@be deserted@|@fara í auðn@
@be determined to@|@hafa einsett sér@
@be directed at@|@beinast@
@be divided@|@klofna@
@be drowned@|@drukna@
@be embarrassed@|@fara hjá sér@
@be emptied@|@eyðast@
@be equal to@|@jafnast@
@be extinguished@|@deyja@
@be fitting@|@hæfa@
@be fond of@|@þykja vænt um@
@be free from@|@fara varhluta@
@be going away@|@vera á förum@
@be heard@|@frétta@
@be heard from@|@fréttast af@
@be in accord@|@bera saman@
@be in doubt@|@vera í efa@
@be in motion@|@vera á hreyfingu@
@be in the way all the time@|@flækjast fyrir@
@be increased@|@aukast@
@be killed@|@drepast, falla, farast@
@be like@|@líkjast@
@be lost@|@týnast@
@be missing@|@vanta@
@be obtainable@|@fást@
@be obvious@|@liggja í augum uppi@
@be of the opinion@|@hyggja@
@be of the same opinion@|@vera á einu máli@
@be of use@|@koma að haldi@
@be on the move@|@vera á hreyfingu@
@be only too ready to@|@láta ekki á sér standa@
@be present@|@vera við@
@be provided with@|@búa sig með@
@be refreshed@|@hressast@
@be responsible@|@ábyrgjast@
@be revealed@|@komast upp@
@be rumoured@|@frétta@
@be sharp@|@bíta@
@be spellbound@|@vera í álögum@
@be startled at@|@verða bilt við@
@be suffocated@|@kafna@
@be surprised@|@undrast@
@be surprised at@|@furða sig á@
@be tortured@|@kveljast@
@be up and about@|@vera á fótum@
@be valid@|@gilda@
@be very important@|@varða miklu@
@be worth@|@gilda@
@bea fraid@|@hræðast@
@beach@|@fjara, strönd@
@beam@|@geisli@
@bean@|@baun@
@beans@|@ertur@
@bear@|@björn, fæða@
@bear up@|@harka af sér@
@beard@|@skegg@
@bearer@|@handhafi@
@beat@|@berja, sigra@
@beat about the bush@|@vera með vafninga@
@beautiful@|@fagur, fallegur@
@beauty@|@fegurð@
@because@|@af því að, því@
@because of@|@vegna@
@beckon@|@benda@
@beckoning@|@bending@
@become@|@verða@
@become complicated@|@flókna@
@become hard@|@harðna@
@become inflamed@|@bólgna@
@become lame@|@heltast@
@become numb@|@dofna@
@become paralysed@|@lamast@
@become sad@|@hryggjast@
@become warm@|@hlýna@
@bed@|@bæli, ból, rekkja, rúm@
@bedrock@|@berggrunnur@
@bedroom@|@svefnherbergi@
@bedside cabinet@|@náttborð@
@bedspread@|@rúmteppi@
@beech@|@beyki@
@beef@|@nautakjöt@
@beer@|@bjór, öl@
@before@|@á undan, áður, aður en, áður en, fyrir, fyrr@
@before long@|@fyrr en síðar, innan skamms@
@before the altar@|@fyrir altari@
@beg@|@betla@
@beget@|@geta@
@beggar@|@betlari, húsgangur@
@beggar description@|@taka öllu fram@
@begin@|@byrja@
@begin to appear@|@brydda á@
@begin with@|@byrja á@
@beginning@|@byrjun, upphaf@
@behave@|@haga sér@
@behave badly@|@láta illum látum@
@behaviour@|@framferði, hegðun, tilburðir@
@behind@|@á eftir, að baki@
@behind and in front@|@í bak og brjóst@
@belfry@|@klukkuturn@
@belief@|@trú@
@belief in ghosts@|@draugatrú@
@believe@|@halda, trúa@
@bell@|@bjalla, klukka@
@belong@|@heyra til@
@belongings@|@dót@
@below@|@neðan, niðri@
@bench@|@bekkur@
@benchmark test@|@afkastapróf@
@bend@|@beygja, vik@
@benefit@|@gæði@
@bent@|@boginn@
@berry@|@ber@
@beside@|@hjá@
@besides@|@auk@
@best@|@bestur, bezt, beztur@
@best man@|@svaramaður@
@bet@|@veðmál@
@betrayal@|@svik@
@better@|@betri, betur@
@better late than never@|@betra seint en aldrei@
@between@|@milli@
@beyond redemption@|@á sér ekki viðreisnar von@
@bible@|@biblía@
@bibliography@|@heimildaskrá@
@bicker@|@þrátta@
@bicker with@|@erjast við@
@bicycle@|@hjól, reidhjól@
@big@|@stór@
@big mistake@|@kórvilla@
@bigger part@|@megin@
@biggest@|@mestur@
@bike@|@hjól@
@bilge@|@húfur@
@bilingual@|@tvímála@
@billion@|@billjón@
@bind@|@hnýta@
@binoculars@|@kíkir@
@birch@|@birki, björk@
@bird@|@fugl@
@bird of passage@|@farfugl@
@birth@|@burður@
@birthday@|@afmæli@
@birthday present@|@afmælisgjöf@
@biscuits@|@kex@
@bishop@|@biskup@
@bit@|@ögn@
@bit by bit@|@smám saman, smámsaman@
@bitch@|@tík@
@bite@|@bíta, biti@
@bitter@|@beiskur@
@black@|@svartur@
@black eye@|@gæoðarauga@
@black pudding@|@blóðmör@
@blacksmith@|@járnsmíður@
@blade of grass@|@blað@
@blame@|@lá@
@blamk@|@eyða@
@blank@|@eyðublað@
@blanket@|@ábreiða, lak@
@blast furnace@|@málmbræðsluofn@
@blaze@|@blossi@
@bleat@|@jarma@
@bleed@|@blæða@
@blemish@|@galli@
@bless@|@blessa@
@blessing@|@blessun@
@blight@|@spilla@
@blind@|@blindur, gluggatjald@
@blinds@|@rúllugluggatjöld@
@blizzard@|@bylur@
@block of flats@|@íbúðablokk, íbúðarhús@
@blockade@|@hafnbann, herkví@
@blocky lava@|@apalhraun@
@blood@|@blóð@
@bloodshed@|@blóðsúthelling@
@bloody@|@blóðugur@
@bloom@|@blómstra@
@blot@|@blettur@
@blouse@|@blússa@
@blow@|@blása, högg, slag@
@blow away@|@fjúka@
@blue@|@blár@
@blue mist@|@blámóða@
@blueberry@|@bláber@
@blueberry soup@|@bláberjasúpa@
@blunt@|@bitlaus@
@board@|@fæði@
@board and lodgings@|@fæði og húsnæði@
@boast@|@gorta@
@boastful@|@montandi@
@boat@|@bátur@
@boat race@|@kappróður@
@body@|@kroppur, líkami@
@bog@|@dý, for, forarflói@
@boil@|@sjóða@
@boiler@|@ketill@
@bold@|@djarfur@
@bondwoman@|@ambátt@
@bone@|@bein@
@bone needle@|@beinprjónn@
@bonfire@|@bál, brenna@
@book@|@bók@
@book keeping@|@bókhald@
@bookcase@|@bókaskápur@
@booking@|@pöntun@
@books@|@bækur@
@bookshop@|@bókabúð@
@bookstore@|@bókaverzlun@
@booty@|@herfang@
@border@|@brydda, jaðar@
@bore@|@bora, borjárn@
@borehole@|@borhola@
@boring@|@leiðinlegur@
@bosom@|@barmur@
@boss@|@yfirmaður@
@both@|@baðir, báðir, hvortveggja@
@both ... and@|@bæði ... og@
@bottle@|@flaska@
@bottom@|@botn@
@bough@|@grein@
@bounce@|@bopp@
@bow@|@bindi, bogi, bógur@
@bow down@|@hneigja@
@bowel movement@|@saurlát@
@box@|@baukur, dós, kassi, kista@
@box of matches@|@eldspýtustokkur@
@boy@|@drengur, piltur, sveinn@
@bracelet@|@armband@
@braces@|@axlabönd@
@brain@|@heili@
@brains trust@|@hugmyndabanki@
@brake@|@bremsa, hemill@
@branch@|@grein, hrísla, kvísl, kvistur@
@brass@|@eir@
@brave@|@hraustur, hugaður, hugrakkur, vaskur@
@brave man@|@hugmaður@
@bravery@|@hreysti@
@bread@|@brauð@
@bread store@|@brauðbúð@
@breadth@|@breidd@
@break@|@bila, brjóta, brotna, hrökkva@
@break a leg@|@fótbrotna@
@break down@|@bila@
@break to pieces@|@brjóta sundur@
@breakable@|@brothættur@
@breakdown@|@bilun@
@breast@|@bringa, brjóst@
@breast measurement@|@brjóstvídd@
@breast stroke@|@bringusund@
@breath@|@andardráttur, andartak, andi@
@breathe@|@anda@
@breathe one´s last@|@andast@
@breccia@|@brotaberg@
@brew@|@brugga@
@bride@|@brúður@
@bridge@|@brú@
@bridle@|@beizli@
@brief advantage@|@stundarhagur@
@bright@|@bjartur, gáfaður, ljós@
@bright green moss@|@dýjamosi@
@brighten@|@birta@
@bring@|@færa, flytja@
@bring back sheep from mountains@|@fjárheimta@
@bring to an end@|@leiða til lykta@
@bring up@|@ala upp, fæða, siða@
@brink@|@bakki@
@Britain@|@Bretland@
@British@|@breskur, brezkur@
@British Commonwealth@|@Breska samveldið@
@British Isles@|@Bretlandseyjar@
@broad@|@breiður, viður@
@broad fjord@|@flói@
@broadcast@|@útsending, útvarp@
@broke@|@félaus@
@broker@|@verðbréfasali@
@bronchitis@|@berkjukvef@
@brooch@|@brjóstnál@
@brood on@|@hugleiða@
@brother@|@bróðir@
@brother in law@|@mágur@
@brow@|@brún@
@brown@|@brúna, brúnn@
@browse through@|@glugga í@
@brush@|@bursta, bursti@
@brushwood@|@hrís@
@brutality@|@grimmd@
@bucket@|@fata@
@buckle@|@spenna@
@buffet@|@buffett, hlaðborð, veitingaborð@
@build@|@byggja, hlaða@
@build up@|@byggja upp@
@builder@|@byggingameistari@
@building@|@bygging@
@built of bricks@|@hlaðinn@
@bulge@|@bunga@
@bull@|@boli@
@bulldozer@|@jarðýta@
@bum@|@aumingi@
@bump against@|@reka sig á@
@bundle of hay@|@baggi@
@bung@|@spons@
@buoy@|@bauja@
@burglar@|@innbrotsþjófur@
@burglary@|@húsbrot, innbrot@
@burn@|@brenna@
@burning@|@brennsla, bruni@
@burst@|@bresta@
@bury@|@grafa, jarða, jarðsetja@
@bus@|@fólksbíll@
@bus stop@|@áfangastaður@
@business@|@atvinna, erindi, firma, fyrirtæki, kaupsýsla, starf, viðskipti@
@business deal@|@kaup@
@business times@|@oppunartími@
@businessman@|@kaupsýslumaður@
@busy@|@starfsamur@
@but@|@en, nema@
@butcher@|@kjötkaupmaður, slátari@
@butt@|@stanga@
@butter@|@smjör@
@butterfly@|@fiðrildi@
@buttermilk@|@áfir@
@buttermilk soup@|@áfasúpa@
@button@|@hnappur@
@button up@|@hneppa@
@buttonhole@|@hnappagat@
@buy@|@kaupa@
@buyer@|@kaupandi@
@buying a car@|@bílkaup@
@by@|@af, við@
@by all means@|@endilega@
@by all possible means@|@eftir föngum@
@by chance@|@af hendingu, af tilviljun@
@by halves@|@til hálfs@
@by heart@|@utanað@
@by law@|@með lögum@
@by means of@|@með tilstyrk@
@by no means@|@engan veginn@
@by rights@|@með réttu@
@by stages@|@í áföngum@
@by the way@|@vel á minnst@
@by this means@|@þannig@
@by turns@|@til skiptis@
@bye@|@vertu blessaður@
@byte@|@bæti@
@cabbage@|@kál@
@cabin@|@klefi@
@cabinet@|@ríkisstjórn@
@cable@|@festi, kaðall@
@café@|@kaffihús@
@cage@|@búr@
@cairn@|@dys, varða@
@cake@|@kaka@
@calamity@|@böl@
@calculate@|@reikna@
@caldera@|@askja@
@calendar@|@almanak@
@calender@|@alamanak@
@calf@|@kálfur@
@calf of the leg@|@kálfi@
@call@|@hringja, hróp, kall, kalla@
@call into question@|@efast@
@call on@|@heinsækja@
@call out@|@hrópa, kalla@
@called@|@kallaður@
@calm@|@kyrr, lygn, rólegur, sefa, stilla, stillilegur, stilltur@
@camera@|@ljósmyndavél, myndavél@
@campaigner@|@baráttamaður@
@camper@|@tjaldmaður@
@can@|@brúsi, dós@
@Canada@|@Kanada@
@candle@|@kerti@
@canned goods@|@dósamatur, niðursoðnar vörur@
@canning of herrings@|@niðursuða á sild@
@cannon@|@fallbyssa@
@cannon ball@|@fallbyssukúla@
@capable@|@fær@
@capable of@|@fær um@
@cape@|@nes@
@capital@|@höfuðborg@
@capital letter@|@upphafsstafur@
@captain@|@skipstjóri@
@capture@|@handtaka@
@capture on film@|@festa á film@
@car@|@bifreið, bíll@
@car accident@|@bílslys@
@car boot@|@skott@
@car monopoly@|@bifreiðaeinkasala@
@caravan@|@húsbíll@
@carcass@|@hræ, skrokkur@
@cardinal numbers@|@frumtölur@
@care@|@aðgæzla, umhyggja, umsjón@
@care about@|@skeyta@
@care for@|@þykja vænt um@
@career@|@uppgangur@
@careful@|@aðgætinn@
@carefully@|@vandlega@
@careless@|@aðgæzlulaus, hirðulaus@
@carelessness@|@ógætni@
@cares@|@áhyggjur@
@caressing@|@atlot@
@cargo@|@farmur@
@cargo vessel@|@flutningaskip@
@carnal@|@holdlegur@
@carpet@|@gólfteppi@
@carrot@|@gulrót@
@carrots@|@gulrætur@
@carry@|@bera, flytja@
@carry away@|@hrífa@
@carry out@|@efna, framkvæma@
@carrying@|@áburður, burður@
@cartel@|@einokunahringur@
@case@|@mál, sök@
@cashier@|@féhirðir, gjaldkeri@
@cast@|@kast, kasta@
@castigate@|@áminna@
@castle@|@hrókur@
@castle (chess)@|@hróka@
@cat@|@kisa, köttur@
@catastrophe@|@hamfarir@
@catch@|@afli, grípa, taka til fanga@
@catch a f@|@sjá bregða fyrir@
@catch a glimpse of@|@sjá bregða fyrir@
@catch cold@|@fá kvef@
@catch hold of@|@ná tökum á@
@catch in a snare@|@snara@
@catch sight of@|@koma auga á@
@cathedral@|@dómkirkja@
@catholic@|@kaþólskur@
@cattle shed@|@fjós@
@cauldron@|@ketill@
@cauliflower@|@blómkál@
@cause@|@ástæða, orsök@
@cautiously@|@gætilega@
@cave@|@hellir@
@cavity@|@hol@
@cease@|@enda@
@ceiling@|@loft í húsi@
@celebrate@|@halda upp á@
@celebration@|@hóf@
@cellar@|@kjallari@
@censure@|@taka til@
@centre@|@miðja@
@ceremony@|@athöfn, viðhöfn@
@certain@|@ákveðinn, viss@
@certainty@|@fullvissa@
@chain@|@festi, keðja@
@chain reaction@|@keðjuverkun@
@chair@|@stóll@
@chairman@|@formaður@
@chaise@|@stofustóll@
@chalk@|@Krít@
@champagne@|@kampavín@
@champion@|@kappi@
@chance@|@happ, hending, tækifæri, tilviljun@
@chandelier@|@ljósakróna@
@change@|@breyta, breyting, smápeningar@
@change colour@|@bregða lit@
@change one's mind@|@skipta um skoðun@
@changed@|@breyttur@
@chapel@|@kapella@
@chapter@|@kafli@
@character@|@gervi, innræti, skaplyndi@
@characteristic@|@einkunn@
@characteristic of@|@einkennandi fyrir@
@characterize@|@einkenna@
@charge@|@hlaða@
@charged@|@hlaðinn@
@charm@|@heilla, seiða@
@charming@|@heillandi@
@chase@|@elta@
@chatter away@|@fjasa@
@chatter on@|@láta dæluna ganga@
@cheap@|@ódýr@
@checked baggage@|@skráður farangur@
@cheek@|@kinn@
@cheer up@|@hressast@
@cheerful@|@glaðlegur, kátur@
@cheerfulness@|@glaðlyndi@
