@English@|@Dalmatian@
@sheep tickc@|@drenko@
@ship@|@buarka@
@shirt@|@kamaisa@
@shit@|@miarda@
@shore@|@raipa@
@short@|@korte@
@sickle@|@sekla@
@silk@|@saita@
@sinar@|@si@
@sister@|@saur, seraur@
@sixteen@|@sitko@
@skin@|@pial@
@sky@|@èil@
@sleep@|@samno@
@sloping street@|@plui@
@slow@|@tierè@
@small@|@pedlo@
@small ox@|@buc@
@small sheaf@|@mantsula@
@smooth@|@lois@
@snack@|@marianda@
@snow@|@nai@
@soap@|@sapaun@
@somebody@|@certain, èertain@
@son@|@fel@
@soul@|@jamma, yamma@
@spike@|@spaika@
@spindle@|@fois@
@splinter@|@sèela@
@sputum@|@spoit@
@squirrel@|@viala@
@star@|@stala@
@station@|@stasaun@
@steelyard@|@stataira@
@stepmother@|@matraya@
@stone@|@pitra@
@store@|@botaiga, stasaun@
@straight@|@drat@
@street@|@plasa@
@strong@|@fuart@
@sun@|@saul@
@supper@|@kaina@
@swallow (bird)@|@rondaina@
@sweat@|@sudaur@
@sweet@|@dolk@
@sword@|@sputa@
@table@|@jaska, jauka, maisa, yaska, yauka@
@tail@|@kauda@
@ten@|@dik@
@that@|@kol@
@the first@|@prein@
@there@|@luk@
@they (f)@|@jale@
@they (m)@|@jali@
@thick@|@dais@
@thimble@|@zizial@
@thing@|@kausa@
@thirst@|@sait@
@thirteen@|@tretko@
@thorn@|@spaina@
@thou@|@te@
@thousand@|@mel@
@three@|@tra@
@throat@|@gaula@
@thunderclap@|@tun@
@thursday@|@dzue@
@time@|@cale@
@to@|@a@
@to ask@|@prekur@
@to be@|@stur@
@to be able to@|@potar@
@to be silent@|@takar@
@to be worth@|@valar@
@to begin blossom@|@inflorara@
@to believe@|@kredro@
@to blaspheme@|@bladmur@
@to burn@|@arda'r@
@to burst@|@krepur@
@to calculate@|@computa, komputa@
@to call@|@klamuar@
@to claim@|@klamuar@
@to clothe@|@vestér@
@to come@|@vener@
@to complain@|@plungre@
@to conquer@|@konèaro@
@to count@|@computa, embruar, komputa@
@to cover@|@korprer@
@to cut@|@tal'uor@
@to deficate@|@kakuor@
@to die@|@morer@
@to dig up the vinyard@|@pasnur@
@to dine@|@prandar@
@to do@|@fur@
@to donate@|@duor@
@to dress@|@vestér@
@to drink@|@bar, bar@
@to eat@|@manonka@
@to enjoy@|@gauder@
@to extinguish@|@stotuor@
@to fall@|@kadar@
@to feel@|@senter@
@to fill@|@emplar@
@to finish@|@fenait@
@to flower@|@inflorara@
@to fry@|@fregur@
@to gather@|@rekolgro@
@to give@|@duor@
@to go@|@zer@
@to graze@|@puoskro@
@to grind@|@mankur@
@to grow@|@kraskro@
@to hang@|@piander@
@to harvest grapes@|@vedmuar@
@to have@|@avar, tenar@
@to have supper@|@kenkur@
@to heal@|@medcuar, medkuar@
@to hide@|@askondro, askondro@
@to hold@|@fermuar, tenar@
@to hurt@|@dol(ar)@
@to jump@|@satuar@
@to keep@|@tenar@
@to kill@|@dramuor@
@to kindle@|@imprandro@
@to kiss@|@bissuor@
@to know@|@sapar@
@to laugh@|@redro@
@to lead@|@menur@
@to light@|@imprandro@
@to lighten@|@lampura@
@to lose@|@piarder@
@to make@|@fur@
@to marry@|@martur@
@to mix@|@meskuar@
@to move@|@moitur, mugro@
@to narrate@|@computa, komputa@
@to open@|@apiar@
@to paint@|@piandro@
@to pay@|@pakur@
@to pee@|@miur@
@to percieve@|@senter@
@to please@|@plakar@
@to prune@|@potuor@
@to push@|@pangro@
@to put@|@mat@
@to remove@|@skutro, skutro@
@to request@|@prekur@
@to ring@|@sonuar@
@to rise@|@destruar@
@to rose@|@destruar@
@to rub with ointment@|@jongar, yongar@
@to say@|@dekro@
@to secure@|@fermuar@
@to see@|@vedar@
@to sell@|@vandro@
@to sense@|@senter@
@to sew@|@koser@
@to shout@|@ganer@
@to sing@|@kantuor@
@to slay@|@dramuor@
@to sleep@|@dormer@
@to sound@|@sonuar@
@to speak@|@faular@
@to spin@|@faila@
@to squeeze@|@strengar@
@to stand@|@stur@
@to take@|@levur, prendar@
@to tell@|@dekro@
@to throw@|@truar@
@to thunder@|@tonur@
@to torture@|@tormaint@
@to undertake@|@imprandro@
@to urinate@|@miur@
@to wake up@|@destruar@
@to want@|@blaire@
@to whistle@|@sublar@
@to wish@|@blaire@
@to work@|@stentuar@
@tomorrow@|@dezmun@
@tongue@|@langa@
@tooth@|@diant@
@torment@|@tormaint@
@tree@|@juarbul, yuarbul@
@tub@|@tinir@
@tuesday@|@mirte@
@twelve@|@dotko@
@twenty@|@venc@
@twig@|@ruoma@
@two@|@doi@
@uncle@|@naul@
@upward@|@sois@
@urine@|@meyatoira@
@us@|@ne@
@vagina@|@kon@
@vat@|@tinir@
@vein@|@vaina@
@vine@|@vaita@
@vinegar@|@akait@
@vinyard@|@venna@
@viper@|@karnoit@
@voice@|@baud@
@vulva@|@kon@
@wafer@|@bluta@
@wall@|@mor@
@wall plant@|@pyankura@
@walnut-tree@|@nokyera@
@wave@|@jonda, yonda@
@wax@|@kaira@
@we@|@noi, nu@
@wednesday@|@misadma@
@week@|@jedma, yedma@
@well@|@bin@
@wet@|@duot, joit, yoit@
@what@|@ko@
@What did you say?@|@Che favle@
@What is it?@|@Che sante el@
@What is your name?@|@Che sante to naun@
@when@|@kand@
@where@|@jo, yo@
@Where is ...?@|@Jo sant ...@
@which@|@kal@
@white@|@jualb, yualb@
@who@|@èi@
@Who are you?@|@Ko te sante@
@whole@|@intrik@
@why@|@perkó@
@wide@|@luarg@
@wind@|@viant@
@wine@|@ven@
@wine jug@|@trufo@
@winter@|@inviarno@
@with difficulty@|@pesunt@
@with me@|@konmaik@
@wood@|@buask, lank@
@wool@|@luona@
@word@|@palaura@
@workshop@|@botaiga@
@year@|@jan, yan@
@Yes@|@Sai@
@yesterday evening@|@saira@
@yoke@|@zauk@
@you@|@toi, voi@
@you (object)@|@ve@
@you (plural)@|@vu@
@young fowl@|@poluastro@
@your@|@to, vestro@

