@Spanish (Forestry)@|@English@
@candela@|@fire, blaze@
@canteadora@|@skragg mill@
@canteros de vivero (A)@|@nursery beds@
@caoba@|@mahogany@
@caoba filipina@|@Philippine mahogany@
@capataz@|@foreman, field supervisor@
@capín melao (V)@|@molasses grass@
@capuera (A)@|@second growth, natural regeneration@
@capullo@|@bud@
@cara defectuosa en el fuste@|@catface@
@carbón mineral@|@coal@
@carbón vegetal@|@charcoal@
@cárcava@|@gully, erosion@
@carga@|@load@
@carga a larga distancia@|@long haul@
@carga en bulto@|@bulk shipment@
@carga marítima@|@seaborne@
@cargador@|@loader@
@caribe (V), piraña@|@piranha@
@carpida con azada (A)@|@scalp with hoe@
@carpido (A)@|@weeding with hoe@
@carpintería@|@carpentry shop, carpenter's shop@
@carpófora@|@mushroom/toadstool@
@carro bombero@|@fire truck@
@cartón@|@cardboard, paperboard@
@casa de madera@|@frame house@
@casa prefabricada de madera@|@prefabricated wooden house@
@cascabel@|@rattlesnake@
@cascara (fruta)@|@peel, hull (fruit)@
@casco de seguridad@|@hardhat@
@cationes@|@cations@
@caucho@|@rubber, rubber tree, banyan@
@caucho (V)@|@tire@
@caudal@|@stream flow@
@cebo@|@bait@
@cedro@|@cedar, Spanish cedar@
@célula del parénquima@|@parenchyma cell@
@celulosa@|@cellulose@
@ceniza@|@ash (from burning)@
@ceniza volcánica@|@volcanic ash@
@centella, rayo@|@lightning, flash@
@cepa@|@strain, line (plant)@
@cepa criolla, cepa geográfica@|@land race@
@cepillada (madera)@|@dressed lumber@
@cepilladora@|@planer@
@cepilladora de espesor@|@wood planer machine@
@cepillar (madera)@|@plane (wood)@
@cercha@|@roof truss@
@cerezo@|@cherry tree@
@cespedón (con plántula)@|@containerized seedling@
@champiñón@|@mushroom@
@chamuscado de follaje@|@crown scorch@
@chancrosis, chancro@|@canker@
@chapa desenrollada@|@veneer (rotary)@
@chapa rebanada@|@veneer (sliced)@
@chapa, enchapado@|@veneer, veneered@
@chapaleta (V)@|@fire swatter@
@chaparro@|@chaparral@
@chapea (CR), limpieza con machete@|@brush clearing by machete@
@chapilla@|@veneer (sliced)@
@chapulín (CR)@|@wheel tractor, small@
@charral (CR), rastrojo bajo@|@low brush@
@chinche@|@stinkbug, chinch bug@
@chipera (A)@|@chipper@
@chiper-canter (A)@|@chip-n-saw@
@chispa@|@spark@
@chofer, camionero@|@truck driver@
@chulo (C)@|@buzzard@
@chupón (brote de raíz)@|@sucker (root sprout)@
@chuto (V)@|@truck tractor@
@ciclo de corte, turno@|@cutting cycle, rotation@
@cicuta@|@hemlock@
@ciénaga@|@swamp lake@
@ciervo@|@deer@
@cigoto@|@zygote@
@cilindro de impregnación@|@pressure treatment tank@
@cima@|@hilltop, ridge@
@cincel@|@chisel@
@cinta diamétrica@|@diameter tape@
@cinturón de seguridad@|@safety belt@
@ciprés@|@cypress@
@clase fórmica (árbol)@|@form class (tree)@
@clavo@|@nail@
@clima@|@weather, climate@
@clorofila@|@chlorophyll@
@clorosis@|@chlorosis@
@coa (M)@|@small shovel@
@cobertura forestal@|@forest cover@
@cobertura vegetal@|@ground cover@
@cobertura vegetal (vivero)@|@cover crop (nursery)@
@cociente@|@ratio@
@coco@|@coconut palm, coconut@
@cocodrilo@|@crocodile@
@codominante@|@codominant@
@coeficiente mórfico@|@form factor@
@coetáneo@|@even-aged@
@cogollo@|@sprout, terminal leader@
@cola a base de úrea@|@formaldehyde glue@
@cola fenólica@|@phynolic glue@
@comadreja@|@weasel@
@combustible@|@fuel@
@combustión@|@combustion@
@comején@|@termite@
@compartimiento@|@compartment@
@compartimiento de explotación@|@logging chance@
@compendio@|@abstract (of a report)@
@compensado (A)@|@plywood@
@complejos genéticos@|@genetic complexes@
@componente genético aditivo@|@additive genetic effect@
@componente genético no aditivo@|@non-additive genetic effect@
@comportamiento de fuego@|@fire behavior@
@computadora@|@computer@
@con corteza@|@with bark, overbark@
@conato de incendio@|@spot fire, initial fire@
@concha(V)@|@bark@
@concurso (licitación del gobierno)@|@government offer to bid@
@conejo@|@rabbit, cottontail@
@conífera@|@conifer, evergreen@
@cono@|@cone@
@conocimiento de embarque@|@bill of lading@
@consanguinidad@|@relatedness@
@conservación@|@conservation@
@conservacionista@|@preservationist@
@contabilidad@|@accounting@
@contaminación@|@pollution@
@contenido de humedad@|@moisture content@
@contra piso@|@subflooring@
@contraenchapado@|@plywood@
@contra-fuego, retroquema@|@backfire@
@contratista@|@contractor@
@contrato@|@contract@
@conuco (V), minifundio@|@homestead@
@copa (árbol)@|@crown (tree)@
@cópice@|@coppice@
@coquito (Ciperaceae)@|@nutgrass@
@coquito (insecto)@|@beetle, wood borer@
@cordillera@|@mountain range@
@correa@|@belt (conveyor)@
@correa de techo@|@stringers (roof)@
@corrugado medio@|@corrugated medium@
@corta-fuego@|@fireline@
@cortar@|@cut@
@corte anual@|@annual cut@
@corte de la mejor cara@|@sound face cutting@
@corte permisible@|@allowable cut@
@corteza@|@bark@
@cortina rompeviento@|@windbreak@
@cosecha@|@harvest@
@costanera, costero@|@slab (of log)@
@costanero@|@slab (of log)@
@cotización@|@bid@
@crecimiento@|@growth@
@criar (animales), cultivar@|@breed animals@
@cromosoma@|@chromosome@
@cruce entre 2 individuos@|@outcrossing@
@cruzar, aparear@|@cross, mate@
@cuadrado medio (CM)@|@mean square (MS)@
@cuadrado mínimo@|@minimum square@
@cuadrilla contra incendios@|@fire crew, fire brigade@
@cuadro (de un informe)@|@table (in a report)@
@cualitativo@|@qualitative@
@cuantitativo@|@quantitative@
@cuarzo@|@quartz@
@cucarrón@|@beetle@
@cuello radicular@|@root collar@
@cuenca hidrográfica@|@watershed@
@cuerda de madera apilada@|@cord (4'x4'x8')@
@cuerpo fructífero@|@fruiting body@
@cuervo@|@crow@
@cuesta@|@slope@
@cuidar el área después del incendio@|@mop-up, fire line control@
@culebra venenosa@|@poisonous snake@
@cultivar (planta)@|@breed (to), cultivate@
@cultivo de tejidos@|@tissue culture@
@cuña@|@wedge@
@cursillo@|@short course@
@curva de nivel@|@contour line@
@D.A.P.@|@D.B.H.@
@damping off@|@damping off@
@DAP@|@DBH@
@dársena@|@log pond@
@dasonomía@|@mensuration, silviculture@
@debobinado (A)@|@rotary veneer@
@defecto sólido de la madera@|@sound defect in wood@
@defoliación@|@defoliation@
@dendrología@|@dendrology@
@dendrómetro@|@dendrometer@
@densidad aparente@|@wood density, bulk density@
@densidad básica@|@wood density, oven dry@
@densidad de madera@|@wood density@
@densidad de plantación@|@stocking@
@densidad real de celulosa (1.5g/cc)@|@cellulose density (1.5 g/cc)@
@derrumbe@|@landslide@
@desbejucar@|@vine removal@
@descalce (CH) (vivero)@|@root wrenching (nursery)@
@descendente (orden)@|@descending (order)@
@descoronar (CR), destope del árbol@|@top prunning@
@descortezadora@|@debarker@
@descortezadora de anillo@|@ring debarker@
@descortezadora de tambor@|@drum debarker@
@descortezar@|@debark, peel@
@desechos de la explotación@|@slash, logging debris@
@desenrollado@|@veneer (rotary)@
@desfribrado@|@defibration@
@deshierbar@|@weed (to)@
@deshijar (CR)@|@desprout/remove basal sprouts@
@desmalezar@|@weed (to)@
@desmontar@|@deforest@
@despuntador@|@cut-off saw@
@desramar@|@delimb (to), lop@
@destajo@|@piece rate@
@destopar (árbol)@|@top removal (tree)@
@destornillador@|@screw driver@
@destornillador de estría@|@screw driver, Phillips@
@destornillador de pala@|@screw driver, flat blade@
@diabasa, basalto@|@basalt@
@diámetro@|@diameter@
@dimensión nominal@|@nominal dimension@
@dimensión real@|@real dimension@
@dióico@|@dioecious@
@diploide (2 juegos de cromosomas)@|@diploid (2 sets of chromosomes)@
@diseño@|@design@
@disetaneo@|@uneven-aged@
@disminuir@|@decrease (to)@
@disminuyendo@|@decreasing@
@dispersar, diseminar@|@scatter@
@distribución natural@|@natural range@
@doble troque (C)@|@tandem truck@
@dominancia genética@|@genetica dominance@
@dominante@|@dominant@
@dosel@|@canopy, overstory crown cover@
@drenaje natural, area de@|@swail@
@duna@|@sand dune@
@duramen@|@heartwood@
@durmientes@|@railroad ties, sleepers@
@ebanistería@|@cabinet work@
@ecología@|@ecology@
@ecólogo@|@ecologist@
@ecuaciones de conicidad@|@taper equations@
@edad de turno@|@rotation age@
@edad temprana, joven@|@juvenile@
@edáfico@|@edaphic@
@edafólogo@|@soil scientist@
@efecto genético aditivo@|@additive genetic effect@
@efecto genético no aditivo (predominancia y epistasis)@|@non-additive genetic effect (dominance and epistasis)@
@embalajes@|@crating@
@embarques regulares@|@regular sailings@
@empalmadora de madera@|@joiner (wood)@
@empernado (V)@|@bolted@
@empresa@|@company@
@enana (planta)@|@runt@
@encino (CA, M, Ch)@|@oak@
@encofrados,formaletas de concreto@|@concrete forms@
@encolada (madera)@|@finger jointing@
@encombado (tabla)@|@curving of boards@
@encorvadura (V), curvatura@|@wood curve@
@enfermedad@|@disease@
@enfermedad de las almácegas@|@damping off@
@enraizamiento de estacas@|@rooting of cuttings@
@enredadera@|@vine@
@enrollador (insecto)@|@leaf roller (insect)@
@ensayo@|@trial, test, experiment@
@ensayo de progenie@|@progeny test@
@entresaca@|@thinning@
@entresaca (huerto semillero)@|@rogue, roguing@
@entresaca por lo bajo@|@thinning from below@
@entresaca precomercial@|@precommercial thinning@
@enzima@|@enzyme@
@epidemia@|@epidemic@
@epístasis@|@epistasis@
@equipo (A)@|@tractor & full trailer@
@era (vivero)@|@nursery bed@
@erosión@|@erosion@
@erosionar@|@erode@
@error de muestreo@|@sampling error@
@escalafón@|@scale, rank@
@escama@|@scale (pine cone)@
@escama (insecto)@|@mealy bug@
@escardilla (V), azadón@|@hoe@
@esciófita (especie)@|@light tolerant species@
@escorrentía@|@runoff@
@escotilla abierta@|@open-hatch configuration@
@especie@|@species@
@especies de fibra corta@|@hardwoods@
@especies latifoliadas@|@broadleaf species@
@especies maderables@|@sawtimber species@
@espesor de tablas@|@board thickness@
@espiraladas (raices)@|@spiraled (roots)@
@espódico@|@spodic@
@espodosol@|@spodosol@
@espora@|@spore@
@esquisto@|@schist@
@estacas@|@cuttings, stakes@
@estacas enraizadas@|@rooted cuttings@
@estadísticamente@|@statistically@
@estadístico@|@statistical, statistician@
@estado cespetoso@|@grass stage@
@estereo@|@stere (a m3 of piled wood)@
@estiva@|@stave, dunnage@
@estomas@|@stomates@
@estratificación@|@stratification@
@estrato inferior@|@understory@
@estrato superior@|@overstory@
@estrés ambiental@|@enviornmental stress@
@estudio@|@study, trial@
@estudio de tiempos y movimientos@|@time/cost study@
@etiqueta, marca@|@tag@
@eucaliptal@|@eucalypt forest@
@eucalipto@|@eucalypt@
@evaluación@|@assessment@
@evapotranspiración@|@evapotranspiration@
@exclusa@|@lock (ships)@
@experto, tecnólogo forestal@|@technician, ranger@
@explotación de madera@|@logging, harvesting@
@extintor, extinguidor@|@fire extinguisher@
@extracción de madera@|@logging@
@fábrica@|@plant (manufacturing)@
@facícula@|@fascicle@
@factura@|@invoice@
@factura comercial@|@commercial invoice@
@faena (forestal)@|@task, job@
@faja@|@strip of land, girdle@
@fajardas, postes de mina@|@mine props@
@fajas de enriquecimiento@|@strip plantings@
@falla de compresión@|@compression failure@
@faqueado (A)@|@sliced veneer@
@fardo@|@bale, bundle@
@fauna silvestre@|@wildlife@
@fecundación controlada@|@crossing, breeding@
@fenología@|@phenology@
@fenotipo@|@phenotype@
@feromona@|@pheromone@
@fertilizante@|@fertilizer@
@fibra@|@fiber@
@fila@|@row@
@filo@|@hilltop, ridge@
@filodio@|@phyllode@
@finca@|@farm@
@finger (A)@|@fingerjoint@
@finquero@|@farmer@
@fisionomía@|@physiognomy@
@floema@|@phloem@
@flor@|@flower@
@floramiento rocoso@|@rock outcrop@
@flujo de caja@|@cash flow@
@FOB carga abordo del transportador@|@FOB (freight on board)@
@follaje@|@foliage@
@follaje perenne@|@evergreen@
@forcípula@|@calipers@
@forestación (A)@|@plantation, planting@
@formaletas@|@concrete forms@
@formón@|@wood chisel@
@forraje (pastizal)@|@forage (pasture)@
@fosfato diamónico@|@diammonium phosphate@
@fotografía aérea@|@aerial photograph@
@fractura@|@fracture@
@frambuesa@|@raspberry@
@franco arcillo-arenoso@|@sandy clay loam@
@franco arenoso@|@sandy loam@
@franja cortafuego@|@firebreak@
@frecuencia genética@|@genetic frequency@
@fresno, urapán@|@ash tree@
@friable@|@friable@
@friso (viga de soporte)@|@head board, joist@
@frondoso@|@broad-leaved@
@fructificación@|@fruiting body@
@fruto (árbol), fruta (comestible)@|@fruit@
@fuego@|@fire@
@fuentes genéticas@|@genetic sources@
@fundo@|@farm@
@fungicida@|@fungicide@
@fustal@|@small timber stand@
@fuste@|@bole (tree)@
@fuste seco@|@snag@
@gallinazo(C),zamuro(CA),zopilote(M)@|@vulture@
@gambas (CR)@|@flutes (tree base)@
@gameto (reproducción sexual)@|@gamete (sexual reproduction)@
@ganadero@|@cattle rancher@
@gandola (V)@|@tractor-trailer, trailer@
@garlopa (V)@|@wood plane@
@garlopa de banco@|@joiner@
@garrapata@|@tick@
@gasoil, ACPM (C)@|@diesel fuel@
@gato (mecánico)@|@jack, hydraulic jack@
@gavilán@|@hawk@
@gene@|@gene@
@genética forestal@|@forest genetics@
@genotipo@|@genotype@
@geotrópico@|@geotrophic@
@germinación@|@germination@
@germoplasma@|@germplasm@
@gimnosperma@|@gymnosperm@
@glifosato@|@glyfosate@
@goma (A)@|@tire@
@gorgojo@|@weevil@
@gradiente@|@cline, gradient@
@gradiente de humedad@|@moisture gradient@
@grados de libertad@|@degrees of freedom@
@gramineas@|@grasses@
@granito@|@granite@
@granizada@|@hail storm@
@granizo@|@hail@
@grano en espiral (CR)@|@spiral grain@
@grava, gravilla, balasto@|@gravel@
@gravedad específica@|@specific gravity@
@gremio forestal@|@forest industry@
@grieta@|@crack@
@grillo@|@grasshopper@
@grua en rieles para carga de navios@|@traveling gantry crane@
@grua hidráulica (con plumilla)@|@knuckle-boom loader@
@grua para carga de navios@|@gantry crane@
@grua, grulla (C)@|@loader, crane@
@guacamayo@|@maccaw, papagayo@
@guadaña (C)@|@scythe, rotary mower, brush cutter@
@gualanday (C)@|@jacaranda@
@guañan@|@ox driver@
@guandal (C)@|@swamp forest@
@gubia@|@gouge (wood)@
@guía (de camión)@|@bill of lading@
@gusano@|@caterpillar, grub@
@habilidad combinatoria específica@|@specific combining ability@
@habilidad combinatoria general@|@general combining ability@
@hacha@|@axe@
@halcón@|@falcon@
@haploide (1 juego de cromosomas)@|@haploid (1 set of chromosomes)@
@hardpan, harpan@|@hardpan@
@hato@|@cattle farm@
@haya@|@beech@
@hectárea@|@hectare@
@helada@|@frost@
@helecho@|@fern@
@heliófita (especie)@|@shade tolerant specie@
@hemi-celulosa@|@hemi-cellulose@
@hendido (defecto en madera)@|@check (wood defect wood)@
@heno@|@hay@
@herbicida@|@herbicide@
@herbívoro@|@herbivore@
@heredabilidad@|@heritability@
@herida@|@injury@
@hermanos@|@siblings, sibs (trees)@
@hermanos completos@|@full sibs@
@hermanos medios@|@half sibs@
@herramienta@|@tool@
@heterocigosidad@|@herterozygosity@
@heterocigoto@|@heterozygote@
@híbrido@|@hybrid@
@hidrología@|@hydrology@
@hifa, hifas@|@hypha, hyphae@
@hilera@|@row@
@hinchazón@|@swelling@
@hipsómetro@|@hypsometer, altimeter@
@histosoles@|@histosols@
@hoja@|@leaf@
@hojarasca@|@litter, duff@
@hojarasca de acículas@|@pinestraw@
@hojuelas@|@leaflets (of a tree)@
@homocigoto@|@homozygote@
@hongo@|@fungus@
@hongos cromógenos@|@staining fungi@
@hongos xilófagos@|@dryrot fungi@
@hormiga@|@ant@
@hormiga arriera@|@leaf-cutter ants@
@hormigón (edificio)@|@footing (building)@
@hormona@|@hormone@
@horno@|@oven@
@horqueta (A)@|@fork (of a tree)@
@huerto semillero@|@seed orchard@
@huerto semillero clonal@|@clonal seed orchard@
@hule (CA)@|@rubber tree@
@humedad de equilibrio@|@equilibrium moisture content@
@humo@|@smoke@
@I.C.A.(Incremento Corriente Anual)@|@P.A.I. (Periodic Annual Increment)@
@I.M.A.(Incremento Medio Anual)@|@M.A.I.(Mean Annual Increment)@
@ignición aérea@|@aerial ignition@
@igual@|@equal@
@incendio a cabeza@|@head fire@
@incendio a favor del viento@|@head fire@
@incendio contra el viento@|@back fire@
@incendio de copa@|@crown fire@
@incendio de flanco@|@flank fire@
@incendio forestal@|@forest fire, wild fire@
@incendio superficial@|@ground fire@
@incremento@|@increment@
@incremento corriente anual@|@periodic annual increment@
@incremento medio anual@|@mean annual increment@
@índice de densidad relativa@|@stocking index@
@índice del peligro de incendios@|@fire danger index@
@infraestructura@|@infrastructure@
@ingeniería de sistemas@|@computer science@
@ingeniero forestal@|@forester@
@ingresos@|@income@
@injerto@|@graft@
@intermedio@|@intermediate@
@intolerante@|@intolerant@
@inundación@|@flooding@
@inventario@|@inventory, survey@
@inventario forestal@|@timber cruise@
@invernadero@|@greenhouse@
@investigación forestal@|@forest research@
@invierno@|@winter@
@jacaranda, gualanday (C),@|@jacaranda@
@jaguar, tigre, onza (V)@|@jaguar@
@jefe de cuadrilla@|@crew boss@
@jefe de incendio@|@fire boss@
@jornada@|@work day@
@jornal@|@laborer@
@junco@|@rattan, large vine@
@labranza@|@tillage@
@ladera@|@slope@
@lagarto@|@lizard, alligator@
@lama (V), aserrín@|@kerf, width of sawcut@
@lama, musgo@|@moss@
@lámina aglomerada@|@particle board@
@lámina prensada@|@hardboard@
@langosta (insecto)@|@lubber grasshopper@
@largos sorteados@|@random lengths@
@larva@|@larva@
@latencia, período de reposo@|@dormancy@
@latifundio@|@large farm@
@latizal@|@sapling stand@
@lechuza@|@small owl@
@leña@|@cordwood, firewood@
@lengüeta y ranura (V)@|@tongue & groove@
@leñoso@|@woody@
@levantamiento topográfico@|@topographic survey@
@levantamiento:plántulas del vivero@|@lifting (from nursery bed)@
@libre de competencia@|@free-to-grow@
@licitación@|@bid, international offer to@
@liebre@|@hare, jackrabbit@
@lignina@|@lignin@
@lignotubérculo@|@lignotuber@
@lijar@|@to file@
@lima@|@file@
@límite, lindero@|@boundary@
@limpieza (en plantaciones)@|@weeding (in plantations)@
@lince@|@lynx@
@listón@|@cant, round roof stingers@
@lixiviar@|@leach@
@llama@|@flame@
@llanos@|@plains@
@llanta@|@tire@
@llanura@|@plain@
@llave@|@wrench, key@
@llave ajustable@|@adjustable wrench@
@llave de boca fija@|@open-end wrench@
@llave de copas@|@socket wrench@
@llovizna@|@misty rain, mist@
@lluvia@|@rain@
@loco, locos (genética)@|@locus, loci@
@lodo, lodoso@|@mud, muddy@
@logaritmo@|@logarithm@
@logros genéticos@|@genetic gains@
@loma@|@hill@
@lombriz@|@earthworm@
@longitud de rotura (pulpa, papel)@|@breaking length (pulp, paper)@
@longitud de traqueida@|@tracheid length@
@lora@|@parrot@
@lugar/sitio de cromosomas@|@locus/loci@
@machihembrado@|@tongue & groove@
@madera@|@timber, wood@
@madera arqueada, combada@|@bowed wood@
@madera aserrada@|@lumber, sawn wood@
@madera aserrada, separador@|@desticker (of lumber)@
@madera blanda (de conífera)@|@softwood@
@madera cepillada@|@planed lumber, dressed lumber@
@madera de aserrío@|@sawtimber@
@madera de pulpa@|@pulpwood@
@madera defectuosa@|@cull@
@madera dura (especie frondosa)@|@hardwood@
@madera en pie@|@stumpage, growing stock@
@madera lijada@|@sanded wood@
@madera pulida@|@planed lumber@
@madera rajada@|@split wood@
@madera rolliza@|@roundwood@
@madera secada al aire@|@air-dried lumber@
@madera secada al horno@|@kiln-dried lumber@
@madera tardía@|@latewood, summerwood@
@madera temprana@|@earlywood, springwood@
@madera trabajada@|@hewn wood@
@maderable@|@mature stand@
@maderero@|@logger@
@maduro@|@mature@
@maleza@|@weed, weeds@
@mancha azul@|@bluestain@
@manejo forestal@|@forest management@
@mango (herramienta)@|@handle (tool)@
@mano de obra@|@labor@
@mapaná (C), mapanare (V)@|@moccasin, water moccasin (snake)@
@máquina@|@machine@
@máquina plantadora@|@planting machine@
@máquina taladora-arrumadora@|@feller-buncher@
@maquinaria@|@machinery@
@marca, etiqueta@|@tag@
@marcar (un árbol)@|@blaze (on a tree)@
@marchitamiento@|@wilt, dieback@
@marchitar@|@wilt (to), wither@
@marcos de estructura@|@interiorinterior wall framing@
@mariposa@|@butterfly@
@martillo@|@hammer@
@masa remanente@|@residual stand@
