@English@|@Maxakali@
@All the Maxakalí went to catch fish@|@Tikmü'un xohix mõg nüy mãmxaxi@
@All the Maxakalí were crowded together@|@Tikmü'ün xohixte yãy pu mõ'yön@
@alligator@|@mã'ãy@
@almost@|@kõmnãg@
@almost as soon as he finished@|@ha' nõg pãynãg@
@alone@|@hãpxet, hãpxet mod@
@alongside@|@yïka@
@alongside of@|@kãmü@
@already@|@a@
@also@|@kama@
@always@|@ãhïynãg@
@amass@|@kotïnnãhã@
@amazement@|@OOOO@
@ambush@|@gox@
@An arrow whistled by@|@Tu: -Xõg. Kaxïy@
@An evil man deceives others.@|@Tik kummuk te mõ'ãmã@
@An outsider lives on barren land@|@Ãyuhuk te hãmpanip tu' pet@
@anaconda snake@|@kãyã tut@
@ancestor@|@mõnãyxop@
@ancient@|@hittap@
@and@|@ha, tu, xix@
@And (someone) opened the gate@|@Ha hãmpak'ax yïkox xõn.@
@And abandoned his/her daughter@|@Tuk-tok hex nïm@
@and afterward went to his daughter's home@|@tehomi 'ük-tokhex pet ha' mõg@
@and ate it@|@tu' mãhã@
@and began to salivate@|@ha' yïkoxhep xupep@
@And began to till the field@|@Ha hãpxa kõnãmãhã@
@and brought it before them@|@tu tik xop keppa' nünnãhã@
@And cooked the food over the fire@|@Ha kugõy hã' xit'ax puk@
@and gave (the pieces) to his men@|@tu' yãy tik xop pu' popmãhã@
@and gave it to me@|@Tu ã' hõm@
@And God had mercy@|@Ha Topa kuxa ka@
@And Grandfather smoked@|@Ha Yãyã kohok gõyãhã@
@And he called a child@|@Ha kakxop xãnãhã@
@And he came until he arrived at home@|@Tu' nün tu nüktu xupep yãy pet@
@And he exchanged it for money@|@Ha' yãnãn tu' tayümak hõm@
@And he had only one child@|@Hak-tok yãpxehnãg@
@And he lived there for many years@|@Tu' nox xip mõkumakmõg@
@And he loved his brother@|@Ha' taknõy putuppax@
@And he missed/sought for that one@|@Tute nõm xak@
@And he mounted on a mare@|@Ha kamãnok hex yïmü' mõg@
@And he pierced him again@|@Tu' xuhmïy üxehe@
@And he reached out his hand…@|@Tu' yïm kutit@
@And he scratched because of the skin eruption@|@Ha' yãy akoho ïnxux tu@
@And he stopped the cruel joke.@|@Ha hãpkutex kummuk kuxyãhã.@
@And he traveled until he arrived@|@Tu' nün tu nüktu xupep@
@And he traveled until he arrived….@|@Tu' mõg tu mõktu xupep….@
@And he was overjoyed@|@Ha' kuxa hittup xexka@
@And healed (caused the health of) the sick ones@|@Ha' pakut xop hittupmãhã.@
@And his wife went along@|@Ha' xetut mõg kama@
@and it calmed down@|@pu tu xuxix ha' xuxix@
@and it ended@|@ha' ka@
@And it thundered@|@Ha:-Tananana'ax@
@And it was sundown.@|@Ha ãmãxak.@
@And Maxakalí called to the other to look@|@Ha tik te' nõy hënãhã@
@and my child slept in it@|@ta tu' xup kakxop tu@
@And pus oozed out of his eyes@|@Ha payõn te' pa tu' xupep@
@And rebuked the man.@|@Tu tik mãnõg.@
@And said@|@Ha: -Mã! Kaxïy@
@And said "Not really?"@|@Ha: -Tok!@
@And saw the child@|@Tu kakxop penãhã@
@and stopped doing the bad things@|@nüy hãpkummuk mïy kux@
@And that finishes it@|@Tu ta tu' kux@
@And the ancestor groaned.@|@Ha mõnãyxop te:– Ããã.@
@And the ancestor said: "Uh huh."@|@Ha mõnãyxop teü -He'e@
@And the ancestor screamed@|@Ha mõnãyxop te:--Ho@
@And the ancestors traveled until they arrived..@|@Ha mõnãyxop mõgtu mõktu mõxaha@
@And the arrow pierced the target@|@Tu' pox hã: -Tãg. Kaxïy.@
@And the baby wailed@|@Ha kakxop te:--Ex'e'e'e'e@
@And the bridegroom was there@|@Ha ta' xip tik te yãytaha@
@And the city is called Brasília@|@Ha' xiptuxexka ãxet'ax Manayit@
@And the house was gone@|@Ha' mïptut nõã@
@And the man called his sister@|@Ha tik te' hex xãnãhã@
@and the man gasped@|@Ha tik te: -Ã@
@And the man said "Yes"@|@Ha tik te:__He 'e'@
@And the man shook his right hand@|@Ha tik te' yïpxe'e müg@
@And the Maxakalí followed him@|@Ha tikmü'ün mõg nõ pehe@
@And the Maxakalí heard the speech@|@Ha tikmü'ün te hãm'ãktux ãpak@
@And the Maxakalí said yes@|@Ha tikmü'ün te:–ë'ë'ë@
@and the other person forgave him@|@ha' nõy te' xaxogãhã@
@And the owl hooted@|@Ha kuptap te:–Ëã ëã kaxïy@
@And the wind blew.@|@Ha ãmuuh te mõ' ko'uk.@
@And the woman called out:--Look here!@|@Ha ün teü--Hënã!@
@And the woman said: "That's right!"@|@Ha ün teü--Hamün!@
@And there were many horned screamers@|@Ha ãpihi xohix pip@
@And they went downstream together@|@Tu ta' mõg ka' mãm kopu@
@and they were afraid@|@ha kuxãnõg@
@And told it to someone else@|@Ha' nõy pu' xuktux@
@And Topa nodded yes@|@Ha Topa teü--Hë'ë.@
@and we ate them@|@Ata tepta ha' mãhã ha' xuxpe@
@and were filled with awe@|@tu' kuxa te' yëy.@
@and when finished@|@tu' kux tu nõ mãpxamut@
@angry@|@gãy@
@animal fat@|@xoktop@
@animal tracks@|@putat tux@
@ant@|@münïhïn@
@anteater@|@xokixnãg@
@any@|@üm@
@appear to be@|@putuk@
@archaic@|@hittap@
@archaic form of hãmmaihnãhã@|@hãmmaxnãhã@
@armadillo@|@koxut@
@arrive@|@mõxaha, mõxãn, xupep@
@arrow@|@pohox@
@ashamed@|@yãyhahup@
@ask@|@yïkopit@
@assent@|@hu'u@
@assist@|@tehe, tehet@
@At dawn the Maxakalí wake up.@|@Mãyõn xupep ïhã tikmü'ün yãyko@
@at foot of@|@kaka@
@At midnight the spirits are active@|@Ãmnïy kote ïhã yãmïyxop tek/x@
@At night I saw lightning@|@Ãmnïy hã ãte tex yãnãm penãhã@
@At night I slept soundly@|@Ãmnïy hã mõkyõn ka'ok@
@at someone's back@|@xãmpa@
@At sundown today we will sing to the spirits@|@Hõnhã ãmãtxak ïhã yã yãmïyxop@
@ate the corn and manioc@|@ümãhã paxok xix kohot@
@atop@|@pepi@
@attractive@|@maih, mãynãg@
@aunt (father's sister)@|@xukux@
@authorize someone@|@yãy'ãxet'ax hõm@
@await@|@hip@
@awaken@|@yãykoxak@
@awakening@|@Õ@
@awe@|@YaY@
@awed@|@kuxãnõg@
@axe@|@kupu'uk@
@baby crying@|@EX'E'E'E'E@
@back@|@xãm@
@back of the hand@|@yïmxãm@
@backache@|@xãpxüy@
@backbone@|@pat@
@bad@|@kummuk@
@banana@|@tepta@
@banana variety@|@tepta ka'õgnãg@
@baptize@|@putox pix@
@barbed wire@|@pipkupxit@
@bark@|@xax@
@barren land@|@hãmpanip@
@bat@|@xunnüm@
@bathe in water@|@tatxok@
@batter@|@pohot@
@batter with stones@|@tux@
@be@|@pihip@
@be (position or location)@|@xip@
@Be alert! Watch out!@|@Õg pa mõ'xip! Pënã max!@
@be born@|@nãhã@
@be like@|@putuk@
@be located@|@pip, yüm@
@bead@|@xap@
@bear@|@taha, tot@
@bear something@|@nõã'tot@
@beat@|@kix@
@because@|@ha, hah, tu@
@Because of the rain@|@Tex tihi ha mïxux punethok.@
@become extinct@|@nõã@
@bed@|@mïpxap@
@bee@|@puhuk@
@beetle@|@ïnyõnxit, kotap@
@before@|@keppa@
@before dawn@|@hãmyã kuhmõy@
@Before dawn Father wakes up@|@Hãptapkoa ïhã ãtak te yãykoxak@
@before daybreak@|@hãptapkoa@
@beg@|@ta tu' kax, ta tu' xak@
@begin@|@kõnãmãhã@
@bell@|@ãmãnex xap, pipkup ni'ik@
@belly@|@tex, textop@
@belly ache@|@tex xüy@
@belt@|@nãyhïy'ax@
@bench@|@mïmpe@
@bend down@|@hãm müy@
@bend over@|@künãkoho@
@berate@|@mãnõg@
@beyond@|@homi, künãpa@
@beyond expectation@|@ya'oma@
@big brother@|@nõy tuk xexka@
@big toe@|@patatut@
@bird@|@putuxnãg@
@birdcall@|@kax@
@Birds build nests on branches.@|@Putuxnãg te mïmmãg yïmü' pet.@
@bite@|@kanep, putop@
@biting@|@kanep@
@black@|@münïy@
@blanket@|@komenok@
@bless@|@hãmmaihnãhã@
@blind@|@pa hok, penãhok@
@blood@|@hep@
@blood vessel@|@heptat'ax@
@blow@|@mõ'kouk@
@blue@|@yïxux@
@board@|@mïmpe@
@body@|@yïn@
@boil@|@xutnãg@
@bone@|@kup@
@book@|@tappet@
@border@|@extrem@
@bottle@|@gahap@
@bow@|@nãptut@
@bow low@|@nü'xup@
@bow string@|@nãptut xit@
@bracelet@|@yïmhïy@
@branch@|@mïmmãg@
@bread@|@pãm@
@break@|@koxyõy@
@break apart@|@koxip@
@breathe@|@xitxut@
@bridge@|@kamïm@
@bring@|@nünnãhã@
@bring here@|@paxnü@
@Bring it here!@|@Paxnü!@
@bring something (here)@|@paxnün@
@Bring the firewood here@|@Paxnü kuhu@
@bring to a halt@|@kuxyãhã@
@Bring water to drink@|@Kõnãg tat n6uy xo'op@
@broom@|@hãpkunutxit'ax@
@brother@|@pit, taknõy, ügnõy, xõnnü@
@brother's daughter@|@nixix, putixix@
@brother's son@|@putix@
@brown beans@|@püyõg@
@brunette hair@|@xe ata@
@brush@|@hãpxux@
@buckshot@|@kupukxap@
@build a fence@|@hãmpak@
@bull@|@mox@
@burial ground@|@hãpxukpot@
@burn@|@puk@
@burn up@|@mõ'xut@
@burrowing flea@|@ãpxüg@
@bury@|@nõhãpkot@
@bus@|@õn@
@but@|@pa, pãyã@
@But Ãmkak was there.@|@Pa Ãmkak xip.@
@but he knows nothing@|@pa hãmyümmüg 'ohnãg@
@But inside the room it was filthy@|@Pa hãpkox kopah ïyã'ïgã@
@But maybe it died@|@Pa pãhã tu xok@
@But no.@|@Pa ãmhok.@
@But the bad men will suffer@|@….Pãyã tik kummuk xüy putup@
@But what is this?@|@Pute üm nühü?@
@butter@|@münüytut hep xoxtix, xoxtix@
@butterfly@|@kututtap@
@buttocks@|@tãyïn@
@buy@|@hãmenax, pop@
@buzzing@|@HOOOO@
@Cain killed his brother@|@Ka'ïy te' taknõy putex@
@calculate@|@hãmpe'paxex, hãmpe'paxex putox kopa@
@call@|@xãnãhã@
@can@|@-'ax poten@
@cane liquor@|@kenmuk@
@Cane liquor drives the Maxakalí wild@|@Kenmuk te tikmü'ün gãyãhã@
@cannot@|@mïyhok@
@canoe@|@mïpkox@
@cap@|@xapeo@
@cape@|@kap@
@capibara@|@kuxakkuk@
@captain@|@kapitõg@
@Captain John was wise@|@Kapitõg Yoãm te hãmyümmüg@
@capuchin monkey@|@koktix@
@carrier@|@tat'ax@
@carry@|@taha@
@carry a liquid@|@heptat@
@carry away@|@putmõg@
@carry here@|@putnün@
@carry in a bag or sack@|@xuk@
@carry on the head@|@tatpaha'mõg@
@carry on tradition@|@mõnãyxop yõg hãpxopmã'ax tat@
@carry something away@|@paxmõg@
@cast out@|@papux@
@category of elderly men@|@yãyã münõm xop@
@category of elderly women@|@xukux münõm xop@
@caterpiller@|@kakxexka@
@catfish@|@kotatak@
@cattle@|@münüytut@
@cause@|@-nãhã, -yãhã@
@cause a perfume@|@haxyãhã@
@cause some action@|@-mãhã@
@cause to arrive or leave@|@xupepmãhã@
@cause to come@|@nünnãhã@
@cause to forget@|@xaxogãhã@
@cause to live@|@hïnnãhã@
@cause to rest@|@yümmãhã@
@cause to speak@|@yïgãhã@
@cause to swell@|@mõmmãhã@
@cease@|@xuxix@
@cease to be@|@nõã@
@cement@|@mïkaxxap xoxtix, xoxtix@
@cemetery@|@hãpxukpot@
@centipede@|@kutuxxox@
@chain pipkup@|@mãkxap'ax@
@change of focus@|@ta@
@change residence@|@kãnãm@
@chant rituals@|@kutex@
@cheat@|@xonnix@
@cheek@|@payïn@
@cheese@|@xoxtix@
@chest@|@kep@
@chick@|@xokakkak kutok@
@Chickens eat corn@|@Xokakkak te paxok mãhã@
@child@|@Kakxop, kutok@
@child's voice@|@hex@
@choose objects or persons@|@yïmõgatux@
@circular@|@ãnuk@
@city@|@üxiptuxexka@
@claim@|@müg@
@clay@|@puto'õy@
@clear away brush@|@nuhnõg@
@clear land@|@hãpkunutxit@
@clear off land@|@xit@
@clear stream of brush@|@xaxit@
@cleared land@|@hãmnuhnõg, hãmpa@
@climb@|@mõ'kãnCn@
@clock@|@henox@
@close@|@hãmhümnãg, yïnnïn@
@close to@|@mõ'yõkamü@
@Close to the houses the land is cleared@|@Mïptut yïka' xip hãmnuhnõg@
@cloth@|@topixxax@
@clothes@|@topixxax@
@cloud@|@gõy@
@cloud up@|@gõy yãhã@
@cloudy@|@gõy@
@cluttered@|@xux putux@
@coati@|@künühüm@
@cockroach@|@künõhõn@
@Cockroaches infest the Maxakalí thatched roofs@|@Künõn te tikmü'ün pet xax kopa@
@coconut palm@|@kutatak@
@coffee@|@kapex@
@Coffee is very expensive@|@Yã kapex takat xexka@
@cold weather@|@hãm'axi, xaptep-tex@
@collapse@|@xakux@
@collective unit@|@xop@
@come@|@nün@
@come here@|@mã@
@Come here; kneel down@|@Mã nühãy.@
@Come let's (incl.) eat@|@Ãpu yümü' xit@
@Come on@|@Ãpu yümüg mïxux xit kupukhe hã, Ãpu yümüg mõg@
@Come on in!@|@Mã' mõnãy!@
@Come rebuke your men so they do not talk@|@Ãpu õg tikxop mãnõg pu yïy hok@
@Come sit down@|@Mã' yühüm@
@come together@|@yãy tu nü'nãhã@
@Come; guide our relatives@|@Ãpu; yümüg xape mõgã@
@command@|@xat, xat'ax@
@commercial center@|@kõmën@
@commercialize@|@hãmenax@
@commit a sin@|@hãmgãyãgpãy@
@complete@|@tapmãhã@
@completed@|@tap@
@concrete@|@mïkaxxap xoxtix@
@consider@|@yãykuxop@
@consume@|@mãnãm, mõ'xut@
@convulse@|@yãy pu xu'ux@
@cook@|@ãmuk, kutet, puk, pukgãhã@
@cool off@|@ãxi, xuxix@
@corn@|@paxok@
@corpse@|@xaxxok@
@corral@|@kohat@
@count@|@mõ'kupix@
@country@|@hãpxexka@
@cover@|@xax@
@cow@|@münüytut@
@cowboy@|@münüytut xuxyã@
@Cow's milk is white@|@Münüytut yõktat hep ponnok@
@crash to the ground@|@nü'nãnãm@
@creep@|@yïküy@
@cricket@|@xapanex@
@croaking@|@hak@
@crooked@|@kohe@
@cross cousin@|@tiktak@
@Cross cousin come here!@|@Tiktak mã!@
@cross cousins@|@tiktut@
@crossed wood@|@mïpkupnix@
@crunching bones@|@kenep@
@crush@|@koxyõy@
@crush to powder@|@koxyõynãm@
@cry of wounded jaguar@|@EU@
@cry of wounded jaguar]@|@EU@
@curve of a river@|@kox kuyüm@
@cut@|@mep@
@cut across@|@mep, mep, xak@
@cut off@|@kuyut@
@cut the thickets in the river@|@mãmxaxit@
@cute@|@mãynãg@
@dance@|@hãmyã@
@dance square@|@hãpxep@
@dangerous group@|@gãyxop@
@darkness@|@ãmnïy, hãpkoxtap, koxtap@
@daughter@|@kutokhex, tuküm@
@Daughter is ill@|@Tuküm pakut@
@David is my firstborn son@|@Damix mün ügkutok nõmãxap@
@David was Jacob's descendant@|@Nami yã Yako hã mõkputox@
@dawn@|@mãyõn xupep@
@day@|@hãptup@
@day after tomorrow@|@hãpkaxnõy@
@day before yesterday@|@hãpkaxnõy@
@decay@|@kunox@
@deceive@|@mõ'ãmã@
@deep@|@xet@
@deep red@|@kotïnnãnãm@
@deer@|@münüy@
@def. art.@|@mün@
@defecate@|@pi'õn, yõn@
@deforested land@|@hãmnã xexka@
@delicious@|@xuxpex@
@den@|@pet, petnãg@
@denounce@|@kupex@
@dense forest@|@hãmhipak@
@dense forest/@|@hãmhipak@
@depressed@|@kuxa tuknõg@
@descend@|@nãhãy, puxihi, yïxoho@
@descendant@|@mõkputox@
@desire@|@putup@
@desire sexually@|@penãhã@
@destitution@|@hãmhõgnãg@
@destroy@|@koxyõy@
@devil@|@hãmgãyãgnãg@
@diarrhea@|@xakuk@
@Did you know that?@|@Ok xate' yïmmïg?@
@die@|@xakix, xok@
@dig@|@kot@
@dig in the ground@|@hãpkot@
@diluted@|@pu'uk@
@dirty@|@ïyã'ïgã@
@discard@|@putyõn@
@discouraged@|@kuxa tuknõg@
@dismember@|@koxip@
@distant@|@hãptox@
@dive into the water@|@nümmãhã@
@divide@|@kotit@
@divide up@|@mõ'pot@
@dizzy@|@paptux@
@do@|@hãpxopmãhã, mïy@
@do good@|@hãmmaihnãhã@
@do wrong@|@hãmgãyãgpãy@
@Do you know this?@|@Ok xate' yümmüg?@
@dog@|@kokex@
@domestic cat@|@müõg@
@dominant rooster@|@xokakkak tak xexka@
@donate@|@hok hõm, nïm@
@donkey@|@kãmãnoknãg@
@Don't go!@|@Ãmõg hok!@
@double@|@hãm müy@
@dough@|@pohot@
@dove@|@kuxxuxtut@
@downpour@|@texgãy@
@downstream@|@kopuk, kukpa@
@drag@|@hãmmïgmõg, hãmmügmõg@
@drag on the ground@|@hãmyïküy@
@dragonfly@|@xokãnyïn@
@dread@|@yïpkutuk@
@dream@|@yõtkup@
@drink@|@xo'op@
@drizzle@|@ãtix@
@drown@|@ümnüm@
@drunk@|@paptux@
@dry@|@nak@
@dry out@|@nakgãhã@
@dump@|@putyõn@
@during@|@ïhã@
@During January the weather is hot@|@Yanën ïhã hãmpukpex@
@During the dry season there is a lot of dust@|@Hãmnak ïhã hãmkõnnõn punethok@
@During the night they took them off to jail@|@Tu ãmnïy hã kanet ha' mõ'tat@
@dust@|@hãpkõnõn@
@dwell@|@ti ka'ok@
@dwelling place@|@pip'ax@
@dysentery@|@xakuk@
@ear@|@yïpkox@
@early evening@|@ãmãxaknãg@
@earring@|@yïpkoxxap@
@earth@|@hãm@
@earthworm@|@puxõ'õy@
@ease up@|@xuxix@
@eat@|@mãhã@
@eat a lot@|@hi ka'ok@
@egg@|@xu'uk@
@eight@|@oit@
@elbow@|@yïpkuxox@
@elephant@|@xoktox@
@eleven@|@xohix tup-xet@
@Elza was depressed@|@Elza kuxa tuknõg@
@embrace@|@mügka'ok@
@embrace each other@|@yãy kep müg@
@emphasis@|@nãm@
@emphatic@|@mün@
@emphatic affirmation@|@yã@
@empty@|@hãmhok, hok, hok@
@encourage@|@ka'õgãhã@
@end@|@ka, ka'ax, kux@
@end of a time period@|@xox putox@
@end of quote@|@kaxïy@
@endearing@|@mãynãg@
@enduring@|@mõkumakmõg@
@enemies@|@gãyxop@
@enemy@|@puknõg@
@enlarge@|@xexkanãhã@
@enrage@|@gãyãhã@
@enter@|@mõ'nãhã, mõnãy, mõxakux@
@equal@|@hãmputuk@
@erase@|@kuptup@
@evaluate@|@hãmpe'paxex üpa kopa@
@evening@|@ãmnïynãg@
@Evil men tormented (them)@|@Tik kummuk te hãpkutex'ex@
@evil spirit@|@hãmgãyãgnãg@
@eviscerate@|@mõkxut@
@exalt@|@xexkanãhã@
@exchange@|@nõy yãnãn, yãnãn@
@exchange for@|@yãnãn tu@
@exclamation of surprise@|@tok@
@execute@|@hãpxopmãhã@
@exhausted@|@teknõg@
@expand@|@xexkanãhã@
@expecting you to give something in exchange@|@xayïy nõy yãnãn@
@expel@|@papux@
@expensive@|@takat@
@extend@|@yot@
@eye@|@pa@
@eye discharge@|@payõn@
@eye of needle@|@ãmuxnãg tat'ax@
@eyebrow@|@kaxnut, kexnut, kuxnut@
@eyelashes@|@pa xe@
@eyelid@|@pa xax@
@face@|@pa@
@fall@|@nãhã@
@famine@|@hãmhõgnãg@
@far@|@hãptox, tox@
@farm@|@hãm@
@fat@|@top@
@father@|@ãtak@
@Father peeled the orange with a jackknife@|@Ãtakte nanüy xax xut kanimethã@
@fathers@|@takxop@
@father's brother@|@ãtak@
@father's brother's son@|@taknõy@
@fear@|@kutuk, yïpkutuk@
@feast@|@ãmuk xexka@
@feed@|@xïnnãhã@
@female@|@hex@
@female title@|@kõmãn@
@fence@|@hãmpak'ax@
@ferment@|@nohot@
@few@|@kutõgnãg@
@fib@|@koit@
@field@|@hãmxa, hãpxa@
@fight with clubs@|@yãykix kakix@
@fill@|@hi@
@filthy@|@ïyã'ïgã@
@find@|@pap, tipihi@
@finger@|@yïpkutok, yüm kutok@
@fingernail@|@yïmmãxax@
@finish@|@hux, kuxyãhã@
@finish off@|@koho, nõg@
@finish off a garment@|@xax kuxyãhã@
@fire@|@kuxap@
@Fire burned up the grass@|@Kuxap te mïxux mõ'xut@
@firewood@|@kuhu, kuhuk@
@first@|@hãmãxap, mãxap@
@first one@|@nõmãxap@
@first person of subjuntive@|@ãte@
@fish@|@kanaxax, mãhãm, mãpxõn@
@fish hook@|@koxãm@
@fish with a net@|@mãpxamut@
@fish with bait@|@mãpxïnnãhã@
@fishing net@|@mãpxamut'ax@
@fishing pole@|@koxãpkup@
@fishnet@|@tuhut@
@fish's belly@|@kotex@
@five hundred@|@kïyën@
@flag@|@topaxax@
@flee@|@xupaha, xupmãhã@
@float@|@kopuk, topaha@
@flower@|@mïnnut@
@fog@|@gõy, hãmgõy, texgõy@
@fold over@|@hãmmüy@
@follow@|@pehe@
@food@|@hãpxop, xit'ax@
@fool@|@hãpkutex'ex@
@fool around@|@hãpkutex'ex@
@foot@|@pata@
@for@|@ha, pu, tu@
@forbid@|@xat hok pu@
@foreign@|@hãmpuknõg@
@forest@|@mïmmãtix@
@forget@|@xaxok@
@forgive@|@xaxok@
@four@|@koat@
@fox@|@kokexmax@
@fragment@|@yãg@
@Frank is stubborn@|@Xik kuxa ka'ok@
@freely@|@hok@
@friend@|@xape@
@frog@|@humnãg, mattuk, penex@
@from@|@ha@
@From the sky the vulture searches for corpses@|@Xakuxux te pexkox tu xokxax xa@
@froth at the mouth@|@yïy konnop@
@fruit@|@mïnta@
@full@|@nü'xip@
@full moon@|@mãyõnhex ãnuk@
@furious@|@gãy@
@furthermore@|@ya'oma@
@furuncle@|@xutnãg@
@game@|@xokxop@
@gate@|@hãmpak'ax yïkox@
@gather@|@kotÏnnãhã@
@gather together@|@yãykotïnnãhã@
@general@|@hãm-@
@generous@|@maih@
@genuine@|@xe'e@
@get firewood@|@mõ'kuk@
@get out@|@ãpep@
@giant ant@|@münïntut@
@give@|@hõm@
@give birth@|@to pop, to put@
@Give it to me.@|@Ãm hõm.@
@give life@|@hïnnãhã@
@Give me a blanket. I am freezing@|@Ã' hõm komenok. Xapxüy tek put@
@Give me a cup of water@|@A' hõm kõnãg tat'ax@
@Give me clothes@|@Ã' hõm topixxax@
@Give me some of that. Don't be selfish!@|@Ã' hõm hãpxop üm. Xupkumïy hok@
@glance upward@|@mõhãpkãgmãg@
@gloat@|@yïxix kummuk@
@gnats@|@kumyãmnãg@
@go@|@mõg@
@go along with this one@|@nü mütik mõg@
@Go and get the axe@|@Mõy pa kupu'uk@
@Go and sleep!@|@Mõy mõhõn!@
@go behind@|@pehe@
@go!@|@mõy@
@Go; go until you arrive….@|@Mõy ãmõg tu mõktu mõxãn@
@goat@|@münüynãgtut@
@God@|@Topa@
@God brought about good things@|@Topa tek-müg ha hãmmaihnãhã@
@God caused him rise@|@ha Topa te' mõgãhã pepi@
@God gave life to all@|@Topa te' xohix hïnnãhã@
@God is a friend/relative to the Maxakalí@|@Topa te tikmü'ün hã' xape@
@God is supremely great@|@Yã Topa xexka xe'ëgnãg@
@God sent Jesus here@|@Topa te nü'kutnãhã Yeyox@
@God tells the the truth@|@Topa te hãpxe'e ãktux@
@God would have blessed you@|@puxix Topa xa hãmmainã….@
@God's light shone all around them@|@Topa yõg kuyãnãm te' yïmap üxa@
@God's son@|@Topak-tok@
@gold pipkup@|@yãnãm@
@good@|@maih@
@good news@|@hãm'ãpak maih@
@goose@|@puxaptut@
@government@|@gohet@
@gõy@|@gõy@
@granddaughter@|@nixix, putixix@
@grandfather@|@xuxyã, yãyã@
@Grandfather forbids us to burn off the grass@|@Yãyã te' xat hok pu mïxux puk@
@Grandfather goes@|@Ü- mõg Yãyã, Yãyã mõg@
@Grandfather rules the kinship group@|@Yãyã te' xape xop xat@
@Grandfather sent me@|@Yãyã mõgkutnãhã@
@Grandma brought food here@|@Xukux te xit'ax paxnün@
@Grandma cleans with a broom@|@Xukux te hãpkunutxit'ax hã'xit@
@Grandma cooked plantains@|@Xukux te tepta tox kutet@
@Grandma is proud of my brother@|@Xukux te xõnnü hã nãmnãg@
@Grandma is sick@|@Xukux pakut@
@Grandma is very thin@|@Xukux yã kumnak@
@Grandma let the clay pot dry out@|@Xukux te nax nakgãhã@
@Grandma made a clay water pot@|@Xukux te naxtox mïy@
@Grandma made the bowstring@|@Xukux te nãptut xit mïy@
@Grandma misses her firstborn son.@|@Xukux tek-tok te mãxap xak.@
@Grandma sewed the hem@|@Xukux te' xax kuxyã' xap@
@Grandma shut the door@|@Xukux te mõhãmyïnnïn@
@Grandma sits on a bench.@|@Xukux te mïmpe yïmü' yüm.@
@Grandma sweeps the floor@|@Xukux te hãmkunutxit@
@Grandma traveled@|@Xukux te hãpkumep@
@Grandma was worn out@|@Xukux yã yãynõynãg@
@grandmother@|@xukux@
@Grandpa encouraged my brother@|@Yãyã te xõnnü ka'õgãhã@
@Grandpa is very old@|@Yãyã kututnãm@
@Grandpa picked up his walking stick@|@Yãyã te kuptõy paha@
@Grandpa sent me here.@|@Yãyã te nügkutnãhã@
