@English@|@Tanacross@
@afraid@|@naljet, negjet, neljet, niljet, ts'eneljet@
@after@|@yik'eh@
@after a time@|@xtéetthet dé'@
@after a while I'm going home@|@k'adíidé' tâatihdaal@
@afterbirth@|@ts'enîin él'@
@again@|@tëyy'@
@ahead@|@yittheh@
@ahead of me@|@shttheh@
@ahead of you all@|@nuhttheh@
@ailment@|@ts'iik@
@alder@|@k'ets@
@all@|@xunelt'eey@
@all day@|@dzeen uudíh@
@all done@|@xúu' shée'@
@all of us@|@xuts'enelt'eh@
@alltime@|@nén' tenh k'edz'@
@almost@|@k'áhjîil@
@alone@|@shée'@
@already@|@k'ôd@
@also@|@chích'ah, chíh@
@always@|@shée'@
@amazing to me@|@shaa xdint'eh@
@American kestrel@|@tsúugaay eldîil@
@American wigeon@|@shahsey@
@ammunition@|@k'áatthé'@
@among it@|@wutah@
@an acquaintance of mine@|@me'ishdey@
@an animal's gall bladder@|@ch'etl'éts@
@an auger@|@êy él xghádeldêddh@
@an awl@|@tthel@
@an axe@|@chín'êy@
@an echo@|@wudadehshiig@
@an eddy in water@|@ok@
@an egg@|@ch'exlez'@
@an excellent place@|@lá'a xúnsuu@
@an excellent thing@|@lá'a nsuu@
@an obedient person@|@ch'ek'éetáa xáhthed@
@an old@|@kón' k'ée@
@an old dog@|@lii shaan'@
@an orange and white bug@|@tehk'aay@
@an unmarried person@|@dish_ée' éedaay@
@ancestors@|@tsíyûul@
@and@|@él@
@and you all; how are you?@|@nuhxon dú' nst'é t'áht'eh?@
@and you; how are you?@|@nen dú'; nst'é t'ínt'eh?@
@angry@|@ts'ani'alt'eh, ts'ani'egt'eh, ts'ani'elt'eh, ts'ani'ilt'eh, ts'anits'elt'eh, ts'anixelt'eh@
@animal@|@ts'idint'eh@
@animal den@|@wu'enh@
@animal hair@|@ch'exá'@
@animals are moving around@|@nûun natel'és@
@animal's head@|@ch'etthí'@
@animals move@|@ah'és@
@ant@|@kelahdôdz@
@antlers@|@ch'edé'@
@any kind of necklace@|@then senélshaay@
@anyone@|@dóo t'êey@
@anything@|@díi t'êey@
@anything at all@|@díi t'êey ch'e le'@
@apple@|@aames@
@approach@|@yits'í' xáhtseyh@
@April@|@Ch'etthaayh Säa'@
@arctic loon@|@ts'êlméet@
@are you sleepy?@|@mel ndehtlaa?@
@area@|@xt'een@
@area above tree line@|@xdaagh@
@area across@|@yandâaz@
@area around my eye@|@shnahts'ehgeey'@
@area down below@|@xahshóg@
@area where moose regularly go@|@ch'endaag k'ée@
@around@|@kendah@
@around it@|@wughandah@
@arrive@|@nahdeetl, nihshah, ninshah, ts'enindeetl@
@arrow for waterfowl@|@tuuk'á'@
@arrowhead for blunt arrow@|@ch'edé' tes chiid@
@arrowhead for water fowl arrow@|@tuuk'á' chiid@
@artic ground squirrel@|@tthel@
@as for you?@|@nen dú'?@
@as for?@|@dú'@
@ashes@|@kón' lëdz'@
@ashes chew@|@lts'iis@
@ask him@|@wudihket@
@at@|@tah@
@at last@|@sâan tah@
@aurora@|@yadíimeey@
@autumn@|@noxluu@
@avoid@|@wuch'aa énn'@
@away from@|@ch'aa@
@away from us@|@neeyahch'á'@
@away from you@|@nyahch'á'@
@axe handle@|@ch'ín'êy tíi'@
@baby@|@ts'enîin gaay@
@baby animal@|@ch'egaay@
@baby animal month@|@Ch'egaay Saa@
@baby basket@|@k'ii tth'áatl, k'ii tth'áatl@
@baby strap@|@ts'enîin tl'ul'@
@bachelor@|@wu'aat kôl@
@back of the body@|@shnén'@
@back to where it was@|@k'éetah@
@backwards@|@chenent'aagh@
@bald@|@tthí' kedz@
@bald eagle@|@tuud@
@ball@|@ch'ukêg@
@bandana@|@k'onit'êey@
@bannock@|@léets éet'eey@
@barefoot@|@kentsiith ehdenh@
@bat@|@xéltsedz@
@bat for hitting@|@dechenh xel'@
@batter@|@léets néltsel@
@be careful carrying the water@|@ts'edogh nih há' tuu ghinkaal@
@be on alert@|@súu' dáhthenh@
@be quiet!@|@dádhíiney@
@beach@|@taamâagh@
@beads@|@nat-tl'êdz@
@beak@|@wudá'@
@bear@|@shos@
@Bear Creek@|@Sht'ey Ndiig, Sht'ey Teyy' Nda'@
@bearberry@|@dendéyh, jîiz ndaagh'@
@beat them@|@xuu'éch'éhtl'eth@
@beaver@|@tsá'@
@beaver arranged his house@|@tsá' nixunin'aa@
@beaver lodge@|@tsá' këe'@
@beavers are swimming together@|@tsá' íin xaa'ól@
@became smaller@|@natelts'uuts@
@becoming@|@ts'í' xáatthel@
@bed@|@dahdzel@
@bee@|@ch'elahdziid@
@beehive@|@ch'elahdziid t'ox@
@before@|@ch'et-ttheh@
@behind@|@nandîidz@
@bell@|@delttheel@
@belongings@|@xuudlaay@
@below@|@daashez'@
@belt@|@théth@
@bent@|@ch'eexót@
@berries@|@jêg@
@berries are mixed together@|@jêg niltah net-tsiin sínt'eh@
@berries in general@|@jêg@
@Berry Creek@|@Wudzih Ddhel' Ndiig'@
@besides@|@k'eddh@
@between@|@daateg@
@beyond@|@naattheh@
@beyond him@|@wunaattheh@
@big@|@chox@
@big berry@|@jêg chox@
@big bull moose@|@ch'eshiidz@
@Big Dipper@|@k'eltah@
@big game arrow@|@k'á'@
@binoculars@|@wushíi xnél'en'@
@birch@|@k'ii@
@birch bark basket@|@k'ii tth'áak@
@birch bark canoe@|@k'ii ts'eyh@
@birch bolete@|@k'ii neyy'@
@birch catkins@|@dahshú'@
@birch leaf@|@k'ii t'aa'@
@birch sap@|@k'iil@
@birch tree@|@k'ii@
@bird nest@|@tsúgaay t'ox@
@bits and pieces@|@ch'edüul'@
@black and blue mark@|@tsetl@
@black bear@|@shos sey@
@black birch fungus@|@tl'eel@
@black fox@|@naageddh sey@
@blackberry@|@naht'êez, naht'êez@
@blacked out@|@shél nátl'ets dálneyh@
@blanket@|@ts'ëd'@
@blanket is spread out flat@|@téel xédétmets@
@bleed@|@del xúnlee@
@blister@|@tuulot@
@blister appeared on his hand@|@minlá' k'et tuulot nídélneyh@
@blood@|@del@
@bloodsucker@|@ts'aadihttheeg@
@blouse@|@ch'esek@
@blue@|@deldlêedz@
@blueberry@|@ch'inluut, nit-sii'@
@bluff@|@dzendaax@
@blunt arrow for small game@|@ch'edé' tes@
@bog@|@xaalel@
@boiled blood@|@ch'inkaay@
@Bonaparte's gull@|@tthí' tsaan@
@bone@|@tth'enh@
@boot laces@|@kentl'uul@
@border@|@mâagh@
@boreal owl@|@thuulshiid, tthi'dzaadz gaay@
@botfly@|@ch'egú'@
@bow string@|@ts'ehtii' tl'uul'@
@bowl@|@tutiil xeez'@
@boy@|@tsiil@
@braid@|@nahtl'uul, nektl'uul, nihtl'uul, ts'enehtl'uul, xyinehtl'uul, yinehtl'uul@
@brave@|@k'á niljéd@
@bread@|@leedón'@
@break@|@dedhahxol, dedhekxol, dedhihxol, dzehxol, xiydehxol, yidehxol@
@break-up@|@téedéek@
@breast milk@|@ch'et'úu'@
@breathe@|@atsheyh, etsheyh, ishsheyh, itsheyh, ts'etsheyh@
@bridge@|@xtsiil@
@bridge of my nose@|@shinchedl'@
@bring those things with you@|@xûuy iin él taghinleel@
@brisket@|@ch'eyutth'enn'@
@brittle@|@det-thayh@
@broke to pieces@|@latnaldox@
@broken up@|@latnetxotl@
@broom@|@wu'él jet-thîid, wu'él ts'axuthîid@
@broth@|@tuuthel@
@brown bear@|@ch'éliitthogh'@
@browsing@|@ch'eldiil@
@bruised@|@iltúuts@
@brush@|@ts'étl@
@Brush Indian@|@guu@
@brushbow@|@xeth daamaath@
@brushes are bent over@|@nanalxót@
@brushman ridge@|@Guu Sheddh'@
@bubble@|@taxunxos@
@bubbling@|@xashotl@
@buckbrush@|@luudh@
@bucket@|@nadh'aay@
@bufflehead@|@k'élttheel, tleettheedl@
@bull caribou@|@deek'el@
@bull moose@|@ninchûun@
@bullet@|@k'áatthé'@
@bumblebee@|@ch'elahdziid@
@bumping objects@|@xdel'uutl@
@bunting@|@wugaal sey@
@burbot@|@ts'aan@
@burl@|@dechenh ch'etxeez@
@bush@|@ts'étl@
@busy@|@ts'axahsaas, xahsaas, xahsaas, xoksaas, xuhsaas@
@but@|@t'o@
@but it's cloudy now@|@t'o k'ahdú' k'oth xu1nle@
@butter@|@basdlah@
@butterfly@|@laalêel@
@button@|@ch'etsol'@
@buy@|@ughihkéet, ughinkéet, yughinkéet, yuts'ughinkéet@
@buy (1)@|@u'ihkéet, u'inkéet, ughahkéet, xyughinkeet@
@buy (2)@|@u'ahkéet, xiyukéet, yits'ukéet, yuukéet@
@by@|@ghá'@
@by the fire@|@kón' ts'í'@
@cabin@|@ts'ôgh shax@
@cable@|@ts'íitsiy tl'uul@
@cache is packed full of stuff@|@dahtsaa shíi dách'étnéldok@
@cache up above ground@|@dahtsaa@
@cackle@|@del'ek@
@cackling Canada goose@|@daaxed@
@calf@|@detsîig@
@calf moose@|@detsîig@
@calico@|@detl'uun@
@Calico Point@|@Detl'uun Xe'etcheth@
@camp@|@kón' k'ée@
@camping site@|@níndeyh k'ée@
@camprobber@|@jîiz@
@can@|@ch'etiil@
@Canada goose@|@xah@
@candle@|@neldzeey@
@candled ice@|@luut elsuus@
@cane@|@tétth@
@canine teeth@|@ch'inch'etl xú'@
@canoe@|@k'ii ts'eyh, ts'eyh@
@canvasback@|@naltthogh, ndzel@
@canyon@|@ch'etl'aa@
@cap of a mushroom@|@ch'eneyy' tthishuuz'@
@car@|@natet-leg@
@carcass@|@ch'enaltee'@
@careful@|@ts'edoghnih@
@caregiver@|@ch'ek'ánehtá'a@
@caribou@|@wudzih@
@caribou antler club@|@wudzih dé' xél@
@caribou calf@|@dahtsîig@
@caribou corral@|@dádhtaan@
@caribou fence@|@tthek@
@caribou leg skin@|@ch'edzaa théth@
@caribou legging mukluks@|@ch'edzaa théth kench'odl'@
@caribou moss@|@ch'inshl', ch'inshu'@
@caribou skin blanket@|@ch'ets'iiz ts'ed', wudzih théth ts'ed'@
@caribou skin boat@|@wudzih theth ts'eyh@
@caribou snare@|@míil@
@carry@|@ghah'aal, ghih'aal, ghin'aal, ts'aa'aal, yaa'aal@
@carving knife@|@seey saagh@
@casket@|@chenhtiil@
@caterpillar@|@k'éy' guu@
@cave@|@ch'e'enh@
@ceiling@|@taandîidz deenii'aay@
@cellar@|@tsaak'ée@
@cemetery@|@tth'enk'ée@
@center@|@taandîidz@
@chain@|@ts'íitsiy tl'uul@
@chair@|@k'étl'ádíidaay@
@charcoal@|@t'ées@
@chases them away@|@stâaxuneshók@
@ch'eduul' én' íntthet@|@sweep those pieces out@
@cherish@|@dint'eyh@
@chew@|@xatnégdeetl, xatníldeetl, xats'enáldeetl@
@chew (1)@|@xatnáldeetl, xaxeyináldeetl, xaytnáldeetl@
@chickadee@|@ts'egaag@
@chief@|@xáxkeh@
@Chief Creek@|@Tthee Xaaddh' Ts'edeniiley@
@child@|@ts'enîin@
@childhood@|@ntsûudl dá'a@
@children@|@ts'ínkeey iin@
@child's parka@|@ch'egaay eek@
@chimney@|@let daak'ée, let xádétjuut deh@
@chink@|@ts'axnehtthúuk, xnahtthúuk, xnektthúuk, xnihtthúuk@
@chink (1)@|@xahnehtthúuk, xnehtthúuk@
@chinking@|@wu'él xnéltthûug@
@chinook wind@|@tsaal@
@chips@|@ch'ettheel'@
@choke@|@tnédhegdék, tnédhildék, yitnelndék, yits'etnelndék@
@choke (1)@|@tnédhaldék, xiytnelndék@
@choose@|@ch'etah@
@chop@|@ahddhel, ihddhel, inddhel, ts'eddhel, xiyeddhel, yeddhel@
@chox herring gull@|@mehk'âay@
@cigarette@|@dek'enn'@
@circular@|@ch'elmaath@
@clamp@|@wu'él ch'údeltl'êd@
@clan@|@Alts'í' Dendeey, Ch'aadz, Ch'echeelyu, Dik'aagyu, Naltsiin, Niisaas, Taandîidz Altsiil, Tsesyu@
@clap@|@lach'ahkét, lach'axekét, lach'ekét, lach'ihkét, lach'inkét, layts'ekét@
@clear@|@tth'úu'@
@clear water@|@tuu kón', tuu thúu'@
@clever@|@xunshaa@
@close@|@aaxá'@
@close the window@|@sits'enal'iin nildâatnintiiyh@
@clot@|@del lót@
@cloth blanket@|@ts'ed'@
@clothing@|@ch'el'@
@cloud@|@k'oth@
@clouds are floating by@|@k'oth xeta'ulee@
@clowning around@|@tsaa'el'ee@
@club@|@xél@
@coat@|@eek@
@cobweb@|@kelahdzeey gaal'@
@coffee@|@goheey@
@coffin@|@chenhtiil@
@cold!@|@elih!@
@collapsed from top to bottom@|@náninkáatl@
@comb@|@nahseel, nekseel, nihseel, ts'enehseel, xiynehseel, yenehseel@
@come along; lets go@|@âan; k'exahtseyh@
@come in!@|@dánínhaay@
@come on!@|@aan@
@commander@|@xiyk'ée táaxáhthed@
@common loon@|@taadziil@
@compact object@|@ee'aa@
@companion@|@shehleg'@
@compel@|@xunihshok@
@compress@|@daxnelt'enh@
@cone@|@ch'elahdzol@
@conscious@|@xól@
@constructing it@|@yehtseyh@
@container@|@ch'etiil@
@cook something!@|@ch'ihmeets!@
@cooked meat@|@nleen@
@cooking stick@|@ch'ejog@
@cool@|@nánink'é'@
@copper@|@ttheetsáa'@
@Copper River@|@nilk'odl, Taatl'oxt'een@
@corner@|@ts'axk'éetl'áa@
@corpse@|@ch'etheeg'@
@cotton@|@ch'etl'aa@
@cottonwood@|@t'aath@
@cough@|@dalkoth, degkoth, delkoth, dilkoth, dzelkoth, xdelkoth@
@country@|@nén'@
@cover@|@meth théth@
@covered myself with a blanket@|@ts'ed' dék'et degchúuth@
@cow moose@|@deshaaz@
@cracker@|@léegeyh@
@cranberries are red@|@ntl'ét delt'el@
@crane@|@deel@
@crawl@|@aaduuth, ghahduuth, ghihduuth, ghinduuth, ts'aaduuth, xaaduuth@
@Creator@|@T'axdíht'êey@
@creek@|@hên, ndiîig@
@cricoid cartilage@|@shcholk'ee@
@crisp it by the fire@|@kón' keddh ihtsétl@
@croak@|@delxiy'@
@crooked willow@|@k'éy' net-tth'aagh@
@cross fox@|@wumét ts'edet-sey@
@cross wind@|@tth'iináan' ts'í' éhts'eyh@
@crossbill@|@tsidaanbiidh@
@crouching@|@ch'exeesdhek-'aa@
@crow@|@taatsáa'@
@crowberry@|@naht'êez@
@crust@|@xluu@
@cry@|@ahtsax, etsax, ihtsax, intsax, ts'etsax, xetsax@
@cry all the time@|@nedhiltú'@
@crying uncontrollably@|@shíineltséex@
@cup@|@tuutii@
@curious person@|@la'a díht'eh@
@current@|@deninleeyh@
@curved knife@|@seey saagh@
@cut@|@iht'aatth, int'aatth, ts'eht'aatth, xiyeht'aatth, yet'aatth@
@cut fish and then made it dry@|@luug ehk'áayh ts'í' maa exaa@
@Dall sheep@|@demee@
@dance@|@ch'aldzes, ch'egdzes, ch'eldzes, ch'exeldzes, ch'ildzes, yits'eldzes@
@dancing stick@|@ganhook@
@dark@|@tl'és@
@dark clouds@|@k'oth dat-sey@
@darkness@|@xél@
@dawn@|@xútgaay@
@day@|@dzeen@
@day after tomorrow@|@k'ahdâan xú' k'ahdâadé'@
@day before yesterday@|@k'ahdâan xú' k'ahdáa' daa'@
@daylight@|@xútgaay@
@dead body@|@ch'etheeg'@
@deadfall trap@|@dechenh éel@
@deaf person@|@wudzii kôl@
@December@|@wunenh nach'ehjedh@
@dedzaagh' xáningéet@|@she pierced her own ear@
@dees shallows in creek@|@shallows@
@den@|@ch'e'enh@
@dentalium necklace@|@ch'ink'ón'@
@depression in ground@|@nadaxnink'odl, nadaxninthaat@
@dets'inkeey gha dach'udelkét@|@she's praying for well-being@
@devil@|@ttheedzaa@
@dexos k'ée@|@a place for fun@
@diaper@|@tth'áatl@
@die@|@dhektee, dhintee, ehtee, ghahlaak, tsinlaak, xghinlaak@
@difficult@|@tsadaxudít'eh@
@difficult to handle@|@mexuntsaath@
@dig@|@ahgot, egot, ihgot, ingot, ts'egot, xegot@
@dipnet@|@éth@
@dipnet needle@|@éth wu'él éhtl'uun@
@dipnetting place@|@éth k'ée@
@dipper (bird)@|@tuu ch'iishel@
@direction@|@ndíig@
@dirt in the house@|@ch'eduul'@
@dirty@|@gés@
@disease@|@ts'iik@
@dish@|@tth'áak@
@distant area above@|@yandóg@
@do@|@t'ahde'e, t'ihde'e, t'inde'e, tde'e, xetde'e, xode'e@
@do not be afraid@|@sú'u nuljed@
@do you hear me?@|@shde'intth'ek?@
@do you really mean it?@|@la'a lah diiney@
@do your part of the fish dryin@|@shxáan' ts'í' luug ihma'@
@dog@|@lii@
@dog house@|@lii shax@
@dog is sitting in its house@|@lii deshax shíi éedah@
@dog is sitting on its house@|@lii deshax k'et di'eedah@
@dogs@|@lii iin@
@dog's sitting behind its house@|@lii deshax nandîidz eedah@
@dog's tail@|@lii ché'@
@don't@|@sú'u@
@don't bother it@|@sú'u wu'él nách'úhlaay@
@don't cheat me@|@su'u nashtnun'aag@
@don't do that again@|@sú'u xú' dîighutdé'e@
@don't do that!@|@éna' sú'u xu'dighunde'e@
@don't fall off the cliff@|@sú'u dzendaax ghultthiid@
@don't go to Tok@|@sú'u Tok ts'í' tunsha'a@
@don't say that!@|@éna' sú'u xu'duu ni'ih@
@don't say that; it's taboo@|@sú'u xú' duníi; injih ha'@
@door@|@ldadíntaan@
@doorway@|@kón'teg@
@Dot Lake@|@Kelt'áaddh Menn'@
@dough@|@léets nanéltsel@
@down (close by)@|@nahsheg'@
@down (from a distant)@|@yaasheg'@
@down a slope@|@daatthén'@
@down feather@|@chuyh@
@dragonfly@|@tthedlch'og@
@drank it quickly@|@tédheggóts, tédhilgóts@
@dress@|@na'at-tl'uh, na'et-tl'uh, na'ishtl'uh, na'it-tl'uh, nats'et-tl'uh, naxet-tl'uh@
@dried fish@|@má'@
@dried out leaves@|@ch'et'aa deshaag@
@drifting along@|@tadaaleel@
@driftwood@|@tahdeddh@
@drill a hole through it@|@wuchaa dihtáath@
@drink@|@atnaa, etnaa, ghatná', ghishná', ghitná', ishnaa, itnaa, ts'atná', ts'etna, xetnaa, xiyaatná', yaatná'@
@drink it up before it cools@|@natnatk'êddh tth'eh tilgots!@
@drink it up!@|@títs'eex@
@drinking it quickly@|@tilgóts@
@dripping@|@del'éetl@
@drive@|@ch'ahlel, ch'ahlel, ch'axahlel, ch'eklel, ch'ihlel, yits'ahlel@
@drive for me@|@shaa ch'ihlel@
@drop it!@|@medintsiit!@
@drudge@|@eldaax@
@dry@|@ahgeyh, ekgeyh, geyh, ihgeyh, ts'ehgeyh, yehgeyh@
@dry (1)@|@xiyehgeyh@
@dry alder@|@k'aaz tsets@
@Dry Creek@|@Gah Tsoghk'ah Ndiig@
@dry fish@|@má'@
@dry meat@|@shí' geyh@
@dry meat mixed with moose fat@|@nanehdlaad'@
@drying rack@|@dáhdzel@
@dung@|@duuts@
@during@|@tah@
@dust@|@léemah@
@dust devil@|@ehts'eyh mâay, xaghints'eyh mâay@
@dwarf birch@|@luudh@
@dwelling@|@shax@
@dzéex tl'ey'@|@soft white sticky pitch@
@each other@|@nil'él@
@Eagle@|@Ttheet'oodlely@
@ear wax@|@dziit'úudz@
@early in the morning@|@saachaa@
@earring@|@dzaatl'uul'@
@earthquake@|@nén' étndah@
@easily@|@shée' k'et'êey@
@eat@|@nach'ah'áatl, nach'axghin'áatl, nach'e'áal, nach'ih'áal, nach'ih'áatl, nach'in'áal, nach'in'áatl, nach'in'áatl, nayits'e'áal, nayts'in'áatl@
@eat (1)@|@nach'ah'áal, nach'exen'áal@
@edge@|@mâagh, wuk'á'@
@edge of a cliff@|@xdáag@
@edge of a fire@|@kón' mâagh@
@egg yolk@|@ch'exeestthiig'@
@eggshell@|@ch'exeestth'en'@
@eight@|@nilk'eden@
@elastic@|@neduuth@
@elder@|@ch'endeddh'@
@eleven@|@ts'ehleg wuk'et@
@embarrassed@|@ts'unítshá', unatshá', uníshshá', unítshá', unítshla', xunítshá'@
@embers@|@thiit@
@end of an island@|@wuchíi taanduu xuu'aa@
@enjoy@|@shaa nsúu@
@enough@|@k'ôd@
@enough already!@|@k'ôd xúu' shee'@
@entire@|@uudíh@
@entrance@|@dahxultsii deh@
@equal@|@nilk'e' nel'aa@
@erase it@|@nanin'ét@
@ermine@|@nihmaay@
@Eskimo@|@Ch'enaakeey@
@especially modern sled@|@xetl@
@evaporated@|@tuu natet-tseth@
@evening@|@xel tah@
@every now and then I drink tea@|@xaatêg tah ldîil ishdíix@
@everything@|@xunelt'eh@
@everything is lost@|@xunelt'eh ts'í meexushaak@
@excrement@|@wutsáa@
@exercise@|@atk'aatth, etk'aatth, ishk'aatth, itk'aatth, ts'etk'aatth, xetk'aatth@
@exit@|@tixúltsii deh@
@fall (season)@|@noxluu@
@fall down@|@xu'altth'et, xughahdéek, xughegtth'et, xughiltth'et, xuts'indéek, xuxghindéek@
@falling star@|@sén' tsáan'@
@famine@|@detsenh@
@fangs@|@ch'inch'etl xú'@
@far away place@|@xnintháat deh@
@fart@|@tl'ét@
@fast@|@xen@
@fat@|@alk'aax, ch'ek'ah, egk'aax, elk'aax, ilk'aax, ts'elk'aax, xelk'aax@
@fat around moose stomach@|@ch'echaashu'@
@fat is greasy@|@ch'ekaa elxee@
@favored child@|@dzuug@
@feather@|@t'aa'@
@February@|@ldíikeey saa'@
@feel this@|@jâan edildeyh@
@fell@|@nághindéek@
@fell down@|@nadalneyh@
@fell in the water@|@tuu shíi tádálneyh@
@fell over@|@tnéekáatl, xudalneyh, xúninxéets@
@female dog@|@lii ts'é'e@
@fermented fish@|@dzenax@
@fermented whitefish@|@dzenax@
@few@|@ntsîin@
@fill it all the way up@|@datnindiil@
@fill it up@|@na'itdek@
@fill it up with water@|@tuu shíi na'itdek@
@fill the dirt in here@|@léemah jâan shíi na'itdek@
@fin@|@wut'egh'@
@finally I arrived@|@sâan tah nihshah@
@fire@|@kón'@
@fire ignited@|@diil'aa@
@fire is flaming@|@kón' dét-tthuul@
@firedrill@|@tl'eel@
@fireplace@|@kón' dak'ée@
@fireweed@|@gúuth@
@first@|@ch'et-ttheh@
@firstborn@|@ch'et-ttheen@
@fish are running@|@luug teeleek@
@fish baling pole@|@wu'el ch'ettsol@
@Fish Creek@|@Dihthâad Ndiig@
@fish cutter@|@meetsel@
@fish drying rack@|@dahdzel@
@fish fence@|@xtsiil@
@fish gills@|@wuk'es@
@fish grease@|@luug xee'@
@fish guts@|@luug ts'íig'@
@fish knife@|@meetsel@
@fish meat@|@ch'indaat, mindaat@
@fish scales@|@luug gludh'@
@fish slime@|@luug tl'ëey'@
@fish spear@|@tiigóg'@
@fish stringer@|@ch'e'es@
@fish tail@|@wuchoel@
@fish trap@|@tedh'aan@
@fish trap funnel@|@tedh'aan dzeey'@
@fishhook@|@lox@
@fishing@|@nach'ahlóx, nach'ehlóx, nach'eklóx, nach'exehlóx, nach'ihlóx, nayts'ehlóx@
@fishing pole@|@yi'él nách'éhlôgh@
@five@|@álts'êy@
@flame@|@kón' tthúul'@
@flapped its wings@|@ts'enh détxaat@
@flat foot@|@wuké' étmedz@
@fleas@|@tl'eg'@
@flesh@|@tthíi@
@flesh (a skin)@|@ahttheyh, ekttheyh, ihttheyh, xiyehttheyh, yehttheyh, yits'ehttheyh@
@fleshing knife@|@ch'iijeey@
@flint@|@mehts'eyh@
@flooded@|@níihaa@
@floor@|@chenhteel@
@flour@|@léemah, léets@
@flour is disappearing@|@léets extehkôtl@
@flower of blueberry@|@ch'indaay'@
@fly@|@dey'@
@fly eggs@|@nindáa@
@flying creatures have feathers@|@naxnetdêg wut'aa' xoleex@
@foam@|@xunxos@
@food in animal's stomach@|@wutsaag'@
@food is customarily divided@|@shí' nildze'elsheeg síxúnt'eh@
@food is there@|@ehchuut@
@foot@|@-ké'@
@for@|@gha, ghah@
@for me@|@shaa@
@for no reason@|@shée' t'êey@
@for them@|@xuugha@
@for you@|@naa@
@forbidden@|@injih@
@forefathers@|@tsíyûul@
@forelegs@|@ch'egáan'@
@forest@|@nduu, taachenn'@
@fork@|@ch'iigod@
@forked@|@delges@
@Fortymile River@|@Ch'edzagh' Ndîig@
@forward@|@tth'iindeddh'@
@four@|@den@
@foxes are clever@|@naagêddh xunshaa@
@frame of dipnet@|@éth dámaadh@
@freshly cut fish@|@luug eltsel@
@freshly cut meat@|@shí' éhtsel@
@friend@|@tlee@
@fringe@|@nat-'êl@
@fringe on clothing@|@ch'etheth nat-'êl@
@frogberry@|@naaxey jêg@
@from@|@ts'enh@
@from downriver@|@yandâadz@
@from here on out@|@dandedh' uud1ih@
@from me down@|@shghahshóg@
@from us@|@neets'enh@
@frost@|@sóx@
@frost on trees@|@dahxotl'uh@
@frozen meat@|@shí' nelts'íi'i@
@frozen overflow@|@geetth@
@frozen puddle with no water in@|@nateldliih@
@fry@|@aht'éeth, ekt'éeth, iht'éeth, xiyeht'éeth, yeht'éeth, yits'eht'éeth@
@frybread@|@léets éet'eey@
@frying pan@|@ch'ikemen@
@frying pan's sitting on fire@|@ch'ikémen kón' k'et didéetaa@
@full moon@|@gheldzeey k'énélshaa'@
@fungus@|@lts'iis@
@funny person@|@tsaa diht'eey@
@fur coat@|@daa eek@
@fur pants@|@daa thetl@
@gaff hook@|@sáx@
@general term@|@dets'ên, jêg@
