@English@|@Czech@
@a breath of wind@|@lehký vánek@
@a brick@|@cihla, cihlový, postavit z cihel@
@a brief@|@soudní příkaz@
@a budding genius@|@geniální dítě@
@a budget surplus@|@rozpočtový přebytek@
@a bull in a china shop@|@nemotorný člověk, neohrabanec, slon v porcelánu@
@a bum rap@|@falešné obvinění@
@a bummer@|@přibližovací vozík@
@a bun in the oven@|@čekající dítě@
@a bunch of malarkey@|@hramada nesmyslů, kupa keců@
@a bundle of nerves@|@nervózní osoba@
@a cappella@|@bez doprovodu, bez kapely@
@a case of@|@ukázka něčeho@
@a case off@|@vyztužit@
@a caution@|@opatrnost, varovat, výstraha@
@a checkup@|@kontrola správnosti, vyšetření@
@a clean bill of health@|@dobrý zdravotní stav@
@a cliff-hanger@|@napínavá hra@
@a close call@|@těsný míček, unik o vlas@
@a close shave@|@vyholení@
@a clutch hitter (baseball)@|@první pálkující@
@a cold@|@frigidní, chladný, neosobný, rýma, slabý, starý, studený, v bezvědomí, vychladlý@
@a cold fish@|@studený jak psí čumák, suchar@
@a common thread@|@obvyklá zápletka@
@a contract out on@|@odměna na hlavu@
@a coon's age@|@dlouhá doba@
@a couple@|@pár@
@a crash course@|@kolizní kurz@
@a crush on@|@náhlý pocit lásky@
@a crying shame@|@smutná událost, velká škoda@
@a cut above@|@lepší výsledek@
@a cut-up@|@bavič@
@a daredevil@|@odvážlivec, odvážný člověk, smílec@
@a dead certificate@|@úmrtní list@
@a dead giveaway@|@jasné znamení@
@a dead heat@|@velmi tesné vítězství@
@a dead loss@|@úplná ztráta@
@a dead ringer@|@podobnost dvojčete, velká podobnost@
@a dickens of a time@|@obtížný úkol@
@a different kettle of fish@|@jiný, odlišný@
@a dime a dozen@|@velmi levný@
@a doggy bag@|@sáček se zbytky jídla@
@a dog's age@|@10 až 15 let, dlouhá doba@
@a dog's breakfast@|@směsice různých věcí@
@a dog's life@|@mít se špatně, psí život, život v chudobě@
@a dog's sleep@|@lehký spánek@
@a double-edged sword@|@dvousečný meč@
@a downer (drug)@|@sedativum, utišující lék@
@a downer (sadness)@|@smutná událost@
@a drag@|@nuda@
@a dressing down@|@udělené kázání@
@a drop in the bucket@|@malá část@
@a dust-up@|@rvačka@
@a fair shake@|@uspokojivá náhrada@
@a falling out@|@hádka@
@a false move@|@neočekávaný pohyb, špatný pohyb@
@a falsehood@|@lež@
@a far cry@|@daleko@
@a faraway look@|@pohled do dáli@
@a fart in a windstorm@|@zbytečná snaha@
@a fat lip@|@rozbitá ústa@
@a feather in your cap@|@uznání za práci@
@a feeling@|@pocit@
@a few@|@pár@
@a few bricks short of a full load@|@nerozumný@
@a fifth wheel@|@nepotřebné zařízení@
@a fighting chance@|@férová šance@
@a fill-up@|@natankování paliva@
@a fine line@|@úzký vztah@
@a fine-toothed comb@|@detailní zkoumání@
@a firm hand@|@osoba usměrňující mravy, pevná ruka@
@a flash in the pan@|@osoba nepracující stále dobře@
@a fleeting glance@|@zběžný pohled@
@a fly on the wall@|@chtít slyšet trávu růst@
@a fool and his money are soon parted@|@hýřil brzy nemá nic@
@a foregone conclusion@|@jasný výsledek@
@a free hand@|@výběr podle libosti@
@a free-for-all@|@rvačka@
@a freeze on@|@zastavení nějaké činnosti@
@a fresh pair of eyes@|@čtenář neznající knihu@
@a fresh start@|@nový život@
@a full house (cards)@|@dvojice a trojice v pokeru@
@a full plate@|@plné ruce práce, plný talíř@
@a gaggle of geese@|@hejno husí@
@a game one@|@nekompromisní hráč@
@a ghost of a chance@|@mizivá šance@
@a glow on@|@lehce opilý@
@a go-getter@|@těžce pracující zaměstnanec, velmi pilný zaměstnanec@
@a going concern@|@všetečné dítě@
@a golden opportunity@|@dobrá investice, dobrá šance@
@a goner@|@ztracená záležitost@
@a good arm@|@dobře házející hráč@
@a good deal@|@hodně, mnoho@
@a good egg@|@milá osoba@
@a good head@|@milá osoba@
@a good many@|@velmi mnoho@
@a good mark@|@dobrý člověk@
@a good peny@|@poctivý chlap@
@a good sport@|@férová osoba@
@a good while@|@hezky dlouho@
@a grain of truth@|@zrnko pravdy@
@a handful@|@hrst, neposedné dítě@
@a handout@|@jídlo zdarma@
@a hard day@|@náročný den@
@a hard row to hoe@|@obtížný úkol@
@a hard time@|@nepříjemný čas@
@a hassle@|@problém@
@a head start@|@náskok v závodu@
@a heavy day@|@náročný den@
@a heavy hitter@|@silák@
@a heavy see@|@rozbouřené moře@
@a heavyweight@|@mocný člověk@
@a hell of a time@|@nádherný čas@
@a helping hand@|@pomocná ruka@
@a hill of beans@|@malé množství@
@a hit@|@dávka drog, hit@
@a hollow leg@|@mít velký splávek@
@a holy pile@|@velké množství@
@a hoot@|@dobrá zábava, velká legrace@
@a horse of a different color@|@odlišná záležitost@
@a hot hand@|@štastná ruka při hrách@
@a hot number@|@žhavé téma@
@a hot ticket@|@populární výrobek@
@a hot topic@|@žhavé téma@
@a hotdog@|@hráč pro obecenstvo@
@a hothead@|@cholerik@
@a hotshot@|@výtaha@
@a household name@|@jméno známé osobnosti@
@a howling blizzard@|@sněhová bouře@
@a humdinger@|@nádherný výrobek@
@a hungry belly has no ears@|@řečmi člověka nenasytíš@
@a jim dandy@|@nádherná věc@
@a kept woman@|@koupená manželka, manželka za peníze@
@a la mode@|@podle poslední módy@
@a lady-killer@|@pohledný muž@
@a law@|@zákon@
@a leg up@|@první krok@
@a level playing field@|@vyrovnat šance na výhru@
@a lick and a promise@|@rychlý úklid@
@a lift@|@dobrý pocit@
@a little@|@trochu@
@a little bird told me@|@někdo mi řekl@
@a little bit@|@maličko, trošku@
@a little castle@|@hrádek@
@a little off@|@nakřivo, trochu bláznivý@
@a little steep@|@trochu drahý@
@a little thick@|@příliš chvály@
@a long shot@|@malá šance na výhru@
@a long time ago@|@dávno@
@a loose cannon@|@nevypočitatelný člověk@
@a losing streak@|@řada porážek@
@a lost cause@|@zbytečná námaha, ztracený plán@
@a lot@|@moc@
@a lot of@|@hodně@
@a lot of bunk@|@kupa lží@
@a lot of folderol@|@hromada nesmyslů@
@a lot on the ball@|@inteligentní@
@a love tap@|@jemné postrčení@
@a lucky break@|@hodně štěstí@
@a lucky streak@|@řada výher@
@a major@|@a dur@
@a man of feeling@|@citový člověk@
@a man of few words@|@málomluvný člověk@
@a man of the cloth@|@farář@
@a man of worth@|@zasloužilý člověk@
@a man's home is his castle@|@pánův dům je jeho hrad@
@a marked man@|@známý zločinec@
@a mental block@|@překážka v učení@
@a month of Sundays@|@mnoho dní@
@a must@|@nutná zkušenost@
@a nail-biter@|@napínavá hra, napínavý pořad@
@a necktie party@|@lynčování, oběšení@
@a new broom sweeps clean@|@nové kostě dobře mete@
@a new lease on life@|@nový začátek@
@a newspaper kiosk@|@novinový stánek@
@a notch below@|@ne tak dobrý@
@a number of@|@řada@
@a nut case@|@blázen@
@A one@|@nejvyšší kvality@
@a pack of lies@|@hromada lží@
@a pain in the butt@|@osoba dělající problémy@
@a paltry sum@|@malé peníze@
@a paper trail@|@množství dokumentů@
@a party to crime@|@pomoc při zločinu@
@a pat answer@|@plánovaná odpověď@
@a penny for your thoughts@|@řekni mi co si myslíš@
@a perfect stranger@|@úplný cizinec@
@a pick-me-up@|@životabudič@
@a picture is worth a thousand words@|@obrázek sdělí více než text@
@a piece of cake@|@lehký úkol@
@a piece of my mind@|@mnou udělená kritika@
@a piece of news@|@novinářská zpráva@
@a piece of piss@|@lehký úkol@
@a piece of the action@|@podíl na kořisti, podíl na zisku@
@a pig in a poke@|@riziko, zajíc v pytli@
@a pinch of salt@|@špetka soli@
@a pinch to grow an inch@|@štípnutí oslavence narozenin@
@a pine float@|@párátko ve sklenici vody@
@a play on words@|@dvojsmyslná věta@
@a pocket of resistance@|@malá skupina odpůrců@
@a poker face@|@tvář bez výrazu@
@a pop@|@jeden lístek, za jednu osobu@
@a posteriori@|@ve smyslu@
@a pretty penny@|@hodně peněz@
@a priori@|@a priori, apriori, nezaložený na zkušenosti@
@a quarter to@|@tři čtvrtě na@
@a question of@|@důležitý faktor@
@a quick study@|@rychlé studium@
@a quickie@|@rychlá hra, rychlý sex@
@a raw deal@|@nevýhodná smlouva@
@a red-letter day@|@zvláštní den@
@a redneck@|@buran, netolerantní osoba@
@a regular guy@|@obyčejný člověk@
@a right angle@|@pravý úhel@
@a riot@|@velká legrace@
@a rip-off@|@příliš vysoká cena@
@a rival company@|@konkurenční firma@
@a rolling stone gathers no moss@|@přílišný neposeda@
@a rough time@|@být škádlen ostatními@
@a rough time of it@|@stresující období@
@a royal pain@|@nepříjemný pocit@
@a run for your money@|@oponent, silná konkurence@
@a sack of hammers@|@těžký předmět@
@a sack of potatoes@|@pytel brambor@
@a sample of the cloth@|@vzorek látky@
@a scandal is brewing@|@mluví se o skandálu@
@a score to settle@|@nevyřízený účet@
@a screw loose@|@bláznivý@
@a send-up@|@zesměšnění@
@a shadow of his former self@|@být mnohem hubenější@
@a sharp tongue@|@ostrý jazyk@
@a sharp wit@|@vtipné poznámky@
@a shitload@|@velké množství@
@a shogun@|@mocný obchodník@
@a shoo-in@|@jasný vítěz@
@a short one@|@sklenka whisky@
@a shot in the arm@|@povzbuzení@
@a shot in the dark@|@střela od boku@
@a sick building@|@budova s vydýchaným vzduchem@
@a sight for sore eyes@|@milé shledání@
@a sitting duck@|@snadný cíl@
@a slim chance@|@malá šance@
@a slip of a girl@|@mladá dívka@
@a slip of the tongue@|@vyslovená chyba@
@a slippery slope@|@riskantní plán@
@a slow day@|@špatný den pro obchod@
@a slug@|@skupinka, trs@
@a snootful@|@zavětření@
@a snow job@|@podvod@
@a snowball's chance in hell@|@mizivá šance na úspěch@
@a soft touch@|@osoba neumějící odmítnout@
@a speech@|@projev@
@a spot of tea@|@šálek čaje@
@a steal@|@sleva@
@a stitch in time saves nine@|@preventivní oprava@
@a stone's throw@|@25 metrů, co by kamenem dohodil, krátká vzdálenost@
@a sucker for punishment@|@obětní beránek@
@a suicide pass (hockey)@|@druh nahrávky v hokeji@
@a sure bet@|@jasný vítěz@
@a sure thing@|@samozřejmost@
@a sweet tooth@|@chuť na sladké@
@a takeoff on@|@založený na stejném nápadu@
@a talking to@|@vynadání@
@a tall one@|@silný alkohol@
@a tall story@|@báchorka@
@a tempest in a teapot@|@mnoho povyku pro nic@
@a thorn in my side@|@osoba dělající problémy@
@a three-bagger@|@šeredná osoba@
@a tiny bit@|@trošičku@
@a token gesture@|@malý náznak děkování@
@a tongue-lashing@|@vynadání@
@a total stranger@|@úplný cizinec@
@a touch of@|@příznaky nějaké nemoci@
@a tough act to follow@|@těžko napodobitelný výkon@
@a tough call@|@těžké rozhodnutí@
@a tough time of it@|@těžká doba@
@a tower of strength@|@přítel do deště@
@a wake-up call@|@varování@
@a wash@|@být si kvit@
@a wash-out@|@selhání@
@a way with words@|@povídavost, schopnost povídat@
@a whale of a game@|@napínavá hra@
@a wild goose chase@|@bezvýsledné pronásledování, plýtvání časem@
@a window of opportunity@|@příležitost@
@a wolf in sheep's clothing@|@nevinně vypadající nepřítel@
@a word to the wise is sufficient@|@porozumění klíčovému slovu@
@a wordsmith@|@spisovatel@
@a yawner@|@nudná událost@
@A.D.@|@našeho letopočtu@
@A.I.D.S@|@AIDS@
@a.k.a.@|@alias, též známy jako...@
@a.k.a. (aka)@|@též známý jako@
@a.m.@|@ráno@
@a/c@|@klimatizace@
@A/P@|@autopilot@
@A/R@|@účty odběratelů@
@A1@|@nejvyšší kvality@
@A-1@|@nejvyšší kvality@
@aardvark@|@mravenečník@
@abaca@|@manilské konopí@
@abaci@|@počítadla@
@aback@|@vzadu, zpět@
@abacus@|@počitadlo@
@abacuses@|@počitadla@
@abaft@|@dozadu, na záď, na zádi, vzadu, za@
@abalone@|@mořský plž, ušeň@
@abampere@|@abampér, absolutní ampér@
@abandon@|@abandonovat, opouštět, opustit, vzdát se, zanedbat@
@abandoned@|@nemravný, opuštěný, zpustlý@
@abandoning@|@opouštějící, opouštění@
@abandonment@|@opuštěná budova, opuštění@
@abandons@|@opouští@
@abase@|@degradovat, pokořit, ponížit@
@abased@|@degradován@
@abasement@|@pokoření, ponížení@
@abash@|@zahanbit, zakřiknout, zastrašit@
@abashed@|@zastrašen@
@abashing@|@zastrašování@
@abashment@|@rozpaky@
@abasia@|@abázie@
@abasic@|@abazický@
@abate@|@odečítat, polevit, poskytovat slevu, rušit, skoncovat s, slábnout, snížit, stát se neplatným, učinit přítrž čemu, ustávat, zastavit, zmenšovat, zmírnit, zrušit@
@abated@|@polevil, rušil, slábl, snížil, ustával, zastavil, zmenšoval, zmírnil, zrušil@
@abatement@|@odečet, potírání, rabat, sleva, snížení, srážka, úleva, zastavení, zmírnění, zrušení@
@abatement of a nuisance@|@potírání zlořádů@
@abatements@|@povolení, zmírnění, zrušení@
@abating@|@polevující@
@abattoir@|@jatky@
@abaxial@|@nesouosý@
@abbacy@|@opatství@
@abbatial@|@abatyšský, opatský@
@abbe@|@abbé@
@abbess@|@abatyše@
@abbey@|@budova opatství, opatství@
@abbeys@|@budovy opatství@
@abbot@|@opat@
@abbots@|@opati@
@Abbott@|@Abbott@
@abbreviate@|@zestručnit, zkracovat, zkrátit@
@abbreviated@|@zkrácený@
@abbreviating@|@zkracujíc, zkracující@
@abbreviation@|@zkrácení, zkratka@
@abbreviations@|@zkratky@
@Abby@|@Abby@
@ABC@|@abeceda@
@abcoulomb@|@coulomb@
@ABCs@|@abeceda@
@ABC's@|@abeceda@
@abdicate@|@abdikovat@
@abdicated@|@abdikoval, vzdal se funkce@
@abdication@|@abdikace, odstoupení z funkce@
@abdomen@|@břicho, zadeček@
@abdomens@|@břicha@
@abdominal@|@abdominální, břišní@
@abdominous@|@břichatý@
@abduct@|@unést@
@abducted@|@unesen@
@abduction@|@únos@
@abductions@|@abdukce, odtažení, upažení@
@abductor@|@únosce@
@abductors@|@únosci@
@abducts@|@odtahovat@
@abeam@|@ze strany@
@abecedarian@|@abecední, začátečnický, začátečník, žák@
@abed@|@upoután na lůžko, v posteli@
@Abel@|@Ábel@
@abele@|@topol bílý@
@Abelian@|@týkající se Ábela@
@Abelian group@|@abelovská grupa@
@abelmosk@|@ibišek@
@Abelson@|@Abelson@
@Aberdeen@|@město - Velká Británie@
@Abernathy@|@Abernathy@
@aberrance@|@deviace, odchylka, vyšinutí@
@aberrancy@|@odchylka, poblouznění@
@aberrant@|@nenormální@
@aberration@|@aberace, odchylka, úchylka@
@abet@|@navádět, ponoukat@
@abetment@|@podněcování, ponoukání@
@abetted@|@napomáhal@
@abetter@|@spoluviník@
@abetting@|@napomáhání, navádějící@
@abettor@|@podněcovatel, spoluviník@
@abeyance@|@latentní stav, nerozhodnutý stav@
@abfarad@|@absolutní farad@
@abhenry@|@absolutní henry@
@abhor@|@děsit se, ošklivit si@
@abhorred@|@ošklivil si@
@abhorrence@|@averze, odpor@
@abhorrent@|@odporný@
@abidance@|@dodržování, setrvávání@
@abide@|@dodržet, dodržovat, snášet, strpět, vyčkat, vydržet, vystát@
@abide by@|@být věrný, dodržovat, respektovat, řídit se, zůstat věrný@
@abided@|@dodržoval, setrval, snášel, snesl, strpěl@
@abiding@|@trvalý@
@Abidjan@|@hl.m. - Pobřeží Slonoviny@
@abient@|@negativní@
@Abigail@|@ženské křestní jméno@
@Abilene@|@město - USA@
@abilities@|@schopnosti@
@ability@|@důvtip, schopnost, vlohy, způsobilost, zručnost@
@abiogenesis@|@abiogeneze, prvoplození@
@abiogenetic@|@abiogenetický@
@abiotrophy@|@abiotrofie@
@abject@|@bídný@
@abject conditions@|@bídné podmínky@
@abject despair@|@nejhlubší zoufalství@
@abject imitation@|@otrocká imitace, otrocká napodobenina@
@abject misery@|@nejhorší bída@
@abjection@|@degradace, ponížení, skleslost@
@abjectly@|@bídně@
@abjectness@|@zavrženíhodnost@
@abjuration@|@odvolání@
@abjure@|@odpřisáhnout, zříct se@
@abjured@|@odvolal, zřekl se@
@ablate@|@odejmout@
@ablated@|@odříznutý, odstraněný@
@ablating@|@odnímání@
@ablation@|@ablace, odnětí, odplavení, snesení@
@ablative@|@ablativ@
@ablative absolute@|@ablativ absolutní@
@ablaut@|@ablaut@
@ablaze@|@hořící@
@able@|@dovedný, nadaný, schopný@
@able seaman@|@námořník první třídy@
@able to compete@|@konkurenceschopný@
@able to pay@|@solventní@
@able to work@|@práceschopný@
@able-bodied@|@schopen, tělesně schopný@
@abler@|@schopnější@
@ablest@|@nejschopnější@
@ablong@|@podlouhlý@
@abloom@|@kvést@
@ablution@|@mytí se, umývání@
@ably@|@dovedně@
@ABM@|@protibalistická raketa@
@abnegate@|@vzdát se, zříct se@
@abnegate a right@|@vzdát se práva@
@abnegation@|@zřeknutí se@
@Abner@|@Abner@
@abnormal@|@abnormální, nezvyklý, výjimečný@
@abnormal psychology@|@psychopatologie@
@abnormalities@|@odchylky@
@abnormality@|@nepravidelnost, odchylka, vada@
@abnormally@|@abnormálně@
@Abo@|@Abo@
@aboard@|@na palubě, na palubu@
@abode@|@bydliště@
@abohm@|@absolutní ohm@
@abolish@|@zrušit@
@abolish measures@|@odstranit opatření@
@abolish slavery@|@zrušit otroctví@
@abolished@|@zrušený@
@abolishing@|@rušení@
@abolishment@|@zrušení@
@abolition@|@zrušení@
@abolitionist@|@abolicionista@
@A-bomb@|@atomová bomba@
@abominable@|@ohavný@
@abominably@|@odporně, ohavně@
@abominate@|@děsit se, hnusit, ošklivit si@
@abomination@|@hnus@
@aboriginal@|@domorodý, prapůvodní@
@aborigine@|@domorodec@
@Aborigine@|@původní Australan@
@aborigines@|@domorodci@
@aborning@|@při porodu, při zrození@
@abort@|@nezdařit se, potratit, překazit, selhat@
@aborted@|@zrušený@
@aborticide@|@zabití plodu@
@aborting@|@rušení@
@abortion@|@potrat@
@abortionist@|@doktor provádějící potrat@
@abortions@|@potraty@
@abortive@|@neúspěšný, nezdařený@
@abortive attempt@|@nezdařený pokus@
@abortive birth@|@předčasný porod@
@aborts@|@ruší@
@Abos@|@australští domorodci@
@abound@|@hojně se vyskytovat, oplývat, přetékat@
@about@|@asi, dokola, kolem, o čem, o, okolo, po, přibližně, sem tam, skoro, stran čeho, u sebe, u, v čem@
@about face@|@čelem vzad@
@about him@|@na něho, o něm@
@about time@|@načase@
@above@|@nad, nahoru, nahoře, shora, výše@
@above all@|@především@
@above and beyond the call of duty@|@více než je očekáváno@
@above board@|@čestný@
@above standard@|@nadprůměrný@
@above the law@|@nepodléhající zákonům@
@aboveboard@|@poctivě@
@aboveground@|@nadzemní@
@aboveground nuclear testing@|@nadzemní nukleární testování@
@abovementioned@|@dříve zmíněný@
@above-mentioned@|@dříve zmíněný@
@abracadabra@|@čárymáry@
@abrade@|@obrousit, opotřebit@
@abraded@|@opotřebený@
@abrading@|@brusný@
@Abraham@|@Abraham, Abrahám@
@Abram@|@Abram@
@Abrams@|@Abrams@
@Abramson@|@Abramson@
@abrasion@|@obrušování, oděrka, odřenina, otěr@
@abrasion belt@|@brusný pás@
@abrasion dust@|@brusný prach@
@abrasion polishing@|@leštění broušením@
@abrasion resistance@|@pevnost v oděru@
@abrasion test@|@zkouška na otěr@
@abrasions@|@oděrky@
@abrasive@|@brousící, brusivo, brusný@
@abrasive band@|@brusný pás@
@abrasive belt@|@brusný pás@
@abrasive cloth@|@brusné plátno@
@abrasive disk@|@brusný kotouč@
@abrasive grain@|@brusné zrno@
@abrasive mark@|@stopa po brusivu@
@abrasive material@|@brusný materiál@
@abrasive paper@|@papír brusný@
@abrasive powder@|@brusný prášek@
@abrasive quality@|@brusivost@
@abrasive segment@|@brusný segment@
@abrasively@|@brusně, hrubě@
@abrasiveness@|@abrazivnost, drsnost, hrubost, obrusnost@
@abreact@|@odreagovat@
@abreaction@|@odreagování@
@abreast@|@bok po boku@
@abridge@|@zbavit, zestručnit, zkrátit@
@abridge a sb. of rights@|@zbavit práv@
@abridge a sb. of st.@|@zbavit@
@abridged@|@zestručněný@
@abridged division@|@zkrácené dělení@
@abridged multiplication@|@zkrácené násobení@
@abridgement@|@výtah, zkrácené vydání@
@abridgment@|@snížení@
@abroad@|@cizina, do ciziny, v cizině, zahraničí@
@abrogate@|@odstranit, zrušit@
@abrogated@|@odstranil, zrušil@
@abrogation@|@anulování, zrušení@
@abrupt@|@náhlý, nečekaný, neočekávaný, nesouvislý, prudký, příkrý, strmý, strohý@
@abrupt interval@|@neočekávaná přestávka@
@abrupt peak@|@strmý štít@
@abrupt style@|@nesouvislý styl@
@abrupt tern@|@prudká zatáčka@
@abruption@|@odlomení, odtržení@
@abruptly@|@náhle, zprudka@
@abruptness@|@neočekávanost, strohost@
@abscess@|@absces, hlíza@
@abscissa@|@abscisa, souřadnice, úsečka@
@abscissae@|@úsečka@
@abscission@|@oddělení, odnětí, odříznutí@
@abscond@|@uniknout, uprchnout@
@absconder@|@uprchlík před spravedlností, uprchlík@
@abseil@|@slanit@
@abseiler@|@slaňující osoba@
@absence@|@nedostatek, neexistence, nepřítomnost@
@absence makes the heart grow fonder@|@střídmost dělá srdce nežnější@
@absences@|@nedostatky@
@absent@|@nepřítomný, roztržitý@
@absented@|@chybějící@
@absentee@|@absentér, nepřítomný@
@absenteeism@|@absentérství@
@absently@|@nepřítomně@
@absentminded@|@roztržitý@
@absent-minded@|@duchem nepřítomný, roztržitý@
@absent-mindedly@|@nepozorně@
@absentmindedness@|@roztržitost@
@absent-mindedness@|@nepřítomnost duchem, roztržitost@
@absinth@|@absint, pelyněk@
@absinthe@|@absint@
@absolute@|@absolutistický, absolutní, neomezený, úplný@
@absolute agreement@|@naprostá shoda@
@absolute alcohol@|@absolutní alkohol, čistý alkohol@
@absolute command@|@důrazný rozkaz@
@absolute denial@|@úplné popření@
@absolute fool@|@úplný hlupák@
@absolute freedom@|@naprostá svoboda@
@absolute loss@|@naprostá ztráta@
@absolute monarchy@|@absolutistická monarchie@
@absolute pitch@|@absolutní výška@
@absolute power@|@absolutní síla@
@absolute promise@|@bezpodmínečný slib@
@absolute proof@|@pozitivní důkaz, přesvědčivý důkaz@
@absolute ruler@|@absolutní vládce@
@absolute trust@|@naprostá důvěra@
@absolute value@|@absolutní hodnota@
@absolute zero@|@absolutní nula@
@absolutely@|@absolutně, naprosto, rozhodně, úplně@
@absoluteness@|@absolutnost, neomezenost, úplnost@
@absolutes@|@absolutní pravdy@
@absolution@|@rozhřešení, zproštění@
@absolutism@|@absolutizmus@
@absolutist@|@absolutistický@
@absolve@|@osvobodit, zprostit@
@absolve from@|@osvobodit od, zprostit čeho@
@absolve of@|@osvobodit z@
@absolved@|@osvobozen@
@absolving@|@osvobozování@
@absorb@|@nasát, pohltit, vstřebat, vstřebávat, zaměstnat@
@absorbable@|@absorbovatelný@
@absorbate@|@absorbát@
@absorbed@|@absorbovaný, pohlcený, zabrán do@
@absorbency@|@absorpčnost@
@absorbent@|@absorbent@
@absorber@|@absorbér@
@absorbing@|@absorbující, zaměstnávající@
@absorbs@|@absorbuje@
@absorptance@|@pohltivost@
@absorption@|@absorpce, pohlcení, vstřebávání@
@absorptive@|@absorpční, savý, schopný uchvátit, uchvátivý@
@absorptivity@|@absorptivita, pohltivost, savost@
@abstain@|@abstinovat, zdržovat se@
@abstained@|@nehlasoval@
@abstainer@|@abstinent@
@abstaining@|@abstinující@
@abstemious@|@střídmý, šetrný, zdrženlivý@
@abstemiously@|@střídmě, zdrženlivě@
@abstemiousness@|@střídmost, zdrženlivost@
@abstention@|@zdržení se@
@abstentions@|@abstinence@
@abstinence@|@abstinence@
@abstinent@|@abstinent, abstinentní, střídmý, zdrženlivý@
@abstract@|@abstrahovat, abstraktní pojem, abstraktní, obsah, oddělit, odstranit, odtažitý, výtah@
@abstract expressionism@|@abstraktní expresionismus@
@abstract noun@|@abstraktní podstatné jméno@
@abstracted@|@nepozorný, roztržitý@
@abstractedly@|@nezávisle@
@abstractedly from@|@nezávisle na@
@abstractedness@|@roztržitost@
@abstraction@|@abstrakce@
@abstractions@|@abstrakce@
@abstractive@|@abstrakční@
@abstractly@|@abstraktně@
@abstractor@|@dokumentátor@
@abstracts@|@abstrakce@
@abstruse@|@nejasný, nesrozumitelný@
@abstrusely@|@nesrozumitelně@
@absurd@|@absurdní, nemožný, nesmyslný, směšný@
@absurdest@|@nejabsurdnější@
@absurdist@|@absurdistický@
@absurdities@|@absurdnosti@
@absurdity@|@absurdita, absurdnost, nemožnost, nesmyslnost@
@absurdly@|@absurdně@
@Abu Dhabi@|@Abu Dhabi@
@Abuja@|@hl.m. - Nigérie@
@abulia@|@abulie@
@abundance@|@hojnost, nadbytek@
@abundance of st.@|@nadbytek@
@abundant@|@bohatý, hojný, oplývající@
@abundant in st.@|@oplývající@
@abundantly@|@hojně@
@abuse@|@nadávat, nadávky, zneužití, zneužívat@
@abuse of st.@|@zneužití@
@abused@|@zneužit@
@abuser@|@zneuživatel@
@abusers@|@zneuživatelé@
@abuses@|@zneužívá@
@abusing@|@zneužívající@
@abusive@|@urážlivý@
@abusively@|@sprostě, urážlivě@
@abusiveness@|@zneužívanost@
@abut@|@dosedat, hraničit, přiléhat, sousedit@
@abut against@|@dosedat k, přiléhat k@
@abut on@|@hraničit s, sousedit s@
@abutment@|@opěra, pata, podpěra, podpěrný pilíř, tupý spoj@
@abutment arch@|@krajní oblouk@
@abutment pier@|@krajní podpora, opěra@
@abutter@|@soused@
@abutting@|@sousední@
@abuzz@|@bzučící@
@abvolt@|@abvolt@
@abysm@|@propast@
@abysmal@|@hrozný@
@abysmal misery@|@obrovská bída@
