@English@|@Adyghe@
@50@|@shenäqu@
@500@|@shitf@
@51@|@shenäqore zäre@
@6 days@|@Mefix@
@6 months@|@Mazix@
@6 years@|@Yälhesix@
@60@|@t'o`ish@
@600@|@shix@
@61@|@t'o`ishre zäre@
@7 days@|@Mefibl@
@7 days in a week@|@Theomafem mafibl  yi`@
@7 months@|@Mazibl@
@7 years@|@Yälhesibl@
@70@|@t'o`ishre  psh`äre@
@700@|@shibl@
@8 days@|@Mefiy@
@8 months@|@Maziy@
@8 years@|@Yälhesiy@
@80@|@t'o`iplh`@
@800@|@shiy@
@81@|@t'o`iplh`re zäre@
@9 days@|@Mefibghu@
@9 months@|@Mazibghu@
@9 years@|@Yälhesibghu@
@90@|@t'o`iplh`re psh`äre@
@900@|@shibghu@
@A bad dusty wind@|@Sape  ayye  qèpshe@
@A bad weather@|@Washor ayye@
@A bad woman@|@Shuz  bzac@
@A beautiful bride@|@Näse dax@
@A big cock@|@Atqa  yin@
@A big dance is nice@|@Cegu yänär daxe@
@A big feast@|@Näsashe  yän@
@A black shoe@|@Tsuqe  shu`its'@
@A boy and a girl@|@Alere  pshashere@
@A cavity in a tooth@|@Tse-ghuan@
@A day@|@Zy-mafe@
@A deep well@|@Psine  kuw@
@a demonstrative stem@|@-da, -da, a, jäj, na-@
@A famous adäge meal@|@Shäpsä@
@a flock of sheep@|@-bga@
@A foot has 5 toes@|@Zi-lhaqom  lheqombitf  yi`@
@a good milk@|@She deghu@
@A good woman@|@Shuz deghu@
@A good worker@|@Lejak'u  deghu@
@A hard pillow@|@Shhante  p?t@
@A long coat@|@Tsye ch'äh@
@A long shirt@|@Cane ch'äh@
@A narrow shoe@|@Tsuaqe  zeju@
@A needle with thread@|@Maste  `udan@
@A nice girl@|@Psheshe qabz@
@A nice long white shirt@|@Cane daxe ch'ihe fij@
@A nice shirt@|@Cane dax@
@A nice weather@|@Washor daxe@
@A nice white shirt@|@Cane daxe fij@
@A night and a day@|@Zy-shesh zymaf@
@a ram slaughtered@|@näšä@
@A smart boy@|@Ale  shan@
@A soft pillow@|@Shhante  shab@
@A tall girl@|@Pshashe  ch'ih, Psheshe ch'äh@
@A week@|@Thomaf@
@A week has 7 days@|@Zy-thomafem mafibl yi@
@A white shirt@|@Cane fij@
@A year@|@Yälhes@
@Abdomen@|@Nibe@
@Abtuse angle@|@Quape  paq@
@Acute angle@|@Quape  papts'@
@Add@|@Xelhhen@
@Adyghe's dance@|@gosheghaz, goshemaf, haft, hasht, Lhperichu, nebgiplh`, Nebgish-zefak'u, qafe, sheshen, wic@
@Adyghe cheese@|@Adäge qoay@
@Adyghe Cult. Soc. in Holland@|@Hollandem Yä-adäge Kultur Xase@
@Adyghe dance@|@Adäge qèsh`ach', Zefak'u@
@Adyghe dances are different@|@Adäge qèsh`ach'exer zetèfäghex@
@Adyghe society@|@Adäge xase@
@Adyghe tradition's in high level@|@Adäge xabzer lhage@
@Adyghe tradition is complicated@|@Adäge xabzer helh@
@Adyghe tradition is sophisticated@|@Adäge xabzer daxo ghepsäghe@
@Adyghe world Society@|@Dunaye psew adäge xase@
@Adyghes wear the adyghe coat@|@Adigeme adige tsye zshalhe@
@Adyghes wear the adyghe hat@|@Adigeme adige pao  zshalhe@
@Afterward they put in the oven@|@Yit'uane  hekum  ralhe@
@Age@|@Näbj@
@air@|@žä@
@Ale@|@sidmi  zialegor@
@alive@|@Shä`@
@all right@|@Psew@
@Almost 6000 m high@|@Metre minixim nes yi`atghaghe@
@alright@|@Terez@
@an Adyghe dance@|@-zefak'u@
@an interrogative stem@|@tár@
@An orphan boy@|@Ale yäb@
@An ugly woman@|@Shuz ay@
@ancient women's dress@|@ch'ach'ä@
@And so on@|@Cayfedeze  mak'o@
@anger@|@gwäh'agwäz@
@angle@|@Quape@
@animal (1 y. old and older)@|@tachaxw@
@animal carcass@|@bghwa@
@ant@|@q:ámzagw@
@Antartic@|@Ant-arktika@
@Apple@|@Mäye@
@Arak@|@Raqe@
@Arctic@|@Arktika@
@are@|@Shyt@
@arising@|@Qèch'ä@
@arm@|@'a-bL@
@Arm pit@|@Bligu@
@army@|@dza, ja@
@arrogant@|@pága@
@arrow@|@ša@
@Ash@|@Yaje@
@ashes@|@jaža@
@ask@|@uätshan@
@Aslant eats at mornings well@|@Aslant pshedijre shu`o mashxe@
@asp@|@näxä, näxáj@
@At a certain night@|@Zy-sheshgorem@
@At a certain time@|@Zegorem@
@At the first day@|@Yapere  mafem@
@Atmosphere@|@we@
@Attention@|@Gu-lh?t@
@aunt@|@syate-shiapkhu@
@Autumn@|@Bjihe@
@back@|@chä-b@
@Back bone@|@Txits'e@
@back of neck@|@psatäq:@
@bad@|@'ája@
@badger@|@tshäqw@
@ball@|@xwtshana@
@barley@|@h'a@
@bay@|@pts'aghuapt@
@bean@|@Ceshä@
@bear@|@mäsa@
@beard@|@žácha@
@beat@|@wätan@
@beautiful@|@daxe@
@beech-tree@|@tfajä@
@Beer@|@Bire@
@beetle@|@cäzä@
@Before that we had 8@|@Yapach'e 8  yit`agh@
@begin@|@Shhe@
@behind@|@pxa@
@Behind@|@Sh`ip@
@bellows@|@šädä-bžä@
@belly@|@näba@
@belong to the water@|@Psäm@
@bent@|@Ont'aghe@
@big@|@-šxwa, jänä, yini@
@Big belly@|@Nibe-shu@
@big dog@|@He yän@
@Bile@|@Zez@
@billy-goat@|@acha, atsha@
@bird@|@bzäwä@
@bird's fat@|@Läna@
@black@|@s.ä-ca@
@Black sea@|@Xä  shu`ätsé@
@Bladhead@|@Quyä@
@Blanket@|@Shexe`en, shxe`en@
@Bless you@|@We-psew@
@Blind@|@Neshu@
@blink of the eye@|@Nache-nashh@
@blister@|@psä-bäb@
@blood@|@Lä@
@blow@|@japšan@
@Blue@|@Shukhuant'e@
@body@|@Pqy@
@body part@|@pq'ä@
@Boiled egg@|@Ch'ench'e  ghejuagh@
@Bone@|@Qumishha@
@Bone marrow@|@kuts'@
@Book@|@Txilh@
@Boots@|@Tsuaqe atägh@
@boss@|@Themate@
@bottom@|@xa@
@bough@|@kwama@
@Bouillon beaf-tea@|@lepsä@
@bow-string@|@bza@
@boy@|@ale@
@brain@|@kwts'ä@
@Brain@|@Shhe  kuts'@
@brandy@|@Konyak@
@Bread@|@haläghu@
@bread and@|@Haläghure@
@Bread and cheese@|@Haläghyre qoayere@
@Bread and tea@|@Haläghure chayre@
@bread and water@|@Haläghure psäre@
@Bread contains salt@|@Haläghum shighu xelh@
@Bread with stuff in it@|@Haliju@
@breadth@|@Shuebghuaghu@
@Breakfast@|@Pshedij shxän, Pshedij shxen@
@breast@|@bädzä, Bidzi@
@breast milk@|@Bidzi-she@
@Bride@|@Näse@
@bridle@|@šxwa@
@brother@|@šä@
@Brother and sister@|@Zesh- zeshäpkhu@
@brown@|@'wabža@
@Brown@|@More@
@brushwood@|@chä, tsä@
@bull@|@bghu, cwä@
@bullet@|@she@
@bumble-bee@|@tshäbz@
@burn@|@bLa-, stä-n@
@burrow@|@ghwä@
@bush@|@kwanda@
@business@|@'wafä@
@butter@|@Tkhu, txwä@
@buy@|@shefä@
@buy (pl)@|@shushefä@
@cabin@|@tsälj@
@calf@|@ška@
@Calf@|@Chits'i@
@call@|@iadzan@
@can be@|@Khun@
@cap@|@pá'wa@
@car@|@Ku@
@carcass@|@p:q:ä@
@carrot@|@pxä@
@carry@|@ša-n@
@cart@|@kw@
@cat@|@chatäw@
@causative@|@gha-@
@cervical vertebrae@|@psagwärq:@
@Chair@|@Pkhent'ek'u, shent@
@Champagne@|@Shempanski@
@change@|@Khoj, Shukhoj@
@charity@|@Psape@
@cheese@|@qwaja@
@Cheese bread@|@Quaye  halyju@
@Cheese goes well with tea@|@Qoayer chayäm dèk'u@
@Chest@|@Bghe, Jaghe@
@Chick@|@Nek'ushh@
@chicken@|@ch'atä@
@Chickens are nice@|@Chetjiyexer  daxex@
@chief@|@Shhe@
@child@|@ale, nánäw@
@Chin@|@Jepq@
@chisel@|@p'ts'ä, pcä, pcä, ptsä, ptsä@
@Circassian's coat@|@Adäge tsy@
@Circassian hat@|@Adäge pa`o@
@Circle@|@Khuray@
@clean@|@q:ábza, Yi-gu  halel@
@Clean@|@Qabze@
@Clothes@|@Shäghän@
@cloud@|@pša@
@Cloudy@|@Weshoapsh@
@Coat@|@Tsye@
@Coat made of sheep skins@|@Cedug@
@cock@|@átáq:a@
@Cock@|@Ataqe@
@Cocks awake early@|@Ataqer  jo  qewishi@
@Cola@|@Kola@
@cold@|@chä'a@
@Cole in black@|@Shu`omi`ir  shu`itsé@
@Colon@|@Ch'et'y ghum@
@Colours@|@Plhäshoxer@
@come@|@Qak'o@
@come [pl]@|@Shuqak'u@
@Come here@|@Mo qak'o@
@Come once@|@Ze qak'o@
@comet@|@Komèt@
@conditional@|@-ma, -räj, -rän@
@conjunctive particle@|@-gä, -ra@
@Constipation@|@Nibe-pit@
@constitution@|@Xabze@
@corn@|@h'amts'äj@
@cornel@|@zájä@
@Corner of the eye@|@Nach'e@
@count@|@Bjäghe@
@Courage@|@Yi-gy  pite@
@cover@|@Tèkhu@
@cow@|@ch'amä@
@Cow@|@Shemä@
@Cow's milk@|@Shemä-she@
@crack@|@cha-n@
@cradle@|@kwza@
@crane@|@q:araw@
@crazy@|@dèle@
@Crazy@|@Ule@
@Cream@|@Shate@
@Cream cheese@|@Shete qoay@
@Cripple@|@Lhashe@
@crow@|@qwalaz@
@crush@|@pächä-/pächächä@
@crying@|@maghi@
@cuckoo@|@kwäkwäw@
@Cucumber@|@Nashe-begu@
@Cultural Adyghe society@|@Kultur Adäge xase@
@cut out@|@bzä-n@
@Cut them@|@Piw?psh`ix@
@daddy@|@tát@
@Dancing is an Adyghe custom@|@adäge xabzem shäsh@
@dark@|@swä-n-chä@
@date@|@ptshagha@
@daughter@|@pxwä@
@Daughter@|@Pkhu@
@daughter-in-law@|@näsa@
@day@|@mafa, mafa, Mafe@
@dead body@|@h'áda@
@Dead sea@|@Xi lh`agh@
@deep@|@kwä@
@deer@|@säh'a@
@Deer's too@|@Mez  pshenxeri  xesix@
@Delta@|@Psä-xekhojäp'@
@demonstrative pronoun@|@mä@
@denomin. attrib.@|@-ra@
@denominative abstract@|@-gh@
@denominative locative@|@-j, -ja@
@Depth@|@Kuwagh@
@desiderative@|@-ghwat@
@dew@|@wasa-ps@
@Diarrhoea@|@Nibash@
@die@|@La-n@
@die down@|@kwasan@
@dig@|@t'ä@
@diminishing@|@Xe`i@
@Dinner@|@Pshäheshhe shxän@
@Dinner table@|@Ane@
@dirty@|@swa-jä@
@Dirty@|@Shu`oy@
@Disease@|@Wizixer@
@Disease of being old@|@Jä-wäz@
@Divide@|@Goshin@
@divorced woman@|@Pkhu-jä@
@do@|@Shuk'u@
@Do not give me@|@Qsemät@
@Do not hurt hem@|@Yi-gu  xemghe`@
@Do not sit@|@Wy-mt'ys@
@Do not stand up@|@Wy-mtec@
@do the shopping@|@Shushaf@
@Do you have eye-pain?@|@Wi-ne  mewiza@
@does not eat too much@|@Bashe yäshxärep@
@Does not resemble@|@Fedep@
@dog@|@ha, he@
@Donkey@|@Shädä@
@door@|@ptsha@
@door handle@|@ptshapsä@
@dough@|@Thachu@
@dream@|@pchäh'áp@
@Dream@|@Psh`yh@
@dress@|@shäghän@
@drink@|@Yeshu@
@duck@|@Babish@
@dust@|@Sap@
@Dust make home filty@|@Sapem  winer  qègheshu`oye@
@eagle-owl@|@tä-ghwrghwä, täghwräghwä@
@ear@|@thakwäm@
@Ear@|@Thek'ume@
@Ear drum@|@Thuk'ume-`ups@
@early@|@pás@
@earth@|@chä@
@East@|@Qoch'p'e@
@eat@|@Shxe@
@eat [pl]@|@Shushx@
@Eat too much@|@Nibats@
@eating@|@Shxen@
@edge@|@naz@
@egg@|@Ch'ench'e, chancha@
@eight@|@yä@
@eighteen@|@pshäk'uy@
@empty@|@nachä@
@entrails@|@kwac@
@Equator@|@Ekwator@
@ergative and instrumental@|@-š@
@ergative determ.@|@-m@
@even@|@za-fa@
@evening@|@-sh', pchäh'a@
@Evening@|@Pshähe, Pshähe, pshäheshhe@
@evil@|@bzadza@
@expert@|@'aza@
@Extensive@|@Lhap'e@
@eye@|@na@
@Eye@|@Ne@
@Eye brow@|@Nap'e@
@Eye lash@|@Nebj?ts@
@eyebrow@|@ážämš@
@Face@|@Nape@
@family@|@Wnagho@
@far@|@chäža@
@fat@|@pšar, ša@
@father@|@tä@
@father and son resemble@|@Tämre alemre zefedex@
@feel ticklish@|@Läžä-n@
@female@|@bzä@
@fence@|@chaw@
@few@|@mats'a, takw@
@fidget@|@xh'än@
@field@|@gwbghua@
@fifteeen@|@pshäk'utf@
@Figures@|@Figurxer@
@find@|@Ghotä@
@find (pl )@|@Shughot@
@Finger@|@Akhoamb@
@fire@|@mas.a@
@fire-brand@|@pxa-cacha@
@fir-tree@|@psajä@
@fish@|@p'ts'ia'äla, pca, ptsa'äla, ptsa'äla@
@five@|@tfä@
@flea@|@bžä-ja@
@flock of sheep@|@kwart@
@Floor house@|@Wine-atigh@
@Flour@|@Hajigh, hajighe@
@fly@|@bäbä-n, badza, baja@
@foam@|@txwärb@
@foliage@|@pchás@
@food@|@shxän@
@Food@|@Shxänäxer@
@foot@|@La-q:wa@
@Forearm@|@Alcan@
@forehead@|@náta, Nat'e@
@foreleg@|@swa-La@
@forest@|@mazä@
@fork@|@kwaxwa@
@four@|@plh'ä@
@fourteen@|@pshäk'uplh@
@fox@|@bäzha@
@frog@|@h'antarqw@
@Fruits are ripe@|@Quye  miyexer  qekhux@
@full@|@jäz@
@Full moon@|@Mazaghu@
@Full of leaves@|@Thepexer  yapitix@
@funeral stretcher@|@pxa-bLa@
@furuncle@|@Koreshu@
@future@|@-n, -st, qek'osht zemanär@
@future (dynamic verbs) tense@|@-ba@
@gadfly@|@ghwädä@
@gall@|@zazä@
@Garden@|@Xate@
@garlic@|@Bjinif@
@Garlic cleans the blood@|@Bjinifim lhir yegheqabze@
@Garlic smells badly@|@Bjinifim me ayye pewi@
@Geese migrate@|@Qazxer  mekoshix@
@general subj. class marker@|@-z-@
@gerund@|@-za@
@gerund relative cause infix@|@za-, zarä-@
@get [pl] awake@|@Shu-qewish@
@get awake@|@Qewish@
@get dry@|@ghwä-n@
@get tired@|@psän@
@girl@|@psása, Pshashe@
@girls@|@Pshashexer@
@Girls too@|@Pshashexeri@
@give@|@tän, Yet@
@Give me@|@Qset@
@Give me the book@|@Txälhär qset@
@Give me water@|@Psä qset@
@Give the sheep water@|@Meläm psä yet@
@give!@|@tä@
@give! (pl)@|@Shutä@
@go@|@kwan@
@Go to sleep@|@Shye@
@go to sleep (pl)@|@Shushiy@
@go!@|@K'o@
@goat@|@pchanä@
@Goat@|@Pshenä@
@Goat's milk@|@Pshenä-she@
@Goat's wool@|@Pshenäm  yäts@
@god@|@tha@
@God@|@The@
@God bless you@|@The wèghepsew@
@God let you live for long time@|@Them wä-näbj ch'ähe yesh`@
@gold@|@a-xä, däs@
@good@|@daghwä, swä@
@Good@|@Shu`ä@
@Good day@|@Wi-mafe  shu`ä@
@Good morning@|@Wi-pshähe  shu`ä, Wi-pshedij  shu`ä@
@Goose@|@Qaz@
@gooseberry@|@sxäräb@
@goose-foot grass@|@jaža-šxwa@
@gorge@|@qwa@
@grandmother@|@Nenej@
@grapes@|@sána@
@grass@|@uätsä, wäcä@
@grave@|@q'a@
@green@|@Wätsäsho@
@Green pepper@|@Shäbji shukhuant'@
@grey@|@šxwa, txwa, Yejasho@
@ground@|@Sh`ägu@
@group@|@kwäp@
@grow numb@|@dä-jä-n@
@Guard@|@Khumak'u@
@guest@|@hacha@
@guests@|@He`er ya-ghashu`e@
@Gullet@|@Nibe-lhints'@
@gulp@|@jaxwämpaghw@
@Gum of teeth@|@Tseli@
@Gurjet@|@QebI@
@hail@|@we@
@hair@|@cä, qwä@
@hairless@|@qwäjä@
@half@|@näqwa@
@hand@|@'a, Ape, lagwnžamäsh'@
@handiness@|@Aze@
@handle@|@chä@
@Handsome and clean@|@Yäshuere yäshäghänre qabzex@
@Handy@|@Ape az@
@hard@|@päta@
@hat@|@Pa`o@
@have pain in my spine@|@Si-txitsé  mewizi@
@have pain in the back@|@Si-bgi mewizi@
@having a bad eye-sight@|@na-bra@
@hay@|@maq:wä@
@he@|@yej@
@He ate@|@Shxaghe@
@He awakes@|@Qewishi@
@He awakes all villagers@|@Quajem  desxer  qèghew?sh?x@
@he bought@|@Yäshefägh@
@he buys@|@Yeshefä@
@He came@|@Qek'oagh@
@He can hardly understand@|@Gu-ri`oghuay@
@he changed@|@Yikhojigh@
@he changes@|@yekhoji@
@He comes@|@Qek'o@
@He cries before sunrise@|@Dehe tgher q`èmich'o qekuwe@
@He dances@|@Qèshè-rep@
@He dances good@|@Daxo  qè-sh`e@
@He did not sleep@|@Shyyaghep@
@he did the shopping@|@Shefaghe@
@He does not get the idea@|@Yi-gu-lihite tèferep@
@He does not know how to dance@|@Qèsh`ach'e yä-sh`erep@
@He drank@|@Yeshuagh@
@He draw my attention@|@Si-gu-lhite   tri-ghefagh@
@He drinks@|@Yesho@
@He eats@|@Mashxe@
@he fell@|@iabadzägh@
@he fights@|@Mezawe@
@he finds@|@yeghotä@
@he found@|@Yäghotägh@
@he gave@|@Yätägh@
@He gave him@|@Ri-tägh@
@He gave me a job for my living@|@Sèghepsew@
@he gets there@|@nesi@
@He gives@|@Y-etä@
@he goes@|@Mak'o@
@He got a stone in his kidney@|@Yi-jaje mijo yilh@
@He got what he deserved@|@Shuä`sher shäsh`ägh@
@He has 5 girls@|@Psheshitf  yä'@
@He has 9 boy's and 9 girls@|@Psheshibghure alibghure yä@
@He has 9 sons@|@Alibghu yä'@
@He has a big mouth@|@Yije yini@
@He has a dream@|@yä-lheghugh@
@He has a formidable age@|@Näbjäshuxe yä`@
@He has a job for your living@|@Wèghepsew@
@He has a long life@|@Yä-näbj  ch'ähe@
@He has a nice dream@|@Psh`yhe daxe@
@He has a nightmare@|@ayye@
@He has a soul@|@Pse ut@
@He has scabs in his face@|@Yi-nek'u  beguxer  tèt@
@He has stones in his kidney@|@Yijaje mijo yilh@
@He has two boys@|@Alit'u yä`@
@He has two girls@|@Psheshet'u yä'@
@he is@|@yerä@
@He is a human being@|@Ts'äfäghe xelh@
@He is ahead@|@Yipe yit@
@He is awake@|@Qewshigh, Qewshygh@
@he is crying@|@maghä@
@He is dancing@|@Qèsh`e@
@He is dishonest@|@Yi-gu  shu`oy@
@he is eating@|@Mashxe@
@He is honest@|@Yi-gu  qabze@
@He is laughing@|@Qeshxä@
@He is looking@|@Maplhe@
@He is no longer alive@|@Shä`ejep@
@He is old@|@Yä-näbj yänä@
@He is sleeping@|@Me-shäye@
@He is smart@|@Yi-gu-lhite psinch'o tèfe@
@He is working@|@Me-psew@
@he knows me@|@S-qèsh`e@
@He knows them@|@Qèsh`ex@
@he knows you@|@W-qèsh`e@
@he knows you (pl)@|@Shuqèsh`e@
@He lived long@|@Näbj ch'ähe yä-ghesh`agh@
@He looked@|@Plhaghe@
@He looks@|@Maplhe@
@he lost his heart@|@yi-gu   k'odighe@
@He lost some blood@|@Lhi tek'u yi-ghek'odigh@
@he makes shopping@|@Meshafe@
@he played@|@Cegughe@
@he plays@|@Mecegu@
@he read (past)@|@Yecagh@
@he reads@|@Yece@
@He sat@|@Shysygh@
@He saw@|@Yelheghugh@
@he seats@|@Met'isi@
@He sees@|@Yelheghu@
@He sells@|@Yeshe@
@He sits@|@Me-t'isi@
@He sleeps@|@Meshiye@
@He slept@|@Shiyaghe@
@He smells@|@Mepame@
@He smelt@|@Pemaghe@
@He sold@|@Yshagh@
@He stands up@|@Qeteci@
@He stood up@|@Qetecigh@
@he takes@|@èxi@
@he too@|@yejri@
@He too eats@|@Yejri mashxe@
@He too works@|@Yejri melaje@
@he took@|@Ixigh@
@He understands@|@Gu-re`o@
@he went@|@K'uaghe@
@He will awake@|@Qewshisht@
@he will buy@|@Yäshefäsht@
@he will change@|@Yikhojisht@
@He will come@|@Qek'osht@
@he will do the shopping@|@Shefesht@
@He will drink@|@yeshosht@
@He will eat@|@Shxesht@
@he will find@|@Yäghotäsht@
@he will give@|@Yätäsht@
@He will go@|@K'osht@
@He will look@|@Plhesht@
@he will play@|@Cegusht@
@he will read@|@yecesht@
@He will see@|@Yilheghusht@
@He will sell@|@Yshesht@
@he will sit@|@T'isisht@
@He will sleep@|@Shiyesht@
@He will smell@|@Pemesht@
@He will stand up@|@Qetecisht@
@he will take@|@Ixisht@
@he will write@|@Wätxesht@
@He works@|@Me-laje@
@he writes@|@Matxe@
@he wrote@|@Txaghe@
@He; who eat@|@Yejrä shxere@
@head@|@Pshä, sh'a@
@Head@|@Shhe@
@Head cover@|@Shhe tèkhu@
@head hair@|@Shhe  tsä@
@Heard disease@|@Gu-wiz@
@heart@|@gwä@
@Heart knows heart@|@Gure  gure  zeresh`ex@
@hearth@|@žagwä@
@heavy@|@wantaghw@
@Heavy snow@|@Wesäshux@
@Heavy wind@|@Jäbgheshux@
@Heel@|@Lhdaq@
@hen@|@chatä@
@her figure is nice@|@Yi-pq daxe@
@here@|@Mo@
@high@|@Laga@
@Highly respect@|@Psh`eshuxe@
@Highly respected Sir@|@Psh`eshuxe zi`e thamater@
@hill@|@'wásh', bgä@
@Hill@|@bgä@
@His age@|@Yänäbj@
@His body is long@|@Yi-pq ch'ihe@
@His chest aches@|@Yi-bghe  mewizi@
@His face is bright@|@Yi-nek'u  fiji@
@his face is yellow@|@Yi-sho  ghoji@
@his father@|@yat@
@His father is long@|@Y-ate ch'ähe@
@His foot is big@|@Yi-lhaqo  yini@
@His forearm is broken@|@Yi-alcane  qutaghe@
@his grandmother@|@Yä-nenej@
@His hair is dark@|@Yä-shhets  shu`äts'e@
@his heart is bad@|@Yi-gu  ts'ap'e@
@his heart is harsh@|@Yi-gu   pkhashe@
@his heart is soft@|@Yi-gu   shabe@
@His kidney aches@|@Yi-jaje ayyo wizishtghe@
@His mother@|@Yan@
@His nails are dirty@|@Yi-abjanexer  shu`oyix@
@His name@|@Yä-ts'e@
@His neck is thick@|@Yitiqin ghumi@
@His neck is thin@|@Yitiqin psigho@
@His nose is long@|@Yipe ch'yhe@
@His son-in-law@|@Yä-malhkhu@
@His style of dancing is nice@|@Yä-qèsh`ache daxe@
@His tongue is long@|@Yibzegu  ch'ihe@
@hit@|@we@
@hoar-frost@|@sax@
@hold@|@'ä-ghä-@
@honey@|@swawä@
@honeycomb@|@shakwa@
@hooked@|@qwáša@
@horn@|@bza, bzáqwa, lápsa, lápsa@
@horse@|@šä@
@Horse milk@|@Shä-she@
@Hospital@|@Smecesh@
@Hot pepper@|@Shibji  stir@
@Hot pepper powder@|@Shäbji hajäghe stär@
@house@|@wäna@
@House garden@|@Wi-nem yixat@
@how@|@Sydo@
@How are you?@|@Sydo wshyt?@
@hundred@|@sa@
@Hurts my heard@|@Si-gu  xe`i@
@hut@|@chaL, pšäpa@
@I@|@sa@
@I am all right@|@Sy-psew@
@I am awake@|@Sqewshigh@
@I am crying@|@seghä@
@I am eating@|@Seshxe@
@I am looking@|@S-eplhe@
@I am sitting@|@Sy-shys@
@I ate@|@Sishxagh@
@I awake@|@Sqewäshä@
@I bought@|@Sshefghe@
@I buy@|@Seshefä@
@I came@|@Sqek'uagh@
@I change@|@Sekhoji@
@I changed@|@Skhojghe@
@I come@|@Siqek'o@
@I do eat@|@Se-shxe@
@I do not eat@|@Sä-shxerep@
@I do not eat in the morning@|@Pshedijre säshxerep@
@I do not work at night@|@Sheshre  sy-lajerep@
@I do shopping@|@Seshafe@
@I drank@|@Sèshuagh@
@I drink@|@Sèsho@
@I drink tea in the morning@|@Pshedijre chay sèsho@
@I eat@|@Se-shxe@
@I eat lonely@|@Si-zaqo  seshxe@
@I eat too@|@Seri seshxe@
@I fight@|@Sezawe@
@I find@|@Seghotä@
@I found@|@Sghotghe@
@I gave@|@stäghe@
@I gave him@|@Ye-stägh@
@I gave him a word@|@Psalhe  ye-stägh@
@I gave him my word@|@Si-psalhe ye-stägh@
@I get there@|@Sinesi@
@I give@|@S-etä@
@I give him@|@Ye-setä@
@I go@|@Sek'o@
@I had a dream@|@Psh`yhe  s-lhegho@
@I have a boy and a girl@|@Zä-`alere zäpshashere  si`@
@I have a sister and a brother@|@Zä-shäre zä-shäpkhure si`@
@I have a stomachache@|@Si-nibe mewizi@
@I know even 20@|@Se t'o`im nesi sesh`e@
@I lie@|@Pts'ä sewäsä@
@I lied@|@Pts'ä säwsäghe@
@I look@|@Seplhe@
@I looked@|@Siplhagh@
@I only drink tea@|@Chay qodäye sèsho@
@I play@|@Secegu@
@I played@|@Sicegugh@
@I read@|@Sèce@
@I read (past)@|@Sècagh@
@I sat@|@Sit'isigh@
@I saw@|@Slhegho@
@I see@|@Selheghu@
@I sell@|@Seshe@
@I sit@|@Se-t'isi@
@I sleep@|@Seshiye@
@I slept@|@Sishiyagh@
@I smell@|@Sepame@
@I smelt@|@Si-pemagh@
@I sold@|@Sshaghe@
@I stand up@|@Sqeteci@
@I stood up@|@Sqetecigh@
@I take@|@Èsexi@
@I took@|@Isxigh@
