@English@|@Japanese@
@a little@|@gou, ikuraka, isasaka, kin, nandaka, sukunai, tashou, usuusu, wazuka, yaya@
@a little (see chotto)@|@chokkura@
@a little covetousness@|@shouyoku@
@a little less than@|@tarazu@
@a little more@|@imasukoshi@
@a little short@|@sundzumari@
@a little too short@|@suntarazu@
@a load@|@ikka@
@a log bridge@|@ipponbashi@
@a long march@|@chouku@
@a long-jointed bamboo@|@madake@
@a look@|@ichibetsu, ichimoku, ichiran, ikken, manazashi@
@a loop@|@ru-pu@
@a lot@|@amata, daibu, hitokurume, ikkaku, ikku, renchuu, takusan, zutto@
@a lump@|@hitokatamari, ichigan@
@a lunge@|@tsuki@
@A major@|@ichouchou@
@a man of some importance@|@ichijinbutsu@
@a mannerism@|@mannerizumu@
@a mark@|@megurushi@
@a married man@|@saitaisha@
@a match@|@torikumi, torikumi@
@a matter@|@ichijou, ikken@
@a meal@|@ippan@
@a meaning@|@ichigi@
@a measure@|@shaku@
@a meddlesome person@|@sewayaki@
@a meditative pose@|@omoiire@
@a meeting@|@yoriai@
@a member@|@ichiin@
@a merit@|@ittoku@
@a method@|@itte@
@a miniature@|@hinagata@
@A minor@|@itanchou@
@a minute@|@ikkoku, ippun@
@a moan@|@umeki@
@a model@|@gihyou@
@a moment@|@ikkoku, issetsuna, isshun, isshunkan, sunbyou@
@a moment ago@|@imagata@
@a moment before@|@imahodo@
@a monologue@|@hitorigoto@
@a month or older@|@tsukiokure@
@a mood@|@ippin'isshou@
@a motion@|@dougi, mo-shon@
@a mountain@|@hitoyama, issan@
@a move (in game)@|@itte@
@a mummy@|@miira@
@a murder@|@koroshi, tasatsu@
@a must to buy@|@kawandearu@
@a must-see@|@hikken@
@a nap@|@hitoneiri, hitonemuri, issui@
@a narrow strait@|@ichiitaisui@
@a narwhal@|@ikkaku@
@a negative@|@inga@
@a new era@|@ichishinkingen@
@a new method@|@ichikijiku@
@a new month starts@|@tsukigawari@
@a nook@|@hitosumi@
@a novel@|@ninjoubon@
@a number of days@|@hikazu, nissuu@
@a one man show@|@hitorishibai@
@a one-act play@|@hitomakumono@
@a one-knife carving@|@ittoubori@
@a one-plate meal@|@ichijuuissai@
@a one-stroke sketch@|@hitofudegaki@
@a one-track mind@|@ippongi@
@a page@|@ichiyou@
@a pair@|@hitotsugai@
@a pair (footwear)@|@issoku@
@a pair (of chopsticks)@|@ichizen@
@a pair (of screens or vases etc.)@|@ittsui@
@a pair (of screens)@|@issou@
@a palanquin set with jewels@|@tamanokoshi@
@a pardon@|@onsha@
@a part@|@ichibubun, ichiyoku, ippan, ittan@
@a part to play@|@hitoyaku@
@a particular@|@shikaru@
@a partnership@|@kyoudoukumiai@
@a party@|@ichidan, ippa, ittai, ittou, konpa@
@a party (of people)@|@yakara@
@a pass@|@tsuki@
@a passage in a discourse@|@hitokusari@
@a passing acquaintance@|@ichimenshiki@
@a patient@|@kanja@
@a pause@|@hitoiki, hitokiri, ichidanraku@
@a payment made via bank deposit transfer@|@furikomi@
@a penny store@|@ichimon'akinai@
@a period@|@hitokiri@
@a period (in astronomy)@|@isshuuki@
@a permit@|@kyokasho@
@a person@|@ichiin@
@a person given as a reference@|@sankounin@
@a person made homeless by fire@|@ichiyakojiki@
@a person who always has to have his say@|@ichigenkoji@
@a person who decides@|@kimete@
@a personal view@|@ikkagen@
@a phrase (verse@|@ikku@
@a piece@|@ikko, ikko, ippen@
@a piece of rope@|@hitosujinawa@
@a piece of wood (cut from a larger piece)@|@kigire@
@a pile@|@hitomori@
@a pile (of something)@|@issan@
@a pinch@|@pinchi@
@a pinch (of something)@|@hitotsumami@
@a pity@|@kinodoku, okinodoku@
@a plain@|@kouya@
@a plan@|@ichian, ikkei, issaku, mokuromi@
@a plate@|@hitosara@
@a plot@|@ichimotsu@
@a poem@|@isshu@
@a point@|@icchuu@
@a poke@|@ichigeki@
@a pool@|@mizutamari@
@a posteriori@|@aposuteriori, koutenteki@
@a pot@|@hachi@
@a power (math)@|@beki, bekijou@
@a prim person@|@sumashiya@
@a principle@|@ichigi, ichiri@
@a priori@|@apuriori, sententeki@
@a private individual@|@ichishijin, isshijin@
@a private opinion@|@ikkagen@
@a private person@|@ichikojin@
@a program@|@mokuromi@
@a project@|@mokuromi@
@a puddle@|@mizutamari@
@a puff@|@ippuku@
@a purchase@|@kaitori@
@a pursuer@|@otte@
@a pursuing party@|@otte@
@a quality@|@bingoomote@
@a quarter@|@ikki, ippou@
@a quick lunch@|@ichizenmeshiya@
@a quick temper@|@seikyuu@
@a quick wit@|@kiten@
@a quiet (natural) setting@|@yuushu@
@a quire (of paper)@|@ichijou@
@a quotation@|@ichijou, in'youbun@
@a ray (of hope)@|@ichidou@
@a reactionary@|@handouka@
@a ream (of paper)@|@ichiren@
@a reason@|@ichigi, ichiri@
@a region@|@ittai@
@a rejection@|@hitokeri, isshuu@
@a replacement@|@kawari@
@a rest@|@hitoyasumi@
@a retaken photograph@|@torinaoshi@
@a retort@|@isshi@
@a revolution@|@isshuu@
@a riot@|@ikki@
@a roar@|@ikkatsu@
@a round@|@hitomawari, hitomeguri, ichiban, ichijun, ikkai, ippatsu@
@a row@|@ichigyou, ichiretsu@
@a rowdy@|@akutare@
@a rule@|@shaku@
@a rumor that appears to be quite true@|@uwasadoori@
@a run@|@hitohashiri, hitoppashiri@
@a run-batted-in hit (baseball)@|@taimuri-hitto@
@a sale (transaction)@|@kaitori@
@a salver@|@ichijou@
@a scale@|@shaku@
@a scene@|@hitokoma@
@a scene of carnage (bloodshed)@|@shuurajou@
@a scheme@|@mokuromi@
@a school@|@ippa@
@a scoop@|@tokudane@
@a screen@|@tsuitate@
@a scroll@|@ippuku@
@a seal affixed to a document@|@shouin@
@a sealed document@|@ippuu@
@a sealed letter@|@ippuu@
@a second@|@sekando@
@a secret@|@naishougoto@
@a sect@|@ippa, isshuu@
@a semimonthly@|@hangekkan@
@a senior@|@jouchou, nenchousha@
@a sense of humor@|@yu-moanokankaku@
@a sentence@|@ichibun@
@a series@|@ichiren@
@a serious affair@|@ichidaiji@
@a set@|@hitosoroe, hitosoroi@
@a set (of people)@|@yakara@
@a set of boxes@|@hitokasane@
@a sexual orgy (X)@|@rankoupa-ti-@
@a sharp (music)@|@ei@
@a shed@|@uwaya@
@a shock@|@hitoawa@
@a shop@|@shoppu, ten@
@a short period@|@icchou@
@a short sleep@|@hitonemuri, issui@
@a short story@|@issekiwa@
@a short time@|@chotto, ichinichihenji@
@a shout@|@hitokoe@
@a sigh@|@tameiki@
@a silver quarter ryoo@|@ichibugin@
@a simple meal@|@ichijuuissai@
@a single crop@|@ichimousaku@
@a single letter@|@itteiji@
@a single person@|@hitorimono@
@a single seater@|@ichininnori@
@a single standard@|@ippondate@
@a single stroke@|@ittou@
@a single word@|@hitokoto, ichigen@
@a single-family lineage@|@ikkei@
@a sip@|@hitokuchi@
@a sitting@|@isseki@
@a slap in the face@|@binta@
@a sleep@|@hitonemuri@
@a slice@|@hitokire, ippen@
@a slight@|@naigashiro@
@a slight effort@|@ikkyoshuittousoku@
@a slump@|@nakadarumi@
@a slut@|@darashinai@
@a small sum@|@isshihansen@
@a smattering@|@katakoto, namakajiri@
@a smile@|@isshou@
@a smile or a frown@|@ippin'isshou@
@a smoke@|@ippuku@
@a social@|@konpa@
@a soliloquy@|@hitorigoto@
@a solitary cryptomeria tree@|@ipponsugi@
@a solo@|@dokusou@
@a son of a distinguished family@|@onzoushi@
@a span@|@ichiyubiatari@
@a species@|@isshu@
@a specific medicine@|@tokkouyaku@
@a speech@|@isseki@
@a spin@|@hitohashiri, hitoppashiri@
@a spot (glimpse@|@ippan@
@a spy@|@kanchou, kanja@
@a squad@|@ittai@
@a squall@|@hitoare@
@a stab@|@sashikizu, tsuki@
@a stammer@|@domori@
@a stamp@|@inshi@
@a statute@|@ritsuryou@
@a step@|@hitoashi, hitokiri, ho, ippo@
@a step forward@|@ippozenshin@
@a stop@|@kugiri@
@a stopgap measure@|@tsunagi@
@a straight road@|@hitosujimichi@
@a streak@|@ichijou@
@a stride@|@ho@
@a strike with the back of one's sword@|@mineuchi@
@a string@|@isshi@
@a stroke@|@hitouchi, ichida@
@a stroke of the pen@|@hitofude@
@a stuffed animal@|@hakusei@
@a stutter@|@domori@
@a suit@|@hitokasane, hitosoroe, hitosoroi@
@a suitor@|@sonin@
@a sum of money@|@nari@
@a summary@|@ichiran@
@a sword (blade)@|@ittou@
@a talk@|@danwa@
@a task@|@hitoshigoto@
@a tatami finished on both sides@|@agedatami@
@a tea cloth@|@chakin@
@a term@|@ikki@
@a thing@|@ichibutsu, ichimotsu@
@a thought@|@ikkou@
@a thread (of connection)@|@ichimyaku@
@a thrust@|@tsuki@
@a time@|@ichiji, ikkai@
@a tinge@|@ichimi@
@a tool@|@kenzan@
@a top@|@koma@
@a topknot (hair style)@|@chonmage@
@a touch@|@ichimi@
@a touch of@|@ichimatsu@
@a tray@|@ichijou@
@a trifle@|@ichigou@
@a trivial matter (id)@|@asameshimae@
@a troupe@|@ichidan, ichiza@
@a trust@|@kigyougoudou@
@a tune@|@hitofushi@
@a tune (melody@|@ikkyoku@
@a turn@|@hitomawari, hitomeguri, itten@
@a turn (i.e. at bat)@|@kawari@
@a turning point@|@ichitenki, ittenki@
@a twin@|@futago@
@a variety@|@isshu@
@a vein@|@ichimyaku@
@a verse (e.g. in the Bible)@|@issetsu@
@a very little bit@|@choppiri@
@a very shy person@|@hanikamiya, tereya@
@a very thorough search (for contraband@|@shiramitsubushi@
@a virtue@|@ittoku@
@a voice@|@hitokoe@
@a vote@|@ippyou@
@a wake@|@tsuya@
@a ward@|@ikku@
@a waste basket@|@kuzukago@
@a wastepaper basket@|@kuzukago@
@a watch stand@|@bandai@
@a watcher's seat@|@bandai@
@a way@|@itto@
@a weak point (to aim at)@|@tsukeme@
@a wee bit@|@choppiri@
@a week@|@isshuu@
@a weight@|@osae@
@a wheel@|@ichirin@
@a while@|@chotto@
@a whirl of hair on the head@|@tsumuji@
@a whole day and night@|@icchuuya@
@a word@|@hitokoto, ichigenhanku, ichigon, ichigonhanku@
@a word (opinion@|@ichigi@
@a word of great value@|@ichijisenkin@
@a word or two@|@hitokotofutakoto@
@a work@|@saku@
@a working (self-supporting) student@|@kugakusei@
@a written statement@|@koujougaki@
@a year or two@|@ichiryounen@
@a zone@|@ittai@
@A.D.@|@kigen@
@A.M.@|@gozen@
@AA size (battery)@|@tansangata@
@Aah!@|@yare@
@aardvark (Orycteropus)@|@tsuchibuta@
@abacus@|@soroban@
@abalone@|@awabi@
@abandon@|@haiki, mikiri@
@abandoned (stray) cat@|@suteneko@
@abandoned child@|@kiji, sutego, sutego@
@abandoned mine@|@haikou@
@abandoning@|@kikyaku@
@abandoning (hope@|@dannen@
@abandonment@|@houki, iki, iki, jibou, jiki, kien@
@abandonment (rights@|@ifu@
@abasement@|@shittsui@
@abatement@|@gengaku, genka, keigen, shikkou@
@abatis@|@sakamogi@
@abattoir@|@chikusatsuba, tosatsujou@
@abbe@|@shinpu@
@abbey@|@daishuudouin, shuudouin@
@abbot@|@daishuudouinchou, shuudouinchou, shuuinchou@
@abbr@|@rassharu@
@abbreviated form@|@tanshukukei@
@abbreviation@|@ryaku, ryakugo, ryakuji, ryakushou, shouhitsu, shouryaku, tanshuku@
@ABC@|@kouotsuhei@
@abcess@|@dekimono@
@ABC's of..@|@shoho@
@abdication@|@taii@
@abdomen@|@fukubu, kafuku, kafukubu, shitabara, shitahara, shitappara, tanden@
@abdominal chills@|@hiebara@
@abdominal swelling@|@shimobukure@
@abdominal-support belt@|@chikaraobi@
@abducted@|@sarawareta@
@abduction@|@kouin, rachisuru, yuukai, yuukaihan@
@Abelian group (math)@|@kakangun@
@ABEND (ABnormal END)@|@ijoushuuryou@
@aberration@|@shuusa@
@abet@|@sendou@
@abetting@|@sendou@
@abhor@|@daikirai@
@ability@|@abiriti-, binwan, ginou, giryou, giryou, hataraki, kaishou, nouryoku, rikiryou, saikan, sainou, sairyoku, saiwan, seinou, shuwan, udemae@
@ability of a food to fill you up@|@haramochi@
@ability to fit into any situation@|@fuhendatousei@
@ability to wake up@|@neoki@
@Abilympics@|@abirinpikku@
@abject@|@hikutsu@
@abjuration@|@sensei@
@ablation@|@setsujo@
@ablation shield (rocket)@|@yuujo@
@ablative (gram)@|@dakkaku@
@ablative shield (rocket)@|@youhatsu@
@able@|@yuui@
@able man@|@dekibutsu, dekimono, hatarakide@
@able men left out of office@|@iken@
@able official@|@nouri@
@able person@|@hatarakite@
@able-bodied (an)@|@ganken@
@ABM@|@dandoudangeigekimisairu@
@abnegation@|@kin'yoku@
@abnormal@|@abuno-maru, hentaiteki, namihazure@
@abnormal (an)@|@byouteki@
@abnormal mentality@|@hentaishinri@
@abnormal psychology@|@hentaishinrigaku@
@abnormal sexuality@|@hentaiseiyoku@
@abnormal underarm odor@|@wakiga@
@abnormality@|@hentai, hentai, ijou, ijou, kikei@
@aboard a warship@|@kanjou@
@abode of demons@|@fukumaden@
@abolish@|@daha@
@abolition@|@haishi@
@abolition and amalgamation@|@haigou@
@abolition of licensed prostitution@|@koushouzenpai@
@abolitionist@|@zenpaironsha@
@A-bomb@|@genshibakudan@
@A-bombed@|@hibaku@
@abominable@|@imawashii, nikui@
@abominable snowman@|@yajin, yukiotoko@
@aboriginal@|@banjin, genjuumin@
@aboriginal (a-no)@|@dochaku@
@aborigine@|@aborijini-@
@aborigines@|@dojin, genmin, senjuuminzoku@
@aborigines village@|@bansha@
@abort@|@abo-to@
@aborticide@|@datai@
@abortion@|@chuuzetsu, datai, jinkouryuuzan, ninshinchuuzetsu, ryuuzan@
@abortionist@|@dataii@
@abortive (attempt@|@fuseikou@
@abortive birth@|@ryuuzan@
@abortive scheme@|@torou@
@about@|@abauto, kanshite, kei, koro, matsuwaru, mazu, ooyoso, oyoso, sokosoko, tsuite, yaku@
@about (suf@|@goro@
@about 10 p.m.@|@itsuya, otsuya@
@about an hour@|@hantoki@
@about medium@|@chuugurai, chuukurai@
@about noon@|@hirugoro@
@about the middle@|@nakagoro@
@about the middle (of an era)@|@chuuyou@
@about this time@|@imagoro, imajibun@
@about to start out@|@degake@
@about what time@|@itsujibun@
@about when@|@itsugoro@
@about-face@|@ippen, mawaremigi@
@above@|@chokujou, ue, zenki@
@above all@|@kotoni, nakandzuku, toriwake, wakete@
@above average@|@shunbatsu@
@above ground@|@chijou@
@above mentioned@|@joujutsu@
@above mentioned (a-no)@|@jouki@
@above the average@|@namihazure@
@above the ceiling@|@tenjouura@
@above the clouds@|@unjou@
@above-mentioned@|@zenjutsu, zenki@
@above-named (a-no)@|@zenkei@
@Abraham@|@aburahamu@
@abrasion@|@mametsu, mamou, sakkashou, surikizu@
@abreast@|@heikou, heiretsu@
@abridged translation@|@shouyaku@
@abridgment@|@shouryaku@
@abroad@|@kaigai, zaigai@
@abrupt@|@fui, niwaka@
@abrupt (an)@|@sotsuji, toutotsu@
@abrupt (awkward) question@|@tsukanukoto@
@abruptly@|@gazen, hyouzen, ikinari, totsuzen@
@abscess@|@nouyou@
@abscissa@|@ousen, ouzahyou, yokojiku@
@abscondence@|@chikuden, shisseki, shissou, shuppon@
@absconder@|@shupponsha@
@absconding with money@|@kaitai@
@abseilen (G)@|@apuzairen@
@absence@|@fusan, fuzai, kesseki, rusu@
@absence (from work)@|@kekkin@
@absence from home@|@tagyou@
@absence from school@|@kekka@
@absentee landlord@|@fuzaijinushi@
@absentee voting@|@fuzaitouhyou@
@absent-minded@|@bon'yari@
@absent-minded person@|@awatemono@
@absent-mindedly@|@bouzen@
@absentmindedness@|@houshin@
@absent-mindedness@|@soushin, uwanosora@
@absinthe@|@abusan@
@absolute (an)@|@zettai@
@absolute reality@|@shinnyo@
@absolute safety@|@juuzen@
@absolute secrecy@|@gokuhi@
@absolute value@|@zettaichi@
@absolute zero (temp.)@|@reido@
@absolutely@|@danjite, danzen, makotoni, tadatada@
@absolutely every little bit@|@katappashikara@
@absolutely not@|@tonda@
@absoluteness@|@zettai@
@absolutism@|@abusorixyu-tizumu@
@absolutism (phil.)@|@zettairon@
@absorbent cotton@|@dasshimen@
@absorption@|@douka, heigou, kyuuin, kyuushuu, sanmai, sennen, senshin, sesshu@
@absorption (in something)@|@kyuukyuu@
@abstain from voting@|@kiken@
@abstention@|@fukanshou, fusanka@
@abstinence@|@imi, kin'yoku, kinshu, setsuyoku@
@abstinence syndrome@|@kindanshoujou@
@abstract@|@chuushouteki, chuushutsu, mukei@
@abstract (an)@|@chuushou@
@abstract (of a paper)@|@abusutorakuto@
@abstract art@|@chuushoubijutsu@
@abstract number@|@fumeisuu@
@abstract or impracticable theory@|@kuuri, kuuron@
@abstraction@|@abusutorakushon, shashou@
@abstruseness@|@inbi@
@absurd@|@bakabakashii, bakageta, fugouri, kataharaitai, mechakucha, mechamecha, meppou, mottenohoka, mucha, okogamashii, tawainai, totetsumonai@
@absurd fear@|@kiyuu@
@absurdity@|@fudouri, fujouri, koutoumukei, okonosata, tonchinkan@
@absurdly@|@muyamini@
@abundance@|@gyousan, juuitsu@
@abundance (an)@|@houfu, yokei@
@abundant@|@fundan@
@abundant (an)@|@yutaka@
@abundant harvest@|@houjuku, housaku@
@abundantly@|@obitadashii@
@abuse@|@akkou, akuhei, akutareguchi, akuyou, batou, bouyou, goyou, hibou, kokiorosu, kokushi, ran'you, ran'you, reiba, waruguchi, warukuchi, zougon@
@abusive@|@kuchigitanai, kuchisaganai@
@abusive language@|@akutai, bougen, dokuzetsu, nikumareguchi@
@abusive remarks@|@bouhyou, mouhyou@
@abutment@|@kadai@
@abyss@|@fuchi, shin'en@
@acacia@|@akashia@
@academia@|@akademi-@
@academic@|@akademikku@
@academic background@|@gakureki@
@academic centre@|@gakufu@
@academic gossip@|@kijounokuuron@
@academic meeting@|@gakkai@
@academic or scientific world@|@gakkai@
@academician@|@akademishan@
@academicism@|@akademishizumu@
@academism@|@akademizumu@
@academy@|@akademi-, gakuen, gakuin, kanrin'in@
@Acala@|@fudoumyouou@
@Acalanatha Vidya-raja@|@fudoumyouou@
@accelerando@|@achererando@
@accelerant@|@sokushinzai@
@accelerated motion@|@kasokuundou@
@acceleration@|@kasoku, kasokudo, koushin, ruika, sokushin@
@accelerator@|@akuserere-ta-@
@accelerator (abbr)@|@akuseru@
@accent@|@akusento, gochou, kyouon, yokuyou@
@accent (of one's speech)@|@namari@
@accept@|@akuseputo@
@acceptance@|@akirame, akuseputansu, judaku, juri, kyouju, shinnin, shouchi, shouin, ukeire, uketsuke@
@acceptance (of truths)@|@shinju@
@accepting a challenge@|@ousen@
@accepting bribes@|@shuuwai@
@accepting orders@|@juchuu@
@access@|@akusesu@
@access time@|@akusesutaimu@
@access to courts@|@shusso@
@accessing@|@akusesshingu@
@accession@|@keishou, shoukei@
@accessoiriste@|@akusesowarisuto@
@accessories@|@buhin, komono@
@accessory@|@akusesari-, futai, fuzokubutsu, fuzokuhin, tsukatari, tsukimono@
@accessory case@|@komonoire@
@accessory offense@|@futaihan@
@accident@|@akushidento, henji, hensai, ihen, ijou, jihen, jiko, kashitsu, koshou, kyuuhen, saika, saiyaku, shougai, sounan, yakusai@
@accident insurance@|@shougaihoken@
@accidental@|@fuki, furyo, fusoku, guuhatsu, guuhatsuteki@
@accidental death@|@henshi@
@accidental fire@|@shikka@
@accidental gun discharge@|@bouhatsu@
@accidental resemblance@|@sorani, taninnosorani@
@accidentally@|@futo, hyotto, tamatama@
@accidents in line of duty@|@koumusaigai@
@acclamation@|@kanko, kassai@
@acclimate@|@junka@
@accommodation@|@bengi, shuuyounouryoku, shuuyouryoku, tekiou, wakai, yuudzuu, yuuzuu@
@accommodations@|@shuuyousetsubi@
@accommodator@|@akomode-ta-@
@accomodation@|@shuuyou@
@accompaniment@|@aikata, ainote, bansoubu, hayashi, tsukimono@
@accompaniment (musical)@|@bansou@
@accompany@|@douhan@
@accompanying@|@doudou, doukou, gubu, tomo@
@accomplice@|@ai, aibou, dourui, guru, juuhan, katansha, kyoubousha, kyouhansha@
@accomplices@|@ichirui@
@accomplish@|@mattou@
@accomplished@|@bakuga@
@accomplished lady@|@keishuu@
@accomplished villain@|@kyouyuu@
@accomplishment@|@kansui, kantetsu, suikou@
@accomplishments@|@geinou, gigei, gigei@
@accord@|@ako-do, kyoushin@
@according to@|@yoreba, yoruto@
@according to circumstances@|@rinkiouhen@
@according to ones abilities (an)@|@oubun@
