@Q'anjob'al@|@English@
@-tane@|@affix that is added to a root or transitive base to indicate that the action is done several times on the same recipient (ten means to push or to move - max stenob'tanej means pushed it or moved it several times)@
@-taq@|@suffix that indicates that (in part) something has the quality of the adjective that it is joined to (chi' means 'sweet' while chitaq means 'half sweet' and kawtaq means 'a little hard' or 'kind of hard' or 'a bit hard' or even 'a little stiff')@
@-teq@|@directional meaning from there toward here, when this directional suffix is used it is understood that the speaker is in the same place as the person who is doing the action (in other words they are together)@
@-toq@|@directional meaning from here toward there, this directional suffix indicates that the speaker is found opposite the person doing the action@
@-tze@|@suffix that forms the causitive transitive base when added to an intransitive root (q'ayi means accustom  - max q'aytej means got accustomed to it)@
@-u'@|@category suffix indicating a radical transitive verb for those radical transitive verbs that have an 'u' in their root@
@-w@|@suffix indicating the antipassive of incorporation where the patient is incorporated in the verb that is made antipassive it doesn't include a relational noun and the verb agrees with the agent and implies a general or habitual action (A naq winaq xmuqwi kamnaq tx'i' - He is the man who burried dead dogs)@
@-waj@|@antipassive of focus suffix that is rarely used in Q'anjob'al and is restricted to certain radical derived verbs that indicate an action that takes place just once and is not continuous@
@-wan@|@numeric classifier for people@
@-wom@|@suffix that changes a word into the person who does that type of action (mulnajil means work - mulnajwom means worker)@
@0@|@the absence of an article such as jun or jan or juntzan means that a noun is definate or known (no tx'i' 'the dog' or te te' 'the tree')@
@a'@|@her, him, the water, to give, when the classifier for water (ha) is used in place of a noun it is shortened to a' (Max toj naq unin yul a' - The boy fell in the water)@
@a'ej@|@water@
@a'walil@|@night@
@a heb'@|@them, they@
@a heb' jixhmam tu@|@our grandparents@
@a heb' komam tu@|@our parents@
@a ix@|@she@
@a naq@|@he@
@A ton cham komam Dyos@|@It is our father God@
@a wal no miman chej@|@the big horse@
@ab'@|@hammock@
@ab'ak@|@a day of the ritual Mayan calendar (On Ab'ak they ask for food)@
@ab'aq@|@soot@
@ab'e@|@to hear, to feel@
@ab'ejal@|@a net made of agave fibers that is used when harvesting or preparing corn for storage, rustic bag-shaped net made of vegetable fibers and used to transport fruits and other loads@
@ab'en@|@a request or petition that a person makes to another person to perform a certain task or to take care of someone or something, commission (to do something)@
@ab'i@|@to feel, to hear, to listen@
@ab'il@|@year (The new year is just around the corner), years of someones age (In just three more years Alberto will be a teenager)@
@ab'ix@|@story, notice@
@ab'le'@|@to taste, to try out, to try out or sample something@
@ab'lej@|@to taste, to try out, to try out or sample something@
@ab'lej to@|@try it, sample it@
@ab'om yet@|@nosy (Maria is very nosy)@
@ab'wali@|@to listen@
@ab'xalwom@|@listener, the one that listens to what is said (A listener went to the meeting)@
@ach@|@are you?, you (singular), you are (Hach hachti max hach b'et b'ay konob'? Are you the one who went to the village?)@
@ach'ej@|@teenager, youth, boy in his teens@
@achimb'al@|@bathtub@
@achin@|@to bathe, to swim@
@achinne'@|@bathe@
@achinnej@|@bathe@
@ahek'toq@|@to pass an object to the other extreme (Pass these potatoes to the other side the table)@
@ahin@|@I@
@ahon@|@we@
@aj@|@directional meaning up, from (place of origin - aj Yul K'ol - from Yul K'ol), this word indicates the place of birth or where one lives or the place one is from (Aj konob' - I am from the village), rocket, common reed or yellow cane, cane@
@aj'an@|@healer, healing@
@aj'et@|@owner, a child that is capable of joining in something (The little girl is capable of joining in on the conversation), an expert in wrongdoing @
@aja'@|@fly@
@ajan@|@corn, doctor, get up on (Mount your horses), go up, healer, maize, roasting ear@
@ajan b'utx@|@nixtamal of corn that is beginning to mature@
@ajan b'utx pat@|@corn tortilla made from nixtamal that was made with immature corn@
@ajan ulul@|@atole made from immature corn@
@ajaw@|@God@
@ajawte'@|@white sapote fruit@
@ajb'ab'el@|@first day of the fiesta or party@
@ajb'al@|@medicine man, sorcerer, witch@
@ajb'it@|@singer@
@aji@|@to go up (He climbed the tree to pick an apple) @
@ajk'ul@|@enemy, jealous@
@ajk'ultaq@|@villager@
@ajkutz'in@|@the owner of the daughter@
@ajkutz'inej@|@the owner of the daughter@
@ajmul@|@sinner@
@ajna@|@the owner of the house@
@ajoloq@|@came from below@
@ajq'anej@|@person who likes to talk, sociable person@
@ajson@|@person who plays the marimba@
@ajte'@|@common reed or yellow cane@
@ajtoq@|@to lift something up, to take something up (We took the bedding up to the loft)@
@ajtx'otx'@|@owner of the land@
@ajtxaj@|@Mayan priest@
@ajtxum@|@divined, diviner (fortune teller), guessed, psychologist@
@ajtz'ib'@|@secretary@
@ajtzok' ak'atx@|@turkey@
@ak@|@turtle@
@ak'@|@new@
@ak'al@|@flat land, countryside, field@
@ak'al tx'otx'@|@grassland@
@ak'al witz@|@rolling hill, smooth hill@
@ak'ala'@|@the same, no change (Our neighbor is still very sick there has been no change)@
@ak'alwom@|@woman in labor@
@ak'atx@|@turkey@
@ak'is unin@|@newborn baby@
@ak'ix@|@young woman in her teens@
@ak'ixh unin@|@newborn baby@
@ak'um@|@bush, land that is elevated buy generally not as high as a mountain, plants, woods@
@ak'un@|@grass, plants@
@ak yatz'amil@|@add salt@
@akajtoq@|@straight ahead upwards@
@akan@|@face toward a specific place (The woman is facing the west)@
@akan ajteq@|@straight ahead from below upward@
@akan oktoq@|@to leave something in something else (Leave the pine needles in the wet adobe)@
@akantoq@|@to leave something in something else (Leave the pine needles in the wet adobe), to leave something in something else(Leave the pine needles in the wet adobe)@
@akb'a'@|@to face@
@akb'aj@|@to face@
@akte'@|@tun (a cylindrical percussion instrument that was used as an instrument of war and in magic and religious ceremonies or to transmit messages in the jungle)@
@aktoq@|@put in, put inside, introduce (put in)@
@akuxha@|@needle@
@al@|@heavy, to say, too@
@ala'@|@talk away (Hala' - tzet yetal chi hoche chi witeq txomb'al - 'Tell me - what do you want me to bring from the store'), communicate with words@
@alan@|@underneath, below, under@
@alaw@|@lowland paca, spotted paca, a large rodent with a short hairless tail, called a gibnut in Belize@
@alawen@|@mint, peppermint@
@alej uninalej@|@children@
@alep te'@|@seedling@
@alib'@|@daughter in law@
@alib'ej@|@daughter in law, woman's mother or father in law@
@alij@|@born, to be born@
@alip te'@|@seedling@
@alkal@|@mayor, prayer leader@
@alkal ora@|@important days of the Q'anjob'al calendar@
@alkal txaj@|@Maya priest@
@alkanoq@|@leave said (deja dicho), tell (Let me know what you want)@
@alom@|@domestic animals@
@altej@|@to offer@
@alub'ej@|@object used to stand on in order to reach something (such as a step-stool or chair etc)@
@alusel@|@person charged with responsibility for the Maya ceremony@
@aluxh@|@Alonzo@
@aman aytoq@|@under water, flooded@
@amank'uhan@|@in a hurry, quickly@
@amaq'@|@yard, courtyard@
@amb'al@|@medicine@
@amunk'wan hach@|@you are fast@
@amutx@|@deposit of water@
@amwal@|@perhaps, by chance@
@amwali@|@perhaps, by chance@
@an@|@hard liquor, medicine, noun classifier for plants and clothing and liquor (An spichil naq unin  'The boy's clothes' literally 'The clothes his boy'), remedy, swallow@
@an ak'un@|@the grass@
@an itaj@|@the herb@
@an itaj tu@|@those herbs@
@anab'@|@sister (a man's sister)@
@anab'ej@|@sister (a man's sister)@
@anab'ej uxhtaqej@|@brothers@
@anani'@|@right now, today@
@anb'al@|@medicine, remedy@
@anej@|@cane liquor, hard liquor, leaves used when bathing in a sauna or sweat bath, run, the act of running, swallow@
@anema@|@people@
@anima@|@human being, man, people, person@
@anina@|@person, people @
@Anixh@|@Anna@
@anlewom@|@healer@
@anli@|@to cure, to heal@
@anlom@|@healer@
@anloq@|@to cure@
@ante'@|@cure@
@antej@|@cure, is going to cure@
@antelwan@|@to cure, cure@
@antelwom@|@healer@
@antewan@|@to cure, cure@
@antewon@|@healer@
@antil@|@Andrew@
@antil ch'ab'@|@canary, bird not indigenous to the area@
@Anton@|@Anthony@
@Antun@|@Anthony@
@apak'ej@|@name of diverse fiberous reedy plants that grow along the banks of rivers and lakes (their leaves are used in the fabrication of hats and other objects)@
@apni@|@to arrive@
@apnoq@|@will arrive, will get there@
@aq'@|@give, place, put, tongue@
@aq'a'@|@deliver, give (Mayal waq' yan no hinchej - I gave hay to my beast)@
@aq'b'al@|@night@
@aq'b'alil@|@night@
@aq'ej@|@tongue@
@aq'in@|@cleaning of a cornfield, table for grinding nixtamal (corn), trough@
@aq'in awal@|@clean the cornfield@
@aq'lay@|@give (with the passive suffix lay)@
@aq'le'@|@to attempt, to try to do@
@aq'lej@|@attempted, the act of trying something, to attempt, to try to do@
@aq'lejto@|@to attempt to do something, to try@
@aq'om owal@|@warrier, soldier@
@aq'un@|@grass@
@aq'walil@|@night@
@aqak'@|@palm-tree@
@aqan@|@foot, leg, wasp's hive (nest)@
@aqan xhalu@|@clay pitcher that can be used for heating liquids@
@aqanej@|@foot@
@arena@|@sand@
@aros@|@rice@
@asan@|@alone (Asan ch'an naq Xhunik max toj mulnajil - Only John went to work), only, particle that can mean 'but' in a sentence@
@asan tol@|@particle that can mean 'but' or 'but it' in a sentence it can be understood that the main phrase of the sentence would have taken place but for the condition mentioned by the secondary phrase@
@asaron@|@hoe@
@asat@|@your eye@
@asi'@|@go@
@asib'el@|@go for now (Go for now we will talk later)@
@askal@|@sugar@
@asukal@|@sugar@
@asum@|@cloud@
@asun@|@cloud@
@at@|@vagina@
@at'is@|@sneeze, to sneeze@
@at'ixh@|@sneeze@
@atak'ala'@|@according to what you say (He will go to the party if you say so)@
@ataq@|@in front of@
@atoni@|@yes then, really, in earnest, it is, this is@
@atoq@|@to send, to put in@
@atut@|@house@
@atz'am@|@salt@
@atz'amnej@|@to put in salt, to put on salt@
@aw@|@scream, shout, to sow seed@
@awa'@|@to seed@
@awal@|@cornfield@
@awal ak'un@|@grass@
@awal jun@|@voice that indicates happiness or anger@
@awas@|@prohibited, sacred, sin (It is a sin to work during the holy week)@
@awb'al@|@club, cudgel, place to plant seeds, pole used for seeding@
@awb'il@|@what is planted or sown (The cornfield is seeded)@
@awennej@|@re-seed@
@awjub'@|@throat@
@awnej@|@the act of reseeding the cornfield@
@awnub'@|@sowing@
@awteb'al@|@call (phone or at the door)@
@awteb'il ok wajanoq@|@called to a meeting@
@awtejteq@|@to call (They called me in to supper)@
@awtejtoq@|@to call from here to there@
@ax pax@|@and (Ax pax naq huxhtaq? Literally And the Brother?  but means And where is your brother?)@
@axa@|@particle that can mean and in a phrase@
@axa pax@|@instead@
@axa tinani@|@today, right now@
@axhn@|@to bathe@
@Axhul@|@Angelina@
@axka@|@above, like that, that way, so, thus, intensifier@
@axka tu@|@particle that is used to introduce a clause that explains the purpose for which the principal action is carried out, like this, in this way@
@axka tu'@|@particle that is used to introduce a clause that explains the purpose for which the principal action is carried out@
@axub'@|@film or layer of water, film or layer of water (or perhaps the breadnut tree)@
@axux@|@garlic@
@ay@|@directional meaning down, there are, there exists some, there is, to be, to have, to exist@
@ay smay@|@dangerous@
@ayach@|@you (singular)@
@ayan@|@go below, go underneath@
@ayex@|@you (plural)@
@ayik'oq@|@to be there, is@
@ayin@|@I@
@ayinti'@|@I (first person singular)@
@ayk'al@|@there is always (There is always milk in the refrigerator)@
@ayk'ayi@|@to fall (The old barn fell down), to get skinny due to illness@
@ayman@|@quickly (ayman chex lowi Eat fast), rapidly@
@aymi@|@there is still some@
@ayokoq@|@to be inside, it is on fire, to participate@
@ayokteq@|@to be inside (from there to here)@
@ayoktoq@|@to be inside (from here to there)@
@ayoloq@|@he or she or it came down (Rain fell on the children)@
@ayon@|@us, we@
@ayoneq@|@us (including the one spoken to), we (including the one spoken to)@
@ayonon@|@we (exclusive of one spoken to), us (not including the one spoken to)@
@ayteq@|@lower, lower it@
@ayto@|@there still is (There is still food left on the table)@
@aytoq@|@add condiments to food (He put salt on the potatoes), to lower an object down@
@b'aaaaa@|@bleat of a sheep@
@b'ab'el@|@first (Who is first in line?)l@
@b'ab'el ix huhej@|@oldest sister (literally first sister)@
@b'ab'el unin@|@first born (Jesus is the firstborn of all creation according to Colossians 1 verse 15)@
@b'ab'elal@|@first (do this before you do that)@
@b'ab'jan@|@go first (to a determined destination), go to a determined destination first@
@b'ab'ji@|@to go first, to go ahead@
@b'ab'joq@|@will go ahead, will go first@
@b'abel winaq nuhej@|@oldest brother (literally first brother)@
@b'aja'@|@to chastise, to quarrel with a person or to  express anger or disapproval of someones actions or behavior by your tone or words or gestures@
@b'ajal@|@corncob@
@b'ajb'oni@|@to insult@
@b'ajeloq@|@to chastise, to quarrel with a person or to  express anger or disapproval of someones actions or behavior by your tone or words or gestures@
@b'ajix@|@thin (beings)@
@b'ajwajwom@|@the person who severely disciplines or mistreats others, person who causes severe physical or moral damage (usually by blows or insults) to a person or animal @
@b'ajwal@|@mistreatment, insults, causing physical or moral damage to someone@
@b'ak'an@|@rolled up, curled up@
@b'ak'an ayok@|@smoke or a cloud that extends over an area and covers a specific place (like clouds or smoke blanketing the ground or a layer of smoke inside the house)@
@b'ak'layoq@|@will be rolled up or coiled (This is the rope that will be coiled on the pier)@
@b'ak'lej sb'a@|@for two people or animals to curl up together@
@b'ak'lejb'ahil@|@to curl up, to roll up, to coi@
@b'ak sb'a@|@to soak, to intentionally wallow (The children were wallowing in the mud)@
@b'aka'@|@to spread (he spread peanutbutter on the bread)@
@b'akan@|@saturated with mud@
@b'akan ha'@|@wet, sweat soaked@
@b'akan okoq@|@stained by something greasy, smeared with something greasy@
@b'aklayi@|@to smear, to spread (He spread the mayonese on the bread)@
@b'akmam@|@willow@
@b'akob'tanej@|@to constantly spread or smear something on something else@
@b'akotane'@|@to constantly spread or smear something on something else@
@b'akxi@|@for an object to move whether because it was poorly situated or because is was not well made (the table wobbles because the legs aren't attached firmly)@
@b'akxilti'@|@beard, bearded@
@b'al@|@fat, magic, spell, thick, witchcraft@
@b'al'utb'il@|@poorly made or done (The student wrote the lesson poorly)@
@b'ala'@|@to make pieces of masa or something similar (The woman separated the masa into pieces in order to make tortillas)@
@b'alab'a@|@wallow@
@b'alam@|@tiger (likely a cougar)@
@b'alan@|@roll, scroll, coil@
@b'alb'a@|@wallow@
@b'alej@|@diaper@
@b'alilal@|@his or her witchcraft (The boy is ill because of Maria's witchcraft)@
@b'aloneb@|@nine@
@b'aloneb'@|@nine@
@b'aloneb'taq@|@in groups of nine (by nines)@
@b'alonlajuneb'@|@nineteen@
@b'aluneb'@|@nine@
@b'an@|@long poles that are on top of something and hang over the edge@
@b'aq@|@bone, needle, seed (for hanging fruit)@
@b'aq'@|@small hard seeds of fleshy fruits and vegetables (such as grapes apples melons or tomatoes)@
@b'aq'ech@|@fat, grease@
@b'aq'in@|@asks a question in reference to a distant time whether in the past or future (a time determined by days or months or years etc), when (B'aq'in chach apni? 'when will you arrive?')@
@b'aq'in chon jayi@|@when will we be back, when will we be back?, When will we return?@
@b'aq'satej@|@eye@
@b'aqal@|@cob, corncob@
@b'as@|@stingy, miserly, mean@
@b'asil@|@very stingy@
@b'asne'@|@stingly, miserly@
@b'asnej@|@stingly, miserly@
@b'atx@|@something that hangs over or projects beyond something@
@b'atxteq@|@to bring from there to here (B'atxteq te' chemte' kayti Bring the plank here)@
@b'aw@|@type of planting in a cornfield@
@b'ax@|@man's brother in law@
@b'axej@|@man's brother in law@
@b'ay@|@a preposition that indicates to whom the action is directed or for whom the action was carried out (b'ay txutx 'to his or her mother' or 'for his or her mother'), at, for, hanging, relational noun that indicates who benefited from the action, to, where@
@b'ay kok'exan@|@to the left@
@b'ay kowatx'@|@to the right, on the right@
@b'ay tu@|@there@
@b'aytal@|@where@
@B'aytal kajan ach?@|@Where do you live?@
@b'aytal maxach b'et@|@Where did you go?@
@b'aytet@|@interrogative used with things and animals, which? (B'aytet chochej - Which one do you want?)@
@b'aytu'@|@there@
@b'e@|@road, street@
@b'el@|@items that are in a cylindrical shape and in a line, carry@
@b'el te' si'@|@carry the wood@
@b'eq@|@loose (pertains to animals)@
@b'es@|@separated or put away empty@
@b'et@|@cylindrical objects that are of a medium width and have a smooth texture (for instance animals with short smooth hair or poles that have no bark)@
@b'ey@|@to go away (reflexive), to leave (reflexive), to walk@
@b'eyi@|@walk@
@b'eyom@|@rich person@
@b'eytoqb'al a'ej@|@river@
@b'i@|@name (hej)@
@b'ih@|@name@
@b'ihej@|@name@
@b'ija'@|@split@
@b'ijan@|@piece@
@b'il@|@very small and round@
@b'iq@|@limp, soft@
@b'is@|@count@
@b'it@|@sing, song@
@b'itanyeji@|@a child or object that is very small@
@b'itni@|@sing@
@b'itz'ab'@|@wall@
@b'olob' tx'ak@|@smallpox, pock mark@
@b'omb'al@|@brush@
@b'omb'alil@|@brush@
@b'ulan@|@heaped, piled up@
@b'uq@|@mushroom@
@b'uq'an@|@mouthful@
@b'utan@|@numeric classifier for a pinch of something like a pinch of salt@
@b'utx@|@cooked corn, nixtamal@
@bandar@|@send@
@bente@|@twenty@
@capey@|@coffee@
@ch'akan@|@wet@
@ch'el@|@parakeet@
@ch'en@|@a classifier used with everything of metal or rock (ch'en ch'en the rock ch'en xij the metal pan), metal, sand, stone, steel@
@ch'en nawxu@|@the knife (made of metal)@
@ch'en poq@|@sand@
@ch'enej@|@rock, stone@
@ch'ib'@|@a type of palm-tree@
@ch'im@|@straw@
@ch'imna@|@house with a straw roof@
@ch'ok@|@great-tailed grackle (a bird with black feathers that eats grains), male blackbird (symbolic of eternal life?)@
@ch'okil@|@great-tailed grackle (a bird with black feathers that eats grains), male blackbird (symbolic of eternal life?)@
@ch'uchej@|@flower of the cornfield@
@ch'uj@|@impulsive, capricious, changeable@
@ch'ulte'@|@measure of wood that has been stacked tightly@
@ch-@|@incomplete action marker (Chach lowi you eat)@
@cha@|@voice that designates the masculine gender among people (Cha wuxhtaq hoqmi hach toq konob'? - Will you go to town brother?), receive@
@chach@|@you (chi is the marker for an action taking place now and ach is the second person singular from Set B)@
@chach kolwaji@|@you help (second person singular)@
@chach lowi@|@you eat (2nd person singular)@
@chach stena'@|@she pushes you (ch- is the incomplete action marker -ach is the second person singular marker s- is the third person singular marker -ten- means to push -a' is a category suffix)@
@chach wila@|@I see you@
@chaj@|@to seed, to sow seed@
@chakan@|@deaf@
@cham@|@classifier that indicates respect and used in reference to an older male or a person's superiors (in reference to a specific person cham means Mr - for instance Cham Lotaxh 'Mr Rodas' - but when the last name is not specified as in cham winaq it carries more the meaning of the man in a superior position and in English would correspond to Mister or sir - When using a superior's last name we would say 'Mr Brown' but where no last name is used we would just say 'he' as in 'He will leave for work) without mentioning his station however in Q'anjob'al a man in a superior position is always identified with cham - Hoq toq cham winaq mulnajil 'The sir will leave for work'), classifier used in reference to natural elements that are considered to correspond to the father or a person's superior (cham komam k'u 'our father sun' - cham waykan 'star' - cham motz 'constellation'), older adult male@
@cham ilya'@|@the sickness, the illness@
@cham kan@|@the charley horse, the cramp@
@cham komam k'u@|@our father sun@
@Cham Komandihos@|@Our God@
@cham Lotaxh@|@Sr. Rodas, Mr. Rodas@
@cham winaq@|@the master (cham 'classifier' - winaq 'man')@
@chan@|@petticoat, slip@
@chanej@|@dress, skirt@
@chaw@|@burn@
@chej@|@deer, horse, mule@
@chem@|@chair@
@cheman okoq@|@leaning against@
@chemanoq@|@spread out on something or someone@
@chemb'al@|@loom@
@chemb'ejal q'ap@|@material made on a loom@
@chemb'il@|@made on a loom@
@chemej@|@bench (for sitting on), chair, to weave@
@chemej ayoq@|@press down, press to the ground or floor (such as stepping on something), crush, mash@
@chemejtoq@|@to crush or lay on (The dog mashed the flowers when he laid on them)@
@chememi@|@pressed down, crushed, mashed down@
@chemetoq@|@to smash or lay on something (The dog crushed the flowers when he laid on them)@
@chemkiltaq@|@pressed or mashed some parts (The people mashed the flowers when the walked through)@
@chemlab'i@|@to press, for various persons to weave with a loom@
@chemlan@|@the act of weaving@
@chemloq@|@to weave sometime in the future (I will weave a new rug when I get time)@
@chemob'tanej@|@to mash down, to constantly be walking or laying on something so a to mash it down@
@chemte'@|@board, plank, table (wooden)@
@chemtene'@|@to use an object as a (plank or table or shelf ? not sure which)@
@chemwajom@|@weaver, person who weaves on a loom@
@chemwal@|@loom@
@chemwi@|@weaving (with a loom)@
@cheqomtoq@|@he who sends, he who commands or orders@
@chew@|@cold (water or food), frost, frozen, ice, snow@
@chex kolwaji@|@you all help@
@chex lowi@|@you all eat@
@chi@|@incomplete action marker for third persons only (chi wayi - he or she sleeps), quotative verb, say@
@chi'@|@agave (or ropes made with agave fiber), bite, candy, fiber from the agave or hemp plant, hemp plant, sweet@
@Chi' wa' kawil a k'ul@|@Greetings (carries the meaning 'May your life be good' - wa' meaning 'good' kawil meaning 'life and ku'l meaning 'stomach')@
@chi'k'ulal@|@happiness@
@chi kolwaj heb'@|@they help@
@chi kolwaji@|@he or she helps@
@chi low heb'@|@they eat@
@chi lowi@|@he or she eats@
@chib'ej@|@meat, meat (whether meat to be eaten or meat of the body)@
@chik'@|@blood@
@chik'il@|@blood@
@chik'ilej@|@blood@
@chikay@|@grandmother, grandmother (father's mother)@
@chin@|@chi indicates an incomplete action where the object is the third person while ch is or commonly used with all other person markers (Chin wayi - I sleep - chi kanalwi - he dances), this is a combination of ch (the incomplete action marker) and in (the first person singular marker in the absolutive set)@
@chin kolwaji@|@I help@
@chin lowi@|@I eat@
@china@|@orange (fruit - te china 'the orange')@
@china'@|@term used for carrying a baby on your back (chin naq unin ti ka chon toji - Carry the baby boy and lets go)@
@chiqan@|@person or animal in a weakened state@
@chiwo@|@goat@
@chon kolwaj heq@|@we (including you and others) help@
@chon kolwaj hon@|@we (myself and others but not the one spoken to) help@
@chon kolwaji@|@you and I help@
@chon low heq@|@we all eat@
@chon lowi@|@we eat (you and I)@
@chop@|@buttocks, bottom@
@choq wal@|@if only, hopefully, I hope that@
@chot@|@positional meaning seated@
@chotan@|@seated@
@chotan ayoq@|@sit@
@chotb'al@|@place to sit something (Like a night stand where you can sit your lamp)@
@chown low hon@|@we eat (him or her and I but not you)@
@chukul@|@stirring stick, grinder@
@chul@|@urine, pee@
@chulan@|@classifier for things that are rolled, rolled up@
@chulul@|@sapodilla plum@
@chuman@|@midday@
@chwala'@|@I say@
@e@|@tooth@
@e'@|@tooth@
@e'ej@|@tooth@
@ech@|@to hope, to expect, to wait@
@ech'@|@bromeliad@
@echej@|@axe@
@eh@|@tooth@
@ehej@|@tooth@
@ej@|@water@
@ek'@|@directional meaning pass@
@ek'ujul@|@diarrea (literally to pass belly)@
@el@|@directional meaning out (outwards), go out, sharp@
@elan@|@take off (a command), get out (a command)@
@elanteq@|@to go out from a house, to leave a house (Elanteq yul jun na tu - Get out of that house), leave@
@elaw@|@funny, comical@
@elom a'ej@|@river@
@elq'om@|@robber, thief@
@enel@|@prediction, shade@
@enelej@|@shade, shadow (of a person or animal)@
@et'alib'alej@|@the brother of the spouse of the brother of a person (my sister in law's brother), the spouse of the brother of the spouse of a person (what we would still call a brother-in-law or sister-in-law)@
@etaj@|@grass@
@etb'i@|@companion@
@etb'ihej@|@companion, friend@
@etnihejalej@|@the brother of the spouse of the brother of a person (my sister in law's brother)@
@ewan@|@hidden, on the quiet, secretly, shade@
@ewantaq@|@hidden, occult@
@ewantaqil@|@hidden, to carry it hidden, occult, unseen@
@ewi@|@yesterday@
@Ewul@|@Eulalia@
@Exhtep@|@Esteban@
@h-@|@second person singular possessive, your, yours@
@ha@|@classifier for water (ha tz'eka' means 'the hot water' - ha uk'b'ala' means 'the well' - ha najab' means 'the lake') @
@ha'@|@her, him, is (to be)@
@ha-@|@2nd person singular of a noun that begins with a consonant, your, yours@
@ha k'wa'@|@the well@
@ha najab'@|@the lake@
@ha tz'eka'@|@the hot water@
@ha uk'b'ala'@|@the well@
@hab'a@|@to yourself, yourself (b'a plus a person from Set A indicates that the person who does the action is the one who suffers the effects of that action so - you did it to yourself)@
@hab'e@|@your road@
@hach@|@you (second person singular) when the subject of a stative@
@hachej@|@your horse (Mimam wal stel no hachej - literally Big tall animal your horse - Your horse is very tall)@
@hachti@|@are you that one?@
@hak'isaj@|@you swept, you sweep@
@hak'un@|@your grass@
@hakamixh@|@your shirt@
@hala'@|@you say (you singular)@
@halan@|@underneath you, beneath you, below you, under you@
@halaw@|@spotted paca@
@hamam@|@your father@
