@English@|@Ligurian@
@available@|@disponìbile@
@avalanche@|@valànga@
@avarice@|@avarìçia@
@avaricious@|@avâro, pignavèrde, avâo@
@Avegno (GE)@|@Avêgno@
@aviary@|@öxelêa@
@aviation@|@aviaçión@
@aviator@|@aviatô@
@avidity@|@aviditæ@
@awake@|@adéscio@
@away@|@a-a làrga@
@awkward@|@descòmodo, scòmodo@
@awl@|@ponsón@
@axe@|@picòsso, picòssa@
@baby@|@banbìn, figeu picìn, garsonìn@
@baby carriage@|@pasegìn@
@Baby Jesus@|@Gexù Banbìn@
@bachelor party@|@adîo a-o fantinægo@
@bachelorhood@|@fantinægo@
@back@|@inderê, aprêuvo, derê@
@back (animal)@|@lónbo@
@back (body part)@|@schénn-a@
@back of the neck@|@nùcca, copùsso@
@back tooth@|@mêua@
@backbone@|@fî da schénn-a (nm)@
@backhander@|@sberlendón@
@backwards@|@a-a revèrsa, a-o contrâio, inderê@
@bad@|@mâ (av.), catîvo@
@bad breath@|@tufâ (nf)@
@badger@|@tàscio@
@badly@|@malaménte, mâ (av.)@
@bad-mannered@|@maleducòu, mæducòu@
@bad-tempered@|@stondâio@
@bag@|@sàcco@
@Bagnara (GE)@|@Bagnæa@
@Bagnaria (Lombardy)@|@Bagnæra@
@bait (fishing lure)@|@brumézzo@
@baker@|@panetê, fornâ (nm), fainòtto@
@baking pan@|@tésto@
@baking pot@|@tiàn (nm)@
@baking tin@|@tésto@
@baking tray@|@tiàn (nm)@
@balance@|@equilìbrio@
@balcony@|@pigiölo, pogiölo@
@bald@|@ch'o l'à pèrso i cavélli@
@balding@|@ch'o pèrde i cavélli@
@Balestrino (SV)@|@Balestrìn@
@ball@|@bàlla@
@ball (football)@|@balón@
@ball (function for dancing)@|@festón@
@ball of wool@|@remescéllo@
@ball of yarn@|@rumescéllo@
@ballast@|@sòura@
@ballot box@|@ùrna@
@ballroom dances (North Italy)@|@bàllo lìscio@
@banana@|@banànn-a@
@bandit@|@baràbba (nm)@
@banisters@|@ringhêa@
@bank@|@bànco@
@banker@|@banchê@
@bankers@|@banchê@
@banknote@|@palànca, bigétto de bànca@
@bankruptcy@|@bancarótta@
@bannister@|@ringhêa@
@baptism@|@batêximo@
@bar@|@bàr (nm)@
@Barbara@|@Bàrboa@
@barbarian@|@bàrbaro@
@barbaric@|@bàrbaro@
@barbarism@|@barbarìsmo, barbaritæ@
@barbarity@|@barbarìsmo, barbaritæ@
@barbarous@|@bàrbaro@
@Barcelona@|@Barçelónn-a@
@barefoot@|@scâso, a pê nûi, descâso@
@barely@|@a fadîga, a îsa a îsa, a malapénn-a@
@bargain@|@sbaràsso@
@bark (tree)@|@scòrsa@
@barley@|@òrsio@
@barn@|@granâio@
@barn owl@|@òuco giànco, barbagiànni (nm)@
@Baroque@|@baròcco@
@barracuda (fish)@|@lùsou@
@barrel@|@bótte (nf), barî (nm)@
@barter@|@bâto, càngio@
@base@|@bâze@
@basil@|@baxaicö, baxeicö@
@basilica@|@baxìlica@
@basket@|@cavagnìn (nm), cavàgno@
@Basque@|@bàsco@
@bass@|@bàsso@
@bassoon@|@fagòtto@
@bastard@|@bastàrdo@
@bat@|@ràtto pernûgo, ràtto penûgo@
@bather@|@bagnànte@
@bathroom@|@bàgno@
@battery@|@baterîa@
@battle@|@batàggia@
@Bavari (GE)@|@Bâvai@
@bay@|@bâia@
@bay (reddish brown)@|@bàio (cavàllo)@
@bay mare@|@bàio (cavàllo)@
@be quiet!@|@tâxi!, stànni sìtto!@
@beach@|@mænn-a, làssa, spiâgia, ciàzza@
@beads@|@margaitìn (nmpl)@
@bean@|@faxeu, fâva, bazànn-a@
@bear@|@órso@
@beard@|@bàrba (nf)@
@bearded@|@barbûo@
@bearer@|@portòu@
@beast@|@béstia@
@beating@|@bòtta@
@beauty@|@beléssa@
@beaver@|@castöro@
@because@|@perché, scicómme@
@because of@|@a còuza de@
@bed@|@létto@
@bedcover@|@creuvilétto@
@bedroom@|@stànsia, dormitöio, stànsa@
@bedside table@|@ghirindón@
@bedspread@|@creuvilétto@
@bee@|@âva, àvia@
@beer@|@bîra@
@beet@|@giærâva, giæa@
@beet sugar@|@sùcou de giærâve@
@beetroot@|@giærâva, giæa@
@before@|@prìmma@
@Begato (GE)@|@Begæ@
@beginner@|@prinçipiànte@
@beginning@|@inìçio, prinçìpio@
@behaviour@|@condûta@
@behind@|@inderê, aprêuvo a, derê a, derê@
@Belgian@|@bélga@
@Belgium@|@Bélgio@
@bell ringing@|@bonbón@
@bellows@|@màntexo, sciuscétto@
@belly@|@pànsa@
@beloved@|@câo (ag.)@
@below@|@zu@
@belt@|@çénta@
@belt (man's)@|@corezìn (nm)@
@benefit@|@pró (nm)@
@bent@|@stòrto@
@Berber@|@bèrbero@
@Bernard@|@Benàrdo@
@beside@|@acànto a, acànto, arénte a, da arénte a@
@besides@|@a pàrte, in ciù@
@best@|@mêgio@
@bet@|@scomìssa@
@better@|@mêgio@
@between@|@fra, de tramêzo a, tramêzo a, tra@
@Bevera (IM)@|@Bévera@
@beverage@|@bevànda@
@beware!@|@stànni a l'éuggio!@
@bib@|@bavæn (nm)@
@bible@|@bìbia@
@bicycle@|@biciclétta, bîci (nf)@
@big@|@gròsso, grànde@
@big nose@|@nàpia (pop.), nazàsso@
@big quantity@|@slèrfa@
@bike@|@bîci (nf), biciclétta@
@bilberry@|@poelétta@
@bill@|@cónto@
@billhook@|@penàcco@
@billiards@|@biliàrdo@
@billion@|@miliàrdo@
@bin@|@rumentêa, panê (nm)@
@binge@|@scianpràdda, ribòtta@
@biography@|@biografîa@
@biology@|@biologîa@
@bird@|@öxéllo@
@birth@|@nàscita, nasciménto@
@Bisagno (Genoese river)@|@Bezàgno@
@bishop@|@vésco, véscovo@
@bit@|@pésso, pitinìn, pitìn, petìn (Savona)@
@bite@|@ponzigiâ (nf), morscelâ@
@bitt@|@bìtta@
@bitter@|@amâo@
@bittersweet@|@ægrodôçe, âgrodôçe@
@black@|@néigro@
@black pudding@|@berödo@
@black scorpionfish@|@scórpena@
@blackberries@|@béusai (mpl)@
@blackberry@|@béusou@
@blackbird@|@mèrlo@
@blackish@|@negràstro@
@blacksmith@|@ferâ (nm)@
@bladder@|@vescîga@
@bland@|@fàtto@
@bleach@|@lescîa, poligrìnn-a, lescìvia@
@blessing@|@benediçión@
@blind@|@òrbo@
@blind (outside window)@|@persiànn-a@
@blister@|@vescîga@
@blockade@|@blòcco@
@blockhead@|@sucón@
@blocking@|@blòcco@
@blonde@|@bióndo@
@blood@|@sàngoe (nm)@
@blood sausage@|@berödo@
@bloodsucker (fig.)@|@sangoétta@
@bloody@|@sangoinôzo@
@blow@|@pàtta, córpo@
@blow from a stone@|@prionâ (nf), sasciâ (nf)@
@blow of stick@|@bacâ (nf)@
@blow on the face@|@grignòtto@
@blow with a shoe@|@scarpâ (nf)@
@blowlamp@|@sciusción@
@blown up@|@ìnscio@
@blowtorch@|@sciusción@
@blow-up (n)@|@esploxón@
@blue@|@bleu@
@blue (colour)@|@turchìn@
@blueberry@|@poelétta@
@blunder@|@stranbòtto, sgoarón@
@blunt@|@mùtto@
@Boasi (GE)@|@Boâxi@
@boastful@|@fanfarón, falànpi, spanpanón@
@boasting@|@vànto@
@boat@|@bàrca, batéllo, gósso@
@boat (small)@|@barcàssa@
@boat hook@|@mezomainâ (nm)@
@boatman@|@barcaieu@
@Bobbio (Emilia)@|@Béubbi, Bòbio@
@Boccadasse (GE)@|@Bocadâze@
@body@|@còrpo@
@bodyguard@|@goardaspàlle (nm)@
@Bogliasco (GE)@|@Bogiàsco@
@boiled@|@bogîo@
@boiled chestnuts with shell@|@balétti (nmpl)@
@boiling@|@bogénte@
@Boissano (SV)@|@Boisàn@
@Bolìvia@|@Bolivia@
@Bolivian@|@boliviàn@
@Bollano (SP)@|@Bolàn@
@bollard@|@bìtta@
@Bolzaneto (GE)@|@Bösanæo, Bösanêo@
@bomb@|@bónba@
@bombing@|@bonbardaménto@
@bombshell@|@bónba@
@bonbon@|@bonbón@
@bone@|@òsso@
@bones@|@òsse (fpl)@
@bonfire@|@fogoâ (nm)@
@book@|@lìbbro@
@bookseller@|@librâ (nm)@
@bookshelf@|@libràia@
@booming voice@|@tìbba, voxón@
@boorish@|@vilàn@
@boot@|@béuilo, stivâ (nm)@
@bootblack@|@decreteur@
@boots@|@stivæ (nmpl)@
@Bordighera (IM)@|@Bordighêa@
@Borghetto Santo Spirito (SV)@|@Borghétto@
@Borgomaro (IM)@|@Borgomâ@
@Borgonuovo (GE)@|@Borgonêuvo@
@born@|@nasciûo@
@Borzonasca (GE)@|@Borzonàsca@
@Borzone (GE)@|@Borzón@
@Bosnia@|@Bòsnia@
@Bosnian@|@bosnìaco@
@boss@|@padrón, bacàn, càppo@
@botched@|@ciapùsso@
@both (f)@|@tùtte e dôe@
@both (m)@|@tùtti i doî@
@bottle@|@botìggia@
@bourgeois@|@borghéize@
@bourgeoisie@|@borghexîa@
@bow@|@àrco, èrco@
@bow (movement)@|@squacìn (nm)@
@bow (nautical)@|@prôa@
@bowel@|@intestìn@
@bower (arbour)@|@bersò (nm)@
@bowl@|@xàtta@
@bowls@|@bòcce (nfpl)@
@box@|@càscia, scàtoa@
@box (tree)@|@bùscio@
@boxwood@|@bùscio@
@boy@|@figeu, pivéllo@
@boyfriend@|@galànte (nm)@
@boys@|@figeu@
@braces@|@bertèlle (fpl)@
@bragging@|@vànto@
@braid@|@tréssa@
@brain@|@çervéllo@
@branch@|@ràmmo@
@bravery@|@valentîxe (nf)@
@bray@|@râgno@
@braying@|@râgno@
@Brazil@|@Brazî@
@Brazilian@|@braziliàn@
@bread@|@pàn@
@breadstick@|@grisìn@
@break@|@intervàllo@
@break (rest)@|@ripözo@
@breakfast@|@colaçión@
@breakwater@|@scugêa@
@bream (fish)@|@sâgou@
@breast@|@pétto, sén (mpl)@
@breastbone@|@òsso do pêto@
@breath@|@sciùscio, respîo, sciòu@
@breathing@|@respiaçión@
@breeder@|@alevatô@
@breeding@|@alevaménto, alevéuia@
@breeze@|@ventixeu, brîxa@
@Breton@|@brétone@
@bridge@|@pónte (nm)@
@bridle path@|@crêuza@
@briefly@|@a-e cùrte@
@bright (adj.)@|@brilànte@
@brightness@|@barlùmme@
@brilliant@|@brilànte@
@brine@|@sarmoîa@
@British@|@britànico@
@Brittany@|@Bretàgna@
@broad bean@|@fâva, bazànn-a@
@broad bean (dried up)@|@bacìllo@
@broccoli@|@bertoêlo@
@broken@|@rótto@
@broken in pieces@|@in menisétti, in menìssi@
@Bromia (GE)@|@Bréumia@
@bronze@|@brónzo@
@broom (plant)@|@zenèstra@
@brothel@|@ciavòtto (fig.), cazìn (nm), bordèllo@
@brother@|@fræ (nm)@
@brotherhood@|@fradelànsa, fraternitæ@
@brown@|@marón, möo, cô de castàgna@
@Brugnato (SP)@|@Brignæ@
@brush@|@penéllo@
@buck@|@frànco (nm)@
@bucket@|@bolàcco@
@bud@|@zermóggio@
@buffalo@|@bùfou@
@buffet@|@rinfrésco@
@buffoon@|@xànno@
@buffoonery@|@xanâta@
@build@|@tàggia@
@building@|@palàçio@
@building worker@|@masacàn@
@bulb@|@bùrbo@
@Bulgaria@|@Bulgâia@
@Bulgarian@|@bùlgaro@
@bull@|@töo@
@bully@|@magnæro (nm), malémmo (nm), squarsón (nm)@
@bumblebee@|@gravalón@
@bunch@|@scciànco, màsso, ràppo, sccianchétto@
@bunch of keys@|@màsso de ciâve@
@buoy@|@böa@
@bureau de change@|@bancòuto@
@burial@|@seportûa@
@burn@|@scotatûa, bruxéuia@
@burner@|@fornéllo@
@burning smell@|@ödô de bruxòu@
@burp@|@réuito@
@burrow@|@tànn-a@
@bus@|@òutobo@
@business@|@negòçio, afâre (nm), comèrçio@
@Busonengo (GE)@|@Buzonéngo@
@Bussana (IM)@|@Busànn-a@
@bustle@|@borbóggio@
@busy@|@afacendòu, òcupòu@
@but@|@ma@
@butcher@|@maxelâ (nm)@
@butter@|@bitîro@
@butterfly@|@parpagión (nm), parpelétta@
@buttery tea biscuits (Liguria)@|@canestrélli (nmpl)@
@buttock@|@næga, scciàppa@
@buttocks@|@næghe (fpl), scciàppe (fpl)@
@button@|@poméllo@
@buzzard@|@àgogia@
@by chance@|@pe câxo@
@by foot@|@a pê@
@by heart@|@a memöia@
@by himself/herself@|@da pe lê@
@by myself@|@da pe mi@
@by nightfall@|@in sciô fâ da séia@
@by oneself alone@|@pe cónto pròpio@
@by the (fpl)@|@da-e@
@by the (fsing)@|@da-a@
@by the (mpl)@|@da-i@
@by the (msing)@|@da-o@
@by the moment@|@intànto@
@by the wagonload@|@a caræ@
@by the way@|@a propòxito@
@by themselves@|@da pe liâtri@
@by throwing stones@|@a prionæ, a sasciæ@
@by yourself@|@da pe ti@
@byebye!@|@ciâo!@
@Byelorussia@|@Bielorùscia@
@Byelorussian@|@bielorùscio@
@cabbage@|@garbûxo@
@Cadibona (SV)@|@Cadebónn-a@
@Cadimare (SP)@|@Cademâ@
@Caesar@|@Césare@
@cage@|@gàggia@
@Cagliari (Sardinia)@|@Càgge@
@Cairo Montenotte (SV)@|@Càiri, Càiro@
@cake@|@tórta@
@cake pan@|@tiàn (nm)@
@Calasetta (Sardinia)@|@Câdezédda@
@calculation@|@cónto@
@calendar@|@lunâio, calendâio@
@calf@|@vitéllo, pórpa da gànba, porpàsso@
@Calizzano (SV)@|@Calisàn@
@call@|@ciamâta@
@called...@|@dîto...@
@calm@|@tranquìllo, sén (ag.)@
@Calvari (GE)@|@Càlvai@
@camel@|@caméllo@
@camera@|@càmera@
@Camminata (SP)@|@Caminâ (Spézza)@
@Camogli (GE)@|@Camóggi@
@camp bed@|@brànda (nf)@
@campaign@|@canpàgna, spediçión@
@Campegli (GE)@|@Canpêgi@
@camphor@|@cànfora@
@camphor tree@|@èrbo da cànfora@
@camping@|@canpùccio@
@Campochiesa (SV)@|@Canpogêxa@
@Campoligure (GE)@|@Cànpo@
@Camporosso (IM)@|@Canporósso@
@Canada@|@Cànada@
@Canadian@|@canadéize@
@Canale (GE)@|@Canâ@
@cancelled@|@anulòu@
@candle@|@candêia@
@Candlemas@|@Candiêua@
@candlewick@|@stopìn (nm)@
@candy@|@dôçùmmi (nmpl)@
@cane@|@cànna@
@canned food@|@arbanèlla@
@cap@|@scufiêta, capùsso@
@cap (garment)@|@berétto@
@cape@|@câo (nm)@
@caper@|@tàpano@
@Capo Mele (SV)@|@Câo de Méie@
@capon (castrated cockerel)@|@capón@
@Capraia (island)@|@Caprâia@
@caprice@|@scrìpixi (nmpl), caprìçio@
@capricious@|@capriçiôzo@
@Caprile (GE)@|@Cræn@
@captain@|@capitànio@
@captivated@|@asòrto@
@capture@|@catûa@
@car@|@outomòbile, màchina@
@Carasco (GE)@|@Caràsco@
@Carcare (SV)@|@Càrcae@
@cards (playing)@|@càrte (fpl)@
@care@|@cûa@
@carelessly@|@a-a bagàrda, a-a biscanbìggia, a-a biscöchìnn-a, a-a buzarónn-a, a-a carlónn-a@
@carelessness@|@pöca cûa@
@caress@|@fràsca@
@caretaker@|@goardiàn@
@Carignano (GE)@|@Caignàn@
@Carloforte (Sardinia)@|@Carlofòrte@
@carnival@|@carlevâ (nm), carliâ (nm)@
@carob@|@caróbba@
@Carpasio (IM)@|@Carpâxe@
@Carpe (SV)@|@Càrpe@
@Carpeneto (GE)@|@Carpinêio@
@carpenter@|@bancâ@
@carpenters@|@bancæ@
@carpet@|@tapêto@
@carriage@|@caròssa, vagón@
@carrier@|@portòu@
@Carro (SP)@|@Câro (Spézza)@
@Carrodano (SP)@|@Caròdan, Careu@
@Carsi (GE)@|@Càrsci@
@cart@|@câro@
@Cartagenova (GE)@|@Cartazêna@
@Casale (GE)@|@Cazâ@
@Casalino (GE)@|@Cazaìn@
@Casanova (SV)@|@Cazanêuva@
@case@|@stùccio@
@cash@|@a dinæ contànti, in contànti, contànti (nmpl)@
@cashier@|@cascê (nm)@
@Cassano Spinola (Piedmont)@|@Casciàn@
@casserole@|@casiòula, pignàtta, pugnàtta, tiàn (nm)@
@Castagnola (GE)@|@Castàgnoa@
@castanets@|@gnàchere (nfpl)@
@Castiglione (GE)@|@Castigión@
@cat@|@gàtto@
@Catalan@|@catalàn@
@Catalonia@|@Catalógna@
@catapult@|@fiónda (it.), caciafrùsto@
