@English@|@Abenaki Penobscot@
@ashes@|@skwedaipegui@
@ask@|@nadodemawômuk@
@ask for@|@nadodemokamuk@
@ask for (v)@|@nadodôzik, wikodôzik, wikomômuk@
@ass@|@spônioli ases@
@assist (v)@|@wijokadôzik, wijokagamimuk, wijokamômuk@
@attorney@|@noji-tbelodmowinno+ak@
@August@|@temezôwas@
@aunt: my cross-~@|@nokem+ak@
@aunt: my parallel-~@|@nokemis+ak, nokemisis+ak@
@autumn@|@tagugo, taguôgo@
@autumn arrives@|@taguôguasin@
@autumn comes@|@taguôgohla@
@autumn is coming@|@taguôgihlan@
@autumn is finished@|@taguôgo tagwagwiwi@
@autumn is: the way ~@|@alitaguôgoik@
@autumn: a year ago last ~@|@nialitaguôgo@
@autumn: all ~@|@mziwitaguôgo@
@autumn: at the end of ~@|@wanaskiwi taguôgo@
@autumn: early ~@|@wskitaguôgo@
@autumn: for many ~ s@|@kasitaguôgowaiwi@
@autumn: in early ~@|@wskitaguôgoiwi@
@autumn: in late ~@|@zibkiwi taguôgoiwi@
@autumn: in mid ~@|@nôwitaguôgoiwi@
@autumn: it's all ~@|@mziwigen taguôgo@
@autumn: it's almost ~@|@alwawigen taguôgo@
@autumn: it's an early ~@|@wskiwigen taguôgo@
@autumn: it's at the end of ~@|@wanaskiwigen taguôgo@
@autumn: it's in the beginning ~@|@môjaiwigen taguôgoiwi@
@autumn: it's late ~@|@zibkiwigen taguôgo@
@autumn: it's next ~@|@nakwaltak taguôgoik@
@autumn: it's the beginning of ~@|@môjaiwigen taguôgo@
@autumn: it's the end of ~@|@matanaskiwigen taguôgo@
@autumn: it's the following ~@|@nosokak taguôgoik@
@autumn: it's the middle of ~@|@nanôwigen taguôgo@
@autumn: last ~@|@taguôgua@
@autumn: late ~@|@zibkiwi taguôgo@
@autumn: mid ~@|@nôwitaguôgo@
@autumn: next ~@|@taguôgiga@
@autumn: some of the ~@|@naoji taguôgo@
@autumn: the end of ~@|@machiwi taguôgo@
@autumn: this ~@|@pamtaguôgoik@
@autumn: this very ~@|@taguôgoiwitta@
@autumn: when it's ~@|@taguôgoik@
@avensroot@|@ahadbak@
@axe@|@temahigan+al@
@baby@|@chijiz@
@back@|@wazwawi, wbeskwan, wkeskouan+al@
@backward@|@wazwawi@
@bacon@|@piksiia@
@bad@|@maji, maji-, majigek, majigit, majigo@
@bad weather: it's ~@|@majekisgad@
@bad year@|@majigaden@
@bad year: it's a ~@|@majigen gaden@
@bad years: these are ~@|@majigenol gadenal@
@bait@|@awôgan@
@baker@|@nodabônkad@
@balance@|@tebôbakhigan+al@
@ball@|@mamsag+il, pabaskhamôgan+ak@
@bank (shore)@|@senojiwi+al@
@banker@|@môni nojinademiwad@
@bank-swallow (bird)@|@pnegôkihlasis@
@bar@|@soghebaigamigw+ol@
@barber@|@noji-chigetowawwat+ik@
@barley@|@tlots+al@
@barn@|@kchikaozigamigw+ol@
@basket@|@abaznoda+l@
@basket-maker@|@noji-abaznodakad+ik@
@bass@|@môlazigan+ak@
@basswood@|@wigbimizi+ak@
@bat@|@madagenilhas+ak@
@be (v)@|@aimek@
@be saving (v)@|@manazaawimuk@
@beads@|@aiamih(ganal@
@beam-tree berries@|@adotomen-al+ak@
@bean@|@atebakw+al, tebaku+al@
@bear@|@awasos@
@beat (v)@|@pôktahômuk@
@beauty@|@wligowôgan@
@beaver@|@tmakwa+k@
@beaver meat@|@tmakwaiia+k@
@beaver pelt@|@tmakwaawa@
@beaver skin@|@tmakwaawa+k@
@because@|@ali, oji ala, oji ali, wzomi@
@bee@|@wawilômwa+k@
@beech@|@wajoimizi+ak@
@beechnut@|@wajoimen+al@
@beef@|@kaoziia@
@beer@|@labial@
@beer: small ~@|@labialsis@
@before ~@|@asma nôwidbakad@
@before tomorrow@|@asma sabak@
@beforehand@|@kigizi@
@begin (v)@|@môjahômuk, môjatôzik@
@begin: in the ~ning@|@waji mjassaik, waji môjassaik@
@beginning of autumn: at the ~@|@môjataguôgiwi@
@beginning of the year: it's ~@|@môjawigen gaden@
@behind@|@kwelbiwi@
@belly@|@mlagzi+al, wlagzi+al@
@belly ache@|@wessagagzawôgan@
@belt@|@kwutguabizon@
@bend (v)@|@pakôgnômuk, pakôgnôzik@
@Bernard@|@pelnal@
@besides@|@chebiwi@
@better@|@mawia@
@beyond@|@awasiwi@
@big@|@kchi@
@birch@|@maskwamozi@
@birch-bark@|@maskwa+l@
@bird@|@sips@
@bird of prey@|@siômo+ak@
@bird: female ~@|@sips skualha@
@bird: female ~s (pl.)@|@sips skualhaak@
@bird: little ~@|@sibsis+ak@
@bird: male ~@|@nôbalha+k, sips nôbalha@
@bird: male ~s (pl.)@|@sips nôbalhak@
@bird: small ~@|@sibsis+ak@
@bishop@|@sôgmôwi patlihôz+ak@
@bite (v)@|@sagadôzik, sagamômuk, sagamwamuk@
@bittern@|@pokhamenes+ak@
@black@|@mkazawi@
@black liquid@|@makazawbagak@
@black liquid: it's ~@|@mkazawbaga@
@black pudding@|@podinak@
@black spruce@|@mskak+ak@
@black: he is ~@|@mkazawigo@
@black: it's ~@|@mkazawigen, mkazawigo@
@black: she is ~@|@mkazawigo@
@black: the ~@|@makazawigek@
@blacksmith@|@nodalhagokad@
@bladder@|@wbesnoda@
@blessed one@|@wawasinno@
@blessed soul@|@wli mjejakw@
@blizzard@|@pmipsôn@
@blood@|@bagakaw, pagakan@
@bloodroot@|@papagakanilhôk@
@bloodsucker@|@pabaskw+ok@
@blossom@|@wlemskw+ol@
@blow: it ~s@|@kzelômsen@
@blue@|@wlôwi@
@blue dye@|@wlôw'atsigan@
@blue jay@|@tidesso+ak@
@blue paint@|@wlôwi sezowigan@
@blue sky@|@kakasakw@
@blue: he is ~@|@wlôwigo@
@blue: it's ~@|@wlôwigen@
@blue: she is ~@|@wlôwigo@
@blueberry@|@sata+l@
@blueberry-bush@|@satamozi+al@
@bluish@|@wlôwôbamegua@
@boa@|@msaskog+ak@
@boat@|@pados+al@
@bobcat@|@bezo, wigwedi@
@bobolink@|@nbesi-chogleskw+ok@
@body@|@mahaga+al@
@boil@|@pmowa@
@boiled egg@|@taliodagil wôwan+al@
@boiled meat@|@taliozigan@
@bone@|@wskan+k, wskaw@
@bonnet@|@phanemasolkwôn+al@
@boot@|@pots+al@
@bottle@|@potôiia+ak@
@bow@|@lôbaktaigan+al, tôbi@
@bowel@|@mlagzi+al@
@bowels@|@Wlagzial@
@box@|@paks@
@boy: little ~@|@w'skinnossis@
@bracelets@|@wpedinôbial@
@brain@|@wlidebôn@
@brain and marrow@|@wilidebôn ta win@
@branch@|@pskaôtkwen+ol@
@brandy@|@blandi@
@bread@|@pkuazigan@
@break (v)@|@pasktahôzik, poskwenômuk, wagiômuk, wagitôzik@
@break (with the feet) (v)@|@poskwkawômuk@
@break (with the hands) (v)@|@poskwenômuk@
@breakfast@|@wspôsipowôgan@
@breast@|@bobos, dodos@
@breasts@|@nonozak@
@breathing@|@nasawan@
@breeches: pair of ~@|@plejes+al@
@breech-loader@|@papkwesbalôg paskigan@
@breeze@|@alômsen@
@breeze: gentle ~@|@wlelômsen@
@breeze: it's a cool ~@|@tekawanisen@
@breeze: it's a nice ~@|@walilômsek@
@bridge@|@lessaguôgan+al@
@bridle@|@nobalobi@
@bring (v)@|@padôzik, pazwômuk@
@bring back@|@nimskôzik@
@brook@|@sibos+al@
@brook: a little ~@|@sibosis+al@
@broth@|@kzôbo@
@brother: my ~ (speaker female)@|@nidôbso+ak@
@brother: my ~ (speaker male)@|@nijia+ak@
@brother: my father's ~@|@n'nôjikw+ak@
@brother: my husband's ~ (speaker female)@|@nadôgw+ak@
@brother: my mother's ~@|@n'zasis+ak@
@brother: my older ~@|@nidokan+ak@
@brother: my wife's ~ (speaker male)@|@nadôgw+ak@
@brother: my younger ~@|@nichemis+ak@
@brother-in-law: my ~@|@nadôgw+ak@
@brow@|@wskadgwa@
@brown: it's ~@|@wdamôôbamegua@
@buffalo@|@pziko+ak@
@buffalo: bull ~@|@pziko aiôba+ak@
@buffalo: female ~@|@pziko aiôbaak+ak, pziko allha+ak@
@buffalo: male ~@|@pziko aiôba+ak@
@buffalo: three year old ~@|@wdosoallha peziko+ak@
@buffalo: two year old: ~@|@pziko kadnadokw+ak@
@buffalo: yearling ~@|@pzikomakwsessis@
@bug@|@maskejamôgwses+ak@
@bullet@|@mamsag+il@
@bullfrog@|@agebalam@
@Burlington@|@Paliten@
@burn (v)@|@chegasôzik@
@bury (v)@|@poskenômuk@
@bush@|@pami pizagak@
@bush: in the ~@|@pami pizagak@
@bushel@|@minot@
@bushel: half a ~@|@temiminot@
@but@|@kanwa@
@butter@|@wisôwipemi@
@butterfly@|@mamijôla+k@
@buttocks@|@wkeji@
@button@|@patnes+al@
@buy@|@manohigamuk@
@buy (v)@|@manohômuk, manohôzik@
@cabbage@|@kabij+al@
@cabin: in the ship's ~@|@alômsagok@
@cabin: ship's ~@|@alômsagw+ol@
@cake@|@abônis+ak@
@calf@|@kaozis+ak@
@calico@|@mômôlagen+ol@
@calm@|@awiben@
@calm (the water)@|@awiben@
@Canada@|@Kanada@
@canal@|@kanal+al@
@cane@|@ôbadahon+al@
@canoe: bark ~@|@wigwaol@
@captain@|@kaptin+ak@
@captain: ship's ~@|@kaptin+ak@
@car@|@kaas+al@
@card@|@telap+ak@
@caribou@|@magôlibo+ak@
@caribou hide@|@magôliboawa@
@caribou skin@|@magôliboawa@
@carman@|@nodôjiphowad+ik@
@carp@|@wôbhagas+ak@
@carpenter@|@nojikkad+ik@
@carry away (v)@|@môjalômuk@
@cart@|@wakôlikws@
@carter@|@nodôjiphowad+ik@
@cascade@|@panjahlôk+il@
@castle@|@kinjamesigamigw+ol@
@cat (domestic)@|@minowis+ak, pezois+ak@
@Catherin@|@katetin@
@cattle@|@nidazoak@
@cattle: herd of ~@|@nidazoak@
@cedar@|@môlôdagw+ok@
@cent@|@sans@
@cent: ten ~s@|@mdala sansak@
@centuple@|@nguedatgua kasta pkawiwi@
@chain@|@ônkawalagiadiganal@
@chamber: in the ship's ~@|@alômsagok@
@chamber: ship's ~@|@alômsagw+ol@
@change (coin)@|@sakwskigek@
@chaplet@|@aiamih(ganal@
@charity@|@kdemôgalgawôgan@
@Charlotte@|@sallot@
@Cheek@|@wanaowa@
@cheese@|@chiz@
@cherry@|@adbimen+al@
@cherry-tree@|@adbimenakuam+ak@
@chest@|@paks, wnozoganak@
@chestnut@|@pagônis+al@
@chickadee@|@kejegigilhasis+ak@
@chicken@|@ahamo+ak, ahamois+ak@
@chief: a ~@|@sôgmô+k@
@chief's wife@|@sôgmôskua@
@child: young ~@|@awonssis, awôssis@
@chin@|@mdôppikan+al, wdôpikan@
@chipmunk@|@anikwses+ak@
@church@|@aiamihawigamigw+ol@
@cider@|@saidal@
@city@|@odana+al@
@Clarissa@|@klalis@
@clean@|@pakihômuk, pakitôzik@
@clear (v)@|@pakihômuk, pakitôzik@
@clear sky: it's a ~@|@kakasokw@
@clerk@|@komi+ak@
@cloak@|@kchi-patôn+al@
@cloud@|@asokw, mnasokw@
@cloud approaching: a ~@|@zôkhasokwad@
@cloud covers@|@psanasokwad@
@cloud gets bigger: the ~@|@pemasokwad@
@cloud: an isolated ~@|@menasokw@
@cloud: white ~@|@wôbasokw@
@clouds: dark ~@|@mkazawiasokwad@
@clouds: there are thick ~@|@kpagasokwad@
@cloudy: it's a little ~@|@asokwadoso@
@coast@|@pamkaak@
@Coaticook@|@Koattegok@
@cock (male bird)@|@nôbalha+k@
@cock (of a gun)@|@alemos@
@cod@|@nokamagw+ok@
@cold (illness)@|@wesgoinôgan@
@cold (v)@|@n'kwaskwaji@
@cold weather: it's ~@|@tka, tkegisgad@
@cold: it's ~@|@kwaskwajimek, tka@
@cold: It's ~ here.@|@tkigen iodali@
@cold: we are ~.@|@n'kwaskwajibna@
@collar@|@nobkoan+ol@
@colonel@|@kolnal@
@colt@|@wski asesis@
@comb@|@naskuahon+ak@
@comb (v)@|@naskuahômuk@
@comb oneself (v)@|@naskuahozimuk@
@come@|@paiômuk, ponômuk@
@complain@|@madwôzimuk@
@conceal (v)@|@kôttômuk, kôttôzik@
@congratulate (v)@|@mômjimômuk@
@congratulate eachother (v)@|@mômjidimuk@
@consumption@|@mannachôgowôgan@
@content (v)@|@walilawatôzik@
@converse (v)@|@ôdokazimuk@
@cook@|@nobatebit@
@cool air@|@tkawansen@
@cool: it's ~@|@tkawansen@
@cork (v)@|@kabh(muk@
@corn soup@|@nsôbon@
@corn: Indian ~@|@skamon+al@
@cougar@|@bittôlo@
@cough@|@wesgoinôgan@
@count (v)@|@agimômuk@
@cousin: my female cross-~ (speaker female)@|@nadôgwsis+ak@
@cousin: my female cross-~ (speaker male)@|@nadôgweskwa+ak, nadôgwseskua+ak@
@cousin: my male cross-~@|@nadôgwes+ak@
@cow@|@kaoz+ak@
@cow-bunting (bird)@|@chogleskw+ok@
@cowhide@|@kaozawa+ak@
@cranberry@|@popokua+l@
@cranberry-bush tree@|@nibimenakuam+ak@
@crape@|@aazatak+il@
@crew@|@pgoisak@
@cricket@|@chôls+k@
@crow@|@mkazas+ak@
@crucifixion@|@sidakwtahodwôgan@
@crutch@|@ôbadahon+al@
@cry@|@kôgôkwawôgan@
@cry (v)@|@kôgôlwamuk@
@cucumber@|@askitameg+il@
@cup@|@kwatsis+ak@
@currant@|@pessimen+al@
@curtains@|@aguanagiadiganal@
@cut (v)@|@tamezômuk, tamezôzik@
@cut (with a knife)@|@wagsozowôgan@
@cut (with a knife) (v)@|@poskwezômuk, poskwezôzik@
@cut (with an axe)@|@wagtahozowôgan@
@cut (with an axe) (v)@|@poskwtahôzik@
@cut a deck of cards@|@nadonômuk@
@cut down a tree (v)@|@kawhakuamuk, kawhômuk@
@damage@|@wagiômuk, wagitôzik@
@damp weather: it's ~@|@wdagkisgad@
@dance: he ~s@|@pemega@
@dance: I ~@|@n'pemegô@
@dance: she ~s@|@pemega@
@dancer@|@pemegawinno+ak@
@dancing@|@pemegawogan@
@Daniel@|@tanial@
@daughter-in-law: my ~@|@n'sem@
@David@|@tabid@
@day@|@kisokw, kisokw+ol@
@day after tomorrow@|@kisokw kizi sabak@
@day before yesterday@|@kisokw asma wlôgwak@
@day break@|@sobhôban@
@day long: all ~@|@kwankisokok@
@day time: in the ~@|@kisgadiwi@
@day: in ~ time@|@kisgadiwi@
@day: in the ~@|@kisgadiwi@
@day: it's a rainy ~@|@soglônkisgad@
@day: next ~@|@achakuiwik@
@day: one ~@|@pazeguen kisokw@
@daylight@|@kirzôban@
@daylight: at ~@|@kizôbak@
@daytime@|@kisgadiwi@
@December@|@pebonkas@
@deck of cards@|@negneji chebezoak telap+ak@
@deck: on the ship's ~@|@wskidolagua@
@declare (v)@|@ôjemimuk@
@declare one's fault (v)@|@ôdokôlômuk@
@deer@|@nolka+k@
@defend (v)@|@ikôdozik, ikôlômuk@
@defend eachother (v)@|@ikôldimuk@
@defend one's self (v)@|@ikôlzimuk@
@dentist@|@noji-kadôbidaphowad+ik@
@dessert@|@kasilawahosowôgan@
@dew@|@nebiiskad, nebiskat@
@dew falls@|@nebiiskihla@
@diety@|@niwaskowôgan@
@difficult year: a ~@|@ôzahagigaden@
@difficult year: it's a ~@|@ôzahagigen gaden@
@difficult years: these are ~@|@ôzahagigenol gadenal@
@dime@|@mdalasis@
@dinner@|@paskuaipowôgan@
@directly@|@sasagiwi@
@disease@|@akuamalsowôgan@
@dishonest@|@adagi@
@displace (v)@|@awskônômuk, awskônôzik@
@disturb@|@wagawnômuk, wagawnôzik@
@ditch@|@psakaigan+il@
@doctor@|@noji-nbizonhowad+ik@
@dog@|@adia+ak, alemos+ak@
@dog: my ~@|@n'-d-amis, n-d-amis@
@dog: my ~s@|@n'-damisak@
@dollar@|@pazeko môni@
@Dorothy@|@toloti@
@double@|@I'kawiwi@
@drab@|@wibgui@
@draw@|@wikwnômuk, wikwnôzik@
@drawers@|@aalômkôzik plejes@
@dream (a dream)@|@leguasowôgan@
@drink (v)@|@kadosmimek@
@drink: he ~s@|@kadosmo@
@drink: I ~@|@n'kadosmi@
@drink: Let's ~.@|@Gadosmida.@
@drizzle@|@awalôn@
@drone@|@kchi wawilômwa+ok@
@drowsiness@|@nolmukwsowôgan@
@drum@|@pakholigan+ak@
@drummer@|@noji-pakholid+ik@
@dry (v)@|@pakwsasômuk, pakwsasôzik@
@dry oneself (v)@|@pakwsasozimuk@
@dry weather: it's ~@|@pakwsatakisgad@
@duck: black ~@|@kwiguigum+ok@
@duck: sea ~@|@sobagwilha+k@
@duck: wood ~@|@alônteguilha+k@
@durable (inan)@|@sôglizit@
@Durham@|@Kwanahômoik@
@during every year@|@negwedjigadenwaiwi@
@during the year@|@negwedgadeniwi@
@dust@|@towipegw@
@dye@|@atsigan+al@
@dye it: I ~@|@n'-d-atsemen@
@dye it: we ~@|@k'-d-atsemenana, n'd'atsemenana@
@dye red: I ~@|@n'moku'atsiga@
@dye: I ~@|@n'-d-atsiga@
@eagle@|@megeso+ak, mgeso+ak@
@eaglet@|@mgesois+ak@
@ear@|@wdawagw@
@early@|@nabiwi@
@early summer: it's an ~@|@wskiwigen niben@
@ear-ring@|@saksahon+al@
@earth@|@ki@
@earth: our (incl.) ~@|@kdakinna@
@earthquake: there is an ~@|@nanamkiapoda@
@east@|@waji-nahilôt, waji-nahilt@
@east: from the ~@|@waji-sôkhipozit@
@East: land of the ~@|@ôbanaki, wôbanaki@
@east: to the ~@|@waji-sôkhipozit@
@eat (v)@|@mijimuk, mijôzik, mohômuk@
@eat: Let's ~.@|@mijida.@
@Edward@|@Edoal@
@eel@|@nahômo+ak@
@egg@|@wôwan+al@
@eight@|@nsôzek@
@eight hundred@|@nsôzek kasatgua@
@eight times@|@nsôzek kasta@
@eighteen@|@nsôzek kasônkaw@
@eighty@|@nsôzek kasinska@
@elbow@|@mkeskuan+al, wkeskwan@
@elder (tree)@|@saskib+al@
@eleven@|@nguedônkaw@
@Elizabeth@|@alizbat@
@elk@|@wôboz@
@Ellen@|@alan@
@elm@|@anibi+ak@
@elsewhere@|@paliwi@
@employ (v.)@|@awakatôzik@
@end@|@matanaskiwi@
@end of autumn: it's at the ~@|@wanaskiwigen taguôgo@
@end of the year: at the ~@|@wanaskiwigaden@
@end of the year: it's at the ~@|@wanaskiwigen gaden@
@end of the year: it's the ~@|@machiwigen gaden, matanaskiwigen gaden@
@end: at the ~@|@matanaskiwi@
@England@|@Iglismônki@
@Englishman@|@Iglismôn@
@enough@|@kwaskuai@
@envelope@|@wissiguakhigan+al@
@eternal (God)@|@askaminnowit@
@Europe@|@Agômenoki@
@European@|@Wdagômenoki+ak@
@evangelist@|@wawasi kigamowinno+ak@
@even@|@tatebi@
@evening@|@wlôgol@
@evening: in the ~@|@wlôgwiwi@
@evening: this ~@|@pamlôguik, pamlôgwik@
@everything@|@mziwi@
@everywhere@|@nalwiwi@
@exhort (v)@|@wawinômuk@
@expect (v)@|@askawitôzik@
@explain (v)@|@ôdokôdôzik@
@extended steeprock@|@kôkajigapskw+ol@
@eyes@|@wsizgowal@
@face@|@ondokazi, wsizokw@
@fainting-fit@|@pzejilahwôgan@
@faith@|@wlokuahigan, wlômawaldamwôgan@
@fall (autumn)@|@tagugo, taguôgo@
@fall: a year ago last ~@|@nialitaguôgua@
@fall: in ~ (autumn)@|@taguôgowiwi@
@fall: last ~@|@taguôgua@
@fall: next ~@|@taguôgiga@
@fan@|@ôbasawwan+ak@
@far@|@nopaiwi@
@farm: our ~@|@k'-d-akinna@
@Father (trinity)@|@wanamônit@
@father and son@|@kchai ta wski alnôba@
@father: her ~@|@wdadana, wmilôgwsa, wmitongwa@
@father: his ~@|@wdadana, wmilôgwsa, wmitongwa@
@father: my ~@|@n'mitôgwes@
@father: my ~ (formal)@|@n'mitangwes@
@father: my ~ (personal)@|@n'dadan@
@father: my spouse's ~@|@n'zihlos, n'zikhôs@
@father: our (excl.) ~@|@n'mitôgwsena@
@father: our (excl.) ~s@|@n'mitôgwsenawak@
@father: our (incl.) ~@|@kmitôgwsena@
@father: their ~s@|@wmitôgwsowô@
@father: thy ~@|@k'mitôgwes@
@father: your ~@|@k'mitôgwes@
@father: your ~s@|@kmitôgwsowôk@
@father-in-law: my ~@|@n'zihlos, n'zikhôs@
@fear@|@sagzimek@
@fear: he ~s@|@sagzo@
@fear: I ~@|@n'sagzi@
@fear: she ~s@|@sagzo@
@fear: you ~@|@n'sagzi@
@feather@|@miguen@
@February@|@piaôdagos@
@fence@|@pmelodigan+al@
@fence rails@|@pmelodiganakuamal@
@fern@|@masozi+al@
@fetch (v)@|@nimskawômuk, nimskôzik@
@fever@|@kezabzowôgan@
@few@|@tagasiwi@
@few years@|@wakasigaden@
@fiddle@|@lôbaktaigan+al@
@fiddler@|@nodôbaktahigad+ik@
@field@|@kikôn+al@
@fields: large ~@|@maseguikwik-il kikôn-al@
@fife@|@piguôngan+al@
@fifteen@|@nônônkaw@
@fifteenth@|@nônnônkawakwôbabit@
@fifth@|@nôlan akwôbabit, nôlan alagimguak, nônni chebenôzik@
@fiftieth@|@nôninska akwôbabit, nônninskaalagimguak@
@fifty@|@nônninska@
@fight (v)@|@migakamuk@
@filbert@|@pagônis+al@
@fill up with things (v)@|@pasanlhôomuk, pasantôzik@
@fill with liquid (v)@|@pasanbaadôzik, pasanbaalômuk@
@fill with sand or fine gravel (v)@|@pasanômkahômuk, pasanômkahôsik@
@filly@|@wski asesis@
@fine cloth@|@whawlatagak+il@
@fine: I'm ~.@|@newowlowzi.@
@finger@|@witkwalji@
@finish@|@taguaguiômuk, taguaguitôzik@
@finish (v)@|@taguagualokamuk@
@fire@|@skweda@
@firewood@|@awazonal@
@firmament@|@asokw@
@first@|@nitamabit, nitamagimguak@
@fir-tree@|@kokokhôakw+ok@
@fish@|@namas+ak@
@fish (v)@|@ômamuk, ômawômuk@
@fish bone@|@namas mskan@
@fish brain@|@namas mlidbôn@
@fish cheek@|@namas wanowa@
@fish dorsal fin@|@namas mzabi kaskilji, namas pskwan kaskilji@
@fish egg@|@namas wôwan+al@
@fish eye@|@namas msizukw+ol@
@fish fin@|@namas kaskilji@
@fish gill@|@namas mpan@
@fish gullet@|@namas kwedôgan@
@fish guts@|@namas mlagzial@
@fish head@|@namas mdeb@
@fish heart@|@namas mlawôgan@
@fish liver@|@namas mskwen@
@fish mouth@|@namas mdon@
@fish pectoral fin@|@namas mdolka kaskilji@
@fish scales@|@namas plagadagenol@
@fish skeleton@|@namas chibai mskan@
@fish skin@|@namas madagen@
@fish skull@|@namas chibai mdeb@
@fish tongue@|@namas wilalo@
@fish tooth@|@namas wibid+al@
@fisher (animal)@|@wlanigw+ak@
@fisher: young ~ (animal)@|@wlangiwsis+ak@
@fisherman@|@nodômad+ik@
@fish-hook@|@chawapenigan@
@fishing@|@ômawôgan@
@fishing spear@|@nodamaguôngan+ak@
@fishing-line@|@chawapeniganatagw+ol@
@fishing-rod@|@chawapeniganakuam+al@
@fish's bone@|@namasi wskan@
@fish's brain@|@namasi wlidbôn@
@fish's eye@|@namasi wsizukw@
@fish's gill@|@namasi mpan@
@fit: a ~@|@wjibilwas@
@five@|@nlan@
@five hundred@|@nônnatgua@
@five times@|@nonneda@
@fix (v)@|@walitebahlômuk, walitebahtôzik@
@flag@|@mdawagen+ol, ndawagen+ol@
@flame@|@skweda@
@flannel@|@kalizad+al@
@flat@|@abagi@
@flat (anim)@|@abagigek@
@flat (inan)@|@abagigit@
@flea@|@pabigw+ak@
@flesh@|@wios@
@flint@|@masipskw@
@florist@|@noji-pskwasawônkad+ik@
@flour@|@nokhigan@
@flute@|@piguôngan+al@
@fly (insect)@|@wjawas+ak@
@foam@|@pitah@
@fog@|@awan, pesgawan@
@fog: it's ~gy@|@pesgawan@
@fog: it's a little ~gy@|@pesgawanoso@
@fog: when it's ~gy@|@pesgawak@
@foggy weather: it's ~@|@pesgwanikisgad@
@fold@|@pakawagnômuk@
@follow@|@nosokawômuk, nosokôzik, nosokozimuk@
@following day@|@nosokak kisokok@
@following year: it's the ~@|@nosokak gadenek@
@following/next day@|@nakwaltak kisokok@
@foot@|@wzid@
@for@|@wzomi@
@for fear that@|@oji ali naatôzik, weji alinsatôzik@
@forest@|@kpiwi@
@forest: in the ~@|@kpiwi@
@forge@|@nodahlagokaigamigw+ol@
@forget (v)@|@wanaldôzik, wanalmômuk@
@fork@|@nimatguahigan+al@
@formerly@|@negôniwi, nowat@
@forthwith@|@nitta@
@fortieth@|@iawinska akwôbabit@
@forward@|@nikôniwi, pejidakamuk@
@four@|@iaw@
@four hundred@|@iawatgua@
@four times@|@iawada@
@fourteen@|@iawonkaw@
@fourth@|@iaw akwôbabit@
@fourty@|@iawinska@
@fox@|@wôkwses+ak@
@franc@|@pinso@
@France@|@Plachmônki@
@Francis@|@plasoa@
@freezing rain: it's ~@|@ôpchikadenwisoglôn@
@freezing weather: it's ~@|@ôpchikadenwikisgad@
@French village@|@plachmôni odana@
@Frenchman@|@Planchmôn@
@frequently@|@wigawôjiwi@
@fricassee: a ~ (as of beef)@|@segueskejakhigan@
@Friday@|@skawatukwikisgad@
@friend: he/she is my ~.@|@nidoba agema.@
@frigate@|@ktolagw+ol@
@frog@|@chegual+ak@
@frost@|@kladen, wôbaskaden@
@frost: glazed ~@|@sikwla@
@frosty: it's ~@|@wôbskihla@
@froth@|@pitah@
@frozen: it's ~@|@kladen@
