@English@|@Nanai@
@be hungry@|@lali-@
@be offended@|@oqsa-@
@be placed into@|@chiqi-@
@be poor@|@zhobo-@
@be smeared with dirt@|@jangsa, nangsa@
@be spoiled@|@maj-, mana-@
@be troubled@|@peurekpen-@
@bead@|@chïchi@
@bear@|@beiun, beiun, mapa, nangi, xujguluë@
@bear a bastard@|@bojaGo-@
@beard@|@bogakta, gogakta@
@bear's head@|@zhäri@
@beauty@|@bojqo@
@beaver@|@tarGa@
@become convex@|@bolzha-@
@become entangled@|@tä-@
@become gelatinous@|@bulzhi-@
@become larger@|@mada-@
@become sick of envy@|@xun'i-@
@become white@|@chä-lä bi, chä-m@
@bed@|@krovat'@
@bee@|@debehi, kiakso, zhewë@
@beer@|@pivo@
@beetle@|@pachi, singke@
@behind@|@ongbo@
@being at a loss@|@qama@
@bell@|@qongGöqto@
@bellows@|@fexsengku@
@belly@|@xemde@
@belly of fish@|@xujke@
@belt@|@omol, xala@
@belt made of badger's skin@|@ufsi@
@bend@|@gekel, modã@
@bent upwards of head@|@gukü@
@big@|@amba, amban, dai, däi@
@big knife@|@singa-so@
@big span@|@tawar@
@billet@|@qataxi@
@bind@|@sopsin-@
@birch@|@pêa@
@birch bark@|@chalba@
@birch vessel@|@pächã@
@bird@|@gasa, nice, nicen, nichien, niechen@
@bird-cherry@|@singëkte@
@birds' dung@|@soso@
@biting@|@sidarsi@
@black@|@saxarï, saxarin@
@black amur@|@fusuli@
@black birch@|@diwegde@
@bladder of kaluga fish@|@qiawaria@
@blood@|@sekse, sëkse@
@blood vessel@|@xonggiqta@
@blue@|@giandin, hegden, herbor, nengian@
@blue-berry@|@chuikte, qojaqta, zhusikte@
@bluish@|@nolä@
@board@|@undexë@
@board for cutting skins@|@xudë@
@board on edge of bed@|@xue@
@boat@|@ogda, temchië@
@boats@|@ogdasal@
@body@|@bae@
@boiled fish@|@xolto@
@bone@|@girmaksa, Girmaqsa@
@book@|@dangsa@
@boot-top@|@turekse@
@bottom of boat@|@kiö@
@bough@|@sagba, sogbin@
@box@|@kunzhi, kunzhuchë, qomtä, qomtä, ujekë, xapsio@
@braid@|@sili-@
@brain@|@ïge@
@break through@|@luktu-@
@bream@|@paxä@
@breast@|@kengtere, zhazhaqta@
@breast (fem.)@|@kü, kün@
@breast female@|@meme@
@breath@|@ergë@
@bred@|@epen, xleb@
@bridge@|@moct, temteku, tengteku@
@bridle@|@qadara, xadara@
@brier@|@qioqto@
@bristle@|@sirbaqta, sirpaqta@
@broken@|@jepu-@
@bronze@|@chïrikte@
@brook@|@jaqchira, on'i@
@broom@|@xapol@
@brother@|@aga, neku, neu@
@brown@|@sugdiun@
@bubble@|@poqa@
@buckle@|@toxö@
@bul-@|@buli-@
@bull@|@xuse ixan@
@bunch@|@kergi@
@burbot@|@sänä, sängasa, singa@
@burst@|@tekë-@
@bury@|@xumu-@
@bush@|@dë, ponggo@
@butterfly@|@chakini, kokoni@
@buttock@|@che'oki@
@cake@|@epë@
@call@|@xër-si-@
@calm@|@chimo-chimo@
@camel@|@temen@
@candle@|@la@
@cartilage@|@bukse@
@castrated deer@|@xaqtaqto@
@cat@|@kekse@
@cause@|@turgu@
@causeway@|@täqä@
@central belt in a yoke-team@|@luksur@
@central pole@|@baqsa@
@chain@|@bojoto, zhulzhië@
@change sides@|@kecheri-@
@cheek@|@andasi, depel, polchin@
@cherry@|@bishnia@
@child@|@naonzhoä, neku, nuchi nai, pikte@
@children@|@puril@
@children of sisters@|@Gamaso@
@chimney@|@qolã@
@chin@|@sesxe@
@Chinese@|@n'iqä@
@chipmunk@|@ulgi@
@chock@|@xazhGä@
@chopsticks@|@sarbï@
@cicatrice@|@qalxï@
@circle on ski stick@|@fubguru@
@city@|@xoton@
@claw@|@chawa-qta@
@clay@|@ilbä, toaqsa@
@clean@|@silqo-@
@clear of sky@|@GalGa@
@climb down@|@xulun-@
@clinch@|@chebe@
@cloggy@|@langaq@
@closer to the shore@|@ngoj-la, waj-la@
@clothes@|@kunggu@
@cloud@|@tebekse, tukse@
@coal@|@sialta, ugol'@
@coarse@|@bochö@
@coffin@|@xeur, xewur@
@cold@|@Gichisi, sïnggu-@
@cold wind@|@izha@
@collect@|@tama-, tao-san-@
@collection@|@poã@
@completely@|@sup, tiap, tiap, tias@
@conceal@|@sumechi-@
@cone@|@siuchixï@
@cone of any fir tree@|@chimchikte@
@conscious@|@zhiksi-, zhingire@
@constantly@|@zhek@
@convex@|@kupul-kupul@
@copper@|@gion@
@corner@|@zhoqö@
@cotton@|@xlopok@
@cough@|@simki-, singbi-@
@cover of kettle@|@tungke@
@covering@|@seri@
@coverlet@|@daqacha@
@cow@|@ixan@
@crack@|@sangGar@
@cracks in skin@|@fo-rini@
@cradle's bow@|@tongmä@
@crane@|@jatËnia@
@crayfish@|@chënï@
@crest@|@söno, sönocho@
@cross-bow@|@denggure, morali, sermi, xosoli@
@crow@|@gaki, xolï@
@crumbs@|@purtu@
@crush@|@boqta-@
@crushed@|@peng, pëng@
@cuff@|@bölo@
@cut out@|@keli-@
@dance@|@meu-@
@dandruff@|@xaloqta@
@dark place@|@singmü@
@darkness@|@mengtë@
@daughter@|@asia pikte, ekte pikte@
@daughter-in-law (son's wife)@|@orõ@
@dawn@|@Giwä@
@day@|@ini@
@deaf@|@dulbi, qongGo@
@death@|@buni, due, modan@
@debt@|@nangda@
@deceit@|@zhelë@
@decking@|@dederi@
@deep@|@songta@
@dense@|@loGdi, lugzhi@
@deserving pity@|@guzhiele@
@destroy@|@xepu-li-@
@dew@|@sile-mse@
@dewlap@|@qando@
@diarrhoea@|@uce@
@diligent@|@qadaraqo@
@dimples@|@xochï@
@dirt@|@chipcha, kukpü@
@disorder@|@largiä, suse@
@distance between@|@aldä@
@diver@|@än'i@
@dizziness@|@xaö@
@dog@|@inda@
@dog rope@|@sona@
@doll@|@aqoã@
@donkey@|@ejxe@
@door@|@ujke@
@down@|@upulte@
@dragon@|@muduri, pujmur@
@dream@|@tolki@
@drill@|@lungu@
@drip@|@chorgi-@
@drive@|@xasa-si-@
@drop@|@tü-@
@dry@|@xolGoqto, xolGoqtu@
@dry cedar@|@süktu@
@duck@|@gasa@
@due to@|@dalindo@
@dust@|@burexi@
@dwarf cedar@|@bolGoqto@
@dwelling@|@zhö@
@eagle@|@gusi@
@ear@|@siä@
@earlier@|@balana@
@earth@|@nä@
@earwax@|@xoromsa@
@easy going@|@xemberü@
@echo@|@oral@
@edge@|@mocha, të, zherï@
@egg@|@omaqta@
@elbow@|@xujchë@
@elbow bone@|@sireme@
@elder@|@këte, moxan moni, xängGoä@
@elder brother@|@ä@
@elder brother of father@|@dä-min@
@elk@|@tö@
@elk (2 y. old)@|@ojchä@
@empty@|@geu, geü@
@end@|@due@
@energetic@|@pede@
@enmity@|@kïmur@
@enough@|@elë@
@ense(ly)@|@zhip@
@entangle@|@xochi-@
@entirely@|@chungnu@
@equal@|@terini@
@ermine@|@zheli@
@even@|@nejë@
@evening@|@sikse@
@evil spirit@|@ari, kumtu, qömio@
@exchange@|@xolasi-@
@expel an evil spirit@|@pude-@
@exterior@|@ilta@
@external side@|@tulie@
@eye@|@isal, nasal, ngasar, nisala, nisala@
@eyebrow@|@sarmaqta@
@eyelid@|@kumukte@
@face@|@deregh, derel@
@face to face@|@bado-bado@
@faeces@|@amö@
@fainted@|@olGamsaq, olo-@
@fairy-tale@|@ningmä@
@family@|@puri@
@fang@|@soiqa@
@far@|@Goro@
@far from the shore@|@talgia@
@fat@|@s'imukse@
@fathom@|@dä, där@
@feast@|@an'ä, sarï@
@feather@|@degdece@
@feel giddy@|@farinda-@
@female@|@enin, we-che@
@ferret@|@sol'u, wangqoli@
@few@|@oi@
@fight@|@sorï@
@file@|@siru@
@film on fish eggs@|@xuperemse@
@finger-nail@|@xosaqta@
@finish@|@modä, xozhi-@
@fire@|@tao@
@fire steel@|@chiü@
@firewood@|@Golongqo@
@first child@|@azhi-go-@
@fir-tree@|@ngangta, wangta, xasikta@
@fish@|@imaxa, soGdata@
@fish basket@|@uki@
@fish fork@|@sugbe@
@fish glue@|@qamdö@
@fish roe@|@chapa@
@fish skeleton@|@mulgikte@
@fish skin@|@sobGo@
@fish spear@|@chaqpä@
@fish tail@|@pachqi@
@fist@|@sianto, siantu@
@fitting@|@zhëk@
@five@|@tojngga@
@flat@|@nepte-nepte@
@flea@|@sora@
@floor@|@palä, pereg, perel@
@flour@|@opa@
@flow@|@xeje-@
@flower@|@sila-, silaqta@
@fly@|@zhiluekte@
@follow tracks@|@xozha-@
@food supply@|@xujgese@
@foot@|@begd'i@
@foot sole@|@xaGdiki@
@footwear made of fish skin@|@pondoqto, toa-ma@
@for a short time@|@da-pti@
@forehead@|@pëje@
@foreigner@|@angzhini@
@forest@|@purë@
@fork@|@pälä@
@foundation@|@texe@
@four@|@duï@
@fox@|@soli@
@frame@|@berë, qori@
@free@|@xemggel@
@freezing weather@|@xatqa@
@friend@|@anda, doxa@
@friendly@|@kewëli@
@frightened@|@ngele-@
@frog@|@xere@
@front part@|@zhule@
@front part of boat@|@xöngqo@
@frost@|@sunggu@
@frozen of meat@|@musü@
@frozen soil@|@bato@
@full@|@baro@
@fume@|@gulu-@
@fur@|@singaqta@
@furrow@|@irü@
@gad-fly@|@siGaqta@
@gall@|@silte, siltë, zhöl@
@gallop@|@pukchi-@
@gather@|@qamor@
@gauge@|@qirol@
@get away from me!@|@tapsani@
@ghost shaman's aid@|@sewë@
@gift@|@single-, sungle-, sungle-ku@
@gill@|@sejnge@
@gills@|@kepi@
@gland@|@chilchu-kte@
@glittering@|@miari@
@goby@|@läqa@
@good@|@ai, aja, ulë@
@goose@|@nongna@
@gown@|@poqto@
@grandfather@|@fafa, papa@
@grandmother@|@euke@
@grape@|@muksulte@
@grass dry@|@pajaqta@
@grass food@|@ongqo-@
@grayling@|@pendë@
@greedy@|@ebe-sü@
@green@|@nonggä, nonggän@
@grey@|@xö-gzhö, xörbor@
@grinder@|@möso@
@gripe@|@qapiraqo@
@grub@|@xungguli@
@gruel@|@lala@
@gum@|@felche, nüte@
@gums of teeth@|@ilxï@
@gush forth@|@pichkë-@
@hair@|@nukte@
@half@|@qaltä@
@hammer@|@paloa@
@hand@|@nala, ngala, ngäla@
@handful@|@oxoj, xoro@
@handle@|@pesï@
@handle of axe@|@sï@
@hanger@|@degbimu, löchaqo@
@hard@|@mangGa@
@hard palate@|@xexere@
@hardly@|@zhukë@
@hare@|@Gormaxö, toqsa@
@harpoon@|@zhobGo@
@having submerged@|@up@
@hawk@|@Gixö@
@hawthorn@|@opokta@
@hay@|@oroqta@
@hazel-hen@|@pimu@
@head@|@zhili@
@head pillow@|@chirengku@
@headgear@|@zhaua@
@heart@|@m'äwa, m'äwan@
@hearth@|@Golzhö@
@heat@|@piqi-@
@heavy@|@xuige@
@hedgehog@|@punchilkë@
@helminth@|@känga@
@helping spirits@|@girki@
@hem@|@xäri-, xäricha@
@hemp@|@xontaxa@
@hen@|@chiqo@
@henbane@|@poqaqä@
@herd@|@mandu, märö@
@herd of deer@|@sesï@
@herd of wild swine@|@segzhi@
@hill@|@kumchien@
@hinge@|@sioxor@
@hip@|@ö, talpi@
@hit@|@dü-@
@hoard@|@ebiri-@
@hoar-frost@|@säqsa@
@hole@|@chongdö, ongGolo@
@holey@|@semm bï@
@hollow@|@kumdu@
@hollow vessel@|@sixa, sixan@
@honourable space in the house@|@malu@
@hoof@|@pata, xörö@
@hook for hanging kettle@|@olpi@
@horn@|@Ganedzadza, Goja, xuje@
@horse@|@morï@
@horse-tail@|@siu-kte@
@hot@|@peku@
@house cover made of birch bark@|@tisa@
@hundred@|@tangGo@
@hunger@|@xomi@
@hunter's talisman@|@sü sü@
@hurricane@|@söi@
@hurriedly@|@ebe-saba@
@husband@|@ezhi@
@husband's younger sister@|@inä@
@husk@|@fixunde-@
@i@|@bi, mi@
@ice@|@zhuke@
@ice crust on snow@|@xongdä@
@icedrift@|@saqsi, söqsi@
@ice-hole@|@sï@
@idol@|@bugzhë, bukchë@
@illness@|@enü@
@in the direction of@|@bäro-@
@inconvenient@|@moniä@
@inimical@|@bajGö, bajGön@
@inner side of cheek@|@polpï@
@inside@|@dö@
@instrument for obtaining fire@|@moduli@
@interval between fingers@|@sajã@
@interval between legs@|@salGä@
@iron@|@sele@
@island@|@boachä@
@jackdaw@|@tangGuxa@
@joint@|@zhalä@
@junior@|@pojangGo@
@kerchief@|@pungku@
@kettle@|@qalä, xachoxä@
@kick@|@zhugzhukule-@
@kidney@|@bosoqto@
@kite@|@pïchuë@
@knee@|@peingë@
@kneel@|@miaqora-, mixoran-@
@knife@|@qoto@
@knife for carving ornaments@|@chüruë@
@knot together@|@ui-@
@ladle@|@sö-lo-, xon'ä@
@lake@|@amoa@
@lap@|@belge, putü@
@larch@|@sisi@
@large intestine@|@qochi@
@larva of insects@|@chobi@
@lasso@|@pojqa@
@last pair of dogs in the team@|@dekë@
@last year's@|@polöqto@
@law@|@dorö@
@lazy@|@albaqto@
@leaf@|@xabdata, xaftaca@
@leech@|@machi@
@lentils@|@siusi@
@leopard@|@jarga@
@lever@|@kuchipü@
@lie@|@fukulgi-@
@light@|@ixere, ngegzhë@
@light (not heavy)@|@xen'u@
@lime tree@|@kildë@
@line@|@zhorä@
@lip@|@pemü@
@liver@|@pä@
@long@|@ngonimi, onimi, wonimi@
@long cord with attached stone@|@gemu@
@lose consciousness@|@delu-@
@louse@|@chikte, kungke@
@love@|@dëdu@
@lower part of thorax@|@emue-chen@
@lowland@|@nekte@
@lump of earth@|@tur-qa@
@magpie@|@saqsï@
@make a support@|@chire@
@make in time@|@qorpi-@
@make level@|@nesi-@
@make the place vacant@|@ösi-@
@make turns@|@megzhen-@
@male@|@xuse@
@male of small carnivores@|@mur@
@man@|@moxa, moxan@
@mane@|@derbini, soGhlïn, solGhongto, solï@
@many@|@egzhi@
@marble@|@qadar@
@marrow@|@xomä@
@marten@|@qarsa@
@mast@|@qojol@
@mat@|@saqtã, segzhi@
@mat made of birch-bark@|@däli@
@maternal uncle@|@gusï@
@meadow@|@mudü@
@meat@|@ulekse@
@membrane scraper@|@xue@
@metal horns on cap@|@chüruktu@
@midge@|@ponzhimi, purmikte@
@mildew@|@pongdä@
@millet@|@fisxe, pikse, ula, zhiekte@
@miserly@|@qota@
@mittens@|@qölto@
@molar@|@paloa@
@mole@|@muktur@
@moon@|@bä, bi?a@
@mortar@|@xen'i@
@mosquito@|@Garmaqta@
@moth@|@fiaro, piro@
@mother-in-law@|@emxe@
@mound@|@buen, bugdure, Gaon'a, kubdü@
@mountain@|@xure, xuren@
@mountain pass@|@ala@
@moustache@|@boGaqta, bozhaqta, sapsoqta@
@mouth@|@amGa@
@move back@|@michi-, xadän-@
@move to another location@|@nukte-@
@muscles of thig@|@bagdixi@
@musk@|@pongGol@
@nag@|@longsi-@
@nail@|@tukpë@
@naked@|@nilaqö, piqa@
@name@|@gerb'i@
@name of a tree for making bows@|@möni@
@narrow@|@sikpi@
@narrow passage@|@zhelgë@
@narta@|@toki@
@navel@|@xujmu@
@near@|@lang, qalchi, zhizha@
@neck@|@mongo, mongon@
@needle@|@xurme@
@needle for weaving nets@|@sarpol@
@needle hole@|@se'@
@nest@|@omo@
@net@|@alGa, angga, temchiku@
@net for large fish@|@Golï@
@nettle@|@pïkte@
@new@|@imekï@
@newborn animal@|@s'iku, s'ikun@
@new-born child@|@qongar bï@
@night@|@dolbo@
@nine@|@xujü@
@nit@|@nile-ke, xuktu@
@noise@|@chao, xosor-xosor@
@nose@|@ngoqso, oporo, qongtoro@
@nose bone@|@sezhurë@
@nose bridge@|@xondaxa@
@nose ring@|@sanzhaxa@
@not@|@ana, e-@
@not long ago@|@esi@
@notch on an arrow@|@ü@
@nut@|@böqto, qochoa, sisiqta@
@oak@|@xorongkola@
@oar@|@Giol, Giol, melbië, ulbe, ulben@
@obey@|@daxa-@
@obscure@|@gepejgen, geperie@
@obstruct@|@kënzhi-@
@obtain@|@bä-@
@old man@|@saGzhi@
@once more@|@n'ä@
@one@|@emu, emun@
@one of a pair@|@GaGda, GaGda@
@oneself@|@mene@
@onion@|@elu@
@only@|@damu@
@ooze@|@sabda-@
@opposite@|@bajGi?@
@opposite to@|@bado@
@opposite walls from roof@|@pisoa@
@order@|@idu@
@ornament@|@chiku-kte@
@orphan@|@angGazha@
@other side@|@xangGia@
@otter@|@zhuku, zhukun@
@otter's breast@|@zhupkü@
@outlook@|@durü@
@overflow@|@chilqa-, dalä@
@overflowed place@|@nala, niala@
@owl@|@oqsarä@
@pale@|@qia-gzha, qia-m@
@palm of hand@|@pajnga@
@panicle@|@polangqa@
@part@|@pa-si@
@partition@|@xaqpi-@
@paw (of an animal)@|@mäja@
@payment to a judge@|@xerü@
@peel off@|@sido-@
@peltry@|@nepulte@
@pelvis@|@dewe@
@pendants on ear-ring@|@siqa, siqan@
@person@|@beje@
@persuade@|@lëi-@
@pestle@|@nüchiku, nutku@
@pheasant@|@olGomi@
@piece down@|@sira-@
@piece of ice on earth@|@zhogbor@
@pig@|@olgiä@
@pike@|@güchë@
@pinch@|@pasoala-@
@pine cone@|@kore-kta@
@pine-tree@|@zhäGda@
@pit in river bottom@|@xuler@
@place@|@boa, teu-, tora, toro@
@place of gathering berries@|@Gatao@
@place of good fishing/hunting@|@wängqo@
@plain@|@aoda@
@plait@|@dü-@
@plank@|@dangn'ä@
@plant oil@|@malengu@
@plate@|@silia@
@plentiful of food@|@zhirgä@
@plenty@|@labdo@
@plough@|@anzha@
@pluck out@|@isö-@
@plural stem@|@-sal, -sel@
@poison@|@gü@
@pole for tying nets@|@Gosa@
@polish@|@nïla-, xalzhi-@
@polynia@|@olä@
@pool@|@tëngki@
@poplar@|@polo@
@pouch@|@pado@
@pour@|@jeweri-@
@powder@|@oqto@
@power@|@kusü@
@precipice@|@päqta@
@pregnant female animal@|@surki@
@preserve@|@zhïsun-@
@press@|@ui-@
@price@|@tamä@
@protecting spirit@|@majin@
@pubic hair@|@safala@
@pull@|@toan-@
@pulley@|@toxoriqö@
@puppy@|@kejchë, kejchekë@
@pus@|@n'äqsa@
@put on@|@barazhiGo-, baroli-@
@quick@|@am-qa-chi-, säli, sampar@
@quiet@|@dunggu@
@quiet sea surface@|@tali-tali@
@quilted coat@|@utesü@
@quitch@|@darä@
@racoon@|@naoto@
@racoon dog@|@jandaqo@
@raft@|@temu@
@rags@|@leber@
@rain@|@tugde@
@rainworm@|@pënte@
@rake up snow@|@axiri-@
@rare@|@sër@
@raw@|@nalkï@
@reason@|@idë@
@rebuke@|@dangsi-@
@recover@|@xora-@
@red@|@folgä, folgän, sëgzhë@
@red willow@|@fuchile@
@reddish@|@sür-@
@reed@|@xolGoqta@
@reindeer@|@orö@
@relative by marriage@|@senggi@
@relative-in-law@|@keli@
@remember@|@ezhe-@
@resound@|@xöl-zhi-@
@responsive@|@sexur@
@rest@|@tein-@
@rib@|@xeuchile@
@ridge of roof@|@mulu@
@rift in river@|@xurfu@
@right@|@anggia@
@river rift@|@ugbë@
@road@|@foqto@
@roast@|@chiro-@
@roe@|@xosaqta@
@roll down@|@puelin-@
@roof@|@elbë@
@rook@|@toräki@
@root@|@d'ä, dächä, muikte@
@rope@|@use@
@rope (made of bark)@|@bartoxi@
@rotten food@|@be@
@round@|@munggel-munggel bï, murgi, tonggokpiä@
@rounded@|@chembu-chembu@
@row@|@darï@
@rowan@|@mïrëngkule@
@rust@|@septu-che@
@sable@|@sëpe@
@sabre@|@loxö@
@Salmo Lenoc@|@menekse@
@salmon@|@dawa, nimo@
@salmon stomach@|@qauqta@
@sand@|@sijä, siro, siron@
@saw@|@popö@
@scarcely@|@silä@
@scoop@|@juke, juken, ori, orich-, ujkë@
@scoop (made of birch bark)@|@qodoriqo, qodorpö@
@scoop-net@|@södö@
@scowling@|@poria@
@scrape off@|@posi-@
@scraper@|@tojbä, tuchü@
@sea@|@lamu, namu@
@sealine@|@pör@
@search@|@gele-@
@search through@|@seule-@
@secretion of a musk deer@|@qoja@
@sedge@|@möri@
@seed@|@use@
@separate@|@xaqpä-@
@separately@|@päzhi@
@settlement@|@ixö@
@seven@|@nadä@
@shadow@|@pan'ã@
@shady@|@engmië@
@shaft@|@bule@
@shaft of fish-fork@|@nai@
@shallow place@|@xarba@
@shaman@|@samã@
@sharp@|@suli-@
@sharp pain in one's joint@|@sir@
@sharpen@|@pia-@
@sheat-fish@|@doaqa, xojzha@
@sheath@|@koptö, qormï@
@shed@|@tamixi@
@shelf under ceiling@|@besere, bisere@
@shell@|@choiqta, qäkhta@
@shine@|@gilte-@
@shore@|@gir, sapsi@
@short@|@xurm'i@
@shoulder@|@mejre@
@shoulder ornaments on women's@|@lapiqta@
@shout of an aurochs@|@oriqo@
@Siberian stag@|@qomaqa@
@side@|@xoldö@
@sieve@|@sajzha@
@sign@|@sowöcha@
@silent@|@elke@
@silly@|@belchi, ëdë, farGa@
@sinciput@|@chimchik'ë@
@sinew@|@bulte, sumul@
@single@|@Gia-Gda@
@sinker@|@ilbexe@
@six@|@nunggü@
@ski bedding for the foot@|@pajGa@
@ski straps@|@muesemse@
@skilled@|@nam@
@skin@|@munekse, xerekte@
@skin (of animals)@|@nanta@
@skin clothes@|@qachoi@
@skin from animal's head@|@miata@
@skin from deer's feet@|@xösol@
@skis@|@kunggilte@
@sky@|@afqa, apqa@
@slant@|@xozhia-@
@sledge bow@|@chiamboä@
@sledge pole@|@kaorï@
@sleeping bag@|@polta@
@sleigh@|@para@
@sleigh with dogs@|@tolki@
@slightly trickling@|@sitä@
@slippers@|@lëmi@
@slippery ice surface@|@belu, bulu@
@slope of a mountain@|@antazhia@
@slush@|@puruekme@
@small@|@nüchi, oröqä, pikte, sär (bï)@
@small bird@|@chichö@
@small boat@|@uixu@
@small finger@|@chumchuë, Gajaqoä@
@small piece@|@zhilaxa@
@small table@|@bedur, budduru@
@smear@|@niule-, pilqi-@
@smoke@|@sangna, sangnan, subgï@
@snake@|@mujki@
@snow@|@simana, simata@
@sober up@|@gete-@
@soft@|@nemu@
@softened birch bark@|@xomdo@
@sole@|@palgã@
@some@|@poani@
@son-in-law@|@aosi@
@soot@|@xufekse@
@sore@|@puje@
@soul@|@omia@
@sound@|@siasï@
@sound of knocking@|@keter-keter@
@soup@|@chölö@
@sour@|@Gochi@
@sow@|@moGlola-@
@spacious@|@gure-ke, guxe@
@span between the big finger@|@siru@
@spark@|@posï@
@spinal vertebra@|@sigde@
@spine vertebra@|@niriqta@
@spiraea@|@boloqto@
@spit@|@silpö@
@spittle@|@topin-@
@splash@|@saoGï@
@spleen@|@upke@
@splinter@|@qoatamsa@
@spoke-bone@|@qombio@
@spool@|@kurke@
@spoon@|@mengki, monggichi-@
@spoon for taking fat off@|@ajaraxo@
@spout of a tea-pot@|@chichiqo@
@spring@|@birä, nengne@
@sprout@|@urekte@
@squatting@|@choqchojgan@
@squirrel@|@xulu@
@squirrel nest@|@löbi@
@squirrel's nest@|@debzhini@
@staff@|@tunepü@
@stake@|@baGba@
@stale water@|@saqo, saqu@
@stalk@|@süksu@
@star@|@xosaqta@
@steep bank@|@megzhï@
@steering oar@|@kude@
@stick@|@Gara@
@stick to@|@dälpo-@
@stiff@|@qol-qol@
@stinking@|@söri@
@stockings@|@doqto, doqton@
@stomach@|@puxï@
@stomach disease@|@muxu@
@stone@|@zholo@
@storm@|@küre, piugi-@
@straight through@|@qas@
@stretched@|@sung-gure@
@strike@|@guji-@
@string@|@soptangGi@
@string in net edge@|@xesï@
@strong@|@Gatoxo@
@strongly@|@masi@
@stub@|@chixin@
@stump@|@mugdekë, mugdu@
@suck@|@chime-@
@summer@|@zhoa@
@summer salmon@|@silkï@
@summer-house@|@xomarä@
@sun@|@siu, siun@
@support@|@tojGa@
@surplus@|@pule-@
@swallow@|@chipiaqo@
@swamp@|@detu, niarö, suku, xalö@
@swamp moss@|@namolta@
@swan@|@kuku, kulikte@
@swash@|@bolqo-, bulxo-@
@sweat@|@nesenggi@
@table@|@dere@
@tables@|@deresel@
@taiga@|@dühö@
@taiga region@|@duje@
@tail@|@xuigu@
@tail fin@|@pachi, sochï@
@take@|@ali-@
@take away@|@chï-@
@talisman@|@sü@
@talisman placed on the breast@|@sämogdä@
@tall@|@GoGda@
@tear follicle@|@poqö@
@temple@|@qäf@
@ten@|@zhoä@
@tent covered with bark@|@qawa@
@tent made of poles@|@chöro@
@testicles@|@uxara@
@that@|@cha-, eso, esos, taja@
@the most@|@azhï@
@thick@|@bujgu, zhirami@
@thick growth@|@sio@
@thick needle@|@binzhä@
@thick of a tree@|@bezhu@
@thick of liquids@|@tekchï@
@thin@|@nemi@
@things@|@zhaqa@
@this@|@ei@
@thou@|@s'i@
@thought@|@murü@
@thread@|@sïrë, sirikte@
@threads@|@kupë@
@three@|@ilä@
@thresher@|@mösolaqo@
@threshold@|@kenderxï@
@throat@|@bilGa@
@through@|@fos, pos, tap@
@through and through@|@chop@
@thumb@|@perxe@
@Tibetan bear@|@monoqo@
@tiers@|@läpi@
@tightly@|@chip@
@time@|@erï, fö@
@tinder@|@porzhi@
@to abut feet in boat@|@sikupü@
@to act as an aggressor@|@dambicha-@
