@English@|@Gagauz@
@belief@|@inan@
@bell@|@can@
@bellows@|@corner, körük@
@belly@|@qaryn@
@below@|@asaa@
@belt@|@kusak@
@bend@|@qajyr-@
@benefit@|@fayiz@
@bent@|@iiri@
@berry@|@dut, emis@
@big@|@bük, büük@
@bile@|@öt@
@bird@|@kus, kuš, quš@
@bitter@|@aci, ïši@
@black@|@kara, qara@
@bladder@|@qawuq@
@blade@|@chalym@
@blanket@|@jorhan@
@blind@|@köör@
@blood@|@kan, qan@
@blue@|@çakir, gök, maavi@
@board@|@tafta@
@boat@|@gemi, kayik@
@bobbin@|@makara@
@body@|@boj, ten@
@bone@|@kemik@
@book@|@kitap@
@boot@|@cizmä@
@booty@|@chapanaq@
@bosom@|@koynu, qojnu@
@bottle@|@sisä@
@bottom@|@alt, dip@
@bow@|@jaj, jajy, yay@
@boy@|@cocuk, oglan@
@bracelet@|@bilezik@
@brain@|@imik, mozak@
@brake@|@tormoz@
@bran@|@kepek@
@branch@|@budak, budaq, chybyq, dal@
@brass@|@pirinc@
@brave man@|@ït@
@bravo@|@aferim@
@bread@|@çörek, ekmek, iekmek, iekmek@
@breast@|@güs, güüs, mämä, memä@
@brick@|@tula@
@bride@|@gelin@
@bridegroom@|@güvää@
@bridge@|@köprü@
@bridle@|@yular@
@bright@|@aydin, sili@
@bristle@|@citina@
@brittle@|@gevrek@
@broad@|@engin, jalpaq@
@brother@|@aga, batü, kardas, kardaš@
@brother-in-law@|@kayin@
@brow@|@kas@
@brown@|@esmer, jäz, qula@
@brush@|@cetka@
@buck@|@tekä@
@buckle@|@toqa@
@buffalo@|@manda@
@building@|@bina@
@bull@|@bua, buha@
@bunch@|@salkim@
@bush@|@andyz@
@but@|@meer@
@butcher@|@kasap@
@butterfly@|@kelebek@
@buttocks@|@göt@
@button@|@kopca@
@cadaver@|@les@
@cage@|@kafes@
@calculation@|@esap@
@calf@|@buzä, buzaa, dana@
@calf of leg@|@baldir, baldyr@
@camel@|@devä@
@candle@|@mum@
@cannon@|@top@
@cap@|@sapka@
@carp@|@sazan@
@carpenter@|@dülger@
@carry on back@|@ärt-@
@cart@|@araba@
@case@|@sandik@
@cask@|@fici@
@cat@|@kedi@
@cattle@|@siir@
@cave@|@in@
@center@|@merkez@
@century@|@asir@
@chain@|@sincir@
@chalk@|@tebesir@
@character@|@tabeet@
@charcoal@|@mangal@
@chase@|@av, qü-@
@cheek@|@janaq, yanak@
@cheek-pouch@|@aurt@
@cheese@|@piinir@
@cherry@|@kirez@
@chick@|@pilic@
@child@|@chožuq, gench-, genž-, usak, ušak@
@children@|@evlad@
@chimney@|@baca@
@chin@|@çenä@
@chisel@|@dalta@
@church@|@klisä@
@claim@|@alacak@
@claw@|@tyrnaq@
@clay@|@kil@
@cloud@|@bulut@
@clover@|@jonža, yonca@
@coagulated milk@|@jürt@
@coal@|@kömür@
@cock@|@horoz@
@cocoon@|@koza@
@coffin@|@tabut@
@cold@|@süq, suuk@
@collar@|@yaka@
@color@|@renk@
@comb@|@tarak@
@come out@|@chyq-@
@command@|@emir@
@commentary@|@yorum@
@community@|@toj@
@companion@|@yoldas@
@company@|@dernek@
@compass@|@pergel@
@complete@|@taman@
@completely@|@top@
@concord@|@ahenk@
@condition@|@hal, sart@
@cone@|@fistik@
@confession@|@itraf@
@conform@|@uj-@
@continuation@|@devam@
@contrary@|@aykiri@
@convoy@|@katar@
@copper@|@bakir, baqyr@
@coral@|@mercan@
@corn@|@misir@
@corridor@|@hayat@
@cottage@|@cardak@
@cotton@|@pamuk@
@countenance@|@surat, süret@
@country@|@iel@
@couple@|@es@
@courage@|@jürek@
@course@|@mürür, sefer@
@court@|@aul, sud@
@cover@|@kapak, örtü, yorgan@
@cow@|@inek, siir@
@crab@|@engec@
@craftsman@|@uz@
@crane@|@turna@
@crazy@|@alyq@
@cream@|@kaymak@
@crest@|@ibik@
@crippled@|@cholaq@
@cross@|@stavroz@
@crow@|@garga@
@crowd@|@alay, choju, kalaba@
@crystal@|@bülür@
@cup@|@canak, filcan, stakan@
@cupboard@|@dolap@
@curiosity@|@merak@
@curtain@|@ješik@
@custom@|@vama@
@cut in slices@|@dil-@
@cycle@|@devre@
@damage@|@zän, zarar@
@daring@|@metin@
@dark brown@|@qomur@
@dates@|@hurma@
@daughter@|@kiz@
@daughter-in-law@|@gelin@
@dawn@|@safk@
@day@|@gün@
@daybreak@|@dan@
@dead@|@ölü@
@deaf@|@saar@
@death@|@ecel, ölüm@
@debt@|@borc@
@deceit@|@fent@
@December@|@dekabri@
@decision@|@karar@
@deed@|@iš@
@deep@|@derin@
@deer@|@karaca@
@defect@|@kusur@
@delve@|@chuqur@
@demon@|@dev@
@dense@|@gür, koyu@
@deposit@|@sklad@
@design@|@resim@
@desire@|@havez, raabet@
@destiny@|@kismet@
@destroy@|@boz-@
@devil@|@seytan@
@dew@|@cii@
@diamond@|@almaz@
@difference@|@fark@
@difficulty@|@zor@
@diligent@|@seremet@
@dill@|@kopar@
@director@|@müdür@
@dirt@|@kir@
@dirty@|@chepel, kirli, mindar, mindar, pis@
@distant@|@jyraq@
@ditch@|@hendek@
@dog@|@köpek@
@donkey@|@ešek, iešek@
@Don't touch me there!@|@Bana diimä!, bana dokunmal!@
@door@|@kapu@
@dough@|@hamur@
@down payment@|@pey@
@dragon@|@ajder@
@dream@|@düš, uyku@
@dress@|@fistan, giiyim@
@drill@|@burgu@
@drizzle@|@cisenti@
@drop@|@dam-na, damna@
@drum@|@daul@
@drunk@|@maamur@
@dry@|@kurak, kurak, kuru, quru@
@duck@|@jördek, ördek@
@dung@|@bok, boq, gübür, tezek@
@dust@|@toz, töz@
@dwarf@|@cücä@
@dye@|@boja@
@eagle@|@kartal@
@ear@|@kulak, qulaq@
@early@|@erken@
@earring@|@küpä@
@earth@|@er, toprak@
@earthenware pot@|@güvech@
@earth-worm@|@solužan@
@ease@|@sefa@
@East@|@jilk@
@easy@|@kolay@
@echo@|@avaz@
@edge@|@kenar, kiyi, uch@
@edge of cloth@|@ietek@
@effort@|@savas@
@egg@|@jymyrta, yimirta@
@eight@|@sekiz@
@eighty@|@seksän@
@elbow@|@dirsek@
@elder brother@|@aha@
@elegant@|@zarif@
@elephant@|@fil@
@email@|@sir@
@ember@|@koor@
@embrace@|@kucak@
@emerald@|@zümrüt@
@empty@|@boš, kof@
@end@|@son, uc@
@enemy@|@dusman, dušman@
@enormous@|@azman@
@envoy@|@elci@
@envy@|@haseet@
@epoch@|@devir@
@equal@|@denk, esit@
@error@|@yannis@
@evening@|@avsam, avšam@
@every@|@her@
@excellent@|@fazli@
@exchange@|@diis, dïš@
@exile@|@gurbet@
@expenses@|@harc@
@external cover@|@qaby, qap@
@eye@|@göz@
@eye pus@|@chapaq@
@eyelash@|@kirpik@
@fabric@|@dokuma@
@face@|@beniz, jüz, üz@
@factory@|@fabrika, zavod@
@faith@|@iman@
@falcon@|@duan@
@fall@|@güz@
@family@|@aylä, senselä@
@fan@|@elpezä@
@far@|@uzak@
@fat@|@jä, yaa@
@father@|@ata, boba@
@father-in-law@|@kaynata@
@fathom@|@qolach@
@fatty@|@semiz@
@fear@|@korku@
@feast@|@bajram, yortu@
@feather@|@tüj, tüü@
@February@|@fevral@
@feed@|@bes@
@female@|@disi, diši@
@fetters@|@kelepcä, köstek@
@few@|@az@
@field@|@tarla@
@fiery snake@|@ievrem@
@fifty@|@elli@
@fig@|@incir@
@fight@|@düüs, güres, savaš-@
@file@|@ija, törpü@
@finger@|@parmak@
@finger ring@|@jüzük, üzük@
@fire@|@ates, ateš, yangin@
@fireplace@|@ocak@
@firewood@|@odun@
@firm@|@kaavi@
@first@|@ilk@
@fish@|@balik, balyx@
@fissure@|@yarik@
@fist@|@musta, yumuruk@
@fit into@|@sý-@
@fitting@|@uygun@
@five@|@bes@
@flag@|@bajraq, bayrak@
@flame@|@jalyn@
@flank@|@büür, yan@
@flat@|@düz, yasi@
@flat and broad@|@jasy@
@flax@|@keten@
@flea@|@pirä, pire@
@flee@|@kacmaa, qach-@
@float@|@jüz-@
@floor@|@dösemä, tavan@
@flour@|@un@
@flower@|@chichek, çiçek@
@fluid@|@akar@
@flute@|@kaval@
@fly@|@sinek, uch-@
@foal@|@tay@
@foam@|@köpük@
@fodder@|@alaf, em@
@fog@|@bü@
@food@|@as@
@foot@|@ajaq, ayak@
@for@|@deyni@
@for the sake of@|@ichin@
@forbidden@|@haram@
@forearm@|@bilek@
@forehead@|@anni, anny@
@foreign@|@el@
@forest@|@daa@
@fork@|@catal, diiren@
@former@|@evel@
@fort@|@kalä@
@forty@|@kirk, qyrq@
@forward@|@ileri@
@four@|@dört@
@fowl@|@tauq@
@fox@|@tilki@
@frame@|@cercevä, kasnak@
@freckle@|@cil@
@free@|@azat, serbest@
@free of charge@|@caba@
@frequent@|@sik@
@fresh@|@taazä@
@Friday@|@cumaa@
@friend@|@arkadas, dost@
@frog@|@kurbaa, qurbä@
@front@|@jön, ön@
@frost@|@ajaz, ayaz, don@
@fruit@|@meyva@
@fruit stone@|@chekerdek@
@fry@|@qa'ur-@
@full@|@byq-, doj-, dolu@
@fundament@|@temel@
@funnel@|@funi@
@fur@|@kürk@
@fur hat@|@kalpak@
@furnace@|@firin@
@furuncle@|@chyban@
@gag in a barrel@|@chep, chöp@
@gall@|@jöt@
@garden@|@baa, bašça@
@garlic@|@sarmisak, sarmusaq@
@generous@|@cömert@
@Georgian@|@gürcü@
@get to know@|@tany-@
@gift@|@baasis@
@girdle@|@kemer, qušaq@
@girl@|@qyz@
@gland@|@bez@
@glass@|@cam@
@glue@|@chiriš, ciris@
@go beyond the range of vision@|@aš-@
@goat@|@keci, keçi@
@god@|@allaa@
@gold@|@altin@
@golden thread@|@sirma@
@good@|@hayir, ii, islää@
@goods@|@mal@
@goose@|@kaaz, qäz@
@grandchild@|@unuka@
@grape@|@jüzüm, üzüm@
@grape juice@|@sira@
@grapevine@|@chepkä@
@grass@|@ot@
@gravel@|@moloz@
@greed@|@tamah@
@Greek@|@urum@
@green@|@ješil@
@greeting@|@seläm@
@grey@|@boz, böz@
@greyhound@|@tazi@
@greyish blue@|@chaqyr@
@grief@|@kahir@
@grind@|@ü-@
@groove@|@centik@
@grouse@|@toy@
@guard@|@karaul@
@guest@|@konak, musaafir@
@gulp@|@judum@
@gum@|@sakiz@
@Gypsy@|@cingenä@
@habit@|@adet@
@hail@|@tolu@
@hair@|@kil, qyl, sac, saç@
@hair of head@|@sach@
@hair-lock@|@zülüf@
@half@|@bucuk, yari, yarim@
@halter@|@jular@
@hammer@|@cekic, chekich@
@hand@|@el, jel@
@handful@|@auch@
@handle@|@kulp, sap@
@hand-saw@|@testerä@
@hangman@|@cellat@
@happiness@|@baht, kut@
@happy@|@mutlu@
@hard@|@cetin@
@hare@|@tawšan@
@harvest@|@bereket@
@hat@|@qalpaq@
@hatchet@|@nacak@
@hazelnut@|@funduk@
@he@|@o@
@head@|@bas, baš, kafa@
@healthy@|@sä@
@heap@|@tepä@
@heart@|@kalp, ürek, yürek@
@hearth@|@vatra@
@heat@|@alif@
@heavy@|@aar@
@hedgehog@|@kirpi@
@heel@|@jökchä, ökcä@
@he-goat@|@teke@
@height@|@boy@
@hell@|@cendem@
@help@|@imdat, yardim@
@hemp@|@kenevir@
@hen@|@tauk@
@henna@|@kina@
@herd@|@sürü@
@here@|@bura, burda@
@hero@|@pelivan@
@high@|@üüsek@
@highway@|@sösä@
@hinge@|@rezä@
@hit@|@jitir-@
@hoar@|@kraa@
@hoar-frost@|@qrä@
@hole@|@delik@
@holiday@|@bayram@
@honey@|@bal@
@honor@|@namuz@
@hoof@|@nal@
@hook@|@cengel, kanca, olta@
@hoop@|@cember@
@hope@|@umut@
@horn@|@bujnus, buynuz@
@hornbeam tree@|@gürgen@
@horse@|@at, beygir@
@hose@|@tulum@
@hour@|@saat@
@house@|@ev, jev@
@how@|@nasil, nicä@
@how much@|@kac@
@howl@|@ulu-@
@huge@|@ulu@
@human being@|@adam, insan, kishi@
@hump@|@kambur@
@hundred@|@üz@
@Hungarian@|@macar@
@hunger@|@aaçlik, äch@
@hungry@|@aac@
@hunt@|@av@
@husband@|@koca@
@husbands of sisters@|@bažanaq@
@hyacinth@|@zümbül@
@I@|@bän, ben@
@ice@|@buz@
@ice-cream@|@dondurma@
@idiot@|@ahmak@
@idiotic@|@bunak@
@if@|@eer@
@ill@|@hasta@
@immediately@|@demin@
@importance@|@önem@
@inch@|@karis@
@inflammation@|@uchuq@
@influence@|@nüfiz@
@information@|@spravka@
@in-law@|@bacanak@
@insect@|@böžek@
@inside@|@icindä@
@insipid@|@javan@
@insufficient@|@kit@
@intention@|@murat, neet@
@interior@|@ic@
@interpreter@|@talmac@
@interrogative particle@|@-mi@
@interval@|@ara@
@iris@|@zambak@
@iron@|@demir, ütü@
@irritable@|@büš-, dargin@
@island@|@ada@
@January@|@yanvar@
@jar@|@testi@
@jaw@|@chenä@
@Jew@|@cifit@
@July@|@iyül@
@June@|@iyün@
@kerchief@|@jälyq@
@kettle@|@kazan@
@kidney@|@böbrek@
@kidney(s)@|@börek, bür, bürek@
@kin@|@hisim@
@kind@|@cesit, türlü@
@kitchen@|@kufnä@
@knee@|@dis, diz@
@knife@|@biçak@
@knot@|@dü-m-ük, düünük@
@ladder@|@merdiven@
@lake@|@göl@
@lamb@|@kuzu, quzu@
@lamb (6m. old)@|@toqlu@
@lame@|@colak, topal@
@lamp-shade@|@abajur@
@land@|@jer@
@language@|@dil@
@lantern@|@fener@
@large bovine@|@sýr@
@lasso@|@urhan@
@last year@|@bildir, byldyr@
@late@|@gec@
@lathe@|@stanok, tezgä@
@laundry@|@camasir@
@laurel@|@dafin@
@law@|@zakon@
@lawn@|@cim, cimen@
@lawsuit@|@daava@
@layer@|@kat@
@lazy@|@dembel, haylaz@
@lead@|@kursum@
@leaf@|@japraq, yaprak@
@leather belt@|@qajyš@
@leather strap@|@tasma@
@leech@|@japyšqan, sülük@
@left@|@sol@
@leg@|@ayak, bacak@
@lentil@|@mercimek@
@letter@|@mektup@
@letter (mail)@|@mektup@
@level@|@düz-@
@lie@|@jalan, yalan@
@life@|@ömür@
@light@|@jilin, nur@
@light of weight@|@ilin@
@lightning@|@cimcirik, yildirim@
@like@|@gibi@
@lilac@|@ergivan, lüläka@
@lime@|@kirec@
@lining@|@astar@
@lion@|@aslan@
@lip@|@dudak, dudaq@
@liquor@|@raki@
@list@|@spisok@
@little@|@küchük, küžük@
@liver@|@barsak, ceer@
@lizard@|@guster@
@load@|@ük@
@lock@|@kilit@
@locksmith@|@cilingir, slesar@
@locust@|@cekirgä@
@loin@|@kasik@
@lonely@|@jalnyz@
@long@|@uzun@
@longing@|@hasret, sefk@
@look@|@nazar@
@loose@|@gevsek@
@loss@|@kayip@
@louse@|@bit@
@love@|@sevgi@
@lover@|@yär@
@low@|@alcak@
@lower side@|@alt@
@luggage@|@göch@
@lunch@|@ün@
@mace@|@topuz@
@mad@|@deli, quduz@
@magic@|@büü@
@magpie@|@saqsan, saqsän@
@maize@|@papsoy@
@male@|@erkek@
@malice@|@kin@
@mallet@|@toqmaq@
@man@|@adam, erif, erkek, insan@
@mane@|@elä, jelä@
@many@|@cok@
@March@|@mart@
@mare@|@baytal@
@market@|@carsi, panayir@
@marsh@|@bataq@
@mast@|@direk@
@master@|@usta@
@mat@|@hasir@
@matchmaker@|@dünür@
@mate@|@paydas@
@mattress@|@döšek@
@May@|@may@
@meadow@|@cayir, chimen@
@means@|@arac@
@measles@|@kizamak@
@meat@|@et, jet', jet', yaani@
@medicine@|@ilac@
@melon@|@kaun@
@member@|@aza@
@membrane@|@zar@
@memory@|@hatir@
@mercy@|@aman, raamet@
@merry@|@sen@
@metal tray@|@tepsi@
@method@|@usul@
@middle@|@orta@
@might@|@kudret@
@mild@|@jymyšaq@
@milk@|@süt@
@millet@|@dari, dary@
@millstone@|@kaya@
@mine@|@maadem, sahta@
@minister@|@bakan@
@mint@|@naanä@
@mirror@|@ayna@
@mistake@|@jannyš@
@mister@|@efendi@
@model@|@örnek@
@moisture@|@nem@
@mold@|@kalup, küf, pas@
@mole on the face@|@ben, benek@
@Monday@|@pazertesi@
@money@|@para@
@monkey@|@maymun@
@month@|@aj, ay@
@mood@|@gön, kef@
@moon@|@ay@
@morning@|@järin, sabaa@
@mosque@|@cami@
@moth@|@güvä@
@mother@|@ana@
@mother-in-law@|@kaynana@
@motherland@|@vatan@
@mother-of-pearl@|@sedef@
@mountain@|@bajyr, bayir, dä@
@mouse@|@sican, sychan@
@moustache@|@byjyq@
@mouth@|@aaz, äs@
@move down@|@düš-@
@mud@|@camur, cepel@
@mule@|@katir@
@mushroom@|@mantar@
@must@|@sira@
@mute@|@mutu@
@nail@|@chivi, civi, enser, mih, tirnak@
@naked@|@ciplak, jalyn, jalyn@
@name@|@ad, ät, nam@
@namesake@|@adas@
@nape@|@ensä@
@narrow@|@dar@
@nation@|@millet@
@native land@|@yurt@
@nature@|@tabeet@
@naughty@|@afecän@
@navel@|@göbek@
@near@|@jaqyn, yakin@
@necessary@|@lääzim@
@necessity@|@gerek@
@neck@|@bojun, boynu@
@needle@|@iinä, ïnä@
@negation@|@ret@
@neighbor@|@komsu@
@neighbour@|@komshu, qomšu@
@nest@|@juwa, yuva@
@net@|@mräja, plasa@
@new@|@eni, jeni, yeni@
@new-born@|@körpe@
@news@|@haber@
@next@|@ertesi@
@night@|@gecä, gežä@
@nightingale@|@bülbül@
@nine@|@dokuz@
@ninety@|@doksan@
@nit@|@sirkä@
@no@|@yok@
@none@|@hic@
@noon@|@üülen@
@north@|@poyraz@
@nose@|@burnu@
@not@|@-ma-, diil@
@November@|@noyabri@
@now@|@sindi@
@number@|@nomer@
@nut@|@ceviz@
@oar@|@qajyq@
@oat@|@yulaf@
@oath@|@emin@
@occasion@|@ür@
@October@|@oktäbri@
@odd@|@tek@
@offended@|@küs-@
@offense@|@azar@
@oil@|@neft, yaa@
@old@|@eski, qary@
@old (not new)@|@eski@
@old (not young)@|@kart@
@old man@|@ihtär@
@olive@|@zeytin@
@one@|@bir@
@onion@|@suan, suvan@
@only@|@ancak, salt@
@opposite@|@karsi@
@orchard@|@basca@
@order@|@nizam, tertip@
@orphan@|@üüsüz@
@other@|@baska@
@outer side@|@dyšar@
@outside@|@dis, disanda@
@over there@|@ötää@
@overthrow@|@jyq-@
@owner@|@saabi@
@ox@|@jöküz, öküz@
@pain@|@aari, dert, syzy@
@paint@|@boya@
@pair@|@cift@
@palate@|@damak@
@palm of the hand@|@auc@
@palsy@|@felc@
@pan@|@teknä@
@pants@|@don@
@paper@|@kiyat@
@paradise@|@cennet@
@parcel@|@chyqy@
@pardon@|@af@
@parsley@|@maydanoz@
@pea@|@borchaq, mazare@
@peaceful@|@uslu@
@peach@|@sefteli, shefteli@
@peacock@|@paun@
@peanut@|@pindik@
@pear@|@armut@
@pearl@|@boncuk@
@peat@|@tezek@
@pebble@|@cakil@
@pedestrian@|@yayan@
@peel@|@soj-@
@peel off@|@syjyr-@
@peg@|@qazyq@
@people@|@halk, kiši@
@pepper@|@biber@
@perforated@|@sïrek@
@permission@|@izin@
@permitted@|@helal@
@perpendicular@|@dik@
@person@|@kisi@
@petroleum@|@neft@
@phlegm@|@balgam@
@pickle@|@tursu@
@piece@|@dilim, parca@
@pig@|@domuz@
@pigeon@|@güvercin@
@pilgrim@|@haci@
@pillow@|@jastyq, yastik@
@pine@|@cam@
@pine cone@|@tömruq@
@pine tree@|@cham@
@pink@|@karanfil, pembä@
@pipe@|@düdük, lülä@
@pit@|@cukur, kuyu@
@pith@|@öz@
@plain@|@yavan@
@plane@|@jon-, rendä@
@plant@|@bitki@
@plate@|@cini@
@play@|@ojun, oyun@
@pleasant@|@hos@
@plough@|@puluk, saban@
@pluck@|@jol-@
@plum@|@erik, ierik, ierik@
@pocket@|@cöp@
@point@|@nokta@
@poison@|@zihir@
@pole@|@herek, syryq@
@Pole@|@läh@
@pomegranate@|@nar@
@poor@|@fakir, zavalli@
@popcorn@|@kauk@
@poplar@|@kavak@
@poppy@|@mak@
@porridge@|@bulgur@
@port@|@liman@
@porter@|@hamal@
@possess. suffix (3d person)@|@-sy@
@possible@|@mümkün@
@pot@|@cölmek@
@pouch@|@kesä, punga@
@power@|@güch@
@prayer@|@dua@
@pregnant@|@gebä@
@press in@|@tyqa-@
@price@|@paa@
@prison@|@ceza, kapan@
@prisoner@|@esir@
@produce@|@maasul@
@projectile@|@snaräd@
@property@|@mülk@
@prophecy@|@fal@
@proposal@|@teklif@
@protect@|@qoru-, saqyn-@
@pumpkin@|@kabak@
@puppet@|@kukla@
@pure@|@pak, temiz@
@pus@|@irin, jirin@
@quarrel@|@cekismäk, kavga@
@quarter@|@maalä@
@quick@|@cabuk, cevik, tez@
@quiet@|@javaš, raat, yavas@
@rabbi@|@haham@
@rabbit@|@tavsam@
@rabies@|@kuduz@
@radish@|@trup@
@rag@|@bez@
@rain@|@jämur, yaamur@
@raise@|@götür-@
@ram@|@koc, qoch@
@rapeseed@|@hardal@
@rasp@|@törpü@
@rat@|@patkan@
@ravine@|@yar@
@raw@|@cii, jaš@
@reading@|@okumaa@
@ready@|@hazir@
@real@|@gercek@
@rear@|@ard@
@reason@|@sebep@
@reception@|@kabul@
@recite@|@oqu-@
@red@|@kirmizi, kizil, qyzyl@
@reddish@|@al@
@reed@|@kalem, kamis, kiliz, saaz@
@regiment@|@polk@
@religion@|@din@
@rent@|@kira@
@repetition@|@tekrar@
@resin@|@saqyz@
@respect@|@ikram@
@rib@|@iyä@
@ribbon@|@sirit@
@rich@|@baj, zengin@
@ridge@|@sirt@
@rifle@|@tüfek@
@right@|@hak@
@right (correct)@|@dooru@
@right away@|@hemen@
@right hand@|@saa@
@ring@|@halka, üzük@
@ripe@|@olgun, piš-@
@river@|@derä@
@road@|@jol, yol@
@roast@|@süüs@
@robber@|@haydut@
@robust@|@dinc@
@rock@|@qaja@
@rock crystal@|@syrcha@
@rocket@|@fisek@
@rod@|@dayak, dayak, sirik@
@roe of fish@|@halver@
@roll together@|@dür-@
@room@|@oda@
@root@|@kök, tüp@
@rope@|@cati@
@rope harness@|@chaqyldaq@
@rose@|@bullet, gül@
@rotten@|@cürük@
@round@|@chevrä, dolay, tombarlaq, yuvarlak@
@round thing@|@top@
@row@|@sira@
@rub@|@üt-@
@rudder@|@kürek@
@ruler@|@padisaa@
@rye@|@cavdar@
@sable@|@samur@
@sack@|@qap, torba@
@sacrifice@|@kurban@
@saddle@|@er, jër@
@saddlegirth@|@qolan@
@sail@|@elken@
@saint@|@ay@
@salt@|@tuz@
@sand@|@kum, qum@
@sated@|@razi, tok@
@satisfaction@|@kanaat@
@saturated@|@qoju@
@Saturday@|@cumartesi@
@sausage@|@sucuk@
@scabbard@|@qyn@
@scales@|@kantar@
@scarlet@|@al@
@school@|@shkola, skola@
@scoop@|@susaq@
@scrape@|@qyrq-@
@screen@|@perdä@
@scrotum@|@tašaq@
@scythe@|@tirpan@
@sea@|@deniz@
@seal@|@foka@
@seam@|@etek@
@seed@|@tenä, toom@
@select@|@sech-@
@self@|@kendi@
@senile person@|@bunaq@
@sense@|@akil, maana@
@separate@|@ayiri, böl-@
@September@|@sentäbri@
@service@|@izmet@
@set@|@takim@
@seven@|@edi, jedi@
@seventy@|@etmis@
@severe@|@sert@
@shade@|@gölgä@
@shadow@|@gölge@
@shake@|@depre-, tepre-@
@shallow@|@sua@
@shame@|@ayip@
@share@|@pay@
@sharp@|@sivri@
@sharp-edged@|@sivri@
@shave@|@tras@
@shears@|@makaz@
@sheath@|@kina@
@sheep@|@koyun@
@shepherd@|@coban@
@shift@|@smena@
@shin@|@qych@
@ship@|@gemi@
@shirt@|@gölmäk@
@shoe@|@kundura@
@shoot@|@at-, filiz@
@shop@|@tükän@
@short@|@kisa, qysa@
@short-legged@|@bodur@
@shoulder@|@omuz@
@shoulderblade@|@kebze@
@shovel@|@kürek@
@shy@|@utancak@
@sickle@|@orak@
@side@|@jan, taraf@
@side of a mountain@|@jamach@
@sieve@|@elek, ielek, kalbur@
@sign@|@nisan@
@signature@|@imza@
@silence@|@sus@
@silk@|@ipek@
@silver@|@gümüs, gümüsh@
@similar@|@benzär@
@sin@|@günaa, jazyq@
@sinew@|@sinir@
@sister@|@kizkardas, kizkardash@
@six@|@alti@
@sixty@|@altmis@
@skewer@|@sis@
@ski@|@kayak@
@skin@|@deri@
@skull@|@kellä@
@sky@|@gök@
@slave@|@kölä@
@sleeve@|@en, jen@
@slight@|@ufak@
@slipper@|@papuc@
@slope@|@yamac@
@sly@|@siret@
@small@|@kücük, ušaq@
@small town@|@kasaba@
@smear@|@sürüt-@
@smell@|@koku@
@smith@|@kovac@
@smoke@|@duman, tütün@
@snack@|@mezä@
@snake@|@jylan, yilan@
@snot@|@sümük@
@snow@|@kaar, qär@
@so@|@tölä@
@so much@|@bunca@
@soap@|@sabun@
@soil@|@topraq@
@soldier@|@asker@
@sole@|@taban@
@someone@|@filan@
@son@|@öl, ool@
@son-in-law@|@güvä@
@soot@|@kurum, qurum@
@sorrow@|@gam, kasavet, kasavet, keder@
@sorry@|@yazik@
