@English@|@Koine Greek@
@a branch@|@κλάδος -ου -ὁ, κλῆμα -ατος -τό@
@a breaking@|@κλάσις -εως -ἡ@
@a breast@|@μαστός -οῦ -ὁ@
@a breast-plate@|@θώραξ -ακός -ὁ@
@a bridal chamber@|@νυμφών -ῶνος -ὁ@
@a bride@|@νύμφη -ης -ἡ@
@a bridegroom@|@νυμφίος -ου -ὁ@
@a bridle@|@χαλινός -οῦ -ὁ@
@a bronze vessel@|@χαλκίον -ου -τό@
@a brood of young birds@|@νοσσιά -ᾶς -ἡ@
@a brother@|@ἀδελφός -οῦ -ὁ@
@a bruise@|@μώλωψ -ωπος -ὁ@
@a building@|@οἰκοδομή -ῆς -ἡ@
@a bull@|@ταῦρος -ου -ὁ@
@a bundle@|@δέσμη -ης -ἡ@
@a burden@|@φορτίον -ου -τό@
@a burial@|@ταφή -ῆς -ἡ@
@a burning@|@πύρωσις -εως -ἡ@
@a burning up@|@καῦσις -εως -ἡ@
@a burrow@|@φωλεός -οῦ -ὁ@
@a business@|@πραγματεία -ας -ἡ@
@a busybody@|@περίεργος -ον@
@a calculation@|@διαλογισμός -οῦ -ὁ hippo -@
@a calf@|@μόσχος -ου -ὁ -ἡ@
@a call@|@κέλευσμα -ατος -τό@
@a calling@|@κλῆσις -εως -ἡ@
@a calm@|@γαλήνη -ης -ἡ@
@a camel@|@κάμηλος -ου -ὁ -ἡ@
@a camp@|@παρεμβολή -ῆς -ἡ@
@a Canaanite@|@Κανανίτης -ου -ὁ@
@a captive@|@αἰχμάλωτος -ου -ὁ@
@a caravan@|@συνοδία -ας -ἡ@
@a carcass@|@πτῶμα -ατος -τό@
@a cargo@|@γόμος -ου -ὁ@
@a carpenter@|@τέκτων -ονος -ὁ@
@a casting@|@βολή -ῆς -ἡ@
@a casting away@|@ἀποβολή -ῆς -ἡ@
@a catch@|@ἄγρα -ας -ἡ@
@a cause@|@αἰτία -ας -ἡ@
@a cause of stumbling@|@προσκοπή -ῆς -ἡ@
@a cause of terror@|@φόβητρον -ου -τό@
@a cave@|@σπήλαιον -ου -τό@
@a cellar@|@κρύπτη -ης -ἡ@
@a censer@|@λιβανωτός -οῦ -ὁ@
@a centurion@|@ἑκατοντάρχης -ου -ὁ, κεντυρίων -ῶνος -ὁ@
@a chain@|@σειρά -ᾶς -ἡ@
@a Chaldean@|@Χαλδαῖος -ου -ὁ@
@a change@|@ἀμοιβή -ῆς -ἡ, παραλλαγή -ῆς -ἡ@
@a change of mind@|@μετάνοια -ας -ἡ@
@a charge@|@αἰτίωμα -ατος -τό, κατηγορία -ας -ἡ@
@a chariot@|@ἅρμα -ατος -τό, ῥέδα -ης -ἡ@
@a charitable gift@|@λειτουργία -ας -ἡ@
@a chief seat@|@πρωτοκαθεδρία -ας -ἡ@
@a child@|@τέκνον -ου -τό@
@a choosing out@|@ἐκλογή -ῆς -ἡ@
@a Christian@|@Χριστιανός -οῦ -ὁ@
@a chrysoprase@|@χρυσόπρασος -ου -ὁ@
@a circle@|@κύκλος -ου -ὁ@
@a citizen@|@πολίτης -ου -ὁ@
@a city@|@πόλις -εως -ἡ@
@a clanging or clashing cymbal@|@ἀλαλάζω@
@a class of priests@|@ἐφημερία -ας -ἡ@
@a clot@|@θρόμβος -ου -ὁ@
@a cloud@|@νεφέλη -ης -ἡ, νέφος -ους -τό@
@a cluster of grapes@|@βότρυς -υος -ὁ@
@a coal@|@ἄνθραξ -ακος -ὁ@
@a coat@|@ἐπενδύτης -ου -ὁ@
@a cock@|@ἀλέκτωρ -ορος -ὁ@
@a cohort@|@σπεῖρα -ης -ἡ@
@a coincidence@|@συγκυρία -ας -ἡ@
@a collection@|@λογία -ας -ἡ@
@a collector of taxes@|@τελώνης -ου -ὁ@
@a colonnade@|@στοά -ᾶς -ἡ@
@a colony@|@κολωνία -ας -ἡ@
@a colt@|@πῶλος -ου -ὁ@
@a coming@|@ἔλευσις -εως -ἡ, παρουσία -ας -ἡ@
@a command@|@παραγγελία -ας -ἡ@
@a companion@|@ἑταῖρος -ου -ὁ@
@a company formed into divisions@|@πρασιά -ᾶς -ἡ@
@a company traveling together@|@συνοδία -ας -ἡ@
@a complaint@|@μομφή -ῆς -ἡ@
@a completion@|@συντέλεια -ας -ἡ@
@a conjurer@|@γόης -ητος -ὁ@
@a conspiracy@|@συνωμοσία -ας -ἡ@
@a contentious person@|@πλήκτης -ου -ὁ@
@a contest@|@ἀγών -ῶνος -ὁ, ἄθλησις -εως -ἡ@
@a convenient time@|@εὐκαιρία -ας -ἡ@
@a cord@|@σχοινίον -ου -τό@
@a corner@|@γωνία -ας -ἡ@
@a corpse@|@νεκρός -ά -όν@
@a couch@|@κλίνη -ης -ἡ@
@a couch or litter@|@κλινίδιον -ου -τό@
@a council@|@συμβούλιον -ου -τό, συνέδριον -ου -τό@
@a cousin@|@ἀνεψιός -οῦ -ὁ@
@a covenant@|@διαθήκη -ης -ἡ@
@a covering@|@ἐπικάλυμμα -ατος -τό@
@a covetous person@|@πλεονέκτης -ου -ὁ@
@a craftsman@|@τεχνίτης -ου -ὁ@
@a crag@|@κρημνός -οῦ -ὁ@
@a created thing@|@κτίσμα -ατος -τό@
@a creeping creature@|@ἑρπετόν -οῦ -τό@
@a Cretan@|@Κρής -ητός -ὁ@
@a crevice@|@ὀπή -ῆς -ἡ@
@a crime@|@ἀδίκημα -ατος -τό@
@a criminal@|@κακοῦργος -ον@
@a cross@|@σταυρός -οῦ -ὁ@
@a crowd@|@ὄχλος -ου -ὁ@
@a crown@|@στέφανος -ου -ὁ@
@a crumb@|@ψιχίον -ου -τό@
@a cubit@|@πῆχυς -εως -ὁ@
@a cultivated olive tree@|@καλλιέλαιος -οῦ -ἡ@
@a cure@|@ἴασις -εως -ἡ@
@a curse@|@ἀνάθεμα -ατος -τό, ἀρά -ᾶς -ἡ, κατάθεμα -ατος -τό, κατάρα -ας -ἡ@
@a cursed thing@|@ἀνάθεμα -ατος -τό@
@a custom@|@ἔθος -ους -τό, συνήθεια -ας -ἡ@
@a cycle of time@|@αἰών -ῶνος -ὁ@
@a cymbal@|@κύμβαλον -ου -τό@
@a Cypriote@|@Κύπριος -ου -ὁ@
@a Cyrenaean@|@Κυρηναῖος -ου -ὁ@
@a dance@|@χορός -οῦ -ὁ@
@a daring@|@τολμητής -οῦ -ὁ@
@a daughter@|@θυγάτηρ -τρός -ἡ@
@a day@|@ἡμέρα -ας -ἡ@
@a debt@|@ὀφειλή -ῆς -ἡ, ὀφείλημα -ατος -τό@
@a debtor@|@ὀφειλέτης -ου -ὁ, χρεωφειλέτης -ου -ὁ@
@a deceiver@|@πλάνος -ον@
@a decree@|@δόγμα -ατος -τό@
@a deep@|@βάθος -ους -τό@
@a defeat@|@ἥττημα -ατος -τό@
@a defense@|@ἐκδίκησις -εως -ἡ@
@a delegate@|@ἀπόστολος -ου -ὁ@
@a deluge@|@κατακλυσμός -οῦ -ὁ@
@a denarius@|@δηνάριον -ου -τό@
@a depth@|@βάθος -ους -τό@
@a descendant@|@ἔκγονος -ον@
@a desert@|@ἔρημος -ον@
@a desert place@|@ἐρημία -ας -ἡ@
@a despiser@|@καταφρονητής -οῦ -ὁ@
@a destroyer@|@ὀλοθρευτής -οῦ -ὁ@
@a dining couch@|@κλισία -ας -ἡ@
@a dinner@|@δεῖπνον -ου -τό@
@a disease@|@νόσος -ου -ἡ@
@a disputer@|@συζητητής -οῦ -ὁ@
@a distribution@|@μερισμός -οῦ -ὁ@
@a disturbance@|@ταραχή -ῆς -ἡ, τάραχος -ου -ὁ@
@a divider@|@μεριστής -οῦ -ὁ@
@a divining spirit@|@Πύθων -ωνος -ὁ@
@a doer@|@ποιητής -οῦ -ὁ@
@a doer of that which is good@|@ἀγαθοποιός -οῦ -ὁ@
@a dog@|@κύων -κυνός -ὁ -ἡ@
@a doing@|@ποίησις -εως -ἡ@
@a donkey@|@ὄνος -ου -ὁ -ἡ@
@a door@|@θύρα -ας -ἡ, πύλη -ης -ἡ@
@a door-keeper@|@θυρωρός -οῦ -ὁ -ἡ -@
@a double-drachma@|@δίδραχμον -ου -τό -@
@a dove@|@περιστερά -άς -ἡ@
@a downcast countenance@|@κατήφεια -ας -ἡ@
@a drachma@|@δραχμή -ῆς -ἡ@
@a dragon or huge serpent@|@δράκων -οντος -ὁ@
@a drain@|@ἀφεδρών -ῶνος -ὁ@
@a dream@|@ἐνύπνιον -ου -τό, ὄναρ -ατος -τό@
@a drinking@|@πότος -ου -ὁ@
@a drinking cup@|@ποτήριον -ου -τό@
@a drinking party@|@συμπόσιον -ου -τό@
@a drunkard@|@μέθυσος -ου -ὁ@
@a dry measure@|@κόρος -ου -ὁ, μόδιος -ου -ὁ@
@a dry stalk@|@κάρφος -ους -τό@
@a dry stick for burning@|@φρύγανον -ου -τό@
@a dwelling@|@κατοικία -ας -ἡ, σκήνωμα -ατος -τό@
@a dwelling-place@|@κατασκήνωσις -εως -ἡ, οἰκητήριον -ου -τό -@
@a eunuch@|@εὐνοῦχος -ου -ὁ@
@a faint image or copy@|@ἀποσκίασμα -ατος -τό@
@a fall@|@πτῶσις -εως -ἡ@
@a falling@|@πτῶσις -εως -ἡ@
@a falling away@|@παράπτωμα -ατος -τό@
@a false apostle@|@ψευδαπόστολος -ου -ὁ@
@a false brother@|@ψευδάδελφος -ου -ὁ@
@a false Christ@|@ψευδόχριστος -ου -ὁ@
@a false prophet@|@ψευδοπροφήτης -ου -ὁ@
@a false teacher@|@ψευδοδιδάσκαλος -ου -ὁ@
@a false witness@|@ψευδόμαρτυς -υρος -ὁ@
@a falsehood@|@ψεῦσμα -ατος -τό@
@a family@|@πατριά -ᾶς -ἡ@
@a famine@|@λιμός -οῦ -ὁ -ἡ@
@a farm@|@ἔπαυλις -εως -ἡ@
@a fast@|@ἀσιτία -ας -ἡ@
@a father-in-law@|@πενθερός -οῦ -ὁ@
@a fathom@|@ὀργυιά -ᾶς -ἡ@
@a fault@|@ἁμάρτημα -ατος -τό@
@a feasting@|@κῶμος -ου -ὁ@
@a fellow captive@|@συναιχμάλωτος -ου -ὁ@
@a fellow citizen@|@συμπολίτης -ου -ὁ@
@a fellow country-man@|@συμφυλέτης -ου -ὁ@
@a fellow elder@|@συμπρεσβύτερος -ου -ὁ@
@a fellow insurgent@|@συστασιαστής -οῦ -ὁ@
@a fellow servant@|@σύνδουλος -ου -ὁ@
@a fellow soldier@|@συστρατιώτης -ου -ὁ@
@a fellow traveler@|@συνέκδημος -ου -ὁ -ἡ@
@a fellow worker@|@συνεργός -οῦ -ὁ@
@a fellow-disciple@|@συμμαθητής -οῦ -ὁ@
@a female disciple@|@μαθήτρια -ας -ἡ@
@a female Greek@|@Ἑλληνίς -ίδος -ἡ@
@a female guardian@|@προστάτις -ιδος -ἡ@
@a female seller of purple cloth@|@πορφυρόπωλις -ιδος -ἡ@
@a female slave@|@δούλη -ης -ἡ, παιδίσκη -ης -ἡ@
@a festering sore@|@ἕλκος -ους -τό@
@a festival@|@ἑορτή -ῆς -ἡ@
@a festival assembly@|@πανήγυρις -εως -ἡ@
@a fever@|@πυρετός -οῦ -ὁ@
@a field@|@ἀγρός -οῦ -ὁ, κτῆμα -ατος -τό@
@a field-laborer@|@ἐργάτης -ου -ὁ -@
@a fig@|@σῦκον -ου -τό@
@a fig-tree@|@συκῆ -ῆς -ἡ@
@a figure@|@τύπος -ου -ὁ, ὑπόδειγμα -ατος -τό@
@a finger@|@δάκτυλος -ου -ὁ@
@a finger-ring@|@δακτύλιος -ου -ὁ@
@a fire@|@πυρά -ᾶς -ἡ@
@a fish@|@ἰχθύς -ύος -ὁ@
@a fisherman@|@ἁλιεύς -έως -ὁ@
@a fish-hook@|@ἄγκιστρον -ου -τό@
@a fishing net@|@ἀμφίβληστρον -ου -τό@
@a fishing-net@|@δίκτυον -ου -τό, σαγήνη -ης -ἡ@
@a flame@|@φλόξ -φλογός -ἡ@
@a flash of lightning@|@ἀστραπή -ῆς -ἡ@
@a flat roof of a house@|@στέγη -ης -ἡ@
@a flight of steps@|@ἀναβαθμός -οῦ -ὁ@
@a flock@|@ἀγέλη -ης -ἡ, ποίμνη -ης -ἡ@
@a flood@|@πλημμύρα -ας -ἡ@
@a flowing@|@ῥύσις -εως -ἡ@
@a flute@|@αὐλός -οῦ -ὁ@
@a flute-player@|@αὐλητής -οῦ -ὁ@
@a footstool@|@ὑποπόδιον -ου -τό@
@a forceful@|@βιαστής -οῦ -ὁ@
@a foreigner@|@ἀλλογενής -ες, ξένος -η -ον@
@a foreigner who speaks neither Greek nor Latin@|@βάρβαρος -ου -ὁ@
@a foresail@|@ἀρτέμων -ονος -ὁ@
@a fornicator@|@πόρνος -ου -ὁ@
@a fortress@|@ὀχύρωμα -ατος -τό@
@a foster brother@|@σύντροφος -ου -ὁ@
@a foundation@|@ἑδραίωμα -ατος -τό, καταβολή -ῆς -ἡ@
@a founder@|@κτίστης -ου -ὁ@
@a fountain@|@πηγή -ῆς -ἡ@
@a fox@|@ἀλώπηξ -εκος -ἡ@
@a fragment@|@κλάσμα -ατος -τό@
@a free gift@|@δωρεά -ᾶς -ἡ@
@a freedman@|@ἀπελεύθερος -ου -ὁ, Λιβερτῖνος -ου -ὁ@
@a friend@|@φίλος -η -ον@
@a frog@|@βάτραχος -ου -ὁ@
@a fuller@|@γναφεύς -έως -ὁ@
@a furnace@|@κάμινος -ου -ἡ@
@a Galatian@|@Γαλάτης -ου -ὁ@
@a Galilean@|@Γαλιλαῖος -αία -αῖον@
@a gap@|@χάσμα -ατος -τό@
@a garden@|@κῆπος -ου -ὁ@
@a gardener@|@κηπουρός -οῦ -ὁ@
@a garland@|@στέμμα -ατος -τό@
@a garment@|@ἔνδυμα -ατος -τό, ἔσθησις -εως -ἡ@
@a gateway@|@πυλών -ῶνος -ὁ@
@a gathering@|@ἐπισύστασις -εως -ἡ@
@a gathering together@|@ἐπισυναγωγή -ῆς -ἡ, συστροφή -ῆς -ἡ@
@a general@|@στρατηγός -οῦ -ὁ@
@a generation@|@γενεά -ᾶς -ἡ@
@a gift@|@δόμα -ατος -τό, δώρημα -ατος -τό, δῶρον -ου -τό, κορβᾶν@
@a gift in return@|@ἀνταπόδομα -ατος -τό@
@a girdle@|@ζώνη -ῆς -ἡ@
@a girl@|@κοράσιον -ου -τό@
@a giver@|@δότης -ου -ὁ@
@a giving@|@δόσις -εως -ἡ@
@a glance@|@ῥιπή -ῆς -ἡ()@
@a glutton@|@φάγος -ου -ὁ@
@a gnat@|@κώνωψ -ωπος -ὁ@
@a gnawing worm@|@σκώληξ -ηκος -ὁ@
@a goal@|@σκοπός -οῦ -ὁ@
@a goat@|@ἐρίφιον -ου -τό, ἔριφος -ου -ὁ@
@a god@|@θεός -οῦ -ὁ@
@a goddess@|@θεά -ᾶς -ἡ@
@a golden ornament@|@χρυσίον -ου -τό@
@a governor@|@ἡγεμών -όνος -ὁ@
@a grandmother@|@μάμμη -ης -ἡ@
@a grape@|@σταφυλή -ῆς -ἡ@
@a great one@|@μεγιστάν -ᾶνος -ὁ@
@a Greek@|@Ἕλλην -ηνος -ὁ@
@a Greek dry measure@|@χοῖνιξ -ικος -ἡ@
@a greeting@|@ἀσπασμός -οῦ -ὁ@
@a grinding or gnashing@|@βρυγμός -οῦ -ὁ@
@a groaning@|@στεναγμός -οῦ -ὁ@
@a group of four soldiers@|@τετράδιον -ου -τό@
@a grudge@|@φθόνος -ου -ὁ@
@a guard@|@κουστωδία -ας -ἡ, φύλαξ -ακός -ὁ@
@a habitation@|@κατοικητήριον -ου -τό@
@a hair@|@θρίξ -τριχός -ἡ@
@a hand@|@χείρ -χειρός -ἡ@
@a handkerchief@|@σουδάριον -ου -τό@
@a handwriting@|@χειρόγραφον -ου -τό@
@a harbor@|@λιμήν -ένος -ὁ@
@a harp@|@κιθάρα -ας -ἡ@
@a harpist@|@κιθαρῳδός -ου -ὁ@
@a head of a household@|@οἰκοδεσπότης -ου -ὁ@
@a head of grain@|@στάχυς -υος -ὁ@
@a head-wreath@|@διάδημα -ατος -τό -@
@a heap of burning coals@|@ἀνθρακιά -ᾶς -ἡ@
@a hearer of@|@ἀκροατής -οῦ -ὁ@
@a heavenly body@|@στοιχεῖον -ου -τό@
@a heavy rain@|@βροχή -ῆς -ἡ@
@a Hebrew@|@Ἑβραῖος -ου -ὁ@
@a hedge@|@φραγμός -οῦ -ὁ@
@a he-goat@|@τράγος -ου -ὁ@
@a heifer@|@δάμαλις -εως -ἡ@
@a Hellene@|@Ἕλλην -ηνος -ὁ@
@a Hellenist@|@Ἑλληνιστής -ου -ὁ@
@a helmet@|@περικεφαλαία -ας -ἡ@
@a help@|@βοήθεια -ας -ἡ@
@a helper@|@βοηθός -οῦ -ὁ -ἡ@
@a herald@|@κῆρυξ -υκος -ὁ@
@a hidden rock@|@σπιλάς -άδος -ἡ@
@a hide@|@δέρμα -ατος -τό@
@a hillock@|@βουνός -οῦ -ὁ@
@a hired servant@|@μισθωτός -οῦ -ὁ@
@a hog@|@ὗς -ὑός -ἡ@
@a hole@|@τρύπημα -ατος -τό@
@a holy or sanctified state@|@ἁγιωσύνη -ης -ἡ@
@a honeycomb@|@κηρίον -ου -τό@
@a horn@|@κέρας -ατος -τό@
@a horse@|@ἵππος -ου -ὁ@
@a house@|@οἰκία -ας -ἡ, οἶκος -ου -ὁ@
@a household servant@|@οἰκέτης -ου -ὁ@
@a housekeeper@|@οὐκουρός -οῦ -ὁ -ἡ@
@a hundred years old@|@ἑκατονταέτης -ες@
@a hundredfold@|@ἑκατονταπλασίων -ον@
@a husk of the carob@|@κεράτιον -ου -τό@
@a hymn@|@ὕμνος -ου -ὁ@
@a hypocrite@|@ὑποκριτής -οῦ -ὁ@
@a jailer@|@δεσμοφύλαξ -ακος -ὁ@
@a jar or vase@|@στάμνος -ου -ὁ -ἡ@
@a jettisoning@|@ἐκβολή -ῆς -ἡ@
@a Jewish shekel@|@στατήρ -ῆρος -ὁ@
@a joint heir@|@συγκληρονόμος -ου -ὁ -ἡ@
@a joint imitator@|@συμμιμητής -οῦ -ὁ@
@a joint of the body@|@ἁρμός -οῦ -ὁ@
@a journey@|@ὁδοιπορία -ας -ἡ, πορεία -ας -ἡ@
@a judge@|@δικαστής -οῦ -ὁ, κριτής -ου -ὁ@
@a judgment@|@κρίμα -ατος -τό@
@a judicial decision@|@ἀπόκριμα -ατος -τό@
@a keeper of a prison@|@δεσμοφύλαξ -ακος -ὁ@
@a kernel@|@κόκκος -ου -ὁ@
@a key@|@κλεῖς -κλειδός -ἡ@
@a kidnapper@|@ἀνδραποδιστής -οῦ -ὁ@
@a kidney as a general emotional center@|@νεφρός -οῦ -ὁ@
@a kind address@|@χρηστολογία -ας -ἡ@
@a king@|@βασιλεύς -έως -ὁ@
@a kiss@|@φίλημα -ατος -τό@
@a knee@|@γόνυ -ατος -τό@
@a knower of the inner life@|@καρδιογνώστης -ου -ὁ@
@a lady@|@κυρία -ας -ἡ@
@a lake@|@λίμνη -ης -ἡ@
@a lamb@|@ἀμνός -οῦ -ὁ, ἀρήν -ἀρνός -ὁ, ἀρνίον -ου -τό@
@a lamp@|@λύχνος -ου -ὁ@
@a lamp-stand@|@λυχνία -ας -ἡ@
@a lance@|@λόγχη -ης -ἡ@
@a language@|@γλῶσσα -ης -ἡ@
@a Laodicean@|@Λαοδικεύς -έως -ὁ@
@a large basket@|@κόφινος -ου -ὁ@
@a large gate@|@πυλών -ῶνος -ὁ@
@a large shield@|@θυρεός -οῦ -ὁ@
@a large village@|@κωμόπολις -εως -ἡ@
@a law@|@νόμος -ου -ὁ@
@a law-court@|@κριτήριον -ου -τό@
@a law-giver@|@νομοθέτης -ου -ὁ -@
@a laying down@|@ἀπόθεσις -εως -ἡ@
@a leader@|@καθηγητής -ου -ὁ, ὁδηγός -οῦ -ὁ, πρωτοστάτης -ου -ὁ@
@a leader of the synagogue@|@ἀρχισυνάγωγος -ου -ὁ@
@a leaf@|@φύλλον -ου -τό@
@a learner@|@μαθητής -οῦ -ὁ@
@a legion@|@λεγεών -ῶνος -ἡ@
@a lender@|@δανειστής -οῦ -ὁ@
@a leopard@|@πάρδαλις -εως -ἡ@
@a leper@|@λεπρός -οῦ -ὁ@
@a letter@|@γράμμα -ατος -τό, ἐπιστολή -ῆς -ἡ@
@a Levite@|@Λευΐτης -ου -ὁ@
@a liar@|@ψεύστης -ου -ὁ@
@a lictor@|@ῥαβδοῦχος -ου -ὁ@
@a lie@|@ψεῦδος -ους -τό@
@a ligament@|@ἁφή -ῆς -ἡ@
@a light@|@φωστήρ -ῆρος -ὁ@
@a light chain@|@ἅλυσις -εως -ἡ@
@a light flashing forth@|@ἀπαύγασμα -ατος -τό@
@a likeness@|@ὁμοίωμα -ατος -τό@
@a lily@|@κρίνον -ου -τό@
@a limb@|@κῶλον -ου -τό, μέλος -ους -τό@
@a linen bandage@|@ὀθόνιον -ου -τό@
@a linen cloth@|@ὀθόνη -ης -ἡ, σινδών -όνος -ἡ@
@a lion@|@λέων -οντος -ὁ@
@a lip@|@χεῖλος -ους -τό@
@a liquid measure between eight and nine gallons@|@βάτος -ου -ὁ@
@a listener to@|@ἀκροατής -οῦ -ὁ@
@a little@|@μικρόν -ου -τό@
@a little boat@|@πλοιάριον -ου -τό@
@a little boy@|@παιδάριον -ου -τό@
@a little child@|@παιδίον -ου -τό, τεκνίον -ου -τό@
@a little daughter@|@θυγάτριον -ου -τό@
@a little dog@|@κυνάριον -ου -τό@
@a little fish@|@ἰχθύδιον -ου -τό, ὀψάριον -ου -τό@
@a little flock@|@ποίμνιον -ου -τό@
@a little island@|@νησίον -ου -τό@
@a little papyrus roll@|@βιβλιδάριον -ου -τό@
@a loaf@|@ἄρτος -ου -ὁ@
@a loan@|@δάνειον -ου -τό@
@a locust@|@ἀκρίς -ίδος -ἡ@
@a long robe@|@ποδήρης -ες, στολή -ῆς -ἡ@
@a lord@|@δεσπότης -ου -ὁ, μεγιστάν -ᾶνος -ὁ@
@a lot@|@κλῆρος -ου -ὁ@
@a lounger in the market-place@|@ἀγοραῖος -ον@
@a Macedonian@|@Μακεδών -όνος -ὁ@
@a magician@|@φάρμακος -οῦ -ὁ@
@a male engaging in samegender sexual activity@|@ἀρσενοκοίτης -ου -ὁ@
@a male human being@|@ἀνήρ -ἀνδρός -ὁ@
@a male slave@|@δοῦλος -ου -ὁ@
@a man@|@ἀνήρ -ἀνδρός -ὁ, ἄνθρωπος -ου -ὁ@
@a man of Kerioth@|@Ἰσκαριώτης -ου -ὁ@
@a mandate@|@διάταγμα -ατος -τό@
@a manger@|@φάτνη -ης -ἡ@
@a manifestation@|@φανέρωσις -εως -ἡ@
@a mantle@|@φελόνης -ου -ὁ@
@a mark or brand@|@στίγμα -ατος -τό@
@a marriage@|@γάμος -ου -ὁ@
@a marvel@|@θαῦμα -ατος -τό@
@a mass or lump@|@φύραμα -ατος -τό@
@a master of a ship@|@ναύκληρος -ου -ὁ@
@a matricide@|@μητραλῴας -ου -ὁ@
@a matter@|@πρᾶγμα -ατος -τό@
@a meal@|@βρῶσις -εως -ἡ@
@a measure@|@μετρητής -οῦ -ὁ, μέτρον -ου -τό@
@a measured portion of grain or food@|@σιτομέτριον -ου -τό@
@a meat-market@|@μάκελλον -ου -τό@
@a Mede@|@Μῆδος -ου -ὁ@
@a mediator@|@μεσίτης -ου -ὁ@
@a meeting@|@ὑπάντησις -εως -ἡ@
@a meeting with@|@συνάντησις -εως -ἡ@
@a member of a city council@|@βουλευτής -οῦ -ὁ@
@a merchant@|@ἔμπορος -ου -ὁ@
@a message@|@ἀγγελία -ας -ἡ@
@a messenger@|@ἀπόστολος -ου -ὁ@
@a middle wall@|@μεσότοιχον -ου -τό@
@a military tribune@|@χιλίαρχος -ου -ὁ@
@a mill-house@|@μυλών -ῶνος -ὁ@
@a millstone@|@μύλος -ου -ὁ@
@a mina@|@μνᾶ -ᾶς -ἡ@
@a mind-deceiver@|@φρεναπάτης -ου -ὁ@
@a minister@|@λειτουργός -ου -ὁ@
@a mirror@|@ἔσοπτρον -ου -τό@
@a missile@|@βέλος -ους -τό@
@a mist@|@ἀχλύς -ύος -ἡ@
@a mixture@|@μίγμα -ατος -τό@
@a mocker@|@ἐμπαίκτης -ου -ὁ@
@a moment@|@ἄτομος -ον@
@a money-changer@|@κερματιστής -οῦ -ὁ, κολλυβιστής -ου -ὁ, τραπεζίτης -ου -ὁ -@
@a month@|@μήν -μηνός -ὁ@
@a mosaic pavement@|@λιθόστρωτον -ου -τό@
@a moth@|@σής -σητός -ὁ@
@a mother@|@μήτηρ -μητρός -ἡ@
@a mother-in-law@|@πενθερά -ᾶς -ἡ@
@a mound for besieging@|@χάραξ -ακός -ὁ@
@a mountain@|@ὄρος -ους -τό@
@a mounted soldier@|@ἱππεύς -έως -ὁ@
@a moving@|@κίνησις -εως -ἡ@
@a multitude@|@πλῆθος -ους -τό@
@a murderer@|@ἀνδροφόνος -ου -ὁ, ἀνθρωποκτόνος -ου -ὁ, φονεύς -έως -ὁ@
@a murderer of his father@|@πατρολῴας -ου -ὁ@
@a murmurer@|@γογγυστής -οῦ -ὁ@
@a musician@|@μουσικός -ή -όν@
@a mutilation@|@κατατομή -ῆς -ἡ@
@a myriad@|@μυριάς -άδος -ἡ@
@a mystery@|@μυστήριον -ου -τό@
@a nail@|@ἧλος -ου -ὁ@
@a narrative@|@διήγησις -εως -ἡ@
@a narrow space@|@στενοχωρία -ας -ἡ@
@a needle@|@ῥαφίς -ίδος -ἡ@
@a neighbor@|@γείτων -ονος -ὁ -ἡ, περίοικος -ον, πλησίον@
@a nestling@|@νοσσίον -ου -τό@
@a new birth@|@παλιγγενεσία -ας -ἡ@
@a Nicolaitan@|@Νικολαΐτης -ου -ὁ@
